"plb0196_h","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1997","Rural Area","552","1","1","1","2"
"Yes","1997","Urban Area","","","","","1"
"Yes","1997","Rural Area","","","","","1"
"No","1998","Urban Area","890","1","1","1","2"
"No","1998","Rural Area","615","1","1","1","2"
"Yes","1998","Urban Area","","","","","1"
"Yes","1998","Rural Area","","","","","1"
"No","1999","Urban Area","846","1","1","1","2"
"No","1999","Rural Area","567","1","1","1","2"
"Yes","1999","Urban Area","","","","","1"
"Yes","1999","Rural Area","","","","","1"
"No","2000","Urban Area","1598","1","1","1","2"
"No","2000","Rural Area","924","1","1","1","2"
"Yes","2000","Urban Area","","","","","1"
"Yes","2000","Rural Area","","","","","1"
"No","2001","Urban Area","","","","","2"
"No","2001","Rural Area","","","","","2"
"Yes","2001","Urban Area","","","","","1"
"Yes","2001","Rural Area","","","","","1"
"No","2002","Urban Area","1476","0.293792684198924","0.281530840283056","0.306054528114791","2"
"No","2002","Rural Area","865","0.337723215770041","0.319723669616688","0.355722761923393","2"
"Yes","2002","Urban Area","3825","0.706207315801077","0.693945471885209","0.718469159716944","1"
"Yes","2002","Rural Area","1787","0.66227678422996","0.644277238076607","0.680276330383312","1"
"No","2003","Urban Area","1435","0.289691686695541","0.277171953555011","0.302211419836071","2"
"No","2003","Rural Area","828","0.331812663739648","0.313490217497965","0.350135109981331","2"
"Yes","2003","Urban Area","3608","0.710308313304459","0.697788580163929","0.722828046444989","1"
"Yes","2003","Rural Area","1709","0.668187336260352","0.649864890018669","0.686509782502035","1"
"No","2004","Urban Area","1369","0.294851302623757","0.28203441746036","0.307668187787153","2"
"No","2004","Rural Area","747","0.311989887059814","0.29359161153281","0.330388162586818","2"
"Yes","2004","Urban Area","3493","0.705148697376244","0.692331812212847","0.71796558253964","1"
"Yes","2004","Rural Area","1689","0.688010112940186","0.669611837413182","0.70640838846719","1"
"No","2005","Urban Area","1200","0.283049004862299","0.269887141247966","0.296210868476632","2"
"No","2005","Rural Area","755","0.339131704114396","0.319643851521438","0.358619556707354","2"
"Yes","2005","Urban Area","3300","0.716950995137701","0.703789131523368","0.730112858752034","1"
"Yes","2005","Rural Area","1512","0.660868295885604","0.641380443292646","0.680356148478562","1"
"No","2006","Urban Area","1241","0.261928453731836","0.249693451622759","0.274163455840912","2"
"No","2006","Rural Area","770","0.311924823222555","0.29378274062297","0.33006690582214","2"
"Yes","2006","Urban Area","3720","0.738071546268164","0.725836544159088","0.750306548377241","1"
"Yes","2006","Rural Area","1735","0.688075176777445","0.66993309417786","0.70621725937703","1"
"No","2007","Urban Area","1072","0.230124984378906","0.217901475302579","0.242348493455232","2"
"No","2007","Rural Area","729","0.310372703794038","0.291871049119495","0.328874358468582","2"
"Yes","2007","Urban Area","3483","0.769875015621094","0.757651506544768","0.782098524697421","1"
"Yes","2007","Rural Area","1673","0.689627296205962","0.671125641531418","0.708128950880506","1"
"No","2008","Urban Area","1135","0.250715146064686","0.238044551180988","0.263385740948384","2"
"No","2008","Rural Area","731","0.339215983073441","0.320057902056817","0.358374064090064","2"
"Yes","2008","Urban Area","3360","0.749284853935314","0.736614259051616","0.761955448819012","1"
"Yes","2008","Rural Area","1615","0.66078401692656","0.641625935909936","0.679942097943183","1"
"No","2009","Urban Area","1050","0.263968948416457","0.250147585365369","0.277790311467546","2"
"No","2009","Rural Area","710","0.353555788657304","0.333324248549945","0.373787328764663","2"
"Yes","2009","Urban Area","2857","0.736031051583543","0.722209688532454","0.749852414634631","1"
"Yes","2009","Rural Area","1435","0.646444211342696","0.626212671235337","0.666675751450055","1"
"No","2010","Urban Area","1601","0.295404900643989","0.28326914488966","0.307540656398319","2"
"No","2010","Rural Area","986","0.369764429024609","0.352323605778575","0.387205252270644","2"
"Yes","2010","Urban Area","3828","0.704595099356011","0.692459343601681","0.71673085511034","1"
"Yes","2010","Rural Area","1957","0.630235570975391","0.612794747729356","0.647676394221425","1"
"No","2011","Urban Area","1556","0.235205403500753","0.224883597987844","0.245527209013662","2"
"No","2011","Rural Area","1074","0.307924818979644","0.292956852413916","0.322892785545372","2"
"Yes","2011","Urban Area","4930","0.764794596499247","0.754472790986338","0.775116402012156","1"
"Yes","2011","Rural Area","2580","0.692075181020356","0.677107214454628","0.707043147586084","1"
"No","2012","Urban Area","1803","0.274145917384336","0.263389652443795","0.284902182324876","2"
"No","2012","Rural Area","1124","0.304490448806809","0.289755635730387","0.319225261883232","2"
"Yes","2012","Urban Area","4804","0.725854082615664","0.715097817675124","0.736610347556205","1"
"Yes","2012","Rural Area","2623","0.69550955119319","0.680774738116768","0.710244364269613","1"
"No","2013","Urban Area","1908","0.257227237108158","0.247169139540968","0.267285334675348","2"
"No","2013","Rural Area","1117","0.309213529121278","0.294427213772176","0.323999844470379","2"
"Yes","2013","Urban Area","5347","0.742772762891842","0.732714665324652","0.752830860459032","1"
"Yes","2013","Rural Area","2636","0.690786470878722","0.676000155529621","0.705572786227824","1"
"No","2014","Urban Area","1747","0.251621696803295","0.241086106646038","0.262157286960552","2"
"No","2014","Rural Area","1046","0.312088833028305","0.296663338138771","0.32751432791784","2"
"Yes","2014","Urban Area","4770","0.748378303196705","0.737842713039448","0.758913893353962","1"
"Yes","2014","Rural Area","2420","0.687911166971695","0.67248567208216","0.703336661861229","1"
"No","2015","Urban Area","1382","0.226716210860186","0.216256744544223","0.237175677176149","2"
"No","2015","Rural Area","866","0.257389830663316","0.242631241176279","0.272148420150354","2"
"Yes","2015","Urban Area","4774","0.773283789139814","0.762824322823851","0.783743255455777","1"
"Yes","2015","Rural Area","2505","0.742610169336684","0.727851579849646","0.757368758823721","1"
"No","2016","Urban Area","1340","0.223014236544958","0.212361777175988","0.233666695913928","2"
"No","2016","Rural Area","816","0.266319011001699","0.250970016769234","0.281668005234163","2"
"Yes","2016","Urban Area","4526","0.776985763455042","0.766333304086071","0.787638222824012","1"
"Yes","2016","Rural Area","2370","0.733680988998301","0.718331994765837","0.749029983230766","1"
"No","2017","Urban Area","1443","0.228608541271697","0.218200056387955","0.23901702615544","2"
"No","2017","Rural Area","922","0.258218048984999","0.243807054781025","0.272629043188972","2"
"Yes","2017","Urban Area","4810","0.771391458728303","0.76098297384456","0.781799943612045","1"
"Yes","2017","Rural Area","2621","0.741781951015001","0.727370956811028","0.756192945218975","1"
"No","2018","Urban Area","1697","0.23515793852153","0.224929478251567","0.245386398791494","2"
"No","2018","Rural Area","1029","0.27910612802699","0.264532173300271","0.293680082753709","2"
"Yes","2018","Urban Area","4907","0.76484206147847","0.754613601208506","0.775070521748433","1"
"Yes","2018","Rural Area","2610","0.72089387197301","0.706319917246291","0.735467826699729","1"
"No","2019","Urban Area","1305","0.214422211227694","0.203590306893772","0.225254115561616","2"
"No","2019","Rural Area","798","0.259595055955201","0.244501504520993","0.274688607389409","2"
"Yes","2019","Urban Area","4210","0.785577788772306","0.774745884438384","0.796409693106228","1"
"Yes","2019","Rural Area","2443","0.740404944044799","0.725311392610591","0.755498495479007","1"
