"plb0196_h","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1987","35-65 y.","1-pers.-HH","","","","","2"
"No","1987","35-65 y.","Couple + C. LE 16 ","","","","","2"
"No","1987","35-65 y.","(Married) couple without C. ","","","","","2"
"No","1987","35-65 y.","Single parent ","","","","","2"
"No","1987","35-65 y.","Couple + C. GT 16 ","","","","","2"
"No","1987","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"No","1987","66 and older","1-pers.-HH","","","","","2"
"No","1987","66 and older","(Married) couple without C. ","","","","","2"
"No","1987","66 and older","Single parent ","","","","","2"
"No","1987","66 and older","Couple + C. LE 16 ","","","","","2"
"No","1987","66 and older","Couple + C. GT 16 ","","","","","2"
"No","1987","66 and older","Couple + C. LE and GT 16","","","","","2"
"Yes","1987","16-34 y.","1-pers.-HH","","","","","1"
"Yes","1987","16-34 y.","(Married) couple without C. ","","","","","1"
"Yes","1987","16-34 y.","Single parent ","","","","","1"
"Yes","1987","16-34 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1987","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1987","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1987","35-65 y.","1-pers.-HH","","","","","1"
"Yes","1987","35-65 y.","(Married) couple without C. ","","","","","1"
"Yes","1987","35-65 y.","Single parent ","","","","","1"
"Yes","1987","35-65 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1987","35-65 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1987","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1987","66 and older","1-pers.-HH","","","","","1"
"Yes","1987","66 and older","(Married) couple without C. ","","","","","1"
"Yes","1987","66 and older","Single parent ","","","","","1"
"Yes","1987","66 and older","Couple + C. LE 16 ","","","","","1"
"Yes","1987","66 and older","Couple + C. GT 16 ","","","","","1"
"Yes","1987","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","1988","16-34 y.","(Married) couple without C. ","281","1","1","1","2"
"No","1988","16-34 y.","Couple + C. GT 16 ","388","1","1","1","2"
"No","1988","16-34 y.","1-pers.-HH","135","1","1","1","2"
"No","1988","16-34 y.","Couple + C. LE and GT 16","192","1","1","1","2"
"No","1988","16-34 y.","Single parent ","101","1","1","1","2"
"No","1988","16-34 y.","Couple + C. LE 16 ","452","1","1","1","2"
"No","1988","35-65 y.","1-pers.-HH","189","1","1","1","2"
"No","1988","35-65 y.","(Married) couple without C. ","493","1","1","1","2"
"No","1988","35-65 y.","Single parent ","113","1","1","1","2"
"No","1988","35-65 y.","Couple + C. LE 16 ","527","1","1","1","2"
"No","1988","35-65 y.","Couple + C. GT 16 ","570","1","1","1","2"
"No","1988","35-65 y.","Couple + C. LE and GT 16","314","1","1","1","2"
"No","1988","66 and older","1-pers.-HH","6","","","","2"
"No","1988","66 and older","(Married) couple without C. ","19","","","","2"
"No","1988","66 and older","Single parent ","","","","","2"
"No","1988","66 and older","Couple + C. LE 16 ","","","","","2"
"No","1988","66 and older","Couple + C. GT 16 ","2","","","","2"
"No","1988","66 and older","Couple + C. LE and GT 16","","","","","2"
"Yes","1988","16-34 y.","1-pers.-HH","","","","","1"
"Yes","1988","16-34 y.","(Married) couple without C. ","","","","","1"
"Yes","1988","16-34 y.","Single parent ","","","","","1"
"Yes","1988","16-34 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1988","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1988","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1988","35-65 y.","1-pers.-HH","","","","","1"
"Yes","1988","35-65 y.","(Married) couple without C. ","","","","","1"
"Yes","1988","35-65 y.","Single parent ","","","","","1"
"Yes","1988","35-65 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1988","35-65 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1988","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1988","66 and older","1-pers.-HH","","","","","1"
"Yes","1988","66 and older","(Married) couple without C. ","","","","","1"
"Yes","1988","66 and older","Single parent ","","","","","1"
"Yes","1988","66 and older","Couple + C. LE 16 ","","","","","1"
"Yes","1988","66 and older","Couple + C. GT 16 ","","","","","1"
"Yes","1988","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","1989","35-65 y.","(Married) couple without C. ","474","1","1","1","2"
"No","1989","16-34 y.","Couple + C. GT 16 ","367","1","1","1","2"
"No","1989","35-65 y.","1-pers.-HH","184","1","1","1","2"
"No","1989","16-34 y.","(Married) couple without C. ","304","1","1","1","2"
"No","1989","16-34 y.","1-pers.-HH","128","1","1","1","2"
"No","1989","16-34 y.","Couple + C. LE and GT 16","179","1","1","1","2"
"No","1989","35-65 y.","Single parent ","111","1","1","1","2"
"No","1989","35-65 y.","Couple + C. LE 16 ","509","1","1","1","2"
"No","1989","16-34 y.","Single parent ","101","1","1","1","2"
"No","1989","16-34 y.","Couple + C. LE 16 ","443","1","1","1","2"
"No","1989","35-65 y.","Couple + C. GT 16 ","516","1","1","1","2"
"No","1989","35-65 y.","Couple + C. LE and GT 16","282","1","1","1","2"
"No","1989","66 and older","1-pers.-HH","6","","","","2"
"No","1989","66 and older","(Married) couple without C. ","18","","","","2"
"No","1989","66 and older","Couple + C. LE 16 ","","","","","2"
"No","1989","66 and older","Couple + C. GT 16 ","5","","","","2"
"No","1989","66 and older","Couple + C. LE and GT 16","","","","","2"
"No","1989","66 and older","Single parent ","","","","","2"
"Yes","1989","16-34 y.","1-pers.-HH","","","","","1"
"Yes","1989","16-34 y.","(Married) couple without C. ","","","","","1"
"Yes","1989","16-34 y.","Single parent ","","","","","1"
"Yes","1989","16-34 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1989","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1989","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1989","35-65 y.","1-pers.-HH","","","","","1"
"Yes","1989","35-65 y.","(Married) couple without C. ","","","","","1"
"Yes","1989","35-65 y.","Single parent ","","","","","1"
"Yes","1989","35-65 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1989","35-65 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1989","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1989","66 and older","1-pers.-HH","","","","","1"
"Yes","1989","66 and older","(Married) couple without C. ","","","","","1"
"Yes","1989","66 and older","Single parent ","","","","","1"
"Yes","1989","66 and older","Couple + C. LE 16 ","","","","","1"
"Yes","1989","66 and older","Couple + C. GT 16 ","","","","","1"
"Yes","1989","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","1990","16-34 y.","(Married) couple without C. ","310","1","1","1","2"
"No","1990","16-34 y.","Couple + C. GT 16 ","347","1","1","1","2"
"No","1990","16-34 y.","Couple + C. LE and GT 16","151","1","1","1","2"
"No","1990","35-65 y.","1-pers.-HH","172","1","1","1","2"
"No","1990","35-65 y.","(Married) couple without C. ","459","1","1","1","2"
"No","1990","16-34 y.","1-pers.-HH","125","1","1","1","2"
"No","1990","35-65 y.","Single parent ","105","1","1","1","2"
"No","1990","35-65 y.","Couple + C. LE 16 ","516","1","1","1","2"
"No","1990","16-34 y.","Single parent ","94","1","1","1","2"
"No","1990","16-34 y.","Couple + C. LE 16 ","426","1","1","1","2"
"No","1990","35-65 y.","Couple + C. GT 16 ","485","1","1","1","2"
"No","1990","35-65 y.","Couple + C. LE and GT 16","249","1","1","1","2"
"No","1990","66 and older","1-pers.-HH","3","","","","2"
"No","1990","66 and older","(Married) couple without C. ","16","","","","2"
"No","1990","66 and older","Couple + C. LE 16 ","","","","","2"
"No","1990","66 and older","Couple + C. GT 16 ","5","","","","2"
"No","1990","66 and older","Couple + C. LE and GT 16","","","","","2"
"No","1990","66 and older","Single parent ","","","","","2"
"Yes","1990","16-34 y.","1-pers.-HH","","","","","1"
"Yes","1990","16-34 y.","(Married) couple without C. ","","","","","1"
"Yes","1990","16-34 y.","Single parent ","","","","","1"
"Yes","1990","16-34 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1990","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1990","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1990","35-65 y.","1-pers.-HH","","","","","1"
"Yes","1990","35-65 y.","(Married) couple without C. ","","","","","1"
"Yes","1990","35-65 y.","Single parent ","","","","","1"
"Yes","1990","35-65 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1990","35-65 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1990","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1990","66 and older","1-pers.-HH","","","","","1"
"Yes","1990","66 and older","(Married) couple without C. ","","","","","1"
"Yes","1990","66 and older","Single parent ","","","","","1"
"Yes","1990","66 and older","Couple + C. LE 16 ","","","","","1"
"Yes","1990","66 and older","Couple + C. GT 16 ","","","","","1"
"Yes","1990","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","1991","16-34 y.","1-pers.-HH","150","1","1","1","2"
"No","1991","16-34 y.","(Married) couple without C. ","342","1","1","1","2"
"No","1991","16-34 y.","Couple + C. GT 16 ","471","1","1","1","2"
"No","1991","16-34 y.","Couple + C. LE and GT 16","205","1","1","1","2"
"No","1991","35-65 y.","1-pers.-HH","204","1","1","1","2"
"No","1991","35-65 y.","(Married) couple without C. ","750","1","1","1","2"
"No","1991","35-65 y.","Single parent ","152","1","1","1","2"
"No","1991","35-65 y.","Couple + C. LE 16 ","823","1","1","1","2"
"No","1991","16-34 y.","Single parent ","148","1","1","1","2"
"No","1991","16-34 y.","Couple + C. LE 16 ","857","1","1","1","2"
"No","1991","35-65 y.","Couple + C. GT 16 ","746","1","1","1","2"
"No","1991","35-65 y.","Couple + C. LE and GT 16","402","1","1","1","2"
"No","1991","66 and older","1-pers.-HH","6","","","","2"
"No","1991","66 and older","(Married) couple without C. ","20","","","","2"
"No","1991","66 and older","Couple + C. LE 16 ","","","","","2"
"No","1991","66 and older","Couple + C. GT 16 ","5","","","","2"
"No","1991","66 and older","Couple + C. LE and GT 16","1","","","","2"
"No","1991","66 and older","Single parent ","","","","","2"
"Yes","1991","16-34 y.","1-pers.-HH","","","","","1"
"Yes","1991","16-34 y.","(Married) couple without C. ","","","","","1"
"Yes","1991","16-34 y.","Single parent ","","","","","1"
"Yes","1991","16-34 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1991","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1991","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1991","35-65 y.","1-pers.-HH","","","","","1"
"Yes","1991","35-65 y.","(Married) couple without C. ","","","","","1"
"Yes","1991","35-65 y.","Single parent ","","","","","1"
"Yes","1991","35-65 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1991","35-65 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1991","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1991","66 and older","1-pers.-HH","","","","","1"
"Yes","1991","66 and older","(Married) couple without C. ","","","","","1"
"Yes","1991","66 and older","Single parent ","","","","","1"
"Yes","1991","66 and older","Couple + C. LE 16 ","","","","","1"
"Yes","1991","66 and older","Couple + C. GT 16 ","","","","","1"
"Yes","1991","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","1992","16-34 y.","1-pers.-HH","127","1","1","1","2"
"No","1992","16-34 y.","(Married) couple without C. ","348","1","1","1","2"
"No","1992","16-34 y.","Couple + C. GT 16 ","442","1","1","1","2"
"No","1992","16-34 y.","Couple + C. LE and GT 16","175","1","1","1","2"
"No","1992","35-65 y.","1-pers.-HH","196","1","1","1","2"
"No","1992","35-65 y.","(Married) couple without C. ","639","1","1","1","2"
"No","1992","35-65 y.","Single parent ","135","1","1","1","2"
"No","1992","35-65 y.","Couple + C. LE 16 ","780","1","1","1","2"
"No","1992","16-34 y.","Single parent ","128","1","1","1","2"
"No","1992","16-34 y.","Couple + C. LE 16 ","670","1","1","1","2"
"No","1992","35-65 y.","Couple + C. GT 16 ","703","1","1","1","2"
"No","1992","35-65 y.","Couple + C. LE and GT 16","356","1","1","1","2"
"No","1992","66 and older","1-pers.-HH","2","","","","2"
"No","1992","66 and older","(Married) couple without C. ","18","","","","2"
"No","1992","66 and older","Couple + C. LE 16 ","","","","","2"
"No","1992","66 and older","Couple + C. GT 16 ","2","","","","2"
"No","1992","66 and older","Couple + C. LE and GT 16","","","","","2"
"No","1992","66 and older","Single parent ","","","","","2"
"Yes","1992","16-34 y.","1-pers.-HH","","","","","1"
"Yes","1992","16-34 y.","(Married) couple without C. ","","","","","1"
"Yes","1992","16-34 y.","Single parent ","","","","","1"
"Yes","1992","16-34 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1992","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1992","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1992","35-65 y.","1-pers.-HH","","","","","1"
"Yes","1992","35-65 y.","(Married) couple without C. ","","","","","1"
"Yes","1992","35-65 y.","Single parent ","","","","","1"
"Yes","1992","35-65 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1992","35-65 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1992","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1992","66 and older","1-pers.-HH","","","","","1"
"Yes","1992","66 and older","(Married) couple without C. ","","","","","1"
"Yes","1992","66 and older","Single parent ","","","","","1"
"Yes","1992","66 and older","Couple + C. LE 16 ","","","","","1"
"Yes","1992","66 and older","Couple + C. GT 16 ","","","","","1"
"Yes","1992","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","1993","16-34 y.","1-pers.-HH","166","1","1","1","2"
"No","1993","16-34 y.","(Married) couple without C. ","376","1","1","1","2"
"No","1993","16-34 y.","Couple + C. LE and GT 16","173","1","1","1","2"
"No","1993","35-65 y.","Couple + C. LE 16 ","699","1","1","1","2"
"No","1993","16-34 y.","Single parent ","122","1","1","1","2"
"No","1993","16-34 y.","Couple + C. LE 16 ","665","1","1","1","2"
"No","1993","16-34 y.","Couple + C. GT 16 ","412","1","1","1","2"
"No","1993","35-65 y.","(Married) couple without C. ","626","1","1","1","2"
"No","1993","35-65 y.","Single parent ","125","1","1","1","2"
"No","1993","35-65 y.","1-pers.-HH","220","1","1","1","2"
"No","1993","35-65 y.","Couple + C. GT 16 ","650","1","1","1","2"
"No","1993","35-65 y.","Couple + C. LE and GT 16","382","1","1","1","2"
"No","1993","66 and older","1-pers.-HH","5","","","","2"
"No","1993","66 and older","(Married) couple without C. ","14","","","","2"
"No","1993","66 and older","Couple + C. LE 16 ","","","","","2"
"No","1993","66 and older","Couple + C. GT 16 ","3","","","","2"
"No","1993","66 and older","Couple + C. LE and GT 16","","","","","2"
"No","1993","66 and older","Single parent ","1","","","","2"
"Yes","1993","16-34 y.","1-pers.-HH","","","","","1"
"Yes","1993","16-34 y.","(Married) couple without C. ","","","","","1"
"Yes","1993","16-34 y.","Single parent ","","","","","1"
"Yes","1993","16-34 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1993","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1993","35-65 y.","Single parent ","","","","","1"
"Yes","1993","35-65 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1993","35-65 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1993","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1993","66 and older","1-pers.-HH","","","","","1"
"Yes","1993","66 and older","(Married) couple without C. ","","","","","1"
"Yes","1993","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1993","35-65 y.","1-pers.-HH","","","","","1"
"Yes","1993","35-65 y.","(Married) couple without C. ","","","","","1"
"Yes","1993","66 and older","Single parent ","","","","","1"
"Yes","1993","66 and older","Couple + C. LE 16 ","","","","","1"
"Yes","1993","66 and older","Couple + C. GT 16 ","","","","","1"
"Yes","1993","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","1994","16-34 y.","1-pers.-HH","138","1","1","1","2"
"No","1994","16-34 y.","(Married) couple without C. ","370","1","1","1","2"
"No","1994","16-34 y.","Couple + C. GT 16 ","345","1","1","1","2"
"No","1994","16-34 y.","Couple + C. LE and GT 16","172","1","1","1","2"
"No","1994","35-65 y.","Couple + C. LE 16 ","682","1","1","1","2"
"No","1994","16-34 y.","Couple + C. LE 16 ","595","1","1","1","2"
"No","1994","16-34 y.","Single parent ","111","1","1","1","2"
"No","1994","35-65 y.","(Married) couple without C. ","615","1","1","1","2"
"No","1994","35-65 y.","Single parent ","107","1","1","1","2"
"No","1994","35-65 y.","1-pers.-HH","194","1","1","1","2"
"No","1994","35-65 y.","Couple + C. GT 16 ","630","1","1","1","2"
"No","1994","35-65 y.","Couple + C. LE and GT 16","343","1","1","1","2"
"No","1994","66 and older","1-pers.-HH","6","","","","2"
"No","1994","66 and older","(Married) couple without C. ","12","","","","2"
"No","1994","66 and older","Couple + C. LE 16 ","","","","","2"
"No","1994","66 and older","Couple + C. GT 16 ","3","","","","2"
"No","1994","66 and older","Couple + C. LE and GT 16","","","","","2"
"No","1994","66 and older","Single parent ","","","","","2"
"Yes","1994","16-34 y.","1-pers.-HH","","","","","1"
"Yes","1994","16-34 y.","(Married) couple without C. ","","","","","1"
"Yes","1994","16-34 y.","Single parent ","","","","","1"
"Yes","1994","16-34 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1994","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1994","35-65 y.","Single parent ","","","","","1"
"Yes","1994","35-65 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1994","35-65 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1994","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1994","66 and older","1-pers.-HH","","","","","1"
"Yes","1994","66 and older","(Married) couple without C. ","","","","","1"
"Yes","1994","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1994","35-65 y.","1-pers.-HH","","","","","1"
"Yes","1994","35-65 y.","(Married) couple without C. ","","","","","1"
"Yes","1994","66 and older","Single parent ","","","","","1"
"Yes","1994","66 and older","Couple + C. LE 16 ","","","","","1"
"Yes","1994","66 and older","Couple + C. GT 16 ","","","","","1"
"Yes","1994","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","1995","16-34 y.","1-pers.-HH","156","1","1","1","2"
"No","1995","16-34 y.","(Married) couple without C. ","357","1","1","1","2"
"No","1995","16-34 y.","Single parent ","111","1","1","1","2"
"No","1995","16-34 y.","Couple + C. LE 16 ","569","1","1","1","2"
"No","1995","16-34 y.","Couple + C. GT 16 ","345","1","1","1","2"
"No","1995","16-34 y.","Couple + C. LE and GT 16","176","1","1","1","2"
"No","1995","35-65 y.","(Married) couple without C. ","623","1","1","1","2"
"No","1995","35-65 y.","Single parent ","119","1","1","1","2"
"No","1995","35-65 y.","Couple + C. LE 16 ","687","1","1","1","2"
"No","1995","35-65 y.","1-pers.-HH","191","1","1","1","2"
"No","1995","35-65 y.","Couple + C. GT 16 ","640","1","1","1","2"
"No","1995","35-65 y.","Couple + C. LE and GT 16","335","1","1","1","2"
"No","1995","66 and older","1-pers.-HH","11","","","","2"
"No","1995","66 and older","(Married) couple without C. ","13","","","","2"
"No","1995","66 and older","Couple + C. LE 16 ","","","","","2"
"No","1995","66 and older","Couple + C. GT 16 ","4","","","","2"
"No","1995","66 and older","Couple + C. LE and GT 16","","","","","2"
"No","1995","66 and older","Single parent ","","","","","2"
"Yes","1995","16-34 y.","1-pers.-HH","","","","","1"
"Yes","1995","16-34 y.","(Married) couple without C. ","","","","","1"
"Yes","1995","16-34 y.","Single parent ","","","","","1"
"Yes","1995","16-34 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1995","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1995","35-65 y.","Single parent ","","","","","1"
"Yes","1995","35-65 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1995","35-65 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1995","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1995","66 and older","1-pers.-HH","","","","","1"
"Yes","1995","66 and older","(Married) couple without C. ","","","","","1"
"Yes","1995","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1995","35-65 y.","1-pers.-HH","","","","","1"
"Yes","1995","35-65 y.","(Married) couple without C. ","","","","","1"
"Yes","1995","66 and older","Single parent ","","","","","1"
"Yes","1995","66 and older","Couple + C. LE 16 ","","","","","1"
"Yes","1995","66 and older","Couple + C. GT 16 ","","","","","1"
"Yes","1995","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","1996","16-34 y.","(Married) couple without C. ","338","1","1","1","2"
"No","1996","16-34 y.","1-pers.-HH","165","1","1","1","2"
"No","1996","16-34 y.","Couple + C. GT 16 ","333","1","1","1","2"
"No","1996","35-65 y.","(Married) couple without C. ","633","1","1","1","2"
"No","1996","35-65 y.","Couple + C. LE 16 ","680","1","1","1","2"
"No","1996","16-34 y.","Single parent ","116","1","1","1","2"
"No","1996","16-34 y.","Couple + C. LE 16 ","517","1","1","1","2"
"No","1996","35-65 y.","Single parent ","124","1","1","1","2"
"No","1996","16-34 y.","Couple + C. LE and GT 16","167","1","1","1","2"
"No","1996","35-65 y.","1-pers.-HH","190","1","1","1","2"
"No","1996","35-65 y.","Couple + C. GT 16 ","568","1","1","1","2"
"No","1996","35-65 y.","Couple + C. LE and GT 16","353","1","1","1","2"
"No","1996","66 and older","1-pers.-HH","7","","","","2"
"No","1996","66 and older","(Married) couple without C. ","18","","","","2"
"No","1996","66 and older","Single parent ","2","","","","2"
"No","1996","66 and older","Couple + C. LE 16 ","","","","","2"
"No","1996","66 and older","Couple + C. GT 16 ","8","","","","2"
"No","1996","66 and older","Couple + C. LE and GT 16","","","","","2"
"Yes","1996","16-34 y.","1-pers.-HH","","","","","1"
"Yes","1996","16-34 y.","(Married) couple without C. ","","","","","1"
"Yes","1996","16-34 y.","Single parent ","","","","","1"
"Yes","1996","16-34 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1996","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1996","35-65 y.","Single parent ","","","","","1"
"Yes","1996","35-65 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1996","35-65 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1996","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1996","66 and older","1-pers.-HH","","","","","1"
"Yes","1996","66 and older","(Married) couple without C. ","","","","","1"
"Yes","1996","66 and older","Single parent ","","","","","1"
"Yes","1996","66 and older","Couple + C. LE 16 ","","","","","1"
"Yes","1996","66 and older","Couple + C. GT 16 ","","","","","1"
"Yes","1996","66 and older","Couple + C. LE and GT 16","","","","","1"
"Yes","1996","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1996","35-65 y.","1-pers.-HH","","","","","1"
"Yes","1996","35-65 y.","(Married) couple without C. ","","","","","1"
"No","1997","16-34 y.","1-pers.-HH","73","1","1","1","2"
"No","1997","16-34 y.","(Married) couple without C. ","157","1","1","1","2"
"No","1997","16-34 y.","Couple + C. GT 16 ","107","1","1","1","2"
"No","1997","35-65 y.","(Married) couple without C. ","179","1","1","1","2"
"No","1997","35-65 y.","Single parent ","34","1","1","1","2"
"No","1997","35-65 y.","Couple + C. LE 16 ","208","1","1","1","2"
"No","1997","16-34 y.","Single parent ","26","","","","2"
"No","1997","16-34 y.","Couple + C. LE 16 ","192","1","1","1","2"
"No","1997","16-34 y.","Couple + C. LE and GT 16","36","1","1","1","2"
"No","1997","35-65 y.","1-pers.-HH","48","1","1","1","2"
"No","1997","35-65 y.","Couple + C. GT 16 ","171","1","1","1","2"
"No","1997","35-65 y.","Couple + C. LE and GT 16","121","1","1","1","2"
"No","1997","66 and older","1-pers.-HH","","","","","2"
"No","1997","66 and older","(Married) couple without C. ","","","","","2"
"No","1997","66 and older","Single parent ","","","","","2"
"No","1997","66 and older","Couple + C. LE 16 ","","","","","2"
"No","1997","66 and older","Couple + C. GT 16 ","","","","","2"
"No","1997","66 and older","Couple + C. LE and GT 16","","","","","2"
"Yes","1997","16-34 y.","1-pers.-HH","","","","","1"
"Yes","1997","16-34 y.","(Married) couple without C. ","","","","","1"
"Yes","1997","16-34 y.","Single parent ","","","","","1"
"Yes","1997","16-34 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1997","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1997","35-65 y.","Single parent ","","","","","1"
"Yes","1997","35-65 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1997","35-65 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1997","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1997","66 and older","1-pers.-HH","","","","","1"
"Yes","1997","66 and older","(Married) couple without C. ","","","","","1"
"Yes","1997","66 and older","Single parent ","","","","","1"
