"plb0196_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"No","1989","(Married) couple without C. ","West Germany","796","1","1","1"
"No","1989","(Married) couple without C. ","East Germany","","","",""
"No","1989","Single parent ","West Germany","212","1","1","1"
"No","1989","Single parent ","East Germany","","","",""
"No","1989","Couple + C. LE 16 ","West Germany","952","1","1","1"
"No","1989","Couple + C. LE 16 ","East Germany","","","",""
"No","1989","Couple + C. GT 16 ","West Germany","888","1","1","1"
"No","1989","Couple + C. GT 16 ","East Germany","","","",""
"No","1989","Couple + C. LE and GT 16","West Germany","461","1","1","1"
"No","1989","Couple + C. LE and GT 16","East Germany","","","",""
"Yes","1990","1-pers.-HH","West Germany","","","",""
"Yes","1990","1-pers.-HH","East Germany","","","",""
"Yes","1990","(Married) couple without C. ","West Germany","","","",""
"Yes","1990","(Married) couple without C. ","East Germany","","","",""
"Yes","1990","Single parent ","West Germany","","","",""
"Yes","1990","Single parent ","East Germany","","","",""
"Yes","1990","Couple + C. LE 16 ","West Germany","","","",""
"Yes","1990","Couple + C. LE 16 ","East Germany","","","",""
"Yes","1990","Couple + C. GT 16 ","West Germany","","","",""
"Yes","1990","Couple + C. GT 16 ","East Germany","","","",""
"Yes","1990","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","1990","Couple + C. LE and GT 16","East Germany","","","",""
"No","1990","1-pers.-HH","West Germany","300","1","1","1"
"No","1990","1-pers.-HH","East Germany","","","",""
"No","1990","(Married) couple without C. ","West Germany","785","1","1","1"
"No","1990","(Married) couple without C. ","East Germany","","","",""
"No","1990","Single parent ","West Germany","199","1","1","1"
"No","1990","Single parent ","East Germany","","","",""
"No","1990","Couple + C. LE 16 ","West Germany","942","1","1","1"
"No","1990","Couple + C. LE 16 ","East Germany","","","",""
"No","1990","Couple + C. GT 16 ","West Germany","837","1","1","1"
"No","1990","Couple + C. GT 16 ","East Germany","","","",""
"No","1990","Couple + C. LE and GT 16","West Germany","400","1","1","1"
"No","1990","Couple + C. LE and GT 16","East Germany","","","",""
"Yes","1991","1-pers.-HH","West Germany","","","",""
"Yes","1991","1-pers.-HH","East Germany","","","",""
"Yes","1991","(Married) couple without C. ","West Germany","","","",""
"Yes","1991","(Married) couple without C. ","East Germany","","","",""
"Yes","1991","Single parent ","West Germany","","","",""
"Yes","1991","Single parent ","East Germany","","","",""
"Yes","1991","Couple + C. LE 16 ","West Germany","","","",""
"Yes","1991","Couple + C. LE 16 ","East Germany","","","",""
"Yes","1991","Couple + C. GT 16 ","West Germany","","","",""
"Yes","1991","Couple + C. GT 16 ","East Germany","","","",""
"Yes","1991","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","1991","Couple + C. LE and GT 16","East Germany","","","",""
"No","1991","1-pers.-HH","West Germany","299","1","1","1"
"No","1991","1-pers.-HH","East Germany","61","1","1","1"
"No","1991","(Married) couple without C. ","West Germany","773","1","1","1"
"No","1991","(Married) couple without C. ","East Germany","339","1","1","1"
"No","1991","Single parent ","West Germany","202","1","1","1"
"No","1991","Single parent ","East Germany","98","1","1","1"
"No","1991","Couple + C. LE 16 ","West Germany","917","1","1","1"
"No","1991","Couple + C. LE 16 ","East Germany","763","1","1","1"
"No","1991","Couple + C. GT 16 ","West Germany","805","1","1","1"
"No","1991","Couple + C. GT 16 ","East Germany","417","1","1","1"
"No","1991","Couple + C. LE and GT 16","West Germany","434","1","1","1"
"No","1991","Couple + C. LE and GT 16","East Germany","174","1","1","1"
"Yes","1992","1-pers.-HH","West Germany","","","",""
"Yes","1992","1-pers.-HH","East Germany","","","",""
"Yes","1992","(Married) couple without C. ","West Germany","","","",""
"Yes","1992","(Married) couple without C. ","East Germany","","","",""
"Yes","1992","Single parent ","West Germany","","","",""
"Yes","1992","Single parent ","East Germany","","","",""
"Yes","1992","Couple + C. LE 16 ","West Germany","","","",""
"Yes","1992","Couple + C. LE 16 ","East Germany","","","",""
"Yes","1992","Couple + C. GT 16 ","West Germany","","","",""
"Yes","1992","Couple + C. GT 16 ","East Germany","","","",""
"Yes","1992","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","1992","Couple + C. LE and GT 16","East Germany","","","",""
"No","1992","1-pers.-HH","West Germany","277","1","1","1"
"No","1992","1-pers.-HH","East Germany","48","1","1","1"
"No","1992","(Married) couple without C. ","West Germany","786","1","1","1"
"No","1992","(Married) couple without C. ","East Germany","219","1","1","1"
"No","1992","Single parent ","West Germany","194","1","1","1"
"No","1992","Single parent ","East Germany","69","1","1","1"
"No","1992","Couple + C. LE 16 ","West Germany","913","1","1","1"
"No","1992","Couple + C. LE 16 ","East Germany","537","1","1","1"
"No","1992","Couple + C. GT 16 ","West Germany","821","1","1","1"
"No","1992","Couple + C. GT 16 ","East Germany","326","1","1","1"
"No","1992","Couple + C. LE and GT 16","West Germany","387","1","1","1"
"No","1992","Couple + C. LE and GT 16","East Germany","144","1","1","1"
"Yes","1993","1-pers.-HH","West Germany","","","",""
"Yes","1993","1-pers.-HH","East Germany","","","",""
"Yes","1993","(Married) couple without C. ","West Germany","","","",""
"Yes","1993","(Married) couple without C. ","East Germany","","","",""
"Yes","1993","Single parent ","West Germany","","","",""
"Yes","1993","Single parent ","East Germany","","","",""
"Yes","1993","Couple + C. LE 16 ","West Germany","","","",""
"Yes","1993","Couple + C. LE 16 ","East Germany","","","",""
"Yes","1993","Couple + C. GT 16 ","West Germany","","","",""
"Yes","1993","Couple + C. GT 16 ","East Germany","","","",""
"Yes","1993","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","1993","Couple + C. LE and GT 16","East Germany","","","",""
"No","1993","1-pers.-HH","West Germany","339","1","1","1"
"No","1993","1-pers.-HH","East Germany","52","1","1","1"
"No","1993","(Married) couple without C. ","West Germany","809","1","1","1"
"No","1993","(Married) couple without C. ","East Germany","207","1","1","1"
"No","1993","Single parent ","West Germany","185","1","1","1"
"No","1993","Single parent ","East Germany","63","1","1","1"
"No","1993","Couple + C. LE 16 ","West Germany","915","1","1","1"
"No","1993","Couple + C. LE 16 ","East Germany","449","1","1","1"
"No","1993","Couple + C. GT 16 ","West Germany","793","1","1","1"
"No","1993","Couple + C. GT 16 ","East Germany","272","1","1","1"
"No","1993","Couple + C. LE and GT 16","West Germany","405","1","1","1"
"No","1993","Couple + C. LE and GT 16","East Germany","150","1","1","1"
"Yes","1994","1-pers.-HH","West Germany","","","",""
"Yes","1994","1-pers.-HH","East Germany","","","",""
"Yes","1994","(Married) couple without C. ","West Germany","","","",""
"Yes","1994","(Married) couple without C. ","East Germany","","","",""
"Yes","1994","Single parent ","West Germany","","","",""
"Yes","1994","Single parent ","East Germany","","","",""
"Yes","1994","Couple + C. LE 16 ","West Germany","","","",""
"Yes","1994","Couple + C. LE 16 ","East Germany","","","",""
"Yes","1994","Couple + C. GT 16 ","West Germany","","","",""
"Yes","1994","Couple + C. GT 16 ","East Germany","","","",""
"Yes","1994","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","1994","Couple + C. LE and GT 16","East Germany","","","",""
"No","1994","1-pers.-HH","West Germany","294","1","1","1"
"No","1994","1-pers.-HH","East Germany","44","1","1","1"
"No","1994","(Married) couple without C. ","West Germany","801","1","1","1"
"No","1994","(Married) couple without C. ","East Germany","196","1","1","1"
"No","1994","Single parent ","West Germany","165","1","1","1"
"No","1994","Single parent ","East Germany","53","1","1","1"
"No","1994","Couple + C. LE 16 ","West Germany","882","1","1","1"
"No","1994","Couple + C. LE 16 ","East Germany","395","1","1","1"
"No","1994","Couple + C. GT 16 ","West Germany","704","1","1","1"
"No","1994","Couple + C. GT 16 ","East Germany","274","1","1","1"
"No","1994","Couple + C. LE and GT 16","West Germany","361","1","1","1"
"No","1994","Couple + C. LE and GT 16","East Germany","154","1","1","1"
"Yes","1995","1-pers.-HH","West Germany","","","",""
"Yes","1995","1-pers.-HH","East Germany","","","",""
"Yes","1995","(Married) couple without C. ","West Germany","","","",""
"Yes","1995","(Married) couple without C. ","East Germany","","","",""
"Yes","1995","Single parent ","West Germany","","","",""
"Yes","1995","Single parent ","East Germany","","","",""
"Yes","1995","Couple + C. LE 16 ","West Germany","","","",""
"Yes","1995","Couple + C. LE 16 ","East Germany","","","",""
"Yes","1995","Couple + C. GT 16 ","West Germany","","","",""
"Yes","1995","Couple + C. GT 16 ","East Germany","","","",""
"Yes","1995","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","1995","Couple + C. LE and GT 16","East Germany","","","",""
"No","1995","1-pers.-HH","West Germany","301","1","1","1"
"No","1995","1-pers.-HH","East Germany","57","1","1","1"
"No","1995","(Married) couple without C. ","West Germany","785","1","1","1"
"No","1995","(Married) couple without C. ","East Germany","208","1","1","1"
"No","1995","Single parent ","West Germany","168","1","1","1"
"No","1995","Single parent ","East Germany","62","1","1","1"
"No","1995","Couple + C. LE 16 ","West Germany","909","1","1","1"
"No","1995","Couple + C. LE 16 ","East Germany","347","1","1","1"
"No","1995","Couple + C. GT 16 ","West Germany","703","1","1","1"
"No","1995","Couple + C. GT 16 ","East Germany","286","1","1","1"
"No","1995","Couple + C. LE and GT 16","West Germany","347","1","1","1"
"No","1995","Couple + C. LE and GT 16","East Germany","164","1","1","1"
"Yes","1996","1-pers.-HH","West Germany","","","",""
"Yes","1996","1-pers.-HH","East Germany","","","",""
"Yes","1996","(Married) couple without C. ","West Germany","","","",""
"Yes","1996","(Married) couple without C. ","East Germany","","","",""
"Yes","1996","Single parent ","West Germany","","","",""
"Yes","1996","Single parent ","East Germany","","","",""
"Yes","1996","Couple + C. LE 16 ","West Germany","","","",""
"Yes","1996","Couple + C. LE 16 ","East Germany","","","",""
"Yes","1996","Couple + C. GT 16 ","West Germany","","","",""
"Yes","1996","Couple + C. GT 16 ","East Germany","","","",""
"Yes","1996","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","1996","Couple + C. LE and GT 16","East Germany","","","",""
"No","1996","1-pers.-HH","West Germany","304","1","1","1"
"No","1996","1-pers.-HH","East Germany","58","1","1","1"
"No","1996","(Married) couple without C. ","West Germany","757","1","1","1"
"No","1996","(Married) couple without C. ","East Germany","232","1","1","1"
"No","1996","Single parent ","West Germany","182","1","1","1"
"No","1996","Single parent ","East Germany","60","1","1","1"
"No","1996","Couple + C. LE 16 ","West Germany","881","1","1","1"
"No","1996","Couple + C. LE 16 ","East Germany","316","1","1","1"
"No","1996","Couple + C. GT 16 ","West Germany","645","1","1","1"
"No","1996","Couple + C. GT 16 ","East Germany","264","1","1","1"
"No","1996","Couple + C. LE and GT 16","West Germany","353","1","1","1"
"No","1996","Couple + C. LE and GT 16","East Germany","167","1","1","1"
"Yes","1997","1-pers.-HH","West Germany","","","",""
"Yes","1997","1-pers.-HH","East Germany","","","",""
"Yes","1997","(Married) couple without C. ","West Germany","","","",""
"Yes","1997","(Married) couple without C. ","East Germany","","","",""
"Yes","1997","Single parent ","West Germany","","","",""
"Yes","1997","Single parent ","East Germany","","","",""
"Yes","1997","Couple + C. LE 16 ","West Germany","","","",""
"Yes","1997","Couple + C. LE 16 ","East Germany","","","",""
"Yes","1997","Couple + C. GT 16 ","West Germany","","","",""
"Yes","1997","Couple + C. GT 16 ","East Germany","","","",""
"Yes","1997","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","1997","Couple + C. LE and GT 16","East Germany","","","",""
"No","1997","1-pers.-HH","West Germany","97","1","1","1"
"No","1997","1-pers.-HH","East Germany","24","","",""
"No","1997","(Married) couple without C. ","West Germany","246","1","1","1"
"No","1997","(Married) couple without C. ","East Germany","90","1","1","1"
"No","1997","Single parent ","West Germany","44","1","1","1"
"No","1997","Single parent ","East Germany","16","","",""
"No","1997","Couple + C. LE 16 ","West Germany","282","1","1","1"
"No","1997","Couple + C. LE 16 ","East Germany","118","1","1","1"
"No","1997","Couple + C. GT 16 ","West Germany","163","1","1","1"
"No","1997","Couple + C. GT 16 ","East Germany","115","1","1","1"
"No","1997","Couple + C. LE and GT 16","West Germany","97","1","1","1"
"No","1997","Couple + C. LE and GT 16","East Germany","60","1","1","1"
"Yes","1998","1-pers.-HH","West Germany","","","",""
"Yes","1998","1-pers.-HH","East Germany","","","",""
"Yes","1998","(Married) couple without C. ","West Germany","","","",""
"Yes","1998","(Married) couple without C. ","East Germany","","","",""
"Yes","1998","Single parent ","West Germany","","","",""
"Yes","1998","Single parent ","East Germany","","","",""
"Yes","1998","Couple + C. LE 16 ","West Germany","","","",""
"Yes","1998","Couple + C. LE 16 ","East Germany","","","",""
"Yes","1998","Couple + C. GT 16 ","West Germany","","","",""
"Yes","1998","Couple + C. GT 16 ","East Germany","","","",""
"Yes","1998","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","1998","Couple + C. LE and GT 16","East Germany","","","",""
"No","1998","1-pers.-HH","West Germany","128","1","1","1"
"No","1998","1-pers.-HH","East Germany","19","","",""
"No","1998","(Married) couple without C. ","West Germany","246","1","1","1"
"No","1998","(Married) couple without C. ","East Germany","113","1","1","1"
"No","1998","Single parent ","West Germany","54","1","1","1"
"No","1998","Single parent ","East Germany","20","","",""
"No","1998","Couple + C. LE 16 ","West Germany","274","1","1","1"
"No","1998","Couple + C. LE 16 ","East Germany","120","1","1","1"
"No","1998","Couple + C. GT 16 ","West Germany","164","1","1","1"
"No","1998","Couple + C. GT 16 ","East Germany","130","1","1","1"
"No","1998","Couple + C. LE and GT 16","West Germany","98","1","1","1"
"No","1998","Couple + C. LE and GT 16","East Germany","65","1","1","1"
"Yes","1999","1-pers.-HH","West Germany","","","",""
"Yes","1999","1-pers.-HH","East Germany","","","",""
"Yes","1999","(Married) couple without C. ","West Germany","","","",""
"Yes","1999","(Married) couple without C. ","East Germany","","","",""
"Yes","1999","Single parent ","West Germany","","","",""
"Yes","1999","Single parent ","East Germany","","","",""
"Yes","1999","Couple + C. LE 16 ","West Germany","","","",""
"Yes","1999","Couple + C. LE 16 ","East Germany","","","",""
"Yes","1999","Couple + C. GT 16 ","West Germany","","","",""
"Yes","1999","Couple + C. GT 16 ","East Germany","","","",""
"Yes","1999","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","1999","Couple + C. LE and GT 16","East Germany","","","",""
"No","1999","1-pers.-HH","West Germany","87","1","1","1"
"No","1999","1-pers.-HH","East Germany","39","1","1","1"
"No","1999","(Married) couple without C. ","West Germany","241","1","1","1"
"No","1999","(Married) couple without C. ","East Germany","101","1","1","1"
"No","1999","Single parent ","West Germany","54","1","1","1"
"No","1999","Single parent ","East Germany","21","","",""
"No","1999","Couple + C. LE 16 ","West Germany","283","1","1","1"
"No","1999","Couple + C. LE 16 ","East Germany","132","1","1","1"
"No","1999","Couple + C. GT 16 ","West Germany","155","1","1","1"
"No","1999","Couple + C. GT 16 ","East Germany","114","1","1","1"
"No","1999","Couple + C. LE and GT 16","West Germany","91","1","1","1"
"No","1999","Couple + C. LE and GT 16","East Germany","53","1","1","1"
"Yes","2000","1-pers.-HH","West Germany","","","",""
"Yes","2000","1-pers.-HH","East Germany","","","",""
"Yes","2000","(Married) couple without C. ","West Germany","","","",""
"Yes","2000","(Married) couple without C. ","East Germany","","","",""
"Yes","2000","Single parent ","West Germany","","","",""
"Yes","2000","Single parent ","East Germany","","","",""
"Yes","2000","Couple + C. LE 16 ","West Germany","","","",""
"Yes","2000","Couple + C. LE 16 ","East Germany","","","",""
"Yes","2000","Couple + C. GT 16 ","West Germany","","","",""
"Yes","2000","Couple + C. GT 16 ","East Germany","","","",""
"Yes","2000","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","2000","Couple + C. LE and GT 16","East Germany","","","",""
"No","2000","1-pers.-HH","West Germany","252","1","1","1"
"No","2000","1-pers.-HH","East Germany","59","1","1","1"
"No","2000","(Married) couple without C. ","West Germany","462","1","1","1"
"No","2000","(Married) couple without C. ","East Germany","158","1","1","1"
"No","2000","Single parent ","West Germany","111","1","1","1"
"No","2000","Single parent ","East Germany","32","1","1","1"
"No","2000","Couple + C. LE 16 ","West Germany","504","1","1","1"
"No","2000","Couple + C. LE 16 ","East Germany","187","1","1","1"
"No","2000","Couple + C. GT 16 ","West Germany","301","1","1","1"
"No","2000","Couple + C. GT 16 ","East Germany","153","1","1","1"
"No","2000","Couple + C. LE and GT 16","West Germany","150","1","1","1"
"No","2000","Couple + C. LE and GT 16","East Germany","71","1","1","1"
"Yes","2001","1-pers.-HH","West Germany","","","",""
"Yes","2001","1-pers.-HH","East Germany","","","",""
"Yes","2001","(Married) couple without C. ","West Germany","","","",""
"Yes","2001","(Married) couple without C. ","East Germany","","","",""
"Yes","2001","Single parent ","West Germany","","","",""
"Yes","2001","Single parent ","East Germany","","","",""
"Yes","2001","Couple + C. LE 16 ","West Germany","","","",""
"Yes","2001","Couple + C. LE 16 ","East Germany","","","",""
"Yes","2001","Couple + C. GT 16 ","West Germany","","","",""
"Yes","2001","Couple + C. GT 16 ","East Germany","","","",""
"Yes","2001","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","2001","Couple + C. LE and GT 16","East Germany","","","",""
"No","2001","1-pers.-HH","West Germany","217","1","1","1"
"No","2001","1-pers.-HH","East Germany","57","1","1","1"
"No","2001","(Married) couple without C. ","West Germany","437","1","1","1"
"No","2001","(Married) couple without C. ","East Germany","159","1","1","1"
"No","2001","Single parent ","West Germany","83","1","1","1"
"No","2001","Single parent ","East Germany","33","1","1","1"
"No","2001","Couple + C. LE 16 ","West Germany","493","1","1","1"
"No","2001","Couple + C. LE 16 ","East Germany","163","1","1","1"
"No","2001","Couple + C. GT 16 ","West Germany","299","1","1","1"
"No","2001","Couple + C. GT 16 ","East Germany","151","1","1","1"
"No","2001","Couple + C. LE and GT 16","West Germany","138","1","1","1"
"No","2001","Couple + C. LE and GT 16","East Germany","63","1","1","1"
"Yes","2002","1-pers.-HH","West Germany","505","0.696824684648865","0.663321381667402","0.730327987630328"
"Yes","2002","1-pers.-HH","East Germany","111","0.674062584374671","0.603184712452165","0.744940456297177"
"Yes","2002","(Married) couple without C. ","West Germany","1210","0.737348039124426","0.715997217002819","0.758698861246032"
"Yes","2002","(Married) couple without C. ","East Germany","324","0.67300747421676","0.63073123201689","0.715283716416629"
"Yes","2002","Single parent ","West Germany","184","0.689573598674976","0.63376311767245","0.745384079677503"
"Yes","2002","Single parent ","East Germany","58","0.597485049716985","0.498870540513055","0.696099558920914"
"Yes","2002","Couple + C. LE 16 ","West Germany","1266","0.70562859172775","0.684220172377919","0.727037011077582"
"Yes","2002","Couple + C. LE 16 ","East Germany","316","0.66056372856626","0.61743227632691","0.70369518080561"
"Yes","2002","Couple + C. GT 16 ","West Germany","675","0.666309769852773","0.636636045353761","0.695983494351785"
"Yes","2002","Couple + C. GT 16 ","East Germany","351","0.631860311345392","0.590446415370349","0.673274207320434"
"Yes","2002","Couple + C. LE and GT 16","West Germany","350","0.631770965383909","0.58953639564229","0.674005535125528"
"Yes","2002","Couple + C. LE and GT 16","East Germany","135","0.681064507390529","0.616633397500095","0.745495617280963"
"No","2002","1-pers.-HH","West Germany","218","0.303175315351135","0.269672012369672","0.336678618332598"
"No","2002","1-pers.-HH","East Germany","57","0.325937415625329","0.255059543702823","0.396815287547835"
"No","2002","(Married) couple without C. ","West Germany","422","0.262651960875574","0.241301138753968","0.284002782997181"
"No","2002","(Married) couple without C. ","East Germany","149","0.32699252578324","0.28471628358337","0.36926876798311"
"No","2002","Single parent ","West Germany","80","0.310426401325024","0.254615920322497","0.36623688232755"
"No","2002","Single parent ","East Germany","37","0.402514950283015","0.303900441079086","0.501129459486945"
"No","2002","Couple + C. LE 16 ","West Germany","475","0.29437140827225","0.272962988922418","0.315779827622081"
"No","2002","Couple + C. LE 16 ","East Germany","147","0.33943627143374","0.29630481919439","0.38256772367309"
"No","2002","Couple + C. GT 16 ","West Germany","295","0.333690230147227","0.304016505648215","0.363363954646239"
"No","2002","Couple + C. GT 16 ","East Germany","170","0.368139688654608","0.326725792679566","0.409553584629651"
"No","2002","Couple + C. LE and GT 16","West Germany","151","0.368229034616091","0.325994464874472","0.41046360435771"
"No","2002","Couple + C. LE and GT 16","East Germany","66","0.318935492609471","0.254504382719037","0.383366602499905"
"Yes","2003","1-pers.-HH","West Germany","514","0.747897232679726","0.715844629851078","0.779949835508374"
"Yes","2003","1-pers.-HH","East Germany","113","0.67371232806204","0.6015138299148","0.74591082620928"
"Yes","2003","(Married) couple without C. ","West Germany","1100","0.697250758259085","0.674296418225342","0.720205098292829"
"Yes","2003","(Married) couple without C. ","East Germany","334","0.660040059477238","0.618183400542481","0.701896718411995"
"Yes","2003","Single parent ","West Germany","187","0.696135697209196","0.641578310260676","0.750693084157716"
"Yes","2003","Single parent ","East Germany","60","0.601479983575569","0.501975585681203","0.700984381469934"
"Yes","2003","Couple + C. LE 16 ","West Germany","1153","0.712711477660264","0.690427818013006","0.734995137307522"
"Yes","2003","Couple + C. LE 16 ","East Germany","285","0.677607685303034","0.632476058869074","0.722739311736994"
"Yes","2003","Couple + C. GT 16 ","West Germany","650","0.635708497321684","0.605609926387347","0.66580706825602"
"Yes","2003","Couple + C. GT 16 ","East Germany","335","0.66328290730081","0.621481651482788","0.705084163118832"
"Yes","2003","Couple + C. LE and GT 16","West Germany","347","0.6940102084812","0.653698367640695","0.734322049321705"
"Yes","2003","Couple + C. LE and GT 16","East Germany","126","0.702296038158144","0.634934208593653","0.769657867722635"
"No","2003","1-pers.-HH","West Germany","191","0.252102767320274","0.220050164491626","0.284155370148922"
"No","2003","1-pers.-HH","East Germany","49","0.32628767193796","0.25408917379072","0.398486170085199"
"No","2003","(Married) couple without C. ","West Germany","439","0.302749241740914","0.279794901707171","0.325703581774658"
"No","2003","(Married) couple without C. ","East Germany","158","0.339959940522762","0.298103281588005","0.381816599457519"
"No","2003","Single parent ","West Germany","86","0.303864302790805","0.249306915842285","0.358421689739325"
"No","2003","Single parent ","East Germany","33","0.398520016424431","0.299015618530066","0.498024414318797"
"No","2003","Couple + C. LE 16 ","West Germany","431","0.287288522339736","0.265004862692478","0.309572181986994"
"No","2003","Couple + C. LE 16 ","East Germany","127","0.322392314696966","0.277260688263006","0.367523941130926"
"No","2003","Couple + C. GT 16 ","West Germany","332","0.364291502678316","0.33419293174398","0.394390073612652"
"No","2003","Couple + C. GT 16 ","East Germany","156","0.33671709269919","0.294915836881168","0.378518348517212"
"No","2003","Couple + C. LE and GT 16","West Germany","155","0.3059897915188","0.265677950678295","0.346301632359305"
"No","2003","Couple + C. LE and GT 16","East Germany","51","0.297703961841856","0.230342132277365","0.365065791406347"
"Yes","2004","1-pers.-HH","West Germany","486","0.741602946169702","0.708001822952735","0.775204069386669"
"Yes","2004","1-pers.-HH","East Germany","110","0.660854419452702","0.587726850941766","0.733981987963637"
