"plb0196_h","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Hesse","(2a) intermediate vocational","","","",""
"Yes","1986","Hesse","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Hesse","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Hesse","(3a) lower tertiary education","","","",""
"Yes","1986","Hesse","(3b) higher tertiary education","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","(1a) inadequately completed","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","(1b) general elementary school","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","","","",""
"Yes","1986","Baden-Württemberg","(0) in school","","","",""
"Yes","1986","Baden-Württemberg","(1a) inadequately completed","","","",""
"Yes","1986","Baden-Württemberg","(1b) general elementary school","","","",""
"Yes","1986","Baden-Württemberg","(1c) basic vocational qualification","","","",""
"Yes","1986","Baden-Württemberg","(2b) intermediate general qualification","","","",""
"Yes","1986","Baden-Württemberg","(2a) intermediate vocational","","","",""
"Yes","1986","Baden-Württemberg","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Baden-Württemberg","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Baden-Württemberg","(3a) lower tertiary education","","","",""
"Yes","1986","Baden-Württemberg","(3b) higher tertiary education","","","",""
"Yes","1986","Bavaria","(0) in school","","","",""
"Yes","1986","Bavaria","(1a) inadequately completed","","","",""
"Yes","1986","Bavaria","(1b) general elementary school","","","",""
"Yes","1986","Bavaria","(1c) basic vocational qualification","","","",""
"Yes","1986","Bavaria","(2b) intermediate general qualification","","","",""
"Yes","1986","Bavaria","(2a) intermediate vocational","","","",""
"Yes","1986","Bavaria","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Bavaria","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Bavaria","(3a) lower tertiary education","","","",""
"Yes","1986","Bavaria","(3b) higher tertiary education","","","",""
"Yes","1986","Berlin","(0) in school","","","",""
"Yes","1986","Berlin","(1a) inadequately completed","","","",""
"Yes","1986","Berlin","(1b) general elementary school","","","",""
"Yes","1986","Berlin","(1c) basic vocational qualification","","","",""
"Yes","1986","Berlin","(2b) intermediate general qualification","","","",""
"Yes","1986","Berlin","(2a) intermediate vocational","","","",""
"Yes","1986","Berlin","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Berlin","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Berlin","(3a) lower tertiary education","","","",""
"Yes","1986","Berlin","(3b) higher tertiary education","","","",""
"Yes","1986","Brandenburg","(0) in school","","","",""
"Yes","1986","Brandenburg","(1a) inadequately completed","","","",""
"Yes","1986","Brandenburg","(1b) general elementary school","","","",""
"Yes","1986","Brandenburg","(1c) basic vocational qualification","","","",""
"Yes","1986","Brandenburg","(2b) intermediate general qualification","","","",""
"Yes","1986","Brandenburg","(2a) intermediate vocational","","","",""
"Yes","1986","Brandenburg","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Brandenburg","(3a) lower tertiary education","","","",""
"Yes","1986","Brandenburg","(3b) higher tertiary education","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"Yes","1986","Saxony","(0) in school","","","",""
"Yes","1986","Saxony","(1a) inadequately completed","","","",""
"Yes","1986","Saxony","(1b) general elementary school","","","",""
"Yes","1986","Saxony","(1c) basic vocational qualification","","","",""
"Yes","1986","Saxony","(2b) intermediate general qualification","","","",""
"Yes","1986","Saxony","(2a) intermediate vocational","","","",""
"Yes","1986","Saxony","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Saxony","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Saxony","(3a) lower tertiary education","","","",""
"Yes","1986","Saxony","(3b) higher tertiary education","","","",""
"Yes","1986","Saxony-Anhalt","(0) in school","","","",""
"Yes","1986","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Yes","1986","Saxony-Anhalt","(1b) general elementary school","","","",""
"Yes","1986","Saxony-Anhalt","(1c) basic vocational qualification","","","",""
"Yes","1986","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"Yes","1986","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"Yes","1986","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Saxony-Anhalt","(3a) lower tertiary education","","","",""
"Yes","1986","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"Yes","1986","Thuringia","(0) in school","","","",""
"Yes","1986","Thuringia","(1a) inadequately completed","","","",""
"Yes","1986","Thuringia","(1b) general elementary school","","","",""
"Yes","1986","Thuringia","(1c) basic vocational qualification","","","",""
"Yes","1986","Thuringia","(2b) intermediate general qualification","","","",""
"Yes","1986","Thuringia","(2a) intermediate vocational","","","",""
"Yes","1986","Thuringia","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Thuringia","(3a) lower tertiary education","","","",""
"Yes","1986","Thuringia","(3b) higher tertiary education","","","",""
"No","1986","Schleswig-Holstein","(0) in school","","","",""
"No","1986","Schleswig-Holstein","(1a) inadequately completed","4","","",""
"No","1986","Schleswig-Holstein","(1b) general elementary school","22","","",""
"No","1986","Schleswig-Holstein","(1c) basic vocational qualification","57","1","1","1"
"No","1986","Schleswig-Holstein","(2b) intermediate general qualification","5","","",""
"No","1986","Schleswig-Holstein","(2a) intermediate vocational","20","","",""
"No","1986","Schleswig-Holstein","(2c_gen) general maturity certificate","6","","",""
"No","1986","Schleswig-Holstein","(2c_voc) vocational maturity certificate","4","","",""
"No","1986","Schleswig-Holstein","(3a) lower tertiary education","2","","",""
"No","1986","Schleswig-Holstein","(3b) higher tertiary education","4","","",""
"No","1986","Hamburg","(0) in school","","","",""
"No","1986","Hamburg","(1a) inadequately completed","10","","",""
"No","1986","Hamburg","(1b) general elementary school","13","","",""
"No","1986","Hamburg","(1c) basic vocational qualification","31","1","1","1"
"No","1986","Hamburg","(2b) intermediate general qualification","3","","",""
"No","1986","Hamburg","(2a) intermediate vocational","11","","",""
"No","1986","Hamburg","(2c_gen) general maturity certificate","7","","",""
"No","1986","Hamburg","(2c_voc) vocational maturity certificate","8","","",""
"No","1986","Hamburg","(3a) lower tertiary education","3","","",""
"No","1986","Hamburg","(3b) higher tertiary education","4","","",""
"No","1986","Lower Saxony","(0) in school","","","",""
"No","1986","Lower Saxony","(1a) inadequately completed","15","","",""
"No","1986","Lower Saxony","(1b) general elementary school","70","1","1","1"
"No","1986","Lower Saxony","(1c) basic vocational qualification","154","1","1","1"
"No","1986","Lower Saxony","(2b) intermediate general qualification","18","","",""
"No","1986","Lower Saxony","(2a) intermediate vocational","75","1","1","1"
"No","1986","Lower Saxony","(2c_gen) general maturity certificate","11","","",""
"No","1986","Lower Saxony","(2c_voc) vocational maturity certificate","15","","",""
"No","1986","Lower Saxony","(3a) lower tertiary education","6","","",""
"No","1986","Lower Saxony","(3b) higher tertiary education","29","","",""
"No","1986","Bremen","(0) in school","","","",""
"No","1986","Bremen","(1a) inadequately completed","","","",""
"No","1986","Bremen","(1b) general elementary school","7","","",""
"No","1986","Bremen","(1c) basic vocational qualification","16","","",""
"No","1986","Bremen","(2b) intermediate general qualification","3","","",""
"No","1986","Bremen","(2a) intermediate vocational","6","","",""
"No","1986","Bremen","(2c_gen) general maturity certificate","1","","",""
"No","1986","Bremen","(2c_voc) vocational maturity certificate","1","","",""
"No","1986","Bremen","(3a) lower tertiary education","1","","",""
"No","1986","Bremen","(3b) higher tertiary education","","","",""
"No","1986","North Rhine-Westphalia","(0) in school","2","","",""
"No","1986","North Rhine-Westphalia","(1a) inadequately completed","118","1","1","1"
"No","1986","North Rhine-Westphalia","(1b) general elementary school","230","1","1","1"
"No","1986","North Rhine-Westphalia","(1c) basic vocational qualification","382","1","1","1"
"No","1986","North Rhine-Westphalia","(2b) intermediate general qualification","46","1","1","1"
"No","1986","North Rhine-Westphalia","(2a) intermediate vocational","147","1","1","1"
"No","1986","North Rhine-Westphalia","(2c_gen) general maturity certificate","39","1","1","1"
"No","1986","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","51","1","1","1"
"No","1986","North Rhine-Westphalia","(3a) lower tertiary education","27","","",""
"No","1986","North Rhine-Westphalia","(3b) higher tertiary education","82","1","1","1"
"No","1986","Hesse","(0) in school","1","","",""
"No","1986","Hesse","(1a) inadequately completed","47","1","1","1"
"No","1986","Hesse","(1b) general elementary school","102","1","1","1"
"No","1986","Hesse","(1c) basic vocational qualification","129","1","1","1"
"No","1986","Hesse","(2b) intermediate general qualification","15","","",""
"No","1986","Hesse","(2a) intermediate vocational","53","1","1","1"
"No","1986","Hesse","(2c_gen) general maturity certificate","20","","",""
"No","1986","Hesse","(2c_voc) vocational maturity certificate","20","","",""
"No","1986","Hesse","(3a) lower tertiary education","13","","",""
"No","1986","Hesse","(3b) higher tertiary education","15","","",""
"No","1986","Rhineland-Palatinate,Saarland","(0) in school","1","","",""
"No","1986","Rhineland-Palatinate,Saarland","(1a) inadequately completed","25","","",""
"No","1986","Rhineland-Palatinate,Saarland","(1b) general elementary school","67","1","1","1"
"No","1986","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","128","1","1","1"
"No","1986","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","15","","",""
"No","1986","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","32","1","1","1"
"No","1986","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","7","","",""
"No","1986","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","5","","",""
"No","1986","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","7","","",""
"No","1986","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","9","","",""
"No","1986","Baden-Württemberg","(0) in school","","","",""
"No","1986","Baden-Württemberg","(1a) inadequately completed","116","1","1","1"
"No","1986","Baden-Württemberg","(1b) general elementary school","233","1","1","1"
"No","1986","Baden-Württemberg","(1c) basic vocational qualification","330","1","1","1"
"No","1986","Baden-Württemberg","(2b) intermediate general qualification","27","","",""
"No","1986","Baden-Württemberg","(2a) intermediate vocational","73","1","1","1"
"No","1986","Baden-Württemberg","(2c_gen) general maturity certificate","18","","",""
"No","1986","Baden-Württemberg","(2c_voc) vocational maturity certificate","29","","",""
"No","1986","Baden-Württemberg","(3a) lower tertiary education","15","","",""
"No","1986","Baden-Württemberg","(3b) higher tertiary education","28","","",""
"No","1986","Bavaria","(0) in school","1","","",""
"No","1986","Bavaria","(1a) inadequately completed","41","1","1","1"
"No","1986","Bavaria","(1b) general elementary school","172","1","1","1"
"No","1986","Bavaria","(1c) basic vocational qualification","306","1","1","1"
"No","1986","Bavaria","(2b) intermediate general qualification","35","1","1","1"
"No","1986","Bavaria","(2a) intermediate vocational","100","1","1","1"
"No","1986","Bavaria","(2c_gen) general maturity certificate","16","","",""
"No","1986","Bavaria","(2c_voc) vocational maturity certificate","21","","",""
"No","1986","Bavaria","(3a) lower tertiary education","21","","",""
"No","1986","Bavaria","(3b) higher tertiary education","43","1","1","1"
"No","1986","Berlin","(0) in school","","","",""
"No","1986","Berlin","(1a) inadequately completed","15","","",""
"No","1986","Berlin","(1b) general elementary school","35","1","1","1"
"No","1986","Berlin","(1c) basic vocational qualification","48","1","1","1"
"No","1986","Berlin","(2b) intermediate general qualification","5","","",""
"No","1986","Berlin","(2a) intermediate vocational","26","","",""
"No","1986","Berlin","(2c_gen) general maturity certificate","6","","",""
"No","1986","Berlin","(2c_voc) vocational maturity certificate","9","","",""
"No","1986","Berlin","(3a) lower tertiary education","2","","",""
"No","1986","Berlin","(3b) higher tertiary education","13","","",""
"No","1986","Brandenburg","(0) in school","","","",""
"No","1986","Brandenburg","(1a) inadequately completed","","","",""
"No","1986","Brandenburg","(1b) general elementary school","","","",""
"No","1986","Brandenburg","(1c) basic vocational qualification","","","",""
"No","1986","Brandenburg","(2b) intermediate general qualification","","","",""
"No","1986","Brandenburg","(2a) intermediate vocational","","","",""
"No","1986","Brandenburg","(2c_gen) general maturity certificate","","","",""
"No","1986","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"No","1986","Brandenburg","(3a) lower tertiary education","","","",""
"No","1986","Brandenburg","(3b) higher tertiary education","","","",""
"No","1986","Mecklenburg-Western Pomerania","(0) in school","","","",""
"No","1986","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"No","1986","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"No","1986","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"No","1986","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"No","1986","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","",""
"No","1986","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"No","1986","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"No","1986","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"No","1986","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"No","1986","Saxony","(0) in school","","","",""
"No","1986","Saxony","(1a) inadequately completed","","","",""
"No","1986","Saxony","(1b) general elementary school","","","",""
"No","1986","Saxony","(1c) basic vocational qualification","","","",""
"No","1986","Saxony","(2b) intermediate general qualification","","","",""
"No","1986","Saxony","(2a) intermediate vocational","","","",""
"No","1986","Saxony","(2c_gen) general maturity certificate","","","",""
"No","1986","Saxony","(2c_voc) vocational maturity certificate","","","",""
"No","1986","Saxony","(3a) lower tertiary education","","","",""
"No","1986","Saxony","(3b) higher tertiary education","","","",""
"No","1986","Saxony-Anhalt","(0) in school","","","",""
"No","1986","Saxony-Anhalt","(1a) inadequately completed","","","",""
"No","1986","Saxony-Anhalt","(1b) general elementary school","","","",""
"No","1986","Saxony-Anhalt","(1c) basic vocational qualification","","","",""
"No","1986","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"No","1986","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"No","1986","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"No","1986","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"No","1986","Saxony-Anhalt","(3a) lower tertiary education","","","",""
"No","1986","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"No","1986","Thuringia","(0) in school","","","",""
"No","1986","Thuringia","(1a) inadequately completed","","","",""
"No","1986","Thuringia","(1b) general elementary school","","","",""
"No","1986","Thuringia","(1c) basic vocational qualification","","","",""
"No","1986","Thuringia","(2b) intermediate general qualification","","","",""
"No","1986","Thuringia","(2a) intermediate vocational","","","",""
"No","1986","Thuringia","(2c_gen) general maturity certificate","","","",""
"No","1986","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"No","1986","Thuringia","(3a) lower tertiary education","","","",""
"No","1986","Thuringia","(3b) higher tertiary education","","","",""
"Yes","1987","Schleswig-Holstein","(0) in school","","","",""
"Yes","1987","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Yes","1987","Schleswig-Holstein","(1b) general elementary school","","","",""
"Yes","1987","Schleswig-Holstein","(1c) basic vocational qualification","","","",""
"Yes","1987","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"Yes","1987","Schleswig-Holstein","(2a) intermediate vocational","","","",""
"Yes","1987","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Yes","1987","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Yes","1987","Hamburg","(0) in school","","","",""
"Yes","1987","Hamburg","(1a) inadequately completed","","","",""
"Yes","1987","Hamburg","(1b) general elementary school","","","",""
"Yes","1987","Hamburg","(1c) basic vocational qualification","","","",""
"Yes","1987","Hamburg","(2b) intermediate general qualification","","","",""
"Yes","1987","Hamburg","(2a) intermediate vocational","","","",""
"Yes","1987","Hamburg","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Hamburg","(3a) lower tertiary education","","","",""
"Yes","1987","Hamburg","(3b) higher tertiary education","","","",""
"Yes","1987","Lower Saxony","(0) in school","","","",""
"Yes","1987","Lower Saxony","(1a) inadequately completed","","","",""
"Yes","1987","Lower Saxony","(1b) general elementary school","","","",""
"Yes","1987","Lower Saxony","(1c) basic vocational qualification","","","",""
"Yes","1987","Lower Saxony","(2b) intermediate general qualification","","","",""
"Yes","1987","Lower Saxony","(2a) intermediate vocational","","","",""
"Yes","1987","Lower Saxony","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Lower Saxony","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Lower Saxony","(3a) lower tertiary education","","","",""
"Yes","1987","Lower Saxony","(3b) higher tertiary education","","","",""
"Yes","1987","Bremen","(0) in school","","","",""
"Yes","1987","Bremen","(1a) inadequately completed","","","",""
"Yes","1987","Bremen","(1b) general elementary school","","","",""
"Yes","1987","Bremen","(1c) basic vocational qualification","","","",""
"Yes","1987","Bremen","(2b) intermediate general qualification","","","",""
"Yes","1987","Bremen","(2a) intermediate vocational","","","",""
"Yes","1987","Bremen","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Bremen","(3a) lower tertiary education","","","",""
"Yes","1987","Bremen","(3b) higher tertiary education","","","",""
"Yes","1987","North Rhine-Westphalia","(0) in school","","","",""
"Yes","1987","North Rhine-Westphalia","(1a) inadequately completed","","","",""
"Yes","1987","North Rhine-Westphalia","(1b) general elementary school","","","",""
"Yes","1987","North Rhine-Westphalia","(1c) basic vocational qualification","","","",""
"Yes","1987","North Rhine-Westphalia","(2b) intermediate general qualification","","","",""
"Yes","1987","North Rhine-Westphalia","(2a) intermediate vocational","","","",""
"Yes","1987","North Rhine-Westphalia","(2c_gen) general maturity certificate","","","",""
"Yes","1987","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","North Rhine-Westphalia","(3a) lower tertiary education","","","",""
"Yes","1987","North Rhine-Westphalia","(3b) higher tertiary education","","","",""
"Yes","1987","Hesse","(0) in school","","","",""
"Yes","1987","Hesse","(1a) inadequately completed","","","",""
"Yes","1987","Hesse","(1b) general elementary school","","","",""
"Yes","1987","Hesse","(1c) basic vocational qualification","","","",""
"Yes","1987","Hesse","(2b) intermediate general qualification","","","",""
"Yes","1987","Hesse","(2a) intermediate vocational","","","",""
"Yes","1987","Hesse","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Hesse","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Hesse","(3a) lower tertiary education","","","",""
"Yes","1987","Hesse","(3b) higher tertiary education","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","(1a) inadequately completed","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","(1b) general elementary school","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","","","",""
"Yes","1987","Baden-Württemberg","(0) in school","","","",""
"Yes","1987","Baden-Württemberg","(1a) inadequately completed","","","",""
"Yes","1987","Baden-Württemberg","(1b) general elementary school","","","",""
"Yes","1987","Baden-Württemberg","(1c) basic vocational qualification","","","",""
"Yes","1987","Baden-Württemberg","(2b) intermediate general qualification","","","",""
"Yes","1987","Baden-Württemberg","(2a) intermediate vocational","","","",""
"Yes","1987","Baden-Württemberg","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Baden-Württemberg","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Baden-Württemberg","(3a) lower tertiary education","","","",""
"Yes","1987","Baden-Württemberg","(3b) higher tertiary education","","","",""
"Yes","1987","Bavaria","(0) in school","","","",""
"Yes","1987","Bavaria","(1a) inadequately completed","","","",""
"Yes","1987","Bavaria","(1b) general elementary school","","","",""
"Yes","1987","Bavaria","(1c) basic vocational qualification","","","",""
"Yes","1987","Bavaria","(2b) intermediate general qualification","","","",""
"Yes","1987","Bavaria","(2a) intermediate vocational","","","",""
"Yes","1987","Bavaria","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Bavaria","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Bavaria","(3a) lower tertiary education","","","",""
"Yes","1987","Bavaria","(3b) higher tertiary education","","","",""
"Yes","1987","Berlin","(0) in school","","","",""
"Yes","1987","Berlin","(1a) inadequately completed","","","",""
"Yes","1987","Berlin","(1b) general elementary school","","","",""
"Yes","1987","Berlin","(1c) basic vocational qualification","","","",""
"Yes","1987","Berlin","(2b) intermediate general qualification","","","",""
"Yes","1987","Berlin","(2a) intermediate vocational","","","",""
"Yes","1987","Berlin","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Berlin","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Berlin","(3a) lower tertiary education","","","",""
"Yes","1987","Berlin","(3b) higher tertiary education","","","",""
"Yes","1987","Brandenburg","(0) in school","","","",""
"Yes","1987","Brandenburg","(1a) inadequately completed","","","",""
"Yes","1987","Brandenburg","(1b) general elementary school","","","",""
"Yes","1987","Brandenburg","(1c) basic vocational qualification","","","",""
"Yes","1987","Brandenburg","(2b) intermediate general qualification","","","",""
"Yes","1987","Brandenburg","(2a) intermediate vocational","","","",""
"Yes","1987","Brandenburg","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Brandenburg","(3a) lower tertiary education","","","",""
"Yes","1987","Brandenburg","(3b) higher tertiary education","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
