"plb0196_h","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"No","1990","middle vocational","Female","780","1","1","1"
"No","1990","vocational + Abi","Male","57","1","1","1"
"No","1990","vocational + Abi","Female","50","1","1","1"
"No","1990","higher vocational","Male","115","1","1","1"
"No","1990","higher vocational","Female","82","1","1","1"
"No","1990","higher education","Male","169","1","1","1"
"No","1990","higher education","Female","98","1","1","1"
"Yes","1991","in school","Male","","","",""
"Yes","1991","in school","Female","","","",""
"Yes","1991","inadequately","Male","","","",""
"Yes","1991","inadequately","Female","","","",""
"Yes","1991","general elemantary","Male","","","",""
"Yes","1991","general elemantary","Female","","","",""
"Yes","1991","middle vocational","Male","","","",""
"Yes","1991","middle vocational","Female","","","",""
"Yes","1991","vocational + Abi","Male","","","",""
"Yes","1991","vocational + Abi","Female","","","",""
"Yes","1991","higher vocational","Male","","","",""
"Yes","1991","higher vocational","Female","","","",""
"Yes","1991","higher education","Male","","","",""
"Yes","1991","higher education","Female","","","",""
"No","1991","in school","Male","14","","",""
"No","1991","in school","Female","3","","",""
"No","1991","inadequately","Male","134","1","1","1"
"No","1991","inadequately","Female","140","1","1","1"
"No","1991","general elemantary","Male","514","1","1","1"
"No","1991","general elemantary","Female","579","1","1","1"
"No","1991","middle vocational","Male","1597","1","1","1"
"No","1991","middle vocational","Female","1352","1","1","1"
"No","1991","vocational + Abi","Male","90","1","1","1"
"No","1991","vocational + Abi","Female","70","1","1","1"
"No","1991","higher vocational","Male","241","1","1","1"
"No","1991","higher vocational","Female","106","1","1","1"
"No","1991","higher education","Male","368","1","1","1"
"No","1991","higher education","Female","361","1","1","1"
"Yes","1992","in school","Male","","","",""
"Yes","1992","in school","Female","","","",""
"Yes","1992","inadequately","Male","","","",""
"Yes","1992","inadequately","Female","","","",""
"Yes","1992","general elemantary","Male","","","",""
"Yes","1992","general elemantary","Female","","","",""
"Yes","1992","middle vocational","Male","","","",""
"Yes","1992","middle vocational","Female","","","",""
"Yes","1992","vocational + Abi","Male","","","",""
"Yes","1992","vocational + Abi","Female","","","",""
"Yes","1992","higher vocational","Male","","","",""
"Yes","1992","higher vocational","Female","","","",""
"Yes","1992","higher education","Male","","","",""
"Yes","1992","higher education","Female","","","",""
"No","1992","in school","Male","10","","",""
"No","1992","in school","Female","7","","",""
"No","1992","inadequately","Male","119","1","1","1"
"No","1992","inadequately","Female","118","1","1","1"
"No","1992","general elemantary","Male","504","1","1","1"
"No","1992","general elemantary","Female","536","1","1","1"
"No","1992","middle vocational","Male","1421","1","1","1"
"No","1992","middle vocational","Female","1163","1","1","1"
"No","1992","vocational + Abi","Male","84","1","1","1"
"No","1992","vocational + Abi","Female","54","1","1","1"
"No","1992","higher vocational","Male","225","1","1","1"
"No","1992","higher vocational","Female","102","1","1","1"
"No","1992","higher education","Male","314","1","1","1"
"No","1992","higher education","Female","299","1","1","1"
"Yes","1993","in school","Male","","","",""
"Yes","1993","in school","Female","","","",""
"Yes","1993","inadequately","Male","","","",""
"Yes","1993","inadequately","Female","","","",""
"Yes","1993","general elemantary","Male","","","",""
"Yes","1993","general elemantary","Female","","","",""
"Yes","1993","middle vocational","Male","","","",""
"Yes","1993","middle vocational","Female","","","",""
"Yes","1993","vocational + Abi","Male","","","",""
"Yes","1993","vocational + Abi","Female","","","",""
"Yes","1993","higher vocational","Male","","","",""
"Yes","1993","higher vocational","Female","","","",""
"Yes","1993","higher education","Male","","","",""
"Yes","1993","higher education","Female","","","",""
"No","1993","in school","Male","7","","",""
"No","1993","in school","Female","2","","",""
"No","1993","inadequately","Male","124","1","1","1"
"No","1993","inadequately","Female","122","1","1","1"
"No","1993","general elemantary","Male","474","1","1","1"
"No","1993","general elemantary","Female","519","1","1","1"
"No","1993","middle vocational","Male","1414","1","1","1"
"No","1993","middle vocational","Female","1144","1","1","1"
"No","1993","vocational + Abi","Male","93","1","1","1"
"No","1993","vocational + Abi","Female","64","1","1","1"
"No","1993","higher vocational","Male","211","1","1","1"
"No","1993","higher vocational","Female","109","1","1","1"
"No","1993","higher education","Male","296","1","1","1"
"No","1993","higher education","Female","286","1","1","1"
"Yes","1994","in school","Male","","","",""
"Yes","1994","in school","Female","","","",""
"Yes","1994","inadequately","Male","","","",""
"Yes","1994","inadequately","Female","","","",""
"Yes","1994","general elemantary","Male","","","",""
"Yes","1994","general elemantary","Female","","","",""
"Yes","1994","middle vocational","Male","","","",""
"Yes","1994","middle vocational","Female","","","",""
"Yes","1994","vocational + Abi","Male","","","",""
"Yes","1994","vocational + Abi","Female","","","",""
"Yes","1994","higher vocational","Male","","","",""
"Yes","1994","higher vocational","Female","","","",""
"Yes","1994","higher education","Male","","","",""
"Yes","1994","higher education","Female","","","",""
"No","1994","in school","Male","3","","",""
"No","1994","in school","Female","7","","",""
"No","1994","inadequately","Male","107","1","1","1"
"No","1994","inadequately","Female","112","1","1","1"
"No","1994","general elemantary","Male","391","1","1","1"
"No","1994","general elemantary","Female","453","1","1","1"
"No","1994","middle vocational","Male","1318","1","1","1"
"No","1994","middle vocational","Female","1060","1","1","1"
"No","1994","vocational + Abi","Male","65","1","1","1"
"No","1994","vocational + Abi","Female","67","1","1","1"
"No","1994","higher vocational","Male","205","1","1","1"
"No","1994","higher vocational","Female","118","1","1","1"
"No","1994","higher education","Male","306","1","1","1"
"No","1994","higher education","Female","286","1","1","1"
"Yes","1995","in school","Male","","","",""
"Yes","1995","in school","Female","","","",""
"Yes","1995","inadequately","Male","","","",""
"Yes","1995","inadequately","Female","","","",""
"Yes","1995","general elemantary","Male","","","",""
"Yes","1995","general elemantary","Female","","","",""
"Yes","1995","middle vocational","Male","","","",""
"Yes","1995","middle vocational","Female","","","",""
"Yes","1995","vocational + Abi","Male","","","",""
"Yes","1995","vocational + Abi","Female","","","",""
"Yes","1995","higher vocational","Male","","","",""
"Yes","1995","higher vocational","Female","","","",""
"Yes","1995","higher education","Male","","","",""
"Yes","1995","higher education","Female","","","",""
"No","1995","in school","Male","6","","",""
"No","1995","in school","Female","4","","",""
"No","1995","inadequately","Male","91","1","1","1"
"No","1995","inadequately","Female","93","1","1","1"
"No","1995","general elemantary","Male","385","1","1","1"
"No","1995","general elemantary","Female","423","1","1","1"
"No","1995","middle vocational","Male","1290","1","1","1"
"No","1995","middle vocational","Female","1104","1","1","1"
"No","1995","vocational + Abi","Male","85","1","1","1"
"No","1995","vocational + Abi","Female","81","1","1","1"
"No","1995","higher vocational","Male","189","1","1","1"
"No","1995","higher vocational","Female","108","1","1","1"
"No","1995","higher education","Male","327","1","1","1"
"No","1995","higher education","Female","310","1","1","1"
"Yes","1996","in school","Male","","","",""
"Yes","1996","in school","Female","","","",""
"Yes","1996","inadequately","Male","","","",""
"Yes","1996","inadequately","Female","","","",""
"Yes","1996","general elemantary","Male","","","",""
"Yes","1996","general elemantary","Female","","","",""
"Yes","1996","middle vocational","Male","","","",""
"Yes","1996","middle vocational","Female","","","",""
"Yes","1996","vocational + Abi","Male","","","",""
"Yes","1996","vocational + Abi","Female","","","",""
"Yes","1996","higher vocational","Male","","","",""
"Yes","1996","higher vocational","Female","","","",""
"Yes","1996","higher education","Male","","","",""
"Yes","1996","higher education","Female","","","",""
"No","1996","in school","Male","1","","",""
"No","1996","in school","Female","4","","",""
"No","1996","inadequately","Male","88","1","1","1"
"No","1996","inadequately","Female","83","1","1","1"
"No","1996","general elemantary","Male","385","1","1","1"
"No","1996","general elemantary","Female","415","1","1","1"
"No","1996","middle vocational","Male","1248","1","1","1"
"No","1996","middle vocational","Female","1068","1","1","1"
"No","1996","vocational + Abi","Male","82","1","1","1"
"No","1996","vocational + Abi","Female","82","1","1","1"
"No","1996","higher vocational","Male","175","1","1","1"
"No","1996","higher vocational","Female","108","1","1","1"
"No","1996","higher education","Male","315","1","1","1"
"No","1996","higher education","Female","313","1","1","1"
"Yes","1997","in school","Male","","","",""
"Yes","1997","in school","Female","","","",""
"Yes","1997","inadequately","Male","","","",""
"Yes","1997","inadequately","Female","","","",""
"Yes","1997","general elemantary","Male","","","",""
"Yes","1997","general elemantary","Female","","","",""
"Yes","1997","middle vocational","Male","","","",""
"Yes","1997","middle vocational","Female","","","",""
"Yes","1997","vocational + Abi","Male","","","",""
"Yes","1997","vocational + Abi","Female","","","",""
"Yes","1997","higher vocational","Male","","","",""
"Yes","1997","higher vocational","Female","","","",""
"Yes","1997","higher education","Male","","","",""
"Yes","1997","higher education","Female","","","",""
"No","1997","in school","Male","1","","",""
"No","1997","in school","Female","1","","",""
"No","1997","inadequately","Male","22","","",""
"No","1997","inadequately","Female","12","","",""
"No","1997","general elemantary","Male","132","1","1","1"
"No","1997","general elemantary","Female","70","1","1","1"
"No","1997","middle vocational","Male","464","1","1","1"
"No","1997","middle vocational","Female","328","1","1","1"
"No","1997","vocational + Abi","Male","29","","",""
"No","1997","vocational + Abi","Female","32","1","1","1"
"No","1997","higher vocational","Male","79","1","1","1"
"No","1997","higher vocational","Female","28","","",""
"No","1997","higher education","Male","90","1","1","1"
"No","1997","higher education","Female","104","1","1","1"
"Yes","1998","in school","Male","","","",""
"Yes","1998","in school","Female","","","",""
"Yes","1998","inadequately","Male","","","",""
"Yes","1998","inadequately","Female","","","",""
"Yes","1998","general elemantary","Male","","","",""
"Yes","1998","general elemantary","Female","","","",""
"Yes","1998","middle vocational","Male","","","",""
"Yes","1998","middle vocational","Female","","","",""
"Yes","1998","vocational + Abi","Male","","","",""
"Yes","1998","vocational + Abi","Female","","","",""
"Yes","1998","higher vocational","Male","","","",""
"Yes","1998","higher vocational","Female","","","",""
"Yes","1998","higher education","Male","","","",""
"Yes","1998","higher education","Female","","","",""
"No","1998","in school","Male","1","","",""
"No","1998","in school","Female","","","",""
"No","1998","inadequately","Male","20","","",""
"No","1998","inadequately","Female","9","","",""
"No","1998","general elemantary","Male","120","1","1","1"
"No","1998","general elemantary","Female","101","1","1","1"
"No","1998","middle vocational","Male","500","1","1","1"
"No","1998","middle vocational","Female","338","1","1","1"
"No","1998","vocational + Abi","Male","23","","",""
"No","1998","vocational + Abi","Female","23","","",""
"No","1998","higher vocational","Male","69","1","1","1"
"No","1998","higher vocational","Female","39","1","1","1"
"No","1998","higher education","Male","104","1","1","1"
"No","1998","higher education","Female","111","1","1","1"
"Yes","1999","in school","Male","","","",""
"Yes","1999","in school","Female","","","",""
"Yes","1999","inadequately","Male","","","",""
"Yes","1999","inadequately","Female","","","",""
"Yes","1999","general elemantary","Male","","","",""
"Yes","1999","general elemantary","Female","","","",""
"Yes","1999","middle vocational","Male","","","",""
"Yes","1999","middle vocational","Female","","","",""
"Yes","1999","vocational + Abi","Male","","","",""
"Yes","1999","vocational + Abi","Female","","","",""
"Yes","1999","higher vocational","Male","","","",""
"Yes","1999","higher vocational","Female","","","",""
"Yes","1999","higher education","Male","","","",""
"Yes","1999","higher education","Female","","","",""
"No","1999","in school","Male","1","","",""
"No","1999","in school","Female","","","",""
"No","1999","inadequately","Male","16","","",""
"No","1999","inadequately","Female","6","","",""
"No","1999","general elemantary","Male","106","1","1","1"
"No","1999","general elemantary","Female","75","1","1","1"
"No","1999","middle vocational","Male","482","1","1","1"
"No","1999","middle vocational","Female","349","1","1","1"
"No","1999","vocational + Abi","Male","27","","",""
"No","1999","vocational + Abi","Female","18","","",""
"No","1999","higher vocational","Male","63","1","1","1"
"No","1999","higher vocational","Female","40","1","1","1"
"No","1999","higher education","Male","98","1","1","1"
"No","1999","higher education","Female","109","1","1","1"
"Yes","2000","in school","Male","","","",""
"Yes","2000","in school","Female","","","",""
"Yes","2000","inadequately","Male","","","",""
"Yes","2000","inadequately","Female","","","",""
"Yes","2000","general elemantary","Male","","","",""
"Yes","2000","general elemantary","Female","","","",""
"Yes","2000","middle vocational","Male","","","",""
"Yes","2000","middle vocational","Female","","","",""
"Yes","2000","vocational + Abi","Male","","","",""
"Yes","2000","vocational + Abi","Female","","","",""
"Yes","2000","higher vocational","Male","","","",""
"Yes","2000","higher vocational","Female","","","",""
"Yes","2000","higher education","Male","","","",""
"Yes","2000","higher education","Female","","","",""
"No","2000","in school","Male","2","","",""
"No","2000","in school","Female","1","","",""
"No","2000","inadequately","Male","13","","",""
"No","2000","inadequately","Female","5","","",""
"No","2000","general elemantary","Male","140","1","1","1"
"No","2000","general elemantary","Female","112","1","1","1"
"No","2000","middle vocational","Male","861","1","1","1"
"No","2000","middle vocational","Female","588","1","1","1"
"No","2000","vocational + Abi","Male","70","1","1","1"
"No","2000","vocational + Abi","Female","67","1","1","1"
"No","2000","higher vocational","Male","120","1","1","1"
"No","2000","higher vocational","Female","110","1","1","1"
"No","2000","higher education","Male","226","1","1","1"
"No","2000","higher education","Female","205","1","1","1"
"Yes","2001","in school","Male","","","",""
"Yes","2001","in school","Female","","","",""
"Yes","2001","inadequately","Male","","","",""
"Yes","2001","inadequately","Female","","","",""
"Yes","2001","general elemantary","Male","","","",""
"Yes","2001","general elemantary","Female","","","",""
"Yes","2001","middle vocational","Male","","","",""
"Yes","2001","middle vocational","Female","","","",""
"Yes","2001","vocational + Abi","Male","","","",""
"Yes","2001","vocational + Abi","Female","","","",""
"Yes","2001","higher vocational","Male","","","",""
"Yes","2001","higher vocational","Female","","","",""
"Yes","2001","higher education","Male","","","",""
"Yes","2001","higher education","Female","","","",""
"No","2001","in school","Male","3","","",""
"No","2001","in school","Female","4","","",""
"No","2001","inadequately","Male","10","","",""
"No","2001","inadequately","Female","5","","",""
"No","2001","general elemantary","Male","110","1","1","1"
"No","2001","general elemantary","Female","105","1","1","1"
"No","2001","middle vocational","Male","767","1","1","1"
"No","2001","middle vocational","Female","574","1","1","1"
"No","2001","vocational + Abi","Male","74","1","1","1"
"No","2001","vocational + Abi","Female","70","1","1","1"
"No","2001","higher vocational","Male","133","1","1","1"
"No","2001","higher vocational","Female","81","1","1","1"
"No","2001","higher education","Male","225","1","1","1"
"No","2001","higher education","Female","192","1","1","1"
"Yes","2002","in school","Male","5","","",""
"Yes","2002","in school","Female","9","","",""
"Yes","2002","inadequately","Male","13","","",""
"Yes","2002","inadequately","Female","5","","",""
"Yes","2002","general elemantary","Male","144","0.561336016170225","0.499452204230201","0.623219828110248"
"Yes","2002","general elemantary","Female","132","0.546273930741052","0.480186031286644","0.612361830195459"
"Yes","2002","middle vocational","Male","1528","0.665817562883545","0.646480994100008","0.685154131667082"
"Yes","2002","middle vocational","Female","1099","0.667885912770573","0.645154179392027","0.690617646149119"
"Yes","2002","vocational + Abi","Male","172","0.710476406402515","0.652976657115477","0.767976155689552"
"Yes","2002","vocational + Abi","Female","198","0.703679620386403","0.649512591486062","0.757846649286745"
"Yes","2002","higher vocational","Male","339","0.731350634903302","0.690888074664789","0.771813195141815"
"Yes","2002","higher vocational","Female","209","0.702604318651905","0.649811532403517","0.755397104900294"
"Yes","2002","higher education","Male","1077","0.809744258646012","0.788602217054733","0.83088630023729"
"Yes","2002","higher education","Female","664","0.754883109537577","0.726478644769697","0.783287574305458"
"No","2002","in school","Male","7","","",""
"No","2002","in school","Female","5","","",""
"No","2002","inadequately","Male","9","","",""
"No","2002","inadequately","Female","2","","",""
"No","2002","general elemantary","Male","103","0.438663983829775","0.376780171889752","0.500547795769799"
"No","2002","general elemantary","Female","86","0.453726069258948","0.387638169804541","0.519813968713356"
"No","2002","middle vocational","Male","758","0.334182437116455","0.314845868332918","0.353519005899992"
"No","2002","middle vocational","Female","550","0.332114087229427","0.309382353850881","0.354845820607973"
"No","2002","vocational + Abi","Male","67","0.289523593597485","0.232023844310448","0.347023342884523"
"No","2002","vocational + Abi","Female","75","0.296320379613597","0.242153350713255","0.350487408513938"
"No","2002","higher vocational","Male","122","0.268649365096698","0.228186804858185","0.309111925335211"
"No","2002","higher vocational","Female","79","0.297395681348095","0.244602895099707","0.350188467596483"
"No","2002","higher education","Male","247","0.190255741353988","0.16911369976271","0.211397782945267"
"No","2002","higher education","Female","217","0.245116890462423","0.216712425694542","0.273521355230303"
"Yes","2003","in school","Male","1","","",""
"Yes","2003","in school","Female","1","","",""
"Yes","2003","inadequately","Male","13","","",""
"Yes","2003","inadequately","Female","6","","",""
"Yes","2003","general elemantary","Male","146","0.603048993143273","0.540627113522752","0.665470872763794"
"Yes","2003","general elemantary","Female","126","0.587088934941637","0.521122743245649","0.653055126637625"
"Yes","2003","middle vocational","Male","1426","0.672876538100411","0.65289593224984","0.692857143950982"
"Yes","2003","middle vocational","Female","1082","0.655929604066859","0.632993388741113","0.678865819392604"
"Yes","2003","vocational + Abi","Male","177","0.665958145505241","0.606162019110268","0.725754271900214"
"Yes","2003","vocational + Abi","Female","197","0.719226560326508","0.666870646644521","0.771582474008495"
"Yes","2003","higher vocational","Male","338","0.769702032712751","0.730584229766203","0.808819835659299"
"Yes","2003","higher vocational","Female","192","0.690460638076695","0.636598662653706","0.744322613499684"
"Yes","2003","higher education","Male","972","0.816671450360496","0.794612842977116","0.838730057743876"
"Yes","2003","higher education","Female","606","0.751066873216477","0.721964338522986","0.780169407909969"
"No","2003","in school","Male","1","","",""
"No","2003","in school","Female","1","","",""
"No","2003","inadequately","Male","8","","",""
"No","2003","inadequately","Female","3","","",""
"No","2003","general elemantary","Male","90","0.396951006856727","0.334529127236205","0.459372886477248"
"No","2003","general elemantary","Female","88","0.412911065058363","0.346944873362375","0.478877256754351"
"No","2003","middle vocational","Male","692","0.327123461899589","0.307142856049018","0.34710406775016"
"No","2003","middle vocational","Female","566","0.344070395933141","0.321134180607396","0.367006611258887"
"No","2003","vocational + Abi","Male","62","0.334041854494759","0.274245728099786","0.393837980889732"
"No","2003","vocational + Abi","Female","86","0.280773439673492","0.228417525991505","0.333129353355479"
"No","2003","higher vocational","Male","107","0.230297967287249","0.191180164340701","0.269415770233797"
"No","2003","higher vocational","Female","91","0.309539361923305","0.255677386500316","0.363401337346294"
"No","2003","higher education","Male","210","0.183328549639504","0.161269942256124","0.205387157022884"
"No","2003","higher education","Female","242","0.248933126783523","0.219830592090031","0.278035661477014"
"Yes","2004","in school","Male","","","",""
"Yes","2004","in school","Female","4","","",""
"Yes","2004","inadequately","Male","9","","",""
"Yes","2004","inadequately","Female","7","","",""
"Yes","2004","general elemantary","Male","145","0.637005222711997","0.575393713518036","0.698616731905959"
"Yes","2004","general elemantary","Female","119","0.544432946159762","0.475238712074513","0.61362718024501"
"Yes","2004","middle vocational","Male","1396","0.67902158255718","0.658722989164211","0.699320175950149"
"Yes","2004","middle vocational","Female","1052","0.662409738492522","0.638776228183548","0.686043248801496"
"Yes","2004","vocational + Abi","Male","170","0.746879474719187","0.691523709096695","0.802235240341679"
"Yes","2004","vocational + Abi","Female","184","0.68369831554354","0.628126452292636","0.739270178794444"
"Yes","2004","higher vocational","Male","342","0.814771786836482","0.777924483189383","0.851619090483582"
"Yes","2004","higher vocational","Female","204","0.73931379249986","0.688873798331612","0.789753786668108"
"Yes","2004","higher education","Male","930","0.785556199293895","0.761916650149765","0.809195748438025"
"Yes","2004","higher education","Female","585","0.702424346940338","0.671395649718772","0.733453044161904"
"No","2004","in school","Male","","","",""
"No","2004","in school","Female","3","","",""
"No","2004","inadequately","Male","7","","",""
"No","2004","inadequately","Female","1","","",""
"No","2004","general elemantary","Male","89","0.362994777288003","0.301383268094041","0.424606286481964"
"No","2004","general elemantary","Female","80","0.455567053840238","0.38637281975499","0.524761287925487"
"No","2004","middle vocational","Male","636","0.32097841744282","0.300679824049851","0.341277010835789"
"No","2004","middle vocational","Female","486","0.337590261507478","0.313956751198504","0.361223771816452"
"No","2004","vocational + Abi","Male","67","0.253120525280813","0.197764759658321","0.308476290903305"
"No","2004","vocational + Abi","Female","85","0.31630168445646","0.260729821205556","0.371873547707364"
"No","2004","higher vocational","Male","85","0.185228213163518","0.148380909516418","0.222075516810617"
"No","2004","higher vocational","Female","87","0.26068620750014","0.210246213331892","0.311126201668388"
"No","2004","higher education","Male","228","0.214443800706105","0.190804251561975","0.238083349850235"
"No","2004","higher education","Female","249","0.297575653059662","0.266546955838096","0.328604350281228"
"Yes","2005","in school","Male","","","",""
"Yes","2005","in school","Female","2","","",""
"Yes","2005","inadequately","Male","13","","",""
"Yes","2005","inadequately","Female","7","","",""
"Yes","2005","general elemantary","Male","143","0.680529807627663","0.61849192427079","0.742567690984535"
"Yes","2005","general elemantary","Female","117","0.608032877621633","0.540204738126674","0.675861017116592"
"Yes","2005","middle vocational","Male","1291","0.689073794276827","0.668072125645638","0.710075462908016"
"Yes","2005","middle vocational","Female","974","0.672574176964049","0.648260265412863","0.696888088515236"
"Yes","2005","vocational + Abi","Male","165","0.653436265959351","0.592069211900886","0.714803320017816"
"Yes","2005","vocational + Abi","Female","194","0.68389248206941","0.628535198246124","0.739249765892696"
"Yes","2005","higher vocational","Male","308","0.7557302669356","0.713088614652979","0.798371919218221"
"Yes","2005","higher vocational","Female","164","0.673634757087076","0.615395931098115","0.731873583076037"
"Yes","2005","higher education","Male","848","0.810136095150051","0.786391342758177","0.833880847541926"
"Yes","2005","higher education","Female","555","0.714142558449353","0.682414275421821","0.745870841476885"
"No","2005","in school","Male","3","","",""
"No","2005","in school","Female","2","","",""
"No","2005","inadequately","Male","4","","",""
"No","2005","inadequately","Female","3","","",""
"No","2005","general elemantary","Male","74","0.319470192372337","0.257432309015464","0.38150807572921"
"No","2005","general elemantary","Female","82","0.391967122378367","0.324138982883408","0.459795261873326"
"No","2005","middle vocational","Male","575","0.310926205723173","0.289924537091984","0.331927874354362"
"No","2005","middle vocational","Female","457","0.327425823035951","0.303111911484765","0.351739734587137"
"No","2005","vocational + Abi","Male","66","0.346563734040649","0.285196679982184","0.407930788099114"
"No","2005","vocational + Abi","Female","77","0.31610751793059","0.260750234107304","0.371464801753876"
"No","2005","higher vocational","Male","82","0.2442697330644","0.201628080781779","0.286911385347022"
"No","2005","higher vocational","Female","85","0.326365242912924","0.268126416923963","0.384604068901885"
"No","2005","higher education","Male","200","0.189863904849948","0.166119152458074","0.213608657241823"
