"plb0196_h","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1991","1-pers.-HH","360","1","1","1","2"
"No","1991","(Married) couple without C. ","1112","1","1","1","2"
"No","1991","Single parent ","300","1","1","1","2"
"No","1991","Couple + C. LE 16 ","1680","1","1","1","2"
"No","1991","Couple + C. GT 16 ","1222","1","1","1","2"
"No","1991","Couple + C. LE and GT 16","608","1","1","1","2"
"Yes","1991","1-pers.-HH","","","","","1"
"Yes","1991","(Married) couple without C. ","","","","","1"
"Yes","1991","Single parent ","","","","","1"
"Yes","1991","Couple + C. LE 16 ","","","","","1"
"Yes","1991","Couple + C. GT 16 ","","","","","1"
"Yes","1991","Couple + C. LE and GT 16","","","","","1"
"No","1992","1-pers.-HH","325","1","1","1","2"
"No","1992","(Married) couple without C. ","1005","1","1","1","2"
"No","1992","Single parent ","263","1","1","1","2"
"No","1992","Couple + C. LE 16 ","1450","1","1","1","2"
"No","1992","Couple + C. GT 16 ","1147","1","1","1","2"
"No","1992","Couple + C. LE and GT 16","531","1","1","1","2"
"Yes","1992","1-pers.-HH","","","","","1"
"Yes","1992","(Married) couple without C. ","","","","","1"
"Yes","1992","Single parent ","","","","","1"
"Yes","1992","Couple + C. LE 16 ","","","","","1"
"Yes","1992","Couple + C. GT 16 ","","","","","1"
"Yes","1992","Couple + C. LE and GT 16","","","","","1"
"No","1993","1-pers.-HH","391","1","1","1","2"
"No","1993","(Married) couple without C. ","1016","1","1","1","2"
"No","1993","Single parent ","248","1","1","1","2"
"No","1993","Couple + C. LE 16 ","1364","1","1","1","2"
"No","1993","Couple + C. GT 16 ","1065","1","1","1","2"
"No","1993","Couple + C. LE and GT 16","555","1","1","1","2"
"Yes","1993","1-pers.-HH","","","","","1"
"Yes","1993","(Married) couple without C. ","","","","","1"
"Yes","1993","Single parent ","","","","","1"
"Yes","1993","Couple + C. LE 16 ","","","","","1"
"Yes","1993","Couple + C. GT 16 ","","","","","1"
"Yes","1993","Couple + C. LE and GT 16","","","","","1"
"No","1994","1-pers.-HH","338","1","1","1","2"
"No","1994","(Married) couple without C. ","997","1","1","1","2"
"No","1994","Single parent ","218","1","1","1","2"
"No","1994","Couple + C. LE 16 ","1277","1","1","1","2"
"No","1994","Couple + C. GT 16 ","978","1","1","1","2"
"No","1994","Couple + C. LE and GT 16","515","1","1","1","2"
"Yes","1994","1-pers.-HH","","","","","1"
"Yes","1994","(Married) couple without C. ","","","","","1"
"Yes","1994","Single parent ","","","","","1"
"Yes","1994","Couple + C. LE 16 ","","","","","1"
"Yes","1994","Couple + C. GT 16 ","","","","","1"
"Yes","1994","Couple + C. LE and GT 16","","","","","1"
"No","1995","1-pers.-HH","358","1","1","1","2"
"No","1995","(Married) couple without C. ","993","1","1","1","2"
"No","1995","Single parent ","230","1","1","1","2"
"No","1995","Couple + C. LE 16 ","1256","1","1","1","2"
"No","1995","Couple + C. GT 16 ","989","1","1","1","2"
"No","1995","Couple + C. LE and GT 16","511","1","1","1","2"
"Yes","1995","1-pers.-HH","","","","","1"
"Yes","1995","(Married) couple without C. ","","","","","1"
"Yes","1995","Single parent ","","","","","1"
"Yes","1995","Couple + C. LE 16 ","","","","","1"
"Yes","1995","Couple + C. GT 16 ","","","","","1"
"Yes","1995","Couple + C. LE and GT 16","","","","","1"
"No","1996","1-pers.-HH","362","1","1","1","2"
"No","1996","(Married) couple without C. ","989","1","1","1","2"
"No","1996","Single parent ","242","1","1","1","2"
"No","1996","Couple + C. LE 16 ","1197","1","1","1","2"
"No","1996","Couple + C. GT 16 ","909","1","1","1","2"
"No","1996","Couple + C. LE and GT 16","520","1","1","1","2"
"Yes","1996","1-pers.-HH","","","","","1"
"Yes","1996","(Married) couple without C. ","","","","","1"
"Yes","1996","Single parent ","","","","","1"
"Yes","1996","Couple + C. LE 16 ","","","","","1"
"Yes","1996","Couple + C. GT 16 ","","","","","1"
"Yes","1996","Couple + C. LE and GT 16","","","","","1"
"No","1997","1-pers.-HH","121","1","1","1","2"
"No","1997","(Married) couple without C. ","336","1","1","1","2"
"No","1997","Single parent ","60","1","1","1","2"
"No","1997","Couple + C. LE 16 ","400","1","1","1","2"
"No","1997","Couple + C. GT 16 ","278","1","1","1","2"
"No","1997","Couple + C. LE and GT 16","157","1","1","1","2"
"Yes","1997","1-pers.-HH","","","","","1"
"Yes","1997","(Married) couple without C. ","","","","","1"
"Yes","1997","Single parent ","","","","","1"
"Yes","1997","Couple + C. LE 16 ","","","","","1"
"Yes","1997","Couple + C. GT 16 ","","","","","1"
"Yes","1997","Couple + C. LE and GT 16","","","","","1"
"No","1998","1-pers.-HH","147","1","1","1","2"
"No","1998","(Married) couple without C. ","359","1","1","1","2"
"No","1998","Single parent ","74","1","1","1","2"
"No","1998","Couple + C. LE 16 ","394","1","1","1","2"
"No","1998","Couple + C. GT 16 ","294","1","1","1","2"
"No","1998","Couple + C. LE and GT 16","163","1","1","1","2"
"Yes","1998","1-pers.-HH","","","","","1"
"Yes","1998","(Married) couple without C. ","","","","","1"
"Yes","1998","Single parent ","","","","","1"
"Yes","1998","Couple + C. LE 16 ","","","","","1"
"Yes","1998","Couple + C. GT 16 ","","","","","1"
"Yes","1998","Couple + C. LE and GT 16","","","","","1"
"No","1999","1-pers.-HH","126","1","1","1","2"
"No","1999","(Married) couple without C. ","342","1","1","1","2"
"No","1999","Couple + C. GT 16 ","269","1","1","1","2"
"No","1999","Single parent ","75","1","1","1","2"
"No","1999","Couple + C. LE 16 ","415","1","1","1","2"
"No","1999","Couple + C. LE and GT 16","144","1","1","1","2"
"Yes","1999","1-pers.-HH","","","","","1"
"Yes","1999","(Married) couple without C. ","","","","","1"
"Yes","1999","Single parent ","","","","","1"
"Yes","1999","Couple + C. LE 16 ","","","","","1"
"Yes","1999","Couple + C. GT 16 ","","","","","1"
"Yes","1999","Couple + C. LE and GT 16","","","","","1"
"No","2000","1-pers.-HH","311","1","1","1","2"
"No","2000","(Married) couple without C. ","620","1","1","1","2"
"No","2000","Couple + C. GT 16 ","454","1","1","1","2"
"No","2000","Single parent ","143","1","1","1","2"
"No","2000","Couple + C. LE 16 ","691","1","1","1","2"
"No","2000","Couple + C. LE and GT 16","221","1","1","1","2"
"Yes","2000","1-pers.-HH","","","","","1"
"Yes","2000","Single parent ","","","","","1"
"Yes","2000","(Married) couple without C. ","","","","","1"
"Yes","2000","Couple + C. LE 16 ","","","","","1"
"Yes","2000","Couple + C. GT 16 ","","","","","1"
"Yes","2000","Couple + C. LE and GT 16","","","","","1"
"No","2001","1-pers.-HH","","","","","2"
"No","2001","(Married) couple without C. ","","","","","2"
"No","2001","Couple + C. GT 16 ","","","","","2"
"No","2001","Single parent ","","","","","2"
"No","2001","Couple + C. LE 16 ","","","","","2"
"No","2001","Couple + C. LE and GT 16","","","","","2"
"Yes","2001","1-pers.-HH","","","","","1"
"Yes","2001","Single parent ","","","","","1"
"Yes","2001","(Married) couple without C. ","","","","","1"
"Yes","2001","Couple + C. LE 16 ","","","","","1"
"Yes","2001","Couple + C. GT 16 ","","","","","1"
"Yes","2001","Couple + C. LE and GT 16","","","","","1"
"No","2002","1-pers.-HH","275","0.306557061389148","0.276283029350609","0.336831093427686","2"
"No","2002","(Married) couple without C. ","571","0.273724568053155","0.254677435368445","0.292771700737866","2"
"No","2002","Couple + C. GT 16 ","465","0.343407327575957","0.319304829100752","0.367509826051161","2"
"No","2002","Single parent ","117","0.331038902481379","0.282359995875006","0.379717809087752","2"
"No","2002","Couple + C. LE 16 ","622","0.301908757440866","0.282742547267027","0.321074967614705","2"
"No","2002","Couple + C. LE and GT 16","217","0.357405616097785","0.321954600280264","0.392856631915306","2"
"Yes","2002","1-pers.-HH","616","0.693442938610852","0.663168906572314","0.723716970649391","1"
"Yes","2002","Single parent ","242","0.668961097518621","0.620282190912247","0.717640004124994","1"
"Yes","2002","(Married) couple without C. ","1534","0.726275431946845","0.707228299262134","0.745322564631555","1"
"Yes","2002","Couple + C. LE 16 ","1582","0.698091242559134","0.678925032385295","0.717257452732973","1"
"Yes","2002","Couple + C. GT 16 ","1026","0.656592672424043","0.632490173948839","0.680695170899248","1"
"Yes","2002","Couple + C. LE and GT 16","485","0.642594383902215","0.607143368084694","0.678045399719736","1"
"No","2003","1-pers.-HH","240","0.26317469309404","0.233862867246603","0.292486518941477","2"
"No","2003","(Married) couple without C. ","597","0.309720423493933","0.289611419354087","0.329829427633778","2"
"No","2003","Single parent ","119","0.321800828952106","0.2739400508555","0.369661607048711","2"
"No","2003","Couple + C. GT 16 ","488","0.357540610954351","0.333065072961012","0.382016148947689","2"
"No","2003","Couple + C. LE 16 ","558","0.292896049268628","0.272931191927861","0.312860906609396","2"
"No","2003","Couple + C. LE and GT 16","206","0.304286370876067","0.269678912133881","0.338893829618253","2"
"Yes","2003","1-pers.-HH","627","0.73682530690596","0.707513481058523","0.766137132753397","1"
"Yes","2003","Single parent ","247","0.678199171047894","0.630338392951289","0.7260599491445","1"
"Yes","2003","Couple + C. LE 16 ","1438","0.707103950731371","0.687139093390604","0.727068808072139","1"
"Yes","2003","(Married) couple without C. ","1434","0.690279576506067","0.670170572366222","0.710388580645913","1"
"Yes","2003","Couple + C. GT 16 ","985","0.642459389045649","0.617983851052311","0.666934927038988","1"
"Yes","2003","Couple + C. LE and GT 16","473","0.695713629123933","0.661106170381747","0.730321087866119","1"
"No","2004","1-pers.-HH","217","0.270791223617977","0.240245806924662","0.301336640311293","2"
"No","2004","(Married) couple without C. ","589","0.296504202413639","0.276857910318842","0.316150494508436","2"
"No","2004","Single parent ","113","0.3360456995537","0.286559701474062","0.385531697633337","2"
"No","2004","Couple + C. GT 16 ","454","0.329171177882265","0.30505069007238","0.353291665692151","2"
"No","2004","Couple + C. LE 16 ","532","0.298744044276624","0.277784913585911","0.319703174967338","2"
"No","2004","Couple + C. LE and GT 16","166","0.272700271335101","0.23764512825335","0.307755414416853","2"
"Yes","2004","1-pers.-HH","596","0.729208776382023","0.698663359688707","0.759754193075338","1"
"Yes","2004","Single parent ","237","0.6639543004463","0.614468302366663","0.713440298525938","1"
"Yes","2004","Couple + C. LE 16 ","1300","0.701255955723376","0.680296825032662","0.722215086414089","1"
"Yes","2004","(Married) couple without C. ","1487","0.703495797586361","0.683849505491564","0.723142089681158","1"
"Yes","2004","Couple + C. GT 16 ","1004","0.670828822117735","0.646708334307849","0.69494930992762","1"
"Yes","2004","Couple + C. LE and GT 16","454","0.727299728664898","0.692244585583147","0.76235487174665","1"
"No","2005","1-pers.-HH","226","0.257289883108947","0.227937097783093","0.286642668434802","2"
"No","2005","(Married) couple without C. ","523","0.297321628580221","0.276790814815324","0.317852442345119","2"
"No","2005","Single parent ","120","0.385663847352679","0.333226393541547","0.438101301163811","2"
"No","2005","Couple + C. GT 16 ","394","0.339795083605236","0.313888299754665","0.365701867455807","2"
"No","2005","Couple + C. LE 16 ","460","0.284433923173349","0.262802981133285","0.306064865213412","2"
"No","2005","Couple + C. LE and GT 16","172","0.324440707205391","0.286207893980912","0.36267352042987","2"
"Yes","2005","1-pers.-HH","626","0.742710116891053","0.713357331565198","0.772062902216907","1"
"Yes","2005","Single parent ","211","0.614336152647321","0.561898698836189","0.666773606458454","1"
"Yes","2005","Couple + C. LE 16 ","1211","0.715566076826651","0.693935134786588","0.737197018866715","1"
"Yes","2005","(Married) couple without C. ","1381","0.702678371419779","0.682147557654881","0.723209185184676","1"
"Yes","2005","Couple + C. GT 16 ","890","0.660204916394764","0.634298132544193","0.686111700245335","1"
"Yes","2005","Couple + C. LE and GT 16","404","0.675559292794609","0.63732647957013","0.713792106019088","1"
"No","2006","1-pers.-HH","245","0.253727841931738","0.226244620948239","0.281211062915237","2"
"No","2006","(Married) couple without C. ","557","0.280648373418983","0.261708715706834","0.299588031131132","2"
"No","2006","Single parent ","120","0.343440609019509","0.295570433188226","0.391310784850793","2"
"No","2006","Couple + C. LE 16 ","467","0.262580205868852","0.242268864030178","0.282891547707527","2"
"No","2006","Couple + C. GT 16 ","415","0.311464337020629","0.287394914207352","0.335533759833906","2"
"No","2006","Couple + C. LE and GT 16","164","0.257146790605764","0.221880145994299","0.292413435217229","2"
"Yes","2006","1-pers.-HH","718","0.746272158068262","0.718788937084763","0.773755379051761","1"
"Yes","2006","Single parent ","258","0.656559390980491","0.608689215149207","0.704429566811774","1"
"Yes","2006","Couple + C. LE 16 ","1336","0.737419794131148","0.717108452292473","0.757731135969822","1"
"Yes","2006","(Married) couple without C. ","1605","0.719351626581017","0.700411968868868","0.738291284293166","1"
"Yes","2006","Couple + C. GT 16 ","1007","0.688535662979371","0.664466240166094","0.712605085792648","1"
"Yes","2006","Couple + C. LE and GT 16","426","0.742853209394236","0.707586564782771","0.778119854005701","1"
"No","2007","1-pers.-HH","217","0.233597212464031","0.206432663361873","0.260761761566189","2"
"No","2007","(Married) couple without C. ","507","0.252068251996242","0.232986389652463","0.271150114340021","2"
"No","2007","Single parent ","102","0.307266966912265","0.259070229024551","0.355463704799979","2"
"No","2007","Couple + C. LE 16 ","405","0.231905727964827","0.211766002286697","0.252045453642957","2"
"No","2007","Couple + C. GT 16 ","396","0.306301435511475","0.281784955265378","0.330817915757571","2"
"No","2007","Couple + C. LE and GT 16","135","0.252739594874306","0.21520626424415","0.290272925504461","2"
"Yes","2007","1-pers.-HH","715","0.766402787535969","0.739238238433811","0.793567336638128","1"
"Yes","2007","(Married) couple without C. ","1482","0.747931748003758","0.728849885659979","0.767013610347538","1"
"Yes","2007","Single parent ","250","0.692733033087735","0.644536295200021","0.740929770975449","1"
"Yes","2007","Couple + C. LE 16 ","1282","0.768094272035173","0.747954546357043","0.788233997713303","1"
"Yes","2007","Couple + C. GT 16 ","962","0.693698564488526","0.669182084242429","0.718215044734622","1"
"Yes","2007","Couple + C. LE and GT 16","380","0.747260405125694","0.709727074495539","0.78479373575585","1"
"No","2008","1-pers.-HH","245","0.279328600366106","0.250016078604377","0.308641122127836","2"
"No","2008","(Married) couple without C. ","543","0.279122141397599","0.259448396033778","0.298795886761421","2"
"No","2008","Single parent ","107","0.272796835252495","0.227535833168433","0.318057837336557","2"
"No","2008","Couple + C. LE 16 ","413","0.264969091089831","0.243498735356506","0.286439446823156","2"
"No","2008","Couple + C. GT 16 ","399","0.307891459422092","0.283456293692045","0.332326625152139","2"
"No","2008","Couple + C. LE and GT 16","130","0.285977652713422","0.245124919974882","0.326830385451961","2"
"Yes","2008","1-pers.-HH","655","0.720671399633894","0.691358877872164","0.749983921395623","1"
"Yes","2008","(Married) couple without C. ","1454","0.720877858602401","0.701204113238579","0.740551603966222","1"
"Yes","2008","Single parent ","265","0.727203164747505","0.681942162663443","0.772464166831567","1"
"Yes","2008","Couple + C. LE 16 ","1210","0.735030908910169","0.713560553176844","0.756501264643494","1"
"Yes","2008","Couple + C. GT 16 ","972","0.692108540577908","0.667673374847861","0.716543706307955","1"
"Yes","2008","Couple + C. LE and GT 16","340","0.714022347286578","0.673169614548039","0.754875080025118","1"
"No","2009","1-pers.-HH","228","0.279890484013365","0.249366520854548","0.310414447172181","2"
"No","2009","(Married) couple without C. ","510","0.301994709233338","0.280837526742474","0.323151891724202","2"
"No","2009","Single parent ","101","0.326809035229247","0.276730766393877","0.376887304064617","2"
"No","2009","Couple + C. LE 16 ","380","0.26710178623097","0.243421119278211","0.290782453183729","2"
"No","2009","Couple + C. GT 16 ","382","0.306090908311839","0.280069483579938","0.33211233304374","2"
"No","2009","Couple + C. LE and GT 16","135","0.29383393619674","0.251463688404798","0.336204183988682","2"
"Yes","2009","1-pers.-HH","603","0.720109515986635","0.689585552827819","0.750633479145452","1"
"Yes","2009","(Married) couple without C. ","1299","0.698005290766662","0.676848108275798","0.719162473257526","1"
"Yes","2009","Single parent ","236","0.673190964770753","0.623112695935383","0.723269233606123","1"
"Yes","2009","Couple + C. LE 16 ","961","0.73289821376903","0.709217546816271","0.756578880721789","1"
"Yes","2009","Couple + C. GT 16 ","823","0.693909091688161","0.66788766695626","0.719930516420062","1"
"Yes","2009","Couple + C. LE and GT 16","309","0.70616606380326","0.663795816011318","0.748536311595202","1"
"No","2010","1-pers.-HH","227","0.316885404984151","0.283498467959176","0.350272342009126","2"
"No","2010","(Married) couple without C. ","510","0.29758767389197","0.276209739412865","0.318965608371075","2"
"No","2010","Single parent ","256","0.338329495442475","0.306063216377993","0.370595774506957","2"
"No","2010","Couple + C. LE 16 ","1010","0.29671520051986","0.281029350282697","0.312401050757022","2"
"No","2010","Couple + C. GT 16 ","361","0.359213088287881","0.330886766387989","0.387539410187773","2"
"No","2010","Couple + C. LE and GT 16","189","0.360634079579237","0.321588834868238","0.399679324290237","2"
"Yes","2010","1-pers.-HH","519","0.683114595015849","0.649727657990874","0.716501532040824","1"
"Yes","2010","(Married) couple without C. ","1247","0.70241232610803","0.681034391628925","0.723790260587135","1"
"Yes","2010","Single parent ","570","0.661670504557525","0.629404225493043","0.693936783622007","1"
"Yes","2010","Couple + C. LE 16 ","2248","0.70328479948014","0.687598949242978","0.718970649717303","1"
"Yes","2010","Couple + C. GT 16 ","741","0.640786911712119","0.612460589812227","0.669113233612011","1"
"Yes","2010","Couple + C. LE and GT 16","392","0.639365920420763","0.600320675709763","0.678411165131762","1"
"No","2011","1-pers.-HH","264","0.277198202171317","0.2485224391077","0.305873965234934","2"
"No","2011","(Married) couple without C. ","555","0.250510953656578","0.232325829796698","0.268696077516458","2"
"No","2011","Single parent ","319","0.307635796096234","0.280085615650268","0.335185976542199","2"
"No","2011","Couple + C. LE 16 ","888","0.227675460736892","0.214261439612362","0.241089481861422","2"
"No","2011","Couple + C. GT 16 ","362","0.264641798808863","0.240484286125459","0.288799311492268","2"
"No","2011","Couple + C. LE and GT 16","206","0.279789123128921","0.248020699848247","0.311557546409595","2"
"Yes","2011","1-pers.-HH","672","0.722801797828683","0.694126034765066","0.7514775608923","1"
"Yes","2011","(Married) couple without C. ","1626","0.749489046343422","0.731303922483542","0.767674170203302","1"
"Yes","2011","Single parent ","759","0.692364203903766","0.664814023457801","0.719914384349732","1"
"Yes","2011","Couple + C. LE 16 ","2866","0.772324539263108","0.758910518138578","0.785738560387638","1"
"Yes","2011","Couple + C. GT 16 ","919","0.735358201191137","0.711200688507732","0.759515713874541","1"
"Yes","2011","Couple + C. LE and GT 16","561","0.720210876871079","0.688442453590405","0.751979300151753","1"
"No","2012","1-pers.-HH","295","0.273986955263016","0.247300838301318","0.300673072224715","2"
"No","2012","(Married) couple without C. ","645","0.27044610499613","0.25215722147355","0.28873498851871","2"
"No","2012","Single parent ","346","0.350394512783301","0.322515632920495","0.378273392646106","2"
"No","2012","Couple + C. LE 16 ","973","0.264072049361903","0.249748985442407","0.278395113281399","2"
"No","2012","Couple + C. GT 16 ","400","0.32155768547157","0.296187215667445","0.346928155275695","2"
"No","2012","Couple + C. LE and GT 16","225","0.255228377051781","0.225295716091447","0.285161038012115","2"
"Yes","2012","1-pers.-HH","778","0.726013044736984","0.699326927775285","0.752699161698682","1"
"Yes","2012","(Married) couple without C. ","1621","0.72955389500387","0.71126501148129","0.74784277852645","1"
"Yes","2012","Single parent ","779","0.6496054872167","0.621726607353894","0.677484367079505","1"
"Yes","2012","Couple + C. LE 16 ","2666","0.735927950638097","0.721604886718601","0.750251014557593","1"
"Yes","2012","Couple + C. GT 16 ","902","0.67844231452843","0.653071844724305","0.703812784332555","1"
"Yes","2012","Couple + C. LE and GT 16","590","0.744771622948219","0.714838961987885","0.774704283908553","1"
"No","2013","1-pers.-HH","298","0.268613478329665","0.243029338852873","0.294197617806457","2"
"No","2013","(Married) couple without C. ","621","0.264369676353684","0.24643642162491","0.282302931082458","2"
"No","2013","Single parent ","319","0.32417787388669","0.296542510368117","0.351813237405262","2"
"No","2013","Couple + C. LE 16 ","1019","0.2589662384367","0.245094445842363","0.272838031031037","2"
"No","2013","Couple + C. GT 16 ","414","0.286975976491472","0.262665295584793","0.311286657398151","2"
"No","2013","Couple + C. LE and GT 16","255","0.290884624694717","0.261943103322632","0.319826146066802","2"
"Yes","2013","1-pers.-HH","855","0.731386521670335","0.705802382193543","0.756970661147127","1"
"Yes","2013","(Married) couple without C. ","1702","0.735630323646316","0.717697068917542","0.75356357837509","1"
"Yes","2013","Single parent ","783","0.67582212611331","0.648186762594738","0.703457489631883","1"
"Yes","2013","Couple + C. LE 16 ","2812","0.7410337615633","0.727161968968963","0.754905554157637","1"
"Yes","2013","Couple + C. GT 16 ","916","0.713024023508528","0.688713342601849","0.737334704415207","1"
"Yes","2013","Couple + C. LE and GT 16","691","0.709115375305283","0.680173853933198","0.738056896677368","1"
"No","2014","1-pers.-HH","288","0.276764446240244","0.24972889342106","0.303799999059427","2"
"No","2014","(Married) couple without C. ","653","0.265060570056359","0.246995302355307","0.28312583775741","2"
"No","2014","Single parent ","290","0.308545668085371","0.279112026278986","0.337979309891755","2"
"No","2014","Couple + C. LE 16 ","863","0.235199914098078","0.220839947804173","0.249559880391982","2"
"No","2014","Couple + C. GT 16 ","369","0.30860917838215","0.282231190166782","0.334987166597517","2"
"No","2014","Couple + C. LE and GT 16","237","0.248704762598218","0.220448441704677","0.27696108349176","2"
"Yes","2014","1-pers.-HH","764","0.723235553759756","0.696200000940573","0.75027110657894","1"
"Yes","2014","(Married) couple without C. ","1640","0.734939429943641","0.716874162242589","0.753004697644693","1"
"Yes","2014","Single parent ","656","0.69145433191463","0.662020690108245","0.720887973721014","1"
"Yes","2014","Couple + C. LE 16 ","2488","0.764800085901922","0.750440119608018","0.779160052195827","1"
"Yes","2014","Couple + C. GT 16 ","809","0.69139082161785","0.665012833402483","0.717768809833218","1"
"Yes","2014","Couple + C. LE and GT 16","662","0.751295237401782","0.72303891650824","0.779551558295323","1"
"No","2015","1-pers.-HH","273","0.265373215223127","0.23912527419986","0.291621156246395","2"
"No","2015","(Married) couple without C. ","530","0.231921053006276","0.214328586313056","0.249513519699496","2"
"No","2015","Single parent ","202","0.230807379901845","0.202614019245157","0.259000740558534","2"
"No","2015","Couple + C. LE 16 ","672","0.207395334043723","0.193198362997304","0.221592305090141","2"
"No","2015","Couple + C. GT 16 ","291","0.242882303955853","0.217643896153099","0.268120711758606","2"
"No","2015","Couple + C. LE and GT 16","206","0.222192509846193","0.194772443133556","0.24961257655883","2"
"Yes","2015","1-pers.-HH","814","0.734626784776872","0.708378843753605","0.76087472580014","1"
"Yes","2015","(Married) couple without C. ","1681","0.768078946993724","0.750486480300504","0.785671413686944","1"
"Yes","2015","Single parent ","656","0.769192620098155","0.740999259441466","0.797385980754843","1"
"Yes","2015","Couple + C. LE 16 ","2461","0.792604665956277","0.778407694909859","0.806801637002696","1"
"Yes","2015","Couple + C. GT 16 ","818","0.757117696044147","0.731879288241394","0.782356103846901","1"
"Yes","2015","Couple + C. LE and GT 16","677","0.777807490153807","0.75038742344117","0.805227556866444","1"
"No","2016","1-pers.-HH","236","0.250079153425449","0.223265210000422","0.276893096850477","2"
"No","2016","(Married) couple without C. ","517","0.231357844443247","0.213635438722101","0.249080250164392","2"
"No","2016","Single parent ","232","0.286483645655202","0.256249103780144","0.316718187530261","2"
"No","2016","Couple + C. LE 16 ","638","0.228005819960026","0.212632447769625","0.243379192150426","2"
"No","2016","Couple + C. GT 16 ","278","0.232950729586198","0.207902150319693","0.257999308852702","2"
"No","2016","Couple + C. LE and GT 16","209","0.214139111117138","0.186927027014748","0.241351195219527","2"
"Yes","2016","1-pers.-HH","766","0.749920846574551","0.723106903149523","0.776734789999578","1"
"Yes","2016","(Married) couple without C. ","1658","0.768642155556753","0.750919749835608","0.786364561277899","1"
"Yes","2016","Single parent ","627","0.713516354344798","0.683281812469739","0.743750896219856","1"
"Yes","2016","Couple + C. LE 16 ","2223","0.771994180039974","0.756620807849574","0.787367552230375","1"
"Yes","2016","Couple + C. GT 16 ","816","0.767049270413802","0.742000691147298","0.792097849680306","1"
"Yes","2016","Couple + C. LE and GT 16","664","0.785860888882862","0.758648804780473","0.813072972985252","1"
"No","2017","1-pers.-HH","288","0.240643243140074","0.216705135610766","0.264581350669381","2"
"No","2017","(Married) couple without C. ","629","0.248472451462091","0.231354414523122","0.265590488401059","2"
"No","2017","Single parent ","228","0.299247910224854","0.26771214705196","0.330783673397748","2"
"No","2017","Couple + C. LE 16 ","626","0.208152774793261","0.19342228290853","0.222883266677992","2"
"No","2017","Couple + C. GT 16 ","316","0.238072795944298","0.214500008023619","0.261645583864977","2"
