"plb0196_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1987","Baden-Württemberg","West Germany","","","","","2"
"No","1987","Bavaria","East Germany","","","","","2"
"No","1987","Bavaria","West Germany","","","","","2"
"No","1987","Baden-Württemberg","East Germany","","","","","2"
"No","1987","Hesse","West Germany","","","","","2"
"No","1987","Rhineland-Palatinate,Saarland","West Germany","","","","","2"
"No","1987","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"No","1987","Hesse","East Germany","","","","","2"
"No","1987","Berlin","West Germany","","","","","2"
"No","1987","Berlin","East Germany","","","","","2"
"No","1987","Brandenburg","West Germany","","","","","2"
"No","1987","Brandenburg","East Germany","","","","","2"
"No","1987","Saxony","West Germany","","","","","2"
"No","1987","Saxony","East Germany","","","","","2"
"No","1987","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"No","1987","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"No","1987","Saxony-Anhalt","West Germany","","","","","2"
"No","1987","Saxony-Anhalt","East Germany","","","","","2"
"No","1987","Thuringia","West Germany","","","","","2"
"No","1987","Thuringia","East Germany","","","","","2"
"Yes","1987","Hesse","West Germany","","","","","1"
"Yes","1987","Hesse","East Germany","","","","","1"
"Yes","1987","Rhineland-Palatinate,Saarland","West Germany","","","","","1"
"Yes","1987","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Yes","1987","Baden-Württemberg","West Germany","","","","","1"
"Yes","1987","Baden-Württemberg","East Germany","","","","","1"
"Yes","1987","Bavaria","West Germany","","","","","1"
"Yes","1987","Bavaria","East Germany","","","","","1"
"Yes","1987","Berlin","West Germany","","","","","1"
"Yes","1987","Schleswig-Holstein","West Germany","","","","","1"
"Yes","1987","Schleswig-Holstein","East Germany","","","","","1"
"Yes","1987","Hamburg","West Germany","","","","","1"
"Yes","1987","Hamburg","East Germany","","","","","1"
"Yes","1987","Lower Saxony","West Germany","","","","","1"
"Yes","1987","Lower Saxony","East Germany","","","","","1"
"Yes","1987","Bremen","West Germany","","","","","1"
"Yes","1987","Bremen","East Germany","","","","","1"
"Yes","1987","North Rhine-Westphalia","West Germany","","","","","1"
"Yes","1987","North Rhine-Westphalia","East Germany","","","","","1"
"Yes","1987","Berlin","East Germany","","","","","1"
"Yes","1987","Brandenburg","West Germany","","","","","1"
"Yes","1987","Brandenburg","East Germany","","","","","1"
"Yes","1987","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Yes","1987","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Yes","1987","Saxony","West Germany","","","","","1"
"Yes","1987","Saxony","East Germany","","","","","1"
"Yes","1987","Saxony-Anhalt","West Germany","","","","","1"
"Yes","1987","Saxony-Anhalt","East Germany","","","","","1"
"Yes","1987","Thuringia","West Germany","","","","","1"
"Yes","1987","Thuringia","East Germany","","","","","1"
"No","1988","Schleswig-Holstein","West Germany","118","1","1","1","2"
"No","1988","Schleswig-Holstein","East Germany","","","","","2"
"No","1988","Hamburg","West Germany","63","1","1","1","2"
"No","1988","Hamburg","East Germany","","","","","2"
"No","1988","Lower Saxony","East Germany","","","","","2"
"No","1988","Lower Saxony","West Germany","399","1","1","1","2"
"No","1988","North Rhine-Westphalia","West Germany","1026","1","1","1","2"
"No","1988","Bremen","West Germany","26","","","","2"
"No","1988","Bremen","East Germany","","","","","2"
"No","1988","North Rhine-Westphalia","East Germany","","","","","2"
"No","1988","Baden-Württemberg","West Germany","810","1","1","1","2"
"No","1988","Baden-Württemberg","East Germany","","","","","2"
"No","1988","Bavaria","West Germany","730","1","1","1","2"
"No","1988","Bavaria","East Germany","","","","","2"
"No","1988","Hesse","West Germany","432","1","1","1","2"
"No","1988","Hesse","East Germany","","","","","2"
"No","1988","Rhineland-Palatinate,Saarland","West Germany","265","1","1","1","2"
"No","1988","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"No","1988","Berlin","West Germany","158","1","1","1","2"
"No","1988","Berlin","East Germany","","","","","2"
"No","1988","Brandenburg","West Germany","","","","","2"
"No","1988","Brandenburg","East Germany","","","","","2"
"No","1988","Saxony","West Germany","","","","","2"
"No","1988","Saxony","East Germany","","","","","2"
"No","1988","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"No","1988","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"No","1988","Saxony-Anhalt","West Germany","","","","","2"
"No","1988","Saxony-Anhalt","East Germany","","","","","2"
"No","1988","Thuringia","West Germany","","","","","2"
"No","1988","Thuringia","East Germany","","","","","2"
"Yes","1988","Hesse","West Germany","","","","","1"
"Yes","1988","Hesse","East Germany","","","","","1"
"Yes","1988","Rhineland-Palatinate,Saarland","West Germany","","","","","1"
"Yes","1988","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Yes","1988","Baden-Württemberg","West Germany","","","","","1"
"Yes","1988","Baden-Württemberg","East Germany","","","","","1"
"Yes","1988","Bavaria","West Germany","","","","","1"
"Yes","1988","Bavaria","East Germany","","","","","1"
"Yes","1988","Berlin","West Germany","","","","","1"
"Yes","1988","Berlin","East Germany","","","","","1"
"Yes","1988","Schleswig-Holstein","West Germany","","","","","1"
"Yes","1988","Schleswig-Holstein","East Germany","","","","","1"
"Yes","1988","Hamburg","West Germany","","","","","1"
"Yes","1988","Hamburg","East Germany","","","","","1"
"Yes","1988","Lower Saxony","West Germany","","","","","1"
"Yes","1988","Lower Saxony","East Germany","","","","","1"
"Yes","1988","Bremen","West Germany","","","","","1"
"Yes","1988","Bremen","East Germany","","","","","1"
"Yes","1988","North Rhine-Westphalia","West Germany","","","","","1"
"Yes","1988","North Rhine-Westphalia","East Germany","","","","","1"
"Yes","1988","Brandenburg","West Germany","","","","","1"
"Yes","1988","Brandenburg","East Germany","","","","","1"
"Yes","1988","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Yes","1988","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Yes","1988","Saxony","West Germany","","","","","1"
"Yes","1988","Saxony","East Germany","","","","","1"
"Yes","1988","Saxony-Anhalt","West Germany","","","","","1"
"Yes","1988","Saxony-Anhalt","East Germany","","","","","1"
"Yes","1988","Thuringia","West Germany","","","","","1"
"Yes","1988","Thuringia","East Germany","","","","","1"
"No","1989","Schleswig-Holstein","East Germany","","","","","2"
"No","1989","Lower Saxony","West Germany","345","1","1","1","2"
"No","1989","Schleswig-Holstein","West Germany","121","1","1","1","2"
"No","1989","Hamburg","West Germany","68","1","1","1","2"
"No","1989","Hamburg","East Germany","","","","","2"
"No","1989","Bavaria","West Germany","679","1","1","1","2"
"No","1989","Lower Saxony","East Germany","","","","","2"
"No","1989","Bremen","West Germany","30","1","1","1","2"
"No","1989","North Rhine-Westphalia","East Germany","","","","","2"
"No","1989","Bavaria","East Germany","","","","","2"
"No","1989","North Rhine-Westphalia","West Germany","986","1","1","1","2"
"No","1989","Bremen","East Germany","","","","","2"
"No","1989","Rhineland-Palatinate,Saarland","West Germany","253","1","1","1","2"
"No","1989","Hesse","East Germany","","","","","2"
"No","1989","Hesse","West Germany","419","1","1","1","2"
"No","1989","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"No","1989","Berlin","East Germany","","","","","2"
"No","1989","Brandenburg","West Germany","","","","","2"
"No","1989","Berlin","West Germany","161","1","1","1","2"
"No","1989","Baden-Württemberg","West Germany","794","1","1","1","2"
"No","1989","Baden-Württemberg","East Germany","","","","","2"
"No","1989","Brandenburg","East Germany","","","","","2"
"No","1989","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"No","1989","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"No","1989","Saxony","West Germany","","","","","2"
"No","1989","Saxony","East Germany","","","","","2"
"No","1989","Saxony-Anhalt","West Germany","","","","","2"
"No","1989","Saxony-Anhalt","East Germany","","","","","2"
"No","1989","Thuringia","West Germany","","","","","2"
"No","1989","Thuringia","East Germany","","","","","2"
"Yes","1989","Hesse","West Germany","","","","","1"
"Yes","1989","Hesse","East Germany","","","","","1"
"Yes","1989","Rhineland-Palatinate,Saarland","West Germany","","","","","1"
"Yes","1989","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Yes","1989","Baden-Württemberg","West Germany","","","","","1"
"Yes","1989","Baden-Württemberg","East Germany","","","","","1"
"Yes","1989","Bavaria","West Germany","","","","","1"
"Yes","1989","Bavaria","East Germany","","","","","1"
"Yes","1989","Berlin","West Germany","","","","","1"
"Yes","1989","Berlin","East Germany","","","","","1"
"Yes","1989","Brandenburg","West Germany","","","","","1"
"Yes","1989","Schleswig-Holstein","West Germany","","","","","1"
"Yes","1989","Schleswig-Holstein","East Germany","","","","","1"
"Yes","1989","Hamburg","West Germany","","","","","1"
"Yes","1989","Hamburg","East Germany","","","","","1"
"Yes","1989","Lower Saxony","West Germany","","","","","1"
"Yes","1989","Lower Saxony","East Germany","","","","","1"
"Yes","1989","Bremen","West Germany","","","","","1"
"Yes","1989","Bremen","East Germany","","","","","1"
"Yes","1989","North Rhine-Westphalia","West Germany","","","","","1"
"Yes","1989","North Rhine-Westphalia","East Germany","","","","","1"
"Yes","1989","Brandenburg","East Germany","","","","","1"
"Yes","1989","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Yes","1989","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Yes","1989","Saxony","West Germany","","","","","1"
"Yes","1989","Saxony","East Germany","","","","","1"
"Yes","1989","Saxony-Anhalt","West Germany","","","","","1"
"Yes","1989","Saxony-Anhalt","East Germany","","","","","1"
"Yes","1989","Thuringia","West Germany","","","","","1"
"Yes","1989","Thuringia","East Germany","","","","","1"
"No","1990","Schleswig-Holstein","West Germany","111","1","1","1","2"
"No","1990","Schleswig-Holstein","East Germany","","","","","2"
"No","1990","Hamburg","West Germany","55","1","1","1","2"
"No","1990","Lower Saxony","East Germany","","","","","2"
"No","1990","Lower Saxony","West Germany","342","1","1","1","2"
"No","1990","North Rhine-Westphalia","West Germany","963","1","1","1","2"
"No","1990","Hamburg","East Germany","","","","","2"
"No","1990","Bavaria","West Germany","675","1","1","1","2"
"No","1990","Bavaria","East Germany","","","","","2"
"No","1990","Bremen","East Germany","","","","","2"
"No","1990","Bremen","West Germany","25","","","","2"
"No","1990","Hesse","West Germany","401","1","1","1","2"
"No","1990","North Rhine-Westphalia","East Germany","","","","","2"
"No","1990","Rhineland-Palatinate,Saarland","West Germany","227","1","1","1","2"
"No","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"No","1990","Hesse","East Germany","","","","","2"
"No","1990","Berlin","West Germany","156","1","1","1","2"
"No","1990","Berlin","East Germany","","","","","2"
"No","1990","Brandenburg","West Germany","","","","","2"
"No","1990","Brandenburg","East Germany","","","","","2"
"No","1990","Baden-Württemberg","West Germany","759","1","1","1","2"
"No","1990","Baden-Württemberg","East Germany","","","","","2"
"No","1990","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"No","1990","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"No","1990","Saxony","West Germany","","","","","2"
"No","1990","Saxony","East Germany","","","","","2"
"No","1990","Saxony-Anhalt","West Germany","","","","","2"
"No","1990","Saxony-Anhalt","East Germany","","","","","2"
"No","1990","Thuringia","West Germany","","","","","2"
"No","1990","Thuringia","East Germany","","","","","2"
"Yes","1990","Hesse","West Germany","","","","","1"
"Yes","1990","Hesse","East Germany","","","","","1"
"Yes","1990","Rhineland-Palatinate,Saarland","West Germany","","","","","1"
"Yes","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Yes","1990","Baden-Württemberg","West Germany","","","","","1"
"Yes","1990","Baden-Württemberg","East Germany","","","","","1"
"Yes","1990","Bavaria","West Germany","","","","","1"
"Yes","1990","Bavaria","East Germany","","","","","1"
"Yes","1990","Berlin","West Germany","","","","","1"
"Yes","1990","Berlin","East Germany","","","","","1"
"Yes","1990","Schleswig-Holstein","West Germany","","","","","1"
"Yes","1990","Brandenburg","West Germany","","","","","1"
"Yes","1990","Brandenburg","East Germany","","","","","1"
"Yes","1990","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Yes","1990","Schleswig-Holstein","East Germany","","","","","1"
"Yes","1990","Hamburg","West Germany","","","","","1"
"Yes","1990","Hamburg","East Germany","","","","","1"
"Yes","1990","Lower Saxony","West Germany","","","","","1"
"Yes","1990","Lower Saxony","East Germany","","","","","1"
"Yes","1990","Bremen","West Germany","","","","","1"
"Yes","1990","Bremen","East Germany","","","","","1"
"Yes","1990","North Rhine-Westphalia","West Germany","","","","","1"
"Yes","1990","North Rhine-Westphalia","East Germany","","","","","1"
"Yes","1990","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Yes","1990","Saxony","West Germany","","","","","1"
"Yes","1990","Saxony","East Germany","","","","","1"
"Yes","1990","Saxony-Anhalt","West Germany","","","","","1"
"Yes","1990","Saxony-Anhalt","East Germany","","","","","1"
"Yes","1990","Thuringia","West Germany","","","","","1"
"Yes","1990","Thuringia","East Germany","","","","","1"
"No","1991","Schleswig-Holstein","East Germany","","","","","2"
"No","1991","Lower Saxony","West Germany","335","1","1","1","2"
"No","1991","Schleswig-Holstein","West Germany","114","1","1","1","2"
"No","1991","Hamburg","East Germany","","","","","2"
"No","1991","Hamburg","West Germany","57","1","1","1","2"
"No","1991","Bavaria","West Germany","659","1","1","1","2"
"No","1991","Lower Saxony","East Germany","","","","","2"
"No","1991","Bremen","West Germany","23","","","","2"
"No","1991","North Rhine-Westphalia","East Germany","","","","","2"
"No","1991","Bavaria","East Germany","","","","","2"
"No","1991","North Rhine-Westphalia","West Germany","964","1","1","1","2"
"No","1991","Bremen","East Germany","","","","","2"
"No","1991","Hesse","East Germany","","","","","2"
"No","1991","Rhineland-Palatinate,Saarland","West Germany","244","1","1","1","2"
"No","1991","Hesse","West Germany","400","1","1","1","2"
"No","1991","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"No","1991","Brandenburg","West Germany","","","","","2"
"No","1991","Berlin","West Germany","135","1","1","1","2"
"No","1991","Berlin","East Germany","123","1","1","1","2"
"No","1991","Brandenburg","East Germany","331","1","1","1","2"
"No","1991","Baden-Württemberg","West Germany","755","1","1","1","2"
"No","1991","Baden-Württemberg","East Germany","","","","","2"
"No","1991","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"No","1991","Mecklenburg-Western Pomerania","East Germany","239","1","1","1","2"
"No","1991","Saxony","West Germany","","","","","2"
"No","1991","Saxony","East Germany","568","1","1","1","2"
"No","1991","Saxony-Anhalt","West Germany","","","","","2"
"No","1991","Saxony-Anhalt","East Germany","398","1","1","1","2"
"No","1991","Thuringia","West Germany","","","","","2"
"No","1991","Thuringia","East Germany","316","1","1","1","2"
"Yes","1991","Hesse","West Germany","","","","","1"
"Yes","1991","Hesse","East Germany","","","","","1"
"Yes","1991","Rhineland-Palatinate,Saarland","West Germany","","","","","1"
"Yes","1991","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Yes","1991","Baden-Württemberg","West Germany","","","","","1"
"Yes","1991","Baden-Württemberg","East Germany","","","","","1"
"Yes","1991","Bavaria","West Germany","","","","","1"
"Yes","1991","Bavaria","East Germany","","","","","1"
"Yes","1991","Berlin","West Germany","","","","","1"
"Yes","1991","Berlin","East Germany","","","","","1"
"Yes","1991","Brandenburg","West Germany","","","","","1"
"Yes","1991","Schleswig-Holstein","West Germany","","","","","1"
"Yes","1991","Schleswig-Holstein","East Germany","","","","","1"
"Yes","1991","Hamburg","West Germany","","","","","1"
"Yes","1991","Brandenburg","East Germany","","","","","1"
"Yes","1991","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Yes","1991","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Yes","1991","Hamburg","East Germany","","","","","1"
"Yes","1991","Lower Saxony","West Germany","","","","","1"
"Yes","1991","Lower Saxony","East Germany","","","","","1"
"Yes","1991","Bremen","West Germany","","","","","1"
"Yes","1991","Bremen","East Germany","","","","","1"
"Yes","1991","North Rhine-Westphalia","West Germany","","","","","1"
"Yes","1991","North Rhine-Westphalia","East Germany","","","","","1"
"Yes","1991","Saxony","West Germany","","","","","1"
"Yes","1991","Saxony","East Germany","","","","","1"
"Yes","1991","Saxony-Anhalt","West Germany","","","","","1"
"Yes","1991","Saxony-Anhalt","East Germany","","","","","1"
"Yes","1991","Thuringia","West Germany","","","","","1"
"Yes","1991","Thuringia","East Germany","","","","","1"
"No","1992","Schleswig-Holstein","West Germany","103","1","1","1","2"
"No","1992","Schleswig-Holstein","East Germany","","","","","2"
"No","1992","Hamburg","West Germany","61","1","1","1","2"
"No","1992","Lower Saxony","West Germany","310","1","1","1","2"
"No","1992","Lower Saxony","East Germany","","","","","2"
"No","1992","Hamburg","East Germany","","","","","2"
"No","1992","Bavaria","East Germany","","","","","2"
"No","1992","Bremen","East Germany","","","","","2"
"No","1992","North Rhine-Westphalia","West Germany","967","1","1","1","2"
"No","1992","Bavaria","West Germany","695","1","1","1","2"
"No","1992","Bremen","West Germany","22","","","","2"
"No","1992","North Rhine-Westphalia","East Germany","","","","","2"
"No","1992","Hesse","West Germany","379","1","1","1","2"
"No","1992","Hesse","East Germany","","","","","2"
"No","1992","Rhineland-Palatinate,Saarland","West Germany","221","1","1","1","2"
"No","1992","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"No","1992","Berlin","West Germany","124","1","1","1","2"
"No","1992","Berlin","East Germany","95","1","1","1","2"
"No","1992","Brandenburg","West Germany","","","","","2"
"No","1992","Brandenburg","East Germany","248","1","1","1","2"
"No","1992","Baden-Württemberg","West Germany","721","1","1","1","2"
"No","1992","Baden-Württemberg","East Germany","","","","","2"
"No","1992","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"No","1992","Mecklenburg-Western Pomerania","East Germany","159","1","1","1","2"
"No","1992","Saxony","West Germany","","","","","2"
"No","1992","Saxony","East Germany","394","1","1","1","2"
"No","1992","Saxony-Anhalt","West Germany","","","","","2"
"No","1992","Saxony-Anhalt","East Germany","295","1","1","1","2"
"No","1992","Thuringia","West Germany","","","","","2"
"No","1992","Thuringia","East Germany","244","1","1","1","2"
"Yes","1992","Hesse","West Germany","","","","","1"
"Yes","1992","Hesse","East Germany","","","","","1"
"Yes","1992","Rhineland-Palatinate,Saarland","West Germany","","","","","1"
"Yes","1992","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Yes","1992","Baden-Württemberg","West Germany","","","","","1"
"Yes","1992","Baden-Württemberg","East Germany","","","","","1"
"Yes","1992","Bavaria","West Germany","","","","","1"
"Yes","1992","Bavaria","East Germany","","","","","1"
"Yes","1992","Berlin","West Germany","","","","","1"
"Yes","1992","Berlin","East Germany","","","","","1"
"Yes","1992","Schleswig-Holstein","West Germany","","","","","1"
"Yes","1992","Brandenburg","West Germany","","","","","1"
"Yes","1992","Brandenburg","East Germany","","","","","1"
"Yes","1992","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Yes","1992","Schleswig-Holstein","East Germany","","","","","1"
"Yes","1992","Hamburg","West Germany","","","","","1"
"Yes","1992","Hamburg","East Germany","","","","","1"
"Yes","1992","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Yes","1992","Saxony","West Germany","","","","","1"
"Yes","1992","Lower Saxony","West Germany","","","","","1"
"Yes","1992","Lower Saxony","East Germany","","","","","1"
"Yes","1992","Bremen","West Germany","","","","","1"
"Yes","1992","Bremen","East Germany","","","","","1"
"Yes","1992","North Rhine-Westphalia","West Germany","","","","","1"
"Yes","1992","North Rhine-Westphalia","East Germany","","","","","1"
"Yes","1992","Saxony","East Germany","","","","","1"
"Yes","1992","Saxony-Anhalt","West Germany","","","","","1"
"Yes","1992","Saxony-Anhalt","East Germany","","","","","1"
"Yes","1992","Thuringia","West Germany","","","","","1"
"Yes","1992","Thuringia","East Germany","","","","","1"
"No","1993","Schleswig-Holstein","East Germany","","","","","2"
"No","1993","Schleswig-Holstein","West Germany","98","1","1","1","2"
"No","1993","Hamburg","East Germany","","","","","2"
"No","1993","Hamburg","West Germany","57","1","1","1","2"
"No","1993","Lower Saxony","West Germany","351","1","1","1","2"
"No","1993","Lower Saxony","East Germany","","","","","2"
"No","1993","Bremen","West Germany","24","","","","2"
"No","1993","Bavaria","East Germany","","","","","2"
"No","1993","North Rhine-Westphalia","West Germany","1008","1","1","1","2"
"No","1993","Bavaria","West Germany","688","1","1","1","2"
"No","1993","Bremen","East Germany","","","","","2"
"No","1993","North Rhine-Westphalia","East Germany","","","","","2"
"No","1993","Hesse","West Germany","390","1","1","1","2"
"No","1993","Hesse","East Germany","","","","","2"
"No","1993","Rhineland-Palatinate,Saarland","West Germany","224","1","1","1","2"
"No","1993","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"No","1993","Berlin","West Germany","114","1","1","1","2"
"No","1993","Berlin","East Germany","101","1","1","1","2"
"No","1993","Brandenburg","West Germany","","","","","2"
"No","1993","Baden-Württemberg","West Germany","751","1","1","1","2"
"No","1993","Baden-Württemberg","East Germany","","","","","2"
"No","1993","Brandenburg","East Germany","233","1","1","1","2"
"No","1993","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"No","1993","Mecklenburg-Western Pomerania","East Germany","133","1","1","1","2"
"No","1993","Saxony","West Germany","","","","","2"
"No","1993","Saxony","East Germany","329","1","1","1","2"
"No","1993","Saxony-Anhalt","West Germany","","","","","2"
"No","1993","Saxony-Anhalt","East Germany","242","1","1","1","2"
"No","1993","Thuringia","West Germany","","","","","2"
"No","1993","Thuringia","East Germany","220","1","1","1","2"
"Yes","1993","Schleswig-Holstein","West Germany","","","","","1"
"Yes","1993","Schleswig-Holstein","East Germany","","","","","1"
"Yes","1993","Hamburg","West Germany","","","","","1"
"Yes","1993","Hamburg","East Germany","","","","","1"
"Yes","1993","Hesse","West Germany","","","","","1"
"Yes","1993","Hesse","East Germany","","","","","1"
"Yes","1993","Rhineland-Palatinate,Saarland","West Germany","","","","","1"
"Yes","1993","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Yes","1993","Baden-Württemberg","West Germany","","","","","1"
"Yes","1993","Baden-Württemberg","East Germany","","","","","1"
"Yes","1993","Bavaria","West Germany","","","","","1"
"Yes","1993","Bavaria","East Germany","","","","","1"
"Yes","1993","Berlin","West Germany","","","","","1"
"Yes","1993","Berlin","East Germany","","","","","1"
"Yes","1993","Brandenburg","West Germany","","","","","1"
"Yes","1993","Brandenburg","East Germany","","","","","1"
"Yes","1993","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Yes","1993","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Yes","1993","Lower Saxony","West Germany","","","","","1"
"Yes","1993","Saxony","West Germany","","","","","1"
"Yes","1993","Saxony","East Germany","","","","","1"
"Yes","1993","Saxony-Anhalt","West Germany","","","","","1"
"Yes","1993","Lower Saxony","East Germany","","","","","1"
"Yes","1993","Bremen","West Germany","","","","","1"
"Yes","1993","Bremen","East Germany","","","","","1"
"Yes","1993","North Rhine-Westphalia","West Germany","","","","","1"
"Yes","1993","North Rhine-Westphalia","East Germany","","","","","1"
"Yes","1993","Saxony-Anhalt","East Germany","","","","","1"
"Yes","1993","Thuringia","West Germany","","","","","1"
"Yes","1993","Thuringia","East Germany","","","","","1"
"No","1994","Schleswig-Holstein","West Germany","109","1","1","1","2"
"No","1994","Schleswig-Holstein","East Germany","","","","","2"
"No","1994","Hamburg","West Germany","46","1","1","1","2"
"No","1994","Hamburg","East Germany","","","","","2"
"No","1994","Lower Saxony","West Germany","341","1","1","1","2"
"No","1994","Lower Saxony","East Germany","","","","","2"
"No","1994","Bremen","West Germany","21","","","","2"
"No","1994","Bremen","East Germany","","","","","2"
"No","1994","Bavaria","West Germany","631","1","1","1","2"
"No","1994","North Rhine-Westphalia","West Germany","930","1","1","1","2"
