"plb0196_h","year","education","n","percent","lower_confidence","upper_confidence"
"No","1992","secondary school degree","1431","1","1","1"
"No","1992","college entrance qualification","616","1","1","1"
"No","1992","Other degree","529","1","1","1"
"No","1992","no degree/no degree yet","271","1","1","1"
"Yes","1993","lower secondary degree","","","",""
"Yes","1993","secondary school degree","","","",""
"Yes","1993","college entrance qualification","","","",""
"Yes","1993","Other degree","","","",""
"Yes","1993","no degree/no degree yet","","","",""
"No","1993","lower secondary degree","1971","1","1","1"
"No","1993","secondary school degree","1429","1","1","1"
"No","1993","college entrance qualification","638","1","1","1"
"No","1993","Other degree","518","1","1","1"
"No","1993","no degree/no degree yet","274","1","1","1"
"Yes","1994","lower secondary degree","","","",""
"Yes","1994","secondary school degree","","","",""
"Yes","1994","college entrance qualification","","","",""
"Yes","1994","Other degree","","","",""
"Yes","1994","no degree/no degree yet","","","",""
"No","1994","lower secondary degree","1754","1","1","1"
"No","1994","secondary school degree","1352","1","1","1"
"No","1994","college entrance qualification","663","1","1","1"
"No","1994","Other degree","431","1","1","1"
"No","1994","no degree/no degree yet","247","1","1","1"
"Yes","1995","lower secondary degree","","","",""
"Yes","1995","secondary school degree","","","",""
"Yes","1995","college entrance qualification","","","",""
"Yes","1995","Other degree","","","",""
"Yes","1995","no degree/no degree yet","","","",""
"No","1995","lower secondary degree","1672","1","1","1"
"No","1995","secondary school degree","1381","1","1","1"
"No","1995","college entrance qualification","669","1","1","1"
"No","1995","Other degree","527","1","1","1"
"No","1995","no degree/no degree yet","204","1","1","1"
"Yes","1996","lower secondary degree","","","",""
"Yes","1996","secondary school degree","","","",""
"Yes","1996","college entrance qualification","","","",""
"Yes","1996","Other degree","","","",""
"Yes","1996","no degree/no degree yet","","","",""
"No","1996","lower secondary degree","1622","1","1","1"
"No","1996","secondary school degree","1368","1","1","1"
"No","1996","college entrance qualification","664","1","1","1"
"No","1996","Other degree","473","1","1","1"
"No","1996","no degree/no degree yet","189","1","1","1"
"Yes","1997","lower secondary degree","","","",""
"Yes","1997","secondary school degree","","","",""
"Yes","1997","college entrance qualification","","","",""
"Yes","1997","Other degree","","","",""
"Yes","1997","no degree/no degree yet","","","",""
"No","1997","lower secondary degree","512","1","1","1"
"No","1997","secondary school degree","499","1","1","1"
"No","1997","college entrance qualification","211","1","1","1"
"No","1997","Other degree","114","1","1","1"
"No","1997","no degree/no degree yet","43","1","1","1"
"Yes","1998","lower secondary degree","","","",""
"Yes","1998","secondary school degree","","","",""
"Yes","1998","college entrance qualification","","","",""
"Yes","1998","Other degree","","","",""
"Yes","1998","no degree/no degree yet","","","",""
"No","1998","lower secondary degree","535","1","1","1"
"No","1998","secondary school degree","546","1","1","1"
"No","1998","college entrance qualification","229","1","1","1"
"No","1998","Other degree","92","1","1","1"
"No","1998","no degree/no degree yet","34","1","1","1"
"Yes","1999","lower secondary degree","","","",""
"Yes","1999","secondary school degree","","","",""
"Yes","1999","college entrance qualification","","","",""
"Yes","1999","Other degree","","","",""
"Yes","1999","no degree/no degree yet","","","",""
"No","1999","lower secondary degree","492","1","1","1"
"No","1999","secondary school degree","556","1","1","1"
"No","1999","college entrance qualification","217","1","1","1"
"No","1999","Other degree","72","1","1","1"
"No","1999","no degree/no degree yet","32","1","1","1"
"Yes","2000","lower secondary degree","","","",""
"Yes","2000","secondary school degree","","","",""
"Yes","2000","college entrance qualification","","","",""
"Yes","2000","Other degree","","","",""
"Yes","2000","no degree/no degree yet","","","",""
"No","2000","lower secondary degree","861","1","1","1"
"No","2000","secondary school degree","983","1","1","1"
"No","2000","college entrance qualification","512","1","1","1"
"No","2000","Other degree","134","1","1","1"
"No","2000","no degree/no degree yet","29","","",""
"Yes","2001","lower secondary degree","","","",""
"Yes","2001","secondary school degree","","","",""
"Yes","2001","college entrance qualification","","","",""
"Yes","2001","Other degree","","","",""
"Yes","2001","no degree/no degree yet","","","",""
"No","2001","lower secondary degree","808","1","1","1"
"No","2001","secondary school degree","885","1","1","1"
"No","2001","college entrance qualification","510","1","1","1"
"No","2001","Other degree","126","1","1","1"
"No","2001","no degree/no degree yet","21","","",""
"Yes","2002","lower secondary degree","1262","0.624915903019214","0.603536769878226","0.646295036160202"
"Yes","2002","secondary school degree","2103","0.704399527165173","0.68806273403697","0.720736320293377"
"Yes","2002","college entrance qualification","1992","0.770468028700144","0.754215852835988","0.786720204564301"
"Yes","2002","Other degree","192","0.601008229414753","0.546230871409351","0.655785587420156"
"Yes","2002","no degree/no degree yet","37","0.66663359362611","0.55113874383006","0.78212844342216"
"No","2002","lower secondary degree","708","0.375084096980786","0.353704963839798","0.396463230121774"
"No","2002","secondary school degree","894","0.295600472834827","0.279263679706623","0.31193726596303"
"No","2002","college entrance qualification","580","0.229531971299856","0.213279795435699","0.245784147164012"
"No","2002","Other degree","115","0.398991770585247","0.344214412579844","0.45376912859065"
"No","2002","no degree/no degree yet","27","","",""
"Yes","2003","lower secondary degree","1195","0.640356627454412","0.618529874934087","0.662183379974737"
"Yes","2003","secondary school degree","2007","0.702801207845688","0.686118538599777","0.719483877091598"
"Yes","2003","college entrance qualification","1881","0.780398872061372","0.764006543565396","0.796791200557349"
"Yes","2003","Other degree","163","0.53796348617628","0.479877760149592","0.596049212202967"
"Yes","2003","no degree/no degree yet","27","","",""
"No","2003","lower secondary degree","662","0.359643372545588","0.337816620025263","0.381470125065913"
"No","2003","secondary school degree","876","0.297198792154312","0.280516122908402","0.313881461400223"
"No","2003","college entrance qualification","569","0.219601127938628","0.203208799442651","0.235993456434604"
"No","2003","Other degree","120","0.462036513823721","0.403950787797033","0.520122239850408"
"No","2003","no degree/no degree yet","15","","",""
"Yes","2004","lower secondary degree","1141","0.638815864074473","0.616284984252805","0.661346743896142"
"Yes","2004","secondary school degree","2012","0.711858649885275","0.695101354145222","0.728615945625327"
"Yes","2004","college entrance qualification","1783","0.757662915936348","0.740437034462033","0.774888797410664"
"Yes","2004","Other degree","169","0.638796101003187","0.580182880924577","0.697409321081798"
"Yes","2004","no degree/no degree yet","25","","",""
"No","2004","lower secondary degree","605","0.361184135925527","0.338653256103858","0.383715015747195"
"No","2004","secondary school degree","794","0.288141350114725","0.271384054374673","0.304898645854778"
"No","2004","college entrance qualification","594","0.242337084063652","0.225111202589336","0.259562965537967"
"No","2004","Other degree","89","0.361203898996813","0.302590678918202","0.419817119075423"
"No","2004","no degree/no degree yet","12","","",""
"Yes","2005","lower secondary degree","1048","0.667088154797005","0.643740290598748","0.690436018995261"
"Yes","2005","secondary school degree","1835","0.710707631056553","0.693338533753439","0.728076728359667"
"Yes","2005","college entrance qualification","1686","0.738266768625256","0.719935761482103","0.756597775768408"
"Yes","2005","Other degree","163","0.639601816146614","0.579967731355539","0.699235900937689"
"Yes","2005","no degree/no degree yet","24","","",""
"No","2005","lower secondary degree","517","0.332911845202995","0.309563981004739","0.356259709401252"
"No","2005","secondary school degree","783","0.289292368943447","0.271923271640333","0.306661466246561"
"No","2005","college entrance qualification","523","0.261733231374744","0.243402224231592","0.280064238517897"
"No","2005","Other degree","86","0.360398183853386","0.300764099062311","0.420032268644461"
"No","2005","no degree/no degree yet","16","","",""
"Yes","2006","lower secondary degree","1170","0.678867450387476","0.656691848115297","0.701043052659654"
"Yes","2006","secondary school degree","2081","0.727308494679995","0.711006926706772","0.743610062653218"
"Yes","2006","college entrance qualification","1917","0.769030474317013","0.752416521452056","0.78564442718197"
"Yes","2006","Other degree","187","0.650043773507374","0.593977220425396","0.706110326589352"
"Yes","2006","no degree/no degree yet","19","","",""
"No","2006","lower secondary degree","533","0.321132549612524","0.298956947340346","0.343308151884703"
"No","2006","secondary school degree","786","0.272691505320005","0.256389937346782","0.288993073293228"
"No","2006","college entrance qualification","555","0.230969525682987","0.21435557281803","0.247583478547944"
"No","2006","Other degree","91","0.349956226492626","0.293889673410648","0.406022779574604"
"No","2006","no degree/no degree yet","15","","",""
"Yes","2007","lower secondary degree","1086","0.707690378263004","0.685011213815762","0.730369542710246"
"Yes","2007","secondary school degree","1961","0.738766093018993","0.722096560197286","0.755435625840699"
"Yes","2007","college entrance qualification","1832","0.790669878956526","0.774207312292512","0.80713244562054"
"Yes","2007","Other degree","171","0.736208677705925","0.680103281124471","0.792314074287379"
"Yes","2007","no degree/no degree yet","14","","",""
"No","2007","lower secondary degree","459","0.292309621736996","0.269630457289754","0.314988786184238"
"No","2007","secondary school degree","707","0.261233906981007","0.244564374159301","0.277903439802714"
"No","2007","college entrance qualification","514","0.209330121043474","0.19286755437946","0.225792687707488"
"No","2007","Other degree","66","0.263791322294075","0.207685925712621","0.319896718875529"
"No","2007","no degree/no degree yet","14","","",""
"Yes","2008","lower secondary degree","1015","0.683028491736815","0.659520833707432","0.706536149766198"
"Yes","2008","secondary school degree","1928","0.721298927688528","0.704237851234145","0.738360004142911"
"Yes","2008","college entrance qualification","1742","0.76043853337171","0.742915210305974","0.777961856437446"
"Yes","2008","Other degree","156","0.658215029538239","0.595962638405648","0.720467420670831"
"Yes","2008","no degree/no degree yet","19","","",""
"No","2008","lower secondary degree","490","0.316971508263185","0.293463850233802","0.340479166292568"
"No","2008","secondary school degree","725","0.278701072311473","0.261639995857089","0.295762148765856"
"No","2008","college entrance qualification","537","0.23956146662829","0.222038143562554","0.257084789694026"
"No","2008","Other degree","67","0.341784970461761","0.279532579329169","0.404037361594352"
"No","2008","no degree/no degree yet","14","","",""
"Yes","2009","lower secondary degree","819","0.651377594333808","0.625158883386473","0.677596305281142"
"Yes","2009","secondary school degree","1628","0.691447264974676","0.672716483223608","0.710178046725743"
"Yes","2009","college entrance qualification","1628","0.785450019309914","0.767959054074852","0.802940984544976"
"Yes","2009","Other degree","101","0.564033640888236","0.488140039819346","0.639927241957126"
"Yes","2009","no degree/no degree yet","15","","",""
"No","2009","lower secondary degree","450","0.348622405666192","0.322403694718858","0.374841116613527"
"No","2009","secondary school degree","708","0.308552735025324","0.289821953274257","0.327283516776392"
"No","2009","college entrance qualification","488","0.214549980690086","0.197059015455024","0.232040945925148"
"No","2009","Other degree","63","0.435966359111764","0.360072758042874","0.511859960180654"
"No","2009","no degree/no degree yet","10","","",""
"Yes","2010","lower secondary degree","1043","0.627418159423375","0.60421540989088","0.650620908955869"
"Yes","2010","secondary school degree","2147","0.661742474835837","0.645238861526956","0.678246088144717"
"Yes","2010","college entrance qualification","2190","0.74255282448303","0.726734816835912","0.758370832130149"
"Yes","2010","Other degree","263","0.657057858540631","0.610245364702932","0.703870352378331"
"Yes","2010","no degree/no degree yet","34","0.767267729850576","0.654560187358761","0.879975272342392"
"No","2010","lower secondary degree","625","0.372581840576625","0.349379091044131","0.39578459010912"
"No","2010","secondary school degree","1010","0.338257525164163","0.321753911855283","0.354761138473044"
"No","2010","college entrance qualification","745","0.25744717551697","0.241629167869852","0.273265183164088"
"No","2010","Other degree","132","0.342942141459369","0.296129647621669","0.389754635297068"
"No","2010","no degree/no degree yet","20","","",""
"Yes","2011","lower secondary degree","1337","0.664469889064109","0.643544811875762","0.685394966252457"
"Yes","2011","secondary school degree","2786","0.750490692969387","0.736746613691042","0.764234772247732"
"Yes","2011","college entrance qualification","2764","0.780405418359724","0.766733660336012","0.794077176383435"
"Yes","2011","Other degree","347","0.708964572026832","0.669029442905447","0.748899701148217"
"Yes","2011","no degree/no degree yet","63","0.804110020847456","0.719236485034038","0.888983556660873"
"No","2011","lower secondary degree","619","0.335530110935891","0.314605033747543","0.356455188124238"
"No","2011","secondary school degree","1022","0.249509307030613","0.235765227752268","0.263253386308958"
"No","2011","college entrance qualification","758","0.219594581640276","0.205922823616564","0.233266339663988"
"No","2011","Other degree","150","0.291035427973168","0.251100298851783","0.330970557094553"
"No","2011","no degree/no degree yet","21","","",""
"Yes","2012","lower secondary degree","1330","0.6409277893192","0.620007491871138","0.661848086767262"
"Yes","2012","secondary school degree","2706","0.715763265121189","0.701465414758098","0.73006111548428"
"Yes","2012","college entrance qualification","2803","0.776087164601383","0.762550450688676","0.789623878514091"
"Yes","2012","Other degree","360","0.662969825085196","0.62280244102703","0.703137209143363"
"Yes","2012","no degree/no degree yet","63","0.709970023104643","0.622758700796261","0.797181345413024"
"No","2012","lower secondary degree","690","0.3590722106808","0.338151913232738","0.379992508128862"
"No","2012","secondary school degree","1117","0.284236734878811","0.26993888451572","0.298534585241902"
"No","2012","college entrance qualification","840","0.223912835398617","0.210376121485909","0.237449549311324"
"No","2012","Other degree","172","0.337030174914804","0.296862790856637","0.37719755897297"
"No","2012","no degree/no degree yet","41","0.290029976895357","0.202818654586976","0.377241299203739"
"Yes","2013","lower secondary degree","1365","0.682990296938476","0.662453241271088","0.703527352605863"
"Yes","2013","secondary school degree","2680","0.722836948211794","0.708430196636487","0.7372436997871"
"Yes","2013","college entrance qualification","2761","0.768636861228283","0.754890060795455","0.782383661661111"
"Yes","2013","Other degree","910","0.660701240450528","0.635217097882317","0.686185383018738"
"Yes","2013","no degree/no degree yet","90","0.661526425962123","0.582862308738402","0.740190543185844"
"No","2013","lower secondary degree","607","0.317009703061524","0.296472647394137","0.337546758728912"
"No","2013","secondary school degree","1028","0.277163051788206","0.2627563002129","0.291569803363513"
"No","2013","college entrance qualification","854","0.231363138771717","0.217616338338889","0.245109939204545"
"No","2013","Other degree","416","0.339298759549472","0.313814616981262","0.364782902117683"
"No","2013","no degree/no degree yet","49","0.338473574037877","0.259809456814155","0.417137691261598"
"Yes","2014","lower secondary degree","1206","0.660193879561161","0.638128428830149","0.682259330292172"
"Yes","2014","secondary school degree","2414","0.72584761786","0.710768776354698","0.740926459365301"
"Yes","2014","college entrance qualification","2590","0.773965376745182","0.759982176547787","0.787948576942578"
"Yes","2014","Other degree","718","0.72426241366786","0.696997495344132","0.751527331991588"
"Yes","2014","no degree/no degree yet","67","0.761395901902577","0.677008178655158","0.845783625149995"
"No","2014","lower secondary degree","564","0.33980612043884","0.317740669707828","0.361871571169851"
"No","2014","secondary school degree","948","0.27415238214","0.259073540634699","0.289231223645302"
"No","2014","college entrance qualification","847","0.226034623254818","0.212051423057422","0.240017823452213"
"No","2014","Other degree","314","0.27573758633214","0.248472668008412","0.303002504655868"
"No","2014","no degree/no degree yet","31","0.238604098097423","0.154216374850005","0.322991821344842"
"Yes","2015","lower secondary degree","1139","0.719179937628305","0.696857756266484","0.741502118990126"
"Yes","2015","secondary school degree","2350","0.762446809392961","0.747496721693851","0.777396897092071"
"Yes","2015","college entrance qualification","2585","0.795550295466277","0.781576957405857","0.809523633526696"
"Yes","2015","Other degree","908","0.711641460875322","0.686618871129744","0.7366640506209"
"Yes","2015","no degree/no degree yet","70","0.773509330959149","0.693450106760235","0.853568555158063"
"No","2015","lower secondary degree","418","0.280820062371695","0.258497881009873","0.303142243733516"
"No","2015","secondary school degree","763","0.237553190607039","0.222603102907929","0.252503278306149"
"No","2015","college entrance qualification","615","0.204449704533723","0.190476366473304","0.218423042594143"
"No","2015","Other degree","351","0.288358539124678","0.263335949379099","0.313381128870256"
"No","2015","no degree/no degree yet","35","0.226490669040851","0.146431444841937","0.306549893239765"
"Yes","2016","lower secondary degree","1076","0.703934806603196","0.680660820515849","0.727208792690542"
"Yes","2016","secondary school degree","2207","0.758867929543154","0.743423615979656","0.774312243106651"
"Yes","2016","college entrance qualification","2565","0.808937060961359","0.795320011321638","0.822554110601079"
"Yes","2016","Other degree","759","0.7155367223644","0.688182837517903","0.742890607210898"
"Yes","2016","no degree/no degree yet","68","0.664484821265474","0.571474935197742","0.757494707333205"
"No","2016","lower secondary degree","402","0.296065193396804","0.272791207309458","0.319339179484151"
"No","2016","secondary school degree","740","0.241132070456846","0.225687756893349","0.256576384020344"
"No","2016","college entrance qualification","637","0.191062939038641","0.177445889398921","0.204679988678362"
"No","2016","Other degree","286","0.2844632776356","0.257109392789102","0.311817162482097"
"No","2016","no degree/no degree yet","31","0.335515178734526","0.242505292666795","0.428525064802258"
"Yes","2017","lower secondary degree","1094","0.698038809502604","0.675131162772109","0.720946456233099"
"Yes","2017","secondary school degree","2426","0.769754299652784","0.755211117997426","0.784297481308141"
"Yes","2017","college entrance qualification","2846","0.794323631422727","0.781077789725683","0.807569473119771"
"Yes","2017","Other degree","747","0.723782673149829","0.69643676068309","0.751128585616568"
"Yes","2017","no degree/no degree yet","83","0.604577173644081","0.521167222580962","0.6879871247072"
"No","2017","lower secondary degree","449","0.301961190497396","0.279053543766901","0.324868837227891"
"No","2017","secondary school degree","793","0.230245700347216","0.215702518691859","0.244788882002574"
"No","2017","college entrance qualification","731","0.205676368577273","0.192430526880229","0.218922210274317"
"No","2017","Other degree","280","0.276217326850171","0.248871414383432","0.30356323931691"
"No","2017","no degree/no degree yet","49","0.395422826355919","0.3120128752928","0.478832777419038"
"Yes","2018","lower secondary degree","1084","0.712476726912284","0.689966275389234","0.734987178435335"
"Yes","2018","secondary school degree","2366","0.754730281011516","0.739867315949851","0.769593246073181"
"Yes","2018","college entrance qualification","2781","0.771725295666166","0.75809208913523","0.785358502197101"
"Yes","2018","Other degree","804","0.711476733272848","0.685581775825524","0.737371690720172"
"Yes","2018","no degree/no degree yet","108","0.60949849738237","0.534603646032901","0.684393348731838"
"No","2018","lower secondary degree","469","0.287523273087715","0.265012821564665","0.310033724610766"
"No","2018","secondary school degree","853","0.245269718988484","0.230406753926819","0.260132684050149"
"No","2018","college entrance qualification","860","0.228274704333834","0.214641497802899","0.24190791086477"
"No","2018","Other degree","372","0.288523266727152","0.262628309279828","0.314418224174476"
"No","2018","no degree/no degree yet","55","0.39050150261763","0.315606651268162","0.465396353967099"
"Yes","2019","lower secondary degree","923","0.729131008214413","0.704832536613869","0.753429479814956"
"Yes","2019","secondary school degree","2206","0.764344595152753","0.748948366741763","0.779740823563744"
"Yes","2019","college entrance qualification","2758","0.787601979603229","0.774107663050685","0.801096296155773"
"Yes","2019","Other degree","701","0.746465744698531","0.718903449085358","0.774028040311704"
"Yes","2019","no degree/no degree yet","122","0.781644425670776","0.720953348015161","0.84233550332639"
"No","2019","lower secondary degree","362","0.270868991785588","0.246570520185044","0.295167463386131"
"No","2019","secondary school degree","713","0.235655404847247","0.220259176436256","0.251051633258237"
"No","2019","college entrance qualification","771","0.212398020396771","0.198903703844227","0.225892336949315"
"No","2019","Other degree","256","0.253534255301469","0.225971959688296","0.281096550914642"
"No","2019","no degree/no degree yet","56","0.218355574329225","0.15766449667361","0.279046651984839"
