"plj0046","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","no degree/no degree yet","vocational + Abi","","","",""
"Big worries","1999","no degree/no degree yet","higher vocational","","","",""
"Big worries","1999","no degree/no degree yet","higher education","","","",""
"Some worries","1999","lower secondary degree","in school","","","",""
"Some worries","1999","lower secondary degree","inadequately","","","",""
"Some worries","1999","lower secondary degree","general elemantary","698","0.440174654841221","0.415405914379514","0.464943395302927"
"Some worries","1999","lower secondary degree","middle vocational","1631","0.459015002202068","0.442620390230567","0.475409614173568"
"Some worries","1999","lower secondary degree","vocational + Abi","","","",""
"Some worries","1999","lower secondary degree","higher vocational","129","0.463631497654054","0.404799763554367","0.522463231753741"
"Some worries","1999","lower secondary degree","higher education","54","0.411922882333477","0.324586886795962","0.499258877870991"
"Some worries","1999","secondary school degree","in school","","","",""
"Some worries","1999","secondary school degree","inadequately","","","",""
"Some worries","1999","secondary school degree","general elemantary","249","0.465510572214584","0.423124164737228","0.50789697969194"
"Some worries","1999","secondary school degree","middle vocational","1164","0.465357552648466","0.445654697332917","0.485060407964015"
"Some worries","1999","secondary school degree","vocational + Abi","","","",""
"Some worries","1999","secondary school degree","higher vocational","165","0.471195996881968","0.419632186366751","0.522759807397185"
"Some worries","1999","secondary school degree","higher education","254","0.475878490475089","0.431704017770142","0.520052963180036"
"Some worries","1999","college entrance qualification","in school","","","",""
"Some worries","1999","college entrance qualification","inadequately","","","",""
"Some worries","1999","college entrance qualification","general elemantary","","","",""
"Some worries","1999","college entrance qualification","middle vocational","183","0.429416073294281","0.381849667059428","0.476982479529133"
"Some worries","1999","college entrance qualification","vocational + Abi","187","0.43576316311704","0.387589811626712","0.483936514607367"
"Some worries","1999","college entrance qualification","higher vocational","75","0.445628632279224","0.368853231467806","0.522404033090642"
"Some worries","1999","college entrance qualification","higher education","560","0.451838339034609","0.424193804416862","0.479482873652355"
"Some worries","1999","Other degree","in school","","","",""
"Some worries","1999","Other degree","inadequately","","","",""
"Some worries","1999","Other degree","general elemantary","170","0.44102788303422","0.390160939298563","0.491894826769877"
"Some worries","1999","Other degree","middle vocational","155","0.404284218679517","0.353305837639179","0.455262599719855"
"Some worries","1999","Other degree","vocational + Abi","41","0.489085386392892","0.38404532414888","0.594125448636903"
"Some worries","1999","Other degree","higher vocational","","","",""
"Some worries","1999","Other degree","higher education","47","0.514609737171159","0.407088667942912","0.622130806399405"
"Some worries","1999","no degree/no degree yet","in school","140","0.436472293687425","0.381704052891937","0.491240534482914"
"Some worries","1999","no degree/no degree yet","inadequately","173","0.405394713976193","0.356352377811655","0.454437050140731"
"Some worries","1999","no degree/no degree yet","general elemantary","","","",""
"Some worries","1999","no degree/no degree yet","middle vocational","","","",""
"Some worries","1999","no degree/no degree yet","vocational + Abi","","","",""
"Some worries","1999","no degree/no degree yet","higher vocational","","","",""
"Some worries","1999","no degree/no degree yet","higher education","","","",""
"No worries","1999","lower secondary degree","in school","","","",""
"No worries","1999","lower secondary degree","inadequately","","","",""
"No worries","1999","lower secondary degree","general elemantary","241","0.139659044762547","0.122363471540953","0.156954617984141"
"No worries","1999","lower secondary degree","middle vocational","393","0.0993718391071212","0.0895294729813615","0.109214205232881"
"No worries","1999","lower secondary degree","vocational + Abi","","","",""
"No worries","1999","lower secondary degree","higher vocational","38","0.158774056839945","0.115657939056091","0.201890174623799"
"No worries","1999","lower secondary degree","higher education","","","",""
"No worries","1999","secondary school degree","in school","","","",""
"No worries","1999","secondary school degree","inadequately","","","",""
"No worries","1999","secondary school degree","general elemantary","99","0.182413863528936","0.149597688823436","0.215230038234436"
"No worries","1999","secondary school degree","middle vocational","334","0.146851310939559","0.132869760154366","0.160832861724751"
"No worries","1999","secondary school degree","vocational + Abi","","","",""
"No worries","1999","secondary school degree","higher vocational","56","0.161682853002537","0.123652268758506","0.199713437246568"
"No worries","1999","secondary school degree","higher education","81","0.193278788673471","0.15835179700709","0.228205780339852"
"No worries","1999","college entrance qualification","in school","","","",""
"No worries","1999","college entrance qualification","inadequately","","","",""
"No worries","1999","college entrance qualification","general elemantary","","","",""
"No worries","1999","college entrance qualification","middle vocational","157","0.399284936260408","0.35222220257561","0.446347669945207"
"No worries","1999","college entrance qualification","vocational + Abi","116","0.265680328310179","0.222768880527069","0.308591776093288"
"No worries","1999","college entrance qualification","higher vocational","40","0.260974708038871","0.193138117210838","0.328811298866904"
"No worries","1999","college entrance qualification","higher education","447","0.34629066091921","0.319861939711469","0.372719382126951"
"No worries","1999","Other degree","in school","","","",""
"No worries","1999","Other degree","inadequately","","","",""
"No worries","1999","Other degree","general elemantary","122","0.341185848758686","0.292614013559863","0.389757683957508"
"No worries","1999","Other degree","middle vocational","110","0.343756582592137","0.294418634500928","0.393094530683347"
"No worries","1999","Other degree","vocational + Abi","","","",""
"No worries","1999","Other degree","higher vocational","","","",""
"No worries","1999","Other degree","higher education","","","",""
"No worries","1999","no degree/no degree yet","in school","96","0.301692585460299","0.251005367006362","0.352379803914236"
"No worries","1999","no degree/no degree yet","inadequately","121","0.315074949243608","0.268671935352561","0.361477963134655"
"No worries","1999","no degree/no degree yet","general elemantary","","","",""
"No worries","1999","no degree/no degree yet","middle vocational","","","",""
"No worries","1999","no degree/no degree yet","vocational + Abi","","","",""
"No worries","1999","no degree/no degree yet","higher vocational","","","",""
"No worries","1999","no degree/no degree yet","higher education","","","",""
"Big worries","2000","lower secondary degree","in school","","","",""
"Big worries","2000","lower secondary degree","inadequately","","","",""
"Big worries","2000","lower secondary degree","general elemantary","775","0.343830592250245","0.324515191059225","0.363145993441265"
"Big worries","2000","lower secondary degree","middle vocational","2430","0.371153127375117","0.359599737429206","0.382706517321028"
"Big worries","2000","lower secondary degree","vocational + Abi","","","",""
"Big worries","2000","lower secondary degree","higher vocational","208","0.363779826545492","0.324861687619916","0.402697965471067"
"Big worries","2000","lower secondary degree","higher education","60","0.263776937085815","0.204032418292851","0.323521455878779"
"Big worries","2000","secondary school degree","in school","","","",""
"Big worries","2000","secondary school degree","inadequately","","","",""
"Big worries","2000","secondary school degree","general elemantary","219","0.30298698826992","0.269489567063984","0.336484409475857"
"Big worries","2000","secondary school degree","middle vocational","1668","0.349146264211363","0.335504806680099","0.362787721742628"
"Big worries","2000","secondary school degree","vocational + Abi","","","",""
"Big worries","2000","secondary school degree","higher vocational","265","0.301733676938395","0.270201182374087","0.333266171502703"
"Big worries","2000","secondary school degree","higher education","196","0.30228351157466","0.267561076300945","0.337005946848375"
"Big worries","2000","college entrance qualification","in school","","","",""
"Big worries","2000","college entrance qualification","inadequately","","","",""
"Big worries","2000","college entrance qualification","general elemantary","","","",""
"Big worries","2000","college entrance qualification","middle vocational","103","0.128250920750052","0.104011881771433","0.152489959728671"
"Big worries","2000","college entrance qualification","vocational + Abi","189","0.199068874878569","0.172761608508895","0.225376141248243"
"Big worries","2000","college entrance qualification","higher vocational","93","0.237442007758189","0.194715163294341","0.280168852222037"
"Big worries","2000","college entrance qualification","higher education","418","0.160821550850254","0.146977482323411","0.174665619377096"
"Big worries","2000","Other degree","in school","","","",""
"Big worries","2000","Other degree","inadequately","","","",""
"Big worries","2000","Other degree","general elemantary","66","0.145512296442216","0.114097940063701","0.17692665282073"
"Big worries","2000","Other degree","middle vocational","84","0.155615439559526","0.124783750729448","0.186447128389603"
"Big worries","2000","Other degree","vocational + Abi","","","",""
"Big worries","2000","Other degree","higher vocational","","","",""
"Big worries","2000","Other degree","higher education","","","",""
"Big worries","2000","no degree/no degree yet","in school","83","0.169107648433788","0.135883973623751","0.202331323243824"
"Big worries","2000","no degree/no degree yet","inadequately","76","0.254931098140189","0.209141366751294","0.300720829529084"
"Big worries","2000","no degree/no degree yet","general elemantary","","","",""
"Big worries","2000","no degree/no degree yet","middle vocational","","","",""
"Big worries","2000","no degree/no degree yet","vocational + Abi","","","",""
"Big worries","2000","no degree/no degree yet","higher vocational","","","",""
"Big worries","2000","no degree/no degree yet","higher education","","","",""
"Some worries","2000","lower secondary degree","in school","","","",""
"Some worries","2000","lower secondary degree","inadequately","","","",""
"Some worries","2000","lower secondary degree","general elemantary","1025","0.445605554813504","0.425393604627704","0.465817504999304"
"Some worries","2000","lower secondary degree","middle vocational","3246","0.474301453813679","0.462360032183229","0.486242875444129"
"Some worries","2000","lower secondary degree","vocational + Abi","","","",""
"Some worries","2000","lower secondary degree","higher vocational","264","0.438482417731814","0.39834154486898","0.478623290594648"
"Some worries","2000","lower secondary degree","higher education","94","0.47443523077731","0.406737122019657","0.542133339534962"
"Some worries","2000","secondary school degree","in school","","","",""
"Some worries","2000","secondary school degree","inadequately","","","",""
"Some worries","2000","secondary school degree","general elemantary","309","0.435841125641798","0.399696497738523","0.471985753545073"
"Some worries","2000","secondary school degree","middle vocational","2194","0.464767897513168","0.450495250900178","0.479040544126158"
"Some worries","2000","secondary school degree","vocational + Abi","","","",""
"Some worries","2000","secondary school degree","higher vocational","386","0.472543510425766","0.438246986086263","0.506840034765269"
"Some worries","2000","secondary school degree","higher education","330","0.457195477499451","0.419530635834063","0.494860319164838"
"Some worries","2000","college entrance qualification","in school","","","",""
"Some worries","2000","college entrance qualification","inadequately","","","",""
"Some worries","2000","college entrance qualification","general elemantary","","","",""
"Some worries","2000","college entrance qualification","middle vocational","310","0.406666426391456","0.371057570181542","0.44227528260137"
"Some worries","2000","college entrance qualification","vocational + Abi","407","0.454221376195473","0.421418003288722","0.487024749102224"
"Some worries","2000","college entrance qualification","higher vocational","178","0.452491917763786","0.402513064914584","0.502470770612987"
"Some worries","2000","college entrance qualification","higher education","1132","0.404220244793335","0.385726862072005","0.422713627514664"
"Some worries","2000","Other degree","in school","","","",""
"Some worries","2000","Other degree","inadequately","","","",""
"Some worries","2000","Other degree","general elemantary","220","0.459052533755611","0.414657524580198","0.503447542931023"
"Some worries","2000","Other degree","middle vocational","229","0.394729286730786","0.353154949387968","0.436303624073603"
"Some worries","2000","Other degree","vocational + Abi","82","0.531481128150897","0.45440096565543","0.608561290646363"
"Some worries","2000","Other degree","higher vocational","34","0.378516304398539","0.274795562774425","0.482237046022652"
"Some worries","2000","Other degree","higher education","101","0.495132413020744","0.427186107581845","0.563078718459642"
"Some worries","2000","no degree/no degree yet","in school","224","0.464183876507505","0.419981402644566","0.508386350370444"
"Some worries","2000","no degree/no degree yet","inadequately","139","0.371634745842185","0.320862928848016","0.422406562836355"
"Some worries","2000","no degree/no degree yet","general elemantary","","","",""
"Some worries","2000","no degree/no degree yet","middle vocational","","","",""
"Some worries","2000","no degree/no degree yet","vocational + Abi","","","",""
"Some worries","2000","no degree/no degree yet","higher vocational","","","",""
"Some worries","2000","no degree/no degree yet","higher education","","","",""
"No worries","2000","lower secondary degree","in school","","","",""
"No worries","2000","lower secondary degree","inadequately","","","",""
"No worries","2000","lower secondary degree","general elemantary","523","0.210563852936251","0.193984258621363","0.227143447251138"
"No worries","2000","lower secondary degree","middle vocational","1041","0.154545418811204","0.145901043274169","0.16318979434824"
"No worries","2000","lower secondary degree","vocational + Abi","","","",""
"No worries","2000","lower secondary degree","higher vocational","115","0.197737755722694","0.165517274845049","0.229958236600339"
"No worries","2000","lower secondary degree","higher education","55","0.261787832136875","0.202188653303779","0.321387010969971"
"No worries","2000","secondary school degree","in school","","","",""
"No worries","2000","secondary school degree","inadequately","","","",""
"No worries","2000","secondary school degree","general elemantary","195","0.261171886088281","0.229152436548745","0.293191335627817"
"No worries","2000","secondary school degree","middle vocational","829","0.186085838275468","0.174949014729233","0.197222661821704"
"No worries","2000","secondary school degree","vocational + Abi","","","",""
"No worries","2000","secondary school degree","higher vocational","163","0.225722812635839","0.197003645105192","0.254441980166486"
"No worries","2000","secondary school degree","higher education","146","0.24052101092589","0.208206480710351","0.272835541141428"
"No worries","2000","college entrance qualification","in school","","","",""
"No worries","2000","college entrance qualification","inadequately","","","",""
"No worries","2000","college entrance qualification","general elemantary","","","",""
"No worries","2000","college entrance qualification","middle vocational","318","0.465082652858492","0.42892520120993","0.501240104507054"
"No worries","2000","college entrance qualification","vocational + Abi","289","0.346709748925958","0.315354332633485","0.37806516521843"
"No worries","2000","college entrance qualification","higher vocational","110","0.310066074478025","0.263623479384074","0.356508669571977"
"No worries","2000","college entrance qualification","higher education","1155","0.434958204356412","0.416275983300058","0.453640425412765"
"No worries","2000","Other degree","in school","","","",""
"No worries","2000","Other degree","inadequately","","","",""
"No worries","2000","Other degree","general elemantary","198","0.395435169802174","0.351875508320812","0.438994831283536"
"No worries","2000","Other degree","middle vocational","218","0.449655273709689","0.407343806951016","0.491966740468362"
"No worries","2000","Other degree","vocational + Abi","50","0.300084058683685","0.229292812409768","0.370875304957602"
"No worries","2000","Other degree","higher vocational","33","0.383173135333073","0.279208026040789","0.487138244625356"
"No worries","2000","Other degree","higher education","87","0.43774867894399","0.370327850005984","0.505169507881996"
"No worries","2000","no degree/no degree yet","in school","182","0.366708475058707","0.323995878552211","0.409421071565204"
"No worries","2000","no degree/no degree yet","inadequately","133","0.373434156017626","0.322612496031649","0.424255816003603"
"No worries","2000","no degree/no degree yet","general elemantary","","","",""
"No worries","2000","no degree/no degree yet","middle vocational","","","",""
"No worries","2000","no degree/no degree yet","vocational + Abi","","","",""
"No worries","2000","no degree/no degree yet","higher vocational","","","",""
"No worries","2000","no degree/no degree yet","higher education","","","",""
"Big worries","2001","lower secondary degree","in school","","","",""
"Big worries","2001","lower secondary degree","inadequately","","","",""
"Big worries","2001","lower secondary degree","general elemantary","568","0.291946856748498","0.271985995716076","0.31190771778092"
"Big worries","2001","lower secondary degree","middle vocational","1824","0.305061022766372","0.293372618436579","0.316749427096166"
"Big worries","2001","lower secondary degree","vocational + Abi","","","",""
"Big worries","2001","lower secondary degree","higher vocational","150","0.309883745989774","0.270098235136486","0.349669256843062"
"Big worries","2001","lower secondary degree","higher education","41","0.194106456834087","0.137719842572763","0.250493071095411"
"Big worries","2001","secondary school degree","in school","","","",""
"Big worries","2001","secondary school degree","inadequately","","","",""
"Big worries","2001","secondary school degree","general elemantary","152","0.247045777057779","0.213965852962882","0.280125701152676"
"Big worries","2001","secondary school degree","middle vocational","1263","0.278030251692724","0.264708579976272","0.291351923409177"
"Big worries","2001","secondary school degree","vocational + Abi","","","",""
"Big worries","2001","secondary school degree","higher vocational","196","0.262160420606401","0.230386286773919","0.293934554438884"
"Big worries","2001","secondary school degree","higher education","144","0.214707327111938","0.182515376872658","0.246899277351218"
"Big worries","2001","college entrance qualification","in school","","","",""
"Big worries","2001","college entrance qualification","inadequately","","","",""
"Big worries","2001","college entrance qualification","general elemantary","","","",""
"Big worries","2001","college entrance qualification","middle vocational","89","0.102472480512641","0.0800224676906835","0.124922493334597"
"Big worries","2001","college entrance qualification","vocational + Abi","171","0.196985938179788","0.17015375219699","0.223818124162586"
"Big worries","2001","college entrance qualification","higher vocational","69","0.195074195178069","0.153260708759247","0.236887681596892"
"Big worries","2001","college entrance qualification","higher education","315","0.126648141089677","0.113688831507097","0.139607450672256"
"Big worries","2001","Other degree","in school","","","",""
"Big worries","2001","Other degree","inadequately","","","",""
"Big worries","2001","Other degree","general elemantary","66","0.144287098723251","0.111113907952783","0.17746028949372"
"Big worries","2001","Other degree","middle vocational","67","0.12208685960826","0.0928900927643984","0.151283626452122"
"Big worries","2001","Other degree","vocational + Abi","","","",""
"Big worries","2001","Other degree","higher vocational","","","",""
"Big worries","2001","Other degree","higher education","","","",""
"Big worries","2001","no degree/no degree yet","in school","79","0.144452474695413","0.114883740100485","0.174021209290342"
"Big worries","2001","no degree/no degree yet","inadequately","48","0.220490998047921","0.171131646602566","0.269850349493275"
"Big worries","2001","no degree/no degree yet","general elemantary","","","",""
"Big worries","2001","no degree/no degree yet","middle vocational","","","",""
"Big worries","2001","no degree/no degree yet","vocational + Abi","","","",""
"Big worries","2001","no degree/no degree yet","higher vocational","","","",""
"Big worries","2001","no degree/no degree yet","higher education","","","",""
"Some worries","2001","lower secondary degree","in school","","","",""
"Some worries","2001","lower secondary degree","inadequately","","","",""
"Some worries","2001","lower secondary degree","general elemantary","954","0.47567564293145","0.45375012227941","0.49760116358349"
"Some worries","2001","lower secondary degree","middle vocational","3003","0.50407448348248","0.491382072851606","0.516766894113353"
"Some worries","2001","lower secondary degree","vocational + Abi","","","",""
"Some worries","2001","lower secondary degree","higher vocational","261","0.495942556735251","0.452927537988061","0.538957575482441"
"Some worries","2001","lower secondary degree","higher education","89","0.47449162236964","0.403301246593041","0.545681998146239"
"Some worries","2001","secondary school degree","in school","","","",""
"Some worries","2001","secondary school degree","inadequately","","","",""
"Some worries","2001","secondary school degree","general elemantary","293","0.439102228845649","0.401038075150765","0.477166382540533"
"Some worries","2001","secondary school degree","middle vocational","2117","0.488870355348008","0.474007043595245","0.503733667100771"
"Some worries","2001","secondary school degree","vocational + Abi","","","",""
"Some worries","2001","secondary school degree","higher vocational","373","0.471494174633125","0.435430312109408","0.507558037156842"
"Some worries","2001","secondary school degree","higher education","305","0.487221427826163","0.448034952076736","0.526407903575591"
"Some worries","2001","college entrance qualification","in school","","","",""
"Some worries","2001","college entrance qualification","inadequately","","","",""
"Some worries","2001","college entrance qualification","general elemantary","","","",""
"Some worries","2001","college entrance qualification","middle vocational","296","0.421866440687308","0.385307747654591","0.458425133720025"
"Some worries","2001","college entrance qualification","vocational + Abi","371","0.447799489952214","0.414251456552577","0.48134752335185"
"Some worries","2001","college entrance qualification","higher vocational","163","0.478521964539425","0.425810207548673","0.531233721530176"
"Some worries","2001","college entrance qualification","higher education","1048","0.414869973192375","0.395671352662838","0.434068593721911"
"Some worries","2001","Other degree","in school","","","",""
"Some worries","2001","Other degree","inadequately","","","",""
"Some worries","2001","Other degree","general elemantary","180","0.41750558302241","0.370948422717647","0.464062743327173"
"Some worries","2001","Other degree","middle vocational","218","0.425102212857206","0.381014605829042","0.469189819885369"
"Some worries","2001","Other degree","vocational + Abi","75","0.443585992909891","0.364865045034404","0.522306940785379"
"Some worries","2001","Other degree","higher vocational","35","0.51148721014222","0.389021794000721","0.63395262628372"
"Some worries","2001","Other degree","higher education","78","0.443995522395563","0.372204916412095","0.51578612837903"
"Some worries","2001","no degree/no degree yet","in school","233","0.429918087054959","0.388278188219313","0.471557985890604"
"Some worries","2001","no degree/no degree yet","inadequately","131","0.450724663933506","0.391484785775472","0.509964542091541"
"Some worries","2001","no degree/no degree yet","general elemantary","","","",""
"Some worries","2001","no degree/no degree yet","middle vocational","","","",""
"Some worries","2001","no degree/no degree yet","vocational + Abi","","","",""
"Some worries","2001","no degree/no degree yet","higher vocational","","","",""
"Some worries","2001","no degree/no degree yet","higher education","","","",""
"No worries","2001","lower secondary degree","in school","","","",""
"No worries","2001","lower secondary degree","inadequately","","","",""
"No worries","2001","lower secondary degree","general elemantary","471","0.232377500320052","0.213835126710215","0.250919873929889"
"No worries","2001","lower secondary degree","middle vocational","1134","0.190864493751148","0.180888372199577","0.200840615302719"
"No worries","2001","lower secondary degree","vocational + Abi","","","",""
"No worries","2001","lower secondary degree","higher vocational","108","0.194173697274975","0.160142256844393","0.228205137705557"
"No worries","2001","lower secondary degree","higher education","59","0.331401920796273","0.26429346248391","0.398510379108636"
"No worries","2001","secondary school degree","in school","","","",""
"No worries","2001","secondary school degree","inadequately","","","",""
"No worries","2001","secondary school degree","general elemantary","208","0.313851994096572","0.278259137132349","0.349444851060795"
"No worries","2001","secondary school degree","middle vocational","965","0.233099392959268","0.220527713112105","0.24567107280643"
"No worries","2001","secondary school degree","vocational + Abi","","","",""
"No worries","2001","secondary school degree","higher vocational","167","0.266345404760473","0.234409618787895","0.298281190733052"
"No worries","2001","secondary school degree","higher education","176","0.298071245061898","0.262210885472319","0.333931604651477"
"No worries","2001","college entrance qualification","in school","","","",""
"No worries","2001","college entrance qualification","inadequately","","","",""
"No worries","2001","college entrance qualification","general elemantary","","","",""
"No worries","2001","college entrance qualification","middle vocational","316","0.475661078800052","0.438691548030194","0.512630609569909"
"No worries","2001","college entrance qualification","vocational + Abi","302","0.355214571867998","0.322927410710556","0.387501733025441"
"No worries","2001","college entrance qualification","higher vocational","113","0.326403840282506","0.276925402985412","0.3758822775796"
"No worries","2001","college entrance qualification","higher education","1167","0.458481885717949","0.439066080088161","0.477897691347736"
"No worries","2001","Other degree","in school","","","",""
"No worries","2001","Other degree","inadequately","","","",""
"No worries","2001","Other degree","general elemantary","185","0.438207318254338","0.391365115692097","0.485049520816579"
"No worries","2001","Other degree","middle vocational","198","0.452810927534534","0.408419237122756","0.497202617946313"
"No worries","2001","Other degree","vocational + Abi","60","0.435243493229319","0.356683915409006","0.513803071049632"
"No worries","2001","Other degree","higher vocational","","","",""
"No worries","2001","Other degree","higher education","85","0.441570494138594","0.36982025033984","0.513320737937349"
"No worries","2001","no degree/no degree yet","in school","231","0.425629438249628","0.384042198929745","0.467216677569511"
"No worries","2001","no degree/no degree yet","inadequately","92","0.328784338018573","0.272853664768475","0.38471501126867"
"No worries","2001","no degree/no degree yet","general elemantary","","","",""
"No worries","2001","no degree/no degree yet","middle vocational","","","",""
"No worries","2001","no degree/no degree yet","vocational + Abi","","","",""
"No worries","2001","no degree/no degree yet","higher vocational","","","",""
"No worries","2001","no degree/no degree yet","higher education","","","",""
"Big worries","2002","lower secondary degree","in school","","","",""
"Big worries","2002","lower secondary degree","inadequately","","","",""
"Big worries","2002","lower secondary degree","general elemantary","599","0.334881514403311","0.313358170748818","0.356404858057803"
"Big worries","2002","lower secondary degree","middle vocational","2009","0.367050847970625","0.354544522280315","0.379557173660934"
"Big worries","2002","lower secondary degree","vocational + Abi","","","",""
"Big worries","2002","lower secondary degree","higher vocational","170","0.338957102444879","0.298154298328265","0.379759906561492"
"Big worries","2002","lower secondary degree","higher education","53","0.277632267791408","0.215411453265507","0.339853082317308"
"Big worries","2002","secondary school degree","in school","","","",""
"Big worries","2002","secondary school degree","inadequately","","","",""
"Big worries","2002","secondary school degree","general elemantary","171","0.275675628417422","0.241428437673788","0.309922819161056"
"Big worries","2002","secondary school degree","middle vocational","1513","0.342511293705466","0.328704353564775","0.356318233846156"
"Big worries","2002","secondary school degree","vocational + Abi","","","",""
"Big worries","2002","secondary school degree","higher vocational","222","0.312384642393803","0.279670275251112","0.345099009536494"
"Big worries","2002","secondary school degree","higher education","163","0.276510941774247","0.242893413481062","0.310128470067432"
"Big worries","2002","college entrance qualification","in school","","","",""
"Big worries","2002","college entrance qualification","inadequately","","","",""
"Big worries","2002","college entrance qualification","general elemantary","","","",""
"Big worries","2002","college entrance qualification","middle vocational","95","0.124754200153052","0.101827621419132","0.147680778886971"
"Big worries","2002","college entrance qualification","vocational + Abi","182","0.188323263527402","0.163565644727801","0.213080882327002"
"Big worries","2002","college entrance qualification","higher vocational","72","0.224728982586792","0.182426231969096","0.267031733204489"
"Big worries","2002","college entrance qualification","higher education","502","0.144974036878289","0.133234287314751","0.156713786441827"
"Big worries","2002","Other degree","in school","","","",""
"Big worries","2002","Other degree","inadequately","","","",""
"Big worries","2002","Other degree","general elemantary","58","0.150653506296984","0.115106309265436","0.186200703328532"
"Big worries","2002","Other degree","middle vocational","82","0.188532937562377","0.152750426544855","0.2243154485799"
"Big worries","2002","Other degree","vocational + Abi","","","",""
"Big worries","2002","Other degree","higher vocational","","","",""
"Big worries","2002","Other degree","higher education","","","",""
"Big worries","2002","no degree/no degree yet","in school","100","0.164808990230591","0.135270034795779","0.194347945665403"
"Big worries","2002","no degree/no degree yet","inadequately","50","0.277383954268783","0.220742168367509","0.334025740170058"
"Big worries","2002","no degree/no degree yet","general elemantary","","","",""
"Big worries","2002","no degree/no degree yet","middle vocational","","","",""
"Big worries","2002","no degree/no degree yet","vocational + Abi","","","",""
"Big worries","2002","no degree/no degree yet","higher vocational","","","",""
"Big worries","2002","no degree/no degree yet","higher education","","","",""
"Some worries","2002","lower secondary degree","in school","","","",""
"Some worries","2002","lower secondary degree","inadequately","","","",""
"Some worries","2002","lower secondary degree","general elemantary","882","0.487490151075853","0.464694674613189","0.510285627538517"
"Some worries","2002","lower secondary degree","middle vocational","2848","0.489337644957755","0.476367242768649","0.502308047146861"
"Some worries","2002","lower secondary degree","vocational + Abi","","","",""
"Some worries","2002","lower secondary degree","higher vocational","264","0.501766368166593","0.458667078373521","0.544865657959666"
"Some worries","2002","lower secondary degree","higher education","105","0.523539445410312","0.454147392958537","0.592931497862087"
"Some worries","2002","secondary school degree","in school","","","",""
"Some worries","2002","secondary school degree","inadequately","","","",""
"Some worries","2002","secondary school degree","general elemantary","292","0.447110938231802","0.409005596284845","0.48521628017876"
"Some worries","2002","secondary school degree","middle vocational","2166","0.47057625157922","0.456054046765143","0.485098456393297"
"Some worries","2002","secondary school degree","vocational + Abi","","","",""
"Some worries","2002","secondary school degree","higher vocational","377","0.460376646600066","0.425194453104477","0.495558840095655"
"Some worries","2002","secondary school degree","higher education","349","0.47656495898289","0.439025666400058","0.514104251565722"
"Some worries","2002","college entrance qualification","in school","","","",""
"Some worries","2002","college entrance qualification","inadequately","","","",""
"Some worries","2002","college entrance qualification","general elemantary","","","",""
"Some worries","2002","college entrance qualification","middle vocational","349","0.398210176990167","0.364245675679919","0.432174678300416"
"Some worries","2002","college entrance qualification","vocational + Abi","450","0.44683156502546","0.415349301195639","0.478313828855281"
