"plj0046","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No worries","1999","college entrance qualification","Couple + C. LE 16 ","183","0.319262241222045","0.280477106999759","0.35804737544433"
"No worries","1999","college entrance qualification","Couple + C. LE and GT 16","52","0.391618740241397","0.313505957725038","0.469731522757756"
"No worries","1999","college entrance qualification","Single parent ","27","","",""
"No worries","1999","lower secondary degree","(Married) couple without C. ","183","0.0835947625241945","0.0717484771281211","0.0954410479202678"
"No worries","1999","lower secondary degree","1-pers.-HH","121","0.141281378379042","0.117382863487476","0.165179893270608"
"No worries","1999","lower secondary degree","Couple + C. GT 16 ","130","0.127859435334908","0.105528282519232","0.150190588150584"
"No worries","1999","lower secondary degree","Couple + C. LE 16 ","135","0.124008209373496","0.102814085400326","0.145202333346666"
"No worries","1999","lower secondary degree","Couple + C. LE and GT 16","46","0.138248406186012","0.0995120036117682","0.176984808760255"
"No worries","1999","lower secondary degree","Single parent ","44","0.143315956446747","0.102052479606806","0.184579433286688"
"No worries","1999","no degree/no degree yet","(Married) couple without C. ","33","0.299848783569588","0.216106222169668","0.383591344969507"
"No worries","1999","no degree/no degree yet","1-pers.-HH","6","","",""
"No worries","1999","no degree/no degree yet","Couple + C. GT 16 ","85","0.314899639595362","0.260003105771698","0.369796173419026"
"No worries","1999","no degree/no degree yet","Couple + C. LE 16 ","17","","",""
"No worries","1999","no degree/no degree yet","Couple + C. LE and GT 16","59","0.310005760848959","0.242252657844576","0.377758863853342"
"No worries","1999","no degree/no degree yet","Single parent ","14","","",""
"No worries","1999","Other degree","(Married) couple without C. ","79","0.371450815584037","0.308731550730045","0.434170080438028"
"No worries","1999","Other degree","1-pers.-HH","22","","",""
"No worries","1999","Other degree","Couple + C. GT 16 ","66","0.33325752508928","0.270540237465368","0.395974812713193"
"No worries","1999","Other degree","Couple + C. LE 16 ","67","0.278644309737499","0.220829124506904","0.336459494968095"
"No worries","1999","Other degree","Couple + C. LE and GT 16","24","","",""
"No worries","1999","Other degree","Single parent ","10","","",""
"No worries","1999","secondary school degree","(Married) couple without C. ","122","0.130463901088726","0.109124554821519","0.151803247355934"
"No worries","1999","secondary school degree","1-pers.-HH","81","0.204183551428714","0.165540022224617","0.24282708063281"
"No worries","1999","secondary school degree","Couple + C. GT 16 ","101","0.161825979778783","0.133980501949923","0.189671457607643"
"No worries","1999","secondary school degree","Couple + C. LE 16 ","174","0.154795677506481","0.133696700956777","0.175894654056185"
"No worries","1999","secondary school degree","Couple + C. LE and GT 16","44","0.162967213052955","0.1256357059769","0.20029872012901"
"No worries","1999","secondary school degree","Single parent ","37","0.165042098599115","0.116100109915848","0.213984087282382"
"Some worries","1999","college entrance qualification","(Married) couple without C. ","295","0.427553620776281","0.389810411601952","0.46529682995061"
"Some worries","1999","college entrance qualification","1-pers.-HH","137","0.425979387130737","0.37137206871072","0.480586705550754"
"Some worries","1999","college entrance qualification","Couple + C. GT 16 ","168","0.438056037071332","0.388367061399956","0.487745012742709"
"Some worries","1999","college entrance qualification","Couple + C. LE 16 ","264","0.481299111203174","0.439730298011492","0.522867924394856"
"Some worries","1999","college entrance qualification","Couple + C. LE and GT 16","63","0.393641518424271","0.315457562838603","0.47182547400994"
"Some worries","1999","college entrance qualification","Single parent ","49","0.531868240521185","0.430996330056096","0.632740150986275"
"Some worries","1999","lower secondary degree","(Married) couple without C. ","964","0.455019773804444","0.433706292944382","0.476333254664506"
"Some worries","1999","lower secondary degree","1-pers.-HH","383","0.458628502047183","0.42443990923176","0.492817094862606"
"Some worries","1999","lower secondary degree","Couple + C. GT 16 ","374","0.433432824601203","0.400293922734991","0.466571726467415"
"Some worries","1999","lower secondary degree","Couple + C. LE 16 ","444","0.479730190179426","0.447604455238497","0.511855925120354"
"Some worries","1999","lower secondary degree","Couple + C. LE and GT 16","142","0.462845355779781","0.406886890627103","0.518803820932459"
"Some worries","1999","lower secondary degree","Single parent ","115","0.41275423084122","0.354776138507249","0.470732323175192"
"Some worries","1999","no degree/no degree yet","(Married) couple without C. ","54","0.417609383980067","0.327474795621673","0.50774397233846"
"Some worries","1999","no degree/no degree yet","1-pers.-HH","12","","",""
"Some worries","1999","no degree/no degree yet","Couple + C. GT 16 ","123","0.448738720547315","0.389954974131957","0.507522466962672"
"Some worries","1999","no degree/no degree yet","Couple + C. LE 16 ","27","","",""
"Some worries","1999","no degree/no degree yet","Couple + C. LE and GT 16","78","0.450674719082171","0.377784716247463","0.523564721916878"
"Some worries","1999","no degree/no degree yet","Single parent ","26","","",""
"Some worries","1999","Other degree","(Married) couple without C. ","91","0.3703072223304","0.307627636975225","0.432986807685574"
"Some worries","1999","Other degree","1-pers.-HH","29","","",""
"Some worries","1999","Other degree","Couple + C. GT 16 ","97","0.436310330996579","0.370326730473968","0.50229393151919"
"Some worries","1999","Other degree","Couple + C. LE 16 ","114","0.510890553105631","0.446427768371324","0.575353337839938"
"Some worries","1999","Other degree","Couple + C. LE and GT 16","63","0.557106466009558","0.462987971513897","0.651224960505219"
"Some worries","1999","Other degree","Single parent ","17","","",""
"Some worries","1999","secondary school degree","(Married) couple without C. ","436","0.435704951233984","0.404289631109508","0.467120271358461"
"Some worries","1999","secondary school degree","1-pers.-HH","195","0.43192650386569","0.384440334092824","0.479412673638555"
"Some worries","1999","secondary school degree","Couple + C. GT 16 ","318","0.462830429705894","0.42513140558158","0.500529453830209"
"Some worries","1999","secondary school degree","Couple + C. LE 16 ","548","0.506309765537737","0.477146473933811","0.535473057141664"
"Some worries","1999","secondary school degree","Couple + C. LE and GT 16","192","0.495316275170868","0.444779780194191","0.545852770147544"
"Some worries","1999","secondary school degree","Single parent ","108","0.489848567884123","0.423941433272306","0.555755702495941"
"Big worries","2000","college entrance qualification","(Married) couple without C. ","268","0.202191024489659","0.180726694119013","0.223655354860305"
"Big worries","2000","college entrance qualification","1-pers.-HH","105","0.13177486802826","0.10799168089408","0.15555805516244"
"Big worries","2000","college entrance qualification","Couple + C. GT 16 ","142","0.188682408263409","0.161029165075588","0.216335651451229"
"Big worries","2000","college entrance qualification","Couple + C. LE 16 ","172","0.154212644111804","0.133465315444594","0.174959972779014"
"Big worries","2000","college entrance qualification","Couple + C. LE and GT 16","52","0.170682561971834","0.128801062778688","0.21256406116498"
"Big worries","2000","college entrance qualification","Single parent ","41","0.20155336683535","0.146368747944703","0.256737985725998"
"Big worries","2000","lower secondary degree","(Married) couple without C. ","1429","0.370530020924828","0.355459654953361","0.385600386896296"
"Big worries","2000","lower secondary degree","1-pers.-HH","516","0.347378139405146","0.323488869615941","0.37126740919435"
"Big worries","2000","lower secondary degree","Couple + C. GT 16 ","477","0.364977447016838","0.339400622855826","0.390554271177851"
"Big worries","2000","lower secondary degree","Couple + C. LE 16 ","561","0.366295819589968","0.342614342021312","0.389977297158624"
"Big worries","2000","lower secondary degree","Couple + C. LE and GT 16","195","0.374200737371319","0.333079884094588","0.41532159064805"
"Big worries","2000","lower secondary degree","Single parent ","157","0.329746067729527","0.286784643232115","0.37270749222694"
"Big worries","2000","no degree/no degree yet","(Married) couple without C. ","21","","",""
"Big worries","2000","no degree/no degree yet","1-pers.-HH","14","","",""
"Big worries","2000","no degree/no degree yet","Couple + C. GT 16 ","60","0.218099048704918","0.17113423296663","0.265063864443206"
"Big worries","2000","no degree/no degree yet","Couple + C. LE 16 ","18","","",""
"Big worries","2000","no degree/no degree yet","Couple + C. LE and GT 16","43","0.182172023167619","0.132610807229833","0.231733239105405"
"Big worries","2000","no degree/no degree yet","Single parent ","13","","",""
"Big worries","2000","Other degree","(Married) couple without C. ","51","0.153219634930414","0.115320791662999","0.191118478197829"
"Big worries","2000","Other degree","1-pers.-HH","24","","",""
"Big worries","2000","Other degree","Couple + C. GT 16 ","49","0.194147321689576","0.147650933149151","0.240643710230002"
"Big worries","2000","Other degree","Couple + C. LE 16 ","53","0.0960607505920899","0.0682410747109331","0.123880426473247"
"Big worries","2000","Other degree","Couple + C. LE and GT 16","30","0.178575185948391","0.12166789240721","0.235482479489572"
"Big worries","2000","Other degree","Single parent ","10","","",""
"Big worries","2000","secondary school degree","(Married) couple without C. ","644","0.367493901451589","0.344840631847059","0.390147171056118"
"Big worries","2000","secondary school degree","1-pers.-HH","254","0.297272151519355","0.26652782801018","0.328016475028531"
"Big worries","2000","secondary school degree","Couple + C. GT 16 ","409","0.345167150303151","0.318323935609374","0.372010364996929"
"Big worries","2000","secondary school degree","Couple + C. LE 16 ","662","0.341376151383635","0.320292442749319","0.362459860017951"
"Big worries","2000","secondary school degree","Couple + C. LE and GT 16","216","0.293623411695133","0.259061427859039","0.328185395531228"
"Big worries","2000","secondary school degree","Single parent ","117","0.289363437174281","0.243220340397841","0.33550653395072"
"No worries","2000","college entrance qualification","(Married) couple without C. ","489","0.36177288936122","0.336093033473445","0.387452745248995"
"No worries","2000","college entrance qualification","1-pers.-HH","364","0.466897383706954","0.431817858332","0.501976909081908"
"No worries","2000","college entrance qualification","Couple + C. GT 16 ","275","0.362681484763896","0.328701288616462","0.396661680911329"
"No worries","2000","college entrance qualification","Couple + C. LE 16 ","501","0.449724899716559","0.421146691344116","0.478303108089003"
"No worries","2000","college entrance qualification","Couple + C. LE and GT 16","118","0.3940452909427","0.339650113546107","0.448440468339292"
"No worries","2000","college entrance qualification","Single parent ","69","0.373785451801626","0.307231653597812","0.44033925000544"
"No worries","2000","lower secondary degree","(Married) couple without C. ","612","0.155715097409413","0.144400621038253","0.167029573780573"
"No worries","2000","lower secondary degree","1-pers.-HH","317","0.200419572573545","0.180334566502292","0.220504578644799"
"No worries","2000","lower secondary degree","Couple + C. GT 16 ","245","0.159826980871056","0.14035866241635","0.179295299325762"
"No worries","2000","lower secondary degree","Couple + C. LE 16 ","287","0.170794444289216","0.152296754145984","0.189292134432449"
"No worries","2000","lower secondary degree","Couple + C. LE and GT 16","102","0.199028414864469","0.165100406094286","0.232956423634653"
"No worries","2000","lower secondary degree","Single parent ","84","0.189790518297013","0.153955709484074","0.225625327109951"
"No worries","2000","no degree/no degree yet","(Married) couple without C. ","45","0.372590847356214","0.283837001378687","0.461344693333741"
"No worries","2000","no degree/no degree yet","1-pers.-HH","23","","",""
"No worries","2000","no degree/no degree yet","Couple + C. GT 16 ","91","0.300592671406737","0.24844629325247","0.352739049561004"
"No worries","2000","no degree/no degree yet","Couple + C. LE 16 ","36","0.433827921499651","0.323130959439794","0.544524883559508"
"No worries","2000","no degree/no degree yet","Couple + C. LE and GT 16","85","0.349880960253756","0.288642152346199","0.411119768161313"
"No worries","2000","no degree/no degree yet","Single parent ","34","0.435221849184168","0.326579940731647","0.54386375763669"
"No worries","2000","Other degree","(Married) couple without C. ","136","0.426247344918543","0.374214622280478","0.478280067556609"
"No worries","2000","Other degree","1-pers.-HH","54","0.421705284863429","0.336487082362993","0.506923487363865"
"No worries","2000","Other degree","Couple + C. GT 16 ","96","0.321446075519657","0.266546126606088","0.376346024433226"
"No worries","2000","Other degree","Couple + C. LE 16 ","177","0.41466279579937","0.368151326818176","0.461174264780564"
"No worries","2000","Other degree","Couple + C. LE and GT 16","72","0.438232870565174","0.364509683156976","0.511956057973371"
"No worries","2000","Other degree","Single parent ","26","","",""
"No worries","2000","secondary school degree","(Married) couple without C. ","306","0.173030680964485","0.155256904084987","0.190804457843983"
"No worries","2000","secondary school degree","1-pers.-HH","201","0.245762155443571","0.216801665193688","0.274722645693453"
"No worries","2000","secondary school degree","Couple + C. GT 16 ","224","0.195318311075862","0.172934289947166","0.217702332204558"
"No worries","2000","secondary school degree","Couple + C. LE 16 ","344","0.181499656199733","0.164361700054607","0.198637612344859"
"No worries","2000","secondary school degree","Couple + C. LE and GT 16","145","0.232664995907029","0.200599112893977","0.264730878920082"
"No worries","2000","secondary school degree","Single parent ","94","0.292144832130326","0.245871322080128","0.338418342180524"
"Some worries","2000","college entrance qualification","(Married) couple without C. ","588","0.436036086149121","0.409534380674873","0.46253779162337"
"Some worries","2000","college entrance qualification","1-pers.-HH","308","0.401327748264786","0.366862473874307","0.435793022655265"
"Some worries","2000","college entrance qualification","Couple + C. GT 16 ","352","0.448636106972695","0.413484013539501","0.483788200405889"
"Some worries","2000","college entrance qualification","Couple + C. LE 16 ","491","0.396062456171637","0.367966135352326","0.424158776990947"
"Some worries","2000","college entrance qualification","Couple + C. LE and GT 16","140","0.435272147085466","0.38008127112789","0.490463023043042"
"Some worries","2000","college entrance qualification","Single parent ","93","0.424661181363023","0.356665208407838","0.492657154318209"
"Some worries","2000","lower secondary degree","(Married) couple without C. ","1904","0.473754881665759","0.458173876327647","0.489335887003871"
"Some worries","2000","lower secondary degree","1-pers.-HH","693","0.452202288021309","0.427230634017268","0.477173942025349"
"Some worries","2000","lower secondary degree","Couple + C. GT 16 ","639","0.475195572112106","0.448664550930642","0.50172659329357"
"Some worries","2000","lower secondary degree","Couple + C. LE 16 ","742","0.462909736120816","0.438400976839227","0.487418495402404"
"Some worries","2000","lower secondary degree","Couple + C. LE and GT 16","235","0.426770847764211","0.384741390481475","0.468800305046947"
"Some worries","2000","lower secondary degree","Single parent ","219","0.48046341397346","0.43480641050787","0.52612041743905"
"Some worries","2000","no degree/no degree yet","(Married) couple without C. ","48","0.398387367955578","0.308518986857324","0.488255749053831"
"Some worries","2000","no degree/no degree yet","1-pers.-HH","10","","",""
"Some worries","2000","no degree/no degree yet","Couple + C. GT 16 ","146","0.481308279888345","0.424483705642513","0.538132854134177"
"Some worries","2000","no degree/no degree yet","Couple + C. LE 16 ","23","","",""
"Some worries","2000","no degree/no degree yet","Couple + C. LE and GT 16","105","0.467947016578625","0.403878316380439","0.532015716776811"
"Some worries","2000","no degree/no degree yet","Single parent ","33","0.424731346547908","0.316414599292746","0.53304809380307"
"Some worries","2000","Other degree","(Married) couple without C. ","160","0.420533020151042","0.368593521726546","0.472472518575538"
"Some worries","2000","Other degree","1-pers.-HH","51","0.384154746612129","0.300219931726831","0.468089561497427"
"Some worries","2000","Other degree","Couple + C. GT 16 ","133","0.484406602790767","0.425659778631843","0.54315342694969"
"Some worries","2000","Other degree","Couple + C. LE 16 ","201","0.48927645360854","0.442083239687131","0.53646966752995"
"Some worries","2000","Other degree","Couple + C. LE and GT 16","72","0.383191943486435","0.310955447627561","0.45542843934531"
"Some worries","2000","Other degree","Single parent ","34","0.49821948129644","0.381089972583051","0.615348990009829"
"Some worries","2000","secondary school degree","(Married) couple without C. ","790","0.459475417583927","0.4360594379114","0.482891397256453"
"Some worries","2000","secondary school degree","1-pers.-HH","394","0.456965693037074","0.423457602678146","0.490473783396002"
"Some worries","2000","secondary school degree","Couple + C. GT 16 ","572","0.459514538620987","0.431376345629117","0.487652731612857"
"Some worries","2000","secondary school degree","Couple + C. LE 16 ","937","0.477124192416631","0.454915311070454","0.499333073762808"
"Some worries","2000","secondary school degree","Couple + C. LE and GT 16","306","0.473711592397838","0.435819020578792","0.511604164216883"
"Some worries","2000","secondary school degree","Single parent ","160","0.418491730695394","0.368294180332335","0.468689281058452"
"Big worries","2001","college entrance qualification","(Married) couple without C. ","206","0.1581253771494","0.138238191634227","0.178012562664572"
"Big worries","2001","college entrance qualification","1-pers.-HH","76","0.104260416557091","0.0817500755944343","0.126770757519747"
"Big worries","2001","college entrance qualification","Couple + C. GT 16 ","117","0.169342631289047","0.142301803355089","0.196383459223005"
"Big worries","2001","college entrance qualification","Couple + C. LE 16 ","159","0.1461285684742","0.125310792334265","0.166946344614135"
"Big worries","2001","college entrance qualification","Couple + C. LE and GT 16","41","0.148449450481846","0.104980811421939","0.191918089541753"
"Big worries","2001","college entrance qualification","Single parent ","27","","",""
"Big worries","2001","lower secondary degree","(Married) couple without C. ","1059","0.312501320739486","0.297043481474034","0.327959160004939"
"Big worries","2001","lower secondary degree","1-pers.-HH","376","0.280001952976215","0.25621753346322","0.303786372489209"
"Big worries","2001","lower secondary degree","Couple + C. GT 16 ","381","0.321676348251672","0.295280032031369","0.348072664471975"
"Big worries","2001","lower secondary degree","Couple + C. LE 16 ","428","0.300346726171082","0.276419551432737","0.324273900909427"
"Big worries","2001","lower secondary degree","Couple + C. LE and GT 16","125","0.256260073602361","0.217082284595013","0.295437862609709"
"Big worries","2001","lower secondary degree","Single parent ","115","0.260088166486126","0.217364269179129","0.302812063793123"
"Big worries","2001","no degree/no degree yet","(Married) couple without C. ","11","","",""
"Big worries","2001","no degree/no degree yet","1-pers.-HH","6","","",""
"Big worries","2001","no degree/no degree yet","Couple + C. GT 16 ","52","0.186866841426052","0.143120158391303","0.230613524460801"
"Big worries","2001","no degree/no degree yet","Couple + C. LE 16 ","13","","",""
"Big worries","2001","no degree/no degree yet","Couple + C. LE and GT 16","36","0.151041064926853","0.104962922816674","0.197119207037032"
"Big worries","2001","no degree/no degree yet","Single parent ","12","","",""
"Big worries","2001","Other degree","(Married) couple without C. ","44","0.110356113027135","0.0775767258579627","0.143135500196307"
"Big worries","2001","Other degree","1-pers.-HH","12","","",""
"Big worries","2001","Other degree","Couple + C. GT 16 ","39","0.16306682951009","0.116328770322739","0.209804888697442"
"Big worries","2001","Other degree","Couple + C. LE 16 ","44","0.121811230367749","0.088349171159489","0.155273289576008"
"Big worries","2001","Other degree","Couple + C. LE and GT 16","29","","",""
"Big worries","2001","Other degree","Single parent ","12","","",""
"Big worries","2001","secondary school degree","(Married) couple without C. ","476","0.267379826051629","0.246069475600986","0.288690176502271"
"Big worries","2001","secondary school degree","1-pers.-HH","197","0.253095689180471","0.222465303321421","0.283726075039521"
"Big worries","2001","secondary school degree","Couple + C. GT 16 ","322","0.298738980949362","0.271703118489963","0.325774843408761"
"Big worries","2001","secondary school degree","Couple + C. LE 16 ","467","0.268206735636907","0.247503214438231","0.288910256835583"
"Big worries","2001","secondary school degree","Couple + C. LE and GT 16","183","0.289908603208909","0.253694551934605","0.326122654483214"
"Big worries","2001","secondary school degree","Single parent ","80","0.222876816329919","0.179400359879147","0.26635327278069"
"No worries","2001","college entrance qualification","(Married) couple without C. ","507","0.385418258679723","0.35889024102797","0.411946276331477"
"No worries","2001","college entrance qualification","1-pers.-HH","338","0.46641003922118","0.429663264063442","0.503156814378918"
"No worries","2001","college entrance qualification","Couple + C. GT 16 ","286","0.379374338317856","0.344389915618733","0.414358761016979"
"No worries","2001","college entrance qualification","Couple + C. LE 16 ","527","0.475111103258432","0.445680320670083","0.504541885846781"
"No worries","2001","college entrance qualification","Couple + C. LE and GT 16","107","0.411248777968437","0.351089896842731","0.471407659094143"
"No worries","2001","college entrance qualification","Single parent ","71","0.390845853834549","0.321097249265736","0.460594458403363"
"No worries","2001","lower secondary degree","(Married) couple without C. ","644","0.185309520343117","0.172351695323982","0.198267345362252"
"No worries","2001","lower secondary degree","1-pers.-HH","321","0.230348557389931","0.208044382633683","0.252652732146179"
"No worries","2001","lower secondary degree","Couple + C. GT 16 ","254","0.19042889462432","0.16824135223005","0.212616437018591"
"No worries","2001","lower secondary degree","Couple + C. LE 16 ","261","0.1874280262104","0.167058228312995","0.207797824107806"
"No worries","2001","lower secondary degree","Couple + C. LE and GT 16","113","0.240896242062206","0.202520703380374","0.279271780744038"
"No worries","2001","lower secondary degree","Single parent ","95","0.254445953230909","0.212027198066972","0.296864708394846"
"No worries","2001","no degree/no degree yet","(Married) couple without C. ","30","0.281272221319506","0.192704365553363","0.369840077085649"
"No worries","2001","no degree/no degree yet","1-pers.-HH","18","","",""
"No worries","2001","no degree/no degree yet","Couple + C. GT 16 ","117","0.36465552251958","0.310636813787626","0.418674231251534"
"No worries","2001","no degree/no degree yet","Couple + C. LE 16 ","14","","",""
"No worries","2001","no degree/no degree yet","Couple + C. LE and GT 16","108","0.492678790039042","0.428346717725301","0.557010862352783"
"No worries","2001","no degree/no degree yet","Single parent ","34","0.383030641638125","0.280880959062253","0.485180324213997"
"No worries","2001","Other degree","(Married) couple without C. ","156","0.465456442807588","0.413273855842105","0.517639029773071"
"No worries","2001","Other degree","1-pers.-HH","43","0.44671898050343","0.347783444147193","0.545654516859668"
"No worries","2001","Other degree","Couple + C. GT 16 ","86","0.389104431869729","0.32742234677979","0.450786516959667"
"No worries","2001","Other degree","Couple + C. LE 16 ","149","0.409598528391755","0.359286946988099","0.45991010979541"
"No worries","2001","Other degree","Couple + C. LE and GT 16","61","0.463375007516483","0.381357669498878","0.545392345534088"
"No worries","2001","Other degree","Single parent ","23","","",""
"No worries","2001","secondary school degree","(Married) couple without C. ","370","0.235947779070763","0.215504229440087","0.256391328701439"
"No worries","2001","secondary school degree","1-pers.-HH","226","0.29843070705747","0.266195189259263","0.330666224855676"
"No worries","2001","secondary school degree","Couple + C. GT 16 ","257","0.238720420199191","0.213539516798805","0.263901323599576"
"No worries","2001","secondary school degree","Couple + C. LE 16 ","394","0.230755320596262","0.211066337615893","0.250444303576632"
"No worries","2001","secondary school degree","Couple + C. LE and GT 16","145","0.261263306440614","0.226198335769764","0.296328277111464"
"No worries","2001","secondary school degree","Single parent ","101","0.279776924013261","0.232883038280951","0.32667080974557"
"Some worries","2001","college entrance qualification","(Married) couple without C. ","580","0.456456364170877","0.429306624512765","0.483606103828988"
"Some worries","2001","college entrance qualification","1-pers.-HH","294","0.429329544221729","0.392869302424046","0.465789786019413"
"Some worries","2001","college entrance qualification","Couple + C. GT 16 ","336","0.451283030393098","0.415405332462904","0.487160728323291"
"Some worries","2001","college entrance qualification","Couple + C. LE 16 ","420","0.378760328267368","0.350172421278566","0.407348235256171"
"Some worries","2001","college entrance qualification","Couple + C. LE and GT 16","109","0.440301771549717","0.379609455330483","0.500994087768951"
"Some worries","2001","college entrance qualification","Single parent ","90","0.463731354593679","0.392447102132467","0.535015607054892"
"Some worries","2001","lower secondary degree","(Married) couple without C. ","1751","0.502189158917396","0.485514660991074","0.518863656843719"
"Some worries","2001","lower secondary degree","1-pers.-HH","672","0.489649489633855","0.463169165503555","0.516129813764154"
"Some worries","2001","lower secondary degree","Couple + C. GT 16 ","568","0.487894757124008","0.459648691483309","0.516140822764706"
"Some worries","2001","lower secondary degree","Couple + C. LE 16 ","721","0.512225247618518","0.486134970993054","0.538315524243981"
"Some worries","2001","lower secondary degree","Couple + C. LE and GT 16","239","0.502843684335433","0.457974116992937","0.547713251677929"
"Some worries","2001","lower secondary degree","Single parent ","195","0.485465880282965","0.436790760951838","0.534140999614092"
"Some worries","2001","no degree/no degree yet","(Married) couple without C. ","58","0.561196247296326","0.46344483530441","0.658947659288241"
"Some worries","2001","no degree/no degree yet","1-pers.-HH","10","","",""
"Some worries","2001","no degree/no degree yet","Couple + C. GT 16 ","136","0.448477636054368","0.392662738655652","0.504292533453084"
"Some worries","2001","no degree/no degree yet","Couple + C. LE 16 ","25","","",""
"Some worries","2001","no degree/no degree yet","Couple + C. LE and GT 16","88","0.356280145034105","0.294656361235464","0.417903928832747"
"Some worries","2001","no degree/no degree yet","Single parent ","41","0.459265549138946","0.35454969991265","0.563981398365242"
"Some worries","2001","Other degree","(Married) couple without C. ","151","0.424187444165277","0.372484651362977","0.475890236967578"
"Some worries","2001","Other degree","1-pers.-HH","42","0.42156298746907","0.323292864867378","0.519833110070761"
"Some worries","2001","Other degree","Couple + C. GT 16 ","115","0.447828738620181","0.384916469449711","0.510741007790651"
"Some worries","2001","Other degree","Couple + C. LE 16 ","174","0.468590241240496","0.417536632993191","0.519643849487802"
"Some worries","2001","Other degree","Couple + C. LE and GT 16","52","0.332301797080609","0.254827014262385","0.409776579898832"
"Some worries","2001","Other degree","Single parent ","36","0.467348384579986","0.351294170779265","0.583402598380706"
"Some worries","2001","secondary school degree","(Married) couple without C. ","811","0.496672394877608","0.472598452145057","0.52074633761016"
"Some worries","2001","secondary school degree","1-pers.-HH","351","0.44847360376206","0.413436418843094","0.483510788681026"
"Some worries","2001","secondary school degree","Couple + C. GT 16 ","522","0.462540598851447","0.433089453260058","0.491991744442837"
"Some worries","2001","secondary school degree","Couple + C. LE 16 ","898","0.501037943766831","0.477671950894903","0.524403936638758"
"Some worries","2001","secondary school degree","Couple + C. LE and GT 16","275","0.448828090350477","0.409129691777505","0.48852648892345"
"Some worries","2001","secondary school degree","Single parent ","171","0.497346259656821","0.445113779658009","0.549578739655632"
"Big worries","2002","college entrance qualification","(Married) couple without C. ","339","0.198393603773154","0.179563623180096","0.217223584366213"
"Big worries","2002","college entrance qualification","1-pers.-HH","95","0.123026360360187","0.099735058209018","0.146317662511357"
