"plj0046","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Big worries","2001","direct migration background","Male","240","0.160479593368386","0.14140198939939","0.179557197337382","1"
"Big worries","2001","indirect migration background","Female","61","0.153432464737451","0.117709364019271","0.18915556545563","1"
"Big worries","2001","indirect migration background","Male","71","0.194548187287433","0.154589538699936","0.234506835874929","1"
"Big worries","2001","no migration background","Female","2367","0.24909970030373","0.240392262278859","0.2578071383286","1"
"Big worries","2001","no migration background","Male","2377","0.271417625812437","0.262064720501516","0.280770531123359","1"
"No worries","2001","direct migration background","Male","537","0.396781876942257","0.371353924116178","0.422209829768337","3"
"No worries","2001","indirect migration background","Female","146","0.408053221594185","0.359338587091236","0.456767856097135","3"
"No worries","2001","indirect migration background","Male","153","0.387737602404159","0.338554584924419","0.436920619883899","3"
"No worries","2001","no migration background","Male","2321","0.269737383389452","0.260402728029084","0.279072038749819","3"
"No worries","2001","direct migration background","Female","571","0.405328726664846","0.380332977305641","0.430324476024052","3"
"No worries","2001","no migration background","Female","2410","0.2548490894143","0.24607552008919","0.26362265873941","3"
"Some worries","2001","no migration background","Male","3986","0.458844990798111","0.44836449031102","0.469325491285201","2"
"Some worries","2001","direct migration background","Female","684","0.442716840328867","0.417428229673603","0.468005450984131","2"
"Some worries","2001","direct migration background","Male","645","0.442738529689356","0.416921786164861","0.468555273213851","2"
"Some worries","2001","indirect migration background","Female","184","0.438514313668364","0.389330642299556","0.487697985037172","2"
"Some worries","2001","indirect migration background","Male","153","0.417714210308409","0.367930743497739","0.467497677119078","2"
"Some worries","2001","no migration background","Female","4700","0.49605121028197","0.485984927863104","0.506117492700837","2"
"Big worries","2002","indirect migration background","Female","62","0.173531956136598","0.136694652117061","0.210369260156135","1"
"Big worries","2002","indirect migration background","Male","61","0.18577134791182","0.146088990494264","0.225453705329375","1"
"Big worries","2002","direct migration background","Female","260","0.192059774257138","0.171650098895466","0.212469449618809","1"
"Big worries","2002","direct migration background","Male","249","0.19207009186749","0.171033227454935","0.213106956280045","1"
"Big worries","2002","no migration background","Female","2751","0.304354433508126","0.295345437655277","0.313363429360976","1"
"Big worries","2002","no migration background","Male","2805","0.316105739149778","0.306698444184837","0.325513034114718","1"
"No worries","2002","indirect migration background","Female","132","0.326665893169185","0.281046208676173","0.372285577662197","3"
"No worries","2002","direct migration background","Male","451","0.343149256877344","0.317795683844574","0.368502829910113","3"
"No worries","2002","indirect migration background","Male","160","0.371574004401649","0.322269722224441","0.420878286578856","3"
"No worries","2002","no migration background","Male","2359","0.237679571631372","0.229067278593747","0.246291864668997","3"
"No worries","2002","direct migration background","Female","478","0.336176137483691","0.311700267044325","0.360652007923057","3"
"No worries","2002","no migration background","Female","2300","0.203722983199821","0.195837203071828","0.211608763327814","3"
"Some worries","2002","no migration background","Male","4220","0.44621468921885","0.436157034111909","0.456272344325791","2"
"Some worries","2002","direct migration background","Female","693","0.471764088259171","0.445899553265056","0.497628623253287","2"
"Some worries","2002","direct migration background","Male","647","0.464780651255166","0.438145558357237","0.491415744153096","2"
"Some worries","2002","indirect migration background","Female","212","0.499802150694217","0.451166464845899","0.548437836542536","2"
"Some worries","2002","indirect migration background","Male","148","0.442654647686532","0.391975463619846","0.493333831753217","2"
"Some worries","2002","no migration background","Female","4970","0.491922583292052","0.482134314516736","0.501710852067369","2"
"Big worries","2003","indirect migration background","Female","70","0.209673993287288","0.169930046947018","0.249417939627559","1"
"Big worries","2003","indirect migration background","Male","59","0.212451930827715","0.170885235535516","0.254018626119914","1"
"Big worries","2003","direct migration background","Female","212","0.160780248936051","0.141142004866667","0.180418493005435","1"
"Big worries","2003","direct migration background","Male","224","0.177737402580687","0.156612123600348","0.198862681561026","1"
"Big worries","2003","no migration background","Female","2449","0.282806245702768","0.273842908214774","0.291769583190762","1"
"Big worries","2003","no migration background","Male","2523","0.29635253038615","0.286936542359583","0.305768518412718","1"
"No worries","2003","indirect migration background","Female","143","0.359963458742008","0.313100774505231","0.406826142978785","3"
"No worries","2003","direct migration background","Male","467","0.388561538267998","0.36162671983358","0.415496356702416","3"
"No worries","2003","indirect migration background","Male","145","0.373355986774918","0.32420314537421","0.422508828175625","3"
"No worries","2003","no migration background","Male","2449","0.251948601754772","0.242996897855646","0.260900305653897","3"
"No worries","2003","direct migration background","Female","491","0.356344436781103","0.330740295683537","0.381948577878668","3"
"No worries","2003","no migration background","Female","2516","0.23171464610174","0.223317242619423","0.240112049584057","3"
"Some worries","2003","no migration background","Male","4063","0.451698867859078","0.441437196899202","0.461960538818954","2"
"Some worries","2003","direct migration background","Female","641","0.482875314282846","0.456159796639305","0.509590831926387","2"
"Some worries","2003","direct migration background","Male","567","0.433701059151315","0.406315230499752","0.461086887802879","2"
"Some worries","2003","indirect migration background","Female","190","0.430362547970704","0.382021944180094","0.478703151761314","2"
"Some worries","2003","indirect migration background","Male","168","0.414192082397368","0.364136198337833","0.464247966456902","2"
"Some worries","2003","no migration background","Female","4733","0.485479108195492","0.475532070111151","0.495426146279833","2"
"Big worries","2004","indirect migration background","Female","95","0.276085268487883","0.233073295252385","0.319097241723382","1"
"Big worries","2004","indirect migration background","Male","96","0.284012606061007","0.239026755616831","0.328998456505184","1"
"Big worries","2004","direct migration background","Female","264","0.218328987702817","0.195881013908577","0.240776961497058","1"
"Big worries","2004","direct migration background","Male","271","0.22502209405424","0.201404599227114","0.248639588881366","1"
"Big worries","2004","no migration background","Female","2946","0.336948153665271","0.327430853503393","0.346465453827149","1"
"Big worries","2004","no migration background","Male","3014","0.368925999277548","0.358829198164031","0.379022800391066","1"
"No worries","2004","direct migration background","Male","357","0.306171396304248","0.280104759863372","0.332238032745124","3"
"No worries","2004","indirect migration background","Female","129","0.297659522958625","0.253669135974604","0.341649909942646","3"
"No worries","2004","direct migration background","Female","383","0.293188775491946","0.268452470248734","0.317925080735158","3"
"No worries","2004","indirect migration background","Male","130","0.314524259671278","0.268203299013507","0.36084522032905","3"
"No worries","2004","no migration background","Male","2018","0.22039456243421","0.211720712706616","0.229068412161803","3"
"No worries","2004","no migration background","Female","2076","0.196639388405199","0.188636458622707","0.204642318187692","3"
"Some worries","2004","no migration background","Male","3741","0.410679438288242","0.400385032033954","0.42097384454253","2"
"Some worries","2004","direct migration background","Female","654","0.488482236805237","0.46132008385106","0.515644389759413","2"
"Some worries","2004","direct migration background","Male","573","0.468806509641512","0.440583730566144","0.49702928871688","2"
"Some worries","2004","indirect migration background","Female","191","0.426255208553492","0.378675884257358","0.473834532849626","2"
"Some worries","2004","indirect migration background","Male","160","0.401463134267714","0.352561572807174","0.450364695728254","2"
"Some worries","2004","no migration background","Female","4453","0.46641245792953","0.456367539986377","0.476457375872682","2"
"Big worries","2005","indirect migration background","Female","115","0.319795551703887","0.275349432116486","0.364241671291289","1"
"Big worries","2005","indirect migration background","Male","117","0.293874318599337","0.249288399291503","0.338460237907172","1"
"Big worries","2005","direct migration background","Female","320","0.282549090333257","0.257519394113375","0.307578786553139","1"
"Big worries","2005","direct migration background","Male","320","0.292204784971368","0.265402735752147","0.319006834190589","1"
"Big worries","2005","no migration background","Female","3396","0.398911411110112","0.388853871779195","0.40896895044103","1"
"Big worries","2005","no migration background","Male","3410","0.424253712816527","0.413663819003336","0.434843606629718","1"
"No worries","2005","direct migration background","Male","268","0.258848856143284","0.23303534719284","0.284662365093729","3"
"No worries","2005","indirect migration background","Female","111","0.258164863811772","0.216460627357341","0.299869100266203","3"
"No worries","2005","no migration background","Male","1572","0.176495279053552","0.168326393723082","0.184664164384022","3"
"No worries","2005","direct migration background","Female","343","0.270651211979014","0.245951883402721","0.295350540555307","3"
"No worries","2005","indirect migration background","Male","112","0.249994178983992","0.207612986731514","0.29237537123647","3"
"No worries","2005","no migration background","Female","1588","0.163702258343251","0.156102635046583","0.171301881639919","3"
"Some worries","2005","no migration background","Male","3385","0.399251008129921","0.38875720910121","0.409744807158632","2"
"Some worries","2005","direct migration background","Female","580","0.446799697687729","0.419161471521561","0.474437923853897","2"
"Some worries","2005","direct migration background","Male","518","0.448946358885347","0.419633060247545","0.47825965752315","2"
"Some worries","2005","indirect migration background","Female","197","0.42203958448434","0.374973990063149","0.469105178905532","2"
"Some worries","2005","indirect migration background","Male","172","0.456131502416671","0.407382257812377","0.504880747020964","2"
"Some worries","2005","no migration background","Female","4122","0.437386330546637","0.427197554627606","0.447575106465667","2"
"Big worries","2006","direct migration background","Male","295","0.276806460302933","0.25031790979058","0.303295010815286","1"
"Big worries","2006","indirect migration background","Female","109","0.314496847927056","0.270144162557774","0.358849533296338","1"
"Big worries","2006","indirect migration background","Male","111","0.291759366125923","0.246644610335614","0.336874121916232","1"
"Big worries","2006","no migration background","Female","3179","0.346229426775207","0.336792537088321","0.355666316462092","1"
"Big worries","2006","no migration background","Male","3219","0.374197385605055","0.364169653914673","0.384225117295438","1"
"Big worries","2006","direct migration background","Female","303","0.245340208295145","0.221572068317792","0.269108348272499","1"
"No worries","2006","indirect migration background","Female","118","0.261467141723975","0.219491193647839","0.303443089800112","3"
"No worries","2006","indirect migration background","Male","124","0.314634347501741","0.268547179617782","0.3607215153857","3"
"No worries","2006","direct migration background","Male","316","0.290097309591758","0.263230625080611","0.316963994102905","3"
"No worries","2006","no migration background","Male","1916","0.20887057432743","0.200447007150678","0.217294141504181","3"
"No worries","2006","no migration background","Female","2013","0.196476095536929","0.188594965998723","0.204357225075135","3"
"No worries","2006","direct migration background","Female","386","0.306281745477186","0.280820048571088","0.331743442383284","3"
"Some worries","2006","direct migration background","Male","485","0.433096230105309","0.403760987232824","0.462431472977793","2"
"Some worries","2006","indirect migration background","Female","194","0.424036010348969","0.376829045492119","0.471242975205819","2"
"Some worries","2006","direct migration background","Female","570","0.448378046227669","0.42090681229602","0.475849280159318","2"
"Some worries","2006","no migration background","Male","3811","0.416932040067515","0.406714981848667","0.427149098286363","2"
"Some worries","2006","indirect migration background","Male","155","0.393606286372336","0.345119416824231","0.442093155920442","2"
"Some worries","2006","no migration background","Female","4572","0.457294477687864","0.447413172690939","0.46717578268479","2"
"Big worries","2007","direct migration background","Male","226","0.218242837622004","0.192382095268076","0.244103579975932","1"
"Big worries","2007","indirect migration background","Female","89","0.19238243669564","0.154367116459992","0.230397756931287","1"
"Big worries","2007","indirect migration background","Male","92","0.243727117668368","0.199981110544555","0.287473124792181","1"
"Big worries","2007","no migration background","Female","2685","0.312788827468302","0.303285527169406","0.322292127767198","1"
"Big worries","2007","no migration background","Male","2699","0.338978149711691","0.328857722882142","0.349098576541241","1"
"Big worries","2007","direct migration background","Female","201","0.179842192110673","0.157439736487492","0.202244647733853","1"
"No worries","2007","direct migration background","Male","320","0.322188563687799","0.292930568803735","0.351446558571863","3"
"No worries","2007","indirect migration background","Female","126","0.296087405562445","0.252058042764391","0.340116768360499","3"
"No worries","2007","indirect migration background","Male","140","0.358770971784412","0.309898707042638","0.407643236526185","3"
"No worries","2007","no migration background","Male","2142","0.2453477050995","0.236148092958123","0.254547317240876","3"
"No worries","2007","no migration background","Female","2166","0.227016379552016","0.218429853865896","0.235602905238137","3"
"No worries","2007","direct migration background","Female","392","0.350450602745837","0.322620127811498","0.378281077680176","3"
"Some worries","2007","direct migration background","Female","536","0.46970720514349","0.440595168159016","0.498819242127964","2"
"Some worries","2007","direct migration background","Male","434","0.459568598690197","0.428366736512182","0.490770460868213","2"
"Some worries","2007","indirect migration background","Female","198","0.511530157741915","0.463321219721026","0.559739095762804","2"
"Some worries","2007","no migration background","Male","3563","0.415674145188809","0.405137335723711","0.426210954653907","2"
"Some worries","2007","indirect migration background","Male","138","0.39750191054722","0.347637042261706","0.447366778832735","2"
"Some worries","2007","no migration background","Female","4292","0.460194792979682","0.449978505243826","0.470411080715537","2"
"Big worries","2008","direct migration background","Male","166","0.194459177369275","0.168249960940808","0.220668393797743","1"
"Big worries","2008","indirect migration background","Female","75","0.209900083288021","0.169991582910267","0.249808583665775","1"
"Big worries","2008","indirect migration background","Male","80","0.19393295684373","0.153646541953704","0.234219371733756","1"
"Big worries","2008","no migration background","Female","2197","0.272108237911365","0.262751112507247","0.281465363315483","1"
"Big worries","2008","no migration background","Male","2256","0.296719367451959","0.286688512314398","0.306750222589521","1"
"Big worries","2008","direct migration background","Female","160","0.141844507573841","0.120412470236034","0.163276544911649","1"
"No worries","2008","no migration background","Male","2318","0.281149528549565","0.271277903685585","0.291021153413546","3"
"No worries","2008","direct migration background","Male","354","0.402816941426242","0.370337867248401","0.435296015604082","3"
"No worries","2008","indirect migration background","Female","140","0.310835062627068","0.265478024879671","0.356192100374465","3"
"No worries","2008","indirect migration background","Male","132","0.387959785474958","0.338308492373828","0.437611078576089","3"
"No worries","2008","no migration background","Female","2375","0.259572671675144","0.25035526166611","0.268790081684177","3"
"No worries","2008","direct migration background","Female","398","0.375181105380078","0.345438996550323","0.404923214209832","3"
"Some worries","2008","no migration background","Male","3393","0.422131103998475","0.41128586770544","0.43297634029151","2"
"Some worries","2008","direct migration background","Female","460","0.482974387046081","0.452277645255805","0.513671128836357","2"
"Some worries","2008","direct migration background","Male","356","0.402723881204483","0.370246028711341","0.435201733697625","2"
"Some worries","2008","indirect migration background","Female","185","0.479264854084911","0.430307906563167","0.528221801606654","2"
"Some worries","2008","indirect migration background","Male","158","0.418107257681311","0.367848407065598","0.468366108297025","2"
"Some worries","2008","no migration background","Female","4118","0.468319090413491","0.457827660903099","0.478810519923883","2"
"Big worries","2009","direct migration background","Male","105","0.140769851111791","0.115995075453296","0.165544626770285","1"
"Big worries","2009","indirect migration background","Female","57","0.142013134703797","0.106153820810504","0.17787244859709","1"
"Big worries","2009","indirect migration background","Male","64","0.168655669592098","0.129143626596334","0.208167712587863","1"
"Big worries","2009","no migration background","Female","1743","0.227096429891476","0.217997918214124","0.236194941568828","1"
"Big worries","2009","no migration background","Male","1752","0.2489688199924","0.239183815589451","0.258753824395349","1"
"Big worries","2009","direct migration background","Female","129","0.16030774639701","0.136311282423073","0.184304210370947","1"
"No worries","2009","no migration background","Male","2651","0.344641421874057","0.333887105910116","0.355395737837998","3"
"No worries","2009","direct migration background","Male","341","0.448409758170136","0.41298181282478","0.483837703515493","3"
"No worries","2009","indirect migration background","Female","140","0.346326150662152","0.297447343635084","0.39520495768922","3"
"No worries","2009","indirect migration background","Male","160","0.428286557193927","0.376071595096214","0.48050151929164","3"
"No worries","2009","no migration background","Female","2668","0.309994874692265","0.29995089185901","0.320038857525521","3"
"No worries","2009","direct migration background","Female","366","0.40789211783608","0.375749370057255","0.440034865614906","3"
"Some worries","2009","no migration background","Male","3099","0.406389758133543","0.39527547052536","0.417504045741726","2"
"Some worries","2009","direct migration background","Female","403","0.43180013576691","0.399403353821999","0.464196917711822","2"
"Some worries","2009","direct migration background","Male","311","0.410820390718073","0.375773459119535","0.445867322316611","2"
"Some worries","2009","indirect migration background","Female","167","0.511660714634051","0.460309671830463","0.563011757437639","2"
"Some worries","2009","indirect migration background","Male","121","0.403057773213975","0.35129847911356","0.45481706731439","2"
"Some worries","2009","no migration background","Female","3734","0.462908695416259","0.452080046415942","0.473737344416576","2"
"Big worries","2010","direct migration background","Male","201","0.179318060246383","0.158335183314195","0.200300937178571","1"
"Big worries","2010","indirect migration background","Female","115","0.206289185110981","0.17471713448603","0.237861235735932","1"
"Big worries","2010","indirect migration background","Male","99","0.18227498438403","0.148866514507829","0.215683454260232","1"
"Big worries","2010","no migration background","Female","2354","0.230009797063602","0.222069568356356","0.237950025770848","1"
"Big worries","2010","no migration background","Male","2114","0.2401991913381","0.231419919200498","0.248978463475701","1"
"Big worries","2010","direct migration background","Female","237","0.173883458157831","0.155189260959416","0.192577655356247","1"
"No worries","2010","no migration background","Male","3433","0.357116993158159","0.347270216296053","0.366963770020264","3"
"No worries","2010","direct migration background","Male","547","0.412374767130993","0.385449387272807","0.43930014698918","3"
"No worries","2010","indirect migration background","Female","235","0.395518071540123","0.357366868435685","0.433669274644561","3"
"No worries","2010","indirect migration background","Male","241","0.408084000916477","0.36555411359607","0.450613888236883","3"
"No worries","2010","no migration background","Female","3772","0.325506278449125","0.316665594085479","0.334346962812772","3"
"No worries","2010","direct migration background","Female","682","0.421988591709701","0.397628686938233","0.446348496481169","3"
"Some worries","2010","no migration background","Male","3549","0.402683815503742","0.392605055733555","0.412762575273929","2"
"Some worries","2010","direct migration background","Female","660","0.404127950132468","0.379923625039606","0.428332275225329","2"
"Some worries","2010","direct migration background","Male","536","0.408307172622623","0.381422346249882","0.435191998995364","2"
"Some worries","2010","indirect migration background","Female","281","0.398192743348896","0.359997543028067","0.436387943669725","2"
"Some worries","2010","indirect migration background","Male","173","0.409641014699493","0.367086150014893","0.452195879384094","2"
"Some worries","2010","no migration background","Female","4665","0.444483924487273","0.435108442806168","0.453859406168377","2"
"Big worries","2011","direct migration background","Male","154","0.181590659772294","0.156061996214049","0.20711932333054","1"
"Big worries","2011","indirect migration background","Female","75","0.180030903250666","0.143020808827053","0.217040997674279","1"
"Big worries","2011","direct migration background","Female","169","0.149736221972706","0.128631132598372","0.170841311347039","1"
"Big worries","2011","indirect migration background","Male","59","0.155441765287525","0.11881885704956","0.192064673525489","1"
"Big worries","2011","no migration background","Female","2192","0.244506511679006","0.235790150244584","0.253222873113428","1"
"Big worries","2011","no migration background","Male","2164","0.264293891947752","0.254898108741624","0.27368967515388","1"
"No worries","2011","no migration background","Male","2892","0.334808832780467","0.324753210911379","0.344864454649554","3"
"No worries","2011","direct migration background","Male","338","0.359325673536214","0.327552629652337","0.391098717420092","3"
"No worries","2011","direct migration background","Female","425","0.410055659052847","0.380963641185003","0.439147676920692","3"
"No worries","2011","indirect migration background","Female","155","0.357963619618398","0.311784336709618","0.404142902527178","3"
"No worries","2011","indirect migration background","Male","163","0.416484109030052","0.366655389140616","0.466312828919488","3"
"No worries","2011","no migration background","Female","2959","0.31064663417192","0.301261749732213","0.320031518611626","3"
"Some worries","2011","no migration background","Male","3405","0.400897275271782","0.390454776252399","0.411339774291164","2"
"Some worries","2011","direct migration background","Female","504","0.440208118974447","0.410845875014045","0.469570362934849","2"
"Some worries","2011","direct migration background","Male","384","0.459083666691491","0.426084193522499","0.492083139860484","2"
"Some worries","2011","indirect migration background","Female","184","0.462005477130936","0.413981247196375","0.510029707065497","2"
"Some worries","2011","indirect migration background","Male","154","0.428074125682423","0.378061053836669","0.478087197528177","2"
"Some worries","2011","no migration background","Female","4189","0.444846854149074","0.434768576531398","0.454925131766751","2"
"Big worries","2012","direct migration background","Male","119","0.136336764350167","0.11342950325113","0.159244025449205","1"
"Big worries","2012","indirect migration background","Female","53","0.127011924082184","0.0949750269977093","0.159048821166659","1"
"Big worries","2012","direct migration background","Female","142","0.134761997726608","0.114273156619965","0.155250838833251","1"
"Big worries","2012","no migration background","Male","1672","0.204320370660343","0.195701969740544","0.212938771580143","1"
"Big worries","2012","indirect migration background","Male","57","0.127410484942156","0.0938416657021467","0.160979304182165","1"
"Big worries","2012","no migration background","Female","1733","0.198317588368919","0.190225532049786","0.206409644688052","1"
"No worries","2012","no migration background","Male","3484","0.406748548548707","0.396248673033878","0.417248424063536","3"
"No worries","2012","direct migration background","Male","403","0.468062978543599","0.434752819011341","0.501373138075858","3"
"No worries","2012","direct migration background","Female","456","0.411545360369012","0.382017550757418","0.441073169980607","3"
"No worries","2012","no migration background","Female","3613","0.378791561413692","0.368947010177005","0.388636112650379","3"
"No worries","2012","indirect migration background","Female","194","0.44265405311751","0.394866071403043","0.490442034831977","3"
"No worries","2012","indirect migration background","Male","203","0.52475750894843","0.474480961241502","0.575034056655358","3"
"Some worries","2012","no migration background","Male","3252","0.38893108079095","0.378510710257519","0.399351451324381","2"
"Some worries","2012","direct migration background","Female","469","0.45369264190438","0.423820574937016","0.483564708871744","2"
"Some worries","2012","direct migration background","Male","340","0.395600257106233","0.362957647115762","0.428242867096705","2"
"Some worries","2012","indirect migration background","Female","168","0.430334022800306","0.382697832062277","0.477970213538335","2"
"Some worries","2012","indirect migration background","Male","119","0.347832006109414","0.299881521855874","0.395782490362954","2"
"Some worries","2012","no migration background","Female","3981","0.422890850217388","0.412865022743019","0.432916677691758","2"
"Big worries","2013","direct migration background","Male","132","0.178913282871138","0.151109591021972","0.206716974720304","1"
"Big worries","2013","indirect migration background","Female","65","0.157428105640968","0.120267778653597","0.19458843262834","1"
"Big worries","2013","indirect migration background","Male","67","0.192684459192205","0.150945075556627","0.234423842827782","1"
"Big worries","2013","no migration background","Female","1873","0.22570566936153","0.216924788342996","0.234486550380063","1"
"Big worries","2013","no migration background","Male","1742","0.229424179713871","0.220070369493547","0.238777989934195","1"
"Big worries","2013","direct migration background","Female","162","0.174088589933335","0.149912610720418","0.198264569146252","1"
"No worries","2013","direct migration background","Male","316","0.445341884284936","0.40928849332066","0.481395275249213","3"
"No worries","2013","indirect migration background","Female","154","0.421329981084468","0.370949584614959","0.471710377553977","3"
"No worries","2013","no migration background","Male","2960","0.373477432395737","0.36271620487622","0.384238659915254","3"
"No worries","2013","direct migration background","Female","389","0.418407951852344","0.386956450494196","0.449859453210492","3"
"No worries","2013","indirect migration background","Male","160","0.488438444393021","0.435538538386605","0.541338350399438","3"
"No worries","2013","no migration background","Female","3069","0.338159318287783","0.328222411230253","0.348096225345314","3"
"Some worries","2013","direct migration background","Female","394","0.407503458214321","0.376174875650773","0.438832040777869","2"
"Some worries","2013","direct migration background","Male","282","0.375744832843925","0.340611913200976","0.410877752486875","2"
"Some worries","2013","no migration background","Female","3765","0.436135012350687","0.425718751208262","0.446551273493112","2"
"Some worries","2013","no migration background","Male","3060","0.397098387890392","0.386213259489003","0.40798351629178","2"
"Some worries","2013","indirect migration background","Female","150","0.421241913274564","0.370862949269593","0.471620877279535","2"
"Some worries","2013","indirect migration background","Male","116","0.318877096414774","0.269556827427766","0.368197365401782","2"
"Big worries","2014","direct migration background","Male","464","0.186231877688687","0.170336011387119","0.202127743990255","1"
"Big worries","2014","indirect migration background","Female","247","0.272681629167885","0.244362720877906","0.301000537457864","1"
"Big worries","2014","indirect migration background","Male","188","0.228104124141899","0.199574666991211","0.256633581292587","1"
"Big worries","2014","no migration background","Female","2877","0.275055405696332","0.266671292836619","0.283439518556046","1"
"Big worries","2014","no migration background","Male","2410","0.263295685094627","0.254338831707715","0.272252538481538","1"
"Big worries","2014","direct migration background","Female","621","0.219444313236421","0.204006741127524","0.234881885345319","1"
"No worries","2014","direct migration background","Male","823","0.390224146783213","0.370305995125907","0.410142298440519","3"
"No worries","2014","direct migration background","Female","846","0.336030412476616","0.318411533439217","0.353649291514016","3"
"No worries","2014","indirect migration background","Female","333","0.341654021251202","0.311495735606058","0.371812306896345","3"
"No worries","2014","no migration background","Male","3203","0.338792265453645","0.329166778855006","0.348417752052283","3"
"No worries","2014","indirect migration background","Male","323","0.383054849936134","0.350002576337864","0.416107123534404","3"
"No worries","2014","no migration background","Female","3351","0.297239348276204","0.288658079907122","0.305820616645286","3"
"Some worries","2014","direct migration background","Female","1294","0.444525274286962","0.42599015998408","0.463060388589845","2"
"Some worries","2014","direct migration background","Male","1017","0.4235439755281","0.403367783663017","0.443720167393182","2"
"Some worries","2014","no migration background","Female","4669","0.427705246027463","0.418416078686838","0.436994413368089","2"
"Some worries","2014","no migration background","Male","3675","0.397912049451729","0.387957754595405","0.407866344308053","2"
"Some worries","2014","indirect migration background","Female","370","0.385664349580913","0.354711980514871","0.416616718646954","2"
"Some worries","2014","indirect migration background","Male","320","0.388841025921967","0.355696583617733","0.421985468226202","2"
"Big worries","2015","direct migration background","Male","553","0.298322606152487","0.277894925571417","0.318750286733558","1"
"Big worries","2015","indirect migration background","Female","250","0.288301560064253","0.258253774426716","0.31834934570179","1"
"Big worries","2015","indirect migration background","Male","192","0.258126246640999","0.226807920255992","0.289444573026006","1"
"Big worries","2015","no migration background","Female","3436","0.33808993606757","0.32895948459345","0.34722038754169","1"
"Big worries","2015","no migration background","Male","2771","0.32727109858328","0.317444131739256","0.337098065427304","1"
"Big worries","2015","direct migration background","Female","703","0.284720913531405","0.2664518311083","0.302989995954509","1"
"No worries","2015","direct migration background","Male","561","0.297628943990769","0.277214943605355","0.318042944376183","3"
"No worries","2015","no migration background","Male","2468","0.277190404715466","0.267815935840647","0.286564873590286","3"
