"plj0046","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1999","Mecklenburg-Western Pomerania","no migration background","117","0.29860141942745","0.253297744460637","0.343905094394263","1"
"Big worries","1999","Mecklenburg-Western Pomerania","direct migration background","3","","","","1"
"Big worries","1999","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Big worries","1999","Saxony","no migration background","466","0.41610989106111","0.387190737822933","0.445029044299288","1"
"Big worries","1999","Saxony","direct migration background","12","","","","1"
"Big worries","1999","Saxony","indirect migration background","3","","","","1"
"Big worries","1999","Saxony-Anhalt","no migration background","259","0.428099329033795","0.390206239357932","0.465992418709657","1"
"Big worries","1999","Saxony-Anhalt","direct migration background","11","","","","1"
"Big worries","1999","Saxony-Anhalt","indirect migration background","2","","","","1"
"Big worries","1999","Thuringia","no migration background","246","0.345031939269174","0.309689591221516","0.380374287316833","1"
"Big worries","1999","Thuringia","direct migration background","11","","","","1"
"Big worries","1999","Thuringia","indirect migration background","1","","","","1"
"No worries","1999","Rhineland-Palatinate,Saarland","indirect migration background","4","","","","3"
"No worries","1999","Rhineland-Palatinate,Saarland","direct migration background","62","0.438173050452453","0.359035294230531","0.517310806674374","3"
"No worries","1999","Brandenburg","indirect migration background","1","","","","3"
"No worries","1999","Hamburg","indirect migration background","7","","","","3"
"No worries","1999","Schleswig-Holstein","indirect migration background","1","","","","3"
"No worries","1999","Hamburg","no migration background","21","","","","3"
"No worries","1999","Hamburg","direct migration background","14","","","","3"
"No worries","1999","Hesse","no migration background","92","0.150145371942488","0.121634025195142","0.178656718689834","3"
"No worries","1999","Hesse","direct migration background","81","0.350335941811397","0.288546095124818","0.412125788497976","3"
"No worries","1999","Brandenburg","no migration background","80","0.13800558916073","0.110032384025966","0.165978794295494","3"
"No worries","1999","Brandenburg","direct migration background","1","","","","3"
"No worries","1999","Mecklenburg-Western Pomerania","no migration background","53","0.130417414015803","0.0970802795461027","0.163754548485503","3"
"No worries","1999","Thuringia","indirect migration background","1","","","","3"
"No worries","1999","Thuringia","direct migration background","4","","","","3"
"No worries","1999","Berlin","indirect migration background","9","","","","3"
"No worries","1999","Rhineland-Palatinate,Saarland","no migration background","86","0.135281040862125","0.107959461296116","0.162602620428134","3"
"No worries","1999","North Rhine-Westphalia","indirect migration background","39","0.220190212264486","0.157716388989335","0.282664035539637","3"
"No worries","1999","Baden-Württemberg","no migration background","163","0.163540516150583","0.14079811195453","0.186282920346635","3"
"No worries","1999","Hesse","indirect migration background","22","","","","3"
"No worries","1999","Saxony-Anhalt","indirect migration background","1","","","","3"
"No worries","1999","Thuringia","no migration background","119","0.180117459363358","0.151547513723601","0.208687405003114","3"
"No worries","1999","Berlin","direct migration background","20","","","","3"
"No worries","1999","Mecklenburg-Western Pomerania","direct migration background","1","","","","3"
"No worries","1999","Baden-Württemberg","direct migration background","151","0.259842982875594","0.223423152360854","0.296262813390333","3"
"No worries","1999","Baden-Württemberg","indirect migration background","47","0.304505899429516","0.233640349041427","0.375371449817604","3"
"No worries","1999","Bavaria","no migration background","253","0.167284482812676","0.147642468721824","0.186926496903528","3"
"No worries","1999","Bavaria","direct migration background","91","0.283606044535125","0.2343733219573","0.33283876711295","3"
"No worries","1999","Bavaria","indirect migration background","21","","","","3"
"No worries","1999","Berlin","no migration background","83","0.176732300387581","0.141252177988789","0.212212422786374","3"
"No worries","1999","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"No worries","1999","Saxony","no migration background","165","0.144970324221117","0.124314328121935","0.165626320320299","3"
"No worries","1999","Saxony","direct migration background","9","","","","3"
"No worries","1999","Saxony","indirect migration background","1","","","","3"
"No worries","1999","Saxony-Anhalt","no migration background","94","0.144480086861093","0.117555658008403","0.171404515713783","3"
"No worries","1999","Saxony-Anhalt","direct migration background","6","","","","3"
"No worries","1999","Schleswig-Holstein","no migration background","86","0.233401878064373","0.185132341226247","0.281671414902498","3"
"No worries","1999","Schleswig-Holstein","direct migration background","10","","","","3"
"No worries","1999","Lower Saxony","no migration background","147","0.150232683714712","0.127415876971696","0.173049490457728","3"
"No worries","1999","Lower Saxony","direct migration background","58","0.31069137159489","0.242706928635367","0.378675814554414","3"
"No worries","1999","Lower Saxony","indirect migration background","17","","","","3"
"No worries","1999","Bremen","no migration background","11","","","","3"
"No worries","1999","Bremen","direct migration background","4","","","","3"
"No worries","1999","Bremen","indirect migration background","3","","","","3"
"No worries","1999","North Rhine-Westphalia","no migration background","367","0.18569547051662","0.168558698148619","0.202832242884622","3"
"No worries","1999","North Rhine-Westphalia","direct migration background","142","0.243635888171539","0.208145069207745","0.279126707135333","3"
"Some worries","1999","Mecklenburg-Western Pomerania","indirect migration background","1","","","","2"
"Some worries","1999","Saxony","no migration background","485","0.438919784717773","0.409804499428052","0.468035070007494","2"
"Some worries","1999","Baden-Württemberg","no migration background","471","0.44279405738627","0.412251176486247","0.473336938286293","2"
"Some worries","1999","Baden-Württemberg","direct migration background","288","0.501874146903369","0.460351268947083","0.543397024859654","2"
"Some worries","1999","Rhineland-Palatinate,Saarland","indirect migration background","11","","","","2"
"Some worries","1999","Baden-Württemberg","indirect migration background","73","0.418606317258803","0.342638678628844","0.494573955888762","2"
"Some worries","1999","Mecklenburg-Western Pomerania","direct migration background","5","","","","2"
"Some worries","1999","Rhineland-Palatinate,Saarland","direct migration background","69","0.466669913962112","0.387097494983515","0.546242332940709","2"
"Some worries","1999","Mecklenburg-Western Pomerania","no migration background","222","0.570981166556748","0.521985899623292","0.619976433490203","2"
"Some worries","1999","Rhineland-Palatinate,Saarland","no migration background","320","0.530985192367573","0.491120875374254","0.570849509360892","2"
"Some worries","1999","Brandenburg","indirect migration background","1","","","","2"
"Some worries","1999","Hesse","indirect migration background","24","","","","2"
"Some worries","1999","Brandenburg","direct migration background","9","","","","2"
"Some worries","1999","Bavaria","no migration background","610","0.442211289572527","0.416074055128917","0.468348524016137","2"
"Some worries","1999","Thuringia","indirect migration background","2","","","","2"
"Some worries","1999","Brandenburg","no migration background","284","0.505807548483267","0.465258340640209","0.546356756326326","2"
"Some worries","1999","Berlin","indirect migration background","9","","","","2"
"Some worries","1999","Thuringia","direct migration background","8","","","","2"
"Some worries","1999","Saxony-Anhalt","indirect migration background","4","","","","2"
"Some worries","1999","Thuringia","no migration background","330","0.474850601367468","0.437724818431467","0.511976384303469","2"
"Some worries","1999","Schleswig-Holstein","indirect migration background","3","","","","2"
"Some worries","1999","Hamburg","no migration background","41","0.348682248018458","0.257961518338056","0.43940297769886","2"
"Some worries","1999","Hamburg","direct migration background","5","","","","2"
"Some worries","1999","Hamburg","indirect migration background","4","","","","2"
"Some worries","1999","Lower Saxony","no migration background","435","0.43886324771829","0.407173294133766","0.470553201302814","2"
"Some worries","1999","Lower Saxony","direct migration background","85","0.441714478695655","0.368762497659294","0.514666459732017","2"
"Some worries","1999","Lower Saxony","indirect migration background","21","","","","2"
"Some worries","1999","Bremen","no migration background","28","","","","2"
"Some worries","1999","North Rhine-Westphalia","indirect migration background","87","0.513821355198179","0.438466931423236","0.589175778973123","2"
"Some worries","1999","Hesse","no migration background","306","0.501230589913402","0.461322758957984","0.541138420868821","2"
"Some worries","1999","Hesse","direct migration background","94","0.380374232344565","0.317495955824464","0.443252508864665","2"
"Some worries","1999","Bavaria","direct migration background","152","0.497375961344225","0.44276445212264","0.551987470565809","2"
"Some worries","1999","Bavaria","indirect migration background","42","0.457642368533881","0.351730502895233","0.563554234172529","2"
"Some worries","1999","Saxony","direct migration background","12","","","","2"
"Some worries","1999","Saxony","indirect migration background","2","","","","2"
"Some worries","1999","Berlin","no migration background","166","0.397317260568898","0.351800672586108","0.442833848551687","2"
"Some worries","1999","Berlin","direct migration background","19","","","","2"
"Some worries","1999","Saxony-Anhalt","no migration background","302","0.427420584105113","0.389535084100341","0.465306084109885","2"
"Some worries","1999","Saxony-Anhalt","direct migration background","11","","","","2"
"Some worries","1999","Schleswig-Holstein","no migration background","145","0.496818531762566","0.439762929297698","0.553874134227434","2"
"Some worries","1999","Schleswig-Holstein","direct migration background","10","","","","2"
"Some worries","1999","Bremen","direct migration background","4","","","","2"
"Some worries","1999","Bremen","indirect migration background","1","","","","2"
"Some worries","1999","North Rhine-Westphalia","no migration background","865","0.436938762569581","0.415080126985153","0.458797398154009","2"
"Some worries","1999","North Rhine-Westphalia","direct migration background","263","0.459793875992399","0.418589695951515","0.500998056033283","2"
"Big worries","2000","Schleswig-Holstein","no migration background","124","0.222145001095794","0.189736634128939","0.25455336806265","1"
"Big worries","2000","Schleswig-Holstein","direct migration background","8","","","","1"
"Big worries","2000","Schleswig-Holstein","indirect migration background","2","","","","1"
"Big worries","2000","Hamburg","no migration background","93","0.390364893422744","0.330722935734616","0.450006851110873","1"
"Big worries","2000","Hamburg","direct migration background","5","","","","1"
"Big worries","2000","Hamburg","indirect migration background","","","","","1"
"Big worries","2000","Lower Saxony","no migration background","528","0.3128049431262","0.290817183781173","0.334792702471227","1"
"Big worries","2000","Lower Saxony","direct migration background","33","0.141655067994278","0.0979028413676618","0.185407294620895","1"
"Big worries","2000","Lower Saxony","indirect migration background","9","","","","1"
"Big worries","2000","Bremen","no migration background","43","0.290098832029449","0.21698674709879","0.363210916960109","1"
"Big worries","2000","Bremen","direct migration background","5","","","","1"
"Big worries","2000","Bremen","indirect migration background","1","","","","1"
"Big worries","2000","North Rhine-Westphalia","no migration background","1305","0.328918799981053","0.314366456348707","0.343471143613398","1"
"Big worries","2000","North Rhine-Westphalia","direct migration background","178","0.192874037373308","0.166967057753937","0.218781016992679","1"
"Big worries","2000","North Rhine-Westphalia","indirect migration background","50","0.228868101347531","0.174217854229866","0.283518348465196","1"
"Big worries","2000","Hesse","no migration background","449","0.348270146882501","0.321612749776654","0.374927543988349","1"
"Big worries","2000","Hesse","direct migration background","69","0.210632540088307","0.168035531489027","0.253229548687586","1"
"Big worries","2000","Hesse","indirect migration background","18","","","","1"
"Big worries","2000","Rhineland-Palatinate,Saarland","no migration background","335","0.289041278428662","0.263077268213905","0.31500528864342","1"
"Big worries","2000","Rhineland-Palatinate,Saarland","direct migration background","34","0.192206214850537","0.142145899699523","0.242266530001551","1"
"Big worries","2000","Rhineland-Palatinate,Saarland","indirect migration background","7","","","","1"
"Big worries","2000","Baden-Württemberg","no migration background","641","0.340576593623929","0.31948308793423","0.361670099313629","1"
"Big worries","2000","Baden-Württemberg","direct migration background","120","0.169710430823914","0.142934555684239","0.196486305963589","1"
"Big worries","2000","Baden-Württemberg","indirect migration background","30","0.144442706253617","0.0986109785691282","0.190274433938106","1"
"Big worries","2000","Bavaria","no migration background","834","0.294380170500432","0.27748366672753","0.311276674273334","1"
"Big worries","2000","Bavaria","direct migration background","72","0.140879807174168","0.108983432169347","0.172776182178988","1"
"Big worries","2000","Bavaria","indirect migration background","17","","","","1"
"Big worries","2000","Berlin","no migration background","258","0.350433065489208","0.31541293018246","0.385453200795956","1"
"Big worries","2000","Berlin","direct migration background","16","","","","1"
"Big worries","2000","Berlin","indirect migration background","2","","","","1"
"Big worries","2000","Brandenburg","no migration background","338","0.361318353914861","0.331318633641202","0.391318074188521","1"
"Big worries","2000","Brandenburg","direct migration background","5","","","","1"
"Big worries","2000","Brandenburg","indirect migration background","","","","","1"
"Big worries","2000","Mecklenburg-Western Pomerania","no migration background","164","0.305659038904254","0.26694632162477","0.344371756183738","1"
"Big worries","2000","Mecklenburg-Western Pomerania","direct migration background","4","","","","1"
"Big worries","2000","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Big worries","2000","Saxony","no migration background","581","0.32970958758435","0.307512155081108","0.351907020087592","1"
"Big worries","2000","Saxony","direct migration background","10","","","","1"
"Big worries","2000","Saxony","indirect migration background","3","","","","1"
"Big worries","2000","Saxony-Anhalt","no migration background","323","0.321231331493682","0.292347747769747","0.350114915217617","1"
"Big worries","2000","Saxony-Anhalt","direct migration background","18","","","","1"
"Big worries","2000","Saxony-Anhalt","indirect migration background","2","","","","1"
"Big worries","2000","Thuringia","no migration background","335","0.323101441803927","0.294457726058136","0.351745157549719","1"
"Big worries","2000","Thuringia","direct migration background","3","","","","1"
"Big worries","2000","Thuringia","indirect migration background","","","","","1"
"No worries","2000","Rhineland-Palatinate,Saarland","indirect migration background","15","","","","3"
"No worries","2000","Rhineland-Palatinate,Saarland","direct migration background","91","0.395831703742995","0.333702774869324","0.457960632616665","3"
"No worries","2000","Rhineland-Palatinate,Saarland","no migration background","267","0.230161995130676","0.20605261059352","0.254271379667832","3"
"No worries","2000","Hesse","indirect migration background","40","0.378314284334327","0.273981485233155","0.482647083435499","3"
"No worries","2000","Brandenburg","indirect migration background","","","","","3"
"No worries","2000","Brandenburg","no migration background","219","0.239243711741584","0.212601331823513","0.265886091659654","3"
"No worries","2000","Thuringia","no migration background","193","0.195418760252542","0.171132189861295","0.219705330643789","3"
"No worries","2000","Thuringia","indirect migration background","","","","","3"
"No worries","2000","Brandenburg","direct migration background","4","","","","3"
"No worries","2000","Thuringia","direct migration background","11","","","","3"
"No worries","2000","Berlin","indirect migration background","9","","","","3"
"No worries","2000","Saxony-Anhalt","indirect migration background","1","","","","3"
"No worries","2000","Schleswig-Holstein","no migration background","217","0.306663921116166","0.2707144261095","0.342613416122833","3"
"No worries","2000","Schleswig-Holstein","direct migration background","29","","","","3"
"No worries","2000","Schleswig-Holstein","indirect migration background","2","","","","3"
"No worries","2000","Hamburg","no migration background","70","0.253108554833433","0.199951160571922","0.306265949094944","3"
"No worries","2000","Hamburg","direct migration background","14","","","","3"
"No worries","2000","Hamburg","indirect migration background","7","","","","3"
"No worries","2000","Lower Saxony","no migration background","348","0.201466246505307","0.182444431899354","0.220488061111261","3"
"No worries","2000","Lower Saxony","direct migration background","98","0.389861780163123","0.328665838224691","0.451057722101554","3"
"No worries","2000","Lower Saxony","indirect migration background","21","","","","3"
"No worries","2000","Bremen","no migration background","39","0.237004972356133","0.168494523010635","0.305515421701631","3"
"No worries","2000","Bremen","direct migration background","12","","","","3"
"No worries","2000","Bremen","indirect migration background","4","","","","3"
"No worries","2000","North Rhine-Westphalia","no migration background","898","0.233216829012982","0.220118458052962","0.246315199973003","3"
"No worries","2000","North Rhine-Westphalia","direct migration background","302","0.362695923869955","0.331127425473406","0.394264422266503","3"
"No worries","2000","North Rhine-Westphalia","indirect migration background","73","0.328450549624585","0.267355058837362","0.389546040411808","3"
"No worries","2000","Hesse","no migration background","247","0.211206126021682","0.188367980833117","0.234044271210247","3"
"No worries","2000","Hesse","direct migration background","143","0.399404542012879","0.348239388592572","0.450569695433187","3"
"No worries","2000","Baden-Württemberg","no migration background","420","0.212499526651371","0.194291470596467","0.230707582706275","3"
"No worries","2000","Baden-Württemberg","direct migration background","278","0.356170085485657","0.322012362568511","0.390327808402804","3"
"No worries","2000","Baden-Württemberg","indirect migration background","84","0.37480629610258","0.311695362005895","0.437917230199266","3"
"No worries","2000","Bavaria","no migration background","634","0.226855462440104","0.211329370578798","0.242381554301411","3"
"No worries","2000","Bavaria","direct migration background","197","0.459417150001179","0.413726774797417","0.505107525204942","3"
"No worries","2000","Bavaria","indirect migration background","40","0.380234676452483","0.290729456029386","0.469739896875579","3"
"No worries","2000","Berlin","no migration background","169","0.248917114205254","0.217179473600125","0.280654754810382","3"
"No worries","2000","Berlin","direct migration background","33","0.443118235062266","0.33426423134586","0.551972238778673","3"
"No worries","2000","Mecklenburg-Western Pomerania","no migration background","110","0.207815918918227","0.1737201018227","0.241911736013754","3"
"No worries","2000","Mecklenburg-Western Pomerania","direct migration background","9","","","","3"
"No worries","2000","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"No worries","2000","Saxony","no migration background","346","0.20864974359009","0.189463111244694","0.227836375935487","3"
"No worries","2000","Saxony","direct migration background","10","","","","3"
"No worries","2000","Saxony","indirect migration background","1","","","","3"
"No worries","2000","Saxony-Anhalt","no migration background","204","0.208379656425416","0.183256895433349","0.233502417417484","3"
"No worries","2000","Saxony-Anhalt","direct migration background","11","","","","3"
"Some worries","2000","Brandenburg","indirect migration background","4","","","","2"
"Some worries","2000","Mecklenburg-Western Pomerania","indirect migration background","1","","","","2"
"Some worries","2000","Saxony","no migration background","796","0.461640668825559","0.438101365483128","0.485179972167991","2"
"Some worries","2000","Mecklenburg-Western Pomerania","no migration background","270","0.486525042177519","0.444523921870031","0.528526162485008","2"
"Some worries","2000","Mecklenburg-Western Pomerania","direct migration background","6","","","","2"
"Some worries","2000","Rhineland-Palatinate,Saarland","direct migration background","113","0.411962081406468","0.349431725554599","0.474492437258337","2"
"Some worries","2000","Baden-Württemberg","indirect migration background","112","0.480750997643803","0.415611890127482","0.545890105160123","2"
"Some worries","2000","Rhineland-Palatinate,Saarland","indirect migration background","17","","","","2"
"Some worries","2000","Baden-Württemberg","no migration background","878","0.446923879724699","0.424794541814391","0.469053217635007","2"
"Some worries","2000","Baden-Württemberg","direct migration background","357","0.474119483690429","0.43850209654314","0.509736870837718","2"
"Some worries","2000","Bavaria","no migration background","1327","0.478764367059463","0.460244616047615","0.497284118071312","2"
"Some worries","2000","Brandenburg","direct migration background","12","","","","2"
"Some worries","2000","Thuringia","indirect migration background","5","","","","2"
"Some worries","2000","Rhineland-Palatinate,Saarland","no migration background","569","0.480796726440662","0.452180055771439","0.509413397109884","2"
"Some worries","2000","Brandenburg","no migration background","428","0.399437934343555","0.368851167141301","0.430024701545809","2"
"Some worries","2000","Thuringia","direct migration background","9","","","","2"
"Some worries","2000","Hesse","indirect migration background","25","","","","2"
"Some worries","2000","Berlin","indirect migration background","15","","","","2"
"Some worries","2000","Thuringia","no migration background","496","0.48147979794353","0.450876376130189","0.512083219756872","2"
"Some worries","2000","Saxony-Anhalt","indirect migration background","4","","","","2"
"Some worries","2000","Schleswig-Holstein","no migration background","291","0.471191077788039","0.432274246818714","0.510107908757364","2"
"Some worries","2000","Schleswig-Holstein","direct migration background","30","0.426489761729607","0.308066891663636","0.544912631795577","2"
"Some worries","2000","Schleswig-Holstein","indirect migration background","2","","","","2"
"Some worries","2000","Hamburg","no migration background","94","0.356526551743823","0.2979676686997","0.415085434787946","2"
"Some worries","2000","Hamburg","direct migration background","11","","","","2"
"Some worries","2000","Hamburg","indirect migration background","1","","","","2"
"Some worries","2000","Lower Saxony","no migration background","832","0.485728810368493","0.462026144887513","0.509431475849472","2"
"Some worries","2000","Lower Saxony","direct migration background","113","0.468483151842599","0.405870992182109","0.531095311503089","2"
"Some worries","2000","Lower Saxony","indirect migration background","29","","","","2"
"Some worries","2000","Bremen","no migration background","66","0.472896195614418","0.392460611716096","0.553331779512739","2"
"Some worries","2000","Bremen","direct migration background","16","","","","2"
"Some worries","2000","Bremen","indirect migration background","1","","","","2"
"Some worries","2000","North Rhine-Westphalia","no migration background","1801","0.437864371005965","0.422497288717077","0.453231453294852","2"
"Some worries","2000","North Rhine-Westphalia","direct migration background","411","0.444430038756738","0.411802800109913","0.477057277403562","2"
"Some worries","2000","North Rhine-Westphalia","indirect migration background","104","0.442681349027884","0.378066465860582","0.507296232195186","2"
"Some worries","2000","Hesse","no migration background","531","0.440523727095817","0.412745706302754","0.468301747888879","2"
"Some worries","2000","Hesse","direct migration background","140","0.389962917898814","0.339010296487401","0.440915539310227","2"
"Some worries","2000","Bavaria","direct migration background","188","0.399703042824653","0.354793173727034","0.444612911922272","2"
"Some worries","2000","Bavaria","indirect migration background","56","0.443593354641803","0.351992918994875","0.535193790288732","2"
"Some worries","2000","Berlin","no migration background","286","0.400649820305538","0.364681005964499","0.436618634646578","2"
"Some worries","2000","Berlin","direct migration background","31","0.406132983302114","0.298515747991232","0.513750218612995","2"
"Some worries","2000","Saxony","direct migration background","19","","","","2"
"Some worries","2000","Saxony","indirect migration background","3","","","","2"
"Some worries","2000","Saxony-Anhalt","no migration background","477","0.470389012080901","0.439515338208405","0.501262685953397","2"
"Some worries","2000","Saxony-Anhalt","direct migration background","10","","","","2"
"Big worries","2001","Schleswig-Holstein","no migration background","107","0.199991039253598","0.167268662611606","0.232713415895591","1"
"Big worries","2001","Schleswig-Holstein","direct migration background","7","","","","1"
"Big worries","2001","Schleswig-Holstein","indirect migration background","2","","","","1"
"Big worries","2001","Hamburg","no migration background","57","0.263175727006792","0.207230313228569","0.319121140785015","1"
"Big worries","2001","Hamburg","direct migration background","9","","","","1"
"Big worries","2001","Hamburg","indirect migration background","1","","","","1"
"Big worries","2001","Lower Saxony","no migration background","436","0.299085700902983","0.27635071708509","0.321820684720876","1"
"Big worries","2001","Lower Saxony","direct migration background","24","","","","1"
"Big worries","2001","Lower Saxony","indirect migration background","6","","","","1"
"Big worries","2001","Bremen","no migration background","30","0.238237290704464","0.163256162012005","0.313218419396923","1"
"Big worries","2001","Bremen","direct migration background","3","","","","1"
"Big worries","2001","Bremen","indirect migration background","","","","","1"
"Big worries","2001","North Rhine-Westphalia","no migration background","927","0.250440572274636","0.236307067521381","0.264574077027892","1"
"Big worries","2001","North Rhine-Westphalia","direct migration background","143","0.153746798171722","0.128657353871274","0.178836242472171","1"
"Big worries","2001","North Rhine-Westphalia","indirect migration background","54","0.19910539726377","0.147385274179492","0.250825520348048","1"
"Big worries","2001","Hesse","no migration background","315","0.278093669829809","0.251699363229752","0.304487976429866","1"
"Big worries","2001","Hesse","direct migration background","54","0.176785609046441","0.133399590472522","0.220171627620359","1"
"Big worries","2001","Hesse","indirect migration background","14","","","","1"
"Big worries","2001","Rhineland-Palatinate,Saarland","no migration background","228","0.223673467294592","0.1989127573297","0.248434177259484","1"
"Big worries","2001","Rhineland-Palatinate,Saarland","direct migration background","24","","","","1"
"Big worries","2001","Rhineland-Palatinate,Saarland","indirect migration background","2","","","","1"
"Big worries","2001","Baden-Württemberg","no migration background","440","0.2453579347525","0.225128033463328","0.265587836041672","1"
"Big worries","2001","Baden-Württemberg","direct migration background","96","0.158625325196382","0.130647856299297","0.186602794093467","1"
"Big worries","2001","Baden-Württemberg","indirect migration background","25","","","","1"
"Big worries","2001","Bavaria","no migration background","610","0.247339007197517","0.230436011639948","0.264242002755085","1"
"Big worries","2001","Bavaria","direct migration background","68","0.131074636516465","0.0986831684610672","0.163466104571863","1"
"Big worries","2001","Bavaria","indirect migration background","18","","","","1"
"Big worries","2001","Berlin","no migration background","209","0.286216652233859","0.252540249193076","0.319893055274643","1"
"Big worries","2001","Berlin","direct migration background","12","","","","1"
"Big worries","2001","Berlin","indirect migration background","4","","","","1"
"Big worries","2001","Brandenburg","no migration background","274","0.280277716931213","0.251504598935603","0.309050834926822","1"
"Big worries","2001","Brandenburg","direct migration background","4","","","","1"
"Big worries","2001","Brandenburg","indirect migration background","1","","","","1"
"Big worries","2001","Mecklenburg-Western Pomerania","no migration background","123","0.234975936977016","0.197700809317334","0.272251064636699","1"
"Big worries","2001","Mecklenburg-Western Pomerania","direct migration background","5","","","","1"
"Big worries","2001","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Big worries","2001","Saxony","no migration background","475","0.289427569265604","0.267192738470135","0.311662400061073","1"
"Big worries","2001","Saxony","direct migration background","5","","","","1"
"Big worries","2001","Saxony","indirect migration background","3","","","","1"
"Big worries","2001","Saxony-Anhalt","no migration background","259","0.29753640156985","0.26849540055286","0.32657740258684","1"
"Big worries","2001","Saxony-Anhalt","direct migration background","10","","","","1"
"Big worries","2001","Saxony-Anhalt","indirect migration background","2","","","","1"
"Big worries","2001","Thuringia","no migration background","254","0.266008164326484","0.23785056527518","0.294165763377789","1"
"Big worries","2001","Thuringia","direct migration background","3","","","","1"
"Big worries","2001","Thuringia","indirect migration background","","","","","1"
"No worries","2001","Hamburg","direct migration background","7","","","","3"
"No worries","2001","Hesse","indirect migration background","41","0.495220662351441","0.382814153929381","0.607627170773502","3"
"No worries","2001","Brandenburg","direct migration background","4","","","","3"
"No worries","2001","Rhineland-Palatinate,Saarland","no migration background","330","0.286162022232557","0.259306137373158","0.313017907091955","3"
"No worries","2001","Hamburg","no migration background","78","0.300195355570478","0.241964924230812","0.358425786910145","3"
"No worries","2001","Hamburg","indirect migration background","4","","","","3"
"No worries","2001","Brandenburg","no migration background","244","0.288994420572758","0.259954769075283","0.318034072070233","3"
"No worries","2001","Thuringia","indirect migration background","1","","","","3"
"No worries","2001","Rhineland-Palatinate,Saarland","direct migration background","82","0.454522685902246","0.388425042901122","0.52062032890337","3"
"No worries","2001","Berlin","indirect migration background","12","","","","3"
"No worries","2001","Hesse","direct migration background","124","0.409043288580163","0.353127772627677","0.464958804532648","3"
"No worries","2001","Rhineland-Palatinate,Saarland","indirect migration background","13","","","","3"
"No worries","2001","Thuringia","direct migration background","9","","","","3"
"No worries","2001","Brandenburg","indirect migration background","1","","","","3"
"No worries","2001","Lower Saxony","direct migration background","94","0.409522290463524","0.345832345077561","0.473212235849488","3"
"No worries","2001","Lower Saxony","no migration background","391","0.23866398592754","0.217497634810331","0.259830337044748","3"
