"plj0046","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","2000","(Married) couple without C. ","(1c) basic vocational qualification","1133","0.36924185584577","0.352452596965696","0.386031114725845"
"Big worries","2000","(Married) couple without C. ","(2b) intermediate general qualification","40","0.412564377491259","0.310856910363111","0.514271844619408"
"Big worries","2000","(Married) couple without C. ","(2a) intermediate vocational","533","0.368829390483198","0.343839593591741","0.393819187374655"
"Big worries","2000","(Married) couple without C. ","(2c_gen) general maturity certificate","8","","",""
"Big worries","2000","(Married) couple without C. ","(2c_voc) vocational maturity certificate","104","0.204989477327991","0.166921619371628","0.243057335284353"
"Big worries","2000","(Married) couple without C. ","(3a) lower tertiary education","173","0.29248186373547","0.25620348412443","0.32876024334651"
"Big worries","2000","(Married) couple without C. ","(3b) higher tertiary education","114","0.180977699951819","0.151912150424598","0.21004324947904"
"Big worries","2000","Single parent ","(0) in school","9","","",""
"Big worries","2000","Single parent ","(1a) inadequately completed","4","","",""
"Big worries","2000","Single parent ","(1b) general elementary school","66","0.334940394047255","0.267653382880029","0.40222740521448"
"Big worries","2000","Single parent ","(1c) basic vocational qualification","98","0.299412910413624","0.248995006500085","0.349830814327162"
"Big worries","2000","Single parent ","(2b) intermediate general qualification","17","","",""
"Big worries","2000","Single parent ","(2a) intermediate vocational","95","0.309041347335621","0.254024237820077","0.364058456851166"
"Big worries","2000","Single parent ","(2c_gen) general maturity certificate","9","","",""
"Big worries","2000","Single parent ","(2c_voc) vocational maturity certificate","15","","",""
"Big worries","2000","Single parent ","(3a) lower tertiary education","7","","",""
"Big worries","2000","Single parent ","(3b) higher tertiary education","18","","",""
"Big worries","2000","Couple + C. LE 16 ","(0) in school","","","",""
"Big worries","2000","Couple + C. LE 16 ","(1a) inadequately completed","18","","",""
"Big worries","2000","Couple + C. LE 16 ","(1b) general elementary school","113","0.348318333615018","0.299574354670002","0.397062312560034"
"Big worries","2000","Couple + C. LE 16 ","(1c) basic vocational qualification","469","0.32905981072926","0.304629422006913","0.353490199451607"
"Big worries","2000","Couple + C. LE 16 ","(2b) intermediate general qualification","16","","",""
"Big worries","2000","Couple + C. LE 16 ","(2a) intermediate vocational","603","0.349336146366988","0.326804964629325","0.371867328104652"
"Big worries","2000","Couple + C. LE 16 ","(2c_gen) general maturity certificate","11","","",""
"Big worries","2000","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","95","0.178690045536624","0.144700770379547","0.212679320693702"
"Big worries","2000","Couple + C. LE 16 ","(3a) lower tertiary education","87","0.219146883336477","0.179202860041235","0.259090906631719"
"Big worries","2000","Couple + C. LE 16 ","(3b) higher tertiary education","54","0.107615719863176","0.0823081372900169","0.132923302436335"
"Big worries","2000","Couple + C. GT 16 ","(0) in school","32","0.174434296254207","0.122359837170736","0.226508755337677"
"Big worries","2000","Couple + C. GT 16 ","(1a) inadequately completed","28","","",""
"Big worries","2000","Couple + C. GT 16 ","(1b) general elementary school","132","0.297353843463136","0.256160917970117","0.338546768956156"
"Big worries","2000","Couple + C. GT 16 ","(1c) basic vocational qualification","372","0.371226458472058","0.342237509375309","0.400215407568807"
"Big worries","2000","Couple + C. GT 16 ","(2b) intermediate general qualification","78","0.354724212559421","0.293293121057578","0.416155304061264"
"Big worries","2000","Couple + C. GT 16 ","(2a) intermediate vocational","299","0.352545047111591","0.320370053197523","0.38472004102566"
"Big worries","2000","Couple + C. GT 16 ","(2c_gen) general maturity certificate","45","0.162263178855443","0.119000861226542","0.205525496484344"
"Big worries","2000","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","48","0.256913930431092","0.196510243378523","0.317317617483661"
"Big worries","2000","Couple + C. GT 16 ","(3a) lower tertiary education","60","0.237709775356348","0.183514975831395","0.291904574881301"
"Big worries","2000","Couple + C. GT 16 ","(3b) higher tertiary education","44","0.159545999207199","0.116423081260313","0.202668917154085"
"Big worries","2000","Couple + C. LE and GT 16","(0) in school","37","0.18131915220451","0.12751768329236","0.235120621116661"
"Big worries","2000","Couple + C. LE and GT 16","(1a) inadequately completed","6","","",""
"Big worries","2000","Couple + C. LE and GT 16","(1b) general elementary school","64","0.257211087978558","0.203667723449267","0.310754452507849"
"Big worries","2000","Couple + C. LE and GT 16","(1c) basic vocational qualification","152","0.396883594401864","0.348757016439555","0.445010172364173"
"Big worries","2000","Couple + C. LE and GT 16","(2b) intermediate general qualification","40","0.205617532145589","0.146411429734787","0.264823634556391"
"Big worries","2000","Couple + C. LE and GT 16","(2a) intermediate vocational","151","0.332557424953201","0.287338488771245","0.377776361135157"
"Big worries","2000","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","20","","",""
"Big worries","2000","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","21","","",""
"Big worries","2000","Couple + C. LE and GT 16","(3a) lower tertiary education","29","","",""
"Big worries","2000","Couple + C. LE and GT 16","(3b) higher tertiary education","16","","",""
"Some worries","2000","1-pers.-HH","(0) in school","1","","",""
"Some worries","2000","1-pers.-HH","(1a) inadequately completed","9","","",""
"Some worries","2000","1-pers.-HH","(1b) general elementary school","218","0.446762551347356","0.403010197886689","0.490514904808022"
"Some worries","2000","1-pers.-HH","(1c) basic vocational qualification","483","0.450668110599839","0.420729184464263","0.480607036735415"
"Some worries","2000","1-pers.-HH","(2b) intermediate general qualification","21","","",""
"Some worries","2000","1-pers.-HH","(2a) intermediate vocational","337","0.463726679431296","0.427250444347459","0.500202914515133"
"Some worries","2000","1-pers.-HH","(2c_gen) general maturity certificate","51","0.354171217059422","0.277634859183493","0.430707574935352"
"Some worries","2000","1-pers.-HH","(2c_voc) vocational maturity certificate","121","0.454090219717193","0.393687102902225","0.51449333653216"
"Some worries","2000","1-pers.-HH","(3a) lower tertiary education","99","0.426701291607349","0.36221812865218","0.491184454562518"
"Some worries","2000","1-pers.-HH","(3b) higher tertiary education","116","0.378770147004482","0.324945049654167","0.432595244354797"
"Some worries","2000","(Married) couple without C. ","(0) in school","3","","",""
"Some worries","2000","(Married) couple without C. ","(1a) inadequately completed","45","0.394428796400621","0.302679708224923","0.48617788457632"
"Some worries","2000","(Married) couple without C. ","(1b) general elementary school","415","0.472951135982228","0.439926775948855","0.505975496015601"
"Some worries","2000","(Married) couple without C. ","(1c) basic vocational qualification","1534","0.465393052084761","0.448040159566175","0.482745944603347"
"Some worries","2000","(Married) couple without C. ","(2b) intermediate general qualification","34","0.427402119732613","0.325197614504311","0.529606624960915"
"Some worries","2000","(Married) couple without C. ","(2a) intermediate vocational","659","0.468934385886905","0.443087590010064","0.494781181763747"
"Some worries","2000","(Married) couple without C. ","(2c_gen) general maturity certificate","43","0.401981644156351","0.302334011595431","0.50162927671727"
"Some worries","2000","(Married) couple without C. ","(2c_voc) vocational maturity certificate","202","0.498975241244961","0.451825934684616","0.546124547805306"
"Some worries","2000","(Married) couple without C. ","(3a) lower tertiary education","278","0.446485514136672","0.406839657713437","0.486131370559908"
"Some worries","2000","(Married) couple without C. ","(3b) higher tertiary education","277","0.411914840478247","0.374757726703733","0.449071954252761"
"Some worries","2000","Single parent ","(0) in school","25","","",""
"Some worries","2000","Single parent ","(1a) inadequately completed","8","","",""
"Some worries","2000","Single parent ","(1b) general elementary school","78","0.406667268835996","0.336636974470887","0.476697563201105"
"Some worries","2000","Single parent ","(1c) basic vocational qualification","163","0.52632433539502","0.471359399999","0.58128927079104"
"Some worries","2000","Single parent ","(2b) intermediate general qualification","32","0.416042466605516","0.302972796528223","0.52911213668281"
"Some worries","2000","Single parent ","(2a) intermediate vocational","111","0.411055680205812","0.352475474648253","0.469635885763371"
"Some worries","2000","Single parent ","(2c_gen) general maturity certificate","27","","",""
"Some worries","2000","Single parent ","(2c_voc) vocational maturity certificate","30","0.438859398475013","0.316319824890803","0.561398972059223"
"Some worries","2000","Single parent ","(3a) lower tertiary education","25","","",""
"Some worries","2000","Single parent ","(3b) higher tertiary education","41","0.457200230526688","0.351296398287464","0.563104062765912"
"Some worries","2000","Couple + C. LE 16 ","(0) in school","1","","",""
"Some worries","2000","Couple + C. LE 16 ","(1a) inadequately completed","21","","",""
"Some worries","2000","Couple + C. LE 16 ","(1b) general elementary school","155","0.421670784819773","0.371147755690281","0.472193813949265"
"Some worries","2000","Couple + C. LE 16 ","(1c) basic vocational qualification","669","0.474027444471769","0.448065672132039","0.499989216811499"
"Some worries","2000","Couple + C. LE 16 ","(2b) intermediate general qualification","37","0.553233530345038","0.433291704449569","0.673175356240507"
"Some worries","2000","Couple + C. LE 16 ","(2a) intermediate vocational","822","0.470693468608539","0.447104628855378","0.494282308361699"
