"plj0046","year","migback","n","percent","lower_confidence","upper_confidence"
"No worries","2002","indirect migration background","292","0.348528254980027","0.314980456309624","0.38207605365043"
"No worries","2002","no migration background","4659","0.220184130163958","0.214353972372159","0.226014287955756"
"Some worries","2002","direct migration background","1340","0.468373971673347","0.449818095552267","0.486929847794427"
"Some worries","2002","indirect migration background","360","0.471981355006042","0.43683467638207","0.507128033630014"
"Some worries","2002","no migration background","9190","0.469764751881019","0.462742671793561","0.476786831968477"
"Big worries","2003","direct migration background","436","0.169104147291997","0.154701415611728","0.183506878972266"
"Big worries","2003","indirect migration background","129","0.211049931026392","0.182321321515187","0.239778540537596"
"Big worries","2003","no migration background","4972","0.289398133561412","0.282904235614327","0.295892031508498"
"No worries","2003","direct migration background","958","0.372159112033806","0.353586047355097","0.390732176712515"
"No worries","2003","indirect migration background","288","0.366596899729904","0.332670972510115","0.400522826949692"
"No worries","2003","no migration background","4965","0.241560885843415","0.235431484031377","0.247690287655453"
"Some worries","2003","direct migration background","1208","0.458736740674196","0.439590633686414","0.477882847661979"
"Some worries","2003","indirect migration background","358","0.422353169243705","0.387578235122192","0.457128103365218"
"Some worries","2003","no migration background","8796","0.469040980595172","0.461894695791696","0.476187265398649"
"Big worries","2004","direct migration background","535","0.221565393322179","0.205292436581698","0.237838350062661"
"Big worries","2004","indirect migration background","191","0.280029314786496","0.248934284172632","0.311124345400361"
"Big worries","2004","no migration background","5960","0.352514377360926","0.345582610670181","0.359446144051672"
"No worries","2004","direct migration background","740","0.299466432643181","0.281519386145917","0.317413479140444"
"No worries","2004","indirect migration background","259","0.306050146140124","0.274135342780526","0.337964949499723"
"No worries","2004","no migration background","4094","0.208202967682811","0.202311942930668","0.214093992434955"
"Some worries","2004","direct migration background","1227","0.47896817403464","0.459393709405742","0.498542638663537"
"Some worries","2004","indirect migration background","351","0.413920539073379","0.379811571639392","0.448029506507366"
"Some worries","2004","no migration background","8194","0.439282654956262","0.432081793123083","0.446483516789442"
"Big worries","2005","direct migration background","640","0.287109975187647","0.268814571679078","0.305405378696216"
"Big worries","2005","indirect migration background","232","0.30688330165547","0.275393183144905","0.338373420166035"
"Big worries","2005","no migration background","6806","0.41126855353085","0.403972538478343","0.418564568583357"
"No worries","2005","direct migration background","611","0.265076347819077","0.247227376812723","0.282925318825431"
"No worries","2005","indirect migration background","223","0.254094767102346","0.224369609033852","0.283819925170839"
"No worries","2005","no migration background","3160","0.169940254431373","0.164371383389279","0.175509125473467"
"Some worries","2005","direct migration background","1098","0.447813676993276","0.427704324718025","0.467923029268527"
"Some worries","2005","indirect migration background","369","0.439021931242184","0.405137473917528","0.472906388566841"
"Some worries","2005","no migration background","7507","0.418791192037777","0.411475941315112","0.426106442760443"
"Big worries","2006","direct migration background","598","0.260366089847814","0.242642436270075","0.278089743425553"
"Big worries","2006","indirect migration background","220","0.302797785040411","0.271175489737401","0.33442008034342"
"Big worries","2006","no migration background","6398","0.359840820607003","0.352963640469708","0.366718000744297"
"No worries","2006","direct migration background","702","0.298553293529652","0.280070785278591","0.317035801780713"
"No worries","2006","indirect migration background","242","0.288823138722302","0.257631193134364","0.32001508431024"
"No worries","2006","no migration background","3929","0.202508217265358","0.196749899450497","0.20826653508022"
"Some worries","2006","direct migration background","1055","0.441080616622535","0.421027300162815","0.461133933082255"
"Some worries","2006","indirect migration background","349","0.408379076237288","0.374549919849634","0.442208232624942"
"Some worries","2006","no migration background","8383","0.437650962127639","0.430542459647708","0.444759464607571"
"Big worries","2007","direct migration background","427","0.198219655979149","0.18120548226013","0.215233829698169"
"Big worries","2007","indirect migration background","181","0.218101244210354","0.189176365762308","0.2470261226584"
"Big worries","2007","no migration background","5384","0.32555515463495","0.318621979657735","0.332488329612164"
"No worries","2007","direct migration background","712","0.336925189442946","0.316752778505348","0.357097600380544"
"No worries","2007","indirect migration background","266","0.327485917413262","0.294614819041775","0.360357015784748"
"No worries","2007","no migration background","4308","0.23595222360184","0.229669919598252","0.242234527605428"
"Some worries","2007","direct migration background","970","0.464855154577905","0.443568652575179","0.486141656580631"
"Some worries","2007","indirect migration background","336","0.454412838376384","0.419537006329435","0.489288670423333"
"Some worries","2007","no migration background","7855","0.43849262176321","0.431150771350074","0.445834472176346"
"Big worries","2008","direct migration background","326","0.166966988986974","0.1501710411479","0.183762936826048"
"Big worries","2008","indirect migration background","155","0.20169720483423","0.173354813302431","0.230039596366029"
"Big worries","2008","no migration background","4453","0.284083519891252","0.277234886826582","0.290932152955921"
"No worries","2008","direct migration background","752","0.388376679544194","0.366427075313333","0.410326283775054"
"No worries","2008","indirect migration background","272","0.350456764722989","0.316757223836078","0.384156305609899"
"No worries","2008","no migration background","4693","0.27007153743767","0.263328908565806","0.276814166309535"
"Some worries","2008","direct migration background","816","0.444656331468833","0.422276786272656","0.467035876665009"
"Some worries","2008","indirect migration background","343","0.447846030442782","0.412722578462989","0.482969482422574"
"Some worries","2008","no migration background","7511","0.445844942671078","0.438296501564207","0.453393383777949"
"Big worries","2009","direct migration background","234","0.15117001193142","0.1339119400809","0.168428083781941"
"Big worries","2009","indirect migration background","121","0.155677944572021","0.128991385200577","0.182364503943466"
"Big worries","2009","no migration background","3495","0.237797965097887","0.231127261119772","0.244468669076002"
"No worries","2009","direct migration background","707","0.42684192963208","0.403012160480396","0.450671698783764"
"No worries","2009","indirect migration background","300","0.388363193183616","0.352488283927248","0.424238102439984"
"No worries","2009","no migration background","5319","0.326946439781206","0.319596298805216","0.334296580757196"
"Some worries","2009","direct migration background","714","0.4219880584365","0.398194051816374","0.445782065056625"
"Some worries","2009","indirect migration background","288","0.455958862244363","0.419297915666136","0.49261980882259"
"Some worries","2009","no migration background","6833","0.435255595120907","0.42748721086352","0.443023979378294"
"Big worries","2010","direct migration background","438","0.176403103266896","0.162441095403956","0.190365111129837"
"Big worries","2010","indirect migration background","214","0.193681328075781","0.170781495116376","0.216581161035187"
"Big worries","2010","no migration background","4468","0.235009034873683","0.229116069535625","0.24090200021174"
"No worries","2010","direct migration background","1229","0.417531333260149","0.399467153884159","0.435595512636139"
"No worries","2010","indirect migration background","476","0.402115394636272","0.37370226228272","0.430528526989825"
"No worries","2010","no migration background","7205","0.341015490863507","0.334426967189762","0.347604014537251"
"Some worries","2010","direct migration background","1196","0.406065563472955","0.388076657549574","0.424054469396335"
"Some worries","2010","indirect migration background","454","0.404203277287946","0.375766259541907","0.432640295033985"
"Some worries","2010","no migration background","8214","0.423975474262811","0.417107094356674","0.430843854168947"
"Big worries","2011","direct migration background","323","0.164366320642406","0.148017406942595","0.180715234342217"
"Big worries","2011","indirect migration background","134","0.166847506196717","0.140848505564425","0.192846506829008"
"Big worries","2011","no migration background","4356","0.254237882464894","0.247841326829256","0.260634438100532"
"No worries","2011","direct migration background","763","0.386756403285401","0.36527266840607","0.408240138164733"
"No worries","2011","indirect migration background","318","0.389339215170456","0.355337671403846","0.423340758937065"
"No worries","2011","no migration background","5851","0.322529526726091","0.31566270430569","0.329396349146492"
"Some worries","2011","direct migration background","888","0.448877276072192","0.42693596947401","0.470818582670375"
"Some worries","2011","indirect migration background","338","0.443813278632828","0.409167924938714","0.478458632326941"
"Some worries","2011","no migration background","7594","0.423232590809015","0.415974610285103","0.430490571332926"
"Big worries","2012","direct migration background","261","0.135509219858759","0.120235438037216","0.150783001680302"
"Big worries","2012","indirect migration background","110","0.127224911094323","0.104046957510515","0.150402864678131"
"Big worries","2012","no migration background","3405","0.201267227646378","0.195366306939449","0.207168148353308"
"No worries","2012","direct migration background","859","0.438362803998261","0.416220298736938","0.460505309259585"
"No worries","2012","indirect migration background","397","0.486529334159786","0.451763698558093","0.521294969761479"
"No worries","2012","no migration background","7097","0.392529029029447","0.38534230200464","0.399715756054253"
"Some worries","2012","direct migration background","809","0.426127976142979","0.404060151328046","0.448195800957913"
"Some worries","2012","indirect migration background","287","0.386245754745891","0.352379516918656","0.420111992573126"
"Some worries","2012","no migration background","7233","0.406203743324175","0.39897565945764","0.413431827190709"
"Big worries","2013","direct migration background","294","0.176368178189449","0.158115888265974","0.194620468112924"
"Big worries","2013","indirect migration background","132","0.17589421219946","0.147928534320801","0.20385989007812"
"Big worries","2013","no migration background","3615","0.227525366325574","0.221122543257858","0.233928189393289"
"No worries","2013","direct migration background","705","0.431133793031421","0.407417228160957","0.454850357901884"
"No worries","2013","indirect migration background","314","0.456479164411992","0.419892175188854","0.49306615363513"
"No worries","2013","no migration background","6029","0.355442654604847","0.348132441641825","0.362752867567869"
"Some worries","2013","direct migration background","676","0.392498028779131","0.369113249718731","0.415882807839531"
"Some worries","2013","indirect migration background","266","0.367626623388547","0.33221071703485","0.403042529742245"
"Some worries","2013","no migration background","6825","0.417031979069579","0.409501518796709","0.42456243934245"
"Big worries","2014","direct migration background","1085","0.20331996294065","0.192236120474552","0.214403805406748"
"Big worries","2014","indirect migration background","435","0.248644839098769","0.228571089940395","0.268718588257144"
"Big worries","2014","no migration background","5287","0.269338575556033","0.263218721248539","0.275458429863527"
"No worries","2014","direct migration background","1669","0.362341001910493","0.349103337933264","0.375578665887722"
"No worries","2014","indirect migration background","656","0.363977904725771","0.341632421891551","0.386323387559991"
"No worries","2014","no migration background","6554","0.317439740562981","0.311018264598472","0.32386121652749"
"Some worries","2014","direct migration background","2311","0.434339035148857","0.420688461505485","0.447989608792228"
"Some worries","2014","indirect migration background","690","0.38737725617546","0.364752716657432","0.410001795693487"
"Some worries","2014","no migration background","8344","0.413221683880986","0.406428673254703","0.420014694507268"
"Big worries","2015","direct migration background","1256","0.291252635336954","0.277626773980211","0.304878496693697"
"Big worries","2015","indirect migration background","442","0.272452301575479","0.250791984628329","0.294112618522628"
"Big worries","2015","no migration background","6207","0.332820955528419","0.326132909173057","0.339509001883782"
"No worries","2015","direct migration background","1128","0.284190150137684","0.270663612317957","0.297716687957412"
"No worries","2015","indirect migration background","494","0.315441632853508","0.292834078756718","0.338049186950299"
"No worries","2015","no migration background","4870","0.251516860946956","0.245358752860173","0.257674969033738"
"Some worries","2015","direct migration background","1887","0.424557214525361","0.409733655305519","0.439380773745204"
"Some worries","2015","indirect migration background","687","0.412106065571013","0.388159522679094","0.436052608462932"
"Some worries","2015","no migration background","7993","0.415662183524625","0.408667388402258","0.422656978646993"
"Big worries","2016","direct migration background","1992","0.418881078157811","0.404875424106697","0.432886732208924"
"Big worries","2016","indirect migration background","568","0.32158772731763","0.298251783943514","0.344923670691746"
"Big worries","2016","no migration background","8210","0.472789506930651","0.465468676231014","0.480110337630288"
"No worries","2016","direct migration background","813","0.174958258045932","0.164172996063379","0.185743520028484"
"No worries","2016","indirect migration background","338","0.229074654709413","0.208079288054259","0.250070021364566"
"No worries","2016","no migration background","2792","0.145684558294101","0.140511464948172","0.150857651640029"
"Some worries","2016","direct migration background","1962","0.406160663796258","0.392219182315319","0.420102145277197"
"Some worries","2016","indirect migration background","633","0.449337617972957","0.42448581653588","0.474189419410034"
"Some worries","2016","no migration background","6864","0.381525934775248","0.374403028904634","0.388648840645863"
"Big worries","2017","direct migration background","1684","0.352014684081207","0.338241413413473","0.365787954748941"
"Big worries","2017","indirect migration background","527","0.289210578689185","0.267689528299121","0.31073162907925"
"Big worries","2017","no migration background","7629","0.387146392334508","0.380434007220159","0.393858777448857"
"No worries","2017","direct migration background","882","0.204154697437018","0.192530362176328","0.215779032697708"
"No worries","2017","indirect migration background","452","0.274595606591396","0.253410883953463","0.29578032922933"
"No worries","2017","no migration background","3998","0.188675105824613","0.183283531631987","0.194066680017239"
"Some worries","2017","direct migration background","2053","0.443830618481775","0.429502595224936","0.458158641738614"
"Some worries","2017","indirect migration background","726","0.436193814719418","0.41265467596913","0.459732953469706"
"Some worries","2017","no migration background","8602","0.424178501840879","0.417367999472021","0.430989004209738"
"Big worries","2018","direct migration background","1301","0.276908945738867","0.263693268506551","0.290124622971183"
"Big worries","2018","indirect migration background","408","0.225552691962093","0.205725953622475","0.24537943030171"
"Big worries","2018","no migration background","6062","0.323183303865914","0.316629379069446","0.329737228662383"
"No worries","2018","direct migration background","1102","0.260554003327907","0.247590375868387","0.273517630787426"
"No worries","2018","indirect migration background","549","0.318807702752577","0.296700662723266","0.340914742781888"
"No worries","2018","no migration background","5072","0.25030547770993","0.244235056739596","0.256375898680264"
"Some worries","2018","direct migration background","2001","0.462537050933226","0.447811486010378","0.477262615856075"
"Some worries","2018","indirect migration background","750","0.45563960528533","0.432013870516803","0.479265340053857"
"Some worries","2018","no migration background","8428","0.426511218424156","0.419580645197586","0.433441791650725"
"Big worries","2019","direct migration background","1042","0.253592648398948","0.23978155924321","0.267403737554686"
"Big worries","2019","indirect migration background","420","0.229639439901158","0.209610330089751","0.249668549712566"
"Big worries","2019","no migration background","5740","0.299443440811573","0.293130117958927","0.305756763664219"
"No worries","2019","direct migration background","996","0.270261366332589","0.256163697685405","0.284359034979772"
"No worries","2019","indirect migration background","565","0.361145616018208","0.338272069781977","0.384019162254439"
"No worries","2019","no migration background","5876","0.270031697415284","0.263911881352362","0.276151513478206"
"Some worries","2019","direct migration background","1774","0.476145985268463","0.46029169348329","0.492000277053637"
"Some worries","2019","indirect migration background","709","0.409214944080634","0.385800606194478","0.43262928196679"
"Some worries","2019","no migration background","8602","0.430524861773143","0.423699659963642","0.437350063582645"
