"plj0046","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"No worries","2001","indirect migration background","Rural Area","31","0.262022342661865","0.174960907389662","0.349083777934067"
"No worries","2001","indirect migration background","Urban Area","268","0.413645185891624","0.376354109061484","0.450936262721764"
"No worries","2001","no migration background","Rural Area","1501","0.214640491453845","0.204925454397249","0.224355528510442"
"No worries","2001","no migration background","Urban Area","3230","0.286019885874485","0.277687870901037","0.294351900847932"
"Some worries","2001","direct migration background","Rural Area","252","0.477763273323659","0.434024226532894","0.521502320114424"
"Some worries","2001","direct migration background","Urban Area","1077","0.435273198531649","0.415450107800979","0.455096289262319"
"Some worries","2001","indirect migration background","Rural Area","54","0.592944064276101","0.495676293614793","0.690211834937409"
"Some worries","2001","indirect migration background","Urban Area","283","0.409447345517868","0.372213402258252","0.446681288777484"
"Some worries","2001","no migration background","Rural Area","3388","0.49556852309563","0.483737907926644","0.507399138264616"
"Some worries","2001","no migration background","Urban Area","5298","0.469218958589612","0.460017549364426","0.478420367814798"
"Big worries","2002","direct migration background","Rural Area","96","0.235320209952197","0.197172303767493","0.273468116136902"
"Big worries","2002","direct migration background","Urban Area","413","0.183329337357237","0.167526299382728","0.199132375331745"
"Big worries","2002","indirect migration background","Rural Area","16","","",""
"Big worries","2002","indirect migration background","Urban Area","107","0.181929072227093","0.152890197976913","0.210967946477273"
"Big worries","2002","no migration background","Rural Area","2200","0.332381753485629","0.321373216769723","0.343390290201536"
"Big worries","2002","no migration background","Urban Area","3356","0.298556675787605","0.290492585641273","0.306620765933936"
"No worries","2002","direct migration background","Rural Area","148","0.326517837434618","0.284346459582599","0.368689215286636"
"No worries","2002","direct migration background","Urban Area","781","0.342195365260832","0.322818360403149","0.361572370118515"
"No worries","2002","indirect migration background","Rural Area","38","0.332312036070524","0.238572665442465","0.426051406698583"
"No worries","2002","indirect migration background","Urban Area","254","0.3507948825056","0.31487368254972","0.38671608246148"
"No worries","2002","no migration background","Rural Area","1359","0.173296559574783","0.164451174342731","0.182141944806834"
"No worries","2002","no migration background","Urban Area","3300","0.244318977010093","0.236747274430999","0.251890679589188"
"Some worries","2002","direct migration background","Rural Area","231","0.438161952613185","0.393542504850365","0.482781400376004"
"Some worries","2002","direct migration background","Urban Area","1109","0.474475297381931","0.45408119980248","0.494869394961382"
"Some worries","2002","indirect migration background","Rural Area","43","0.505644730174428","0.406148975467667","0.605140484881188"
"Some worries","2002","indirect migration background","Urban Area","317","0.467276045267307","0.429720755617815","0.5048313349168"
"Some worries","2002","no migration background","Rural Area","3475","0.494321686939588","0.482637758041403","0.506005615837774"
"Some worries","2002","no migration background","Urban Area","5715","0.457124347202302","0.448345994091207","0.465902700313396"
"Big worries","2003","direct migration background","Rural Area","91","0.203184498069325","0.166253602256402","0.240115393882248"
"Big worries","2003","direct migration background","Urban Area","345","0.161838239754542","0.146255718542038","0.177420760967045"
"Big worries","2003","indirect migration background","Rural Area","20","","",""
"Big worries","2003","indirect migration background","Urban Area","109","0.206330065244523","0.175779491906351","0.236880638582696"
"Big worries","2003","no migration background","Rural Area","1921","0.301670645466801","0.290708994578858","0.312632296354744"
"Big worries","2003","no migration background","Urban Area","3051","0.283151572440819","0.275090054597886","0.291213090283751"
"No worries","2003","direct migration background","Rural Area","143","0.310668194988902","0.268193699877712","0.353142690100092"
"No worries","2003","direct migration background","Urban Area","815","0.385268933601103","0.364678864300906","0.4058590029013"
"No worries","2003","indirect migration background","Rural Area","25","","",""
"No worries","2003","indirect migration background","Urban Area","263","0.3935065727819","0.356625190685679","0.430387954878121"
"No worries","2003","no migration background","Rural Area","1459","0.196629631336711","0.187137545036138","0.206121717637285"
"No worries","2003","no migration background","Urban Area","3506","0.264430354593154","0.256538824528419","0.272321884657889"
"Some worries","2003","direct migration background","Rural Area","222","0.486147306941773","0.440273061875395","0.53202155200815"
"Some worries","2003","direct migration background","Urban Area","986","0.452892826644356","0.431832400350089","0.473953252938622"
"Some worries","2003","indirect migration background","Rural Area","56","0.580583995430131","0.484346916292994","0.676821074567268"
"Some worries","2003","indirect migration background","Urban Area","302","0.400163361973577","0.363176005000852","0.437150718946302"
"Some worries","2003","no migration background","Rural Area","3355","0.501699723196488","0.489758555816689","0.513640890576286"
"Some worries","2003","no migration background","Urban Area","5441","0.452418072966028","0.443511960237134","0.461324185694921"
"Big worries","2004","direct migration background","Rural Area","94","0.23855918351921","0.198599363915206","0.278519003123214"
"Big worries","2004","direct migration background","Urban Area","441","0.218013060638126","0.200204489773791","0.23582163150246"
"Big worries","2004","indirect migration background","Rural Area","37","0.267398394800262","0.185428871284172","0.349367918316351"
"Big worries","2004","indirect migration background","Urban Area","154","0.282580459370169","0.248960580510894","0.316200338229443"
"Big worries","2004","no migration background","Rural Area","2225","0.354061112280695","0.342519259740354","0.365602964821036"
"Big worries","2004","no migration background","Urban Area","3735","0.351725045709265","0.34305521760646","0.36039487381207"
"No worries","2004","direct migration background","Rural Area","134","0.271816352916232","0.230103910136342","0.313528795696123"
"No worries","2004","direct migration background","Urban Area","606","0.305246325226997","0.285384062991006","0.325108587462987"
"No worries","2004","indirect migration background","Rural Area","23","","",""
"No worries","2004","indirect migration background","Urban Area","236","0.329114760289772","0.294028564813529","0.364200955766016"
"No worries","2004","no migration background","Rural Area","1312","0.183667473730548","0.174322235696338","0.193012711764757"
"No worries","2004","no migration background","Urban Area","2782","0.220723950895996","0.213193870506097","0.228254031285894"
"Some worries","2004","direct migration background","Rural Area","209","0.489624463564558","0.442755661691874","0.536493265437241"
"Some worries","2004","direct migration background","Urban Area","1018","0.476740614134878","0.45519853324103","0.498282695028726"
"Some worries","2004","indirect migration background","Rural Area","52","0.540746200393413","0.44845459574931","0.633037805037517"
"Some worries","2004","indirect migration background","Urban Area","299","0.388304780340059","0.351913914240525","0.424695646439593"
"Some worries","2004","no migration background","Rural Area","3058","0.462271413988757","0.450238501105778","0.474304326871736"
"Some worries","2004","no migration background","Urban Area","5136","0.42755100339474","0.418568620125606","0.436533386663873"
"Big worries","2005","direct migration background","Rural Area","119","0.315823087073134","0.270439197622302","0.361206976523967"
"Big worries","2005","direct migration background","Urban Area","521","0.281114231416129","0.261141013870197","0.301087448962061"
"Big worries","2005","indirect migration background","Rural Area","30","0.310474439709321","0.22155032867101","0.399398550747633"
"Big worries","2005","indirect migration background","Urban Area","202","0.306321533921197","0.272651022472676","0.339992045369717"
"Big worries","2005","no migration background","Rural Area","2646","0.445275615381266","0.43302551676473","0.457525713997801"
"Big worries","2005","no migration background","Urban Area","4160","0.393575282076282","0.384507250735646","0.402643313416918"
"No worries","2005","direct migration background","Rural Area","90","0.210352023626723","0.170560948053624","0.250143099199821"
"No worries","2005","direct migration background","Urban Area","521","0.276503636760637","0.256631467703007","0.296375805818268"
"No worries","2005","indirect migration background","Rural Area","27","","",""
"No worries","2005","indirect migration background","Urban Area","196","0.265664538222129","0.233402196492543","0.297926879951714"
"No worries","2005","no migration background","Rural Area","973","0.145173022753567","0.136490047371803","0.153855998135332"
"No worries","2005","no migration background","Urban Area","2187","0.182826206036987","0.175651781098605","0.190000630975369"
"Some worries","2005","direct migration background","Rural Area","194","0.473824889300143","0.425075446805934","0.522574331794352"
"Some worries","2005","direct migration background","Urban Area","904","0.442382131823233","0.420315106037259","0.464449157609208"
"Some worries","2005","indirect migration background","Rural Area","47","0.509391333831229","0.413313145547227","0.605469522115231"
"Some worries","2005","indirect migration background","Urban Area","322","0.428013927856675","0.391872648626269","0.464155207087081"
"Some worries","2005","no migration background","Rural Area","2704","0.409551361865167","0.397430548894218","0.421672174836116"
"Some worries","2005","no migration background","Urban Area","4803","0.423598511886731","0.414426799720839","0.432770224052623"
"Big worries","2006","direct migration background","Rural Area","114","0.291305641717046","0.248108246327727","0.334503037106365"
"Big worries","2006","direct migration background","Urban Area","484","0.253810760703418","0.234395244450097","0.273226276956739"
"Big worries","2006","indirect migration background","Rural Area","30","0.346815554632916","0.25982614738509","0.433804961880741"
"Big worries","2006","indirect migration background","Urban Area","190","0.295128800970332","0.261244061504532","0.329013540436132"
"Big worries","2006","no migration background","Rural Area","2449","0.382584912142687","0.371039994051426","0.394129830233947"
"Big worries","2006","no migration background","Urban Area","3949","0.347991310953911","0.33943376953481","0.356548852373012"
"No worries","2006","direct migration background","Rural Area","124","0.315278665165204","0.271105568305913","0.359451762024495"
"No worries","2006","direct migration background","Urban Area","578","0.295009599147884","0.274663595778204","0.315355602517564"
"No worries","2006","indirect migration background","Rural Area","30","0.275417644473453","0.193770889638024","0.357064399308882"
"No worries","2006","indirect migration background","Urban Area","212","0.291158707352827","0.257408000957667","0.324909413747986"
"No worries","2006","no migration background","Rural Area","1201","0.168709236087316","0.159813452181369","0.177605019993262"
"No worries","2006","no migration background","Urban Area","2728","0.220117245663151","0.212673700780717","0.227560790545586"
"Some worries","2006","direct migration background","Rural Area","187","0.39341569311775","0.346972181341956","0.439859204893545"
"Some worries","2006","direct migration background","Urban Area","868","0.451179640148698","0.428979317291947","0.473379963005448"
"Some worries","2006","indirect migration background","Rural Area","55","0.377766800893631","0.289155797457835","0.466377804329427"
"Some worries","2006","indirect migration background","Urban Area","294","0.413712491676841","0.37712369650896","0.450301286844722"
"Some worries","2006","no migration background","Rural Area","3158","0.448705851769998","0.436891473401646","0.460520230138349"
"Some worries","2006","no migration background","Urban Area","5225","0.431891443382938","0.422992445913863","0.440790440852012"
"Big worries","2007","direct migration background","Rural Area","84","0.207032313293166","0.166819671985916","0.247244954600415"
"Big worries","2007","direct migration background","Urban Area","343","0.196157611782927","0.177386145954477","0.214929077611378"
"Big worries","2007","indirect migration background","Rural Area","30","0.166073585184983","0.0968425624358158","0.235304607934149"
"Big worries","2007","indirect migration background","Urban Area","151","0.227224464708852","0.195542093266701","0.258906836151002"
"Big worries","2007","no migration background","Rural Area","2065","0.337707939688284","0.326138566953264","0.349277312423303"
"Big worries","2007","no migration background","Urban Area","3319","0.319127818664594","0.310467085474261","0.327788551854927"
"No worries","2007","direct migration background","Rural Area","120","0.351695500918284","0.304305282365055","0.399085719471513"
"No worries","2007","direct migration background","Urban Area","592","0.333469133684864","0.311182313644756","0.355755953724971"
"No worries","2007","indirect migration background","Rural Area","31","0.272805305451871","0.189946559027379","0.355664051876364"
"No worries","2007","indirect migration background","Urban Area","235","0.337074341902499","0.30133399888324","0.372814684921759"
"No worries","2007","no migration background","Rural Area","1368","0.20080918150671","0.191009060704713","0.210609302308707"
"No worries","2007","no migration background","Urban Area","2940","0.254538591876641","0.246445230475677","0.262631953277605"
"Some worries","2007","direct migration background","Rural Area","186","0.44127218578855","0.391992354731808","0.490552016845292"
"Some worries","2007","direct migration background","Urban Area","784","0.470373254532209","0.446778448215064","0.493968060849354"
"Some worries","2007","indirect migration background","Rural Area","50","0.561121109363146","0.468802925660064","0.653439293066228"
"Some worries","2007","indirect migration background","Urban Area","286","0.435701193388649","0.398211456268475","0.473190930508824"
"Some worries","2007","no migration background","Rural Area","2986","0.461482878805006","0.449287593709427","0.473678163900585"
"Some worries","2007","no migration background","Urban Area","4869","0.426333589458765","0.417145102173278","0.435522076744253"
"Big worries","2008","direct migration background","Rural Area","63","0.168239531349826","0.128823471890036","0.207655590809616"
"Big worries","2008","direct migration background","Urban Area","263","0.166665246086244","0.148100249062319","0.185230243110169"
"Big worries","2008","indirect migration background","Rural Area","28","","",""
"Big worries","2008","indirect migration background","Urban Area","127","0.18944530213039","0.159481391718992","0.219409212541789"
"Big worries","2008","no migration background","Rural Area","1706","0.300639553536319","0.289109991762976","0.312169115309663"
"Big worries","2008","no migration background","Urban Area","2747","0.275511597185728","0.266998837077837","0.284024357293618"
"No worries","2008","direct migration background","Rural Area","117","0.346187463187533","0.296058083368642","0.396316843006424"
"No worries","2008","direct migration background","Urban Area","635","0.398380508803308","0.373992710036332","0.422768307570284"
"No worries","2008","indirect migration background","Rural Area","39","0.362688202364362","0.274043749709174","0.451332655019551"
"No worries","2008","indirect migration background","Urban Area","233","0.347766121626022","0.311348572156005","0.384183671096038"
"No worries","2008","no migration background","Rural Area","1463","0.230098667779639","0.219515545938541","0.240681789620736"
"No worries","2008","no migration background","Urban Area","3230","0.290767578311488","0.282114870991578","0.299420285631399"
"Some worries","2008","direct migration background","Rural Area","166","0.485573005462641","0.432910782903647","0.538235228021635"
"Some worries","2008","direct migration background","Urban Area","650","0.434954245110448","0.410258268336978","0.459650221883918"
"Some worries","2008","indirect migration background","Rural Area","46","0.379918471647645","0.290427655015515","0.469409288279775"
"Some worries","2008","indirect migration background","Urban Area","297","0.462788576243588","0.424661865381232","0.500915287105944"
"Some worries","2008","no migration background","Rural Area","2907","0.469261778684042","0.456713418329474","0.48181013903861"
"Some worries","2008","no migration background","Urban Area","4604","0.433720824502784","0.424277929369817","0.44316371963575"
"Big worries","2009","direct migration background","Rural Area","45","0.136517002419767","0.0984199775784238","0.17461402726111"
"Big worries","2009","direct migration background","Urban Area","189","0.154790697112845","0.135445879163534","0.174135515062156"
"Big worries","2009","indirect migration background","Rural Area","24","","",""
"Big worries","2009","indirect migration background","Urban Area","97","0.14720931199667","0.118691932796367","0.175726691196973"
"Big worries","2009","no migration background","Rural Area","1351","0.244531141925863","0.233457340765921","0.255604943085806"
"Big worries","2009","no migration background","Urban Area","2144","0.23427649956458","0.225916428199811","0.24263657092935"
"No worries","2009","direct migration background","Rural Area","113","0.43409134348599","0.379094910143753","0.489087776828227"
"No worries","2009","direct migration background","Urban Area","594","0.425050635816704","0.398611624009855","0.451489647623553"
"No worries","2009","indirect migration background","Rural Area","46","0.3039179498172","0.220217558342198","0.387618341292202"
"No worries","2009","indirect migration background","Urban Area","254","0.408142712617695","0.368584626890589","0.447700798344802"
"No worries","2009","no migration background","Rural Area","1690","0.277633011810713","0.266094870663939","0.289171152957486"
"No worries","2009","no migration background","Urban Area","3629","0.352737465527886","0.343306076407863","0.362168854647909"
"Some worries","2009","direct migration background","Rural Area","154","0.429391654094243","0.374467085649384","0.484316222539102"
"Some worries","2009","direct migration background","Urban Area","560","0.42015866707045","0.39376064831971","0.44655668582119"
"Some worries","2009","indirect migration background","Rural Area","46","0.504248740906916","0.413262982267128","0.595234499546704"
"Some worries","2009","indirect migration background","Urban Area","242","0.444647975385635","0.404652295506878","0.484643655264391"
"Some worries","2009","no migration background","Rural Area","2746","0.477835846263424","0.464966270221616","0.490705422305231"
"Some worries","2009","no migration background","Urban Area","4087","0.412986034907533","0.40326748356603","0.422704586249037"
"Big worries","2010","direct migration background","Rural Area","92","0.217650305700058","0.184850112581622","0.250450498818495"
"Big worries","2010","direct migration background","Urban Area","346","0.165551846173479","0.150211275666008","0.180892416680951"
"Big worries","2010","indirect migration background","Rural Area","41","0.207896925585221","0.151229972615453","0.264563878554988"
"Big worries","2010","indirect migration background","Urban Area","173","0.191023571428822","0.165986443086522","0.216060699771123"
"Big worries","2010","no migration background","Rural Area","1826","0.261458678699831","0.251431075739622","0.271486281660039"
"Big worries","2010","no migration background","Urban Area","2642","0.221669428233029","0.214390718821554","0.228948137644504"
"No worries","2010","direct migration background","Rural Area","245","0.394541179088941","0.355691737938535","0.433390620239346"
"No worries","2010","direct migration background","Urban Area","984","0.423579551292228","0.403185101162295","0.443974001422162"
"No worries","2010","indirect migration background","Rural Area","81","0.454894044325203","0.385357906266241","0.524430182384165"
"No worries","2010","indirect migration background","Urban Area","395","0.392247866596376","0.36115099913611","0.423344734056642"
"No worries","2010","no migration background","Rural Area","2281","0.28651959082365","0.276202045466049","0.296837136181251"
"No worries","2010","no migration background","Urban Area","4924","0.368499939230309","0.360046667203899","0.376953211256718"
"Some worries","2010","direct migration background","Rural Area","271","0.387808515211001","0.349078415593808","0.426538614828194"
"Some worries","2010","direct migration background","Urban Area","925","0.410868602534292","0.390562228576033","0.431174976492551"
"Some worries","2010","indirect migration background","Rural Area","75","0.337209030089576","0.271192473576921","0.403225586602232"
"Some worries","2010","indirect migration background","Urban Area","379","0.416728561974802","0.385328168493032","0.448128955456573"
"Some worries","2010","no migration background","Rural Area","3270","0.452021730476519","0.440664576225072","0.463378884727967"
"Some worries","2010","no migration background","Urban Area","4944","0.409830632536662","0.401212563351036","0.418448701722288"
"Big worries","2011","direct migration background","Rural Area","77","0.157059418996667","0.123515843910017","0.190602994083317"
"Big worries","2011","direct migration background","Urban Area","246","0.166565413102334","0.147847003879117","0.18528382232555"
"Big worries","2011","indirect migration background","Rural Area","30","0.175016069978789","0.111154389132441","0.238877750825137"
"Big worries","2011","indirect migration background","Urban Area","104","0.165041392298416","0.136591008506213","0.19349177609062"
"Big worries","2011","no migration background","Rural Area","1710","0.282016328626002","0.271104785513899","0.292927871738104"
"Big worries","2011","no migration background","Urban Area","2646","0.240289575644446","0.232400680568408","0.248178470720485"
"No worries","2011","direct migration background","Rural Area","155","0.379635315302078","0.334896373271843","0.424374257332312"
"No worries","2011","direct migration background","Urban Area","608","0.388899573078817","0.364408050130185","0.413391096027449"
"No worries","2011","indirect migration background","Rural Area","40","0.257300884488691","0.183831613627013","0.33077015535037"
"No worries","2011","indirect migration background","Urban Area","278","0.418533608519758","0.380725348188652","0.456341868850864"
"No worries","2011","no migration background","Rural Area","1888","0.275667864189399","0.264832245603678","0.286503482775119"
"No worries","2011","no migration background","Urban Area","3963","0.346060031038216","0.337276496077517","0.354843565998915"
"Some worries","2011","direct migration background","Rural Area","220","0.463305265701255","0.417335090507269","0.509275440895242"
"Some worries","2011","direct migration background","Urban Area","668","0.444535013818849","0.419570558444794","0.469499469192904"
"Some worries","2011","indirect migration background","Rural Area","66","0.56768304553252","0.484423749864518","0.650942341200521"
"Some worries","2011","indirect migration background","Urban Area","272","0.416424999181825","0.378643781304147","0.454206217059503"
"Some worries","2011","no migration background","Rural Area","2935","0.4423158071846","0.430272322645295","0.454359291723905"
"Some worries","2011","no migration background","Urban Area","4659","0.413650393317338","0.40455713116331","0.422743655471366"
"Big worries","2012","direct migration background","Rural Area","67","0.122066948051202","0.092312537064379","0.151821359038026"
"Big worries","2012","direct migration background","Urban Area","194","0.139601108433533","0.121848102138424","0.157354114728642"
"Big worries","2012","indirect migration background","Rural Area","23","","",""
"Big worries","2012","indirect migration background","Urban Area","87","0.124346024959755","0.0989200177571928","0.149772032162317"
"Big worries","2012","no migration background","Rural Area","1318","0.216656489142984","0.206748321945143","0.226564656340826"
"Big worries","2012","no migration background","Urban Area","2087","0.193375716024467","0.186026506588915","0.20072492546002"
"No worries","2012","direct migration background","Rural Area","188","0.417317924746196","0.372498016486773","0.462137833005619"
"No worries","2012","direct migration background","Urban Area","671","0.444768960799867","0.419313459349943","0.470224462249791"
"No worries","2012","indirect migration background","Rural Area","55","0.333835196048824","0.257601614053925","0.410068778043723"
"No worries","2012","indirect migration background","Urban Area","342","0.519952332834655","0.481455952359362","0.558448713309948"
"No worries","2012","no migration background","Rural Area","2406","0.344722669998491","0.333291811597144","0.356153528399839"
"No worries","2012","no migration background","Urban Area","4691","0.417043814094165","0.407868671770749","0.42621895641758"
"Some worries","2012","direct migration background","Rural Area","210","0.460615127202602","0.415310757350254","0.505919497054949"
"Some worries","2012","direct migration background","Urban Area","599","0.4156299307666","0.390384955939575","0.440874905593625"
"Some worries","2012","indirect migration background","Rural Area","69","0.525787600888267","0.445067620740362","0.606507581036172"
"Some worries","2012","indirect migration background","Urban Area","218","0.35570164220559","0.318813872488179","0.392589411923001"
"Some worries","2012","no migration background","Rural Area","2917","0.438620840858525","0.426686343702809","0.45055533801424"
"Some worries","2012","no migration background","Urban Area","4316","0.389580469881368","0.380506093077893","0.398654846684842"
"Big worries","2013","direct migration background","Rural Area","69","0.17421106039363","0.136519364075225","0.211902756712034"
"Big worries","2013","direct migration background","Urban Area","225","0.176969404680658","0.156110826973354","0.197827982387961"
"Big worries","2013","indirect migration background","Rural Area","26","","",""
"Big worries","2013","indirect migration background","Urban Area","106","0.179365551706328","0.148061210027712","0.210669893384943"
"Big worries","2013","no migration background","Rural Area","1320","0.224029242884016","0.213585864963424","0.234472620804608"
"Big worries","2013","no migration background","Urban Area","2295","0.229358230465959","0.221257106258438","0.237459354673481"
"No worries","2013","direct migration background","Rural Area","154","0.434165725340176","0.384911251561703","0.483420199118649"
"No worries","2013","direct migration background","Urban Area","551","0.430288740421355","0.403228291378219","0.45734918946449"
"No worries","2013","indirect migration background","Rural Area","48","0.373637510821208","0.292032032910179","0.455242988732237"
"No worries","2013","indirect migration background","Urban Area","266","0.478791926915063","0.438031458998338","0.519552394831788"
"No worries","2013","no migration background","Rural Area","2106","0.336485716581119","0.324650548875816","0.348320884286421"
"No worries","2013","no migration background","Urban Area","3923","0.365380945542231","0.356102155334606","0.374659735749857"
"Some worries","2013","direct migration background","Rural Area","166","0.391623214266194","0.343117397578438","0.440129030953951"
"Some worries","2013","direct migration background","Urban Area","510","0.392741854897987","0.366050668725157","0.419433041070818"
"Some worries","2013","indirect migration background","Rural Area","61","0.463356484115688","0.379239872074158","0.547473096157217"
"Some worries","2013","indirect migration background","Urban Area","205","0.341842521378609","0.303140100071961","0.380544942685256"
"Some worries","2013","no migration background","Rural Area","2697","0.439485040534865","0.427053309264008","0.451916771805722"
"Some worries","2013","no migration background","Urban Area","4128","0.405260823991809","0.395800795619088","0.414720852364531"
"Big worries","2014","direct migration background","Rural Area","279","0.221951198791235","0.198923443661316","0.244978953921154"
"Big worries","2014","direct migration background","Urban Area","806","0.198353610266858","0.185698404179173","0.211008816354542"
"Big worries","2014","indirect migration background","Rural Area","83","0.248683632537523","0.201617272548397","0.295749992526648"
"Big worries","2014","indirect migration background","Urban Area","352","0.248636837912685","0.226443327494413","0.270830348330956"
"Big worries","2014","no migration background","Rural Area","2065","0.272631381234751","0.262668748952544","0.282594013516958"
"Big worries","2014","no migration background","Urban Area","3222","0.267610301679235","0.259852441223807","0.275368162134664"
"No worries","2014","direct migration background","Rural Area","399","0.37421651601454","0.347400580032482","0.401032451996598"
"No worries","2014","direct migration background","Urban Area","1270","0.359175458213002","0.343949639948901","0.374401276477102"
"No worries","2014","indirect migration background","Rural Area","110","0.369441725482025","0.316887072541512","0.421996378422538"
"No worries","2014","indirect migration background","Urban Area","546","0.362850986153715","0.33816201588809","0.387539956419341"
"No worries","2014","no migration background","Rural Area","2277","0.287721466088232","0.277593553152344","0.29784937902412"
"No worries","2014","no migration background","Urban Area","4277","0.333037781397938","0.324778984136175","0.3412965786597"
"Some worries","2014","direct migration background","Rural Area","573","0.403832285194225","0.376642599886837","0.431021970501614"
"Some worries","2014","direct migration background","Urban Area","1738","0.442470931520141","0.426708112952921","0.45823375008736"
"Some worries","2014","indirect migration background","Rural Area","131","0.381874641980452","0.328972375798247","0.434776908162657"
"Some worries","2014","indirect migration background","Urban Area","559","0.3885121759336","0.363484844838551","0.413539507028649"
"Some worries","2014","no migration background","Rural Area","3333","0.439647152677017","0.428542836402988","0.450751468951046"
"Some worries","2014","no migration background","Urban Area","5011","0.399351916922827","0.390769544218704","0.407934289626951"
"Big worries","2015","direct migration background","Rural Area","335","0.295388562960678","0.268040226106364","0.322736899814992"
"Big worries","2015","direct migration background","Urban Area","921","0.290160902738913","0.274441471360002","0.305880334117825"
"Big worries","2015","indirect migration background","Rural Area","92","0.271967325030801","0.221698510473264","0.322236139588338"
"Big worries","2015","indirect migration background","Urban Area","350","0.272548083129419","0.248545605383468","0.29655056087537"
"Big worries","2015","no migration background","Rural Area","2573","0.366921751954403","0.355846668247714","0.377996835661091"
"Big worries","2015","no migration background","Urban Area","3634","0.315170743084954","0.30678651239851","0.323554973771399"
"No worries","2015","direct migration background","Rural Area","250","0.280510732694333","0.253580125856318","0.307441339532348"
