"plj0046","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Big worries","2000","higher vocational","Rural Area","235","0.339202115022059","0.30359171913877","0.374812510905347"
"Big worries","2000","higher vocational","Urban Area","349","0.285545132944878","0.259947059440444","0.311143206449311"
"Big worries","2000","in school","Rural Area","27","","",""
"Big worries","2000","in school","Urban Area","56","0.170965411486194","0.129521674105713","0.212409148866675"
"Big worries","2000","inadequately","Rural Area","19","","",""
"Big worries","2000","inadequately","Urban Area","71","0.246365357433722","0.19885647698707","0.293874237880374"
"Big worries","2000","middle vocational","Rural Area","1731","0.364696755035613","0.350974933197321","0.378418576873905"
"Big worries","2000","middle vocational","Urban Area","2581","0.330911673363094","0.320608396001784","0.341214950724405"
"Big worries","2000","vocational + Abi","Rural Area","62","0.21584239072352","0.164946668419321","0.266738113027719"
"Big worries","2000","vocational + Abi","Urban Area","171","0.186004022519602","0.160148056861508","0.211859988177695"
"No worries","2000","general elemantary","Rural Area","215","0.183460641087111","0.160893898013591","0.206027384160631"
"No worries","2000","general elemantary","Urban Area","701","0.263645717230575","0.246017993349445","0.281273441111705"
"No worries","2000","higher education","Rural Area","367","0.329756100503619","0.302920949543696","0.356591251463542"
"No worries","2000","higher education","Urban Area","1076","0.420189247399211","0.401281975495762","0.43909651930266"
"No worries","2000","higher vocational","Rural Area","117","0.166338784651634","0.1383293228194","0.194348246483868"
"No worries","2000","higher vocational","Urban Area","308","0.279040466769062","0.253620701230012","0.304460232308113"
"No worries","2000","in school","Rural Area","60","0.331273006252415","0.260933175481649","0.401612837023182"
"No worries","2000","in school","Urban Area","122","0.384269971093804","0.330723377140186","0.437816565047422"
"No worries","2000","inadequately","Rural Area","29","","",""
"No worries","2000","inadequately","Urban Area","118","0.375898157779566","0.32249494557604","0.429301369983093"
"No worries","2000","middle vocational","Rural Area","750","0.159794121071112","0.149348637592205","0.170239604550019"
"No worries","2000","middle vocational","Urban Area","1677","0.212202559602427","0.203249732190463","0.22115538701439"
"No worries","2000","vocational + Abi","Rural Area","63","0.242613397363032","0.189582688877327","0.295644105848737"
"No worries","2000","vocational + Abi","Urban Area","304","0.371440204638833","0.339332724761172","0.403547684516494"
"Some worries","2000","general elemantary","Rural Area","533","0.482220985847308","0.453086715578808","0.511355256115808"
"Some worries","2000","general elemantary","Urban Area","1021","0.428822951754388","0.409022875857013","0.448623027651763"
"Some worries","2000","higher education","Rural Area","558","0.455740743697254","0.427312303686177","0.484169183708331"
"Some worries","2000","higher education","Urban Area","1101","0.409558265894488","0.390721356831091","0.428395174957885"
"Some worries","2000","higher vocational","Rural Area","327","0.494459100326308","0.456853152469267","0.532065048183348"
"Some worries","2000","higher vocational","Urban Area","539","0.43541440028606","0.407314887245848","0.463513913326272"
"Some worries","2000","in school","Rural Area","85","0.503367927129462","0.428646695916569","0.578089158342354"
"Some worries","2000","in school","Urban Area","139","0.444764617420002","0.390060232160131","0.499469002679874"
"Some worries","2000","inadequately","Rural Area","28","","",""
"Some worries","2000","inadequately","Urban Area","127","0.377736484786712","0.324281749163846","0.431191220409578"
"Some worries","2000","middle vocational","Rural Area","2246","0.475509123893275","0.461272609027193","0.489745638759357"
"Some worries","2000","middle vocational","Urban Area","3754","0.456885767034479","0.445978221684393","0.467793312384565"
"Some worries","2000","vocational + Abi","Rural Area","126","0.541544211913448","0.479902183750825","0.60318624007607"
"Some worries","2000","vocational + Abi","Urban Area","395","0.442555772841566","0.409551271082412","0.475560274600719"
"Big worries","2001","general elemantary","Rural Area","269","0.291378152489788","0.262928902942322","0.319827402037255"
"Big worries","2001","general elemantary","Urban Area","517","0.256728533923097","0.23803206136147","0.275425006484723"
"Big worries","2001","higher education","Rural Area","200","0.176023970852551","0.15341514348628","0.198632798218823"
"Big worries","2001","higher education","Urban Area","322","0.130412886787526","0.117059139311279","0.143766634263774"
"Big worries","2001","higher vocational","Rural Area","164","0.279664917451142","0.243631019903976","0.315698814998308"
"Big worries","2001","higher vocational","Urban Area","262","0.248424903978673","0.222606718814453","0.274243089142892"
"Big worries","2001","in school","Rural Area","27","","",""
"Big worries","2001","in school","Urban Area","52","0.150872171891966","0.113586878211674","0.188157465572257"
"Big worries","2001","inadequately","Rural Area","10","","",""
"Big worries","2001","inadequately","Urban Area","45","0.232620555257755","0.179278628997419","0.28596248151809"
"Big worries","2001","middle vocational","Rural Area","1337","0.311322156438184","0.297448529305248","0.325195783571121"
"Big worries","2001","middle vocational","Urban Area","1919","0.258951487235921","0.248877701762459","0.269025272709382"
"Big worries","2001","vocational + Abi","Rural Area","56","0.241456962999864","0.186505392303605","0.296408533696124"
"Big worries","2001","vocational + Abi","Urban Area","145","0.171906762277765","0.146300206630291","0.197513317925239"
"No worries","2001","general elemantary","Rural Area","230","0.214155715124343","0.188471391281803","0.239840038966883"
"No worries","2001","general elemantary","Urban Area","634","0.295101201923056","0.275580395717109","0.314622008129003"
"No worries","2001","higher education","Rural Area","376","0.352554516249781","0.324191684667336","0.380917347832227"
"No worries","2001","higher education","Urban Area","1112","0.45357984296946","0.433838504866706","0.473321181072214"
"No worries","2001","higher vocational","Rural Area","125","0.233279737085371","0.199326441036579","0.267233033134164"
"No worries","2001","higher vocational","Urban Area","286","0.274759788191875","0.248087548836133","0.301432027547618"
"No worries","2001","in school","Rural Area","71","0.352333550690709","0.284229978972481","0.420437122408937"
"No worries","2001","in school","Urban Area","160","0.456345284490807","0.404458731096978","0.508231837884636"
"No worries","2001","inadequately","Rural Area","19","","",""
"No worries","2001","inadequately","Urban Area","82","0.327686825862483","0.268427750433467","0.386945901291499"
"No worries","2001","middle vocational","Rural Area","798","0.186296239982274","0.174630503712632","0.197961976251917"
"No worries","2001","middle vocational","Urban Area","1829","0.256337116586691","0.246296648183821","0.266377584989562"
"No worries","2001","vocational + Abi","Rural Area","67","0.271011073773833","0.2139389393951","0.328083208152566"
"No worries","2001","vocational + Abi","Urban Area","319","0.387694668378729","0.354627728899228","0.42076160785823"
"Some worries","2001","general elemantary","Rural Area","481","0.494466132385869","0.463163673306512","0.525768591465225"
"Some worries","2001","general elemantary","Urban Area","946","0.448170264153847","0.426885298960264","0.469455229347431"
"Some worries","2001","higher education","Rural Area","514","0.471421512897667","0.441787239552499","0.501055786242836"
"Some worries","2001","higher education","Urban Area","1009","0.416007270243014","0.396462051374054","0.435552489111974"
"Some worries","2001","higher vocational","Rural Area","307","0.487055345463487","0.446927173827848","0.527183517099125"
"Some worries","2001","higher vocational","Urban Area","528","0.476815307829452","0.446972164519743","0.506658451139161"
"Some worries","2001","in school","Rural Area","91","0.51853301873808","0.447298802306794","0.589767235169367"
"Some worries","2001","in school","Urban Area","142","0.392782543617227","0.341908685639541","0.443656401594914"
"Some worries","2001","inadequately","Rural Area","37","0.494638695670059","0.374018185838179","0.61525920550194"
"Some worries","2001","inadequately","Urban Area","114","0.439692618879762","0.37702728915489","0.502357948604635"
"Some worries","2001","middle vocational","Rural Area","2144","0.502381603579541","0.487400561448153","0.51736264571093"
"Some worries","2001","middle vocational","Urban Area","3516","0.484711396177388","0.473218564201018","0.496204228153758"
"Some worries","2001","vocational + Abi","Rural Area","110","0.487531963226303","0.423351171675794","0.551712754776812"
"Some worries","2001","vocational + Abi","Urban Area","370","0.440398569343506","0.406706520354035","0.474090618332977"
"Big worries","2002","general elemantary","Rural Area","284","0.31560548908929","0.285863349700069","0.345347628478511"
"Big worries","2002","general elemantary","Urban Area","544","0.29849898670937","0.278199092889948","0.318798880528793"
"Big worries","2002","higher education","Rural Area","265","0.217170089030743","0.194790969001991","0.239549209059495"
"Big worries","2002","higher education","Urban Area","478","0.151543851253193","0.139208324658634","0.163879377847752"
"Big worries","2002","higher vocational","Rural Area","191","0.350882279720741","0.313071569895699","0.388692989545783"
"Big worries","2002","higher vocational","Urban Area","294","0.279102123220415","0.252925598689407","0.305278647751423"
"Big worries","2002","in school","Rural Area","31","0.197875603365025","0.140310913607894","0.255440293122156"
"Big worries","2002","in school","Urban Area","69","0.151295141300545","0.117106432402827","0.185483850198263"
"Big worries","2002","inadequately","Rural Area","10","","",""
"Big worries","2002","inadequately","Urban Area","48","0.306829815084328","0.244896118006643","0.368763512162014"
"Big worries","2002","middle vocational","Rural Area","1451","0.355016477848021","0.340510115697103","0.36952283999894"
"Big worries","2002","middle vocational","Urban Area","2268","0.328747163248597","0.318030377153034","0.339463949344161"
"Big worries","2002","vocational + Abi","Rural Area","67","0.28386867003426","0.229583622481782","0.338153717586739"
"Big worries","2002","vocational + Abi","Urban Area","155","0.163293632015076","0.139158101068846","0.187429162961307"
"No worries","2002","general elemantary","Rural Area","178","0.168800797538862","0.144829779547689","0.192771815530035"
"No worries","2002","general elemantary","Urban Area","504","0.233850102847754","0.215072772761697","0.25262743293381"
"No worries","2002","higher education","Rural Area","408","0.280683069264452","0.256294992967483","0.30507114556142"
"No worries","2002","higher education","Urban Area","1365","0.410240905936728","0.39331972623138","0.427162085642075"
"No worries","2002","higher vocational","Rural Area","110","0.153281938360177","0.124739748954037","0.181824127766317"
"No worries","2002","higher vocational","Urban Area","291","0.263812725187383","0.238094821566819","0.289530628807947"
"No worries","2002","in school","Rural Area","72","0.408789285903661","0.337756298530694","0.479822273276628"
"No worries","2002","in school","Urban Area","176","0.378936400245794","0.332651102031063","0.425221698460525"
"No worries","2002","inadequately","Rural Area","27","","",""
"No worries","2002","inadequately","Urban Area","67","0.321250095218322","0.258540382290539","0.383959808146104"
"No worries","2002","middle vocational","Rural Area","649","0.154044370903997","0.143100860404928","0.164987881403066"
"No worries","2002","middle vocational","Urban Area","1582","0.203576675544309","0.194390674666387","0.212762676422231"
"No worries","2002","vocational + Abi","Rural Area","81","0.294420038651047","0.239544100764805","0.34929597653729"
"No worries","2002","vocational + Abi","Urban Area","315","0.37905951215306","0.347381028548876","0.410737995757243"
"Some worries","2002","general elemantary","Rural Area","476","0.515593713371848","0.48361173215298","0.547575694590715"
"Some worries","2002","general elemantary","Urban Area","904","0.467650910442876","0.445516531834574","0.489785289051179"
"Some worries","2002","higher education","Rural Area","631","0.502146841704805","0.475009000533543","0.529284682876067"
"Some worries","2002","higher education","Urban Area","1403","0.438215242810079","0.421146460132427","0.455284025487731"
"Some worries","2002","higher vocational","Rural Area","311","0.495835781919082","0.456223731622957","0.535447832215207"
"Some worries","2002","higher vocational","Urban Area","543","0.457085151592202","0.428014286368054","0.486156016816349"
"Some worries","2002","in school","Rural Area","81","0.393335110731314","0.322752947040512","0.463917274422116"
"Some worries","2002","in school","Urban Area","177","0.469768458453661","0.422150960503662","0.51738595640366"
"Some worries","2002","inadequately","Rural Area","24","","",""
"Some worries","2002","inadequately","Urban Area","98","0.37192008969735","0.307013235727288","0.436826943667412"
"Some worries","2002","middle vocational","Rural Area","2080","0.490939151247982","0.475784057316018","0.506094245179946"
"Some worries","2002","middle vocational","Urban Area","3531","0.467676161207094","0.456293309901841","0.479059012512347"
"Some worries","2002","vocational + Abi","Rural Area","117","0.421711291314692","0.362253999340539","0.481168583288846"
"Some worries","2002","vocational + Abi","Urban Area","431","0.457646855831864","0.425116259983602","0.490177451680126"
"Big worries","2003","general elemantary","Rural Area","266","0.326077361025916","0.295105157702024","0.357049564349807"
"Big worries","2003","general elemantary","Urban Area","473","0.278603640992242","0.258124979668872","0.299082302315611"
"Big worries","2003","higher education","Rural Area","210","0.178992690667322","0.157698821794132","0.200286559540513"
"Big worries","2003","higher education","Urban Area","424","0.147277819342493","0.13479680331614","0.159758835368846"
"Big worries","2003","higher vocational","Rural Area","188","0.332563159044164","0.295021577921666","0.370104740166662"
"Big worries","2003","higher vocational","Urban Area","275","0.266057564153356","0.239739577188082","0.292375551118629"
"Big worries","2003","in school","Rural Area","29","","",""
"Big worries","2003","in school","Urban Area","60","0.180656900163158","0.143949633832212","0.217364166494103"
"Big worries","2003","inadequately","Rural Area","12","","",""
"Big worries","2003","inadequately","Urban Area","52","0.282352474460065","0.220122237134666","0.344582711785465"
"Big worries","2003","middle vocational","Rural Area","1246","0.31575973479369","0.301304466420413","0.330215003166967"
"Big worries","2003","middle vocational","Urban Area","2034","0.307262255548269","0.296548908630754","0.317975602465785"
"Big worries","2003","vocational + Abi","Rural Area","60","0.226155879199941","0.175976747133729","0.276335011266153"
"Big worries","2003","vocational + Abi","Urban Area","156","0.190261451943599","0.16444542422126","0.216077479665939"
"No worries","2003","general elemantary","Rural Area","185","0.185170820105354","0.159506703694972","0.210834936515736"
"No worries","2003","general elemantary","Urban Area","499","0.246700701663213","0.227008686089208","0.266392717237219"
"No worries","2003","higher education","Rural Area","423","0.310601451463797","0.284897473625375","0.33630542930222"
"No worries","2003","higher education","Urban Area","1359","0.418651891024564","0.401276997613826","0.436026784435302"
"No worries","2003","higher vocational","Rural Area","124","0.209879253325031","0.17743021042034","0.242328296229721"
"No worries","2003","higher vocational","Urban Area","282","0.267070443378528","0.240720608729321","0.293420278027735"
"No worries","2003","in school","Rural Area","86","0.432609983573477","0.362712981291743","0.50250698585521"
"No worries","2003","in school","Urban Area","192","0.401841758355312","0.355065288437339","0.448618228273286"
"No worries","2003","inadequately","Rural Area","22","","",""
"No worries","2003","inadequately","Urban Area","73","0.366781689035724","0.300157702172137","0.433405675899311"
"No worries","2003","middle vocational","Rural Area","698","0.167484447143236","0.155871916021108","0.179096978265364"
"No worries","2003","middle vocational","Urban Area","1785","0.238978966832813","0.229076023241635","0.24888191042399"
"No worries","2003","vocational + Abi","Rural Area","69","0.269532190944206","0.216309316999105","0.322755064889307"
"No worries","2003","vocational + Abi","Urban Area","324","0.357444664132429","0.325923569957456","0.388965758307402"
"Some worries","2003","general elemantary","Rural Area","429","0.48875181886873","0.455724993034219","0.521778644703242"
"Some worries","2003","general elemantary","Urban Area","869","0.474695657344545","0.451885182730983","0.497506131958107"
"Some worries","2003","higher education","Rural Area","612","0.51040585786888","0.482638193787928","0.538173521949833"
"Some worries","2003","higher education","Urban Area","1314","0.434070289632943","0.416614529476297","0.451526049789589"
"Some worries","2003","higher vocational","Rural Area","293","0.457557587630806","0.417859452670708","0.497255722590903"
"Some worries","2003","higher vocational","Urban Area","526","0.466871992468116","0.437158854282948","0.496585130653284"
"Some worries","2003","in school","Rural Area","78","0.381414776458965","0.312886791084414","0.449942761833515"
"Some worries","2003","in school","Urban Area","170","0.41750134148153","0.370450405425199","0.464552277537861"
"Some worries","2003","inadequately","Rural Area","24","","",""
"Some worries","2003","inadequately","Urban Area","76","0.350865836504211","0.284889554603817","0.416842118404604"
"Some worries","2003","middle vocational","Rural Area","2028","0.516755818063074","0.501215157469649","0.5322964786565"
"Some worries","2003","middle vocational","Urban Area","3305","0.453758777618918","0.442197897683316","0.46531965755452"
"Some worries","2003","vocational + Abi","Rural Area","138","0.504311929855854","0.444340236098051","0.564283623613657"
"Some worries","2003","vocational + Abi","Urban Area","408","0.452293883923972","0.419557872696568","0.485029895151376"
"Big worries","2004","general elemantary","Rural Area","281","0.342122167120882","0.309904890645105","0.374339443596659"
"Big worries","2004","general elemantary","Urban Area","552","0.343188630332769","0.320764361351724","0.365612899313815"
"Big worries","2004","higher education","Rural Area","285","0.276573906925394","0.251727356482928","0.301420457367859"
"Big worries","2004","higher education","Urban Area","592","0.222261637371417","0.207506366491235","0.237016908251599"
"Big worries","2004","higher vocational","Rural Area","200","0.355583936291476","0.316925463858863","0.394242408724089"
"Big worries","2004","higher vocational","Urban Area","326","0.334389498929603","0.305840114756402","0.362938883102804"
"Big worries","2004","in school","Rural Area","41","0.20130868394039","0.14459103597119","0.25802633190959"
"Big worries","2004","in school","Urban Area","79","0.214852683589274","0.176562899014281","0.253142468164268"
"Big worries","2004","inadequately","Rural Area","17","","",""
"Big worries","2004","inadequately","Urban Area","47","0.342109850296501","0.2733742028845","0.410845497708502"
"Big worries","2004","middle vocational","Rural Area","1443","0.368076478594762","0.35291302990481","0.383239927284714"
"Big worries","2004","middle vocational","Urban Area","2477","0.377079885910512","0.365636057408773","0.388523714412252"
"Big worries","2004","vocational + Abi","Rural Area","66","0.275428479280134","0.221642360548212","0.329214598012056"
"Big worries","2004","vocational + Abi","Urban Area","210","0.23510619410858","0.207261538766529","0.262950849450633"
"No worries","2004","general elemantary","Rural Area","179","0.196071936824134","0.169110570059795","0.223033303588473"
"No worries","2004","general elemantary","Urban Area","398","0.219386117441899","0.199840282637639","0.23893195224616"
"No worries","2004","higher education","Rural Area","355","0.271636097200539","0.246928451591035","0.296343742810043"
"No worries","2004","higher education","Urban Area","1113","0.362352835342802","0.345293809788484","0.37941186089712"
"No worries","2004","higher vocational","Rural Area","114","0.173592236116162","0.143004116017617","0.204180356214707"
"No worries","2004","higher vocational","Urban Area","231","0.205357787382236","0.180912128290687","0.229803446473785"
"No worries","2004","in school","Rural Area","71","0.338256310148404","0.271334861345369","0.405177758951439"
"No worries","2004","in school","Urban Area","169","0.365546058509778","0.320650016164726","0.41044210085483"
"No worries","2004","inadequately","Rural Area","24","","",""
"No worries","2004","inadequately","Urban Area","61","0.296237488509867","0.23008356311835","0.362391413901384"
"No worries","2004","middle vocational","Rural Area","634","0.157311951248022","0.145864442892338","0.168759459603705"
"No worries","2004","middle vocational","Urban Area","1337","0.187425148608187","0.178210387077966","0.196639910138408"
"No worries","2004","vocational + Abi","Rural Area","72","0.254598163788445","0.202147858937812","0.307048468639077"
"No worries","2004","vocational + Abi","Urban Area","255","0.312889591742707","0.282444445752782","0.343334737732632"
"Some worries","2004","general elemantary","Rural Area","373","0.461805896054984","0.427950741961555","0.495661050148413"
"Some worries","2004","general elemantary","Urban Area","772","0.437425252225332","0.413995183634163","0.4608553208165"
"Some worries","2004","higher education","Rural Area","605","0.451789995874067","0.424145721256709","0.479434270491425"
"Some worries","2004","higher education","Urban Area","1345","0.415385527285781","0.397896782783085","0.432874271788477"
"Some worries","2004","higher vocational","Rural Area","275","0.470823827592362","0.430513177623143","0.511134477561581"
"Some worries","2004","higher vocational","Urban Area","492","0.46025271368816","0.430091156503423","0.490414270872898"
"Some worries","2004","in school","Rural Area","80","0.460435005911206","0.389932666679765","0.530937345142647"
"Some worries","2004","in school","Urban Area","194","0.419601257900948","0.373594823230729","0.465607692571166"
"Some worries","2004","inadequately","Rural Area","17","","",""
"Some worries","2004","inadequately","Urban Area","75","0.361652661193632","0.292038610552841","0.431266711834422"
"Some worries","2004","middle vocational","Rural Area","1809","0.474611570157216","0.458911336862241","0.490311803452191"
"Some worries","2004","middle vocational","Urban Area","3076","0.435494965481301","0.423787471068579","0.447202459894022"
"Some worries","2004","vocational + Abi","Rural Area","127","0.469973356931421","0.40988219195708","0.530064521905763"
"Some worries","2004","vocational + Abi","Urban Area","426","0.452004214148712","0.419325189171115","0.484683239126309"
"Big worries","2005","general elemantary","Rural Area","334","0.461455138741343","0.426059782166697","0.496850495315989"
"Big worries","2005","general elemantary","Urban Area","619","0.404969102641738","0.381087166395914","0.428851038887563"
"Big worries","2005","higher education","Rural Area","334","0.287715088827082","0.262015974596532","0.313414203057633"
"Big worries","2005","higher education","Urban Area","670","0.217286449436028","0.202434847107825","0.23213805176423"
"Big worries","2005","higher vocational","Rural Area","237","0.44743941960457","0.406257067391993","0.488621771817146"
"Big worries","2005","higher vocational","Urban Area","386","0.37914434620259","0.349058449561226","0.409230242843954"
"Big worries","2005","in school","Rural Area","39","0.260733282863255","0.199734612806998","0.321731952919513"
"Big worries","2005","in school","Urban Area","86","0.218420229411764","0.180074787585496","0.256765671238032"
"Big worries","2005","inadequately","Rural Area","19","","",""
"Big worries","2005","inadequately","Urban Area","56","0.317235511014208","0.248865688838796","0.385605333189619"
"Big worries","2005","middle vocational","Rural Area","1723","0.47788204354149","0.461787009489817","0.493977077593162"
"Big worries","2005","middle vocational","Urban Area","2766","0.442534635710234","0.43049237921121","0.454576892209259"
"Big worries","2005","vocational + Abi","Rural Area","75","0.303898654990374","0.248522119768525","0.359275190212224"
"Big worries","2005","vocational + Abi","Urban Area","245","0.262855915603598","0.233555511351837","0.292156319855359"
"No worries","2005","general elemantary","Rural Area","121","0.151602671206073","0.12613884401258","0.177066498399566"
"No worries","2005","general elemantary","Urban Area","318","0.184594177681306","0.165719274414669","0.203469080947943"
"No worries","2005","higher education","Rural Area","291","0.2483693760954","0.223841427931935","0.272897324258865"
"No worries","2005","higher education","Urban Area","917","0.308818192382435","0.292180114550992","0.325456270213877"
"No worries","2005","higher vocational","Rural Area","84","0.137908082992871","0.109350218741027","0.166465947244716"
"No worries","2005","higher vocational","Urban Area","160","0.147865645103926","0.125853973469003","0.169877316738849"
"No worries","2005","in school","Rural Area","68","0.326792636671464","0.261624978791899","0.391960294551029"
"No worries","2005","in school","Urban Area","157","0.322840759792883","0.279447702822901","0.366233816762865"
"No worries","2005","inadequately","Rural Area","13","","",""
"No worries","2005","inadequately","Urban Area","47","0.280971017844965","0.214940903364295","0.347001132325634"
"No worries","2005","middle vocational","Rural Area","430","0.117047165773809","0.106688676218906","0.127405655328712"
"No worries","2005","middle vocational","Urban Area","1024","0.15373908266632","0.1449938860119","0.162484279320741"
"No worries","2005","vocational + Abi","Rural Area","58","0.19934975764733","0.151248721705422","0.247450793589237"
"No worries","2005","vocational + Abi","Urban Area","218","0.285423353158578","0.255362056898054","0.315484649419102"
"Some worries","2005","general elemantary","Rural Area","307","0.386942190052584","0.352360647408947","0.421523732696221"
"Some worries","2005","general elemantary","Urban Area","686","0.410436719676956","0.386504821389762","0.434368617964149"
"Some worries","2005","higher education","Rural Area","567","0.463915535077517","0.435605133335156","0.492225936819879"
"Some worries","2005","higher education","Urban Area","1375","0.473895358181538","0.455913570804048","0.491877145559028"
"Some worries","2005","higher vocational","Rural Area","239","0.414652497402559","0.373848462994383","0.455456531810735"
"Some worries","2005","higher vocational","Urban Area","453","0.472990008693484","0.442030022752679","0.503949994634289"
"Some worries","2005","in school","Rural Area","92","0.412474080465281","0.344077655856547","0.480870505074015"
"Some worries","2005","in school","Urban Area","203","0.458739010795353","0.412493789499811","0.504984232090894"
"Some worries","2005","inadequately","Rural Area","24","","",""
"Some worries","2005","inadequately","Urban Area","75","0.401793471140827","0.329771483632321","0.473815458649333"
"Some worries","2005","middle vocational","Rural Area","1547","0.405070790684701","0.38925301767909","0.420888563690312"
"Some worries","2005","middle vocational","Urban Area","2745","0.403726281623445","0.39183053679247","0.41562202645442"
"Some worries","2005","vocational + Abi","Rural Area","132","0.496751587362296","0.436553042611169","0.556950132113424"
"Some worries","2005","vocational + Abi","Urban Area","404","0.451720731237824","0.418594314126762","0.484847148348885"
"Big worries","2006","general elemantary","Rural Area","280","0.366726827941595","0.333922003967827","0.399531651915362"
"Big worries","2006","general elemantary","Urban Area","564","0.355209208509486","0.331983304235796","0.378435112783176"
"Big worries","2006","higher education","Rural Area","308","0.253732301398481","0.230204268988467","0.277260333808495"
"Big worries","2006","higher education","Urban Area","660","0.205909282090319","0.192022160637041","0.219796403543596"
"Big worries","2006","higher vocational","Rural Area","222","0.396600460842423","0.357716061407518","0.435484860277328"
"Big worries","2006","higher vocational","Urban Area","346","0.339465452536315","0.310686367578671","0.368244537493959"
"Big worries","2006","in school","Rural Area","19","","",""
"Big worries","2006","in school","Urban Area","55","0.21050272424206","0.162320602310983","0.258684846173137"
"Big worries","2006","inadequately","Rural Area","20","","",""
"Big worries","2006","inadequately","Urban Area","44","0.27214719795836","0.204846872743466","0.339447523173254"
"Big worries","2006","middle vocational","Rural Area","1633","0.414083370324927","0.398868333328051","0.429298407321803"
"Big worries","2006","middle vocational","Urban Area","2670","0.390375054503027","0.378954361570261","0.401795747435793"
