"pli0095_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1990","Full Time","Female","","","",""
"Min 1x per week","1990","Part Time","Male","","","",""
"Min 1x per week","1990","Part Time","Female","","","",""
"Min 1x per week","1990","Not Working","Male","","","",""
"Min 1x per week","1990","Not Working","Female","","","",""
"Min 1x per month","1990","Full Time","Male","","","",""
"Min 1x per month","1990","Full Time","Female","","","",""
"Min 1x per month","1990","Part Time","Male","","","",""
"Min 1x per month","1990","Part Time","Female","","","",""
"Min 1x per month","1990","Not Working","Male","","","",""
"Min 1x per month","1990","Not Working","Female","","","",""
"Rarely","1990","Full Time","Male","","","",""
"Rarely","1990","Full Time","Female","","","",""
"Rarely","1990","Part Time","Male","","","",""
"Rarely","1990","Part Time","Female","","","",""
"Rarely","1990","Not Working","Male","","","",""
"Rarely","1990","Not Working","Female","","","",""
"Never","1990","Full Time","Male","","","",""
"Never","1990","Full Time","Female","","","",""
"Never","1990","Part Time","Male","","","",""
"Never","1990","Part Time","Female","","","",""
"Never","1990","Not Working","Male","","","",""
"Never","1990","Not Working","Female","","","",""
"Min 1x per week","1991","Full Time","Male","","","",""
"Min 1x per week","1991","Full Time","Female","","","",""
"Min 1x per week","1991","Part Time","Male","","","",""
"Min 1x per week","1991","Part Time","Female","","","",""
"Min 1x per week","1991","Not Working","Male","","","",""
"Min 1x per week","1991","Not Working","Female","","","",""
"Min 1x per month","1991","Full Time","Male","","","",""
"Min 1x per month","1991","Full Time","Female","","","",""
"Min 1x per month","1991","Part Time","Male","","","",""
"Min 1x per month","1991","Part Time","Female","","","",""
"Min 1x per month","1991","Not Working","Male","","","",""
"Min 1x per month","1991","Not Working","Female","","","",""
"Rarely","1991","Full Time","Male","","","",""
"Rarely","1991","Full Time","Female","","","",""
"Rarely","1991","Part Time","Male","","","",""
"Rarely","1991","Part Time","Female","","","",""
"Rarely","1991","Not Working","Male","","","",""
"Rarely","1991","Not Working","Female","","","",""
"Never","1991","Full Time","Male","","","",""
"Never","1991","Full Time","Female","","","",""
"Never","1991","Part Time","Male","","","",""
"Never","1991","Part Time","Female","","","",""
"Never","1991","Not Working","Male","","","",""
"Never","1991","Not Working","Female","","","",""
"Min 1x per week","1992","Full Time","Male","374","0.0766636940436958","0.06872806059608","0.0845993274913116"
"Min 1x per week","1992","Full Time","Female","179","0.0734548895314714","0.0626633462323579","0.0842464328305849"
"Min 1x per week","1992","Part Time","Male","83","0.094813034545324","0.0740125345529153","0.115613534537733"
"Min 1x per week","1992","Part Time","Female","152","0.0767964309840738","0.0641982249899245","0.0893946369782232"
"Min 1x per week","1992","Not Working","Male","129","0.0911916695831217","0.0758916364961805","0.106491702670063"
"Min 1x per week","1992","Not Working","Female","361","0.121901071735927","0.109899986501443","0.133902156970411"
"Min 1x per month","1992","Full Time","Male","1377","0.305293184277112","0.291557000069854","0.31902936848437"
"Min 1x per month","1992","Full Time","Female","578","0.253576312985105","0.2355798579259","0.27157276804431"
"Min 1x per month","1992","Part Time","Male","265","0.342662385550323","0.30896485586623","0.376359915234416"
"Min 1x per month","1992","Part Time","Female","449","0.270584379408973","0.249564591007224","0.291604167810721"
"Min 1x per month","1992","Not Working","Male","346","0.226901443314774","0.204641979580188","0.24916090704936"
"Min 1x per month","1992","Not Working","Female","657","0.198245886834865","0.183621834730243","0.212869938939486"
"Rarely","1992","Full Time","Male","2212","0.536037599486935","0.521162982481923","0.550912216491947"
"Rarely","1992","Full Time","Female","1237","0.559367675887633","0.538831159406392","0.579904192368874"
"Rarely","1992","Part Time","Male","347","0.474069651078666","0.438616421868922","0.509522880288411"
"Rarely","1992","Part Time","Female","951","0.560765644213419","0.537284011026986","0.584247277399851"
"Rarely","1992","Not Working","Male","546","0.376437726353259","0.350688444349692","0.402187008356826"
"Rarely","1992","Not Working","Female","1172","0.382664946851062","0.364836445255532","0.400493448446593"
"Never","1992","Full Time","Male","355","0.0820055221922575","0.0738218475355887","0.0901891968489262"
"Never","1992","Full Time","Female","251","0.113601121595791","0.100474715776302","0.12672752741528"
"Never","1992","Part Time","Male","67","0.0884549288256865","0.0682935282898707","0.108616329361502"
"Never","1992","Part Time","Female","164","0.0918535453935347","0.0781883653776935","0.105518725409376"
"Never","1992","Not Working","Male","339","0.305469160748845","0.280989348086944","0.329948973410746"
"Never","1992","Not Working","Female","665","0.297188094578146","0.280423992627248","0.313952196529043"
"Min 1x per week","1993","Full Time","Male","","","",""
"Min 1x per week","1993","Full Time","Female","","","",""
"Min 1x per week","1993","Part Time","Male","","","",""
"Min 1x per week","1993","Part Time","Female","","","",""
"Min 1x per week","1993","Not Working","Male","","","",""
"Min 1x per week","1993","Not Working","Female","","","",""
"Min 1x per month","1993","Full Time","Male","","","",""
"Min 1x per month","1993","Full Time","Female","","","",""
"Min 1x per month","1993","Part Time","Male","","","",""
"Min 1x per month","1993","Part Time","Female","","","",""
"Min 1x per month","1993","Not Working","Male","","","",""
"Min 1x per month","1993","Not Working","Female","","","",""
"Rarely","1993","Full Time","Male","","","",""
"Rarely","1993","Full Time","Female","","","",""
"Rarely","1993","Part Time","Male","","","",""
"Rarely","1993","Part Time","Female","","","",""
"Rarely","1993","Not Working","Male","","","",""
"Rarely","1993","Not Working","Female","","","",""
