"pli0095_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1985","Baden-Württemberg","Female","231","0.221860766935347","0.196337097383784","0.24738443648691"
"Min 1x per month","1985","Bavaria","Male","239","0.239607591186398","0.211782727293926","0.267432455078871"
"Min 1x per month","1985","Bavaria","Female","201","0.183965954855186","0.159867103924797","0.208064805785575"
"Min 1x per month","1985","Berlin","Male","60","0.303942941627246","0.23618192550471","0.371703957749782"
"Min 1x per month","1985","Berlin","Female","56","0.250794754829645","0.189159255341687","0.312430254317602"
"Min 1x per month","1985","Brandenburg","Male","","","",""
"Min 1x per month","1985","Brandenburg","Female","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Male","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Female","","","",""
"Min 1x per month","1985","Saxony","Male","","","",""
"Min 1x per month","1985","Saxony","Female","","","",""
"Min 1x per month","1985","Saxony-Anhalt","Male","","","",""
"Min 1x per month","1985","Saxony-Anhalt","Female","","","",""
"Min 1x per month","1985","Thuringia","Male","","","",""
"Min 1x per month","1985","Thuringia","Female","","","",""
"Rarely","1985","Schleswig-Holstein","Male","89","0.546797148296639","0.471965886595047","0.621628409998231"
"Rarely","1985","Schleswig-Holstein","Female","104","0.517707641039791","0.445112111887488","0.590303170192094"
"Rarely","1985","Hamburg","Male","53","0.44045720848656","0.35762923011691","0.523285186856211"
"Rarely","1985","Hamburg","Female","60","0.463487800828435","0.380288916528979","0.546686685127892"
"Rarely","1985","Lower Saxony","Male","257","0.47926369033202","0.436772683221859","0.521754697442181"
"Rarely","1985","Lower Saxony","Female","294","0.507866637026542","0.466348606930979","0.549384667122105"
"Rarely","1985","Bremen","Male","24","","",""
"Rarely","1985","Bremen","Female","28","","",""
"Rarely","1985","North Rhine-Westphalia","Male","652","0.461052483157903","0.435483109870499","0.486621856445306"
"Rarely","1985","North Rhine-Westphalia","Female","680","0.44096338410624","0.415719273294663","0.466207494917818"
"Rarely","1985","Hesse","Male","219","0.405390272070108","0.364835070891787","0.44594547324843"
"Rarely","1985","Hesse","Female","242","0.424795243793801","0.383781251210943","0.46580923637666"
"Rarely","1985","Rhineland-Palatinate,Saarland","Male","143","0.401321236848093","0.351842293856173","0.450800179840012"
"Rarely","1985","Rhineland-Palatinate,Saarland","Female","153","0.407780193152151","0.358435536553136","0.457124849751166"
"Rarely","1985","Baden-Württemberg","Male","430","0.463769965387745","0.433255814592282","0.494284116183209"
"Rarely","1985","Baden-Württemberg","Female","429","0.427856809650654","0.397463654089269","0.45824996521204"
"Rarely","1985","Bavaria","Male","425","0.493593961352067","0.461002920351649","0.526185002352484"
"Rarely","1985","Bavaria","Female","420","0.42539396462035","0.394643320272531","0.456144608968168"
"Rarely","1985","Berlin","Male","78","0.411528697054256","0.339031007693634","0.484026386414877"
"Rarely","1985","Berlin","Female","72","0.335706552997607","0.268558846403589","0.402854259591624"
"Rarely","1985","Brandenburg","Male","","","",""
"Rarely","1985","Brandenburg","Female","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","Male","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","Female","","","",""
"Rarely","1985","Saxony","Male","","","",""
"Rarely","1985","Saxony","Female","","","",""
"Rarely","1985","Saxony-Anhalt","Male","","","",""
"Rarely","1985","Saxony-Anhalt","Female","","","",""
"Rarely","1985","Thuringia","Male","","","",""
"Rarely","1985","Thuringia","Female","","","",""
"Never","1985","Schleswig-Holstein","Male","17","","",""
"Never","1985","Schleswig-Holstein","Female","41","0.279815559992059","0.214597151811227","0.34503396817289"
"Never","1985","Hamburg","Male","28","","",""
"Never","1985","Hamburg","Female","31","0.230412675160065","0.160155500002035","0.300669850318094"
"Never","1985","Lower Saxony","Male","84","0.16988280569482","0.137942045534577","0.201823565855064"
"Never","1985","Lower Saxony","Female","100","0.203606825141661","0.170165735182207","0.237047915101114"
"Never","1985","Bremen","Male","12","","",""
"Never","1985","Bremen","Female","15","","",""
"Never","1985","North Rhine-Westphalia","Male","206","0.164922717390653","0.145886737437692","0.183958697343614"
"Never","1985","North Rhine-Westphalia","Female","293","0.23542242780549","0.213851273744166","0.256993581866814"
"Never","1985","Hesse","Male","76","0.159504432190711","0.129259822441774","0.189749041939648"
"Never","1985","Hesse","Female","100","0.221013649310571","0.18658615118011","0.255441147441033"
"Never","1985","Rhineland-Palatinate,Saarland","Male","66","0.198721522285053","0.158441323283029","0.239001721287077"
"Never","1985","Rhineland-Palatinate,Saarland","Female","76","0.216528510632091","0.175170966100752","0.257886055163429"
"Never","1985","Baden-Württemberg","Male","163","0.165822501027706","0.143064957780091","0.188580044275322"
"Never","1985","Baden-Württemberg","Female","222","0.233706069810337","0.207710048111698","0.259702091508976"
"Never","1985","Bavaria","Male","150","0.177776997889613","0.152854218633485","0.202699777145741"
"Never","1985","Bavaria","Female","245","0.277152476103095","0.249313311611216","0.304991640594974"
"Never","1985","Berlin","Male","30","0.219079343035719","0.158144509607209","0.28001417646423"
"Never","1985","Berlin","Female","49","0.343264937178387","0.27575291528304","0.410776959073735"
"Never","1985","Brandenburg","Male","","","",""
"Never","1985","Brandenburg","Female","","","",""
"Never","1985","Mecklenburg-Western Pomerania","Male","","","",""
"Never","1985","Mecklenburg-Western Pomerania","Female","","","",""
"Never","1985","Saxony","Male","","","",""
"Never","1985","Saxony","Female","","","",""
"Never","1985","Saxony-Anhalt","Male","","","",""
"Never","1985","Saxony-Anhalt","Female","","","",""
"Never","1985","Thuringia","Male","","","",""
"Never","1985","Thuringia","Female","","","",""
"Min 1x per week","1986","Schleswig-Holstein","Male","10","","",""
"Min 1x per week","1986","Schleswig-Holstein","Female","12","","",""
"Min 1x per week","1986","Hamburg","Male","6","","",""
"Min 1x per week","1986","Hamburg","Female","12","","",""
"Min 1x per week","1986","Lower Saxony","Male","30","0.0436053452604606","0.0263491364225099","0.0608615540984113"
"Min 1x per week","1986","Lower Saxony","Female","41","0.0786255754961438","0.0563927894469794","0.100858361545308"
"Min 1x per week","1986","Bremen","Male","3","","",""
"Min 1x per week","1986","Bremen","Female","4","","",""
"Min 1x per week","1986","North Rhine-Westphalia","Male","115","0.0719066089314824","0.0584748992505316","0.0853383186124331"
"Min 1x per week","1986","North Rhine-Westphalia","Female","122","0.0871626859823866","0.0725530775304946","0.101772294434279"
"Min 1x per week","1986","Hesse","Male","59","0.0896694921136873","0.065253345583239","0.114085638644136"
"Min 1x per week","1986","Hesse","Female","64","0.100357502778665","0.0746057288638475","0.126109276693482"
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","Male","21","","",""
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","Female","28","","",""
"Min 1x per week","1986","Baden-Württemberg","Male","98","0.0810720800830343","0.0642473194317617","0.0978968407343068"
"Min 1x per week","1986","Baden-Württemberg","Female","97","0.103726452834325","0.0846755485783684","0.122777357090281"
"Min 1x per week","1986","Bavaria","Male","74","0.0756697797416109","0.0578695758926656","0.0934699835905563"
"Min 1x per week","1986","Bavaria","Female","94","0.090428375580711","0.0719364165831885","0.108920334578233"
"Min 1x per week","1986","Berlin","Male","13","","",""
"Min 1x per week","1986","Berlin","Female","10","","",""
"Min 1x per week","1986","Brandenburg","Male","","","",""
"Min 1x per week","1986","Brandenburg","Female","","","",""
"Min 1x per week","1986","Mecklenburg-Western Pomerania","Male","","","",""
"Min 1x per week","1986","Mecklenburg-Western Pomerania","Female","","","",""
"Min 1x per week","1986","Saxony","Male","","","",""
"Min 1x per week","1986","Saxony","Female","","","",""
"Min 1x per week","1986","Saxony-Anhalt","Male","","","",""
"Min 1x per week","1986","Saxony-Anhalt","Female","","","",""
"Min 1x per week","1986","Thuringia","Male","","","",""
"Min 1x per week","1986","Thuringia","Female","","","",""
"Min 1x per month","1986","Schleswig-Holstein","Male","29","","",""
"Min 1x per month","1986","Schleswig-Holstein","Female","25","","",""
"Min 1x per month","1986","Hamburg","Male","38","0.252473543073064","0.176917805073702","0.328029281072427"
"Min 1x per month","1986","Hamburg","Female","34","0.167297313988999","0.102383713628841","0.232210914349158"
"Min 1x per month","1986","Lower Saxony","Male","125","0.22409087398899","0.188855858368166","0.259325889609815"
"Min 1x per month","1986","Lower Saxony","Female","90","0.143428107231149","0.114475149456191","0.172381065006108"
"Min 1x per month","1986","Bremen","Male","12","","",""
"Min 1x per month","1986","Bremen","Female","14","","",""
"Min 1x per month","1986","North Rhine-Westphalia","Male","376","0.238287674322331","0.216136470514091","0.260438878130571"
"Min 1x per month","1986","North Rhine-Westphalia","Female","283","0.173162131572537","0.153564065252549","0.192760197892525"
"Min 1x per month","1986","Hesse","Male","152","0.255851925200819","0.218563053303133","0.293140797098506"
"Min 1x per month","1986","Hesse","Female","124","0.215076262851997","0.179862922947917","0.250289602756078"
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","Male","117","0.290308134996559","0.244428634076322","0.336187635916797"
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","Female","83","0.205051581140091","0.164981813531866","0.245121348748316"
"Min 1x per month","1986","Baden-Württemberg","Male","244","0.231033579700448","0.205052107597652","0.257015051803245"
"Min 1x per month","1986","Baden-Württemberg","Female","175","0.160229718839332","0.137310367204339","0.183149070474325"
"Min 1x per month","1986","Bavaria","Male","231","0.247884832545971","0.218823380127996","0.276946284963946"
"Min 1x per month","1986","Bavaria","Female","197","0.180253886637626","0.155468590777649","0.205039182497603"
"Min 1x per month","1986","Berlin","Male","52","0.237451279822496","0.1740429819665","0.300859577678491"
"Min 1x per month","1986","Berlin","Female","38","0.169372148030712","0.114115351901735","0.224628944159689"
"Min 1x per month","1986","Brandenburg","Male","","","",""
"Min 1x per month","1986","Brandenburg","Female","","","",""
"Min 1x per month","1986","Mecklenburg-Western Pomerania","Male","","","",""
"Min 1x per month","1986","Mecklenburg-Western Pomerania","Female","","","",""
"Min 1x per month","1986","Saxony","Male","","","",""
"Min 1x per month","1986","Saxony","Female","","","",""
"Min 1x per month","1986","Saxony-Anhalt","Male","","","",""
"Min 1x per month","1986","Saxony-Anhalt","Female","","","",""
"Min 1x per month","1986","Thuringia","Male","","","",""
"Min 1x per month","1986","Thuringia","Female","","","",""
"Rarely","1986","Schleswig-Holstein","Male","97","0.648318446937476","0.573627623288207","0.723009270586745"
"Rarely","1986","Schleswig-Holstein","Female","92","0.543967687003419","0.467506920359089","0.620428453647749"
"Rarely","1986","Hamburg","Male","61","0.502658948763165","0.415700838383271","0.589617059143059"
"Rarely","1986","Hamburg","Female","57","0.471278207826345","0.384462459093364","0.558093956559327"
"Rarely","1986","Lower Saxony","Male","300","0.560648836720128","0.51871077966591","0.602586893774346"
"Rarely","1986","Lower Saxony","Female","319","0.554922839022987","0.513871450819385","0.59597422722659"
"Rarely","1986","Bremen","Male","27","","",""
"Rarely","1986","Bremen","Female","30","0.447530157669642","0.320651806415775","0.574408508923509"
"Rarely","1986","North Rhine-Westphalia","Male","713","0.5226558214955","0.496685653241899","0.548625989749101"
"Rarely","1986","North Rhine-Westphalia","Female","732","0.490874425402528","0.464981910098744","0.516766940706312"
"Rarely","1986","Hesse","Male","229","0.45951043980532","0.4169215258719","0.50209935373874"
"Rarely","1986","Hesse","Female","219","0.391175040539607","0.349350706070495","0.432999375008718"
"Rarely","1986","Rhineland-Palatinate,Saarland","Male","170","0.465247163598476","0.414830676240693","0.515663650956258"
"Rarely","1986","Rhineland-Palatinate,Saarland","Female","192","0.475759004036297","0.426194041107985","0.525323966964609"
"Rarely","1986","Baden-Württemberg","Male","459","0.494724503436858","0.463905517643729","0.525543489229987"
"Rarely","1986","Baden-Württemberg","Female","440","0.457086268173336","0.425960860949536","0.488211675397136"
"Rarely","1986","Bavaria","Male","377","0.445343020433307","0.41189197222373","0.478794068642885"
"Rarely","1986","Bavaria","Female","388","0.405227679588712","0.373573064913837","0.436882294263587"
"Rarely","1986","Berlin","Male","77","0.448339175164604","0.374231283849125","0.522447066480083"
"Rarely","1986","Berlin","Female","76","0.365713005526449","0.294759384554954","0.436666626497945"
"Rarely","1986","Brandenburg","Male","","","",""
"Rarely","1986","Brandenburg","Female","","","",""
"Rarely","1986","Mecklenburg-Western Pomerania","Male","","","",""
"Rarely","1986","Mecklenburg-Western Pomerania","Female","","","",""
"Rarely","1986","Saxony","Male","","","",""
"Rarely","1986","Saxony","Female","","","",""
"Rarely","1986","Saxony-Anhalt","Male","","","",""
"Rarely","1986","Saxony-Anhalt","Female","","","",""
"Rarely","1986","Thuringia","Male","","","",""
"Rarely","1986","Thuringia","Female","","","",""
"Never","1986","Schleswig-Holstein","Male","21","","",""
"Never","1986","Schleswig-Holstein","Female","34","0.215856394811016","0.152697495765489","0.279015293856543"
"Never","1986","Hamburg","Male","22","","",""
"Never","1986","Hamburg","Female","24","","",""
"Never","1986","Lower Saxony","Male","83","0.171654944030421","0.139791643946428","0.203518244114414"
"Never","1986","Lower Saxony","Female","113","0.223023478249719","0.188638153225392","0.257408803274046"
"Never","1986","Bremen","Male","8","","",""
"Never","1986","Bremen","Female","11","","",""
"Never","1986","North Rhine-Westphalia","Male","217","0.167149895250686","0.147750529607464","0.186549260893909"
"Never","1986","North Rhine-Westphalia","Female","295","0.248800757042548","0.226409421319557","0.271192092765539"
"Never","1986","Hesse","Male","86","0.194968142880173","0.161111524384007","0.228824761376339"
"Never","1986","Hesse","Female","116","0.293391193829731","0.254369123571587","0.332413264087875"
"Never","1986","Rhineland-Palatinate,Saarland","Male","68","0.194076394318829","0.154101487110129","0.23405130152753"
"Never","1986","Rhineland-Palatinate,Saarland","Female","87","0.24874484463828","0.205841953002706","0.291647736273853"
"Never","1986","Baden-Württemberg","Male","210","0.19316983677966","0.168834731324061","0.217504942235258"
"Never","1986","Baden-Württemberg","Female","272","0.278957560153007","0.250935502415542","0.306979617890472"
"Never","1986","Bavaria","Male","166","0.231102367279111","0.202730584647407","0.259474149910815"
"Never","1986","Bavaria","Female","245","0.324090058192951","0.293912133043391","0.354267983342512"
"Never","1986","Berlin","Male","31","0.236040592592931","0.172762478210834","0.299318706975028"
"Never","1986","Berlin","Female","53","0.413791607663915","0.341234775559426","0.486348439768403"
"Never","1986","Brandenburg","Male","","","",""
"Never","1986","Brandenburg","Female","","","",""
"Never","1986","Mecklenburg-Western Pomerania","Male","","","",""
"Never","1986","Mecklenburg-Western Pomerania","Female","","","",""
"Never","1986","Saxony","Male","","","",""
"Never","1986","Saxony","Female","","","",""
"Never","1986","Saxony-Anhalt","Male","","","",""
"Never","1986","Saxony-Anhalt","Female","","","",""
"Never","1986","Thuringia","Male","","","",""
"Never","1986","Thuringia","Female","","","",""
"Min 1x per week","1987","Schleswig-Holstein","Male","","","",""
"Min 1x per week","1987","Schleswig-Holstein","Female","","","",""
"Min 1x per week","1987","Hamburg","Male","","","",""
"Min 1x per week","1987","Hamburg","Female","","","",""
"Min 1x per week","1987","Lower Saxony","Male","","","",""
"Min 1x per week","1987","Lower Saxony","Female","","","",""
"Min 1x per week","1987","Bremen","Male","","","",""
"Min 1x per week","1987","Bremen","Female","","","",""
"Min 1x per week","1987","North Rhine-Westphalia","Male","","","",""
"Min 1x per week","1987","North Rhine-Westphalia","Female","","","",""
"Min 1x per week","1987","Hesse","Male","","","",""
"Min 1x per week","1987","Hesse","Female","","","",""
"Min 1x per week","1987","Rhineland-Palatinate,Saarland","Male","","","",""
"Min 1x per week","1987","Rhineland-Palatinate,Saarland","Female","","","",""
"Min 1x per week","1987","Baden-Württemberg","Male","","","",""
"Min 1x per week","1987","Baden-Württemberg","Female","","","",""
"Min 1x per week","1987","Bavaria","Male","","","",""
"Min 1x per week","1987","Bavaria","Female","","","",""
"Min 1x per week","1987","Berlin","Male","","","",""
"Min 1x per week","1987","Berlin","Female","","","",""
"Min 1x per week","1987","Brandenburg","Male","","","",""
"Min 1x per week","1987","Brandenburg","Female","","","",""
"Min 1x per week","1987","Mecklenburg-Western Pomerania","Male","","","",""
"Min 1x per week","1987","Mecklenburg-Western Pomerania","Female","","","",""
"Min 1x per week","1987","Saxony","Male","","","",""
"Min 1x per week","1987","Saxony","Female","","","",""
"Min 1x per week","1987","Saxony-Anhalt","Male","","","",""
"Min 1x per week","1987","Saxony-Anhalt","Female","","","",""
"Min 1x per week","1987","Thuringia","Male","","","",""
"Min 1x per week","1987","Thuringia","Female","","","",""
"Min 1x per month","1987","Schleswig-Holstein","Male","","","",""
"Min 1x per month","1987","Schleswig-Holstein","Female","","","",""
"Min 1x per month","1987","Hamburg","Male","","","",""
"Min 1x per month","1987","Hamburg","Female","","","",""
"Min 1x per month","1987","Lower Saxony","Male","","","",""
"Min 1x per month","1987","Lower Saxony","Female","","","",""
"Min 1x per month","1987","Bremen","Male","","","",""
"Min 1x per month","1987","Bremen","Female","","","",""
"Min 1x per month","1987","North Rhine-Westphalia","Male","","","",""
"Min 1x per month","1987","North Rhine-Westphalia","Female","","","",""
"Min 1x per month","1987","Hesse","Male","","","",""
"Min 1x per month","1987","Hesse","Female","","","",""
"Min 1x per month","1987","Rhineland-Palatinate,Saarland","Male","","","",""
"Min 1x per month","1987","Rhineland-Palatinate,Saarland","Female","","","",""
"Min 1x per month","1987","Baden-Württemberg","Male","","","",""
"Min 1x per month","1987","Baden-Württemberg","Female","","","",""
"Min 1x per month","1987","Bavaria","Male","","","",""
"Min 1x per month","1987","Bavaria","Female","","","",""
"Min 1x per month","1987","Berlin","Male","","","",""
"Min 1x per month","1987","Berlin","Female","","","",""
"Min 1x per month","1987","Brandenburg","Male","","","",""
"Min 1x per month","1987","Brandenburg","Female","","","",""
"Min 1x per month","1987","Mecklenburg-Western Pomerania","Male","","","",""
"Min 1x per month","1987","Mecklenburg-Western Pomerania","Female","","","",""
"Min 1x per month","1987","Saxony","Male","","","",""
"Min 1x per month","1987","Saxony","Female","","","",""
"Min 1x per month","1987","Saxony-Anhalt","Male","","","",""
"Min 1x per month","1987","Saxony-Anhalt","Female","","","",""
"Min 1x per month","1987","Thuringia","Male","","","",""
"Min 1x per month","1987","Thuringia","Female","","","",""
"Rarely","1987","Schleswig-Holstein","Male","","","",""
"Rarely","1987","Schleswig-Holstein","Female","","","",""
"Rarely","1987","Hamburg","Male","","","",""
"Rarely","1987","Hamburg","Female","","","",""
"Rarely","1987","Lower Saxony","Male","","","",""
"Rarely","1987","Lower Saxony","Female","","","",""
"Rarely","1987","Bremen","Male","","","",""
"Rarely","1987","Bremen","Female","","","",""
"Rarely","1987","North Rhine-Westphalia","Male","","","",""
"Rarely","1987","North Rhine-Westphalia","Female","","","",""
"Rarely","1987","Hesse","Male","","","",""
"Rarely","1987","Hesse","Female","","","",""
"Rarely","1987","Rhineland-Palatinate,Saarland","Male","","","",""
"Rarely","1987","Rhineland-Palatinate,Saarland","Female","","","",""
"Rarely","1987","Baden-Württemberg","Male","","","",""
"Rarely","1987","Baden-Württemberg","Female","","","",""
"Rarely","1987","Bavaria","Male","","","",""
"Rarely","1987","Bavaria","Female","","","",""
"Rarely","1987","Berlin","Male","","","",""
"Rarely","1987","Berlin","Female","","","",""
"Rarely","1987","Brandenburg","Male","","","",""
"Rarely","1987","Brandenburg","Female","","","",""
"Rarely","1987","Mecklenburg-Western Pomerania","Male","","","",""
"Rarely","1987","Mecklenburg-Western Pomerania","Female","","","",""
"Rarely","1987","Saxony","Male","","","",""
"Rarely","1987","Saxony","Female","","","",""
"Rarely","1987","Saxony-Anhalt","Male","","","",""
"Rarely","1987","Saxony-Anhalt","Female","","","",""
"Rarely","1987","Thuringia","Male","","","",""
"Rarely","1987","Thuringia","Female","","","",""
"Never","1987","Schleswig-Holstein","Male","","","",""
"Never","1987","Schleswig-Holstein","Female","","","",""
"Never","1987","Hamburg","Male","","","",""
"Never","1987","Hamburg","Female","","","",""
"Never","1987","Lower Saxony","Male","","","",""
"Never","1987","Lower Saxony","Female","","","",""
"Never","1987","Bremen","Male","","","",""
"Never","1987","Bremen","Female","","","",""
"Never","1987","North Rhine-Westphalia","Male","","","",""
"Never","1987","North Rhine-Westphalia","Female","","","",""
"Never","1987","Hesse","Male","","","",""
"Never","1987","Hesse","Female","","","",""
"Never","1987","Rhineland-Palatinate,Saarland","Male","","","",""
"Never","1987","Rhineland-Palatinate,Saarland","Female","","","",""
"Never","1987","Baden-Württemberg","Male","","","",""
"Never","1987","Baden-Württemberg","Female","","","",""
"Never","1987","Bavaria","Male","","","",""
"Never","1987","Bavaria","Female","","","",""
"Never","1987","Berlin","Male","","","",""
"Never","1987","Berlin","Female","","","",""
"Never","1987","Brandenburg","Male","","","",""
"Never","1987","Brandenburg","Female","","","",""
"Never","1987","Mecklenburg-Western Pomerania","Male","","","",""
"Never","1987","Mecklenburg-Western Pomerania","Female","","","",""
"Never","1987","Saxony","Male","","","",""
"Never","1987","Saxony","Female","","","",""
"Never","1987","Saxony-Anhalt","Male","","","",""
"Never","1987","Saxony-Anhalt","Female","","","",""
"Never","1987","Thuringia","Male","","","",""
"Never","1987","Thuringia","Female","","","",""
"Min 1x per week","1988","Schleswig-Holstein","Male","11","","",""
"Min 1x per week","1988","Schleswig-Holstein","Female","13","","",""
"Min 1x per week","1988","Hamburg","Male","4","","",""
"Min 1x per week","1988","Hamburg","Female","4","","",""
"Min 1x per week","1988","Lower Saxony","Male","26","","",""
"Min 1x per week","1988","Lower Saxony","Female","28","","",""
"Min 1x per week","1988","Bremen","Male","","","",""
"Min 1x per week","1988","Bremen","Female","2","","",""
"Min 1x per week","1988","North Rhine-Westphalia","Male","101","0.0587885507783917","0.0462220159575684","0.0713550855992149"
"Min 1x per week","1988","North Rhine-Westphalia","Female","99","0.0679707120354607","0.0545144589646416","0.0814269651062797"
"Min 1x per week","1988","Hesse","Male","71","0.107473919419512","0.0802722586007686","0.134675580238256"
"Min 1x per week","1988","Hesse","Female","84","0.142329507809081","0.111765947692405","0.172893067925756"
"Min 1x per week","1988","Rhineland-Palatinate,Saarland","Male","21","","",""
"Min 1x per week","1988","Rhineland-Palatinate,Saarland","Female","23","","",""
"Min 1x per week","1988","Baden-Württemberg","Male","90","0.080238884922174","0.0630272515351692","0.0974505183091788"
"Min 1x per week","1988","Baden-Württemberg","Female","91","0.0818059682697465","0.0642669048168047","0.0993450317226883"
"Min 1x per week","1988","Bavaria","Male","79","0.0775804187775749","0.0589616133273272","0.0961992242278225"
"Min 1x per week","1988","Bavaria","Female","96","0.104380626493611","0.0837652426324358","0.124996010354787"
"Min 1x per week","1988","Berlin","Male","10","","",""
"Min 1x per week","1988","Berlin","Female","13","","",""
"Min 1x per week","1988","Brandenburg","Male","","","",""
"Min 1x per week","1988","Brandenburg","Female","","","",""
"Min 1x per week","1988","Mecklenburg-Western Pomerania","Male","","","",""
"Min 1x per week","1988","Mecklenburg-Western Pomerania","Female","","","",""
"Min 1x per week","1988","Saxony","Male","","","",""
"Min 1x per week","1988","Saxony","Female","","","",""
"Min 1x per week","1988","Saxony-Anhalt","Male","","","",""
"Min 1x per week","1988","Saxony-Anhalt","Female","","","",""
"Min 1x per week","1988","Thuringia","Male","","","",""
"Min 1x per week","1988","Thuringia","Female","","","",""
"Min 1x per month","1988","Schleswig-Holstein","Male","37","0.230084613333001","0.164037919938367","0.296131306727635"
"Min 1x per month","1988","Schleswig-Holstein","Female","19","","",""
"Min 1x per month","1988","Hamburg","Male","34","0.280577556774796","0.191168671662058","0.369986441887534"
"Min 1x per month","1988","Hamburg","Female","28","","",""
"Min 1x per month","1988","Lower Saxony","Male","134","0.254757879343731","0.216904756960024","0.292611001727439"
"Min 1x per month","1988","Lower Saxony","Female","99","0.157785914142781","0.126867100050746","0.188704728234817"
"Min 1x per month","1988","Bremen","Male","9","","",""
"Min 1x per month","1988","Bremen","Female","9","","",""
"Min 1x per month","1988","North Rhine-Westphalia","Male","299","0.22011071994894","0.197976580913872","0.242244858984008"
"Min 1x per month","1988","North Rhine-Westphalia","Female","232","0.152518185894595","0.133297252847066","0.171739118942123"
"Min 1x per month","1988","Hesse","Male","134","0.257661846361754","0.219250514314839","0.296073178408669"
