"pli0095_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1987","Couple + C. GT 16 ","East Germany","","","",""
"Min 1x per week","1987","Couple + C. LE and GT 16","West Germany","","","",""
"Min 1x per week","1987","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per month","1987","1-pers.-HH","West Germany","","","",""
"Min 1x per month","1987","1-pers.-HH","East Germany","","","",""
"Min 1x per month","1987","(Married) couple without C. ","West Germany","","","",""
"Min 1x per month","1987","(Married) couple without C. ","East Germany","","","",""
"Min 1x per month","1987","Single parent ","West Germany","","","",""
"Min 1x per month","1987","Single parent ","East Germany","","","",""
"Min 1x per month","1987","Couple + C. LE 16 ","West Germany","","","",""
"Min 1x per month","1987","Couple + C. LE 16 ","East Germany","","","",""
"Min 1x per month","1987","Couple + C. GT 16 ","West Germany","","","",""
"Min 1x per month","1987","Couple + C. GT 16 ","East Germany","","","",""
"Min 1x per month","1987","Couple + C. LE and GT 16","West Germany","","","",""
"Min 1x per month","1987","Couple + C. LE and GT 16","East Germany","","","",""
"Rarely","1987","1-pers.-HH","West Germany","","","",""
"Rarely","1987","1-pers.-HH","East Germany","","","",""
"Rarely","1987","(Married) couple without C. ","West Germany","","","",""
"Rarely","1987","(Married) couple without C. ","East Germany","","","",""
"Rarely","1987","Single parent ","West Germany","","","",""
"Rarely","1987","Single parent ","East Germany","","","",""
"Rarely","1987","Couple + C. LE 16 ","West Germany","","","",""
"Rarely","1987","Couple + C. LE 16 ","East Germany","","","",""
"Rarely","1987","Couple + C. GT 16 ","West Germany","","","",""
"Rarely","1987","Couple + C. GT 16 ","East Germany","","","",""
"Rarely","1987","Couple + C. LE and GT 16","West Germany","","","",""
"Rarely","1987","Couple + C. LE and GT 16","East Germany","","","",""
"Never","1987","1-pers.-HH","West Germany","","","",""
"Never","1987","1-pers.-HH","East Germany","","","",""
"Never","1987","(Married) couple without C. ","West Germany","","","",""
"Never","1987","(Married) couple without C. ","East Germany","","","",""
"Never","1987","Single parent ","West Germany","","","",""
"Never","1987","Single parent ","East Germany","","","",""
"Never","1987","Couple + C. LE 16 ","West Germany","","","",""
"Never","1987","Couple + C. LE 16 ","East Germany","","","",""
"Never","1987","Couple + C. GT 16 ","West Germany","","","",""
"Never","1987","Couple + C. GT 16 ","East Germany","","","",""
"Never","1987","Couple + C. LE and GT 16","West Germany","","","",""
"Never","1987","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per week","1988","1-pers.-HH","West Germany","102","0.098231100686193","0.0803055608848669","0.116156640487519"
"Min 1x per week","1988","1-pers.-HH","East Germany","","","",""
"Min 1x per week","1988","(Married) couple without C. ","West Germany","191","0.0693376361768911","0.0588853465650129","0.0797899257887694"
"Min 1x per week","1988","(Married) couple without C. ","East Germany","","","",""
"Min 1x per week","1988","Single parent ","West Germany","31","0.0577986188107369","0.0375255358156996","0.0780717018057742"
"Min 1x per week","1988","Single parent ","East Germany","","","",""
"Min 1x per week","1988","Couple + C. LE 16 ","West Germany","183","0.0552772416800479","0.0457712599676547","0.0647832233924411"
"Min 1x per week","1988","Couple + C. LE 16 ","East Germany","","","",""
"Min 1x per week","1988","Couple + C. GT 16 ","West Germany","213","0.0751019985420111","0.0640738540664437","0.0861301430175785"
"Min 1x per week","1988","Couple + C. GT 16 ","East Germany","","","",""
"Min 1x per week","1988","Couple + C. LE and GT 16","West Germany","94","0.0779606929842957","0.0620222504024922","0.0938991355660991"
"Min 1x per week","1988","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per month","1988","1-pers.-HH","West Germany","218","0.180455494665142","0.157293741042742","0.203617248287542"
"Min 1x per month","1988","1-pers.-HH","East Germany","","","",""
"Min 1x per month","1988","(Married) couple without C. ","West Germany","485","0.196875298065141","0.180513992738149","0.213236603392132"
"Min 1x per month","1988","(Married) couple without C. ","East Germany","","","",""
"Min 1x per month","1988","Single parent ","West Germany","118","0.225982203150866","0.189649158526007","0.262315247775726"
"Min 1x per month","1988","Single parent ","East Germany","","","",""
"Min 1x per month","1988","Couple + C. LE 16 ","West Germany","589","0.263728628899175","0.245398344669683","0.282058913128666"
"Min 1x per month","1988","Couple + C. LE 16 ","East Germany","","","",""
"Min 1x per month","1988","Couple + C. GT 16 ","West Germany","450","0.208017911687482","0.191033995998326","0.225001827376638"
"Min 1x per month","1988","Couple + C. GT 16 ","East Germany","","","",""
"Min 1x per month","1988","Couple + C. LE and GT 16","West Germany","247","0.200619178377262","0.176812631545746","0.224425725208779"
"Min 1x per month","1988","Couple + C. LE and GT 16","East Germany","","","",""
"Rarely","1988","1-pers.-HH","West Germany","387","0.349714751352657","0.320993124340496","0.378436378364818"
"Rarely","1988","1-pers.-HH","East Germany","","","",""
"Rarely","1988","(Married) couple without C. ","West Germany","1015","0.458610407808398","0.438107864045102","0.479112951571694"
"Rarely","1988","(Married) couple without C. ","East Germany","","","",""
"Rarely","1988","Single parent ","West Germany","242","0.484632567009478","0.441216149692519","0.528048984326438"
"Rarely","1988","Single parent ","East Germany","","","",""
"Rarely","1988","Couple + C. LE 16 ","West Germany","1112","0.555505274628887","0.534834868808807","0.576175680448967"
"Rarely","1988","Couple + C. LE 16 ","East Germany","","","",""
"Rarely","1988","Couple + C. GT 16 ","West Germany","1103","0.531338880734579","0.51045818137814","0.552219580091018"
"Rarely","1988","Couple + C. GT 16 ","East Germany","","","",""
"Rarely","1988","Couple + C. LE and GT 16","West Germany","559","0.580863659997145","0.551531227437512","0.610196092556778"
"Rarely","1988","Couple + C. LE and GT 16","East Germany","","","",""
