"pli0095_h","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Rarely","1993","1-pers.-HH","","","","","4"
"Rarely","1993","(Married) couple without C. ","","","","","4"
"Rarely","1993","Single parent ","","","","","4"
"Rarely","1993","Couple + C. LE 16 ","","","","","4"
"Rarely","1993","Couple + C. GT 16 ","","","","","4"
"Rarely","1993","Couple + C. LE and GT 16","","","","","4"
"Min 1x per month","1994","(Married) couple without C. ","860","0.239343899203373","0.224950869242317","0.253736929164428","3"
"Min 1x per month","1994","1-pers.-HH","342","0.228423365218922","0.206463769839481","0.250382960598363","3"
"Min 1x per month","1994","Single parent ","178","0.322837528602706","0.28462087847866","0.361054178726753","3"
"Min 1x per month","1994","Couple + C. LE 16 ","932","0.300220691766595","0.283857149369907","0.316584234163284","3"
"Min 1x per month","1994","Couple + C. GT 16 ","645","0.248191971663645","0.231087392516889","0.265296550810401","3"
"Min 1x per month","1994","Couple + C. LE and GT 16","344","0.295063645095142","0.268997474334081","0.321129815856202","3"
"Min 1x per week","1994","1-pers.-HH","162","0.107598262527785","0.0913895929153801","0.123806932140189","2"
"Min 1x per week","1994","(Married) couple without C. ","344","0.0958297667987956","0.0859003854560624","0.105759148141529","2"
"Min 1x per week","1994","Single parent ","64","0.0916596071373886","0.0680750634466855","0.115244150828092","2"
"Min 1x per week","1994","Couple + C. LE 16 ","228","0.0644178234752726","0.0556534583853036","0.0731821885652415","2"
"Min 1x per week","1994","Couple + C. GT 16 ","247","0.0940133129771255","0.0824569643372332","0.105569661617018","2"
"Min 1x per week","1994","Couple + C. LE and GT 16","111","0.0916735087908287","0.0751809763307196","0.108166041250938","2"
"Never","1994","1-pers.-HH","354","0.291088917080702","0.267327449780721","0.314850384380684","5"
"Never","1994","(Married) couple without C. ","474","0.160041489622922","0.147673700209562","0.172409279036283","5"
"Never","1994","Single parent ","78","0.13503188894855","0.107097936568897","0.162965841328204","5"
"Never","1994","Couple + C. LE 16 ","246","0.0759733413117486","0.0665142518897869","0.0854324307337102","5"
"Never","1994","Couple + C. GT 16 ","261","0.114922286387149","0.102293608666677","0.12755096410762","5"
"Never","1994","Couple + C. LE and GT 16","102","0.0778936290535673","0.0625761988356724","0.0932110592714622","5"
"Rarely","1994","1-pers.-HH","546","0.372889455172591","0.347594923668007","0.398183986677176","4"
"Rarely","1994","(Married) couple without C. ","1698","0.50478484437491","0.487919431037004","0.521650257712815","4"
"Rarely","1994","Single parent ","255","0.450470975311355","0.409803904362544","0.491138046260166","4"
"Rarely","1994","Couple + C. LE 16 ","1608","0.559388143446383","0.54166416613967","0.577112120753097","4"
"Rarely","1994","Couple + C. GT 16 ","1297","0.542872428972081","0.523146718717592","0.562598139226569","4"
"Rarely","1994","Couple + C. LE and GT 16","619","0.535369217060462","0.506863949746809","0.563874484374115","4"
"Min 1x per month","1995","(Married) couple without C. ","","","","","3"
"Min 1x per month","1995","1-pers.-HH","","","","","3"
"Min 1x per month","1995","Single parent ","","","","","3"
"Min 1x per month","1995","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1995","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1995","Couple + C. LE and GT 16","","","","","3"
"Min 1x per week","1995","1-pers.-HH","","","","","2"
"Min 1x per week","1995","(Married) couple without C. ","","","","","2"
"Min 1x per week","1995","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1995","Single parent ","","","","","2"
"Min 1x per week","1995","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1995","Couple + C. GT 16 ","","","","","2"
"Never","1995","1-pers.-HH","","","","","5"
"Never","1995","(Married) couple without C. ","","","","","5"
"Never","1995","Single parent ","","","","","5"
"Never","1995","Couple + C. LE 16 ","","","","","5"
"Never","1995","Couple + C. GT 16 ","","","","","5"
"Never","1995","Couple + C. LE and GT 16","","","","","5"
"Rarely","1995","1-pers.-HH","","","","","4"
"Rarely","1995","(Married) couple without C. ","","","","","4"
"Rarely","1995","Single parent ","","","","","4"
"Rarely","1995","Couple + C. LE 16 ","","","","","4"
"Rarely","1995","Couple + C. GT 16 ","","","","","4"
"Rarely","1995","Couple + C. LE and GT 16","","","","","4"
"Min 1x per month","1996","1-pers.-HH","391","0.235366239363955","0.213745884254203","0.256986594473707","3"
"Min 1x per month","1996","(Married) couple without C. ","1083","0.28137777176147","0.266604410658089","0.29615113286485","3"
"Min 1x per month","1996","Single parent ","212","0.340861215218888","0.304505831916394","0.377216598521382","3"
"Min 1x per month","1996","Couple + C. GT 16 ","741","0.298974007513994","0.280511447446836","0.317436567581153","3"
"Min 1x per month","1996","Couple + C. LE 16 ","1079","0.365328899462361","0.348095290511587","0.382562508413135","3"
"Min 1x per month","1996","Couple + C. LE and GT 16","413","0.316622021030171","0.290856022660469","0.342388019399872","3"
"Min 1x per week","1996","1-pers.-HH","225","0.132729317958533","0.115438132532385","0.150020503384682","2"
"Min 1x per week","1996","(Married) couple without C. ","459","0.124452403861983","0.113607502112401","0.135297305611564","2"
"Min 1x per week","1996","Single parent ","75","0.105767861342076","0.0821797320822627","0.129355990601889","2"
"Min 1x per week","1996","Couple + C. LE 16 ","358","0.111744867022","0.100469192984951","0.123020541059049","2"
"Min 1x per week","1996","Couple + C. GT 16 ","259","0.10481449675797","0.0924614142707508","0.117167579245189","2"
"Min 1x per week","1996","Couple + C. LE and GT 16","128","0.0985582086280922","0.082047672669726","0.115068744586458","2"
"Never","1996","1-pers.-HH","324","0.26067255427606","0.238299252934874","0.283045855617246","5"
"Never","1996","(Married) couple without C. ","401","0.126159511746362","0.115251133755721","0.137067889737003","5"
"Never","1996","Single parent ","62","0.0915557231470619","0.0694358111095012","0.113675635184622","5"
"Never","1996","Couple + C. LE 16 ","162","0.0500482602640758","0.0422444783842638","0.0578520421438879","5"
"Never","1996","Couple + C. GT 16 ","208","0.0838473814955039","0.0726700840026072","0.0950246789884006","5"
"Never","1996","Couple + C. LE and GT 16","88","0.0722393856635789","0.0578993274469032","0.0865794438802547","5"
"Rarely","1996","1-pers.-HH","539","0.371231888401452","0.346609402620421","0.395854374182482","4"
"Rarely","1996","Single parent ","304","0.461815200291975","0.423577538657851","0.500052861926098","4"
"Rarely","1996","(Married) couple without C. ","1616","0.468010312630186","0.451617124789927","0.484403500470445","4"
"Rarely","1996","Couple + C. LE 16 ","1400","0.472877973251563","0.455009395640961","0.490746550862166","4"
"Rarely","1996","Couple + C. GT 16 ","1154","0.512364114232532","0.492206212405954","0.53252201605911","4"
"Rarely","1996","Couple + C. LE and GT 16","623","0.512580384678158","0.484893224118361","0.540267545237955","4"
"Min 1x per month","1997","1-pers.-HH","372","0.228928664004176","0.207251009423929","0.250606318584423","3"
"Min 1x per month","1997","(Married) couple without C. ","1017","0.270390681813925","0.255847289037642","0.284934074590208","3"
"Min 1x per month","1997","Single parent ","184","0.298900812920114","0.263211118313874","0.334590507526353","3"
"Min 1x per month","1997","Couple + C. LE 16 ","978","0.341231356228669","0.323772502374885","0.358690210082452","3"
"Min 1x per month","1997","Couple + C. GT 16 ","726","0.304990807665464","0.286439293160846","0.323542322170081","3"
"Min 1x per month","1997","Couple + C. LE and GT 16","363","0.285020836283227","0.259553738620801","0.310487933945653","3"
"Min 1x per week","1997","1-pers.-HH","218","0.129975806654444","0.112625312395338","0.147326300913551","2"
"Min 1x per week","1997","(Married) couple without C. ","441","0.113617873865967","0.10322684596536","0.124008901766574","2"
"Min 1x per week","1997","Single parent ","84","0.138363043471063","0.111443867339808","0.165282219602319","2"
"Min 1x per week","1997","Couple + C. LE 16 ","293","0.092737945630306","0.0820567489317889","0.103419142328823","2"
"Min 1x per week","1997","Couple + C. GT 16 ","253","0.111298030984923","0.0986255241935404","0.123970537776306","2"
"Min 1x per week","1997","Couple + C. LE and GT 16","145","0.123422239342571","0.1048661527297","0.141978325955442","2"
"Never","1997","1-pers.-HH","327","0.266683241137092","0.2438662384814","0.289500243792784","5"
"Never","1997","(Married) couple without C. ","456","0.143598852986712","0.132116291158913","0.155081414814511","5"
"Never","1997","Single parent ","88","0.143091779142096","0.115791691057597","0.170391867226594","5"
"Never","1997","Couple + C. LE 16 ","189","0.0650091843509252","0.0559306480440427","0.0740877206578076","5"
"Never","1997","Couple + C. GT 16 ","217","0.0964395963743191","0.0845450739809357","0.108334118767703","5"
"Never","1997","Couple + C. LE and GT 16","76","0.0621064641198624","0.0484907749156868","0.075722153324038","5"
"Rarely","1997","1-pers.-HH","526","0.374412288204288","0.349441395008768","0.399383181399807","4"
"Rarely","1997","(Married) couple without C. ","1669","0.472392591333396","0.456045832008944","0.488739350657848","4"
"Rarely","1997","Single parent ","276","0.419644364466728","0.381169477511174","0.458119251422281","4"
"Rarely","1997","Couple + C. LE 16 ","1373","0.5010215137901","0.482609813288199","0.519433214292001","4"
"Rarely","1997","Couple + C. LE and GT 16","623","0.529450460254339","0.501291942017536","0.557608978491141","4"
"Rarely","1997","Couple + C. GT 16 ","1170","0.487271564975294","0.467131078476704","0.507412051473884","4"
"Min 1x per month","1998","1-pers.-HH","","","","","3"
"Min 1x per month","1998","Single parent ","","","","","3"
"Min 1x per month","1998","(Married) couple without C. ","","","","","3"
"Min 1x per month","1998","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1998","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1998","Couple + C. LE and GT 16","","","","","3"
"Min 1x per week","1998","1-pers.-HH","","","","","2"
"Min 1x per week","1998","(Married) couple without C. ","","","","","2"
"Min 1x per week","1998","Single parent ","","","","","2"
"Min 1x per week","1998","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1998","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1998","Couple + C. LE and GT 16","","","","","2"
"Never","1998","1-pers.-HH","","","","","5"
"Never","1998","(Married) couple without C. ","","","","","5"
"Never","1998","Single parent ","","","","","5"
"Never","1998","Couple + C. LE 16 ","","","","","5"
"Never","1998","Couple + C. GT 16 ","","","","","5"
"Never","1998","Couple + C. LE and GT 16","","","","","5"
"Rarely","1998","1-pers.-HH","","","","","4"
"Rarely","1998","(Married) couple without C. ","","","","","4"
"Rarely","1998","Couple + C. LE 16 ","","","","","4"
"Rarely","1998","Single parent ","","","","","4"
"Rarely","1998","Couple + C. LE and GT 16","","","","","4"
"Rarely","1998","Couple + C. GT 16 ","","","","","4"
"Min 1x per month","1999","1-pers.-HH","426","0.215443512759447","0.19578987016892","0.235097155349974","3"
"Min 1x per month","1999","(Married) couple without C. ","1164","0.255986685338935","0.242662341661035","0.269311029016835","3"
"Min 1x per month","1999","Single parent ","190","0.267817598509291","0.235382084947427","0.300253112071155","3"
"Min 1x per month","1999","Couple + C. LE 16 ","998","0.321675867917055","0.305018721508825","0.338333014325284","3"
