"pli0095_h","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1989","Urban Area","West Germany","","","",""
"Min 1x per week","1989","Urban Area","East Germany","","","",""
"Min 1x per week","1989","Rural Area","West Germany","","","",""
"Min 1x per week","1989","Rural Area","East Germany","","","",""
"Min 1x per month","1989","Urban Area","West Germany","","","",""
"Min 1x per month","1989","Urban Area","East Germany","","","",""
"Min 1x per month","1989","Rural Area","West Germany","","","",""
"Min 1x per month","1989","Rural Area","East Germany","","","",""
"Rarely","1989","Urban Area","West Germany","","","",""
"Rarely","1989","Urban Area","East Germany","","","",""
"Rarely","1989","Rural Area","West Germany","","","",""
"Rarely","1989","Rural Area","East Germany","","","",""
"Never","1989","Urban Area","West Germany","","","",""
"Never","1989","Urban Area","East Germany","","","",""
"Never","1989","Rural Area","West Germany","","","",""
"Never","1989","Rural Area","East Germany","","","",""
"Min 1x per week","1990","Urban Area","West Germany","","","",""
"Min 1x per week","1990","Urban Area","East Germany","260","0.167504082271833","0.148762039557022","0.186246124986644"
"Min 1x per week","1990","Rural Area","West Germany","","","",""
"Min 1x per week","1990","Rural Area","East Germany","492","0.172436635808493","0.158424453379268","0.186448818237718"
"Min 1x per month","1990","Urban Area","West Germany","","","",""
"Min 1x per month","1990","Urban Area","East Germany","445","0.291054413317498","0.268255890153684","0.313852936481311"
"Min 1x per month","1990","Rural Area","West Germany","","","",""
"Min 1x per month","1990","Rural Area","East Germany","807","0.275922596755147","0.259342902574928","0.292502290935366"
"Rarely","1990","Urban Area","West Germany","","","",""
"Rarely","1990","Urban Area","East Germany","683","0.419882001875548","0.395111490723823","0.444652513027273"
"Rarely","1990","Rural Area","West Germany","","","",""
"Rarely","1990","Rural Area","East Germany","1240","0.436114140633925","0.417719721831127","0.454508559436723"
"Never","1990","Urban Area","West Germany","","","",""
"Never","1990","Urban Area","East Germany","137","0.121559502535121","0.105158749052286","0.137960256017957"
"Never","1990","Rural Area","West Germany","","","",""
"Never","1990","Rural Area","East Germany","253","0.115526626802435","0.103669654318475","0.127383599286395"
"Min 1x per week","1991","Urban Area","West Germany","","","",""
"Min 1x per week","1991","Urban Area","East Germany","","","",""
"Min 1x per week","1991","Rural Area","West Germany","","","",""
"Min 1x per week","1991","Rural Area","East Germany","","","",""
"Min 1x per month","1991","Urban Area","West Germany","","","",""
"Min 1x per month","1991","Urban Area","East Germany","","","",""
"Min 1x per month","1991","Rural Area","West Germany","","","",""
"Min 1x per month","1991","Rural Area","East Germany","","","",""
"Rarely","1991","Urban Area","West Germany","","","",""
"Rarely","1991","Urban Area","East Germany","","","",""
"Rarely","1991","Rural Area","West Germany","","","",""
"Rarely","1991","Rural Area","East Germany","","","",""
"Never","1991","Urban Area","West Germany","","","",""
"Never","1991","Urban Area","East Germany","","","",""
"Never","1991","Rural Area","West Germany","","","",""
"Never","1991","Rural Area","East Germany","","","",""
"Min 1x per week","1992","Urban Area","West Germany","767","0.0925825652103618","0.0859589454167215","0.0992061850040022"
"Min 1x per week","1992","Urban Area","East Germany","118","0.0943771313061162","0.0789636355900598","0.109790627022173"
"Min 1x per week","1992","Rural Area","West Germany","185","0.0881683117736168","0.075482326391559","0.100854297155675"
"Min 1x per week","1992","Rural Area","East Germany","200","0.0820132398533053","0.0712164436969552","0.0928100360096554"
"Min 1x per month","1992","Urban Area","West Germany","2049","0.254031549142767","0.244083651930775","0.263979446354759"
"Min 1x per month","1992","Urban Area","East Germany","389","0.271162934310628","0.247724723430028","0.294601145191227"
"Min 1x per month","1992","Rural Area","West Germany","534","0.266511822501066","0.246730040919984","0.286293604082148"
"Min 1x per month","1992","Rural Area","East Germany","668","0.261129982850138","0.243845869699454","0.278414096000822"
"Rarely","1992","Urban Area","West Germany","3398","0.478401657298744","0.466986243211283","0.489817071386205"
"Rarely","1992","Urban Area","East Germany","736","0.500872374951897","0.474511281980781","0.527233467923013"
"Rarely","1992","Rural Area","West Germany","894","0.450453376641135","0.428192728817662","0.472714024464608"
"Rarely","1992","Rural Area","East Germany","1370","0.51959419831062","0.499934765802878","0.539253630818362"
"Never","1992","Urban Area","West Germany","1142","0.174984228348127","0.166301468094432","0.183666988601822"
"Never","1992","Urban Area","East Germany","139","0.133587559431359","0.115650988591742","0.151524130270976"
"Never","1992","Rural Area","West Germany","306","0.194866489084182","0.17714447263052","0.212588505537844"
"Never","1992","Rural Area","East Germany","243","0.137262578985937","0.123721598755025","0.150803559216849"
"Min 1x per week","1993","Urban Area","West Germany","","","",""
"Min 1x per week","1993","Urban Area","East Germany","","","",""
"Min 1x per week","1993","Rural Area","West Germany","","","",""
"Min 1x per week","1993","Rural Area","East Germany","","","",""
"Min 1x per month","1993","Urban Area","West Germany","","","",""
"Min 1x per month","1993","Urban Area","East Germany","","","",""
"Min 1x per month","1993","Rural Area","West Germany","","","",""
"Min 1x per month","1993","Rural Area","East Germany","","","",""
"Rarely","1993","Urban Area","West Germany","","","",""
"Rarely","1993","Urban Area","East Germany","","","",""
"Rarely","1993","Rural Area","West Germany","","","",""
"Rarely","1993","Rural Area","East Germany","","","",""
"Never","1993","Urban Area","West Germany","","","",""
"Never","1993","Urban Area","East Germany","","","",""
"Never","1993","Rural Area","West Germany","","","",""
"Never","1993","Rural Area","East Germany","","","",""
"Min 1x per week","1994","Urban Area","West Germany","705","0.0875431167329025","0.0810202664551996","0.0940659670106054"
"Min 1x per week","1994","Urban Area","East Germany","126","0.100912301313507","0.0849037615202924","0.116920841106721"
"Min 1x per week","1994","Rural Area","West Germany","189","0.0959144129224322","0.0825997121645549","0.109229113680309"
"Min 1x per week","1994","Rural Area","East Germany","211","0.0893074193405702","0.077916742812744","0.100698095868396"
"Min 1x per month","1994","Urban Area","West Germany","1964","0.253700928065497","0.243658523558405","0.263743332572589"
"Min 1x per month","1994","Urban Area","East Germany","367","0.275860689126298","0.252106806432774","0.299614571819823"
"Min 1x per month","1994","Rural Area","West Germany","575","0.268364907018778","0.248329654189165","0.288400159848392"
"Min 1x per month","1994","Rural Area","East Germany","637","0.25475305181061","0.237349830198183","0.272156273423037"
"Rarely","1994","Urban Area","West Germany","3515","0.496833257508642","0.485293902736995","0.50837261228029"
"Rarely","1994","Urban Area","East Germany","723","0.48911145313088","0.462544262229154","0.515678644032605"
"Rarely","1994","Rural Area","West Germany","873","0.471418441436212","0.448847795483103","0.49398908738932"
"Rarely","1994","Rural Area","East Germany","1303","0.505609837770647","0.485640552661932","0.525579122879361"
"Never","1994","Urban Area","West Germany","1028","0.161922697692959","0.153420794868085","0.170424600517832"
"Never","1994","Urban Area","East Germany","144","0.134115556429315","0.116004316525795","0.152226796332835"
"Never","1994","Rural Area","West Germany","242","0.164302238622578","0.1475477544817","0.181056722763455"
"Never","1994","Rural Area","East Germany","257","0.150329691078173","0.136054975838524","0.164604406317822"
"Min 1x per week","1995","Urban Area","West Germany","","","",""
"Min 1x per week","1995","Urban Area","East Germany","","","",""
"Min 1x per week","1995","Rural Area","West Germany","","","",""
"Min 1x per week","1995","Rural Area","East Germany","","","",""
"Min 1x per month","1995","Urban Area","West Germany","","","",""
"Min 1x per month","1995","Urban Area","East Germany","","","",""
"Min 1x per month","1995","Rural Area","West Germany","","","",""
"Min 1x per month","1995","Rural Area","East Germany","","","",""
"Rarely","1995","Urban Area","West Germany","","","",""
"Rarely","1995","Urban Area","East Germany","","","",""
"Rarely","1995","Rural Area","West Germany","","","",""
"Rarely","1995","Rural Area","East Germany","","","",""
"Never","1995","Urban Area","West Germany","","","",""
"Never","1995","Urban Area","East Germany","","","",""
"Never","1995","Rural Area","West Germany","","","",""
"Never","1995","Rural Area","East Germany","","","",""
"Min 1x per week","1996","Urban Area","West Germany","932","0.117759312502891","0.110396040321668","0.125122584684113"
"Min 1x per week","1996","Urban Area","East Germany","155","0.123883038850576","0.105925955534329","0.141840122166822"
"Min 1x per week","1996","Rural Area","West Germany","242","0.114367782945339","0.10050615839017","0.128229407500508"
"Min 1x per week","1996","Rural Area","East Germany","256","0.11045586756439","0.0978889928387556","0.123022742290024"
"Min 1x per month","1996","Urban Area","West Germany","2276","0.289589462799003","0.279227888224662","0.299951037373344"
"Min 1x per month","1996","Urban Area","East Germany","411","0.307129916866536","0.281985834276514","0.332273999456557"
"Min 1x per month","1996","Rural Area","West Germany","675","0.300629972372543","0.280658723495313","0.320601221249773"
"Min 1x per month","1996","Rural Area","East Germany","813","0.323006908029345","0.304259243899668","0.341754572159023"
"Rarely","1996","Urban Area","West Germany","3252","0.451833593951955","0.440464518484724","0.463202669419186"
"Rarely","1996","Urban Area","East Germany","624","0.453323319635405","0.426189050203206","0.480457589067605"
"Rarely","1996","Rural Area","West Germany","916","0.467780224235188","0.446048108463998","0.489512340006378"
"Rarely","1996","Rural Area","East Germany","1175","0.477475530899005","0.457450277653059","0.49750078414495"
"Never","1996","Urban Area","West Germany","901","0.140817630746152","0.13287158836734","0.148763673124964"
"Never","1996","Urban Area","East Germany","103","0.115663724647483","0.0982313666817154","0.133096082613251"
"Never","1996","Rural Area","West Germany","192","0.11722202044693","0.10321112396802","0.131232916925841"
"Never","1996","Rural Area","East Germany","146","0.08906169350726","0.077642403628267","0.100480983386253"
"Min 1x per week","1997","Urban Area","West Germany","847","0.110541164941068","0.103302380449953","0.117779949432182"
"Min 1x per week","1997","Urban Area","East Germany","156","0.128296139327798","0.109830935877238","0.146761342778357"
"Min 1x per week","1997","Rural Area","West Germany","250","0.122024292083674","0.10760712624099","0.136441457926357"
"Min 1x per week","1997","Rural Area","East Germany","263","0.117541311537945","0.104564046371336","0.130518576704554"
"Min 1x per month","1997","Urban Area","West Germany","2059","0.266392796102913","0.256187309101907","0.27659828310392"
"Min 1x per month","1997","Urban Area","East Germany","362","0.301880018855121","0.276531940739642","0.327228096970599"
"Min 1x per month","1997","Rural Area","West Germany","668","0.307327465522509","0.287004823518059","0.327650107526959"
"Min 1x per month","1997","Rural Area","East Germany","774","0.315864863918198","0.297133805081379","0.334595922755018"
"Rarely","1997","Urban Area","West Germany","3334","0.465368429409093","0.453853362624287","0.476883496193899"
"Rarely","1997","Urban Area","East Germany","625","0.468835648220248","0.441281461839585","0.496389834600912"
"Rarely","1997","Rural Area","West Germany","869","0.444377617683455","0.422490858967374","0.466264376399537"
"Rarely","1997","Rural Area","East Germany","1140","0.45301534668196","0.432957479600481","0.473073213763439"
"Never","1997","Urban Area","West Germany","968","0.157697609546926","0.149283904683835","0.166111314410017"
"Never","1997","Urban Area","East Germany","117","0.100988193596833","0.0843509713540777","0.117625415839589"
"Never","1997","Rural Area","West Germany","193","0.126270624710362","0.111640260790208","0.140900988630516"
"Never","1997","Rural Area","East Germany","189","0.113578477861897","0.100793237740472","0.126363717983321"
"Min 1x per week","1998","Urban Area","West Germany","","","",""
"Min 1x per week","1998","Urban Area","East Germany","","","",""
"Min 1x per week","1998","Rural Area","West Germany","","","",""
"Min 1x per week","1998","Rural Area","East Germany","","","",""
"Min 1x per month","1998","Urban Area","West Germany","","","",""
"Min 1x per month","1998","Urban Area","East Germany","","","",""
"Min 1x per month","1998","Rural Area","West Germany","","","",""
"Min 1x per month","1998","Rural Area","East Germany","","","",""
"Rarely","1998","Urban Area","West Germany","","","",""
"Rarely","1998","Urban Area","East Germany","","","",""
"Rarely","1998","Rural Area","West Germany","","","",""
"Rarely","1998","Rural Area","East Germany","","","",""
"Never","1998","Urban Area","West Germany","","","",""
"Never","1998","Urban Area","East Germany","","","",""
"Never","1998","Rural Area","West Germany","","","",""
"Never","1998","Rural Area","East Germany","","","",""
"Min 1x per week","1999","Urban Area","West Germany","847","0.105340651914493","0.098484169250834","0.112197134578153"
"Min 1x per week","1999","Urban Area","East Germany","131","0.103343542291078","0.0867127273979815","0.119974357184174"
"Min 1x per week","1999","Rural Area","West Germany","247","0.104021725976012","0.0912792283511358","0.116764223600888"
"Min 1x per week","1999","Rural Area","East Germany","236","0.102365531588714","0.0904759806118969","0.114255082565531"
"Min 1x per month","1999","Urban Area","West Germany","2168","0.259785644359732","0.249991627319047","0.269579661400417"
"Min 1x per month","1999","Urban Area","East Germany","359","0.262592652810967","0.238551580591233","0.2866337250307"
"Min 1x per month","1999","Rural Area","West Germany","669","0.268531728847471","0.250033108287192","0.28703034940775"
"Min 1x per month","1999","Rural Area","East Germany","810","0.305228046523356","0.287165782854973","0.323290310191738"
"Rarely","1999","Urban Area","West Germany","3654","0.485359850072083","0.474197431966047","0.496522268178119"
"Rarely","1999","Urban Area","East Germany","698","0.521510847710075","0.494219402199097","0.548802293221053"
"Rarely","1999","Rural Area","West Germany","1052","0.479859308445698","0.459006662407578","0.500711954483819"
"Rarely","1999","Rural Area","East Germany","1268","0.494099852471569","0.474489807710058","0.51370989723308"
"Never","1999","Urban Area","West Germany","1032","0.149513853653692","0.141549530580627","0.157478176726757"
"Never","1999","Urban Area","East Germany","99","0.112552957187881","0.0952862908852816","0.12981962349048"
"Never","1999","Rural Area","West Germany","237","0.147587236730818","0.132782756417545","0.162391717044091"
"Never","1999","Rural Area","East Germany","183","0.0983065694163614","0.086628809479922","0.109984329352801"
"Min 1x per week","2000","Urban Area","West Germany","","","",""
"Min 1x per week","2000","Urban Area","East Germany","","","",""
"Min 1x per week","2000","Rural Area","West Germany","","","",""
"Min 1x per week","2000","Rural Area","East Germany","","","",""
"Min 1x per month","2000","Urban Area","West Germany","","","",""
"Min 1x per month","2000","Urban Area","East Germany","","","",""
"Min 1x per month","2000","Rural Area","West Germany","","","",""
"Min 1x per month","2000","Rural Area","East Germany","","","",""
"Rarely","2000","Urban Area","West Germany","","","",""
"Rarely","2000","Urban Area","East Germany","","","",""
"Rarely","2000","Rural Area","West Germany","","","",""
"Rarely","2000","Rural Area","East Germany","","","",""
"Never","2000","Urban Area","West Germany","","","",""
"Never","2000","Urban Area","East Germany","","","",""
"Never","2000","Rural Area","West Germany","","","",""
"Never","2000","Rural Area","East Germany","","","",""
"Min 1x per week","2001","Urban Area","West Germany","1591","0.122575288284009","0.11685223129959","0.128298345268429"
"Min 1x per week","2001","Urban Area","East Germany","225","0.13735242573479","0.121477047267345","0.153227804202236"
"Min 1x per week","2001","Rural Area","West Germany","455","0.114450050913517","0.104395194849435","0.124504906977599"
"Min 1x per week","2001","Rural Area","East Germany","459","0.134971973384347","0.123854873823352","0.146089072945342"
"Min 1x per month","2001","Urban Area","West Germany","3756","0.284849004195497","0.276972601641781","0.292725406749213"
"Min 1x per month","2001","Urban Area","East Germany","566","0.302801266830638","0.281610515430152","0.323992018231124"
"Min 1x per month","2001","Rural Area","West Germany","1162","0.29724574135676","0.282810604844087","0.311680877869433"
"Min 1x per month","2001","Rural Area","East Germany","1253","0.326537080641859","0.311279779997531","0.341794381286186"
"Rarely","2001","Urban Area","West Germany","5534","0.436154310833913","0.427500211127117","0.444808410540708"
"Rarely","2001","Urban Area","East Germany","863","0.457251465504172","0.434275905755919","0.480227025252424"
"Rarely","2001","Rural Area","West Germany","1692","0.43249136289136","0.416844175313869","0.448138550468851"
"Rarely","2001","Rural Area","East Germany","1597","0.42907878569665","0.41297562159187","0.44518194980143"
"Never","2001","Urban Area","West Germany","1733","0.156421396686581","0.150082224691961","0.162760568681201"
"Never","2001","Urban Area","East Germany","152","0.1025948419304","0.0886007003925345","0.116588983468266"
"Never","2001","Rural Area","West Germany","542","0.155812844838363","0.144358181482515","0.167267508194211"
"Never","2001","Rural Area","East Germany","320","0.109412160277145","0.0992560879782161","0.119568232576074"
"Min 1x per week","2002","Urban Area","West Germany","","","",""
"Min 1x per week","2002","Urban Area","East Germany","","","",""
"Min 1x per week","2002","Rural Area","West Germany","","","",""
"Min 1x per week","2002","Rural Area","East Germany","","","",""
"Min 1x per month","2002","Urban Area","West Germany","","","",""
"Min 1x per month","2002","Urban Area","East Germany","","","",""
"Min 1x per month","2002","Rural Area","West Germany","","","",""
"Min 1x per month","2002","Rural Area","East Germany","","","",""
"Rarely","2002","Urban Area","West Germany","","","",""
"Rarely","2002","Urban Area","East Germany","","","",""
"Rarely","2002","Rural Area","West Germany","","","",""
"Rarely","2002","Rural Area","East Germany","","","",""
"Never","2002","Urban Area","West Germany","","","",""
"Never","2002","Urban Area","East Germany","","","",""
"Never","2002","Rural Area","West Germany","","","",""
"Never","2002","Rural Area","East Germany","","","",""
"Min 1x per week","2003","Urban Area","West Germany","","","",""
"Min 1x per week","2003","Urban Area","East Germany","","","",""
"Min 1x per week","2003","Rural Area","West Germany","","","",""
"Min 1x per week","2003","Rural Area","East Germany","","","",""
"Min 1x per month","2003","Urban Area","West Germany","","","",""
"Min 1x per month","2003","Urban Area","East Germany","","","",""
"Min 1x per month","2003","Rural Area","West Germany","","","",""
"Min 1x per month","2003","Rural Area","East Germany","","","",""
"Rarely","2003","Urban Area","West Germany","","","",""
"Rarely","2003","Urban Area","East Germany","","","",""
"Rarely","2003","Rural Area","West Germany","","","",""
"Rarely","2003","Rural Area","East Germany","","","",""
"Never","2003","Urban Area","West Germany","","","",""
"Never","2003","Urban Area","East Germany","","","",""
"Never","2003","Rural Area","West Germany","","","",""
"Never","2003","Rural Area","East Germany","","","",""
"Min 1x per week","2004","Urban Area","West Germany","","","",""
"Min 1x per week","2004","Urban Area","East Germany","","","",""
"Min 1x per week","2004","Rural Area","West Germany","","","",""
"Min 1x per week","2004","Rural Area","East Germany","","","",""
"Min 1x per month","2004","Urban Area","West Germany","","","",""
"Min 1x per month","2004","Urban Area","East Germany","","","",""
"Min 1x per month","2004","Rural Area","West Germany","","","",""
"Min 1x per month","2004","Rural Area","East Germany","","","",""
"Rarely","2004","Urban Area","West Germany","","","",""
"Rarely","2004","Urban Area","East Germany","","","",""
"Rarely","2004","Rural Area","West Germany","","","",""
"Rarely","2004","Rural Area","East Germany","","","",""
"Never","2004","Urban Area","West Germany","","","",""
"Never","2004","Urban Area","East Germany","","","",""
"Never","2004","Rural Area","West Germany","","","",""
"Never","2004","Rural Area","East Germany","","","",""
"Min 1x per week","2005","Urban Area","West Germany","1459","0.120496986748947","0.114693651970137","0.126300321527757"
"Min 1x per week","2005","Urban Area","East Germany","194","0.123887418753886","0.108500134606911","0.139274702900862"
"Min 1x per week","2005","Rural Area","West Germany","426","0.121147452794565","0.11044237152768","0.131852534061451"
"Min 1x per week","2005","Rural Area","East Germany","364","0.125733648824109","0.114378571912772","0.137088725735447"
"Min 1x per month","2005","Urban Area","West Germany","3722","0.306310514942711","0.2980931159628","0.314527913922622"
"Min 1x per month","2005","Urban Area","East Germany","551","0.289385150042179","0.268205261364579","0.31056503871978"
"Min 1x per month","2005","Rural Area","West Germany","1163","0.322011119579682","0.306681847342886","0.337340391816479"
"Min 1x per month","2005","Rural Area","East Germany","1068","0.324105093355099","0.308075409622395","0.340134777087803"
"Rarely","2005","Urban Area","West Germany","5502","0.441627714427172","0.432775315999319","0.450480112855025"
"Rarely","2005","Urban Area","East Germany","901","0.499229557208189","0.475876814105471","0.522582300310907"
"Rarely","2005","Rural Area","West Germany","1576","0.426387950561181","0.410162886823713","0.442613014298649"
"Rarely","2005","Rural Area","East Germany","1540","0.44176506321914","0.424757322406969","0.458772804031311"
"Never","2005","Urban Area","West Germany","1405","0.131564783881169","0.125539057504284","0.137590510258055"
"Never","2005","Urban Area","East Germany","115","0.0874978739957453","0.0743006038747341","0.100695144116756"
"Never","2005","Rural Area","West Germany","404","0.130453477064571","0.119403813423526","0.141503140705617"
"Never","2005","Rural Area","East Germany","303","0.108396194601651","0.097748994565319","0.119043394637984"
"Min 1x per week","2006","Urban Area","West Germany","","","",""
"Min 1x per week","2006","Urban Area","East Germany","","","",""
"Min 1x per week","2006","Rural Area","West Germany","","","",""
"Min 1x per week","2006","Rural Area","East Germany","","","",""
"Min 1x per month","2006","Urban Area","West Germany","","","",""
"Min 1x per month","2006","Urban Area","East Germany","","","",""
"Min 1x per month","2006","Rural Area","West Germany","","","",""
"Min 1x per month","2006","Rural Area","East Germany","","","",""
"Rarely","2006","Urban Area","West Germany","","","",""
"Rarely","2006","Urban Area","East Germany","","","",""
"Rarely","2006","Rural Area","West Germany","","","",""
"Rarely","2006","Rural Area","East Germany","","","",""
"Never","2006","Urban Area","West Germany","","","",""
"Never","2006","Urban Area","East Germany","","","",""
"Never","2006","Rural Area","West Germany","","","",""
"Never","2006","Rural Area","East Germany","","","",""
"Min 1x per week","2007","Urban Area","West Germany","1525","0.117182489348055","0.111389259899156","0.122975718796954"
"Min 1x per week","2007","Urban Area","East Germany","212","0.113202912978863","0.0982727011470347","0.128133124810691"
"Min 1x per week","2007","Rural Area","West Germany","465","0.128476656445616","0.11763887107828","0.139314441812952"
"Min 1x per week","2007","Rural Area","East Germany","376","0.120473587611572","0.109313247451715","0.131633927771429"
"Min 1x per month","2007","Urban Area","West Germany","3607","0.308699754806797","0.300379140366473","0.317020369247121"
"Min 1x per month","2007","Urban Area","East Germany","546","0.308574240547312","0.286808289326558","0.330340191768066"
"Min 1x per month","2007","Rural Area","West Germany","1189","0.314155901469965","0.299121912223769","0.329189890716162"
"Min 1x per month","2007","Rural Area","East Germany","1130","0.353451822622158","0.337062061429328","0.369841583814989"
"Rarely","2007","Urban Area","West Germany","5267","0.438725961213643","0.429788008659613","0.447663913767674"
"Rarely","2007","Urban Area","East Germany","807","0.460432806198432","0.436945622876989","0.483919989519874"
"Rarely","2007","Rural Area","West Germany","1536","0.417351754844752","0.401380344629971","0.433323165059533"
"Rarely","2007","Rural Area","East Germany","1426","0.419380236979414","0.402461927908962","0.436298546049867"
"Never","2007","Urban Area","West Germany","1442","0.135391794631505","0.129229254658767","0.141554334604242"
"Never","2007","Urban Area","East Germany","165","0.117790040275394","0.10259977693837","0.132980303612417"
"Never","2007","Rural Area","West Germany","472","0.140015687239667","0.12877682018771","0.151254554291624"
"Never","2007","Rural Area","East Germany","336","0.106694352786855","0.0961096705767119","0.117279034996998"
"Min 1x per week","2008","Urban Area","West Germany","","","",""
"Min 1x per week","2008","Urban Area","East Germany","","","",""
"Min 1x per week","2008","Rural Area","West Germany","","","",""
"Min 1x per week","2008","Rural Area","East Germany","","","",""
"Min 1x per month","2008","Urban Area","West Germany","","","",""
"Min 1x per month","2008","Urban Area","East Germany","","","",""
"Min 1x per month","2008","Rural Area","West Germany","","","",""
"Min 1x per month","2008","Rural Area","East Germany","","","",""
"Rarely","2008","Urban Area","West Germany","","","",""
"Rarely","2008","Urban Area","East Germany","","","",""
"Rarely","2008","Rural Area","West Germany","","","",""
"Rarely","2008","Rural Area","East Germany","","","",""
"Never","2008","Urban Area","West Germany","","","",""
"Never","2008","Urban Area","East Germany","","","",""
"Never","2008","Rural Area","West Germany","","","",""
"Never","2008","Rural Area","East Germany","","","",""
"Min 1x per week","2009","Urban Area","West Germany","1082","0.104433834986619","0.0985006244289083","0.110367045544329"
"Min 1x per week","2009","Urban Area","East Germany","166","0.0939186058124742","0.079561862873603","0.108275348751345"
"Min 1x per week","2009","Rural Area","West Germany","342","0.108291787357909","0.0976409596638509","0.118942615051967"
"Min 1x per week","2009","Rural Area","East Germany","332","0.116621581277018","0.105045029382243","0.128198133171793"
"Min 1x per month","2009","Urban Area","West Germany","3061","0.295438550513229","0.286587122750859","0.304289978275599"
"Min 1x per month","2009","Urban Area","East Germany","504","0.326423497851608","0.303346427671581","0.349500568031636"
