"pli0095_h","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Rarely","1988","66 and older","302","0.280554694030794","0.253223596266826","0.307885791794761","4"
"Min 1x per month","1989","16-34 y.","","","","","3"
"Min 1x per month","1989","35-65 y.","","","","","3"
"Min 1x per month","1989","66 and older","","","","","3"
"Min 1x per week","1989","16-34 y.","","","","","2"
"Min 1x per week","1989","35-65 y.","","","","","2"
"Min 1x per week","1989","66 and older","","","","","2"
"Never","1989","16-34 y.","","","","","5"
"Never","1989","66 and older","","","","","5"
"Never","1989","35-65 y.","","","","","5"
"Rarely","1989","16-34 y.","","","","","4"
"Rarely","1989","35-65 y.","","","","","4"
"Rarely","1989","66 and older","","","","","4"
"Min 1x per month","1990","16-34 y.","565","0.344678843911868","0.322013220202514","0.367344467621222","3"
"Min 1x per month","1990","35-65 y.","656","0.285858376051348","0.267352997041615","0.304363755061081","3"
"Min 1x per month","1990","66 and older","53","0.118210871388915","0.0874799032612203","0.14894183951661","3"
"Min 1x per week","1990","16-34 y.","320","0.191218444378047","0.172463586568503","0.209973302187591","2"
"Min 1x per week","1990","35-65 y.","386","0.167151377078956","0.151869793350681","0.182432960807231","2"
"Min 1x per week","1990","66 and older","65","0.141470213517493","0.108297931343454","0.174642495691532","2"
"Never","1990","16-34 y.","78","0.0460908095979353","0.0360909488784275","0.0560906703174432","5"
"Never","1990","35-65 y.","174","0.0847592579581074","0.0733517286011258","0.096166787315089","5"
"Never","1990","66 and older","145","0.38489227645766","0.338578483377012","0.431206069538308","5"
"Rarely","1990","16-34 y.","726","0.41801190211215","0.394489339044689","0.441534465179611","4"
"Rarely","1990","35-65 y.","1074","0.462230988911589","0.44181089358736","0.482651084235817","4"
"Rarely","1990","66 and older","161","0.355426638635932","0.309867413767958","0.400985863503906","4"
"Min 1x per month","1991","16-34 y.","","","","","3"
"Min 1x per month","1991","35-65 y.","","","","","3"
"Min 1x per month","1991","66 and older","","","","","3"
"Min 1x per week","1991","16-34 y.","","","","","2"
"Min 1x per week","1991","35-65 y.","","","","","2"
"Min 1x per week","1991","66 and older","","","","","2"
"Never","1991","16-34 y.","","","","","5"
"Never","1991","35-65 y.","","","","","5"
"Never","1991","66 and older","","","","","5"
"Rarely","1991","16-34 y.","","","","","4"
"Rarely","1991","35-65 y.","","","","","4"
"Rarely","1991","66 and older","","","","","4"
"Min 1x per month","1992","16-34 y.","1708","0.347844293848197","0.33460942507631","0.361079162620084","3"
"Min 1x per month","1992","35-65 y.","1726","0.242100420231879","0.231943875503857","0.2522569649599","3"
"Min 1x per month","1992","66 and older","238","0.14761331935493","0.129343051661183","0.165883587048677","3"
"Min 1x per week","1992","16-34 y.","527","0.0977834588713387","0.0895299306854364","0.106036987057241","2"
"Min 1x per week","1992","35-65 y.","609","0.0840460994282456","0.0774674314217559","0.0906247674347353","2"
"Min 1x per week","1992","66 and older","142","0.0959382149637636","0.0807691544848886","0.111107275442639","2"
"Never","1992","16-34 y.","374","0.0654295757323931","0.0585581854382768","0.0723009660265093","5"
"Never","1992","35-65 y.","847","0.128953604600069","0.121007033604732","0.136900175595405","5"
"Never","1992","66 and older","620","0.474744282054674","0.449023801661017","0.500464762448331","5"
"Rarely","1992","16-34 y.","2366","0.488942671548071","0.475052253093578","0.502833090002564","4"
"Rarely","1992","35-65 y.","3651","0.544899875739807","0.533092477479108","0.556707274000505","4"
"Rarely","1992","66 and older","448","0.281704183626632","0.258534925556502","0.304873441696762","4"
"Min 1x per month","1993","16-34 y.","","","","","3"
"Min 1x per month","1993","35-65 y.","","","","","3"
"Min 1x per month","1993","66 and older","","","","","3"
"Min 1x per week","1993","16-34 y.","","","","","2"
"Min 1x per week","1993","35-65 y.","","","","","2"
"Min 1x per week","1993","66 and older","","","","","2"
"Never","1993","16-34 y.","","","","","5"
"Never","1993","35-65 y.","","","","","5"
"Never","1993","66 and older","","","","","5"
"Rarely","1993","16-34 y.","","","","","4"
"Rarely","1993","35-65 y.","","","","","4"
"Rarely","1993","66 and older","","","","","4"
"Min 1x per month","1994","16-34 y.","1617","0.342142226326146","0.328722255181433","0.355562197470859","3"
"Min 1x per month","1994","35-65 y.","1675","0.243143103354179","0.232763808677953","0.253522398030404","3"
"Min 1x per month","1994","66 and older","251","0.159778469943723","0.141211615781298","0.178345324106148","3"
"Min 1x per week","1994","16-34 y.","513","0.098908697966994","0.0904640047046777","0.10735339122931","2"
"Min 1x per week","1994","35-65 y.","582","0.0860229774272216","0.0792386804278772","0.0928072744265661","2"
"Min 1x per week","1994","66 and older","136","0.0874107932642273","0.0730987220333841","0.10172286449507","2"
"Never","1994","16-34 y.","329","0.0603249970602978","0.0535902741859369","0.0670597199346586","5"
"Never","1994","35-65 y.","748","0.120052438727078","0.112188432162902","0.127916445291254","5"
"Never","1994","66 and older","594","0.426680062176097","0.401617123489615","0.451743000862578","5"
"Rarely","1994","16-34 y.","2342","0.498624078646562","0.484480783710686","0.512767373582439","4"
"Rarely","1994","35-65 y.","3557","0.550781480491522","0.538746414703098","0.562816546279946","4"
"Rarely","1994","66 and older","515","0.326130674615953","0.302375076883224","0.349886272348683","4"
"Min 1x per month","1995","16-34 y.","","","","","3"
"Min 1x per month","1995","35-65 y.","","","","","3"
"Min 1x per month","1995","66 and older","","","","","3"
"Min 1x per week","1995","16-34 y.","","","","","2"
"Min 1x per week","1995","35-65 y.","","","","","2"
"Min 1x per week","1995","66 and older","","","","","2"
"Never","1995","16-34 y.","","","","","5"
"Never","1995","35-65 y.","","","","","5"
"Never","1995","66 and older","","","","","5"
"Rarely","1995","16-34 y.","","","","","4"
"Rarely","1995","35-65 y.","","","","","4"
"Rarely","1995","66 and older","","","","","4"
"Min 1x per month","1996","16-34 y.","1803","0.387722516585074","0.373886952499286","0.401558080670861","3"
"Min 1x per month","1996","35-65 y.","2051","0.286563963401268","0.275769365947172","0.297358560855365","3"
"Min 1x per month","1996","66 and older","321","0.184964749597823","0.165734501255511","0.204194997940134","3"
"Min 1x per week","1996","16-34 y.","613","0.123747007290625","0.114396302975579","0.133097711605672","2"
"Min 1x per week","1996","35-65 y.","792","0.119165918548282","0.111431258503121","0.126900578593443","2"
"Min 1x per week","1996","66 and older","181","0.100072151846296","0.0852089396868424","0.114935364005749","2"
"Never","1996","16-34 y.","267","0.0513809900209734","0.0451118299274742","0.0576501501144726","5"
"Never","1996","35-65 y.","579","0.0889276382446554","0.0821322706001012","0.0957230058892096","5"
"Never","1996","66 and older","496","0.352461238243208","0.328799819649991","0.376122656836425","5"
"Rarely","1996","16-34 y.","2081","0.437149486103328","0.423063938549316","0.451235033657339","4"
"Rarely","1996","35-65 y.","3318","0.505342479805794","0.493406354913918","0.517278604697671","4"
"Rarely","1996","66 and older","568","0.362501860312674","0.338692551230765","0.386311169394582","4"
"Min 1x per month","1997","16-34 y.","1679","0.378822607364623","0.364824087145824","0.392821127583421","3"
"Min 1x per month","1997","35-65 y.","1913","0.278178260252107","0.267388004909354","0.28896851559486","3"
"Min 1x per month","1997","66 and older","272","0.146257134611644","0.128816819865618","0.163697449357671","3"
"Min 1x per week","1997","16-34 y.","604","0.124322647307634","0.114801187306289","0.133844107308978","2"
"Min 1x per week","1997","35-65 y.","701","0.105162125217498","0.0977753139044401","0.112548936530557","2"
"Min 1x per week","1997","66 and older","211","0.125817674143196","0.109449355099959","0.142185993186433","2"
"Never","1997","16-34 y.","287","0.0594515234072586","0.0526276894658924","0.0662753573486248","5"
"Never","1997","35-65 y.","662","0.107237071515418","0.0997863951987467","0.11468774783209","5"
"Never","1997","66 and older","518","0.365849177442151","0.342076419634555","0.389621935249747","5"
"Rarely","1997","16-34 y.","2043","0.437403221920485","0.423088069618757","0.451718374222214","4"
"Rarely","1997","35-65 y.","3349","0.509422543014977","0.497384718075879","0.521460367954074","4"
"Rarely","1997","66 and older","576","0.362076013803008","0.338355909844257","0.38579611776176","4"
"Min 1x per month","1998","16-34 y.","","","","","3"
"Min 1x per month","1998","35-65 y.","","","","","3"
"Min 1x per month","1998","66 and older","","","","","3"
"Min 1x per week","1998","16-34 y.","","","","","2"
"Min 1x per week","1998","35-65 y.","","","","","2"
"Min 1x per week","1998","66 and older","","","","","2"
"Never","1998","16-34 y.","","","","","5"
"Never","1998","35-65 y.","","","","","5"
"Never","1998","66 and older","","","","","5"
"Rarely","1998","16-34 y.","","","","","4"
"Rarely","1998","35-65 y.","","","","","4"
"Rarely","1998","66 and older","","","","","4"
"Min 1x per month","1999","16-34 y.","1652","0.357839398148111","0.343986677351657","0.371692118944564","3"
"Min 1x per month","1999","35-65 y.","2049","0.264868182446234","0.254733959791731","0.275002405100737","3"
"Min 1x per month","1999","66 and older","305","0.146148576541372","0.129860962744923","0.162436190337821","3"
"Min 1x per week","1999","16-34 y.","587","0.130545705714419","0.120809856282767","0.14028155514607","2"
"Min 1x per week","1999","35-65 y.","700","0.0957634483708352","0.0890052045906758","0.102521692150995","2"
"Min 1x per week","1999","66 and older","174","0.0924062402470144","0.0790536532721207","0.105758827221908","2"
"Never","1999","16-34 y.","289","0.0566225575009384","0.0499436310708729","0.0633014839310039","5"
"Never","1999","35-65 y.","659","0.0977259717260571","0.0909062420057407","0.104545701446373","5"
"Never","1999","66 and older","603","0.373427541168835","0.351124820864977","0.395730261472693","5"
"Rarely","1999","16-34 y.","2072","0.454992338636532","0.440601950071341","0.469382727201723","4"
"Rarely","1999","35-65 y.","3875","0.541642397456874","0.530199092243851","0.553085702669897","4"
"Rarely","1999","66 and older","725","0.388017642042779","0.365549653066174","0.410485631019383","4"
"Min 1x per month","2000","16-34 y.","","","","","3"
"Min 1x per month","2000","35-65 y.","","","","","3"
"Min 1x per month","2000","66 and older","","","","","3"
"Min 1x per week","2000","16-34 y.","","","","","2"
"Min 1x per week","2000","35-65 y.","","","","","2"
"Min 1x per week","2000","66 and older","","","","","2"
"Never","2000","16-34 y.","","","","","5"
"Never","2000","35-65 y.","","","","","5"
"Never","2000","66 and older","","","","","5"
"Rarely","2000","16-34 y.","","","","","4"
"Rarely","2000","35-65 y.","","","","","4"
"Rarely","2000","66 and older","","","","","4"
"Min 1x per month","2001","16-34 y.","2377","0.375902009898992","0.363916968190715","0.387887051607268","3"
"Min 1x per month","2001","35-65 y.","3748","0.300901693878432","0.292771088899701","0.309032298857163","3"
"Min 1x per month","2001","66 and older","612","0.16847350487105","0.155896281103598","0.181050728638502","3"
"Min 1x per week","2001","16-34 y.","935","0.153781656230552","0.144855400630625","0.162707911830479","2"
"Min 1x per week","2001","35-65 y.","1375","0.111705075950594","0.106120933806299","0.117289218094888","2"
"Min 1x per week","2001","66 and older","420","0.116668476580498","0.105881007483966","0.127455945677031","2"
"Never","2001","16-34 y.","409","0.0662114101029392","0.060058698853336","0.0723641213525424","5"
"Never","2001","35-65 y.","1186","0.101239213902632","0.0958918731449011","0.106586554660362","5"
"Never","2001","66 and older","1152","0.372218916075756","0.355975241914529","0.388462590236983","5"
"Rarely","2001","16-34 y.","2553","0.404104923767517","0.391962432401033","0.416247415134002","4"
"Rarely","2001","35-65 y.","5915","0.486154016268343","0.477293789393426","0.49501424314326","4"
"Rarely","2001","66 and older","1218","0.342639102472696","0.326691282233441","0.35858692271195","4"
"Min 1x per month","2002","16-34 y.","","","","","3"
"Min 1x per month","2002","35-65 y.","","","","","3"
"Min 1x per month","2002","66 and older","","","","","3"
"Min 1x per week","2002","16-34 y.","","","","","2"
"Min 1x per week","2002","35-65 y.","","","","","2"
"Min 1x per week","2002","66 and older","","","","","2"
"Never","2002","16-34 y.","","","","","5"
"Never","2002","35-65 y.","","","","","5"
"Never","2002","66 and older","","","","","5"
"Rarely","2002","16-34 y.","","","","","4"
"Rarely","2002","35-65 y.","","","","","4"
"Rarely","2002","66 and older","","","","","4"
"Min 1x per month","2003","16-34 y.","","","","","3"
"Min 1x per month","2003","35-65 y.","","","","","3"
"Min 1x per month","2003","66 and older","","","","","3"
"Min 1x per week","2003","16-34 y.","","","","","2"
"Min 1x per week","2003","35-65 y.","","","","","2"
"Min 1x per week","2003","66 and older","","","","","2"
"Never","2003","16-34 y.","","","","","5"
"Never","2003","35-65 y.","","","","","5"
"Never","2003","66 and older","","","","","5"
"Rarely","2003","16-34 y.","","","","","4"
"Rarely","2003","35-65 y.","","","","","4"
"Rarely","2003","66 and older","","","","","4"
"Min 1x per month","2004","16-34 y.","","","","","3"
"Min 1x per month","2004","35-65 y.","","","","","3"
"Min 1x per month","2004","66 and older","","","","","3"
"Min 1x per week","2004","16-34 y.","","","","","2"
"Min 1x per week","2004","35-65 y.","","","","","2"
"Min 1x per week","2004","66 and older","","","","","2"
"Never","2004","16-34 y.","","","","","5"
"Never","2004","35-65 y.","","","","","5"
"Never","2004","66 and older","","","","","5"
"Rarely","2004","16-34 y.","","","","","4"
"Rarely","2004","35-65 y.","","","","","4"
"Rarely","2004","66 and older","","","","","4"
"Min 1x per month","2005","16-34 y.","2089","0.404701277103512","0.391501888330279","0.417900665876745","3"
"Min 1x per month","2005","35-65 y.","3638","0.315357424665978","0.306903123539965","0.32381172579199","3"
"Min 1x per month","2005","66 and older","777","0.187746934342833","0.175292996170591","0.200200872515075","3"
"Min 1x per week","2005","16-34 y.","793","0.147321422032487","0.137790285625454","0.15685255843952","2"
"Min 1x per week","2005","35-65 y.","1198","0.109451400571783","0.103770937968095","0.115131863175471","2"
"Min 1x per week","2005","66 and older","452","0.120431723925209","0.110052142775033","0.130811305075386","2"
"Never","2005","16-34 y.","258","0.0484895792546581","0.0427132752729376","0.0542658832363786","5"
"Never","2005","35-65 y.","873","0.0794723503598623","0.0745511541766624","0.0843935465430622","5"
"Never","2005","66 and older","1096","0.328040092346487","0.313067060709659","0.343013123983314","5"
"Rarely","2005","16-34 y.","2172","0.399487721609342","0.386316328204904","0.412659115013781","4"
"Rarely","2005","35-65 y.","5895","0.495718824402377","0.486621821886803","0.50481582691795","4"
"Rarely","2005","66 and older","1452","0.363781249385471","0.348438683889171","0.379123814881771","4"
"Min 1x per month","2006","16-34 y.","","","","","3"
"Min 1x per month","2006","35-65 y.","","","","","3"
"Min 1x per month","2006","66 and older","","","","","3"
"Min 1x per week","2006","16-34 y.","","","","","2"
"Min 1x per week","2006","35-65 y.","","","","","2"
"Min 1x per week","2006","66 and older","","","","","2"
"Never","2006","16-34 y.","","","","","5"
"Never","2006","35-65 y.","","","","","5"
"Never","2006","66 and older","","","","","5"
"Rarely","2006","16-34 y.","","","","","4"
"Rarely","2006","35-65 y.","","","","","4"
"Rarely","2006","66 and older","","","","","4"
"Min 1x per month","2007","16-34 y.","1923","0.411952433969824","0.397891772347582","0.426013095592066","3"
"Min 1x per month","2007","35-65 y.","3624","0.322964871590986","0.314394231625756","0.331535511556216","3"
"Min 1x per month","2007","66 and older","925","0.199403008861216","0.187541840050542","0.211264177671891","3"
"Min 1x per week","2007","16-34 y.","742","0.152178009629643","0.141916664849807","0.162439354409479","2"
"Min 1x per week","2007","35-65 y.","1313","0.107138684945313","0.101469832333802","0.112807537556825","2"
"Min 1x per week","2007","66 and older","523","0.114692367006484","0.105232848771759","0.124151885241209","2"
"Never","2007","16-34 y.","259","0.0604994743757702","0.053688640204304","0.0673103085472365","5"
"Never","2007","35-65 y.","949","0.0893953607756976","0.0841659539846445","0.0946247675667506","5"
"Never","2007","66 and older","1207","0.300279085778342","0.286671545564731","0.313886625991952","5"
"Rarely","2007","16-34 y.","1783","0.375370082024762","0.361537055476943","0.389203108572582","4"
"Rarely","2007","35-65 y.","5549","0.480501082688003","0.47134373897781","0.489658426398197","4"
"Rarely","2007","66 and older","1704","0.385625538353958","0.371175994824595","0.400075081883321","4"
"Min 1x per month","2008","16-34 y.","","","","","3"
"Min 1x per month","2008","35-65 y.","","","","","3"
"Min 1x per month","2008","66 and older","","","","","3"
"Min 1x per week","2008","16-34 y.","","","","","2"
"Min 1x per week","2008","35-65 y.","","","","","2"
"Min 1x per week","2008","66 and older","","","","","2"
"Never","2008","16-34 y.","","","","","5"
"Never","2008","35-65 y.","","","","","5"
"Never","2008","66 and older","","","","","5"
"Rarely","2008","16-34 y.","","","","","4"
"Rarely","2008","35-65 y.","","","","","4"
"Rarely","2008","66 and older","","","","","4"
"Min 1x per month","2009","16-34 y.","1650","0.423329384242714","0.40797933851156","0.438679429973869","3"
"Min 1x per month","2009","35-65 y.","3083","0.309522786348842","0.300394129582255","0.318651443115429","3"
"Min 1x per month","2009","66 and older","826","0.182690356805015","0.170980400291648","0.194400313318382","3"
"Min 1x per week","2009","16-34 y.","551","0.130134260481853","0.119681560331814","0.140586960631891","2"
"Min 1x per week","2009","35-65 y.","953","0.0997757270606686","0.0938577442499836","0.105693709871354","2"
"Min 1x per week","2009","66 and older","418","0.0948015268331075","0.0859241688961464","0.103678884770069","2"
"Never","2009","16-34 y.","163","0.0461668901489095","0.0396474836305781","0.052686296667241","5"
"Never","2009","35-65 y.","779","0.0840506798387802","0.0785717943063328","0.0895295653712275","5"
"Never","2009","66 and older","1101","0.290307003609728","0.276551763522934","0.304062243696522","5"
"Rarely","2009","16-34 y.","1616","0.400369465126524","0.38514721341606","0.415591716836987","4"
"Rarely","2009","35-65 y.","5037","0.506650806751709","0.496778526627862","0.516523086875557","4"
"Rarely","2009","66 and older","1838","0.432201112752149","0.417188911855274","0.447213313649024","4"
"Min 1x per month","2010","16-34 y.","","","","","3"
"Min 1x per month","2010","35-65 y.","","","","","3"
"Min 1x per month","2010","66 and older","","","","","3"
"Min 1x per week","2010","16-34 y.","","","","","2"
"Min 1x per week","2010","35-65 y.","","","","","2"
"Min 1x per week","2010","66 and older","","","","","2"
"Never","2010","16-34 y.","","","","","5"
"Never","2010","35-65 y.","","","","","5"
"Never","2010","66 and older","","","","","5"
"Rarely","2010","16-34 y.","","","","","4"
"Rarely","2010","35-65 y.","","","","","4"
"Rarely","2010","66 and older","","","","","4"
"Min 1x per month","2011","16-34 y.","2722","0.414683507051282","0.402978925796476","0.426388088306088","3"
"Min 1x per month","2011","35-65 y.","5339","0.30899330722341","0.30192217637167","0.31606443807515","3"
"Min 1x per month","2011","66 and older","1057","0.187517250156283","0.176875464042923","0.198159036269643","3"
"Min 1x per week","2011","16-34 y.","1213","0.165239956839052","0.15641646513917","0.174063448538935","2"
"Min 1x per week","2011","35-65 y.","2007","0.12095727644446","0.115967349330659","0.125947203558262","2"
"Min 1x per week","2011","66 and older","560","0.0915138042848943","0.0836525958825924","0.0993750126871963","2"
"Never","2011","16-34 y.","406","0.048738775641487","0.0436232611023961","0.0538542901805779","5"
"Never","2011","35-65 y.","1331","0.0790117624747986","0.0748837012746104","0.0831398236749868","5"
"Never","2011","66 and older","1369","0.292253428141009","0.279853889315058","0.30465296696696","5"
"Rarely","2011","16-34 y.","2465","0.371337760468179","0.359858990224591","0.382816530711767","4"
"Rarely","2011","35-65 y.","7727","0.491037653857331","0.483387442469175","0.498687865245486","4"
"Rarely","2011","66 and older","2182","0.428715517417813","0.415222855018669","0.442208179816958","4"
"Min 1x per month","2012","16-34 y.","","","","","3"
"Min 1x per month","2012","35-65 y.","","","","","3"
"Min 1x per month","2012","66 and older","","","","","3"
"Min 1x per week","2012","16-34 y.","","","","","2"
"Min 1x per week","2012","35-65 y.","","","","","2"
"Min 1x per week","2012","66 and older","","","","","2"
"Never","2012","16-34 y.","","","","","5"
"Never","2012","35-65 y.","","","","","5"
"Never","2012","66 and older","","","","","5"
"Rarely","2012","16-34 y.","","","","","4"
"Rarely","2012","35-65 y.","","","","","4"
"Rarely","2012","66 and older","","","","","4"
"Min 1x per month","2013","16-34 y.","","","","","3"
"Min 1x per month","2013","35-65 y.","","","","","3"
"Min 1x per month","2013","66 and older","","","","","3"
"Min 1x per week","2013","35-65 y.","","","","","2"
"Min 1x per week","2013","16-34 y.","","","","","2"
"Min 1x per week","2013","66 and older","","","","","2"
"Never","2013","16-34 y.","","","","","5"
"Never","2013","35-65 y.","","","","","5"
"Never","2013","66 and older","","","","","5"
"Rarely","2013","16-34 y.","","","","","4"
"Rarely","2013","35-65 y.","","","","","4"
"Rarely","2013","66 and older","","","","","4"
"Min 1x per month","2014","16-34 y.","","","","","3"
"Min 1x per month","2014","35-65 y.","","","","","3"
"Min 1x per month","2014","66 and older","","","","","3"
"Min 1x per week","2014","35-65 y.","","","","","2"
"Min 1x per week","2014","16-34 y.","","","","","2"
"Min 1x per week","2014","66 and older","","","","","2"
"Never","2014","16-34 y.","","","","","5"
"Never","2014","35-65 y.","","","","","5"
"Never","2014","66 and older","","","","","5"
"Rarely","2014","16-34 y.","","","","","4"
"Rarely","2014","35-65 y.","","","","","4"
"Rarely","2014","66 and older","","","","","4"
"Min 1x per month","2015","16-34 y.","2832","0.427352642702954","0.415517014910096","0.439188270495811","3"
"Min 1x per month","2015","35-65 y.","5147","0.320613322034958","0.31320111682087","0.328025527249047","3"
"Min 1x per month","2015","66 and older","1092","0.203962359935254","0.192730525943481","0.215194193927028","3"
"Min 1x per week","2015","35-65 y.","1819","0.108605585481425","0.103664081220579","0.11354708974227","2"
"Min 1x per week","2015","16-34 y.","1226","0.164895705815665","0.156017412210706","0.173773999420624","2"
"Min 1x per week","2015","66 and older","503","0.0900219058585132","0.0820438250586566","0.0979999866583698","2"
"Never","2015","16-34 y.","302","0.0385387177300469","0.0339333002827046","0.0431441351773892","5"
"Never","2015","35-65 y.","999","0.0700050615237179","0.0659527469394169","0.074057376108019","5"
"Never","2015","66 and older","1134","0.255455165179737","0.243298579042046","0.267611751317428","5"
"Rarely","2015","16-34 y.","2351","0.369212933751335","0.357666860334489","0.38075900716818","4"
"Rarely","2015","35-65 y.","7265","0.500776030959899","0.49283516947392","0.508716892445878","4"
"Rarely","2015","66 and older","2215","0.450560569026496","0.436691562177199","0.464429575875792","4"
"Min 1x per month","2016","16-34 y.","","","","","3"
"Min 1x per month","2016","35-65 y.","","","","","3"
"Min 1x per month","2016","66 and older","","","","","3"
"Min 1x per week","2016","16-34 y.","","","","","2"
"Min 1x per week","2016","35-65 y.","","","","","2"
"Min 1x per week","2016","66 and older","","","","","2"
"Never","2016","16-34 y.","","","","","5"
"Never","2016","35-65 y.","","","","","5"
"Never","2016","66 and older","","","","","5"
"Rarely","2016","16-34 y.","","","","","4"
"Rarely","2016","66 and older","","","","","4"
"Rarely","2016","35-65 y.","","","","","4"
"Min 1x per month","2017","16-34 y.","2616","0.429870535772491","0.417582415756419","0.442158655788562","3"
"Min 1x per month","2017","35-65 y.","5437","0.34185247916174","0.334366082844726","0.349338875478753","3"
"Min 1x per month","2017","66 and older","1226","0.219557124271596","0.208095920954263","0.231018327588929","3"
"Min 1x per week","2017","16-34 y.","1259","0.180755516456434","0.171203778375072","0.190307254537796","2"
"Min 1x per week","2017","35-65 y.","1986","0.128045630783227","0.122771862020633","0.133319399545821","2"
"Min 1x per week","2017","66 and older","628","0.114932165357121","0.106101468771853","0.123762861942389","2"
"Never","2017","16-34 y.","299","0.0437706716526405","0.0386925570545425","0.0488487862507385","5"
"Never","2017","35-65 y.","1005","0.0706806184752066","0.0666355629228939","0.0747256740275192","5"
"Never","2017","66 and older","1053","0.252871074372559","0.240836430536653","0.264905718208464","5"
"Rarely","2017","16-34 y.","2061","0.345603276118435","0.333799000380979","0.35740755185589","4"
"Rarely","2017","35-65 y.","6993","0.459421271579827","0.451555762289187","0.467286780870468","4"
"Rarely","2017","66 and older","2104","0.412639635998724","0.399008762773127","0.426270509224321","4"
