"ple0009","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes, somewhat limited","2012","Employed","Female","1991","0.232942858786396","0.224193765132551","0.241691952440242","2"
"Yes, strongly limited","2012","Not Employed","Male","799","0.223538997214687","0.210250723303995","0.236827271125379","1"
"Yes, strongly limited","2012","Not Employed","Female","1058","0.221146946097962","0.210532769054013","0.231761123141911","1"
"Yes, strongly limited","2012","Employed","Male","314","0.0376571617936393","0.0336142574225829","0.0417000661646958","1"
"Yes, strongly limited","2012","Employed","Female","372","0.0421773516382375","0.0380172234750333","0.0463374798014417","1"
"No, not limited","2013","Not Employed","Male","3571","0.538452103790712","0.525681728541593","0.551222479039831","3"
"No, not limited","2013","Not Employed","Female","4717","0.482712139779401","0.471669986543709","0.493754293015094","3"
"No, not limited","2013","Employed","Male","6326","0.777300138622833","0.76821081695432","0.786389460291346","3"
"No, not limited","2013","Employed","Female","6510","0.742108788004609","0.732916670538983","0.751300905470235","3"
"Yes, somewhat limited","2013","Not Employed","Male","1465","0.290737540701152","0.279104968012002","0.302370113390301","2"
"Yes, somewhat limited","2013","Not Employed","Female","2039","0.316288396667738","0.306012455219866","0.326564338115609","2"
"Yes, somewhat limited","2013","Employed","Male","1423","0.180250791731012","0.171853171687723","0.188648411774301","2"
"Yes, somewhat limited","2013","Employed","Female","1811","0.209343638475543","0.200795190450077","0.217892086501009","2"
"Yes, strongly limited","2013","Not Employed","Male","818","0.170810355508136","0.161169717742877","0.180450993273395","1"
"Yes, strongly limited","2013","Not Employed","Female","1111","0.200999463552861","0.19214393473769","0.209854992368032","1"
"Yes, strongly limited","2013","Employed","Male","300","0.0424490696461545","0.0380446148534608","0.0468535244388482","1"
"Yes, strongly limited","2013","Employed","Female","380","0.048547573519848","0.0440317099821086","0.0530634370575874","1"
"No, not limited","2014","Not Employed","Male","","","","","3"
"No, not limited","2014","Not Employed","Female","","","","","3"
"No, not limited","2014","Employed","Male","","","","","3"
"No, not limited","2014","Employed","Female","","","","","3"
"Yes, somewhat limited","2014","Not Employed","Male","","","","","2"
"Yes, somewhat limited","2014","Not Employed","Female","","","","","2"
"Yes, somewhat limited","2014","Employed","Male","","","","","2"
"Yes, somewhat limited","2014","Employed","Female","","","","","2"
"Yes, strongly limited","2014","Not Employed","Male","","","","","1"
"Yes, strongly limited","2014","Not Employed","Female","","","","","1"
"Yes, strongly limited","2014","Employed","Male","","","","","1"
"Yes, strongly limited","2014","Employed","Female","","","","","1"
"No, not limited","2015","Not Employed","Male","2402","0.484985926633884","0.469962235202124","0.500009618065644","3"
"No, not limited","2015","Not Employed","Female","3187","0.439791576659095","0.427111080904743","0.452472072413447","3"
"No, not limited","2015","Employed","Male","6210","0.773346127018009","0.764133775042494","0.782558478993524","3"
"No, not limited","2015","Employed","Female","6241","0.728721758009327","0.719238957515792","0.738204558502861","3"
"Yes, somewhat limited","2015","Not Employed","Male","1143","0.308490550429252","0.294606297045111","0.322374803813393","2"
"Yes, somewhat limited","2015","Not Employed","Female","1713","0.337473159082245","0.325393370891057","0.349552947273433","2"
"Yes, somewhat limited","2015","Employed","Male","1422","0.181363968475268","0.172885392309542","0.189842544640995","2"
"Yes, somewhat limited","2015","Employed","Female","1853","0.226038028371061","0.217117330507108","0.234958726235015","2"
"Yes, strongly limited","2015","Not Employed","Male","706","0.206523522936864","0.194354538683268","0.21869250719046","1"
"Yes, strongly limited","2015","Not Employed","Female","986","0.22273526425866","0.212105663938106","0.233364864579214","1"
"Yes, strongly limited","2015","Employed","Male","302","0.0452899045067225","0.0407144056313685","0.0498654033820765","1"
"Yes, strongly limited","2015","Employed","Female","351","0.0452402136196117","0.0408076227570528","0.0496728044821706","1"
"No, not limited","2016","Not Employed","Male","2224","0.835785644634227","0.821829772659149","0.849741516609305","3"
"No, not limited","2016","Not Employed","Female","1175","0.724813031890702","0.70312528295045","0.746500780830955","3"
"No, not limited","2016","Employed","Male","","","","","3"
"No, not limited","2016","Employed","Female","","","","","3"
"Yes, somewhat limited","2016","Not Employed","Male","355","0.119924341374909","0.107686138767831","0.132162543981987","2"
"Yes, somewhat limited","2016","Not Employed","Female","340","0.200348401569291","0.180911327275975","0.219785475862607","2"
"Yes, somewhat limited","2016","Employed","Male","","","","","2"
"Yes, somewhat limited","2016","Employed","Female","","","","","2"
"Yes, strongly limited","2016","Not Employed","Male","128","0.044290013990864","0.0365396886457272","0.0520403393360007","1"
"Yes, strongly limited","2016","Not Employed","Female","114","0.0748385665400065","0.0620606796553357","0.0876164534246772","1"
"Yes, strongly limited","2016","Employed","Male","","","","","1"
"Yes, strongly limited","2016","Employed","Female","","","","","1"
"No, not limited","2017","Not Employed","Male","3123","0.471232800222859","0.457622150105812","0.484843450339907","3"
"No, not limited","2017","Not Employed","Female","3379","0.423657628025342","0.411329903466569","0.435985352584115","3"
"No, not limited","2017","Employed","Male","6837","0.771449167600411","0.762634930682272","0.780263404518551","3"
"No, not limited","2017","Employed","Female","6860","0.728175935191333","0.719132874772181","0.737218995610484","3"
"Yes, somewhat limited","2017","Not Employed","Male","1330","0.326903159256047","0.314112963391069","0.339693355121025","2"
"Yes, somewhat limited","2017","Not Employed","Female","1775","0.353301079321609","0.341376071227742","0.365226087415477","2"
"Yes, somewhat limited","2017","Employed","Male","1544","0.18750124996134","0.179308058700906","0.195694441221774","2"
"Yes, somewhat limited","2017","Employed","Female","2032","0.230620424786896","0.222058477880376","0.239182371693416","2"
"Yes, strongly limited","2017","Not Employed","Male","714","0.201864040521094","0.190919518983742","0.212808562058445","1"
"Yes, strongly limited","2017","Not Employed","Female","1018","0.223041292653049","0.212655808721737","0.23342677658436","1"
"Yes, strongly limited","2017","Employed","Male","337","0.0410495824382485","0.0368848020387944","0.0452143628377026","1"
"Yes, strongly limited","2017","Employed","Female","406","0.0412036400217719","0.0371636127151273","0.0452436673284164","1"
"No, not limited","2018","Not Employed","Male","157","0.804278615064482","0.748875092420094","0.85968213770887","3"
"No, not limited","2018","Not Employed","Female","177","0.775783244730058","0.721528291691886","0.83003819776823","3"
"No, not limited","2018","Employed","Male","","","","","3"
"No, not limited","2018","Employed","Female","","","","","3"
"Yes, somewhat limited","2018","Not Employed","Male","29","","","","2"
"Yes, somewhat limited","2018","Not Employed","Female","38","0.171724556880836","0.122663290133555","0.220785823628117","2"
"Yes, somewhat limited","2018","Employed","Male","","","","","2"
"Yes, somewhat limited","2018","Employed","Female","","","","","2"
"Yes, strongly limited","2018","Not Employed","Male","11","","","","1"
"Yes, strongly limited","2018","Not Employed","Female","12","","","","1"
"Yes, strongly limited","2018","Employed","Female","","","","","1"
"Yes, strongly limited","2018","Employed","Male","","","","","1"
"No, not limited","2019","Not Employed","Male","2820","0.445321327214512","0.431579719729376","0.459062934699649","3"
"No, not limited","2019","Not Employed","Female","3233","0.420746701397821","0.408247836610436","0.433245566185206","3"
"No, not limited","2019","Employed","Male","7533","0.769585236411933","0.761147154844985","0.77802331797888","3"
"No, not limited","2019","Employed","Female","6408","0.707808700246967","0.698401203715306","0.717216196778627","3"
"Yes, somewhat limited","2019","Not Employed","Male","1395","0.342119444869524","0.329002204938599","0.355236684800449","2"
"Yes, somewhat limited","2019","Not Employed","Female","1786","0.356798023338332","0.344669418201726","0.368926628474938","2"
"Yes, somewhat limited","2019","Employed","Male","1712","0.192701251288372","0.184797748496009","0.200604754080734","2"
"Yes, somewhat limited","2019","Employed","Female","2149","0.242133247513868","0.233271770416402","0.250994724611335","2"
"Yes, strongly limited","2019","Not Employed","Male","810","0.212559227915964","0.201247498996903","0.223870956835024","1"
"Yes, strongly limited","2019","Not Employed","Female","974","0.222455275263847","0.211925720776331","0.232984829751363","1"
"Yes, strongly limited","2019","Employed","Male","322","0.0377135122996958","0.0338961719040355","0.0415308526953561","1"
"Yes, strongly limited","2019","Employed","Female","420","0.050058052239165","0.0455471025345134","0.0545690019438167","1"
