"ple0009","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"No, not limited","2013","no migration background","Female","7753","0.600789492698211","0.592009952385296","0.609569033011127"
"No, not limited","2013","direct migration background","Male","2160","0.720698004959846","0.704280902987574","0.737115106932117"
"No, not limited","2013","direct migration background","Female","2580","0.666101609338835","0.650486556913377","0.681716661764294"
"No, not limited","2013","indirect migration background","Male","875","0.848657943186476","0.826642858611722","0.870673027761231"
"No, not limited","2013","indirect migration background","Female","894","0.813508546889293","0.79060506092284","0.836412032855747"
"Yes, strongly limited","2014","no migration background","Male","","","",""
"Yes, strongly limited","2014","no migration background","Female","","","",""
"Yes, strongly limited","2014","direct migration background","Male","","","",""
"Yes, strongly limited","2014","direct migration background","Female","","","",""
"Yes, strongly limited","2014","indirect migration background","Male","","","",""
"Yes, strongly limited","2014","indirect migration background","Female","","","",""
"Yes, somewhat limited","2014","no migration background","Male","","","",""
"Yes, somewhat limited","2014","no migration background","Female","","","",""
"Yes, somewhat limited","2014","direct migration background","Male","","","",""
"Yes, somewhat limited","2014","direct migration background","Female","","","",""
"Yes, somewhat limited","2014","indirect migration background","Male","","","",""
"Yes, somewhat limited","2014","indirect migration background","Female","","","",""
"No, not limited","2014","no migration background","Male","","","",""
"No, not limited","2014","no migration background","Female","","","",""
"No, not limited","2014","direct migration background","Male","","","",""
"No, not limited","2014","direct migration background","Female","","","",""
"No, not limited","2014","indirect migration background","Male","","","",""
"No, not limited","2014","indirect migration background","Female","","","",""
"Yes, strongly limited","2015","no migration background","Male","789","0.103903648180756","0.0974944076322989","0.110312888729213"
"Yes, strongly limited","2015","no migration background","Female","1081","0.129950800206394","0.123437805809585","0.136463794603203"
"Yes, strongly limited","2015","direct migration background","Male","190","0.0977887510322269","0.086603592163357","0.108973909901097"
"Yes, strongly limited","2015","direct migration background","Female","219","0.0963387063992856","0.0860981376637813","0.10657927513479"
"Yes, strongly limited","2015","indirect migration background","Male","29","","",""
"Yes, strongly limited","2015","indirect migration background","Female","37","0.0451298285889615","0.0315901541676477","0.0586695030102753"
"Yes, somewhat limited","2015","no migration background","Male","2053","0.239141022847164","0.230181333652116","0.248100712042211"
"Yes, somewhat limited","2015","no migration background","Female","2796","0.287296863259126","0.278532122063886","0.296061604454367"
"Yes, somewhat limited","2015","direct migration background","Male","430","0.192700588431531","0.177847990422234","0.207553186440827"
"Yes, somewhat limited","2015","direct migration background","Female","610","0.235875014916592","0.221140223179283","0.2506098066539"
"Yes, somewhat limited","2015","indirect migration background","Male","82","0.0992486922310732","0.0781162462140648","0.120381138248082"
"Yes, somewhat limited","2015","indirect migration background","Female","160","0.158358091855585","0.134546522361015","0.182169661350156"
"No, not limited","2015","no migration background","Male","5865","0.65695532897208","0.64698390741015","0.666926750534011"
"No, not limited","2015","no migration background","Female","6362","0.58275233653448","0.573201128864418","0.592303544204542"
"No, not limited","2015","direct migration background","Male","2089","0.709510660536242","0.69241491083791","0.726606410234575"
"No, not limited","2015","direct migration background","Female","2360","0.667786278684123","0.651438891083224","0.684133666285021"
"No, not limited","2015","indirect migration background","Male","658","0.84874364782359","0.8234197821748","0.874067513472379"
"No, not limited","2015","indirect migration background","Female","706","0.796512079555453","0.770253591514573","0.822770567596333"
"Yes, strongly limited","2016","no migration background","Male","","","",""
"Yes, strongly limited","2016","no migration background","Female","","","",""
"Yes, strongly limited","2016","direct migration background","Male","130","0.0446963686124226","0.0369279933049151","0.0524647439199301"
"Yes, strongly limited","2016","direct migration background","Female","114","0.0743012015884974","0.0616044862487995","0.0869979169281954"
"Yes, strongly limited","2016","indirect migration background","Male","","","",""
"Yes, strongly limited","2016","indirect migration background","Female","","","",""
"Yes, somewhat limited","2016","no migration background","Male","","","",""
"Yes, somewhat limited","2016","no migration background","Female","","","",""
"Yes, somewhat limited","2016","direct migration background","Male","356","0.119680044040971","0.107477384105833","0.13188270397611"
"Yes, somewhat limited","2016","direct migration background","Female","343","0.201750753141486","0.182322423870454","0.221179082412519"
"Yes, somewhat limited","2016","indirect migration background","Male","","","",""
"Yes, somewhat limited","2016","indirect migration background","Female","","","",""
"No, not limited","2016","no migration background","Male","","","",""
"No, not limited","2016","no migration background","Female","","","",""
"No, not limited","2016","direct migration background","Male","2232","0.835623587346606","0.821690464728646","0.849556709964566"
"No, not limited","2016","direct migration background","Female","1182","0.723948045270016","0.702305530254123","0.745590560285909"
"No, not limited","2016","indirect migration background","Male","","","",""
"No, not limited","2016","indirect migration background","Female","","","",""
"Yes, strongly limited","2017","no migration background","Male","799","0.0947270577616491","0.0888072042748256","0.100646911248473"
"Yes, strongly limited","2017","no migration background","Female","1078","0.124303360322625","0.118082161524146","0.130524559121104"
"Yes, strongly limited","2017","direct migration background","Male","221","0.0913917518847113","0.0821203703710072","0.100663133398415"
"Yes, strongly limited","2017","direct migration background","Female","298","0.0886395571970894","0.0795548058579594","0.0977243085362193"
"Yes, strongly limited","2017","indirect migration background","Male","31","0.0459691841335008","0.0312157809819934","0.0607225872850082"
"Yes, strongly limited","2017","indirect migration background","Female","48","0.0434493368723432","0.0301744888715771","0.0567241848731093"
"Yes, somewhat limited","2017","no migration background","Male","2194","0.243076656451891","0.234405405788272","0.25174790711551"
"Yes, somewhat limited","2017","no migration background","Female","2882","0.28712049150574","0.278589569660273","0.295651413351207"
"Yes, somewhat limited","2017","direct migration background","Male","564","0.199773185963318","0.186909134715646","0.212637237210989"
"Yes, somewhat limited","2017","direct migration background","Female","759","0.280062201307844","0.265709656694653","0.294414745921035"
"Yes, somewhat limited","2017","indirect migration background","Male","116","0.150008183817556","0.124852133234642","0.17516423440047"
"Yes, somewhat limited","2017","indirect migration background","Female","166","0.171733938094285","0.147175712192069","0.1962921639965"
"No, not limited","2017","no migration background","Male","6407","0.66219628578646","0.652635144306385","0.671757427266535"
"No, not limited","2017","no migration background","Female","6844","0.588576148171635","0.579297133414413","0.597855162928857"
"No, not limited","2017","direct migration background","Male","2926","0.708835062151971","0.694218516491548","0.723451607812394"
"No, not limited","2017","direct migration background","Female","2703","0.631298241495067","0.615877364861916","0.646719118128217"
"No, not limited","2017","indirect migration background","Male","627","0.804022632048943","0.776057639507706","0.83198762459018"
"No, not limited","2017","indirect migration background","Female","692","0.784816725033372","0.758057571371161","0.811575878695583"
"Yes, strongly limited","2018","no migration background","Male","","","",""
"Yes, strongly limited","2018","no migration background","Female","","","",""
"Yes, strongly limited","2018","direct migration background","Male","11","","",""
"Yes, strongly limited","2018","direct migration background","Female","12","","",""
"Yes, strongly limited","2018","indirect migration background","Male","","","",""
"Yes, strongly limited","2018","indirect migration background","Female","","","",""
"Yes, somewhat limited","2018","no migration background","Male","","","",""
"Yes, somewhat limited","2018","no migration background","Female","","","",""
"Yes, somewhat limited","2018","direct migration background","Male","29","","",""
"Yes, somewhat limited","2018","direct migration background","Female","38","0.171724556880836","0.122663290133555","0.220785823628117"
"Yes, somewhat limited","2018","indirect migration background","Male","","","",""
"Yes, somewhat limited","2018","indirect migration background","Female","","","",""
"No, not limited","2018","no migration background","Male","","","",""
"No, not limited","2018","no migration background","Female","","","",""
"No, not limited","2018","direct migration background","Male","157","0.804278615064482","0.748875092420094","0.85968213770887"
"No, not limited","2018","direct migration background","Female","177","0.775783244730058","0.721528291691886","0.83003819776823"
"No, not limited","2018","indirect migration background","Male","","","",""
"No, not limited","2018","indirect migration background","Female","","","",""
"Yes, strongly limited","2019","no migration background","Male","838","0.0999793707126229","0.0940235913473122","0.105935150077934"
"Yes, strongly limited","2019","no migration background","Female","1068","0.126548817838614","0.12017229650884","0.132925339168389"
"Yes, strongly limited","2019","direct migration background","Male","259","0.0765330925529335","0.0683485372227134","0.0847176478831536"
"Yes, strongly limited","2019","direct migration background","Female","270","0.095626365691821","0.0860544919200633","0.105198239463579"
"Yes, strongly limited","2019","indirect migration background","Male","35","0.0434809872986904","0.0292958239367971","0.0576661506605838"
"Yes, strongly limited","2019","indirect migration background","Female","56","0.0604069881510508","0.0448509436842786","0.075963032617823"
"Yes, somewhat limited","2019","no migration background","Male","2355","0.253857844104623","0.245216859092277","0.262498829116969"
"Yes, somewhat limited","2019","no migration background","Female","2979","0.294754592598851","0.286010074606752","0.303499110590949"
"Yes, somewhat limited","2019","direct migration background","Male","628","0.210269886324909","0.197724394884908","0.22281537776491"
"Yes, somewhat limited","2019","direct migration background","Female","794","0.286455215803912","0.271739778379517","0.301170653228307"
"Yes, somewhat limited","2019","indirect migration background","Male","124","0.140615863782312","0.116436288641974","0.16479543892265"
"Yes, somewhat limited","2019","indirect migration background","Female","162","0.18739501379839","0.161914718757528","0.212875308839251"
"No, not limited","2019","no migration background","Male","6552","0.646162785182754","0.63666920781211","0.655656362553398"
"No, not limited","2019","no migration background","Female","6396","0.578696589562535","0.569226405918152","0.588166773206918"
"No, not limited","2019","direct migration background","Male","3166","0.713197021122158","0.699273265948283","0.727120776296033"
"No, not limited","2019","direct migration background","Female","2562","0.617918418504267","0.602103104726582","0.633733732281952"
"No, not limited","2019","indirect migration background","Male","635","0.815903148918998","0.788945604810418","0.842860693027577"
"No, not limited","2019","indirect migration background","Female","683","0.75219799805056","0.724007406611874","0.780388589489245"
