"ple0009","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Yes, strongly limited","2013","indirect migration background","72","0.0433731477553521","0.0347206396505731","0.0520256558601311","1"
"No, not limited","2014","direct migration background","","","","","3"
"No, not limited","2014","indirect migration background","","","","","3"
"No, not limited","2014","no migration background","","","","","3"
"Yes, somewhat limited","2014","no migration background","","","","","2"
"Yes, somewhat limited","2014","direct migration background","","","","","2"
"Yes, somewhat limited","2014","indirect migration background","","","","","2"
"Yes, strongly limited","2014","indirect migration background","","","","","1"
"Yes, strongly limited","2014","no migration background","","","","","1"
"Yes, strongly limited","2014","direct migration background","","","","","1"
"No, not limited","2015","direct migration background","4449","0.688056660181813","0.676233170757597","0.699880149606028","3"
"No, not limited","2015","indirect migration background","1364","0.824058577715044","0.805807309564888","0.842309845865199","3"
"No, not limited","2015","no migration background","12227","0.618852337695661","0.611936743953053","0.625767931438269","3"
"Yes, somewhat limited","2015","no migration background","4849","0.263868887679147","0.257593204589355","0.270144570768939","2"
"Yes, somewhat limited","2015","direct migration background","1040","0.214900178215645","0.20441739670261","0.22538295972868","2"
"Yes, somewhat limited","2015","indirect migration background","242","0.127184282185305","0.11121417042704","0.14315439394357","2"
"Yes, strongly limited","2015","indirect migration background","66","0.0487571400996511","0.0384344052709004","0.0590798749284019","1"
"Yes, strongly limited","2015","no migration background","1870","0.117278774625192","0.11269724162476","0.121860307625625","1"
"Yes, strongly limited","2015","direct migration background","409","0.0970431616025424","0.0894885581781504","0.104597765026934","1"
"No, not limited","2016","direct migration background","3414","0.805607607775982","0.793857124665006","0.817358090886958","3"
"No, not limited","2016","indirect migration background","","","","","3"
"No, not limited","2016","no migration background","","","","","3"
"Yes, somewhat limited","2016","no migration background","","","","","2"
"Yes, somewhat limited","2016","direct migration background","699","0.141738882367614","0.131382489142115","0.152095275593113","2"
"Yes, somewhat limited","2016","indirect migration background","","","","","2"
"Yes, strongly limited","2016","indirect migration background","","","","","1"
"Yes, strongly limited","2016","no migration background","","","","","1"
"Yes, strongly limited","2016","direct migration background","244","0.0526535098564039","0.0460218476077944","0.0592851721050133","1"
"No, not limited","2017","no migration background","13251","0.624776018160582","0.618099702219332","0.631452334101833","3"
"No, not limited","2017","direct migration background","5629","0.66822391703692","0.657547088495938","0.678900745577901","3"
"No, not limited","2017","indirect migration background","1319","0.794815618138121","0.775504883476159","0.814126352800084","3"
"Yes, somewhat limited","2017","no migration background","5076","0.265463630293314","0.259374733990872","0.271552526595756","2"
"Yes, somewhat limited","2017","direct migration background","1323","0.241825836893245","0.232116388387235","0.251535285399254","2"
"Yes, somewhat limited","2017","indirect migration background","282","0.160423173418764","0.142873977469752","0.177972369367777","2"
"Yes, strongly limited","2017","indirect migration background","79","0.0447612084431148","0.0348733935647573","0.0546490233214723","1"
"Yes, strongly limited","2017","direct migration background","519","0.0899502460698358","0.0834625205299087","0.0964379716097628","1"
"Yes, strongly limited","2017","no migration background","1877","0.109760351546104","0.105450070169132","0.114070632923076","1"
"No, not limited","2018","no migration background","","","","","3"
"No, not limited","2018","direct migration background","334","0.787889982451178","0.748978431445282","0.826801533457074","3"
"No, not limited","2018","indirect migration background","","","","","3"
"Yes, somewhat limited","2018","indirect migration background","","","","","2"
"Yes, somewhat limited","2018","no migration background","","","","","2"
"Yes, somewhat limited","2018","direct migration background","67","0.168613944530115","0.132975948520081","0.204251940540148","2"
"Yes, strongly limited","2018","indirect migration background","","","","","1"
"Yes, strongly limited","2018","direct migration background","23","","","","1"
"Yes, strongly limited","2018","no migration background","","","","","1"
"No, not limited","2019","no migration background","12952","0.61165438586627","0.604932708553782","0.618376063178759","3"
"No, not limited","2019","direct migration background","5728","0.664760718686143","0.654202129758431","0.675319307613854","3"
"No, not limited","2019","indirect migration background","1319","0.784686217016437","0.765123953946752","0.804248480086122","3"
"Yes, somewhat limited","2019","indirect migration background","286","0.16353547945996","0.145933361637732","0.181137597282188","2"
"Yes, somewhat limited","2019","direct migration background","1422","0.248999837840167","0.239327859734495","0.258671815945839","2"
"Yes, somewhat limited","2019","no migration background","5337","0.274794212066671","0.268637485992826","0.280950938140515","2"
"Yes, strongly limited","2019","direct migration background","529","0.0862394434736904","0.0799608128565101","0.0925180740908708","1"
"Yes, strongly limited","2019","indirect migration background","91","0.0517783035236024","0.0412328801647304","0.0623237268824744","1"
"Yes, strongly limited","2019","no migration background","1907","0.113551402067059","0.109175793749255","0.117927010384863","1"
