"year","age_gr","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2011","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2012","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2012","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2012","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2012","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2012","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2012","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2013","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2013","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2013","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2013","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2013","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2013","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2015","16-34 y.","Ostdeutschland, neue Bundeslaender","3.27","3","1134","1","2","5","6","3.17","3.37","3","3"
"2015","16-34 y.","Westdeutschland, alte Bundeslaender","3.04","3","5505","1","2","4","6","2.99","3.09","3","3"
"2015","35-65 y.","Ostdeutschland, neue Bundeslaender","3","3","3052","1","2","4","6","2.94","3.06","2","3"
"2015","35-65 y.","Westdeutschland, alte Bundeslaender","2.85","2","12086","1","1","4","5","2.82","2.88","2","2"
"2015","66 and older","Ostdeutschland, neue Bundeslaender","2.9","3","1236","1","1","4","5","2.81","2.99","2","3"
"2015","66 and older","Westdeutschland, alte Bundeslaender","2.8","2","3705","1","1","4","5","2.75","2.85","2","2"
"2016","16-34 y.","Ostdeutschland, neue Bundeslaender","2.11","1","420","1","1","2","5","1.94","2.28","1","1"
"2016","16-34 y.","Westdeutschland, alte Bundeslaender","2.39","1.29","2060","1","1","3","6","2.32","2.46","1","1"
"2016","35-65 y.","Ostdeutschland, neue Bundeslaender","1.73","1","312","1","1","1","4","1.54","1.92","1","1"
"2016","35-65 y.","Westdeutschland, alte Bundeslaender","2.06","1","1521","1","1","3","4","1.99","2.13","1","1"
"2016","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2016","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2017","16-34 y.","Ostdeutschland, neue Bundeslaender","2.1","1","181","1","1","3","4","1.84","2.36","1","1"
"2017","16-34 y.","Westdeutschland, alte Bundeslaender","1.98","1","1671","1","1","2","5","1.9","2.06","1","1"
"2017","35-65 y.","Ostdeutschland, neue Bundeslaender","1.67","1","77","1","1","2","4","1.34","2","1","1"
"2017","35-65 y.","Westdeutschland, alte Bundeslaender","1.7","1","888","1","1","1","4","1.6","1.8","1","1"
"2017","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2017","66 and older","Westdeutschland, alte Bundeslaender","1.97","1","32","1","1","2","6","1.53","2.41","1","1"
"2018","16-34 y.","Ostdeutschland, neue Bundeslaender","2.52","1","33","1","1","4","7","1.76","3.28","1","3"
"2018","16-34 y.","Westdeutschland, alte Bundeslaender","2.51","1","221","1","1","4","7","2.23","2.79","1","2"
"2018","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2018","35-65 y.","Westdeutschland, alte Bundeslaender","1.84","1","144","1","1","2","5","1.54","2.14","1","1"
"2018","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2018","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2019","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2019","16-34 y.","Westdeutschland, alte Bundeslaender","2.31","1","135","1","1","3","5","1.96","2.66","1","3"
"2019","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2019","35-65 y.","Westdeutschland, alte Bundeslaender","2.22","1","112","1","1","4","6","1.89","2.55","1","2"
"2019","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2019","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
