"ple0020","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes","2012","Not Working","East Germany","","","","","1"
"No","2013","Full Time","West Germany","5308","1","1","1","2"
"No","2013","Full Time","East Germany","1689","1","1","1","2"
"No","2013","Part Time","West Germany","3678","0.998979895969146","0.997948641631501","1.00001115030679","2"
"No","2013","Part Time","East Germany","916","0.9977186753733","0.994630791081343","1.00080655966526","2"
"No","2013","Not Working","West Germany","5459","0.990544379250972","0.98798668434958","0.993102074152364","2"
"No","2013","Not Working","East Germany","1853","0.986689782767393","0.981503997121046","0.99187556841374","2"
"Yes","2013","Full Time","West Germany","","","","","1"
"Yes","2013","Full Time","East Germany","","","","","1"
"Yes","2013","Part Time","West Germany","3","","","","1"
"Yes","2013","Part Time","East Germany","1","","","","1"
"Yes","2013","Not Working","West Germany","41","0.00945562074902791","0.00689792584763582","0.01201331565042","1"
"Yes","2013","Not Working","East Germany","23","","","","1"
"No","2014","Full Time","West Germany","","","","","2"
"No","2014","Full Time","East Germany","","","","","2"
"No","2014","Part Time","West Germany","","","","","2"
"No","2014","Part Time","East Germany","","","","","2"
"No","2014","Not Working","West Germany","","","","","2"
"No","2014","Not Working","East Germany","","","","","2"
"Yes","2014","Full Time","West Germany","","","","","1"
"Yes","2014","Full Time","East Germany","","","","","1"
"Yes","2014","Part Time","West Germany","","","","","1"
"Yes","2014","Part Time","East Germany","","","","","1"
"Yes","2014","Not Working","West Germany","","","","","1"
"Yes","2014","Not Working","East Germany","","","","","1"
"No","2015","Full Time","West Germany","7522","0.997826069191544","0.996773755743252","0.998878382639836","2"
"No","2015","Full Time","East Germany","1999","1","1","1","2"
"No","2015","Part Time","West Germany","5883","0.999523328135596","0.998965747991634","1.00008090827956","2"
"No","2015","Part Time","East Germany","1251","0.999657422784282","0.998632359302747","1.00068248626582","2"
"No","2015","Not Working","West Germany","6420","0.991300789326701","0.989037503984515","0.993564074668887","2"
"No","2015","Not Working","East Germany","2020","0.986443209891051","0.981425015423849","0.991461404358253","2"
"Yes","2015","Full Time","West Germany","3","","","","1"
"Yes","2015","Full Time","East Germany","","","","","1"
"Yes","2015","Part Time","West Germany","4","","","","1"
"Yes","2015","Part Time","East Germany","1","","","","1"
"Yes","2015","Not Working","West Germany","47","0.0086992106732993","0.00643592533111319","0.0109624960154854","1"
"Yes","2015","Not Working","East Germany","20","","","","1"
"No","2016","Full Time","West Germany","","","","","2"
"No","2016","Full Time","East Germany","","","","","2"
"No","2016","Part Time","West Germany","","","","","2"
"No","2016","Part Time","East Germany","","","","","2"
"No","2016","Not Working","West Germany","","","","","2"
"No","2016","Not Working","East Germany","","","","","2"
"Yes","2016","Part Time","West Germany","","","","","1"
"Yes","2016","Part Time","East Germany","","","","","1"
"Yes","2016","Full Time","West Germany","","","","","1"
"Yes","2016","Full Time","East Germany","","","","","1"
"Yes","2016","Not Working","West Germany","","","","","1"
"Yes","2016","Not Working","East Germany","","","","","1"
"No","2017","Full Time","West Germany","8129","0.99978083021898","0.99945913934063","1.00010252109733","2"
"No","2017","Full Time","East Germany","2271","0.995631538814611","0.992921528437589","0.998341549191634","2"
"No","2017","Part Time","West Germany","6350","0.999294804363608","0.998641982833336","0.99994762589388","2"
"No","2017","Part Time","East Germany","1328","1","1","1","2"
"No","2017","Not Working","West Germany","6554","0.991348968246684","0.989114253568883","0.993583682924485","2"
"No","2017","Not Working","East Germany","2022","0.985348146684631","0.980130271219098","0.990566022150165","2"
"Yes","2017","Part Time","West Germany","2","","","","1"
"Yes","2017","Part Time","East Germany","","","","","1"
"Yes","2017","Not Working","West Germany","43","0.00865103175331609","0.00641631707551524","0.0108857464311169","1"
"Yes","2017","Full Time","West Germany","5","","","","1"
"Yes","2017","Full Time","East Germany","4","","","","1"
"Yes","2017","Not Working","East Germany","15","","","","1"
"No","2018","Full Time","West Germany","","","","","2"
"No","2018","Full Time","East Germany","","","","","2"
"No","2018","Part Time","West Germany","","","","","2"
"No","2018","Part Time","East Germany","","","","","2"
"No","2018","Not Working","West Germany","","","","","2"
"No","2018","Not Working","East Germany","","","","","2"
"Yes","2018","Part Time","West Germany","","","","","1"
"Yes","2018","Part Time","East Germany","","","","","1"
"Yes","2018","Not Working","West Germany","","","","","1"
"Yes","2018","Full Time","West Germany","","","","","1"
"Yes","2018","Not Working","East Germany","","","","","1"
"Yes","2018","Full Time","East Germany","","","","","1"
"No","2019","Full Time","West Germany","8135","0.999628851910655","0.999210441752783","1.00004726206853","2"
"No","2019","Full Time","East Germany","2346","0.999324945058167","0.998274158591259","1.00037573152508","2"
"No","2019","Part Time","West Germany","5939","0.999214854903017","0.998502920399947","0.999926789406088","2"
"No","2019","Part Time","East Germany","1267","1","1","1","2"
"No","2019","Not Working","West Germany","6085","0.991297437513609","0.988972517586562","0.993622357440657","2"
"No","2019","Not Working","East Germany","1942","0.987065860249527","0.982075095797111","0.992056624701942","2"
"Yes","2019","Part Time","West Germany","7","","","","1"
"Yes","2019","Part Time","East Germany","","","","","1"
"Yes","2019","Full Time","West Germany","6","","","","1"
"Yes","2019","Not Working","West Germany","46","0.00870256248639074","0.00637764255934348","0.011027482413438","1"
"Yes","2019","Not Working","East Germany","27","","","","1"
"Yes","2019","Full Time","East Germany","1","","","","1"
