"year","e11102","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1994","Employed","no migration background","17724.35","16030.18","6498","9688.67","12338.5","21140","27424","44616.67","17531.94","17916.76","1654.29","128759","15079.3330078125","15448.6669921875"
"1994","Not Employed","direct migration background","11704.39","10318.27","840","5979","7692.22","13424.67","19053.33","35729.33","11354.36","12054.42","0","39805.36","9636.6669921875","10334"
"1994","Not Employed","indirect migration background","12478.85","12570","173","7153.2","9591.33","15482","19241","23348.8","11829.05","13128.65","0","23348.8","10600.400390625","12029.5"
"1994","Not Employed","no migration background","13042.26","11832.12","3576","6760.67","8882","15595","20294","37574.5","12833.31","13251.21","0","102068.5","11668.572265625","11977.5"
"1995","Employed","direct migration background","15650.73","14043.54","1708","8106.8","10561.33","17911","24244.67","47732.67","15315.16","15986.3","1908.67","118529.45","12945","13533.599609375"
"1995","Employed","indirect migration background","13970.03","13276.94","341","7907","9851.6","16616.4","19590.5","38059","13303.72","14636.34","2060","67761.5","12628.8896484375","14104.6669921875"
"1995","Employed","no migration background","17822.29","16101.61","6483","9529.05","12436.52","21282","27697.2","44784","17629.38","18015.2","1227","118529.45","15331","15632.6669921875"
"1995","Not Employed","direct migration background","11304.24","10389.56","1106","4579.33","7207.6","13879.33","18800.48","33391","10995.13","11613.35","0","36615.33","9651.6669921875","10227.619140625"
"1995","Not Employed","indirect migration background","13321.9","12652.13","172","6889.5","9190","16395","22047.39","25048","12561.24","14082.56","344.62","32682.5","10263.3330078125","11791"
"1995","Not Employed","no migration background","13466.31","12066.07","3560","7035","9198.67","15635.33","20805.33","37872.67","13243.02","13689.6","0","125661","11804","12169"
"1996","Employed","direct migration background","15596.57","14126.96","1595","8196.36","10737.14","17889.6","23265","51066","15294.26","15898.88","814.41","86679.45","13055.5","13671.703125"
"1996","Employed","indirect migration background","15714.32","13451.48","368","7742.37","9929.33","17219.45","20964","193088","14599.04","16829.6","2147","193088","12365.5","14112.3330078125"
"1996","Employed","no migration background","18121.78","16287.35","6491","9875.5","12733.81","21468.67","27928","46442.67","17918.9","18324.66","807","174217.33","15520","15895.2392578125"
"1996","Not Employed","direct migration background","12006.77","11109.5","1026","5380.38","7577.5","14820","19458","38418.93","11679.36","12334.18","0","45358","10166","10830.5"
"1996","Not Employed","indirect migration background","13223.12","13014.82","181","6582.5","8576.09","16701.6","22736.8","25893","12556.27","13889.97","102","26508.5","10984.4443359375","12625"
"1996","Not Employed","no migration background","13869.92","12603","3464","7249","9655.83","16358","21309.33","38593.6","13641.1","14098.74","0","118062.5","12516.5","12822.6669921875"
"1997","Employed","direct migration background","16372.49","14590.72","1474","8596.19","11377.5","18289","24862","50005.33","16036.81","16708.17","2158.67","96508.89","13433.5","14149"
"1997","Employed","indirect migration background","14932.69","13703.7","373","7043.33","10624.38","17652.86","20492.67","110923","14169.8","15695.58","486","110923","12996.7861328125","14700.5"
"1997","Employed","no migration background","18346.57","16722.04","6316","10192","13000","21710","28376","46896","18154.78","18538.36","660","97731.34","15983","16306.0712890625"
"1997","Not Employed","direct migration background","11815.38","11044.23","1018","5536","8161.33","14049.44","18834.76","31583.33","11493.19","12137.57","0","42156.43","10432","11106.5"
"1997","Not Employed","indirect migration background","13389.25","12359.58","202","6809.29","9688.4","15251.11","19767.6","31991","12762.16","14016.34","1589.33","31991","11052.6669921875","12655.71484375"
"1997","Not Employed","no migration background","14257.4","12857.33","3532","7374","9914.67","16597","22834.76","39419.33","14034.68","14480.12","211","96119.5","12855.5556640625","13204"
"1998","Employed","direct migration background","16154.55","14017.33","1407","8646.67","11123","18758.67","24589","49979.33","15780.24","16528.86","1289.13","110450","13452.5","13926"
"1998","Employed","indirect migration background","15940.87","14544.11","396","8267.2","10978.57","19085.6","21917.5","35862.67","15113.79","16767.95","2338","126770","13788.5","15197"
"1998","Employed","no migration background","18549.19","16769.55","7085","10400.56","13038","22193.33","28600.67","45408.5","18367.66","18730.72","750","131763.81","16140","16502"
"1998","Not Employed","direct migration background","12358.23","11356.29","1014","5961.33","8478.67","14730.33","19710.67","33981.33","12006.47","12709.99","0","62002","10835.71484375","11324"
"1998","Not Employed","indirect migration background","12322.55","11517.3","208","6162","8605.33","14668.5","18582","28234.5","11635.21","13009.89","152","33516.67","10719.6669921875","11859.6669921875"
"1998","Not Employed","no migration background","14428.19","13182.78","4217","7534","10145.56","17011.67","22865.71","38799.33","14220.45","14635.93","0","131763.81","12993.333984375","13330"
