"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2009","35-65 y.","104.73","100","9870","56","72","130","160","250","103.78","105.68","12","550","105","110"
"2009","66 and older","93.08","84","4207","52","65","116","143","240","91.73","94.43","10","550","88","90"
"2010","16-34 y.","98.21","86","6923","50","65","120","160","280","97.12","99.3","8","500","90","92"
"2010","35-65 y.","104.95","98","13362","56","72","130","160","250","104.13","105.77","13","550","108","110"
"2010","66 and older","94.82","85","4065","52","65","120","150","237","93.42","96.22","15","550","90","93"
"2011","16-34 y.","97.78","86","7335","50","65","120","160","260","96.7","98.86","11","470","91","95"
"2011","35-65 y.","106.09","100","16433","57","73","130","160","250","105.34","106.84","15","500","110","110"
"2011","66 and older","94.89","85","5198","52","65","120","150","235","93.7","96.08","9","400","90","93"
"2012","16-34 y.","98.28","86","6885","50","65","120","160","250","97.14","99.42","12","540","91","95"
"2012","35-65 y.","106.69","100","16101","57","74","130","160","250","105.93","107.45","10","540","110","110"
"2012","66 and older","95.51","85","5258","54","66","120","150","240","94.3","96.72","9","500","90","93"
"2013","16-34 y.","96.74","86","8399","48","65","120","160","250","95.74","97.74","10","540","89","90"
"2013","35-65 y.","106.36","100","17728","56","74","130","160","250","105.65","107.07","10","540","101","105"
"2013","66 and older","96.51","86","5102","54","67","120","150","235","95.3","97.72","12","400","90","94"
"2014","16-34 y.","97.48","86","7133","50","65","120","160","250","96.39","98.57","10","450","90","93"
"2014","35-65 y.","106.67","100","15575","56","74","130","160","250","105.92","107.42","10","470","105","108"
"2014","66 and older","97.23","88","5000","54","67","120","150","240","95.99","98.47","12","470","90","95"
"2015","16-34 y.","96.76","87","7230","48","65","120","160","250","95.67","97.85","10","450","87","90"
"2015","35-65 y.","106.25","100","15196","55","73","130","160","250","105.48","107.02","10","450","103","105"
"2015","66 and older","98.52","90","4960","55","68","120","150","240","97.23","99.81","12","470","90","95"
"2016","16-34 y.","95.21","86","7600","46","63","120","150","250","94.17","96.25","6","400","84","86"
"2016","35-65 y.","106.68","100","15142","56","74","130","160","250","105.93","107.43","8","425","100","101"
"2016","66 and older","99.12","90","4800","54","68","120","150","245","97.8","100.44","11","470","93","98"
"2017","16-34 y.","95.19","85","8769","46","63","120","150","240","94.23","96.15","8","450","84","85"
"2017","35-65 y.","106.92","100","17035","56","74","130","160","250","106.22","107.62","9","450","100","104"
"2017","66 and older","99.7","90","5053","55","68","120","150","240","98.4","101","10","470","95","98"
"2018","16-34 y.","95.9","85","8196","47","63","120","155","250","94.9","96.9","9","410","85","86"
"2018","35-65 y.","107.64","100","16214","56","74","130","160","250","106.92","108.36","12","420","100","102"
"2018","66 and older","100.43","94","5067","55","70","120","150","240","99.16","101.7","10","420","94","98"
"2019","16-34 y.","95.96","85","7447","48","63","120","160","240","94.86","97.06","8","600","84","85"
"2019","35-65 y.","108.61","100","16818","56","75","135","165","260","107.78","109.44","11","698","108","110"
"2019","66 and older","101.87","94.79","5265","55","70","125","160","250","100.46","103.28","10","500","100","100"
