"year","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1995","(3a) lower tertiary education","7.41","8","865","7.27","7.55","5","6","9","10"
"1995","(3b) higher tertiary education","7.36","8","894","7.21","7.51","4","6","9","10"
"1996","(0) in school","7.64","8","273","7.37","7.91","5","7","9","10"
"1996","(1a) inadequately completed","6.88","7","553","6.69","7.07","4","5","9","10"
"1996","(1b) general elementary school","7.53","8","1949","7.43","7.63","5","6","9","10"
"1996","(1c) basic vocational qualification","7.68","8","4012","7.61","7.75","5","7","9","10"
"1996","(2a) intermediate vocational","7.44","8","2643","7.36","7.52","5","6","9","10"
"1996","(2b) intermediate general qualification","7.46","8","454","7.24","7.68","4","7","9","10"
"1996","(2c_gen) general maturity certificate","7.51","8","435","7.3","7.72","5","7","9","10"
"1996","(2c_voc) vocational maturity certificate","7.26","8","603","7.09","7.43","4","6","9","10"
"1996","(3a) lower tertiary education","7.52","8","874","7.38","7.66","5","7","9","10"
"1996","(3b) higher tertiary education","7.41","8","894","7.27","7.55","4","6","9","10"
"1997","(0) in school","7.33","8","299","7.05","7.61","4","6","9","10"
"1997","(1a) inadequately completed","6.63","7","519","6.44","6.82","3","5","8","10"
"1997","(1b) general elementary school","7.6","8","1880","7.5","7.7","5","6","9","10"
"1997","(1c) basic vocational qualification","7.58","8","3898","7.52","7.64","5","6","9","10"
"1997","(2a) intermediate vocational","7.42","8","2601","7.34","7.5","5","6","9","10"
"1997","(2b) intermediate general qualification","7.58","8","459","7.37","7.79","5","6","9","10"
"1997","(2c_gen) general maturity certificate","7.23","8","429","7.02","7.44","4","6","9","10"
"1997","(2c_voc) vocational maturity certificate","7.24","8","594","7.08","7.4","5","6","9","10"
"1997","(3a) lower tertiary education","7.47","8","878","7.34","7.6","5","7","9","10"
"1997","(3b) higher tertiary education","7.5","8","894","7.37","7.63","5","7","9","10"
"1998","(0) in school","7.62","8","312","7.38","7.86","4","7","9","10"
"1998","(1a) inadequately completed","6.91","7","494","6.71","7.11","4","6","9","10"
"1998","(1b) general elementary school","7.6","8","2026","7.51","7.69","5","6","9","10"
"1998","(1c) basic vocational qualification","7.69","8","4171","7.63","7.75","5","7","9","10"
"1998","(2a) intermediate vocational","7.62","8","2853","7.55","7.69","5","7","9","10"
"1998","(2b) intermediate general qualification","7.48","8","521","7.29","7.67","4","7","9","10"
"1998","(2c_gen) general maturity certificate","7.22","8","478","7.02","7.42","4","6","9","10"
"1998","(2c_voc) vocational maturity certificate","7.36","8","667","7.2","7.52","4","6","9","10"
"1998","(3a) lower tertiary education","7.56","8","964","7.44","7.68","5","7","9","10"
"1998","(3b) higher tertiary education","7.64","8","1008","7.52","7.76","5","7","9","10"
"1999","(0) in school","7.8","8","298","7.56","8.04","5","7","9","10"
"1999","(1a) inadequately completed","7.12","7","471","6.92","7.32","4","6","9","10"
"1999","(1b) general elementary school","7.66","8","1929","7.56","7.76","5","7","9","10"
"1999","(1c) basic vocational qualification","7.7","8","4093","7.64","7.76","5","7","9","10"
"1999","(2a) intermediate vocational","7.62","8","2850","7.55","7.69","5","7","9","10"
"1999","(2b) intermediate general qualification","7.49","8","518","7.31","7.67","5","7","9","10"
"1999","(2c_gen) general maturity certificate","7.25","8","477","7.06","7.44","4","6","9","10"
