"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1992","66 and older","8.21","8","1467","6","7","10","10","8.11","8.31","8","8"
"1993","16-34 y.","7.02","8","4867","4","6","9","10","6.95","7.09","7","7"
"1993","35-65 y.","7.57","8","6737","5","7","9","10","7.52","7.62","8","8"
"1993","66 and older","8.17","8","1490","5","7","10","10","8.07","8.27","8","8"
"1994","16-34 y.","7.04","8","4764","4","6","9","10","6.97","7.11","7","8"
"1994","35-65 y.","7.55","8","6582","5","6","9","10","7.5","7.6","8","8"
"1994","66 and older","8.28","9","1515","6","8","10","10","8.19","8.37","8","9"
"1995","16-34 y.","7.01","8","4874","4","6","9","10","6.94","7.08","7","8"
"1995","35-65 y.","7.52","8","6811","5","6","9","10","7.47","7.57","8","8"
"1995","66 and older","8.05","8","1547","5","7","10","10","7.96","8.14","8","8"
"1996","16-34 y.","7.11","8","4722","4","6","9","10","7.04","7.18","8","8"
"1996","35-65 y.","7.56","8","6747","5","7","9","10","7.51","7.61","8","8"
"1996","66 and older","8.02","8","1572","5","7","10","10","7.92","8.12","8","8"
"1997","16-34 y.","7.11","8","4562","4","6","9","10","7.05","7.17","7","8"
"1997","35-65 y.","7.5","8","6638","5","6","9","10","7.45","7.55","8","8"
"1997","66 and older","7.96","8","1603","5","7","10","10","7.87","8.05","8","8"
"1998","16-34 y.","7.23","8","4793","4","6","9","10","7.17","7.29","8","8"
"1998","35-65 y.","7.62","8","7520","5","7","9","10","7.57","7.67","8","8"
"1998","66 and older","7.96","8","1875","5","7","10","10","7.88","8.04","8","8"
"1999","16-34 y.","7.26","8","4540","4","6","9","10","7.2","7.32","8","8"
"1999","35-65 y.","7.65","8","7289","5","7","9","10","7.6","7.7","8","8"
"1999","66 and older","8.04","8","1821","5","7","10","10","7.96","8.12","8","8"
"2000","16-34 y.","7.36","8","7036","4","6","9","10","7.31","7.41","8","8"
"2000","35-65 y.","7.77","8","13431","5","7","9","10","7.74","7.8","8","8"
"2000","66 and older","8.16","8","3626","6","7","10","10","8.1","8.22","8","8"
"2001","16-34 y.","7.38","8","6214","5","6","9","10","7.33","7.43","8","8"
"2001","35-65 y.","7.73","8","12269","5","7","9","10","7.7","7.76","8","8"
"2001","66 and older","8.26","8","3425","6","7","10","10","8.21","8.31","8","8"
"2002","16-34 y.","7.28","8","6080","4","6","9","10","7.23","7.33","8","8"
"2002","35-65 y.","7.67","8","13288","5","7","9","10","7.64","7.7","8","8"
"2002","66 and older","8.09","8","3626","6","7","10","10","8.03","8.15","8","8"
"2003","16-34 y.","7.28","8","5801","4","6","9","10","7.23","7.33","8","8"
"2003","35-65 y.","7.64","8","12687","5","7","9","10","7.61","7.67","8","8"
"2003","66 and older","8.15","8","3694","6","7","10","10","8.1","8.2","8","8"
"2004","16-34 y.","7.41","8","5558","5","6","9","10","7.36","7.46","8","8"
"2004","35-65 y.","7.71","8","12217","5","7","9","10","7.68","7.74","8","8"
"2004","66 and older","8.16","8","3799","6","7","10","10","8.11","8.21","8","8"
"2005","16-34 y.","7.33","8","5262","4","6","9","10","7.27","7.39","8","8"
"2005","35-65 y.","7.65","8","11610","5","7","9","10","7.62","7.68","8","8"
"2005","66 and older","8.17","8","3804","6","7","10","10","8.12","8.22","8","8"
"2006","16-34 y.","7.25","8","5082","4","6","9","10","7.19","7.31","8","8"
"2006","35-65 y.","7.66","8","12399","5","7","9","10","7.63","7.69","8","8"
"2006","66 and older","8.07","8","4472","6","7","10","10","8.02","8.12","8","8"
"2007","16-34 y.","7.34","8","4662","4","6","9","10","7.28","7.4","8","8"
"2007","35-65 y.","7.63","8","11457","5","7","9","10","7.6","7.66","8","8"
"2007","66 and older","8.12","8","4383","6","7","10","10","8.07","8.17","8","8"
"2008","16-34 y.","7.52","8","4327","5","6","9","10","7.46","7.58","8","8"
"2008","35-65 y.","7.77","8","10674","5","7","9","10","7.74","7.8","8","8"
"2008","66 and older","8.18","8","4346","6","8","10","10","8.13","8.23","8","8"
"2009","16-34 y.","7.39","8","3946","5","6","9","10","7.33","7.45","8","8"
"2009","35-65 y.","7.7","8","9887","5","7","9","10","7.66","7.74","8","8"
"2009","66 and older","8.11","8","4203","6","7","9","10","8.06","8.16","8","8"
"2010","16-34 y.","7.45","8","6541","5","7","9","10","7.4","7.5","8","8"
"2010","35-65 y.","7.61","8","13377","5","7","9","10","7.58","7.64","8","8"
"2010","66 and older","8.15","8","4059","6","7","9","10","8.1","8.2","8","8"
"2011","16-34 y.","7.59","8","6280","5","7","9","10","7.54","7.64","8","8"
"2011","35-65 y.","7.66","8","15035","5","7","9","10","7.63","7.69","8","8"
"2011","66 and older","8.12","8","4518","6","7","9","10","8.07","8.17","8","8"
"2012","16-34 y.","7.56","8","6056","5","7","9","10","7.51","7.61","8","8"
"2012","35-65 y.","7.73","8","15447","5","7","9","10","7.7","7.76","8","8"
"2012","66 and older","8.16","8","4955","6","7","9","10","8.12","8.2","8","8"
"2013","16-34 y.","7.55","8","7849","5","7","9","10","7.5","7.6","8","8"
"2013","35-65 y.","7.75","8","17741","5","7","9","10","7.72","7.78","8","8"
"2013","66 and older","8.2","8","5092","6","8","10","10","8.16","8.24","8","8"
"2014","16-34 y.","7.55","8","6519","5","7","9","10","7.5","7.6","8","8"
"2014","35-65 y.","7.78","8","15595","5","7","9","10","7.75","7.81","8","8"
"2014","66 and older","8.23","8","5001","6","8","9","10","8.19","8.27","8","9"
"2015","16-34 y.","7.69","8","5690","5","7","9","10","7.63","7.75","8","8"
"2015","35-65 y.","7.78","8","14423","5","7","9","10","7.75","7.81","8","8"
"2015","66 and older","8.19","8","4945","6","8","9","10","8.15","8.23","8","8"
"2016","16-34 y.","7.68","8","5540","5","7","9","10","7.62","7.74","8","8"
"2016","35-65 y.","7.8","8","13897","5","7","9","10","7.77","7.83","8","8"
"2016","66 and older","8.22","8","4766","6","8","9","10","8.18","8.26","8","9"
"2017","16-34 y.","7.62","8","6098","5","7","9","10","7.57","7.67","8","8"
"2017","35-65 y.","7.78","8","15380","5","7","9","10","7.75","7.81","8","8"
"2017","66 and older","8.2","8","5018","6","8","9","10","8.16","8.24","8","8"
"2018","16-34 y.","7.56","8","5934","5","7","9","10","7.51","7.61","8","8"
"2018","35-65 y.","7.76","8","14651","5","7","9","10","7.73","7.79","8","8"
"2018","66 and older","8.21","8","5043","6","7","10","10","8.17","8.25","8","8"
"2019","16-34 y.","7.65","8","5391","5","7","9","10","7.59","7.71","8","8"
"2019","35-65 y.","7.85","8","15159","5","7","9","10","7.82","7.88","8","8"
"2019","66 and older","8.27","8","5234","6","8","10","10","8.23","8.31","9","9"
