"year","sampreg","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2011","Ostdeutschland, neue Bundeslaender","Female","6.75","7","2753","6.68","6.82","4","5","8","9"
"2011","Ostdeutschland, neue Bundeslaender","Male","6.77","7","1956","6.69","6.85","4","5","8","9"
"2011","Westdeutschland, alte Bundeslaender","Female","6.71","7","10268","6.67","6.75","4","5","8","9"
"2011","Westdeutschland, alte Bundeslaender","Male","6.82","7","6525","6.77","6.87","4","5","8","9"
"2012","Ostdeutschland, neue Bundeslaender","Female","6.75","7","2835","6.68","6.82","4","5","8","9"
"2012","Ostdeutschland, neue Bundeslaender","Male","6.83","7","2032","6.75","6.91","5","5","8","9"
"2012","Westdeutschland, alte Bundeslaender","Female","6.76","7","10381","6.72","6.8","4","5","8","9"
"2012","Westdeutschland, alte Bundeslaender","Male","6.95","7","6922","6.9","7","5","6","8","9"
"2013","Ostdeutschland, neue Bundeslaender","Female","6.79","7","2704","6.72","6.86","4","5","8","9"
"2013","Ostdeutschland, neue Bundeslaender","Male","6.89","7","1972","6.81","6.97","5","5","8","9"
"2013","Westdeutschland, alte Bundeslaender","Female","6.76","7","10074","6.72","6.8","4","5","8","9"
"2013","Westdeutschland, alte Bundeslaender","Male","6.95","7","6745","6.9","7","5","6","8","9"
"2014","Ostdeutschland, neue Bundeslaender","Female","6.82","7","2638","6.75","6.89","4","5","8","9"
"2014","Ostdeutschland, neue Bundeslaender","Male","6.92","7","1944","6.84","7","5","6","8","9"
"2014","Westdeutschland, alte Bundeslaender","Female","6.77","7","10725","6.73","6.81","4","5","8","9"
"2014","Westdeutschland, alte Bundeslaender","Male","6.91","7","7330","6.87","6.95","4","5","8","9"
"2015","Ostdeutschland, neue Bundeslaender","Female","6.75","7","2545","6.68","6.82","4","5","8","9"
"2015","Ostdeutschland, neue Bundeslaender","Male","6.89","7","1824","6.81","6.97","5","6","8","9"
"2015","Westdeutschland, alte Bundeslaender","Female","6.81","7","9847","6.77","6.85","4","5","8","9"
"2015","Westdeutschland, alte Bundeslaender","Male","7","7","6828","6.95","7.05","5","6","8","9"
"2016","Ostdeutschland, neue Bundeslaender","Female","6.84","7","2459","6.77","6.91","5","6","8","9"
"2016","Ostdeutschland, neue Bundeslaender","Male","6.98","7","1818","6.9","7.06","5","6","8","9"
"2016","Westdeutschland, alte Bundeslaender","Female","6.78","7","9607","6.74","6.82","4","5","8","9"
"2016","Westdeutschland, alte Bundeslaender","Male","6.97","7","6756","6.93","7.01","5","6","8","9"
"2017","Ostdeutschland, neue Bundeslaender","Female","6.82","7","2702","6.75","6.89","5","5","8","9"
"2017","Ostdeutschland, neue Bundeslaender","Male","6.91","7","2118","6.83","6.99","5","6","8","9"
"2017","Westdeutschland, alte Bundeslaender","Female","6.73","7","10593","6.69","6.77","4","5","8","9"
"2017","Westdeutschland, alte Bundeslaender","Male","7.04","7","7791","7","7.08","5","6","8","9"
"2018","Ostdeutschland, neue Bundeslaender","Female","6.81","7","2676","6.74","6.88","4","6","8","9"
"2018","Ostdeutschland, neue Bundeslaender","Male","6.89","7","2096","6.81","6.97","5","6","8","9"
"2018","Westdeutschland, alte Bundeslaender","Female","6.73","7","10216","6.69","6.77","4","5","8","9"
"2018","Westdeutschland, alte Bundeslaender","Male","6.97","7","7602","6.93","7.01","5","6","8","9"
"2019","Ostdeutschland, neue Bundeslaender","Female","6.76","7","2639","6.69","6.83","4","6","8","9"
"2019","Ostdeutschland, neue Bundeslaender","Male","7.03","7","2227","6.95","7.11","5","6","8","9"
"2019","Westdeutschland, alte Bundeslaender","Female","6.8","7","9849","6.76","6.84","4","5","8","9"
"2019","Westdeutschland, alte Bundeslaender","Male","7.08","7","7934","7.04","7.12","5","6","8","9"
