"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1994","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","7.04","7","37","5","5","8","9","6.38","7.7","6","8"
"1994","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.65","7","497","4","5","8","10","6.46","6.84","6","7"
"1994","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1994","Other degree","Westdeutschland, alte Bundeslaender","6.33","6","583","3","5","8","10","6.15","6.51","6","7"
"1994","secondary school degree","Ostdeutschland, neue Bundeslaender","6.33","6","1081","4","5","8","9","6.21","6.45","6","7"
"1994","secondary school degree","Westdeutschland, alte Bundeslaender","6.6","7","1247","4","5","8","9","6.48","6.72","7","7"
"1995","college entrance qualification","Ostdeutschland, neue Bundeslaender","5.86","6","247","2","5","8","8","5.58","6.14","6","7"
"1995","college entrance qualification","Westdeutschland, alte Bundeslaender","6.38","7","875","4","5","8","9","6.24","6.52","6","7"
"1995","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.39","7","942","4","5","8","9","6.26","6.52","6","7"
"1995","lower secondary degree","Westdeutschland, alte Bundeslaender","6.6","7","2991","4","5","8","9","6.52","6.68","7","7"
"1995","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","6.64","7","44","3","5","8","9","5.93","7.35","5","8"
"1995","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.32","6","482","4","5","8","10","6.14","6.5","6","7"
"1995","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1995","Other degree","Westdeutschland, alte Bundeslaender","6.71","7","814","3","5","9","10","6.55","6.87","7","7"
"1995","secondary school degree","Ostdeutschland, neue Bundeslaender","6.27","6","1090","4","5","8","9","6.15","6.39","6","7"
"1995","secondary school degree","Westdeutschland, alte Bundeslaender","6.42","7","1371","4","5","8","9","6.31","6.53","6","7"
"1996","college entrance qualification","Ostdeutschland, neue Bundeslaender","5.99","6","251","3","5","7","8","5.74","6.24","6","7"
"1996","college entrance qualification","Westdeutschland, alte Bundeslaender","6.32","7","875","3","5","8","9","6.18","6.46","7","7"
"1996","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.32","6","916","4","5","8","9","6.19","6.45","6","7"
"1996","lower secondary degree","Westdeutschland, alte Bundeslaender","6.6","7","2948","4","5","8","9","6.53","6.67","7","7"
"1996","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","6.35","7","52","4","5","8","8","5.77","6.93","5","7"
"1996","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.35","7","467","3","5","8","9","6.16","6.54","7","7"
"1996","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1996","Other degree","Westdeutschland, alte Bundeslaender","6.72","7","734","4","5","8","10","6.56","6.88","7","7"
"1996","secondary school degree","Ostdeutschland, neue Bundeslaender","6.51","7","1076","4","5","8","9","6.39","6.63","7","7"
"1996","secondary school degree","Westdeutschland, alte Bundeslaender","6.41","7","1400","4","5","8","9","6.3","6.52","7","7"
"1997","college entrance qualification","Ostdeutschland, neue Bundeslaender","6.16","6","266","4","5","8","8","5.92","6.4","6","7"
"1997","college entrance qualification","Westdeutschland, alte Bundeslaender","6.34","7","880","3","5","8","9","6.21","6.47","6","7"
"1997","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.46","7","901","4","5","8","9","6.33","6.59","7","7"
"1997","lower secondary degree","Westdeutschland, alte Bundeslaender","6.53","7","2846","4","5","8","9","6.45","6.61","7","7"
"1997","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","6.27","6.26","56","3","5","8","8","5.75","6.79","5","7"
"1997","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.49","7","465","3","5","8","9","6.29","6.69","6","7"
"1997","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1997","Other degree","Westdeutschland, alte Bundeslaender","6.58","7","715","4","5","8","10","6.42","6.74","7","7"
"1997","secondary school degree","Ostdeutschland, neue Bundeslaender","6.38","7","1105","4","5","8","9","6.26","6.5","7","7"
"1997","secondary school degree","Westdeutschland, alte Bundeslaender","6.46","7","1408","4","5","8","9","6.36","6.56","7","7"
"1998","college entrance qualification","Ostdeutschland, neue Bundeslaender","6.23","6","276","4","5","8","8","6","6.46","6","7"
"1998","college entrance qualification","Westdeutschland, alte Bundeslaender","6.5","7","1052","4","5","8","9","6.38","6.62","7","7"
"1998","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.47","7","956","4","5","8","9","6.34","6.6","6","7"
"1998","lower secondary degree","Westdeutschland, alte Bundeslaender","6.53","7","3169","4","5","8","10","6.46","6.6","7","7"
"1998","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","6.13","6","60","4","5","8","9","5.57","6.69","5","7"
"1998","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.36","6","416","4","5","8","9","6.15","6.57","6","7"
"1998","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1998","Other degree","Westdeutschland, alte Bundeslaender","6.8","7","674","4","5","8","10","6.64","6.96","7","7"
"1998","secondary school degree","Ostdeutschland, neue Bundeslaender","6.52","7","1237","4","5","8","9","6.41","6.63","7","7"
"1998","secondary school degree","Westdeutschland, alte Bundeslaender","6.6","7","1569","4","5","8","9","6.5","6.7","7","7"
"1999","college entrance qualification","Ostdeutschland, neue Bundeslaender","6.37","6","303","4","5","8","9","6.16","6.58","6","7"
"1999","college entrance qualification","Westdeutschland, alte Bundeslaender","6.3","6.88","1099","3","5","8","9","6.18","6.42","6","7"
"1999","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.52","7","962","4","5","8","9","6.4","6.64","6","7"
"1999","lower secondary degree","Westdeutschland, alte Bundeslaender","6.54","7","3124","4","5","8","9","6.47","6.61","7","7"
"1999","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","6.42","7","54","4","5","8","9","5.79","7.05","6","8"
"1999","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.18","6","418","3","5","8","9","5.98","6.38","6","7"
"1999","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1999","Other degree","Westdeutschland, alte Bundeslaender","6.49","7","642","3","5","8","10","6.32","6.66","7","7"
"1999","secondary school degree","Ostdeutschland, neue Bundeslaender","6.45","7","1219","4","5","8","9","6.34","6.56","7","7"
