"year","age_gr","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2012","66 and older","6.78","7","3993","6.72","6.84","4","5","8","9"
"2013","16-34 y.","6.97","7","4606","6.91","7.03","5","6","8","9"
"2013","35-65 y.","6.79","7","12842","6.76","6.82","4","5","8","9"
"2013","66 and older","6.85","7","4047","6.79","6.91","4","5","8","9"
"2014","16-34 y.","7.04","7","5309","6.99","7.09","5","6","8","10"
"2014","35-65 y.","6.76","7","13330","6.73","6.79","4","5","8","9"
"2014","66 and older","6.81","7","3998","6.75","6.87","4","5","8","9"
"2015","16-34 y.","7.12","7","4678","7.07","7.17","5","6","8","10"
"2015","35-65 y.","6.82","7","12365","6.79","6.85","5","5","8","9"
"2015","66 and older","6.8","7","4001","6.74","6.86","4","5","8","9"
"2016","16-34 y.","7.03","7","4653","6.97","7.09","4","6","8","10"
"2016","35-65 y.","6.85","7","12072","6.82","6.88","5","5","8","9"
"2016","66 and older","6.78","7","3915","6.72","6.84","4","5","8","9"
"2017","16-34 y.","7.08","7","5235","7.03","7.13","5","6","8","10"
"2017","35-65 y.","6.82","7","13691","6.79","6.85","5","5","8","9"
"2017","66 and older","6.79","7","4278","6.73","6.85","4","5","8","9"
"2018","16-34 y.","7.04","7","5192","6.99","7.09","5","6","8","9"
"2018","35-65 y.","6.75","7","13084","6.72","6.78","4","5","8","9"
"2018","66 and older","6.84","7","4314","6.78","6.9","4","5","8","9"
"2019","16-34 y.","7.17","7","4765","7.12","7.22","5","6","8","10"
"2019","35-65 y.","6.85","7","13463","6.82","6.88","4","6","8","9"
"2019","66 and older","6.85","7","4488","6.79","6.91","4","5","8","9"
