"hgowner","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"3","1985","Employed","Male","71","0.0143442166682245","0.0107554324531232","0.0179330008833257"
"3","1985","Employed","Female","30","0.0112104575087091","0.00719202547809869","0.0152288895393195"
"4","1985","Not Employed","Male","","","",""
"4","1985","Not Employed","Female","","","",""
"4","1985","Employed","Male","","","",""
"4","1985","Employed","Female","","","",""
"5","1985","Not Employed","Male","","","",""
"5","1985","Not Employed","Female","","","",""
"5","1985","Employed","Male","","","",""
"5","1985","Employed","Female","","","",""
"1","1986","Not Employed","Male","567","0.502796820196903","0.474317117602188","0.531276522791619"
"1","1986","Not Employed","Female","1222","0.46320981345219","0.444603368585709","0.481816258318672"
"1","1986","Employed","Male","1622","0.484049011878601","0.468710848003702","0.499387175753501"
"1","1986","Employed","Female","963","0.425778107740566","0.406822974734982","0.444733240746151"
"2","1986","Not Employed","Male","594","0.473253223324538","0.444813853194353","0.501692593454724"
"2","1986","Not Employed","Female","1495","0.520747249303871","0.502106299363034","0.539388199244708"
"2","1986","Employed","Male","2371","0.499945160735672","0.484599185888915","0.515291135582428"
"2","1986","Employed","Female","1602","0.556706102660651","0.537662278327536","0.575749926993766"
"3","1986","Not Employed","Male","23","","",""
"3","1986","Not Employed","Female","41","0.0155479680070711","0.0109315371017676","0.0201643989123746"
"3","1986","Employed","Male","85","0.0160058273857272","0.0121540621596956","0.0198575926117587"
"3","1986","Employed","Female","49","0.0175157895987826","0.0124868901857915","0.0225446890117736"
"4","1986","Not Employed","Male","","","",""
"4","1986","Not Employed","Female","1","","",""
"4","1986","Employed","Male","","","",""
"4","1986","Employed","Female","","","",""
"5","1986","Not Employed","Male","","","",""
"5","1986","Not Employed","Female","","","",""
"5","1986","Employed","Male","","","",""
"5","1986","Employed","Female","","","",""
"1","1987","Not Employed","Male","534","0.495865024519198","0.466777597079008","0.524952451959388"
"1","1987","Not Employed","Female","1154","0.450816782039171","0.431907896245434","0.469725667832907"
"1","1987","Employed","Male","1639","0.485793023840217","0.470436289717784","0.501149757962649"
"1","1987","Employed","Female","1008","0.436496154504004","0.417592053952437","0.455400255055572"
"2","1987","Not Employed","Male","579","0.479091297535297","0.450028319892032","0.508154275178562"
"2","1987","Not Employed","Female","1464","0.531880207268618","0.512917834082092","0.550842580455144"
"2","1987","Employed","Male","2339","0.493025275077851","0.477663832836735","0.508386717318966"
"2","1987","Employed","Female","1579","0.538402744920659","0.519400600824258","0.557404889017059"
"3","1987","Not Employed","Male","20","","",""
"3","1987","Not Employed","Female","41","0.0169329274051713","0.0120298937890463","0.0218359610212963"
"3","1987","Employed","Male","90","0.0208754594167067","0.0164826613963927","0.0252682574370207"
"3","1987","Employed","Female","56","0.0246705049346443","0.018757856403317","0.0305831534659717"
"4","1987","Not Employed","Male","2","","",""
"4","1987","Not Employed","Female","1","","",""
"4","1987","Employed","Male","1","","",""
"4","1987","Employed","Female","1","","",""
"5","1987","Not Employed","Male","","","",""
"5","1987","Not Employed","Female","","","",""
"5","1987","Employed","Male","","","",""
"5","1987","Employed","Female","","","",""
"1","1988","Not Employed","Male","501","0.487160810050306","0.457419506698911","0.5169021134017"
"1","1988","Not Employed","Female","1056","0.444900306223631","0.425369190889655","0.464431421557607"
"1","1988","Employed","Male","1569","0.496034988998331","0.480278436279931","0.511791541716731"
"1","1988","Employed","Female","976","0.433864290396618","0.414740434346466","0.452988146446769"
"2","1988","Not Employed","Male","564","0.491875997193916","0.462128810964229","0.521623183423603"
"2","1988","Not Employed","Female","1390","0.532486781573796","0.512877505478926","0.552096057668666"
"2","1988","Employed","Male","2219","0.479732374302666","0.463988276710476","0.495476471894856"
"2","1988","Employed","Female","1547","0.538806971556887","0.519571793622641","0.558042149491132"
"3","1988","Not Employed","Male","20","","",""
"3","1988","Not Employed","Female","40","0.0215769120639295","0.0158664902410184","0.0272873338868406"
"3","1988","Employed","Male","79","0.0239839278483349","0.0191623021023492","0.0288055535943207"
"3","1988","Employed","Female","56","0.0271547817654214","0.0208831107257458","0.0334264528050969"
"4","1988","Not Employed","Male","","","",""
"4","1988","Not Employed","Female","1","","",""
"4","1988","Employed","Male","1","","",""
"4","1988","Employed","Female","1","","",""
"5","1988","Not Employed","Male","","","",""
"5","1988","Not Employed","Female","","","",""
"5","1988","Employed","Male","","","",""
"5","1988","Employed","Female","","","",""
"1","1989","Not Employed","Male","495","0.489179253467943","0.459157118999575","0.519201387936311"
"1","1989","Not Employed","Female","1024","0.462230852497281","0.442158359074819","0.482303345919742"
"1","1989","Employed","Male","1521","0.496534149396839","0.480456289034282","0.512612009759395"
"1","1989","Employed","Female","969","0.43510648258583","0.415879164241537","0.454333800930123"
"2","1989","Not Employed","Male","545","0.484247097124993","0.454232837102592","0.514261357147394"
"2","1989","Not Employed","Female","1310","0.516995784008802","0.496877409908574","0.53711415810903"
"2","1989","Employed","Male","2116","0.478555311966637","0.462491860094562","0.494618763838712"
"2","1989","Employed","Female","1530","0.538312889771927","0.518978569475776","0.557647210068078"
"3","1989","Not Employed","Male","21","","",""
"3","1989","Not Employed","Female","34","0.0188429679819632","0.0133688036132908","0.0243171323506357"
"3","1989","Employed","Male","73","0.023311303281659","0.0184591999617272","0.0281634066015908"
"3","1989","Employed","Female","52","0.0252072788226336","0.0191279341601191","0.0312866234851481"
"4","1989","Not Employed","Male","4","","",""
"4","1989","Not Employed","Female","2","","",""
"4","1989","Employed","Male","5","","",""
"4","1989","Employed","Female","3","","",""
"5","1989","Not Employed","Male","","","",""
"5","1989","Not Employed","Female","","","",""
"5","1989","Employed","Male","","","",""
"5","1989","Employed","Female","","","",""
"1","1990","Not Employed","Male","491","0.492703761701953","0.462705945399754","0.522701578004151"
"1","1990","Not Employed","Female","999","0.456139137447763","0.4356858179141","0.476592456981426"
"1","1990","Employed","Male","1498","0.484678807044948","0.46840309922183","0.500954514868066"
"1","1990","Employed","Female","983","0.431713540372497","0.412485073314247","0.450942007430747"
"2","1990","Not Employed","Male","551","0.478628791849283","0.448655198327228","0.508602385371338"
"2","1990","Not Employed","Female","1242","0.522452048385925","0.501940287621064","0.542963809150787"
"2","1990","Employed","Male","2047","0.491928134612731","0.475646902341692","0.50820936688377"
"2","1990","Employed","Female","1493","0.532329359959993","0.5129596357919","0.551699084128087"
"3","1990","Not Employed","Male","23","","",""
"3","1990","Not Employed","Female","36","0.0207828114349947","0.0149246289791774","0.026640993890812"
"3","1990","Employed","Male","76","0.023339352055464","0.018422466382896","0.028256237728032"
"3","1990","Employed","Female","72","0.0358910716829854","0.0286697043208087","0.043112439045162"
"4","1990","Not Employed","Male","2","","",""
"4","1990","Not Employed","Female","1","","",""
"4","1990","Employed","Male","1","","",""
"4","1990","Employed","Female","1","","",""
"5","1990","Not Employed","Male","","","",""
"5","1990","Not Employed","Female","","","",""
"5","1990","Employed","Male","","","",""
"5","1990","Employed","Female","","","",""
"1","1991","Not Employed","Male","497","0.512081291944864","0.481731380957606","0.542431202932122"
"1","1991","Not Employed","Female","993","0.464432802315519","0.443719162973591","0.485146441657448"
"1","1991","Employed","Male","1475","0.477845088430995","0.461564236480242","0.494125940381749"
"1","1991","Employed","Female","971","0.419393028992322","0.40034832852059","0.438437729464055"
"2","1991","Not Employed","Male","517","0.458454419132576","0.42820062681171","0.488708211453441"
"2","1991","Not Employed","Female","1194","0.510619204986683","0.489857643393465","0.531380766579901"
"2","1991","Employed","Male","2058","0.497118012969831","0.480821425576343","0.513414600363319"
"2","1991","Employed","Female","1541","0.547446708117963","0.528236670805016","0.56665674543091"
"3","1991","Not Employed","Male","27","","",""
"3","1991","Not Employed","Female","35","0.0200028233570461","0.0141878725557905","0.0258177741583018"
"3","1991","Employed","Male","77","0.023351930943883","0.0184296734726619","0.028274188415104"
"3","1991","Employed","Female","62","0.0321417637734823","0.0253346478361072","0.0389488797108573"
"4","1991","Not Employed","Male","1","","",""
"4","1991","Not Employed","Female","5","","",""
"4","1991","Employed","Male","6","","",""
"4","1991","Employed","Female","5","","",""
"5","1991","Not Employed","Male","","","",""
"5","1991","Not Employed","Female","","","",""
"5","1991","Employed","Male","","","",""
"5","1991","Employed","Female","","","",""
"1","1992","Not Employed","Male","610","0.482618853550159","0.45619706784366","0.509040639256658"
"1","1992","Not Employed","Female","1222","0.430260851631708","0.412247134686946","0.44827456857647"
"1","1992","Employed","Male","1961","0.440695851892531","0.427091548000564","0.454300155784499"
"1","1992","Employed","Female","1401","0.392585901010188","0.377450909821674","0.407720892198703"
"2","1992","Not Employed","Male","741","0.494919735404954","0.46848333565206","0.521356135157847"
"2","1992","Not Employed","Female","1620","0.54483207702483","0.526713814604326","0.562950339445334"
"2","1992","Employed","Male","3012","0.52711999160846","0.513439142782327","0.540800840434593"
"2","1992","Employed","Female","2483","0.5744227552954","0.559098569597453","0.589746940993348"
"3","1992","Not Employed","Male","22","","",""
"3","1992","Not Employed","Female","57","0.022411419719316","0.0170260920702392","0.0277967473683928"
"3","1992","Employed","Male","141","0.031626883885782","0.0268314005382884","0.0364223672332755"
"3","1992","Employed","Female","113","0.0320238833680328","0.0265670372419117","0.0374807294941538"
"4","1992","Not Employed","Male","1","","",""
"4","1992","Not Employed","Female","3","","",""
"4","1992","Employed","Male","2","","",""
"4","1992","Employed","Female","2","","",""
"5","1992","Not Employed","Male","","","",""
"5","1992","Not Employed","Female","","","",""
"5","1992","Employed","Male","","","",""
"5","1992","Employed","Female","","","",""
"1","1993","Not Employed","Male","631","0.474519471986574","0.448992767149528","0.500046176823621"
"1","1993","Not Employed","Female","1202","0.430170510478323","0.412373649239968","0.447967371716679"
"1","1993","Employed","Male","1895","0.439346247504247","0.425480984444706","0.453211510563789"
"1","1993","Employed","Female","1401","0.415874359321118","0.400226215673084","0.431522502969152"
"2","1993","Not Employed","Male","799","0.488476027398977","0.46292290077515","0.514029154022804"
"2","1993","Not Employed","Female","1712","0.544761624237915","0.526860787896507","0.562662460579322"
"2","1993","Employed","Male","2885","0.52929355812264","0.515349131495432","0.543237984749847"
"2","1993","Employed","Female","2297","0.551997999097546","0.536209627290859","0.567786370904234"
"3","1993","Not Employed","Male","40","0.0370045006144488","0.0273544669989507","0.046654534229947"
"3","1993","Not Employed","Female","59","0.0250678652837617","0.019448380427734","0.0306873501397895"
"3","1993","Employed","Male","142","0.0313601943731129","0.0264911042249873","0.0362292845212385"
"3","1993","Employed","Female","113","0.0321276415813352","0.0265290719611481","0.0377262112015223"
"4","1993","Not Employed","Male","","","",""
"4","1993","Not Employed","Female","","","",""
"4","1993","Employed","Male","","","",""
"4","1993","Employed","Female","","","",""
"5","1993","Not Employed","Male","","","",""
"5","1993","Not Employed","Female","","","",""
"5","1993","Employed","Male","","","",""
"5","1993","Employed","Female","","","",""
"1","1994","Not Employed","Male","675","0.477729815024972","0.452782344355973","0.502677285693971"
"1","1994","Not Employed","Female","1238","0.433708533491962","0.416111848637528","0.451305218346397"
"1","1994","Employed","Male","1851","0.448517266491775","0.434294196276135","0.462740336707415"
"1","1994","Employed","Female","1350","0.404411267951245","0.388500568922808","0.420321966979682"
"2","1994","Not Employed","Male","833","0.487897143330208","0.462932206729557","0.512862079930859"
"2","1994","Not Employed","Female","1740","0.539757450544881","0.522060250087589","0.557454651002174"
"2","1994","Employed","Male","2717","0.526249778355691","0.511970426767959","0.540529129943422"
"2","1994","Employed","Female","2199","0.562228674027226","0.54614502631872","0.578312321735733"
"3","1994","Not Employed","Male","32","0.03437304164482","0.0252738795096294","0.0434722037800106"
"3","1994","Not Employed","Female","69","0.0265340159631562","0.0208274643817193","0.0322405675445931"
"3","1994","Employed","Male","129","0.0252329551525342","0.0207478535279416","0.0297180567771267"
"3","1994","Employed","Female","106","0.0333600580215287","0.027538353392374","0.0391817626506833"
"4","1994","Not Employed","Male","","","",""
"4","1994","Not Employed","Female","","","",""
"4","1994","Employed","Male","","","",""
"4","1994","Employed","Female","","","",""
"5","1994","Not Employed","Male","","","",""
"5","1994","Not Employed","Female","","","",""
"5","1994","Employed","Male","","","",""
"5","1994","Employed","Female","","","",""
"1","1995","Not Employed","Male","674","0.470362615041326","0.446191490463635","0.494533739619017"
"1","1995","Not Employed","Female","1235","0.438566176427016","0.421373639900859","0.455758712953172"
"1","1995","Employed","Male","1884","0.454800201482912","0.440716228584261","0.468884174381563"
"1","1995","Employed","Female","1395","0.414172439829269","0.398364722080074","0.429980157578464"
"2","1995","Not Employed","Male","922","0.49470402622028","0.470491685114335","0.518916367326224"
"2","1995","Not Employed","Female","1871","0.527324339817926","0.510026429928552","0.544622249707301"
"2","1995","Employed","Male","2792","0.517427188305342","0.503293905127365","0.531560471483319"
"2","1995","Employed","Female","2215","0.546197208176017","0.530219959499695","0.562174456852338"
"3","1995","Not Employed","Male","42","0.0349333587383946","0.026041552996327","0.0438251644804621"
"3","1995","Not Employed","Female","94","0.0341094837550579","0.0278205846677227","0.0403983828423931"
"3","1995","Employed","Male","126","0.0277726102117455","0.023125004373663","0.032420216049828"
"3","1995","Employed","Female","120","0.0396303519947146","0.0333695949197513","0.045891109069678"
"4","1995","Not Employed","Male","","","",""
"4","1995","Not Employed","Female","","","",""
"4","1995","Employed","Male","","","",""
"4","1995","Employed","Female","","","",""
"5","1995","Not Employed","Male","","","",""
"5","1995","Not Employed","Female","","","",""
"5","1995","Employed","Male","","","",""
"5","1995","Employed","Female","","","",""
"1","1996","Not Employed","Male","671","0.487623249270736","0.463031097110099","0.512215401431374"
"1","1996","Not Employed","Female","1217","0.439731647263343","0.422213716178616","0.45724957834807"
"1","1996","Employed","Male","1909","0.451690551270259","0.43750511408612","0.465875988454399"
"1","1996","Employed","Female","1424","0.414926591117267","0.399106190390198","0.430746991844335"
"2","1996","Not Employed","Male","877","0.483530066531008","0.458943726042112","0.508116407019903"
"2","1996","Not Employed","Female","1786","0.532788344557757","0.515179733599368","0.550396955516146"
"2","1996","Employed","Male","2666","0.514910293798291","0.500664515754609","0.529156071841973"
"2","1996","Employed","Female","2187","0.551279542405496","0.535309703366077","0.567249381444915"
"3","1996","Not Employed","Male","39","0.0288466841982562","0.0206119141477511","0.0370814542487613"
"3","1996","Not Employed","Female","81","0.0274800081788994","0.0217103696656817","0.0332496466921172"
"3","1996","Employed","Male","153","0.0333991549314495","0.0282776136041279","0.0385206962587711"
"3","1996","Employed","Female","115","0.0337938664772379","0.0279918293612671","0.0395959035932087"
"4","1996","Not Employed","Male","","","",""
"4","1996","Not Employed","Female","","","",""
"4","1996","Employed","Male","","","",""
"4","1996","Employed","Female","","","",""
"5","1996","Not Employed","Male","","","",""
"5","1996","Not Employed","Female","","","",""
"5","1996","Employed","Male","","","",""
"5","1996","Employed","Female","","","",""
"1","1997","Not Employed","Male","690","0.477404866773229","0.45331861781266","0.501491115733798"
"1","1997","Not Employed","Female","1281","0.447279648151885","0.42977676711568","0.46478252918809"
"1","1997","Employed","Male","1945","0.466441286300867","0.45200125875737","0.480881313844363"
"1","1997","Employed","Female","1413","0.4205383722626","0.404363417355119","0.436713327170082"
"2","1997","Not Employed","Male","930","0.498962224112833","0.474851395363984","0.523073052861682"
"2","1997","Not Employed","Female","1745","0.520866880853645","0.503281219251331","0.538452542455959"
"2","1997","Employed","Male","2512","0.505949861044391","0.491478223576235","0.520421498512547"
"2","1997","Employed","Female","2054","0.545270775439991","0.528954896776781","0.561586654103201"
"3","1997","Not Employed","Male","32","0.0236329091139376","0.0163078990059277","0.0309579192219476"
"3","1997","Not Employed","Female","74","0.0318534709944699","0.0256716536017356","0.0380352883872043"
"3","1997","Employed","Male","128","0.0276088526547425","0.0228661805617905","0.0323515247476945"
"3","1997","Employed","Female","111","0.0341908522974086","0.0282365820301189","0.0401451225646983"
"4","1997","Not Employed","Male","","","",""
"4","1997","Not Employed","Female","","","",""
"4","1997","Employed","Male","","","",""
"4","1997","Employed","Female","","","",""
"5","1997","Not Employed","Male","","","",""
"5","1997","Not Employed","Female","","","",""
"5","1997","Employed","Male","","","",""
"5","1997","Employed","Female","","","",""
"1","1998","Not Employed","Male","873","0.499804672608213","0.477515079776959","0.522094265439468"
"1","1998","Not Employed","Female","1527","0.461439667576675","0.444938420039733","0.477940915113616"
"1","1998","Employed","Male","2220","0.471308206844315","0.457448423770383","0.485167989918248"
"1","1998","Employed","Female","1602","0.419831647776344","0.404352317169312","0.435310978383375"
"2","1998","Not Employed","Male","1010","0.472597437785086","0.450341342958482","0.49485353261169"
"2","1998","Not Employed","Female","1873","0.501190855585504","0.484640363622568","0.51774134754844"
"2","1998","Employed","Male","2612","0.494112290579351","0.480230594242677","0.507993986916025"
"2","1998","Employed","Female","2173","0.541910742337992","0.526283710183547","0.557537774492437"
"3","1998","Not Employed","Male","46","0.0240438606238981","0.0172149816627498","0.0308727395850464"
"3","1998","Not Employed","Female","91","0.0290022696233017","0.0234474848623537","0.0345570543842496"
"3","1998","Employed","Male","151","0.0345795025763341","0.0295064393391907","0.0396525658134775"
"3","1998","Employed","Female","130","0.0382576098856643","0.0322413599730863","0.0442738597982423"
"4","1998","Not Employed","Male","4","","",""
"4","1998","Not Employed","Female","15","","",""
"4","1998","Employed","Male","","","",""
"4","1998","Employed","Female","","","",""
"5","1998","Not Employed","Male","","","",""
"5","1998","Not Employed","Female","","","",""
"5","1998","Employed","Male","","","",""
"5","1998","Employed","Female","","","",""
"1","1999","Not Employed","Male","784","0.488857526421337","0.465450665307008","0.512264387535666"
"1","1999","Not Employed","Female","1410","0.459067117986628","0.441844472777455","0.4762897631958"
"1","1999","Employed","Male","2242","0.47860091632712","0.464603999632501","0.492597833021739"
"1","1999","Employed","Female","1664","0.437466031277633","0.421910926895393","0.453021135659872"
"2","1999","Not Employed","Male","924","0.483524966370149","0.460125004049273","0.506924928691025"
"2","1999","Not Employed","Female","1716","0.504616875598896","0.487336962260684","0.521896788937109"
"2","1999","Employed","Male","2536","0.494478526116758","0.480469627074538","0.508487425158978"
"2","1999","Employed","Female","2137","0.534271872478908","0.518630539027486","0.549913205930329"
"3","1999","Not Employed","Male","39","0.0223856500076586","0.0154585783747558","0.0293127216405614"
"3","1999","Not Employed","Female","71","0.0250013773627452","0.0196053512868752","0.0303974034386152"
"3","1999","Employed","Male","114","0.0268489093382731","0.0223197881218975","0.0313780305546487"
"3","1999","Employed","Female","105","0.0281624587005053","0.0229749539780476","0.0333499634229629"
"4","1999","Not Employed","Male","","","",""
"4","1999","Not Employed","Female","","","",""
"4","1999","Employed","Male","","","",""
"4","1999","Employed","Female","","","",""
"5","1999","Not Employed","Male","5","","",""
"5","1999","Not Employed","Female","19","","",""
"5","1999","Employed","Male","1","","",""
"5","1999","Employed","Female","1","","",""
"1","2000","Not Employed","Male","1713","0.514211931381384","0.497141412496547","0.531282450266221"
"1","2000","Not Employed","Female","2897","0.475188756030005","0.462310141569027","0.488067370490982"
"1","2000","Employed","Male","4198","0.46953034810358","0.458833517581845","0.480227178625314"
"1","2000","Employed","Female","3240","0.444381005979666","0.432599286814852","0.456162725144479"
"2","2000","Not Employed","Male","1526","0.465066235721902","0.448030549341728","0.482101922102076"
"2","2000","Not Employed","Female","2798","0.504895447441097","0.492001565601461","0.517789329280733"
"2","2000","Employed","Male","4042","0.512384857871631","0.501671398065509","0.523098317677754"
"2","2000","Employed","Female","3467","0.534957544584646","0.523131259590468","0.546783829578824"
"3","2000","Not Employed","Male","48","0.0173536459678951","0.0128935293344885","0.0218137626013018"
"3","2000","Not Employed","Female","55","0.0120345151252763","0.00922248684806434","0.0148465434024882"
"3","2000","Employed","Male","121","0.0177666698744134","0.0149352559778114","0.0205980837710153"
"3","2000","Employed","Female","126","0.0206614494356884","0.0172886602382862","0.0240342386330906"
"4","2000","Not Employed","Male","","","",""
"4","2000","Not Employed","Female","","","",""
"4","2000","Employed","Male","","","",""
"4","2000","Employed","Female","","","",""
"5","2000","Not Employed","Male","6","","",""
"5","2000","Not Employed","Female","26","","",""
"5","2000","Employed","Male","1","","",""
"5","2000","Employed","Female","","","",""
"1","2001","Not Employed","Male","1592","0.510558615012859","0.492820799406983","0.528296430618735"
"1","2001","Not Employed","Female","2562","0.479088723590964","0.465362078858065","0.492815368323863"
"1","2001","Employed","Male","3805","0.470884962708081","0.459611580529328","0.482158344886834"
"1","2001","Employed","Female","3061","0.448967781051832","0.436775307468164","0.461160254635501"
"2","2001","Not Employed","Male","1415","0.469761947338522","0.452052649168281","0.487471245508762"
"2","2001","Not Employed","Female","2443","0.49642828419759","0.482689969415177","0.510166598980003"
"2","2001","Employed","Male","3603","0.508743300331511","0.497452483503575","0.520034117159447"
"2","2001","Employed","Female","3215","0.530786857950669","0.518553634648332","0.543020081253005"
"3","2001","Not Employed","Male","39","0.0155203956522144","0.0111342631939846","0.0199065281104442"
"3","2001","Not Employed","Female","54","0.0143534710651561","0.0110852335773439","0.0176217085529683"
"3","2001","Employed","Male","121","0.0199950610379521","0.0168335313340856","0.0231565907418186"
"3","2001","Employed","Female","115","0.0201908705528898","0.0167430551787755","0.023638685927004"
"4","2001","Not Employed","Male","","","",""
"4","2001","Not Employed","Female","1","","",""
"4","2001","Employed","Male","","","",""
"4","2001","Employed","Female","","","",""
"5","2001","Not Employed","Male","5","","",""
"5","2001","Not Employed","Female","28","","",""
"5","2001","Employed","Male","2","","",""
"5","2001","Employed","Female","2","","",""
"1","2002","Not Employed","Male","1730","0.516281992589566","0.498929381968566","0.533634603210566"
"1","2002","Not Employed","Female","2675","0.482579100700405","0.468895759665012","0.496262441735798"
"1","2002","Employed","Male","4351","0.474494486079117","0.46354674349935","0.485442228658885"
"1","2002","Employed","Female","3532","0.450709656139579","0.43893191241555","0.462487399863608"
"2","2002","Not Employed","Male","1408","0.465202794876207","0.447883072455899","0.482522517296516"
"2","2002","Not Employed","Female","2352","0.492681634431291","0.478991447060916","0.506371821801665"
"2","2002","Employed","Male","3527","0.507992259479914","0.497031645858036","0.518952873101792"
"2","2002","Employed","Female","3198","0.526896752920607","0.51507849640717","0.538715009434044"
"3","2002","Not Employed","Male","45","0.0162763800400885","0.0118825761828864","0.0206701838972906"
"3","2002","Not Employed","Female","69","0.0152064154141611","0.011855434581538","0.0185573962467842"
"3","2002","Employed","Male","112","0.0171395097563347","0.0142939645476515","0.0199850549650179"
"3","2002","Employed","Female","124","0.022036979797892","0.0185620187573516","0.0255119408384323"
"4","2002","Not Employed","Male","","","",""
"4","2002","Not Employed","Female","1","","",""
"4","2002","Employed","Male","","","",""
"4","2002","Employed","Female","","","",""
"5","2002","Not Employed","Male","3","","",""
"5","2002","Not Employed","Female","26","","",""
"5","2002","Employed","Male","2","","",""
"5","2002","Employed","Female","2","","",""
"1","2003","Not Employed","Male","1733","0.505507379394957","0.488195449103886","0.522819309686029"
"1","2003","Not Employed","Female","2651","0.480199071595772","0.466371630858863","0.494026512332681"
"1","2003","Employed","Male","4127","0.470558819827575","0.459282874774308","0.481834764880842"
"1","2003","Employed","Female","3397","0.457378289432407","0.445314586135372","0.469441992729443"
"2","2003","Not Employed","Male","1412","0.470648977189591","0.453365852021805","0.487932102357376"
"2","2003","Not Employed","Female","2255","0.489488442366072","0.47565320442572","0.503323680306424"
"2","2003","Employed","Male","3267","0.507296481297701","0.496002140452338","0.518590822143065"
"2","2003","Employed","Female","3021","0.516073153185045","0.503971637085541","0.52817466928455"
"3","2003","Not Employed","Male","55","0.0213615906771372","0.0163551420943226","0.0263680392599518"
"3","2003","Not Employed","Female","80","0.0205686293023393","0.016640350504099","0.0244969081005796"
"3","2003","Employed","Male","133","0.0221446988747239","0.0188203291401374","0.0254690686093103"
"3","2003","Employed","Female","132","0.0265329995498031","0.02264122133102","0.0304247777685862"
"4","2003","Not Employed","Male","","","",""
"4","2003","Not Employed","Female","1","","",""
"4","2003","Employed","Male","","","",""
"4","2003","Employed","Female","","","",""
"5","2003","Not Employed","Male","4","","",""
"5","2003","Not Employed","Female","28","","",""
"5","2003","Employed","Male","","","",""
"5","2003","Employed","Female","1","","",""
"1","2004","Not Employed","Male","1785","0.495723275715321","0.478578664517229","0.512867886913414"
"1","2004","Not Employed","Female","2612","0.478442714369803","0.464533831730548","0.492351597009059"
"1","2004","Employed","Male","3943","0.469536617563086","0.457978333298309","0.481094901827863"
"1","2004","Employed","Female","3307","0.446536875321951","0.434308509083514","0.458765241560389"
"2","2004","Not Employed","Male","1438","0.486198113644409","0.469059408557897","0.50333681873092"
"2","2004","Not Employed","Female","2245","0.490297194372287","0.476377987878241","0.504216400866333"
"2","2004","Employed","Male","3089","0.508527088886425","0.496948976212444","0.520105201560405"
"2","2004","Employed","Female","2911","0.526447103087084","0.514165443764522","0.538728762409646"
"3","2004","Not Employed","Male","39","0.0151620867579407","0.0109718805871907","0.0193522929286907"
"3","2004","Not Employed","Female","66","0.0193197559170185","0.0154871797685467","0.0231523320654903"
"3","2004","Employed","Male","129","0.0219036187486432","0.0185137748889784","0.025293462608308"
"3","2004","Employed","Female","129","0.0269597273050656","0.0229757341579002","0.030943720452231"
"4","2004","Not Employed","Male","1","","",""
"4","2004","Not Employed","Female","1","","",""
"4","2004","Employed","Male","","","",""
"4","2004","Employed","Female","1","","",""
"5","2004","Not Employed","Male","4","","",""
"5","2004","Not Employed","Female","31","0.0111786473276667","0.00825126257086661","0.0141060320844668"
"5","2004","Employed","Male","1","","",""
"5","2004","Employed","Female","1","","",""
"1","2005","Not Employed","Male","1725","0.483125580767573","0.465789968463363","0.500461193071783"
"1","2005","Not Employed","Female","2462","0.465035337980461","0.450831623809196","0.479239052151726"
"1","2005","Employed","Male","3736","0.460764941163828","0.448877282223835","0.47265260010382"
"1","2005","Employed","Female","3206","0.436760984812183","0.424342832101516","0.449179137522851"
