"hgowner","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"2","1988","higher vocational","241","0.450076897260887","0.408154722750718","0.491999071771056"
"2","1988","higher education","346","0.478012935173986","0.441061677049939","0.514964193298033"
"3","1988","in school","1","","",""
"3","1988","inadequately","16","","",""
"3","1988","general elemantary","61","0.0296349824245305","0.0232831172392009","0.0359868476098601"
"3","1988","middle vocational","88","0.0226170371554177","0.0183919881241797","0.0268420861866557"
"3","1988","vocational + Abi","7","","",""
"3","1988","higher vocational","7","","",""
"3","1988","higher education","12","","",""
"4","1988","in school","","","",""
"4","1988","inadequately","","","",""
"4","1988","general elemantary","1","","",""
"4","1988","middle vocational","2","","",""
"4","1988","vocational + Abi","","","",""
"4","1988","higher vocational","","","",""
"4","1988","higher education","","","",""
"5","1988","in school","","","",""
"5","1988","inadequately","","","",""
"5","1988","general elemantary","","","",""
"5","1988","middle vocational","","","",""
"5","1988","vocational + Abi","","","",""
"5","1988","higher vocational","","","",""
"5","1988","higher education","","","",""
"1","1989","in school","94","0.626060259554481","0.554373665594838","0.697746853514123"
"1","1989","inadequately","64","0.157316520220131","0.12953886846325","0.185094171977013"
"1","1989","general elemantary","966","0.453464429638171","0.434280803326566","0.472648055949777"
"1","1989","middle vocational","2117","0.477166254632701","0.462788434575805","0.491544074689596"
"1","1989","vocational + Abi","97","0.398588153852201","0.342237718612856","0.454938589091547"
"1","1989","higher vocational","288","0.554188791044104","0.511259982305161","0.597117599783047"
"1","1989","higher education","342","0.500072614181622","0.463006291438272","0.537138936924972"
"2","1989","in school","76","0.334001681030977","0.264123762596587","0.403879599465367"
"2","1989","inadequately","583","0.812130792927086","0.782330748383308","0.841930837470863"
"2","1989","general elemantary","1563","0.518321897784239","0.499067581269458","0.537576214299019"
"2","1989","middle vocational","2427","0.498220420502435","0.483827675502335","0.512613165502535"
"2","1989","vocational + Abi","188","0.585218098610273","0.528513554195714","0.641922643024833"
"2","1989","higher vocational","221","0.431727408618763","0.388948702775014","0.474506114462512"
"2","1989","higher education","346","0.484142725407052","0.447095047850462","0.521190402963641"
"3","1989","in school","5","","",""
"3","1989","inadequately","13","","",""
"3","1989","general elemantary","56","0.0263558067914602","0.0201829219749903","0.0325286916079301"
"3","1989","middle vocational","82","0.021844886176134","0.0176370857299842","0.0260526866222838"
"3","1989","vocational + Abi","5","","",""
"3","1989","higher vocational","6","","",""
"3","1989","higher education","10","","",""
"4","1989","in school","","","",""
"4","1989","inadequately","","","",""
"4","1989","general elemantary","2","","",""
"4","1989","middle vocational","10","","",""
"4","1989","vocational + Abi","","","",""
"4","1989","higher vocational","","","",""
"4","1989","higher education","1","","",""
"5","1989","in school","","","",""
"5","1989","inadequately","","","",""
"5","1989","general elemantary","","","",""
"5","1989","middle vocational","","","",""
"5","1989","vocational + Abi","","","",""
"5","1989","higher vocational","","","",""
"5","1989","higher education","","","",""
"1","1990","in school","89","0.552348060659609","0.482376126638304","0.622319994680914"
"1","1990","inadequately","73","0.176906250835006","0.147571145380189","0.206241356289824"
"1","1990","general elemantary","1113","0.419956661043641","0.402318973932588","0.437594348154694"
"1","1990","middle vocational","2909","0.436693167400284","0.425154894635217","0.448231440165351"
"1","1990","vocational + Abi","127","0.375046080343771","0.326045776756168","0.424046383931375"
"1","1990","higher vocational","396","0.515414890146716","0.480161332243895","0.550668448049537"
"1","1990","higher education","655","0.437587182080771","0.413956322853296","0.461218041308245"
"2","1990","in school","101","0.407427076770009","0.338284896260523","0.476569257279495"
"2","1990","inadequately","560","0.793312861837185","0.762183487898295","0.824442235776074"
"2","1990","general elemantary","1815","0.546831382791422","0.529041798328538","0.564620967254306"
"2","1990","middle vocational","3979","0.533896651790987","0.522291527302987","0.545501776278987"
"2","1990","vocational + Abi","239","0.598076176741273","0.548453226219717","0.64769912726283"
"2","1990","higher vocational","360","0.465609172664707","0.430422378369784","0.500795966959631"
"2","1990","higher education","1006","0.542765422554194","0.519035559542928","0.566495285565461"
"3","1990","in school","4","","",""
"3","1990","inadequately","17","","",""
"3","1990","general elemantary","79","0.0325915448597895","0.0262460340562718","0.0389370556633071"
"3","1990","middle vocational","204","0.0283595651915623","0.0244978284218401","0.0322213019612846"
"3","1990","vocational + Abi","8","","",""
"3","1990","higher vocational","16","","",""
"3","1990","higher education","29","","",""
"4","1990","in school","","","",""
"4","1990","inadequately","","","",""
"4","1990","general elemantary","1","","",""
"4","1990","middle vocational","6","","",""
"4","1990","vocational + Abi","1","","",""
"4","1990","higher vocational","","","",""
"4","1990","higher education","3","","",""
"5","1990","in school","","","",""
"5","1990","inadequately","","","",""
"5","1990","general elemantary","","","",""
"5","1990","middle vocational","","","",""
"5","1990","vocational + Abi","","","",""
"5","1990","higher vocational","","","",""
"5","1990","higher education","","","",""
"1","1991","in school","71","0.516783027743998","0.439831757232916","0.59373429825508"
"1","1991","inadequately","78","0.173182576372415","0.144400576996737","0.201964575748093"
"1","1991","general elemantary","1064","0.419293301726619","0.401290615684637","0.437295987768602"
"1","1991","middle vocational","2868","0.436196572960484","0.424533393819172","0.447859752101797"
"1","1991","vocational + Abi","128","0.360851369102832","0.312628758999202","0.409073979206461"
"1","1991","higher vocational","391","0.511609549161123","0.476048046329499","0.547171051992747"
"1","1991","higher education","656","0.427343052291259","0.403715831575476","0.450970273007043"
"2","1991","in school","88","0.442258187383873","0.365778672160504","0.518737702607242"
"2","1991","inadequately","566","0.800598556010433","0.770208212989866","0.830988899031"
"2","1991","general elemantary","1742","0.547379729153539","0.529219919882229","0.565539538424849"
"2","1991","middle vocational","3819","0.527500135264394","0.515758621328273","0.539241649200514"
"2","1991","vocational + Abi","243","0.597223390563726","0.547975670625788","0.646471110501664"
"2","1991","higher vocational","355","0.474198837964512","0.438675136099729","0.509722539829295"
"2","1991","higher education","990","0.546653458451428","0.522876940608072","0.570429976294784"
"3","1991","in school","3","","",""
"3","1991","inadequately","20","","",""
"3","1991","general elemantary","76","0.0308044344295421","0.0245004917344833","0.0371083771246009"
"3","1991","middle vocational","245","0.0338786629666331","0.0296237475218579","0.0381335784114082"
"3","1991","vocational + Abi","6","","",""
"3","1991","higher vocational","12","","",""
"3","1991","higher education","38","0.0260034892573129","0.0184024747463603","0.0336045037682656"
"4","1991","in school","","","",""
"4","1991","inadequately","","","",""
"4","1991","general elemantary","4","","",""
"4","1991","middle vocational","13","","",""
"4","1991","vocational + Abi","4","","",""
"4","1991","higher vocational","1","","",""
"4","1991","higher education","","","",""
"5","1991","in school","","","",""
"5","1991","inadequately","","","",""
"5","1991","general elemantary","","","",""
"5","1991","middle vocational","","","",""
"5","1991","vocational + Abi","","","",""
"5","1991","higher vocational","","","",""
"5","1991","higher education","","","",""
"1","1992","in school","84","0.52858127283729","0.457035070005435","0.600127475669145"
"1","1992","inadequately","82","0.162073354222164","0.133365214804788","0.190781493639539"
"1","1992","general elemantary","1017","0.407471186837038","0.389300329843061","0.425642043831015"
"1","1992","middle vocational","2787","0.441045811165436","0.429201931249935","0.452889691080938"
"1","1992","vocational + Abi","134","0.368993179777111","0.320918233821645","0.417068125732577"
"1","1992","higher vocational","398","0.521273681794996","0.485989562672494","0.556557800917498"
"1","1992","higher education","634","0.428436761133541","0.404631686081894","0.452241836185188"
"2","1992","in school","102","0.450230749142242","0.378923269469335","0.521538228815148"
"2","1992","inadequately","528","0.804264129002457","0.773355424898867","0.835172833106048"
"2","1992","general elemantary","1714","0.556013151284145","0.537639316518774","0.574386986049517"
"2","1992","middle vocational","3781","0.528608345844501","0.516700807479405","0.540515884209597"
"2","1992","vocational + Abi","242","0.600760069410488","0.551966777027549","0.649553361793426"
"2","1992","higher vocational","359","0.463430769969082","0.428209254088493","0.498652285849671"
"2","1992","higher education","1005","0.557359408975271","0.533465492894749","0.581253325055793"
"3","1992","in school","1","","",""
"3","1992","inadequately","23","","",""
"3","1992","general elemantary","75","0.033430778574662","0.0267832234435009","0.0400783337058231"
"3","1992","middle vocational","179","0.0294439692101339","0.025411486436994","0.0334764519832737"
"3","1992","vocational + Abi","11","","",""
"3","1992","higher vocational","12","","",""
"3","1992","higher education","21","","",""
"4","1992","in school","","","",""
"4","1992","inadequately","","","",""
"4","1992","general elemantary","3","","",""
"4","1992","middle vocational","4","","",""
"4","1992","vocational + Abi","","","",""
"4","1992","higher vocational","1","","",""
"4","1992","higher education","","","",""
"5","1992","in school","","","",""
"5","1992","inadequately","","","",""
"5","1992","general elemantary","","","",""
"5","1992","middle vocational","","","",""
"5","1992","vocational + Abi","","","",""
"5","1992","higher vocational","","","",""
"5","1992","higher education","","","",""
"1","1993","in school","81","0.524109742532593","0.452337561771628","0.595881923293558"
"1","1993","inadequately","85","0.161352003702334","0.13225549079527","0.190448516609398"
"1","1993","general elemantary","973","0.409765416452631","0.391239319167973","0.428291513737289"
"1","1993","middle vocational","2778","0.450005439787665","0.438088606075738","0.461922273499592"
"1","1993","vocational + Abi","136","0.376833820710233","0.328553573751638","0.425114067668828"
"1","1993","higher vocational","376","0.508367950700458","0.472517306404387","0.54421859499653"
"1","1993","higher education","642","0.439215088638451","0.415188318153578","0.463241859123325"
"2","1993","in school","104","0.457130021719239","0.385538861036241","0.528721182402237"
"2","1993","inadequately","506","0.768633677862529","0.735277699644406","0.801989656080651"
"2","1993","general elemantary","1642","0.544591463744752","0.525831155865842","0.563351771623663"
"2","1993","middle vocational","3744","0.524470217059409","0.512507713579826","0.536432720538992"
"2","1993","vocational + Abi","237","0.59186810794731","0.542900899704896","0.640835316189724"
"2","1993","higher vocational","357","0.469990109853489","0.434199084819781","0.505781134887196"
"2","1993","higher education","971","0.54041369505022","0.516286583797766","0.564540806302673"
"3","1993","in school","1","","",""
"3","1993","inadequately","23","","",""
"3","1993","general elemantary","92","0.045643119802617","0.0377808665586605","0.0535053730465735"
"3","1993","middle vocational","173","0.0255243431529262","0.021746572530779","0.0293021137750733"
"3","1993","vocational + Abi","14","","",""
"3","1993","higher vocational","14","","",""
"3","1993","higher education","26","","",""
"4","1993","in school","","","",""
"4","1993","inadequately","","","",""
"4","1993","general elemantary","","","",""
"4","1993","middle vocational","","","",""
"4","1993","vocational + Abi","","","",""
"4","1993","higher vocational","","","",""
"4","1993","higher education","","","",""
"5","1993","in school","","","",""
"5","1993","inadequately","","","",""
"5","1993","general elemantary","","","",""
"5","1993","middle vocational","","","",""
"5","1993","vocational + Abi","","","",""
"5","1993","higher vocational","","","",""
"5","1993","higher education","","","",""
"1","1994","in school","105","0.554551064349719","0.491671111911214","0.617431016788223"
"1","1994","inadequately","73","0.150212322235111","0.12059470052086","0.179829943949363"
"1","1994","general elemantary","892","0.39027860767678","0.371213810639817","0.409343404713742"
"1","1994","middle vocational","2785","0.455196243160304","0.443176560519734","0.467215925800874"
"1","1994","vocational + Abi","139","0.363830751471282","0.31626571286065","0.411395790081915"
"1","1994","higher vocational","384","0.531775397295159","0.496252799097719","0.567297995492599"
"1","1994","higher education","682","0.452164195137246","0.428185674633597","0.476142715640894"
"2","1994","in school","133","0.436221460170756","0.37348063099704","0.498962289344472"
"2","1994","inadequately","468","0.818133198745019","0.786156699985841","0.850109697504197"
"2","1994","general elemantary","1550","0.570461045663597","0.551114948219465","0.589807143107728"
"2","1994","middle vocational","3626","0.515664686674706","0.503602379528955","0.527726993820456"
"2","1994","vocational + Abi","245","0.601506647040519","0.553102499940445","0.649910794140593"
"2","1994","higher vocational","363","0.457880399293313","0.422412369097531","0.493348429489094"
"2","1994","higher education","942","0.524622673278291","0.500562882188768","0.548682464367814"
"3","1994","in school","2","","",""
"3","1994","inadequately","18","","",""
"3","1994","general elemantary","73","0.0392603466596236","0.031670045296444","0.0468506480228032"
"3","1994","middle vocational","183","0.02913907016499","0.0250794072320341","0.0331987330979459"
"3","1994","vocational + Abi","9","","",""
"3","1994","higher vocational","11","","",""
"3","1994","higher education","31","0.0232131315844634","0.0159584916065575","0.0304677715623692"
"4","1994","in school","","","",""
"4","1994","inadequately","","","",""
"4","1994","general elemantary","","","",""
"4","1994","middle vocational","","","",""
"4","1994","vocational + Abi","","","",""
"4","1994","higher vocational","","","",""
"4","1994","higher education","","","",""
"5","1994","in school","","","",""
"5","1994","inadequately","","","",""
"5","1994","general elemantary","","","",""
"5","1994","middle vocational","","","",""
"5","1994","vocational + Abi","","","",""
"5","1994","higher vocational","","","",""
"5","1994","higher education","","","",""
"1","1995","in school","124","0.496779701361219","0.43893439317244","0.554625009549997"
"1","1995","inadequately","72","0.173537338938028","0.141476581262208","0.205598096613849"
"1","1995","general elemantary","871","0.39156553156719","0.372493282710374","0.410637780424007"
"1","1995","middle vocational","2777","0.460495555722801","0.448611043368591","0.472380068077011"
"1","1995","vocational + Abi","156","0.335175482606379","0.292901810987296","0.377449154225462"
"1","1995","higher vocational","391","0.560497166343085","0.525326149557502","0.595668183128667"
"1","1995","higher education","726","0.4540429270427","0.430802203715048","0.477283650370352"
"2","1995","in school","160","0.486689522051717","0.428863514904755","0.544515529198678"
"2","1995","inadequately","441","0.779459269667999","0.744359294153495","0.814559245182502"
"2","1995","general elemantary","1578","0.566651318987387","0.5472884608251","0.586014177149674"
"2","1995","middle vocational","3779","0.507310763117601","0.495390256662934","0.519231269572268"
"2","1995","vocational + Abi","306","0.608898998005358","0.565197388879581","0.652600607131136"
"2","1995","higher vocational","354","0.413646087803583","0.378747187061525","0.448544988545641"
"2","1995","higher education","996","0.520663499034295","0.497343917551887","0.543983080516704"
"3","1995","in school","3","","",""
"3","1995","inadequately","23","","",""
"3","1995","general elemantary","67","0.0417831494454225","0.0339646166775412","0.0496016822133039"
"3","1995","middle vocational","201","0.0321936811595979","0.0279849549209387","0.0364024073982572"
"3","1995","vocational + Abi","17","","",""
"3","1995","higher vocational","20","","",""
"3","1995","higher education","41","0.0252935739230049","0.0179642494466133","0.0326228983993965"
"4","1995","in school","","","",""
"4","1995","inadequately","","","",""
"4","1995","general elemantary","","","",""
"4","1995","middle vocational","","","",""
"4","1995","vocational + Abi","","","",""
"4","1995","higher vocational","","","",""
"4","1995","higher education","","","",""
"5","1995","in school","","","",""
"5","1995","inadequately","","","",""
"5","1995","general elemantary","","","",""
"5","1995","middle vocational","","","",""
"5","1995","vocational + Abi","","","",""
"5","1995","higher vocational","","","",""
"5","1995","higher education","","","",""
"1","1996","in school","137","0.538196807532291","0.481210115216731","0.595183499847851"
"1","1996","inadequately","67","0.182456408558356","0.148467104445018","0.216445712671694"
"1","1996","general elemantary","852","0.403596360954919","0.384004600854602","0.423188121055235"
"1","1996","middle vocational","2767","0.457664729792782","0.445687871847242","0.469641587738321"
"1","1996","vocational + Abi","165","0.364253232449289","0.321113452023051","0.407393012875527"
"1","1996","higher vocational","397","0.553383280647448","0.518269043826344","0.588497517468552"
"1","1996","higher education","765","0.456362441074287","0.433157998935686","0.479566883212888"
"2","1996","in school","153","0.446890827705086","0.39006044553695","0.503721209873221"
"2","1996","inadequately","411","0.776925833721353","0.740288684505966","0.813562982936741"
"2","1996","general elemantary","1472","0.556507169377008","0.536668690261754","0.576345648492263"
"2","1996","middle vocational","3675","0.510183287049259","0.498165758426449","0.52220081567207"
"2","1996","vocational + Abi","302","0.605508667203412","0.561694651690539","0.649322682716285"
"2","1996","higher vocational","354","0.421828557071252","0.386946745180364","0.456710368962141"
"2","1996","higher education","970","0.523400340876124","0.500132540877439","0.546668140874808"
"3","1996","in school","4","","",""
"3","1996","inadequately","18","","",""
"3","1996","general elemantary","85","0.0398964696680731","0.0320809842299637","0.0477119551061824"
"3","1996","middle vocational","205","0.0321519831579588","0.0279112327090222","0.0363927336068954"
"3","1996","vocational + Abi","11","","",""
"3","1996","higher vocational","19","","",""
"3","1996","higher education","35","0.0202372180495891","0.0136773163368183","0.0267971197623599"
"4","1996","in school","","","",""
"4","1996","inadequately","","","",""
"4","1996","general elemantary","","","",""
"4","1996","middle vocational","","","",""
"4","1996","vocational + Abi","","","",""
"4","1996","higher vocational","","","",""
"4","1996","higher education","","","",""
"5","1996","in school","","","",""
"5","1996","inadequately","","","",""
"5","1996","general elemantary","","","",""
"5","1996","middle vocational","","","",""
"5","1996","vocational + Abi","","","",""
"5","1996","higher vocational","","","",""
"5","1996","higher education","","","",""
"1","1997","in school","149","0.53926768119223","0.484309660252747","0.594225702131713"
"1","1997","inadequately","64","0.202742537449517","0.166317760598114","0.23916731430092"
"1","1997","general elemantary","866","0.411847007589999","0.391948189914454","0.431745825265543"
"1","1997","middle vocational","2805","0.46235597916793","0.450250187311096","0.474461771024765"
"1","1997","vocational + Abi","168","0.36667411086016","0.322540537074976","0.410807684645344"
"1","1997","higher vocational","401","0.544737817055445","0.50940238765052","0.580073246460369"
"1","1997","higher education","793","0.476636927622322","0.453401841118377","0.499872014126266"
"2","1997","in school","162","0.451661472902847","0.396791410575516","0.506531535230179"
"2","1997","inadequately","391","0.77503832125581","0.737207913287526","0.812868729224094"
"2","1997","general elemantary","1415","0.552716081467741","0.532613267567212","0.57281889536827"
"2","1997","middle vocational","3525","0.50546390255068","0.493324379476493","0.517603425624867"
"2","1997","vocational + Abi","278","0.603561145843864","0.558762581615124","0.648359710072605"
"2","1997","higher vocational","340","0.416441547270837","0.381462737321797","0.451420357219877"
"2","1997","higher education","952","0.510390230452725","0.487134760180235","0.533645700725215"
"3","1997","in school","5","","",""
"3","1997","inadequately","13","","",""
"3","1997","general elemantary","69","0.0354369109422608","0.0279619761603958","0.0429118457241257"
"3","1997","middle vocational","186","0.03218011828139","0.0278951398426197","0.0364650967201602"
"3","1997","vocational + Abi","12","","",""
"3","1997","higher vocational","22","","",""
"3","1997","higher education","30","0.0129728419249535","0.00770865833936809","0.0182370255105389"
"4","1997","in school","","","",""
"4","1997","inadequately","","","",""
"4","1997","general elemantary","","","",""
"4","1997","middle vocational","","","",""
"4","1997","vocational + Abi","","","",""
"4","1997","higher vocational","","","",""
"4","1997","higher education","","","",""
"5","1997","in school","","","",""
"5","1997","inadequately","","","",""
"5","1997","general elemantary","","","",""
"5","1997","middle vocational","","","",""
"5","1997","vocational + Abi","","","",""
"5","1997","higher vocational","","","",""
"5","1997","higher education","","","",""
"1","1998","in school","160","0.530192275525358","0.476667897143584","0.583716653907132"
"1","1998","inadequately","76","0.233873765181585","0.194677020057564","0.273070510305606"
"1","1998","general elemantary","967","0.402942455706544","0.383945985474742","0.421938925938346"
"1","1998","middle vocational","3207","0.4737486542094","0.462099943272276","0.485397365146524"
"1","1998","vocational + Abi","199","0.417873093962376","0.375151824297112","0.46059436362764"
"1","1998","higher vocational","446","0.542430910783769","0.508497034134382","0.576364787433155"
"1","1998","higher education","931","0.494220234607985","0.47219268537953","0.516247783836439"
"2","1998","in school","166","0.455494948179038","0.402085560783984","0.508904335574092"
"2","1998","inadequately","360","0.743976178564072","0.703562462411284","0.78438989471686"
"2","1998","general elemantary","1502","0.550908985423123","0.531644810521722","0.570173160324525"
"2","1998","middle vocational","3628","0.491735675164009","0.480072469431048","0.50339888089697"
"2","1998","vocational + Abi","293","0.530932890510521","0.487706356291001","0.574159424730041"
"2","1998","higher vocational","362","0.428024093475356","0.394322076086261","0.461726110864451"
"2","1998","higher education","1005","0.476836435703705","0.454831066708052","0.498841804699358"
"3","1998","in school","8","","",""
"3","1998","inadequately","12","","",""
