"hgowner","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1995","West Germany","5517","0.495493870763371","0.485526065871663","0.505461675655079","2"
"Main tenant","1995","East Germany","2283","0.643223547978858","0.627798268420934","0.658648827536783","2"
"Owner","1995","West Germany","3891","0.471093224798532","0.461141687934145","0.481044761662919","1"
"Owner","1995","East Germany","1297","0.323115534032813","0.308056740550712","0.338174327514914","1"
"Resident or shared accommodation","1995","West Germany","","","","","5"
"Resident or shared accommodation","1995","East Germany","","","","","5"
"Subtenant","1995","East Germany","125","0.033660917988329","0.0278535180605936","0.0394683179160643","3"
"Subtenant","1995","West Germany","257","0.0334129044380971","0.0298300862310373","0.036995722645157","3"
"Tenant","1995","West Germany","","","","","4"
"Tenant","1995","East Germany","","","","","4"
"Main tenant","1996","East Germany","2246","0.645076248460902","0.62965018309788","0.660502313823923","2"
"Main tenant","1996","West Germany","5270","0.496080130795218","0.485988254208967","0.506172007381468","2"
"Owner","1996","West Germany","3874","0.473011592057186","0.462934117825865","0.483089066288507","1"
"Owner","1996","East Germany","1347","0.322359697680743","0.307291819742428","0.337427575619057","1"
"Resident or shared accommodation","1996","West Germany","","","","","5"
"Resident or shared accommodation","1996","East Germany","","","","","5"
"Subtenant","1996","East Germany","103","0.032564053858356","0.0268418615144765","0.0382862462022355","3"
"Subtenant","1996","West Germany","285","0.0309082771475968","0.0274149833388575","0.034401570956336","3"
"Tenant","1996","West Germany","","","","","4"
"Tenant","1996","East Germany","","","","","4"
"Main tenant","1997","East Germany","2141","0.62409525212071","0.608384154777969","0.639806349463451","2"
"Main tenant","1997","West Germany","5100","0.493976909290718","0.483795982616851","0.504157835964585","2"
"Owner","1997","West Germany","3943","0.478364811480764","0.468192682208734","0.488536940752795","1"
"Owner","1997","East Germany","1386","0.33693721589304","0.321605385987684","0.352269045798397","1"
"Resident or shared accommodation","1997","West Germany","","","","","5"
"Resident or shared accommodation","1997","East Germany","","","","","5"
"Subtenant","1997","West Germany","221","0.0276582792285174","0.0243188606687376","0.0309976977882971","3"
"Subtenant","1997","East Germany","124","0.0389675319862493","0.0326903798436399","0.0452446841288587","3"
"Tenant","1997","West Germany","","","","","4"
"Tenant","1997","East Germany","","","","","4"
"Main tenant","1998","West Germany","5470","0.481682058452588","0.472098327728851","0.491265789176326","2"
"Main tenant","1998","East Germany","2198","0.59939920696127","0.58399048694826","0.614807926974281","2"
"Owner","1998","West Germany","4667","0.484115556279722","0.474530228209754","0.49370088434969","1"
"Owner","1998","East Germany","1555","0.361383441590662","0.346277187279172","0.376489695902152","1"
"Resident or shared accommodation","1998","West Germany","","","","","5"
"Resident or shared accommodation","1998","East Germany","","","","","5"
"Subtenant","1998","West Germany","293","0.0315844456253537","0.0282299768473917","0.0349389144033157","3"
"Subtenant","1998","East Germany","125","0.0352317821606719","0.0294344073452384","0.0410291569761054","3"
"Tenant","1998","West Germany","12","","","","4"
"Tenant","1998","East Germany","7","","","","4"
"Main tenant","1999","West Germany","5160","0.481334382757339","0.471524210984405","0.491144554530273","2"
"Main tenant","1999","East Germany","2153","0.610696117895605","0.595199323352568","0.626192912438642","2"
"Owner","1999","West Germany","4542","0.487806672868994","0.477992577678992","0.497620768058996","1"
"Owner","1999","East Germany","1558","0.363832805046418","0.348542311957947","0.379123298134889","1"
"Resident or shared accommodation","1999","West Germany","19","","","","5"
"Resident or shared accommodation","1999","East Germany","7","","","","5"
"Subtenant","1999","West Germany","244","0.0269677846666618","0.0237872825789696","0.0301482867543539","3"
"Subtenant","1999","East Germany","85","0.0220309630978696","0.0173658280290146","0.0266960981667247","3"
"Tenant","1999","East Germany","","","","","4"
"Tenant","1999","West Germany","","","","","4"
"Main tenant","2000","West Germany","8660","0.48931806341759","0.482092832761803","0.496543294073376","2"
"Main tenant","2000","East Germany","3175","0.596138566086153","0.583594939962495","0.608682192209811","2"
"Owner","2000","West Germany","9453","0.490958106395307","0.483732408098709","0.498183804691904","1"
"Owner","2000","East Germany","2595","0.384772203189958","0.372334129662332","0.397210276717584","1"
"Resident or shared accommodation","2000","West Germany","25","","","","5"
"Resident or shared accommodation","2000","East Germany","8","","","","5"
"Subtenant","2000","West Germany","250","0.0171731918265709","0.0152954112130024","0.0190509724401393","3"
"Subtenant","2000","East Germany","100","0.0161884706988115","0.0129622641695705","0.0194146772280525","3"
"Tenant","2000","East Germany","","","","","4"
"Tenant","2000","West Germany","","","","","4"
"Main tenant","2001","East Germany","2891","0.588079751956826","0.575030738129516","0.601128765784135","2"
"Main tenant","2001","West Germany","7785","0.486885096609191","0.47928112011097","0.494489073107412","2"
"Owner","2001","West Germany","8555","0.491787590498216","0.484182022973437","0.499393158022995","1"
"Owner","2001","East Germany","2465","0.390985834480989","0.37804842820553","0.403923240756448","1"
"Resident or shared accommodation","2001","West Germany","30","0.00303967619983352","0.002202199351698","0.00387715304796904","5"
"Resident or shared accommodation","2001","East Germany","7","","","","5"
"Subtenant","2001","East Germany","102","0.0177876821624057","0.0142832684068369","0.0212920959179745","3"
"Subtenant","2001","West Germany","227","0.0180480668189636","0.0160228073529849","0.0200733262849423","3"
"Tenant","2001","East Germany","","","","","4"
"Tenant","2001","West Germany","1","","","","4"
"Main tenant","2002","East Germany","2842","0.593082065158414","0.58004913293399","0.606114997382838","2"
"Main tenant","2002","West Germany","7643","0.48174098733254","0.474379696823422","0.489102277841659","2"
"Owner","2002","West Germany","9791","0.497983076620865","0.490616932744414","0.505349220497316","1"
"Owner","2002","East Germany","2497","0.384035793583442","0.371132668258902","0.396938918907983","1"
"Resident or shared accommodation","2002","West Germany","26","","","","5"
"Resident or shared accommodation","2002","East Germany","7","","","","5"
"Subtenant","2002","East Germany","112","0.0199346494854625","0.0162264495253373","0.0236428494455877","3"
"Subtenant","2002","West Germany","238","0.0173485425875001","0.0154249859601722","0.0192720992148279","3"
"Tenant","2002","East Germany","","","","","4"
"Tenant","2002","West Germany","1","","","","4"
"Main tenant","2003","East Germany","2737","0.579786717011989","0.566587471472779","0.592985962551199","2"
"Main tenant","2003","West Germany","7218","0.480757031968097","0.473229859156167","0.488284204780026","2"
"Owner","2003","West Germany","9407","0.494465560026354","0.486933267984179","0.501997852068528","1"
"Owner","2003","East Germany","2501","0.390865077164638","0.377816887132292","0.403913267196984","1"
"Resident or shared accommodation","2003","West Germany","28","","","","5"
"Resident or shared accommodation","2003","East Germany","5","","","","5"
"Subtenant","2003","West Germany","271","0.0217472079224464","0.0195497981390696","0.0239446177058232","3"
"Subtenant","2003","East Germany","129","0.0272355542614467","0.0228829213415065","0.031588187181387","3"
"Tenant","2003","West Germany","1","","","","4"
"Tenant","2003","East Germany","","","","","4"
"Main tenant","2004","East Germany","2655","0.587901687332055","0.574593634928888","0.601209739735222","2"
"Main tenant","2004","West Germany","7028","0.486043111407218","0.478411845552446","0.49367437726199","2"
"Owner","2004","West Germany","9177","0.490088775656905","0.482456035009149","0.497721516304662","1"
"Owner","2004","East Germany","2470","0.38227698637543","0.369138428501309","0.395415544249551","1"
"Resident or shared accommodation","2004","West Germany","29","","","","5"
"Resident or shared accommodation","2004","East Germany","8","","","","5"
"Subtenant","2004","West Germany","241","0.0203299592736835","0.0181751739463515","0.0224847446010155","3"
"Subtenant","2004","East Germany","122","0.0264609705081944","0.0221214544597664","0.0308004865566224","3"
"Tenant","2004","West Germany","3","","","","4"
"Tenant","2004","East Germany","","","","","4"
"Main tenant","2005","West Germany","6743","0.494986677054865","0.487177890345355","0.502795463764376","2"
"Main tenant","2005","East Germany","2509","0.590068929721364","0.576521686774634","0.603616172668094","2"
"Owner","2005","West Germany","8691","0.476677489375578","0.468876810181835","0.484478168569321","1"
"Owner","2005","East Germany","2438","0.380631829099092","0.367257527272697","0.394006130925487","1"
"Resident or shared accommodation","2005","West Germany","27","","","","5"
"Resident or shared accommodation","2005","East Germany","10","","","","5"
"Subtenant","2005","West Germany","287","0.0250764298996144","0.0226343856652485","0.0275184741339803","3"
"Subtenant","2005","East Germany","104","0.0250212336603527","0.0207189794789477","0.0293234878417577","3"
"Tenant","2005","West Germany","","","","","4"
"Tenant","2005","East Germany","2","","","","4"
"Main tenant","2006","West Germany","7151","0.499600549175124","0.492081557337493","0.507119541012754","2"
"Main tenant","2006","East Germany","2655","0.589119901081516","0.575987850419789","0.602251951743243","2"
"Owner","2006","West Germany","9560","0.476699446541419","0.469188621103108","0.484210271979731","1"
"Owner","2006","East Germany","2596","0.379280366462087","0.366329433019669","0.392231299904505","1"
"Resident or shared accommodation","2006","West Germany","33","0.00298048846853061","0.00216073115621128","0.00380024578084994","5"
"Resident or shared accommodation","2006","East Germany","13","","","","5"
"Subtenant","2006","West Germany","243","0.0207195158149266","0.0185774485782939","0.0228615830515594","3"
"Subtenant","2006","East Germany","126","0.0272972203595595","0.0229478895575675","0.0316465511615514","3"
"Tenant","2006","East Germany","2","","","","4"
"Tenant","2006","West Germany","","","","","4"
"Main tenant","2007","West Germany","6620","0.490340390551334","0.482558077425711","0.498122703676957","2"
"Main tenant","2007","East Germany","2537","0.583528737849445","0.570017617161991","0.5970398585369","2"
"Owner","2007","West Germany","8950","0.483846265754937","0.476066563218664","0.49162596829121","1"
"Owner","2007","East Germany","2457","0.382670336538924","0.36934927908989","0.395991393987957","1"
"Resident or shared accommodation","2007","West Germany","37","0.00378387994132383","0.00282808392828263","0.00473967595436504","5"
"Resident or shared accommodation","2007","East Germany","13","","","","5"
"Subtenant","2007","East Germany","105","0.0291126002787193","0.0245048104652563","0.0337203900921823","3"
"Subtenant","2007","West Germany","244","0.0220294637524046","0.0197444721611287","0.0243144553436806","3"
"Tenant","2007","East Germany","2","","","","4"
"Tenant","2007","West Germany","","","","","4"
"Main tenant","2008","West Germany","6064","0.482516897385859","0.474480797051551","0.490552997720167","2"
"Main tenant","2008","East Germany","2396","0.567913727286621","0.553947917870588","0.581879536702653","2"
"Owner","2008","West Germany","8520","0.492321930720936","0.484281861402524","0.500362000039348","1"
"Owner","2008","East Germany","2323","0.393192926522626","0.379421851034195","0.406964002011058","1"
"Resident or shared accommodation","2008","West Germany","36","0.00400248850136485","0.00298709314341095","0.00501788385931876","5"
"Resident or shared accommodation","2008","East Germany","11","","","","5"
"Subtenant","2008","East Germany","101","0.0344410414854689","0.0292998091516544","0.0395822738192835","3"
"Subtenant","2008","West Germany","233","0.0211586833918401","0.0188442671586339","0.0234730996250463","3"
"Tenant","2008","West Germany","","","","","4"
"Tenant","2008","East Germany","2","","","","4"
"Main tenant","2009","East Germany","2217","0.561690106429695","0.547338973891617","0.576041238967774","2"
"Main tenant","2009","West Germany","5616","0.477672913912673","0.469330304071421","0.486015523753925","2"
"Owner","2009","West Germany","7898","0.496026119474153","0.487675443367452","0.504376795580853","1"
"Owner","2009","East Germany","2243","0.403999770396709","0.389807204348246","0.418192336445172","1"
"Resident or shared accommodation","2009","West Germany","34","0.00384795039808808","0.00281389715535164","0.00488200364082452","5"
"Resident or shared accommodation","2009","East Germany","6","","","","5"
"Subtenant","2009","East Germany","124","0.0320173876240892","0.0269255578481635","0.0371092174000149","3"
"Subtenant","2009","West Germany","223","0.0224530162150862","0.019978607042642","0.0249274253875304","3"
"Tenant","2009","West Germany","","","","","4"
"Tenant","2009","East Germany","2","","","","4"
"Main tenant","2010","East Germany","2921","0.555013563373235","0.541923672849809","0.568103453896661","2"
"Main tenant","2010","West Germany","8687","0.472923952471487","0.465805150067118","0.480042754875856","2"
"Owner","2010","West Germany","9925","0.502134860288348","0.495005662093021","0.509264058483675","1"
"Owner","2010","East Germany","2476","0.414987016335754","0.402008924700734","0.427965107970775","1"
"Resident or shared accommodation","2010","West Germany","34","0.0041586875724079","0.0032410992885518","0.00507627585626399","5"
"Resident or shared accommodation","2010","East Germany","7","","","","5"
"Subtenant","2010","West Germany","246","0.0207672560158946","0.0187339293092881","0.022800582722501","3"
"Subtenant","2010","East Germany","129","0.0274298775851935","0.0231277505936568","0.0317320045767303","3"
"Tenant","2010","West Germany","3","","","","4"
"Tenant","2010","East Germany","4","","","","4"
"Main tenant","2011","West Germany","10099","0.462982910078312","0.4564823438195","0.469483476337124","2"
"Main tenant","2011","East Germany","3501","0.571344034830788","0.559231898355636","0.58345617130594","2"
"Owner","2011","West Germany","12196","0.514989937027748","0.50847441223169","0.521505461823807","1"
"Owner","2011","East Germany","2792","0.403918689636753","0.391909403349915","0.41592797592359","1"
"Resident or shared accommodation","2011","West Germany","40","0.00357939723472186","0.00280082133871699","0.00435797313072674","5"
"Resident or shared accommodation","2011","East Germany","12","","","","5"
"Subtenant","2011","West Germany","264","0.0184351217311765","0.0166814142051814","0.0201888292571716","3"
"Subtenant","2011","East Germany","104","0.0217385587483519","0.0181694456293561","0.0253076718673478","3"
"Tenant","2011","West Germany","3","","","","4"
"Tenant","2011","East Germany","4","","","","4"
"Main tenant","2012","East Germany","3450","0.570492390160196","0.558249650103743","0.582735130216649","2"
"Main tenant","2012","West Germany","9792","0.466504842510976","0.459912047773033","0.473097637248919","2"
"Owner","2012","West Germany","11947","0.514207064764794","0.507602094718083","0.520812034811505","1"
"Owner","2012","East Germany","2687","0.399260530786892","0.387147870355674","0.41137319121811","1"
"Resident or shared accommodation","2012","West Germany","25","","","","5"
"Resident or shared accommodation","2012","East Germany","12","","","","5"
"Subtenant","2012","West Germany","229","0.0169542566018588","0.0152481644901183","0.0186603487135994","3"
"Subtenant","2012","East Germany","128","0.0274332525115412","0.023393389600049","0.0314731154230334","3"
"Tenant","2012","East Germany","3","","","","4"
"Tenant","2012","West Germany","3","","","","4"
"Main tenant","2013","West Germany","12495","0.46689387806133","0.460718907591083","0.473068848531577","2"
"Main tenant","2013","East Germany","3511","0.550525946979406","0.538183621200613","0.562868272758198","2"
"Owner","2013","West Germany","12275","0.516103648178519","0.509918307870078","0.522288988486959","1"
"Owner","2013","East Germany","2598","0.419036648261623","0.406794541336275","0.431278755186972","1"
"Resident or shared accommodation","2013","West Germany","31","0.00246375447843726","0.00185015919000086","0.00307734976687365","5"
"Resident or shared accommodation","2013","East Germany","14","","","","5"
"Subtenant","2013","West Germany","275","0.0145387192817143","0.0130572187262384","0.0160202198371903","3"
"Subtenant","2013","East Germany","114","0.0267657352471627","0.0227611819282592","0.0307702885660662","3"
"Tenant","2013","East Germany","3","","","","4"
"Tenant","2013","West Germany","","","","","4"
"Main tenant","2014","East Germany","3208","0.564205057498098","0.551336854216014","0.577073260780183","2"
"Main tenant","2014","West Germany","10647","0.469816559492429","0.4632338281948","0.476399290790058","2"
"Owner","2014","West Germany","11160","0.513421308113161","0.50682892594552","0.520013690280802","1"
"Owner","2014","East Germany","2374","0.399845944074563","0.387133295171682","0.412558592977444","1"
"Resident or shared accommodation","2014","West Germany","31","0.00236539963705073","0.00172468166993223","0.00300611760416923","5"
"Resident or shared accommodation","2014","East Germany","11","","","","5"
"Subtenant","2014","East Germany","108","0.0324032893325162","0.0278081353021418","0.0369984433628906","3"
"Subtenant","2014","West Germany","244","0.0143967327573593","0.0128256034604105","0.0159678620543082","3"
"Tenant","2014","East Germany","3","","","","4"
"Tenant","2014","West Germany","","","","","4"
"Main tenant","2015","East Germany","3165","0.574676297167135","0.561658861159282","0.587693733174988","2"
"Main tenant","2015","West Germany","10965","0.466856455057766","0.460259600022264","0.473453310093268","2"
"Owner","2015","West Germany","10674","0.513741364394592","0.50713246546914","0.520350263320043","1"
"Owner","2015","East Germany","2267","0.400229622857258","0.387329283448488","0.413129962266028","1"
"Resident or shared accommodation","2015","West Germany","36","0.00261696101678417","0.0019414183329844","0.00329250370058395","5"
"Resident or shared accommodation","2015","East Germany","12","","","","5"
"Subtenant","2015","East Germany","97","0.0213979600896172","0.0175877996729063","0.025208120506328","3"
"Subtenant","2015","West Germany","296","0.0167852195308583","0.0150865421999136","0.0184838968618029","3"
"Tenant","2015","East Germany","","","","","4"
"Tenant","2015","West Germany","","","","","4"
"Main tenant","2016","East Germany","2870","0.558635112731749","0.545097258195861","0.572172967267637","2"
"Main tenant","2016","West Germany","9612","0.465931528083789","0.458981178325391","0.472881877842187","2"
"Owner","2016","West Germany","9886","0.512635270327014","0.505670954947661","0.519599585706367","1"
"Owner","2016","East Germany","2185","0.406390213199696","0.39299933730434","0.419781089095053","1"
"Resident or shared accommodation","2016","West Germany","35","0.00328381090151397","0.00248669409402726","0.00408092770900067","5"
"Resident or shared accommodation","2016","East Germany","11","","","","5"
"Subtenant","2016","West Germany","255","0.0181493906876829","0.0162894423904327","0.020009338984933","3"
"Subtenant","2016","East Germany","102","0.0314578966702284","0.026698948974484","0.0362168443659729","3"
"Tenant","2016","West Germany","","","","","4"
"Tenant","2016","East Germany","","","","","4"
"Main tenant","2017","East Germany","3571","0.554680249668708","0.542429062499642","0.566931436837774","2"
"Main tenant","2017","West Germany","12413","0.464844383867303","0.458577480112466","0.471111287622139","2"
"Owner","2017","West Germany","10939","0.5091317454649","0.502850341145819","0.515413149783981","1"
"Owner","2017","East Germany","2468","0.403696373408452","0.391602038390515","0.41579070842639","1"
"Resident or shared accommodation","2017","West Germany","546","0.00585441537796804","0.00489584071050712","0.00681299004542896","5"
"Resident or shared accommodation","2017","East Germany","124","0.00722208204581036","0.00513481455718987","0.00930934953443086","5"
"Subtenant","2017","East Germany","159","0.0344012948770289","0.0299086035873136","0.0388939861667442","3"
"Subtenant","2017","West Germany","434","0.0201694552898291","0.0184030849696643","0.021935825609994","3"
"Tenant","2017","West Germany","","","","","4"
"Tenant","2017","East Germany","","","","","4"
"Main tenant","2018","West Germany","13024","0.465616750213156","0.459362009698122","0.471871490728191","2"
"Main tenant","2018","East Germany","3676","0.555651366749757","0.543330515952636","0.567972217546877","2"
"Owner","2018","West Germany","10327","0.510884539867284","0.504616443618518","0.51715263611605","1"
"Owner","2018","East Germany","2349","0.410814857918653","0.398615792930478","0.423013922906828","1"
"Resident or shared accommodation","2018","West Germany","704","0.00654864161402277","0.00553725431166572","0.00756002891637982","5"
"Resident or shared accommodation","2018","East Germany","102","0.00878209091567875","0.0064686356025213","0.0110955462288362","5"
"Subtenant","2018","West Germany","376","0.0168126599470896","0.0152005118516106","0.0184248080425687","3"
"Subtenant","2018","East Germany","121","0.024751684415912","0.0208992295036446","0.0286041393281794","3"
"Tenant","2018","West Germany","1","","","","4"
"Tenant","2018","East Germany","","","","","4"
"Main tenant","2019","West Germany","12018","0.464473475287692","0.458158573893793","0.470788376681591","2"
"Main tenant","2019","East Germany","3355","0.531808356970817","0.519363673497469","0.544253040444165","2"
"Owner","2019","West Germany","11006","0.51120482396451","0.504875511320361","0.517534136608659","1"
"Owner","2019","East Germany","2641","0.433731463629795","0.421371530332285","0.446091396927305","1"
"Resident or shared accommodation","2019","West Germany","470","0.00635105387875006","0.00534519973797948","0.00735690801952064","5"
"Resident or shared accommodation","2019","East Germany","65","0.00687803284549377","0.00481679615589353","0.00893926953509401","5"
"Subtenant","2019","West Germany","467","0.0179706468690475","0.0162885937326653","0.0196527000054298","3"
"Subtenant","2019","East Germany","115","0.0275821465538943","0.0234976837997462","0.0316666093080424","3"
"Tenant","2019","East Germany","","","","","4"
"Tenant","2019","West Germany","","","","","4"
