"hgowner","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Owner","1984","higher education","West Germany","370","0.497726104126846","0.462926283090555","0.532525925163136","1"
"Owner","1984","higher education","East Germany","","","","","1"
"Resident or shared accommodation","1984","general elemantary","East Germany","","","","","5"
"Resident or shared accommodation","1984","middle vocational","West Germany","","","","","5"
"Resident or shared accommodation","1984","vocational + Abi","East Germany","","","","","5"
"Resident or shared accommodation","1984","higher vocational","West Germany","","","","","5"
"Resident or shared accommodation","1984","vocational + Abi","West Germany","","","","","5"
"Resident or shared accommodation","1984","middle vocational","East Germany","","","","","5"
"Resident or shared accommodation","1984","higher vocational","East Germany","","","","","5"
"Resident or shared accommodation","1984","higher education","West Germany","","","","","5"
"Resident or shared accommodation","1984","higher education","East Germany","","","","","5"
"Resident or shared accommodation","1984","in school","West Germany","","","","","5"
"Resident or shared accommodation","1984","in school","East Germany","","","","","5"
"Resident or shared accommodation","1984","inadequately","West Germany","","","","","5"
"Resident or shared accommodation","1984","inadequately","East Germany","","","","","5"
"Resident or shared accommodation","1984","general elemantary","West Germany","","","","","5"
"Subtenant","1984","middle vocational","West Germany","62","0.00995523523941584","0.0073835753882837","0.012526895090548","3"
"Subtenant","1984","middle vocational","East Germany","","","","","3"
"Subtenant","1984","vocational + Abi","West Germany","6","","","","3"
"Subtenant","1984","vocational + Abi","East Germany","","","","","3"
"Subtenant","1984","higher vocational","West Germany","7","","","","3"
"Subtenant","1984","in school","West Germany","","","","","3"
"Subtenant","1984","in school","East Germany","","","","","3"
"Subtenant","1984","inadequately","West Germany","24","","","","3"
"Subtenant","1984","inadequately","East Germany","","","","","3"
"Subtenant","1984","general elemantary","West Germany","46","0.0116615081580244","0.00808846088870163","0.0152345554273472","3"
"Subtenant","1984","general elemantary","East Germany","","","","","3"
"Subtenant","1984","higher vocational","East Germany","","","","","3"
"Subtenant","1984","higher education","West Germany","8","","","","3"
"Subtenant","1984","higher education","East Germany","","","","","3"
"Tenant","1984","middle vocational","West Germany","13","","","","4"
"Tenant","1984","middle vocational","East Germany","","","","","4"
"Tenant","1984","vocational + Abi","West Germany","2","","","","4"
"Tenant","1984","vocational + Abi","East Germany","","","","","4"
"Tenant","1984","higher vocational","West Germany","1","","","","4"
"Tenant","1984","higher vocational","East Germany","","","","","4"
"Tenant","1984","higher education","West Germany","1","","","","4"
"Tenant","1984","higher education","East Germany","","","","","4"
"Tenant","1984","in school","West Germany","1","","","","4"
"Tenant","1984","in school","East Germany","","","","","4"
"Tenant","1984","inadequately","West Germany","6","","","","4"
"Tenant","1984","inadequately","East Germany","","","","","4"
"Tenant","1984","general elemantary","West Germany","8","","","","4"
"Tenant","1984","general elemantary","East Germany","","","","","4"
"Main tenant","1985","in school","West Germany","85","0.365062221314208","0.29605789536826","0.434066547260155","2"
"Main tenant","1985","in school","East Germany","","","","","2"
"Main tenant","1985","inadequately","West Germany","761","0.771017891867078","0.742754306798233","0.799281476935924","2"
"Main tenant","1985","inadequately","East Germany","","","","","2"
"Main tenant","1985","general elemantary","West Germany","1812","0.502514598079271","0.484853904371025","0.520175291787517","2"
"Main tenant","1985","general elemantary","East Germany","","","","","2"
"Main tenant","1985","middle vocational","West Germany","2899","0.527562698338118","0.513990847306546","0.54113454936969","2"
"Main tenant","1985","middle vocational","East Germany","","","","","2"
"Main tenant","1985","vocational + Abi","West Germany","187","0.622938014549922","0.566170763046969","0.679705266052876","2"
"Main tenant","1985","vocational + Abi","East Germany","","","","","2"
"Main tenant","1985","higher vocational","West Germany","289","0.476458101541152","0.437176392848359","0.515739810233944","2"
"Main tenant","1985","higher vocational","East Germany","","","","","2"
"Main tenant","1985","higher education","West Germany","387","0.491961655023642","0.456371706371623","0.52755160367566","2"
"Main tenant","1985","higher education","East Germany","","","","","2"
"Owner","1985","in school","West Germany","102","0.634937778685792","0.565933452739845","0.70394210463174","1"
"Owner","1985","in school","East Germany","","","","","1"
"Owner","1985","inadequately","West Germany","67","0.196830820723488","0.170085715255575","0.223575926191402","1"
"Owner","1985","inadequately","East Germany","","","","","1"
"Owner","1985","general elemantary","West Germany","1229","0.485802861555413","0.46814906535855","0.503456657752276","1"
"Owner","1985","general elemantary","East Germany","","","","","1"
"Owner","1985","middle vocational","West Germany","2224","0.45815418450772","0.444609351841832","0.471699017173609","1"
"Owner","1985","middle vocational","East Germany","","","","","1"
"Owner","1985","vocational + Abi","West Germany","85","0.355062170667491","0.29901157878271","0.411112762552271","1"
"Owner","1985","vocational + Abi","East Germany","","","","","1"
"Owner","1985","higher vocational","West Germany","325","0.512519673981952","0.473206681076893","0.55183266688701","1"
"Owner","1985","higher vocational","East Germany","","","","","1"
"Owner","1985","higher education","West Germany","365","0.500790053359701","0.465195548962738","0.536384557756664","1"
"Owner","1985","higher education","East Germany","","","","","1"
"Resident or shared accommodation","1985","vocational + Abi","West Germany","","","","","5"
"Resident or shared accommodation","1985","higher education","West Germany","","","","","5"
"Resident or shared accommodation","1985","higher vocational","East Germany","","","","","5"
"Resident or shared accommodation","1985","higher education","East Germany","","","","","5"
"Resident or shared accommodation","1985","higher vocational","West Germany","","","","","5"
"Resident or shared accommodation","1985","general elemantary","East Germany","","","","","5"
"Resident or shared accommodation","1985","middle vocational","West Germany","","","","","5"
"Resident or shared accommodation","1985","middle vocational","East Germany","","","","","5"
"Resident or shared accommodation","1985","vocational + Abi","East Germany","","","","","5"
"Resident or shared accommodation","1985","in school","West Germany","","","","","5"
"Resident or shared accommodation","1985","in school","East Germany","","","","","5"
"Resident or shared accommodation","1985","inadequately","West Germany","","","","","5"
"Resident or shared accommodation","1985","inadequately","East Germany","","","","","5"
"Resident or shared accommodation","1985","general elemantary","West Germany","","","","","5"
"Subtenant","1985","middle vocational","West Germany","75","0.0142831171541618","0.0110574648682764","0.0175087694400472","3"
"Subtenant","1985","middle vocational","East Germany","","","","","3"
"Subtenant","1985","vocational + Abi","West Germany","8","","","","3"
"Subtenant","1985","vocational + Abi","East Germany","","","","","3"
"Subtenant","1985","in school","West Germany","","","","","3"
"Subtenant","1985","in school","East Germany","","","","","3"
"Subtenant","1985","inadequately","West Germany","21","","","","3"
"Subtenant","1985","inadequately","East Germany","","","","","3"
"Subtenant","1985","general elemantary","West Germany","38","0.0116825403653163","0.00788711788544421","0.0154779628451884","3"
"Subtenant","1985","general elemantary","East Germany","","","","","3"
"Subtenant","1985","higher vocational","East Germany","","","","","3"
"Subtenant","1985","higher education","West Germany","6","","","","3"
"Subtenant","1985","higher education","East Germany","","","","","3"
"Subtenant","1985","higher vocational","West Germany","7","","","","3"
"Tenant","1985","higher education","West Germany","","","","","4"
"Tenant","1985","higher education","East Germany","","","","","4"
"Tenant","1985","middle vocational","West Germany","","","","","4"
"Tenant","1985","middle vocational","East Germany","","","","","4"
"Tenant","1985","vocational + Abi","West Germany","","","","","4"
"Tenant","1985","vocational + Abi","East Germany","","","","","4"
"Tenant","1985","higher vocational","West Germany","","","","","4"
"Tenant","1985","higher vocational","East Germany","","","","","4"
"Tenant","1985","in school","West Germany","","","","","4"
"Tenant","1985","in school","East Germany","","","","","4"
"Tenant","1985","inadequately","West Germany","","","","","4"
"Tenant","1985","inadequately","East Germany","","","","","4"
"Tenant","1985","general elemantary","West Germany","","","","","4"
"Tenant","1985","general elemantary","East Germany","","","","","4"
"Main tenant","1986","in school","West Germany","79","0.342945390225854","0.27509030747554","0.410800472976169","2"
"Main tenant","1986","in school","East Germany","","","","","2"
"Main tenant","1986","inadequately","West Germany","697","0.773316536887208","0.744102057088402","0.802531016686015","2"
"Main tenant","1986","inadequately","East Germany","","","","","2"
"Main tenant","1986","general elemantary","West Germany","1693","0.50480877719311","0.486674235547994","0.522943318838225","2"
"Main tenant","1986","general elemantary","East Germany","","","","","2"
"Main tenant","1986","middle vocational","West Germany","2696","0.521984106496491","0.508155055821844","0.535813157171137","2"
"Main tenant","1986","middle vocational","East Germany","","","","","2"
"Main tenant","1986","vocational + Abi","West Germany","184","0.601420478495187","0.543866905582361","0.658974051408013","2"
"Main tenant","1986","vocational + Abi","East Germany","","","","","2"
"Main tenant","1986","higher vocational","West Germany","259","0.456694674418543","0.416260482480831","0.497128866356255","2"
"Main tenant","1986","higher vocational","East Germany","","","","","2"
"Main tenant","1986","higher education","West Germany","374","0.486988368943607","0.451240428747487","0.522736309139728","2"
"Main tenant","1986","higher education","East Germany","","","","","2"
"Owner","1986","in school","West Germany","107","0.648101871207332","0.579836684430729","0.716367057983935","1"
"Owner","1986","in school","East Germany","","","","","1"
"Owner","1986","inadequately","West Germany","68","0.17677647059416","0.150158146638599","0.203394794549721","1"
"Owner","1986","inadequately","East Germany","","","","","1"
"Owner","1986","general elemantary","West Germany","1173","0.477564223576711","0.459447109771798","0.495681337381625","1"
"Owner","1986","general elemantary","East Germany","","","","","1"
"Owner","1986","middle vocational","West Germany","2217","0.460109947090788","0.446311632762858","0.473908261418717","1"
"Owner","1986","middle vocational","East Germany","","","","","1"
"Owner","1986","vocational + Abi","West Germany","88","0.375705698966362","0.318775294451364","0.43263610348136","1"
"Owner","1986","vocational + Abi","East Germany","","","","","1"
"Owner","1986","higher vocational","West Germany","316","0.527340086328706","0.486814100122551","0.567866072534861","1"
"Owner","1986","higher vocational","East Germany","","","","","1"
"Owner","1986","higher education","West Germany","374","0.508902033066329","0.473147650429422","0.544656415703236","1"
"Owner","1986","higher education","East Germany","","","","","1"
"Resident or shared accommodation","1986","vocational + Abi","West Germany","","","","","5"
"Resident or shared accommodation","1986","higher vocational","East Germany","","","","","5"
"Resident or shared accommodation","1986","higher education","West Germany","","","","","5"
"Resident or shared accommodation","1986","higher education","East Germany","","","","","5"
"Resident or shared accommodation","1986","vocational + Abi","East Germany","","","","","5"
"Resident or shared accommodation","1986","higher vocational","West Germany","","","","","5"
"Resident or shared accommodation","1986","general elemantary","East Germany","","","","","5"
"Resident or shared accommodation","1986","middle vocational","West Germany","","","","","5"
"Resident or shared accommodation","1986","middle vocational","East Germany","","","","","5"
"Resident or shared accommodation","1986","in school","West Germany","","","","","5"
"Resident or shared accommodation","1986","in school","East Germany","","","","","5"
"Resident or shared accommodation","1986","inadequately","West Germany","","","","","5"
"Resident or shared accommodation","1986","inadequately","East Germany","","","","","5"
"Resident or shared accommodation","1986","general elemantary","West Germany","","","","","5"
"Subtenant","1986","higher vocational","East Germany","","","","","3"
"Subtenant","1986","higher education","West Germany","3","","","","3"
"Subtenant","1986","higher education","East Germany","","","","","3"
"Subtenant","1986","middle vocational","West Germany","98","0.0176196254284704","0.0139772833208254","0.0212619675361154","3"
"Subtenant","1986","middle vocational","East Germany","","","","","3"
"Subtenant","1986","vocational + Abi","West Germany","6","","","","3"
"Subtenant","1986","vocational + Abi","East Germany","","","","","3"
"Subtenant","1986","higher vocational","West Germany","8","","","","3"
"Subtenant","1986","in school","West Germany","2","","","","3"
"Subtenant","1986","in school","East Germany","","","","","3"
"Subtenant","1986","inadequately","West Germany","24","","","","3"
"Subtenant","1986","inadequately","East Germany","","","","","3"
"Subtenant","1986","general elemantary","West Germany","54","0.017626999230179","0.0128540801981429","0.0223999182622152","3"
"Subtenant","1986","general elemantary","East Germany","","","","","3"
"Tenant","1986","in school","West Germany","","","","","4"
"Tenant","1986","inadequately","East Germany","","","","","4"
"Tenant","1986","middle vocational","West Germany","1","","","","4"
"Tenant","1986","middle vocational","East Germany","","","","","4"
"Tenant","1986","higher vocational","East Germany","","","","","4"
"Tenant","1986","higher education","West Germany","","","","","4"
"Tenant","1986","higher education","East Germany","","","","","4"
"Tenant","1986","in school","East Germany","","","","","4"
"Tenant","1986","inadequately","West Germany","","","","","4"
"Tenant","1986","general elemantary","West Germany","","","","","4"
"Tenant","1986","general elemantary","East Germany","","","","","4"
"Tenant","1986","vocational + Abi","West Germany","","","","","4"
"Tenant","1986","vocational + Abi","East Germany","","","","","4"
"Tenant","1986","higher vocational","West Germany","","","","","4"
"Main tenant","1987","in school","West Germany","92","0.412684710609816","0.342865288414368","0.482504132805265","2"
"Main tenant","1987","in school","East Germany","","","","","2"
"Main tenant","1987","inadequately","West Germany","661","0.786764114999176","0.757643957944601","0.81588427205375","2"
"Main tenant","1987","inadequately","East Germany","","","","","2"
"Main tenant","1987","general elemantary","West Germany","1661","0.503132532429909","0.484792229038248","0.52147283582157","2"
"Main tenant","1987","general elemantary","East Germany","","","","","2"
"Main tenant","1987","middle vocational","West Germany","2662","0.517820159730847","0.503951885893872","0.531688433567821","2"
"Main tenant","1987","middle vocational","East Germany","","","","","2"
"Main tenant","1987","vocational + Abi","West Germany","179","0.600798066296982","0.54322938593362","0.658366746660345","2"
"Main tenant","1987","vocational + Abi","East Germany","","","","","2"
"Main tenant","1987","higher vocational","West Germany","255","0.451816566764512","0.410924789490328","0.492708344038697","2"
"Main tenant","1987","higher vocational","East Germany","","","","","2"
"Main tenant","1987","higher education","West Germany","360","0.471382014337585","0.43551302871798","0.507250999957191","2"
"Main tenant","1987","higher education","East Germany","","","","","2"
"Owner","1987","in school","West Germany","98","0.581915479394977","0.511964563300159","0.651866395489795","1"
"Owner","1987","in school","East Germany","","","","","1"
"Owner","1987","inadequately","West Germany","68","0.156852434766728","0.130997781240467","0.182707088292988","1"
"Owner","1987","inadequately","East Germany","","","","","1"
"Owner","1987","general elemantary","West Germany","1143","0.477211932149713","0.458890327179119","0.495533537120306","1"
"Owner","1987","general elemantary","East Germany","","","","","1"
"Owner","1987","middle vocational","West Germany","2227","0.460687103141096","0.446852973630706","0.474521232651487","1"
"Owner","1987","middle vocational","East Germany","","","","","1"
"Owner","1987","vocational + Abi","West Germany","91","0.372738221769043","0.315898483428242","0.429577960109844","1"
"Owner","1987","vocational + Abi","East Germany","","","","","1"
"Owner","1987","higher vocational","West Germany","306","0.530616484317542","0.48961059421103","0.571622374424053","1"
"Owner","1987","higher vocational","East Germany","","","","","1"
"Owner","1987","higher education","West Germany","370","0.507124159618269","0.471199923760979","0.543048395475558","1"
"Owner","1987","higher education","East Germany","","","","","1"
"Resident or shared accommodation","1987","in school","West Germany","","","","","5"
"Resident or shared accommodation","1987","in school","East Germany","","","","","5"
"Resident or shared accommodation","1987","inadequately","West Germany","","","","","5"
"Resident or shared accommodation","1987","inadequately","East Germany","","","","","5"
"Resident or shared accommodation","1987","general elemantary","West Germany","","","","","5"
"Resident or shared accommodation","1987","general elemantary","East Germany","","","","","5"
"Resident or shared accommodation","1987","middle vocational","West Germany","","","","","5"
"Resident or shared accommodation","1987","middle vocational","East Germany","","","","","5"
"Resident or shared accommodation","1987","vocational + Abi","West Germany","","","","","5"
"Resident or shared accommodation","1987","vocational + Abi","East Germany","","","","","5"
"Resident or shared accommodation","1987","higher vocational","West Germany","","","","","5"
"Resident or shared accommodation","1987","higher vocational","East Germany","","","","","5"
"Resident or shared accommodation","1987","higher education","West Germany","","","","","5"
"Resident or shared accommodation","1987","higher education","East Germany","","","","","5"
"Subtenant","1987","in school","West Germany","1","","","","3"
"Subtenant","1987","in school","East Germany","","","","","3"
"Subtenant","1987","inadequately","West Germany","31","0.0563834502340968","0.0399845435941929","0.0727823568740007","3"
"Subtenant","1987","inadequately","East Germany","","","","","3"
"Subtenant","1987","general elemantary","West Germany","51","0.0196555354203787","0.014563671079638","0.0247473997611193","3"
"Subtenant","1987","general elemantary","East Germany","","","","","3"
"Subtenant","1987","middle vocational","West Germany","96","0.020805801210702","0.0168443433078171","0.0247672591135869","3"
"Subtenant","1987","middle vocational","East Germany","","","","","3"
"Subtenant","1987","vocational + Abi","West Germany","6","","","","3"
"Subtenant","1987","vocational + Abi","East Germany","","","","","3"
"Subtenant","1987","higher vocational","West Germany","7","","","","3"
"Subtenant","1987","higher vocational","East Germany","","","","","3"
"Subtenant","1987","higher education","West Germany","14","","","","3"
"Subtenant","1987","higher education","East Germany","","","","","3"
"Tenant","1987","inadequately","East Germany","","","","","4"
"Tenant","1987","general elemantary","West Germany","","","","","4"
"Tenant","1987","in school","East Germany","","","","","4"
"Tenant","1987","vocational + Abi","East Germany","","","","","4"
"Tenant","1987","inadequately","West Germany","","","","","4"
"Tenant","1987","in school","West Germany","","","","","4"
"Tenant","1987","general elemantary","East Germany","","","","","4"
"Tenant","1987","middle vocational","West Germany","2","","","","4"
"Tenant","1987","middle vocational","East Germany","","","","","4"
"Tenant","1987","vocational + Abi","West Germany","2","","","","4"
"Tenant","1987","higher vocational","West Germany","1","","","","4"
"Tenant","1987","higher vocational","East Germany","","","","","4"
"Tenant","1987","higher education","West Germany","","","","","4"
"Tenant","1987","higher education","East Germany","","","","","4"
"Main tenant","1988","in school","West Germany","74","0.403220588429643","0.327914072681898","0.478527104177387","2"
"Main tenant","1988","in school","East Germany","","","","","2"
"Main tenant","1988","inadequately","West Germany","625","0.808870099321537","0.779784150018289","0.837956048624785","2"
"Main tenant","1988","inadequately","East Germany","","","","","2"
"Main tenant","1988","general elemantary","West Germany","1636","0.512080272187124","0.493357309117347","0.5308032352569","2"
"Main tenant","1988","general elemantary","East Germany","","","","","2"
"Main tenant","1988","middle vocational","West Germany","2518","0.50757837725304","0.493371401826074","0.521785352680006","2"
"Main tenant","1988","middle vocational","East Germany","","","","","2"
"Main tenant","1988","vocational + Abi","West Germany","172","0.575476365999767","0.5166288509792","0.634323881020335","2"
"Main tenant","1988","vocational + Abi","East Germany","","","","","2"
"Main tenant","1988","higher vocational","West Germany","241","0.450076897260887","0.408154722750718","0.491999071771056","2"
"Main tenant","1988","higher vocational","East Germany","","","","","2"
"Main tenant","1988","higher education","West Germany","346","0.478012935173986","0.441061677049939","0.514964193298033","2"
"Main tenant","1988","higher education","East Germany","","","","","2"
"Owner","1988","in school","West Germany","88","0.5935620326719","0.51815975220352","0.668964313140281","1"
"Owner","1988","in school","East Germany","","","","","1"
"Owner","1988","inadequately","West Germany","61","0.165619690819374","0.138120650171286","0.193118731467462","1"
"Owner","1988","inadequately","East Germany","","","","","1"
"Owner","1988","general elemantary","West Germany","1040","0.457125024665124","0.4384655772277","0.475784472102548","1"
"Owner","1988","general elemantary","East Germany","","","","","1"
"Owner","1988","middle vocational","West Germany","2149","0.469563774356316","0.455381515895558","0.483746032817074","1"
"Owner","1988","middle vocational","East Germany","","","","","1"
"Owner","1988","vocational + Abi","West Germany","92","0.401883656895324","0.343511404321324","0.460255909469324","1"
"Owner","1988","vocational + Abi","East Germany","","","","","1"
"Owner","1988","higher vocational","West Germany","293","0.535004417465955","0.4929750788402","0.577033756091711","1"
"Owner","1988","higher vocational","East Germany","","","","","1"
"Owner","1988","higher education","West Germany","344","0.50136650267803","0.464379604021509","0.538353401334551","1"
"Owner","1988","higher education","East Germany","","","","","1"
"Resident or shared accommodation","1988","in school","East Germany","","","","","5"
"Resident or shared accommodation","1988","inadequately","West Germany","","","","","5"
"Resident or shared accommodation","1988","inadequately","East Germany","","","","","5"
"Resident or shared accommodation","1988","middle vocational","West Germany","","","","","5"
"Resident or shared accommodation","1988","middle vocational","East Germany","","","","","5"
"Resident or shared accommodation","1988","vocational + Abi","West Germany","","","","","5"
"Resident or shared accommodation","1988","vocational + Abi","East Germany","","","","","5"
"Resident or shared accommodation","1988","higher vocational","West Germany","","","","","5"
"Resident or shared accommodation","1988","higher vocational","East Germany","","","","","5"
"Resident or shared accommodation","1988","higher education","West Germany","","","","","5"
"Resident or shared accommodation","1988","in school","West Germany","","","","","5"
"Resident or shared accommodation","1988","general elemantary","West Germany","","","","","5"
"Resident or shared accommodation","1988","general elemantary","East Germany","","","","","5"
"Resident or shared accommodation","1988","higher education","East Germany","","","","","5"
"Subtenant","1988","inadequately","East Germany","","","","","3"
"Subtenant","1988","general elemantary","West Germany","61","0.0296349824245305","0.0232831172392009","0.0359868476098601","3"
"Subtenant","1988","in school","West Germany","1","","","","3"
"Subtenant","1988","in school","East Germany","","","","","3"
"Subtenant","1988","inadequately","West Germany","16","","","","3"
"Subtenant","1988","general elemantary","East Germany","","","","","3"
"Subtenant","1988","middle vocational","West Germany","88","0.0226170371554177","0.0183919881241797","0.0268420861866557","3"
"Subtenant","1988","middle vocational","East Germany","","","","","3"
"Subtenant","1988","vocational + Abi","West Germany","7","","","","3"
"Subtenant","1988","vocational + Abi","East Germany","","","","","3"
"Subtenant","1988","higher vocational","West Germany","7","","","","3"
"Subtenant","1988","higher vocational","East Germany","","","","","3"
"Subtenant","1988","higher education","West Germany","12","","","","3"
"Subtenant","1988","higher education","East Germany","","","","","3"
"Tenant","1988","inadequately","East Germany","","","","","4"
"Tenant","1988","general elemantary","West Germany","1","","","","4"
"Tenant","1988","general elemantary","East Germany","","","","","4"
"Tenant","1988","middle vocational","West Germany","2","","","","4"
"Tenant","1988","middle vocational","East Germany","","","","","4"
"Tenant","1988","vocational + Abi","West Germany","","","","","4"
"Tenant","1988","vocational + Abi","East Germany","","","","","4"
"Tenant","1988","in school","West Germany","","","","","4"
"Tenant","1988","in school","East Germany","","","","","4"
"Tenant","1988","inadequately","West Germany","","","","","4"
"Tenant","1988","higher vocational","West Germany","","","","","4"
"Tenant","1988","higher vocational","East Germany","","","","","4"
"Tenant","1988","higher education","West Germany","","","","","4"
"Tenant","1988","higher education","East Germany","","","","","4"
"Main tenant","1989","in school","West Germany","76","0.334001681030977","0.264123762596587","0.403879599465367","2"
"Main tenant","1989","in school","East Germany","","","","","2"
"Main tenant","1989","inadequately","West Germany","583","0.812130792927086","0.782330748383308","0.841930837470863","2"
"Main tenant","1989","inadequately","East Germany","","","","","2"
"Main tenant","1989","general elemantary","West Germany","1563","0.518321897784239","0.499067581269458","0.537576214299019","2"
"Main tenant","1989","general elemantary","East Germany","","","","","2"
"Main tenant","1989","middle vocational","West Germany","2427","0.498220420502435","0.483827675502335","0.512613165502535","2"
"Main tenant","1989","middle vocational","East Germany","","","","","2"
"Main tenant","1989","vocational + Abi","West Germany","188","0.585218098610273","0.528513554195714","0.641922643024833","2"
"Main tenant","1989","vocational + Abi","East Germany","","","","","2"
"Main tenant","1989","higher vocational","West Germany","221","0.431727408618763","0.388948702775014","0.474506114462512","2"
"Main tenant","1989","higher vocational","East Germany","","","","","2"
"Main tenant","1989","higher education","West Germany","346","0.484142725407052","0.447095047850462","0.521190402963641","2"
"Main tenant","1989","higher education","East Germany","","","","","2"
"Owner","1989","in school","West Germany","94","0.626060259554481","0.554373665594838","0.697746853514123","1"
"Owner","1989","in school","East Germany","","","","","1"
"Owner","1989","inadequately","West Germany","64","0.157316520220131","0.12953886846325","0.185094171977013","1"
"Owner","1989","inadequately","East Germany","","","","","1"
"Owner","1989","general elemantary","West Germany","966","0.453464429638171","0.434280803326566","0.472648055949777","1"
"Owner","1989","general elemantary","East Germany","","","","","1"
"Owner","1989","middle vocational","West Germany","2117","0.477166254632701","0.462788434575805","0.491544074689596","1"
"Owner","1989","middle vocational","East Germany","","","","","1"
"Owner","1989","vocational + Abi","West Germany","97","0.398588153852201","0.342237718612856","0.454938589091547","1"
"Owner","1989","vocational + Abi","East Germany","","","","","1"
"Owner","1989","higher vocational","West Germany","288","0.554188791044104","0.511259982305161","0.597117599783047","1"
"Owner","1989","higher vocational","East Germany","","","","","1"
"Owner","1989","higher education","West Germany","342","0.500072614181622","0.463006291438272","0.537138936924972","1"
"Owner","1989","higher education","East Germany","","","","","1"
"Resident or shared accommodation","1989","in school","West Germany","","","","","5"
"Resident or shared accommodation","1989","in school","East Germany","","","","","5"
"Resident or shared accommodation","1989","inadequately","West Germany","","","","","5"
"Resident or shared accommodation","1989","inadequately","East Germany","","","","","5"
"Resident or shared accommodation","1989","general elemantary","West Germany","","","","","5"
"Resident or shared accommodation","1989","general elemantary","East Germany","","","","","5"
"Resident or shared accommodation","1989","middle vocational","West Germany","","","","","5"
"Resident or shared accommodation","1989","middle vocational","East Germany","","","","","5"
"Resident or shared accommodation","1989","vocational + Abi","West Germany","","","","","5"
"Resident or shared accommodation","1989","vocational + Abi","East Germany","","","","","5"
"Resident or shared accommodation","1989","higher vocational","West Germany","","","","","5"
"Resident or shared accommodation","1989","higher vocational","East Germany","","","","","5"
"Resident or shared accommodation","1989","higher education","West Germany","","","","","5"
"Resident or shared accommodation","1989","higher education","East Germany","","","","","5"
"Subtenant","1989","in school","West Germany","5","","","","3"
"Subtenant","1989","in school","East Germany","","","","","3"
"Subtenant","1989","inadequately","West Germany","13","","","","3"
"Subtenant","1989","inadequately","East Germany","","","","","3"
"Subtenant","1989","general elemantary","West Germany","56","0.0263558067914602","0.0201829219749903","0.0325286916079301","3"
"Subtenant","1989","general elemantary","East Germany","","","","","3"
"Subtenant","1989","middle vocational","West Germany","82","0.021844886176134","0.0176370857299842","0.0260526866222838","3"
"Subtenant","1989","middle vocational","East Germany","","","","","3"
"Subtenant","1989","vocational + Abi","West Germany","5","","","","3"
"Subtenant","1989","vocational + Abi","East Germany","","","","","3"
"Subtenant","1989","higher vocational","West Germany","6","","","","3"
"Subtenant","1989","higher vocational","East Germany","","","","","3"
"Subtenant","1989","higher education","West Germany","10","","","","3"
"Subtenant","1989","higher education","East Germany","","","","","3"
"Tenant","1989","in school","West Germany","","","","","4"
"Tenant","1989","in school","East Germany","","","","","4"
"Tenant","1989","inadequately","West Germany","","","","","4"
"Tenant","1989","inadequately","East Germany","","","","","4"
"Tenant","1989","general elemantary","West Germany","2","","","","4"
"Tenant","1989","general elemantary","East Germany","","","","","4"
"Tenant","1989","middle vocational","West Germany","10","","","","4"
"Tenant","1989","middle vocational","East Germany","","","","","4"
"Tenant","1989","vocational + Abi","West Germany","","","","","4"
"Tenant","1989","vocational + Abi","East Germany","","","","","4"
"Tenant","1989","higher vocational","West Germany","","","","","4"
"Tenant","1989","higher vocational","East Germany","","","","","4"
"Tenant","1989","higher education","West Germany","1","","","","4"
