"hgowner","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Subtenant","1988","35-65 y.","West Germany","78","0.0172174111994946","0.0136515427179847","0.0207832796810046","3"
"Subtenant","1988","35-65 y.","East Germany","","","","","3"
"Subtenant","1988","66 and older","East Germany","","","","","3"
"Subtenant","1988","66 and older","West Germany","16","","","","3"
"Tenant","1988","16-34 y.","East Germany","","","","","4"
"Tenant","1988","16-34 y.","West Germany","2","","","","4"
"Tenant","1988","35-65 y.","West Germany","","","","","4"
"Tenant","1988","35-65 y.","East Germany","","","","","4"
"Tenant","1988","66 and older","West Germany","1","","","","4"
"Tenant","1988","66 and older","East Germany","","","","","4"
"Main tenant","1989","16-34 y.","West Germany","2384","0.555891123372309","0.540028514395503","0.571753732349114","2"
"Main tenant","1989","16-34 y.","East Germany","","","","","2"
"Main tenant","1989","35-65 y.","West Germany","2612","0.452034071378981","0.438107420706712","0.46596072205125","2"
"Main tenant","1989","66 and older","West Germany","505","0.551866522473355","0.521481390791471","0.582251654155239","2"
"Main tenant","1989","35-65 y.","East Germany","","","","","2"
"Main tenant","1989","66 and older","East Germany","","","","","2"
"Owner","1989","16-34 y.","West Germany","1277","0.406325401806807","0.390645395156893","0.422005408456722","1"
"Owner","1989","16-34 y.","East Germany","","","","","1"
"Owner","1989","35-65 y.","West Germany","2222","0.529354016600493","0.515386969304164","0.543321063896822","1"
"Owner","1989","35-65 y.","East Germany","","","","","1"
"Owner","1989","66 and older","West Germany","510","0.432586533552545","0.402315536844748","0.462857530260343","1"
"Owner","1989","66 and older","East Germany","","","","","1"
"Resident or shared accommodation","1989","16-34 y.","West Germany","","","","","5"
"Resident or shared accommodation","1989","16-34 y.","East Germany","","","","","5"
"Resident or shared accommodation","1989","35-65 y.","West Germany","","","","","5"
"Resident or shared accommodation","1989","35-65 y.","East Germany","","","","","5"
"Resident or shared accommodation","1989","66 and older","West Germany","","","","","5"
"Resident or shared accommodation","1989","66 and older","East Germany","","","","","5"
"Subtenant","1989","16-34 y.","East Germany","","","","","3"
"Subtenant","1989","16-34 y.","West Germany","99","0.0344880569771871","0.0286623557080503","0.0403137582463239","3"
"Subtenant","1989","35-65 y.","West Germany","70","0.0180765347786565","0.0143484933584904","0.0218045761988226","3"
"Subtenant","1989","35-65 y.","East Germany","","","","","3"
"Subtenant","1989","66 and older","West Germany","11","","","","3"
"Subtenant","1989","66 and older","East Germany","","","","","3"
"Tenant","1989","16-34 y.","West Germany","9","","","","4"
"Tenant","1989","16-34 y.","East Germany","","","","","4"
"Tenant","1989","35-65 y.","West Germany","2","","","","4"
"Tenant","1989","35-65 y.","East Germany","","","","","4"
"Tenant","1989","66 and older","West Germany","3","","","","4"
"Tenant","1989","66 and older","East Germany","","","","","4"
"Main tenant","1990","16-34 y.","West Germany","2302","0.566446673618087","0.550385163058394","0.58250818417778","2"
"Main tenant","1990","16-34 y.","East Germany","1117","0.679544110818916","0.657335155916858","0.701753065720973","2"
"Main tenant","1990","35-65 y.","West Germany","2512","0.453847548409707","0.439760178782721","0.467934918036693","2"
"Main tenant","1990","35-65 y.","East Germany","1443","0.642279153462461","0.622702648442191","0.66185565848273","2"
"Main tenant","1990","66 and older","West Germany","519","0.555006943252205","0.525103842468404","0.584910044036006","2"
"Main tenant","1990","66 and older","East Germany","284","0.690043606591626","0.646781825188909","0.733305387994343","2"
"Owner","1990","16-34 y.","West Germany","1229","0.387238141747475","0.37145038098287","0.40302590251208","1"
"Owner","1990","16-34 y.","East Germany","501","0.26770699984846","0.246634916667411","0.28877908302951","1"
