"hgowner","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Resident or shared accommodation","1984","(Married) couple without C. ","indirect migration background","","","","","5"
"Resident or shared accommodation","1984","Couple + C. LE 16 ","no migration background","","","","","5"
"Resident or shared accommodation","1984","1-pers.-HH","no migration background","","","","","5"
"Resident or shared accommodation","1984","1-pers.-HH","direct migration background","","","","","5"
"Resident or shared accommodation","1984","(Married) couple without C. ","no migration background","","","","","5"
"Resident or shared accommodation","1984","(Married) couple without C. ","direct migration background","","","","","5"
"Resident or shared accommodation","1984","Single parent ","no migration background","","","","","5"
"Resident or shared accommodation","1984","Single parent ","indirect migration background","","","","","5"
"Resident or shared accommodation","1984","Single parent ","direct migration background","","","","","5"
"Resident or shared accommodation","1984","Couple + C. LE 16 ","direct migration background","","","","","5"
"Resident or shared accommodation","1984","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Resident or shared accommodation","1984","Couple + C. GT 16 ","no migration background","","","","","5"
"Resident or shared accommodation","1984","Couple + C. GT 16 ","direct migration background","","","","","5"
"Resident or shared accommodation","1984","Couple + C. GT 16 ","indirect migration background","","","","","5"
"Resident or shared accommodation","1984","Couple + C. LE and GT 16","no migration background","","","","","5"
"Resident or shared accommodation","1984","Couple + C. LE and GT 16","direct migration background","","","","","5"
"Resident or shared accommodation","1984","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Subtenant","1984","Couple + C. LE and GT 16","no migration background","3","","","","3"
"Subtenant","1984","Couple + C. LE 16 ","direct migration background","14","","","","3"
"Subtenant","1984","Couple + C. GT 16 ","direct migration background","","","","","3"
"Subtenant","1984","Couple + C. GT 16 ","indirect migration background","","","","","3"
"Subtenant","1984","Couple + C. LE and GT 16","direct migration background","7","","","","3"
"Subtenant","1984","Couple + C. LE and GT 16","indirect migration background","2","","","","3"
"Subtenant","1984","1-pers.-HH","no migration background","27","","","","3"
"Subtenant","1984","(Married) couple without C. ","direct migration background","9","","","","3"
"Subtenant","1984","(Married) couple without C. ","indirect migration background","2","","","","3"
"Subtenant","1984","Single parent ","direct migration background","","","","","3"
"Subtenant","1984","Single parent ","indirect migration background","","","","","3"
"Subtenant","1984","Couple + C. LE 16 ","no migration background","18","","","","3"
"Subtenant","1984","Couple + C. LE 16 ","indirect migration background","","","","","3"
"Subtenant","1984","Couple + C. GT 16 ","no migration background","6","","","","3"
"Subtenant","1984","1-pers.-HH","direct migration background","43","0.134825468554316","0.0914346897854036","0.178216247323229","3"
"Subtenant","1984","1-pers.-HH","indirect migration background","","","","","3"
"Subtenant","1984","(Married) couple without C. ","no migration background","13","","","","3"
"Subtenant","1984","Single parent ","no migration background","7","","","","3"
"Tenant","1984","1-pers.-HH","indirect migration background","","","","","4"
"Tenant","1984","1-pers.-HH","direct migration background","5","","","","4"
"Tenant","1984","1-pers.-HH","no migration background","1","","","","4"
"Tenant","1984","Single parent ","no migration background","","","","","4"
"Tenant","1984","(Married) couple without C. ","no migration background","6","","","","4"
"Tenant","1984","(Married) couple without C. ","direct migration background","2","","","","4"
"Tenant","1984","Single parent ","direct migration background","","","","","4"
"Tenant","1984","Single parent ","indirect migration background","","","","","4"
"Tenant","1984","Couple + C. LE 16 ","no migration background","5","","","","4"
"Tenant","1984","Couple + C. LE 16 ","direct migration background","5","","","","4"
"Tenant","1984","Couple + C. LE 16 ","indirect migration background","","","","","4"
"Tenant","1984","Couple + C. GT 16 ","direct migration background","1","","","","4"
"Tenant","1984","Couple + C. GT 16 ","indirect migration background","","","","","4"
"Tenant","1984","Couple + C. LE and GT 16","no migration background","","","","","4"
"Tenant","1984","(Married) couple without C. ","indirect migration background","","","","","4"
"Tenant","1984","Couple + C. GT 16 ","no migration background","3","","","","4"
"Tenant","1984","Couple + C. LE and GT 16","direct migration background","4","","","","4"
"Tenant","1984","Couple + C. LE and GT 16","indirect migration background","","","","","4"
"Main tenant","1985","1-pers.-HH","no migration background","738","0.752717717889725","0.725595354650567","0.779840081128883","2"
"Main tenant","1985","(Married) couple without C. ","indirect migration background","6","","","","2"
"Main tenant","1985","Single parent ","indirect migration background","10","","","","2"
"Main tenant","1985","1-pers.-HH","direct migration background","152","0.747372338967553","0.68730214656963","0.807442531365475","2"
"Main tenant","1985","(Married) couple without C. ","direct migration background","344","0.712420024270733","0.668391669778698","0.756448378762768","2"
"Main tenant","1985","1-pers.-HH","indirect migration background","8","","","","2"
"Main tenant","1985","(Married) couple without C. ","no migration background","1142","0.553168679964609","0.531487994892809","0.57484936503641","2"
"Main tenant","1985","Single parent ","direct migration background","102","0.752370120802224","0.674490401021997","0.830249840582451","2"
"Main tenant","1985","Couple + C. LE 16 ","no migration background","858","0.503496174626105","0.479644369249268","0.527347980002942","2"
"Main tenant","1985","Couple + C. GT 16 ","no migration background","524","0.326466416858866","0.30318958243816","0.349743251279572","2"
"Main tenant","1985","Couple + C. GT 16 ","direct migration background","352","0.631133919646814","0.585422855923541","0.676844983370087","2"
"Main tenant","1985","Single parent ","no migration background","239","0.562482814630974","0.514754485602154","0.610211143659795","2"
"Main tenant","1985","Couple + C. LE 16 ","direct migration background","868","0.789809080402676","0.764260378119982","0.81535778268537","2"
"Main tenant","1985","Couple + C. LE 16 ","indirect migration background","10","","","","2"
"Main tenant","1985","Couple + C. LE and GT 16","direct migration background","560","0.736633644007444","0.702019083549168","0.77124820446572","2"
"Main tenant","1985","Couple + C. LE and GT 16","indirect migration background","43","0.759836270633638","0.641429425821598","0.878243115445678","2"
"Main tenant","1985","Couple + C. GT 16 ","indirect migration background","30","0.501933444730282","0.350720070967416","0.653146818493147","2"
"Main tenant","1985","Couple + C. LE and GT 16","no migration background","188","0.219951711692022","0.191618165767409","0.248285257616635","2"
"Owner","1985","1-pers.-HH","no migration background","206","0.218588053895611","0.19260631622589","0.244569791565333","1"
"Owner","1985","1-pers.-HH","direct migration background","11","","","","1"
"Owner","1985","1-pers.-HH","indirect migration background","","","","","1"
"Owner","1985","(Married) couple without C. ","no migration background","854","0.435830502694719","0.414206503415913","0.457454501973526","1"
"Owner","1985","(Married) couple without C. ","direct migration background","54","0.28116805398473","0.237437825491807","0.324898282477653","1"
"Owner","1985","(Married) couple without C. ","indirect migration background","3","","","","1"
"Owner","1985","Single parent ","no migration background","172","0.427265169557174","0.379671456746091","0.474858882368258","1"
"Owner","1985","Single parent ","direct migration background","12","","","","1"
"Owner","1985","Single parent ","indirect migration background","3","","","","1"
"Owner","1985","Couple + C. LE 16 ","no migration background","806","0.482386444296429","0.458548860203303","0.506224028389555","1"
"Owner","1985","Couple + C. LE 16 ","direct migration background","97","0.202886418649732","0.177669768012562","0.228103069286903","1"
"Owner","1985","Couple + C. LE 16 ","indirect migration background","7","","","","1"
"Owner","1985","Couple + C. GT 16 ","no migration background","1028","0.670440287746301","0.647107203837605","0.693773371654998","1"
"Owner","1985","Couple + C. GT 16 ","direct migration background","74","0.359070705839032","0.313622027836268","0.404519383841795","1"
"Owner","1985","Couple + C. GT 16 ","indirect migration background","12","","","","1"
"Owner","1985","Couple + C. LE and GT 16","no migration background","633","0.780048288307978","0.751714742383365","0.808381834232591","1"
"Owner","1985","Couple + C. LE and GT 16","direct migration background","62","0.263366355992556","0.228751795534281","0.297980916450832","1"
"Owner","1985","Couple + C. LE and GT 16","indirect migration background","7","","","","1"
"Resident or shared accommodation","1985","(Married) couple without C. ","indirect migration background","","","","","5"
"Resident or shared accommodation","1985","1-pers.-HH","no migration background","","","","","5"
"Resident or shared accommodation","1985","1-pers.-HH","direct migration background","","","","","5"
"Resident or shared accommodation","1985","1-pers.-HH","indirect migration background","","","","","5"
"Resident or shared accommodation","1985","(Married) couple without C. ","no migration background","","","","","5"
"Resident or shared accommodation","1985","(Married) couple without C. ","direct migration background","","","","","5"
"Resident or shared accommodation","1985","Single parent ","no migration background","","","","","5"
"Resident or shared accommodation","1985","Single parent ","direct migration background","","","","","5"
"Resident or shared accommodation","1985","Single parent ","indirect migration background","","","","","5"
"Resident or shared accommodation","1985","Couple + C. LE 16 ","no migration background","","","","","5"
"Resident or shared accommodation","1985","Couple + C. LE 16 ","direct migration background","","","","","5"
"Resident or shared accommodation","1985","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Resident or shared accommodation","1985","Couple + C. GT 16 ","no migration background","","","","","5"
"Resident or shared accommodation","1985","Couple + C. GT 16 ","direct migration background","","","","","5"
"Resident or shared accommodation","1985","Couple + C. GT 16 ","indirect migration background","","","","","5"
"Resident or shared accommodation","1985","Couple + C. LE and GT 16","no migration background","","","","","5"
"Resident or shared accommodation","1985","Couple + C. LE and GT 16","direct migration background","","","","","5"
"Resident or shared accommodation","1985","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Subtenant","1985","1-pers.-HH","no migration background","28","","","","3"
"Subtenant","1985","Couple + C. LE 16 ","direct migration background","12","","","","3"
"Subtenant","1985","Couple + C. GT 16 ","direct migration background","2","","","","3"
"Subtenant","1985","Couple + C. GT 16 ","indirect migration background","","","","","3"
"Subtenant","1985","Couple + C. LE and GT 16","indirect migration background","","","","","3"
"Subtenant","1985","Couple + C. LE and GT 16","no migration background","","","","","3"
"Subtenant","1985","Couple + C. LE and GT 16","direct migration background","","","","","3"
"Subtenant","1985","1-pers.-HH","direct migration background","38","0.127217001226336","0.0811515024020581","0.173282500050613","3"
"Subtenant","1985","1-pers.-HH","indirect migration background","","","","","3"
"Subtenant","1985","(Married) couple without C. ","no migration background","24","","","","3"
"Subtenant","1985","(Married) couple without C. ","direct migration background","8","","","","3"
"Subtenant","1985","(Married) couple without C. ","indirect migration background","","","","","3"
"Subtenant","1985","Single parent ","direct migration background","4","","","","3"
"Subtenant","1985","Single parent ","indirect migration background","","","","","3"
"Subtenant","1985","Couple + C. LE 16 ","no migration background","24","","","","3"
"Subtenant","1985","Couple + C. LE 16 ","indirect migration background","","","","","3"
"Subtenant","1985","Couple + C. GT 16 ","no migration background","7","","","","3"
"Subtenant","1985","Single parent ","no migration background","4","","","","3"
"Tenant","1985","1-pers.-HH","indirect migration background","","","","","4"
"Tenant","1985","1-pers.-HH","no migration background","","","","","4"
"Tenant","1985","1-pers.-HH","direct migration background","","","","","4"
"Tenant","1985","Single parent ","no migration background","","","","","4"
"Tenant","1985","(Married) couple without C. ","no migration background","","","","","4"
"Tenant","1985","(Married) couple without C. ","direct migration background","","","","","4"
"Tenant","1985","(Married) couple without C. ","indirect migration background","","","","","4"
"Tenant","1985","Single parent ","direct migration background","","","","","4"
"Tenant","1985","Single parent ","indirect migration background","","","","","4"
"Tenant","1985","Couple + C. LE 16 ","no migration background","","","","","4"
"Tenant","1985","Couple + C. LE 16 ","direct migration background","","","","","4"
"Tenant","1985","Couple + C. LE 16 ","indirect migration background","","","","","4"
"Tenant","1985","Couple + C. GT 16 ","direct migration background","","","","","4"
"Tenant","1985","Couple + C. GT 16 ","indirect migration background","","","","","4"
"Tenant","1985","Couple + C. LE and GT 16","no migration background","","","","","4"
"Tenant","1985","Couple + C. GT 16 ","no migration background","","","","","4"
"Tenant","1985","Couple + C. LE and GT 16","direct migration background","","","","","4"
"Tenant","1985","Couple + C. LE and GT 16","indirect migration background","","","","","4"
"Main tenant","1986","1-pers.-HH","no migration background","675","0.735940646188013","0.707516706145084","0.764364586230943","2"
"Main tenant","1986","(Married) couple without C. ","direct migration background","326","0.720128760806473","0.675573396294346","0.7646841253186","2"
"Main tenant","1986","Couple + C. LE 16 ","indirect migration background","10","","","","2"
"Main tenant","1986","Couple + C. GT 16 ","no migration background","463","0.30603344851779","0.283208703772228","0.328858193263351","2"
"Main tenant","1986","(Married) couple without C. ","no migration background","1110","0.54827187920756","0.526384436707137","0.570159321707982","2"
"Main tenant","1986","Single parent ","direct migration background","88","0.73971281998937","0.655783944682661","0.82364169529608","2"
"Main tenant","1986","Single parent ","indirect migration background","12","","","","2"
"Main tenant","1986","Couple + C. LE and GT 16","direct migration background","514","0.739462065880578","0.703863287082086","0.77506084467907","2"
"Main tenant","1986","1-pers.-HH","direct migration background","142","0.7610803983123","0.699798419783572","0.822362376841028","2"
"Main tenant","1986","1-pers.-HH","indirect migration background","11","","","","2"
"Main tenant","1986","(Married) couple without C. ","indirect migration background","6","","","","2"
"Main tenant","1986","Couple + C. LE 16 ","no migration background","759","0.51284781661519","0.487569991385289","0.538125641845091","2"
"Main tenant","1986","Couple + C. LE 16 ","direct migration background","780","0.811471229563239","0.785788887863689","0.83715357126279","2"
"Main tenant","1986","Couple + C. LE and GT 16","no migration background","165","0.210242973610781","0.181442978397438","0.239042968824124","2"
"Main tenant","1986","Single parent ","no migration background","204","0.534773935861638","0.48514335440435","0.584404517318926","2"
"Main tenant","1986","Couple + C. GT 16 ","direct migration background","396","0.605758969521497","0.562621420206456","0.648896518836538","2"
"Main tenant","1986","Couple + C. GT 16 ","indirect migration background","36","0.617939327381053","0.480482423282001","0.755396231480105","2"
"Main tenant","1986","Couple + C. LE and GT 16","indirect migration background","37","0.65935913821745","0.526662647653679","0.792055628781221","2"
"Owner","1986","1-pers.-HH","no migration background","209","0.223819289369971","0.196944672321024","0.250693906418917","1"
"Owner","1986","1-pers.-HH","direct migration background","13","","","","1"
"Owner","1986","1-pers.-HH","indirect migration background","","","","","1"
"Owner","1986","(Married) couple without C. ","no migration background","843","0.434784455789312","0.412982145211199","0.456586766367425","1"
"Owner","1986","(Married) couple without C. ","direct migration background","52","0.268144487554355","0.224178898289768","0.312110076818941","1"
"Owner","1986","(Married) couple without C. ","indirect migration background","6","","","","1"
"Owner","1986","Single parent ","no migration background","176","0.450033058947158","0.400531060825924","0.499535057068391","1"
"Owner","1986","Single parent ","direct migration background","13","","","","1"
"Owner","1986","Single parent ","indirect migration background","2","","","","1"
"Owner","1986","Couple + C. LE 16 ","no migration background","724","0.474976962884356","0.449722474330423","0.500231451438289","1"
"Owner","1986","Couple + C. LE 16 ","direct migration background","85","0.164671679795453","0.140318969651247","0.18902438993966","1"
"Owner","1986","Couple + C. LE 16 ","indirect migration background","6","","","","1"
"Owner","1986","Couple + C. GT 16 ","no migration background","1100","0.692133278469875","0.669270529327528","0.714996027612221","1"
"Owner","1986","Couple + C. GT 16 ","direct migration background","90","0.388794111231863","0.345763428620739","0.431824793842987","1"
"Owner","1986","Couple + C. GT 16 ","indirect migration background","12","","","","1"
"Owner","1986","Couple + C. LE and GT 16","no migration background","601","0.785932789904426","0.756942490557484","0.814923089251369","1"
"Owner","1986","Couple + C. LE and GT 16","direct migration background","67","0.256197262718877","0.22079281727181","0.291601708165944","1"
"Owner","1986","Couple + C. LE and GT 16","indirect migration background","12","","","","1"
"Resident or shared accommodation","1986","(Married) couple without C. ","indirect migration background","","","","","5"
"Resident or shared accommodation","1986","1-pers.-HH","no migration background","","","","","5"
"Resident or shared accommodation","1986","1-pers.-HH","direct migration background","","","","","5"
"Resident or shared accommodation","1986","1-pers.-HH","indirect migration background","","","","","5"
"Resident or shared accommodation","1986","(Married) couple without C. ","no migration background","","","","","5"
"Resident or shared accommodation","1986","(Married) couple without C. ","direct migration background","","","","","5"
"Resident or shared accommodation","1986","Single parent ","no migration background","","","","","5"
"Resident or shared accommodation","1986","Single parent ","direct migration background","","","","","5"
"Resident or shared accommodation","1986","Single parent ","indirect migration background","","","","","5"
"Resident or shared accommodation","1986","Couple + C. LE 16 ","no migration background","","","","","5"
"Resident or shared accommodation","1986","Couple + C. LE 16 ","direct migration background","","","","","5"
"Resident or shared accommodation","1986","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Resident or shared accommodation","1986","Couple + C. GT 16 ","no migration background","","","","","5"
"Resident or shared accommodation","1986","Couple + C. GT 16 ","direct migration background","","","","","5"
"Resident or shared accommodation","1986","Couple + C. GT 16 ","indirect migration background","","","","","5"
"Resident or shared accommodation","1986","Couple + C. LE and GT 16","no migration background","","","","","5"
"Resident or shared accommodation","1986","Couple + C. LE and GT 16","direct migration background","","","","","5"
"Resident or shared accommodation","1986","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Subtenant","1986","Couple + C. GT 16 ","direct migration background","7","","","","3"
"Subtenant","1986","1-pers.-HH","direct migration background","31","0.109096359672188","0.0642928417852951","0.153899877559081","3"
"Subtenant","1986","Couple + C. LE and GT 16","indirect migration background","","","","","3"
"Subtenant","1986","1-pers.-HH","no migration background","39","0.0393665745461974","0.026827809467505","0.0519053396248898","3"
"Subtenant","1986","1-pers.-HH","indirect migration background","","","","","3"
"Subtenant","1986","Couple + C. GT 16 ","indirect migration background","","","","","3"
"Subtenant","1986","Couple + C. LE and GT 16","direct migration background","3","","","","3"
"Subtenant","1986","(Married) couple without C. ","no migration background","33","0.016943665003128","0.0112675478547444","0.0226197821515116","3"
"Subtenant","1986","(Married) couple without C. ","direct migration background","12","","","","3"
"Subtenant","1986","Single parent ","direct migration background","4","","","","3"
"Subtenant","1986","Single parent ","indirect migration background","","","","","3"
"Subtenant","1986","Couple + C. LE 16 ","no migration background","19","","","","3"
"Subtenant","1986","Couple + C. LE 16 ","direct migration background","26","","","","3"
"Subtenant","1986","Couple + C. LE 16 ","indirect migration background","","","","","3"
"Subtenant","1986","Couple + C. GT 16 ","no migration background","3","","","","3"
"Subtenant","1986","Couple + C. LE and GT 16","no migration background","3","","","","3"
"Subtenant","1986","(Married) couple without C. ","indirect migration background","","","","","3"
"Subtenant","1986","Single parent ","no migration background","8","","","","3"
"Tenant","1986","1-pers.-HH","direct migration background","","","","","4"
"Tenant","1986","1-pers.-HH","no migration background","1","","","","4"
"Tenant","1986","1-pers.-HH","indirect migration background","","","","","4"
"Tenant","1986","(Married) couple without C. ","no migration background","","","","","4"
"Tenant","1986","Single parent ","no migration background","","","","","4"
"Tenant","1986","Single parent ","direct migration background","","","","","4"
"Tenant","1986","Single parent ","indirect migration background","","","","","4"
"Tenant","1986","Couple + C. LE 16 ","no migration background","","","","","4"
"Tenant","1986","Couple + C. LE 16 ","indirect migration background","","","","","4"
"Tenant","1986","Couple + C. GT 16 ","direct migration background","","","","","4"
"Tenant","1986","Couple + C. GT 16 ","indirect migration background","","","","","4"
"Tenant","1986","Couple + C. LE and GT 16","no migration background","","","","","4"
"Tenant","1986","(Married) couple without C. ","direct migration background","","","","","4"
"Tenant","1986","(Married) couple without C. ","indirect migration background","","","","","4"
"Tenant","1986","Couple + C. LE 16 ","direct migration background","","","","","4"
"Tenant","1986","Couple + C. GT 16 ","no migration background","","","","","4"
"Tenant","1986","Couple + C. LE and GT 16","direct migration background","","","","","4"
"Tenant","1986","Couple + C. LE and GT 16","indirect migration background","","","","","4"
"Main tenant","1987","1-pers.-HH","no migration background","657","0.728360062918702","0.699664343748106","0.757055782089298","2"
"Main tenant","1987","(Married) couple without C. ","no migration background","1060","0.526909868879539","0.504812050241379","0.5490076875177","2"
"Main tenant","1987","(Married) couple without C. ","direct migration background","312","0.690034332157922","0.64371728645703","0.736351377858814","2"
"Main tenant","1987","Single parent ","indirect migration background","9","","","","2"
"Main tenant","1987","Couple + C. LE and GT 16","direct migration background","480","0.74679226314664","0.710417488654794","0.783167037638487","2"
"Main tenant","1987","Single parent ","direct migration background","93","0.723843161879392","0.637915783823689","0.809770539935096","2"
"Main tenant","1987","1-pers.-HH","indirect migration background","12","","","","2"
"Main tenant","1987","(Married) couple without C. ","indirect migration background","7","","","","2"
"Main tenant","1987","Single parent ","no migration background","214","0.516545842487199","0.468056075814377","0.565035609160021","2"
"Main tenant","1987","Couple + C. LE 16 ","no migration background","735","0.512645976923338","0.487111601432596","0.53818035241408","2"
"Main tenant","1987","Couple + C. LE 16 ","indirect migration background","16","","","","2"
"Main tenant","1987","Couple + C. GT 16 ","no migration background","465","0.300423848810077","0.278002588477434","0.322845109142721","2"
"Main tenant","1987","1-pers.-HH","direct migration background","138","0.748976129700339","0.686324744360687","0.811627515039992","2"
"Main tenant","1987","Couple + C. LE and GT 16","no migration background","141","0.208843711795877","0.177738152462373","0.23994927112938","2"
"Main tenant","1987","Couple + C. LE 16 ","direct migration background","782","0.814781845511065","0.789027244697808","0.840536446324322","2"
"Main tenant","1987","Couple + C. GT 16 ","direct migration background","390","0.601484902906681","0.55839832446076","0.644571481352601","2"
"Main tenant","1987","Couple + C. GT 16 ","indirect migration background","43","0.626094360375852","0.500488018668512","0.751700702083193","2"
"Main tenant","1987","Couple + C. LE and GT 16","indirect migration background","42","0.693178730166573","0.569020503271606","0.817336957061539","2"
"Owner","1987","1-pers.-HH","no migration background","214","0.221233252034748","0.194455375059087","0.248011129010408","1"
"Owner","1987","1-pers.-HH","direct migration background","12","","","","1"
"Owner","1987","1-pers.-HH","indirect migration background","","","","","1"
"Owner","1987","(Married) couple without C. ","no migration background","869","0.454758194511888","0.432719080347516","0.476797308676261","1"
"Owner","1987","(Married) couple without C. ","direct migration background","61","0.29020820936343","0.244754530756443","0.335661887970418","1"
"Owner","1987","(Married) couple without C. ","indirect migration background","6","","","","1"
"Owner","1987","Single parent ","no migration background","189","0.470335648635454","0.421904772022369","0.518766525248538","1"
"Owner","1987","Single parent ","direct migration background","10","","","","1"
"Owner","1987","Single parent ","indirect migration background","2","","","","1"
"Owner","1987","Couple + C. LE 16 ","no migration background","704","0.465545241980487","0.440063412445981","0.491027071514993","1"
"Owner","1987","Couple + C. LE 16 ","direct migration background","80","0.172367627531895","0.147327360178315","0.197407894885475","1"
"Owner","1987","Couple + C. LE 16 ","indirect migration background","6","","","","1"
"Owner","1987","Couple + C. GT 16 ","no migration background","1138","0.699372604897819","0.676947013457402","0.721798196338236","1"
"Owner","1987","Couple + C. GT 16 ","direct migration background","102","0.391930229645015","0.348967848818389","0.434892610471641","1"
"Owner","1987","Couple + C. GT 16 ","indirect migration background","14","","","","1"
"Owner","1987","Couple + C. LE and GT 16","no migration background","507","0.778047629234435","0.746247480055283","0.809847778413587","1"
"Owner","1987","Couple + C. LE and GT 16","direct migration background","64","0.248024616051912","0.211899344208121","0.284149887895703","1"
"Owner","1987","Couple + C. LE and GT 16","indirect migration background","10","","","","1"
"Resident or shared accommodation","1987","Couple + C. LE 16 ","no migration background","","","","","5"
"Resident or shared accommodation","1987","1-pers.-HH","no migration background","","","","","5"
"Resident or shared accommodation","1987","1-pers.-HH","direct migration background","","","","","5"
"Resident or shared accommodation","1987","(Married) couple without C. ","no migration background","","","","","5"
"Resident or shared accommodation","1987","(Married) couple without C. ","indirect migration background","","","","","5"
"Resident or shared accommodation","1987","Single parent ","indirect migration background","","","","","5"
"Resident or shared accommodation","1987","(Married) couple without C. ","direct migration background","","","","","5"
"Resident or shared accommodation","1987","Single parent ","no migration background","","","","","5"
"Resident or shared accommodation","1987","Single parent ","direct migration background","","","","","5"
"Resident or shared accommodation","1987","1-pers.-HH","indirect migration background","","","","","5"
"Resident or shared accommodation","1987","Couple + C. LE 16 ","direct migration background","","","","","5"
"Resident or shared accommodation","1987","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Resident or shared accommodation","1987","Couple + C. GT 16 ","no migration background","","","","","5"
"Resident or shared accommodation","1987","Couple + C. GT 16 ","direct migration background","","","","","5"
"Resident or shared accommodation","1987","Couple + C. GT 16 ","indirect migration background","","","","","5"
"Resident or shared accommodation","1987","Couple + C. LE and GT 16","no migration background","","","","","5"
"Resident or shared accommodation","1987","Couple + C. LE and GT 16","direct migration background","","","","","5"
"Resident or shared accommodation","1987","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Subtenant","1987","Couple + C. GT 16 ","direct migration background","4","","","","3"
"Subtenant","1987","Couple + C. LE and GT 16","indirect migration background","1","","","","3"
"Subtenant","1987","1-pers.-HH","no migration background","51","0.0489280477577983","0.0350114565123656","0.062844639003231","3"
"Subtenant","1987","1-pers.-HH","direct migration background","34","0.126413490946025","0.0783971733000059","0.174429808592043","3"
"Subtenant","1987","1-pers.-HH","indirect migration background","","","","","3"
"Subtenant","1987","Couple + C. LE and GT 16","direct migration background","5","","","","3"
"Subtenant","1987","(Married) couple without C. ","no migration background","31","0.0179040873847703","0.0120351112923881","0.0237730634771524","3"
"Subtenant","1987","Single parent ","direct migration background","1","","","","3"
"Subtenant","1987","Single parent ","indirect migration background","","","","","3"
"Subtenant","1987","Couple + C. LE 16 ","direct migration background","11","","","","3"
