"hgowner","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Resident or shared accommodation","1986","Employed","no migration background","","","","","5"
"Resident or shared accommodation","1986","Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1986","Employed","indirect migration background","","","","","5"
"Subtenant","1986","Not Employed","no migration background","41","0.0173911348176316","0.0127327034498671","0.0220495661853961","3"
"Subtenant","1986","Not Employed","direct migration background","23","","","","3"
"Subtenant","1986","Not Employed","indirect migration background","","","","","3"
"Subtenant","1986","Employed","no migration background","71","0.0150303618484444","0.011514228679893","0.0185464950169958","3"
"Subtenant","1986","Employed","direct migration background","63","0.0298550665446837","0.0223964131661131","0.0373137199232543","3"
"Subtenant","1986","Employed","indirect migration background","","","","","3"
"Tenant","1986","Not Employed","no migration background","1","","","","4"
"Tenant","1986","Not Employed","direct migration background","","","","","4"
"Tenant","1986","Not Employed","indirect migration background","","","","","4"
"Tenant","1986","Employed","no migration background","","","","","4"
"Tenant","1986","Employed","direct migration background","","","","","4"
"Tenant","1986","Employed","indirect migration background","","","","","4"
"Main tenant","1987","Not Employed","direct migration background","701","0.662810389617675","0.631085120017939","0.694535659217411","2"
"Main tenant","1987","Not Employed","no migration background","1286","0.500129916722297","0.481824484504327","0.518435348940266","2"
"Main tenant","1987","Not Employed","indirect migration background","56","0.690496520816134","0.586563198549665","0.794429843082603","2"
"Main tenant","1987","Employed","no migration background","2129","0.476647328335413","0.462254667837959","0.491039988832867","2"
"Main tenant","1987","Employed","direct migration background","1711","0.765882077941301","0.747258773074135","0.784505382808467","2"
"Main tenant","1987","Employed","indirect migration background","78","0.740060518246089","0.654522901402448","0.82559813508973","2"
"Owner","1987","Not Employed","no migration background","1534","0.480813535891455","0.462521585227143","0.499105486555767","1"
"Owner","1987","Not Employed","direct migration background","134","0.310287906190102","0.279243030837969","0.341332781542236","1"
"Owner","1987","Not Employed","indirect migration background","20","","","","1"
"Owner","1987","Employed","no migration background","2402","0.501520823994667","0.487112506422147","0.515929141567188","1"
"Owner","1987","Employed","direct migration background","224","0.20332896700003","0.185627974857072","0.221029959142987","1"
"Owner","1987","Employed","indirect migration background","21","","","","1"
"Resident or shared accommodation","1987","Not Employed","no migration background","","","","","5"
"Resident or shared accommodation","1987","Not Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1987","Not Employed","indirect migration background","","","","","5"
"Resident or shared accommodation","1987","Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1987","Employed","no migration background","","","","","5"
"Resident or shared accommodation","1987","Employed","indirect migration background","","","","","5"
"Subtenant","1987","Not Employed","no migration background","45","0.018376574026414","0.0134594096204147","0.0232937384324133","3"
"Subtenant","1987","Not Employed","direct migration background","16","","","","3"
"Subtenant","1987","Not Employed","indirect migration background","","","","","3"
"Subtenant","1987","Employed","no migration background","93","0.0214260930212985","0.0172534273822755","0.0255987586603214","3"
"Subtenant","1987","Employed","direct migration background","51","0.0307889550586695","0.0231915528076887","0.0383863573096504","3"
"Subtenant","1987","Employed","indirect migration background","2","","","","3"
"Tenant","1987","Not Employed","direct migration background","2","","","","4"
"Tenant","1987","Not Employed","no migration background","1","","","","4"
"Tenant","1987","Not Employed","indirect migration background","","","","","4"
"Tenant","1987","Employed","no migration background","2","","","","4"
"Tenant","1987","Employed","direct migration background","","","","","4"
"Tenant","1987","Employed","indirect migration background","","","","","4"
"Main tenant","1988","Not Employed","no migration background","1204","0.50404514535588","0.485048301865128","0.523041988846633","2"
"Main tenant","1988","Not Employed","direct migration background","674","0.662645509292302","0.630125253435804","0.695165765148801","2"
"Main tenant","1988","Not Employed","indirect migration background","76","0.712379269035685","0.623213897643484","0.801544640427886","2"
"Main tenant","1988","Employed","no migration background","2045","0.470691263275244","0.45601772638551","0.485364800164978","2"
"Main tenant","1988","Employed","indirect migration background","102","0.77601731539421","0.70293100916065","0.849103621627771","2"
"Main tenant","1988","Employed","direct migration background","1619","0.752983007412118","0.733477542785938","0.772488472038298","2"
"Owner","1988","Not Employed","no migration background","1408","0.47399850664788","0.455026746342086","0.492970266953673","1"
"Owner","1988","Not Employed","direct migration background","126","0.311789955383137","0.27992879125371","0.343651119512564","1"
"Owner","1988","Not Employed","indirect migration background","23","","","","1"
"Owner","1988","Employed","no migration background","2298","0.504141351074475","0.489443044038479","0.51883965811047","1"
"Owner","1988","Employed","direct migration background","225","0.217656230837428","0.198993093016828","0.236319368658028","1"
"Owner","1988","Employed","indirect migration background","22","","","","1"
"Resident or shared accommodation","1988","Not Employed","no migration background","","","","","5"
"Resident or shared accommodation","1988","Not Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1988","Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1988","Not Employed","indirect migration background","","","","","5"
"Resident or shared accommodation","1988","Employed","no migration background","","","","","5"
"Resident or shared accommodation","1988","Employed","indirect migration background","","","","","5"
"Subtenant","1988","Not Employed","direct migration background","12","","","","3"
"Subtenant","1988","Not Employed","no migration background","48","0.0211671373537344","0.015698098754579","0.0266361759528899","3"
"Subtenant","1988","Not Employed","indirect migration background","","","","","3"
"Subtenant","1988","Employed","no migration background","100","0.024920375737533","0.0203378011535406","0.0295029503215254","3"
"Subtenant","1988","Employed","indirect migration background","1","","","","3"
"Subtenant","1988","Employed","direct migration background","34","0.0293607617504538","0.0217256942945165","0.036995829206391","3"
"Tenant","1988","Not Employed","direct migration background","","","","","4"
"Tenant","1988","Not Employed","no migration background","1","","","","4"
"Tenant","1988","Not Employed","indirect migration background","","","","","4"
"Tenant","1988","Employed","no migration background","2","","","","4"
"Tenant","1988","Employed","direct migration background","","","","","4"
"Tenant","1988","Employed","indirect migration background","","","","","4"
"Main tenant","1989","Not Employed","no migration background","1102","0.48406243631767","0.464542900149312","0.503581972486028","2"
"Main tenant","1989","Not Employed","direct migration background","668","0.679722406731812","0.647550894017835","0.71189391944579","2"
"Main tenant","1989","Not Employed","indirect migration background","85","0.789051440292188","0.712460785443063","0.865642095141314","2"
"Main tenant","1989","Employed","direct migration background","1531","0.743277559309253","0.723086427016105","0.763468691602401","2"
"Main tenant","1989","Employed","no migration background","1991","0.469720008664244","0.454837423789975","0.484602593538512","2"
"Main tenant","1989","Employed","indirect migration background","124","0.758147980171707","0.689849432637465","0.826446527705949","2"
"Owner","1989","Not Employed","no migration background","1369","0.493266354189365","0.4737386653915","0.51279404298723","1"
"Owner","1989","Not Employed","direct migration background","127","0.296373120199379","0.264885993782221","0.327860246616537","1"
"Owner","1989","Not Employed","indirect migration background","23","","","","1"
"Owner","1989","Employed","no migration background","2232","0.504757346246336","0.489848069958237","0.519666622534436","1"
"Owner","1989","Employed","direct migration background","231","0.228654590194351","0.209242707459515","0.248066472929187","1"
"Owner","1989","Employed","indirect migration background","27","","","","1"
"Resident or shared accommodation","1989","Not Employed","no migration background","","","","","5"
"Resident or shared accommodation","1989","Not Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1989","Not Employed","indirect migration background","","","","","5"
"Resident or shared accommodation","1989","Employed","no migration background","","","","","5"
"Resident or shared accommodation","1989","Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1989","Employed","indirect migration background","","","","","5"
"Subtenant","1989","Not Employed","direct migration background","12","","","","3"
"Subtenant","1989","Not Employed","no migration background","42","0.02042715447535","0.0149020240604687","0.0259522848902313","3"
"Subtenant","1989","Not Employed","indirect migration background","1","","","","3"
