"hgowner","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1987","66 and older","Rural Area","99","0.457499767830838","0.397404326240939","0.517595209420737","2"
"Owner","1987","16-34 y.","Urban Area","953","0.340782985790238","0.324427288455008","0.357138683125468","1"
"Owner","1987","16-34 y.","Rural Area","415","0.57110192826756","0.537123510888404","0.605080345646717","1"
"Owner","1987","35-65 y.","Urban Area","1756","0.48758151297511","0.472643274784986","0.502519751165234","1"
"Owner","1987","35-65 y.","Rural Area","684","0.690148885922343","0.662582288072055","0.717715483772631","1"
"Owner","1987","66 and older","Urban Area","367","0.383113945059741","0.349860015765822","0.416367874353661","1"
"Owner","1987","66 and older","Rural Area","160","0.515214396042377","0.454928602809271","0.575500189275483","1"
"Resident or shared accommodation","1987","16-34 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1987","16-34 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1987","35-65 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1987","66 and older","Urban Area","","","","","5"
"Resident or shared accommodation","1987","35-65 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1987","66 and older","Rural Area","","","","","5"
"Subtenant","1987","16-34 y.","Urban Area","91","0.0355194081371988","0.0291324287267052","0.0419063875476924","3"
"Subtenant","1987","35-65 y.","Urban Area","67","0.0116710652995735","0.00846132884861148","0.0148808017505356","3"
"Subtenant","1987","16-34 y.","Rural Area","20","","","","3"
"Subtenant","1987","35-65 y.","Rural Area","12","","","","3"
"Subtenant","1987","66 and older","Urban Area","12","","","","3"
"Subtenant","1987","66 and older","Rural Area","5","","","","3"
"Tenant","1987","16-34 y.","Urban Area","2","","","","4"
"Tenant","1987","16-34 y.","Rural Area","","","","","4"
"Tenant","1987","35-65 y.","Urban Area","2","","","","4"
"Tenant","1987","35-65 y.","Rural Area","","","","","4"
"Tenant","1987","66 and older","Urban Area","1","","","","4"
"Tenant","1987","66 and older","Rural Area","","","","","4"
"Main tenant","1988","16-34 y.","Rural Area","350","0.404956182384992","0.369894795307037","0.440017569462947","2"
"Main tenant","1988","16-34 y.","Urban Area","2105","0.608941420996166","0.591763289962334","0.626119552029998","2"
"Main tenant","1988","35-65 y.","Urban Area","2351","0.496594643670013","0.481269679517979","0.511919607822047","2"
"Main tenant","1988","35-65 y.","Rural Area","374","0.297832544396516","0.269809410727312","0.325855678065721","2"
"Main tenant","1988","66 and older","Urban Area","442","0.601480818177822","0.567701814982034","0.635259821373609","2"
"Main tenant","1988","66 and older","Rural Area","98","0.468874628304793","0.406766399958121","0.530982856651466","2"
"Owner","1988","16-34 y.","Urban Area","914","0.352871449656002","0.336049714726629","0.369693184585374","1"
"Owner","1988","16-34 y.","Rural Area","381","0.563838356583037","0.528418104600564","0.599258608565509","1"
"Owner","1988","35-65 y.","Urban Area","1679","0.487627431195335","0.472306804332907","0.502948058057762","1"
"Owner","1988","35-65 y.","Rural Area","630","0.679983013689627","0.651397511805668","0.708568515573587","1"
"Owner","1988","66 and older","Urban Area","352","0.379066412286186","0.345593650075293","0.412539174497079","1"
"Owner","1988","66 and older","Rural Area","146","0.509881503203909","0.447664738226893","0.572098268180925","1"
"Resident or shared accommodation","1988","16-34 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1988","16-34 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1988","35-65 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1988","66 and older","Urban Area","","","","","5"
"Resident or shared accommodation","1988","35-65 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1988","66 and older","Rural Area","","","","","5"
"Subtenant","1988","16-34 y.","Urban Area","81","0.0381871293478326","0.0314407455796084","0.0449335131160568","3"
"Subtenant","1988","16-34 y.","Rural Area","20","","","","3"
"Subtenant","1988","35-65 y.","Urban Area","59","0.0157779251346521","0.0119583854030819","0.0195974648662222","3"
"Subtenant","1988","35-65 y.","Rural Area","19","","","","3"
"Subtenant","1988","66 and older","Urban Area","12","","","","3"
"Subtenant","1988","66 and older","Rural Area","4","","","","3"
"Tenant","1988","16-34 y.","Rural Area","2","","","","4"
"Tenant","1988","16-34 y.","Urban Area","","","","","4"
"Tenant","1988","35-65 y.","Urban Area","","","","","4"
"Tenant","1988","35-65 y.","Rural Area","","","","","4"
"Tenant","1988","66 and older","Urban Area","1","","","","4"
"Tenant","1988","66 and older","Rural Area","","","","","4"
"Main tenant","1989","16-34 y.","Urban Area","2054","0.6017860820033","0.584410127692285","0.619162036314315","2"
"Main tenant","1989","35-65 y.","Urban Area","2250","0.491245259821637","0.475647114172957","0.506843405470318","2"
"Main tenant","1989","16-34 y.","Rural Area","330","0.390204126903278","0.354573783146194","0.425834470660361","2"
"Main tenant","1989","35-65 y.","Rural Area","362","0.312672645309244","0.283347563473241","0.341997727145246","2"
"Main tenant","1989","66 and older","Urban Area","415","0.584022752882086","0.549565036679599","0.618480469084572","2"
"Main tenant","1989","66 and older","Rural Area","90","0.450171911761881","0.387618988200777","0.512724835322986","2"
"Owner","1989","16-34 y.","Urban Area","907","0.361355358590199","0.344303714284191","0.378407002896206","1"
"Owner","1989","16-34 y.","Rural Area","370","0.568673328766502","0.532497671566471","0.604848985966534","1"
"Owner","1989","35-65 y.","Urban Area","1639","0.492191026048454","0.476592391555134","0.507789660541774","1"
"Owner","1989","35-65 y.","Rural Area","583","0.661435893382228","0.631501062377549","0.691370724386907","1"
"Owner","1989","66 and older","Urban Area","359","0.39832774614948","0.364103247912885","0.432552244386075","1"
"Owner","1989","66 and older","Rural Area","151","0.54093051554665","0.478275634795039","0.603585396298261","1"
"Resident or shared accommodation","1989","16-34 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1989","16-34 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1989","35-65 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1989","35-65 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1989","66 and older","Urban Area","","","","","5"
"Resident or shared accommodation","1989","66 and older","Rural Area","","","","","5"
"Subtenant","1989","16-34 y.","Rural Area","18","","","","3"
"Subtenant","1989","16-34 y.","Urban Area","81","0.0331693266836347","0.0268129018340638","0.0395257515332056","3"
"Subtenant","1989","35-65 y.","Urban Area","55","0.0158777013893155","0.011977492195666","0.019777910582965","3"
"Subtenant","1989","35-65 y.","Rural Area","15","","","","3"
"Subtenant","1989","66 and older","Urban Area","10","","","","3"
"Subtenant","1989","66 and older","Rural Area","1","","","","3"
"Tenant","1989","16-34 y.","Urban Area","7","","","","4"
"Tenant","1989","16-34 y.","Rural Area","2","","","","4"
"Tenant","1989","35-65 y.","Urban Area","2","","","","4"
"Tenant","1989","35-65 y.","Rural Area","","","","","4"
"Tenant","1989","66 and older","Urban Area","2","","","","4"
"Tenant","1989","66 and older","Rural Area","1","","","","4"
"Main tenant","1990","16-34 y.","Urban Area","2450","0.637368237417607","0.621456839492927","0.653279635342287","2"
"Main tenant","1990","16-34 y.","Rural Area","930","0.476006697843236","0.45297326771422","0.499040127972252","2"
"Main tenant","1990","35-65 y.","Urban Area","2854","0.533104285455844","0.518792339155756","0.547416231755933","2"
"Main tenant","1990","35-65 y.","Rural Area","1062","0.385766963514812","0.366251528232129","0.405282398797495","2"
"Main tenant","1990","66 and older","Urban Area","553","0.616111526017745","0.585363403676186","0.646859648359304","2"
"Main tenant","1990","66 and older","Rural Area","247","0.493967577029065","0.45160234454577","0.53633280951236","2"
"Owner","1990","16-34 y.","Urban Area","950","0.322341093715018","0.306872756868906","0.33780943056113","1"
"Owner","1990","16-34 y.","Rural Area","779","0.458876266807587","0.435894399790005","0.48185813382517","1"
"Owner","1990","35-65 y.","Urban Area","1743","0.451903229789262","0.437626326704666","0.466180132873857","1"
"Owner","1990","35-65 y.","Rural Area","1255","0.583263922847038","0.563498220663757","0.60302962503032","1"
"Owner","1990","66 and older","Urban Area","398","0.367877268158513","0.337388591273","0.398365945044026","1"
"Owner","1990","66 and older","Rural Area","277","0.488408305703439","0.446051376900412","0.530765234506467","1"
"Resident or shared accommodation","1990","16-34 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1990","16-34 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1990","35-65 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1990","35-65 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1990","66 and older","Urban Area","","","","","5"
"Resident or shared accommodation","1990","66 and older","Rural Area","","","","","5"
"Subtenant","1990","16-34 y.","Urban Area","105","0.0400196248410803","0.0335325651811261","0.0465066845010344","3"
"Subtenant","1990","16-34 y.","Rural Area","96","0.0647991438262489","0.0534457343973039","0.076152553255194","3"
"Subtenant","1990","35-65 y.","Urban Area","68","0.0146777988456356","0.011227932521596","0.0181276651696752","3"
