"hgowner","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Resident or shared accommodation","1985","Employed","middle vocational","","","","","5"
"Resident or shared accommodation","1985","Not Employed","higher vocational","","","","","5"
"Resident or shared accommodation","1985","Not Employed","higher education","","","","","5"
"Resident or shared accommodation","1985","Employed","in school","","","","","5"
"Resident or shared accommodation","1985","Employed","general elemantary","","","","","5"
"Resident or shared accommodation","1985","Not Employed","in school","","","","","5"
"Resident or shared accommodation","1985","Not Employed","inadequately","","","","","5"
"Resident or shared accommodation","1985","Not Employed","general elemantary","","","","","5"
"Resident or shared accommodation","1985","Not Employed","middle vocational","","","","","5"
"Resident or shared accommodation","1985","Not Employed","vocational + Abi","","","","","5"
"Subtenant","1985","Not Employed","higher education","1","","","","3"
"Subtenant","1985","Employed","in school","","","","","3"
"Subtenant","1985","Employed","inadequately","16","","","","3"
"Subtenant","1985","Employed","general elemantary","20","","","","3"
"Subtenant","1985","Not Employed","in school","","","","","3"
"Subtenant","1985","Not Employed","inadequately","5","","","","3"
"Subtenant","1985","Not Employed","general elemantary","18","","","","3"
"Subtenant","1985","Not Employed","middle vocational","28","","","","3"
"Subtenant","1985","Not Employed","vocational + Abi","2","","","","3"
"Subtenant","1985","Not Employed","higher vocational","1","","","","3"
"Subtenant","1985","Employed","vocational + Abi","6","","","","3"
"Subtenant","1985","Employed","higher vocational","6","","","","3"
"Subtenant","1985","Employed","higher education","5","","","","3"
"Subtenant","1985","Employed","middle vocational","47","0.0126266947562166","0.0089132135446133","0.0163401759678198","3"
"Tenant","1985","Employed","higher vocational","","","","","4"
"Tenant","1985","Employed","higher education","","","","","4"
"Tenant","1985","Not Employed","higher education","","","","","4"
"Tenant","1985","Employed","in school","","","","","4"
"Tenant","1985","Employed","inadequately","","","","","4"
"Tenant","1985","Employed","general elemantary","","","","","4"
"Tenant","1985","Employed","middle vocational","","","","","4"
"Tenant","1985","Employed","vocational + Abi","","","","","4"
"Tenant","1985","Not Employed","in school","","","","","4"
"Tenant","1985","Not Employed","inadequately","","","","","4"
"Tenant","1985","Not Employed","general elemantary","","","","","4"
"Tenant","1985","Not Employed","middle vocational","","","","","4"
"Tenant","1985","Not Employed","vocational + Abi","","","","","4"
"Tenant","1985","Not Employed","higher vocational","","","","","4"
"Main tenant","1986","Not Employed","in school","79","0.359092647010675","0.289586465617325","0.428598828404025","2"
"Main tenant","1986","Not Employed","inadequately","286","0.716507508793771","0.667432912105931","0.76558210548161","2"
"Main tenant","1986","Not Employed","general elemantary","696","0.493823031206245","0.467435253384536","0.520210809027955","2"
"Main tenant","1986","Not Employed","middle vocational","820","0.524537451149789","0.500345541090746","0.548729361208832","2"
"Main tenant","1986","Not Employed","vocational + Abi","45","0.560299732680589","0.446438669843797","0.674160795517381","2"
"Main tenant","1986","Not Employed","higher vocational","66","0.445222254832153","0.369389983034456","0.521054526629851","2"
"Main tenant","1986","Not Employed","higher education","66","0.437236064203219","0.356216862015162","0.518255266391276","2"
"Main tenant","1986","Employed","in school","","","","","2"
"Main tenant","1986","Employed","inadequately","411","0.823485479144801","0.788832561503965","0.858138396785637","2"
"Main tenant","1986","Employed","general elemantary","997","0.519876623948619","0.494932207856418","0.544821040040821","2"
"Main tenant","1986","Employed","middle vocational","1876","0.520378404084681","0.503523736181827","0.537233071987534","2"
"Main tenant","1986","Employed","vocational + Abi","139","0.619862688392014","0.553413580039249","0.686311796744778","2"
"Main tenant","1986","Employed","higher vocational","193","0.462618103475603","0.41481976746406","0.510416439487147","2"
"Main tenant","1986","Employed","higher education","308","0.501282969729072","0.461506858619849","0.541059080838296","2"
"Owner","1986","Not Employed","in school","102","0.631533083261324","0.561642309362646","0.701423857160002","1"
"Owner","1986","Not Employed","inadequately","31","0.21826960597921","0.17329154622625","0.263247665732169","1"
"Owner","1986","Not Employed","general elemantary","661","0.491567928592257","0.465181889777845","0.517953967406668","1"
"Owner","1986","Not Employed","middle vocational","789","0.457021054408747","0.432889608197432","0.481152500620062","1"
"Owner","1986","Not Employed","vocational + Abi","26","","","","1"
"Owner","1986","Not Employed","higher vocational","96","0.529168781056765","0.453007217392061","0.60533034472147","1"
"Owner","1986","Not Employed","higher education","77","0.551679072883382","0.470451288783074","0.632906856983689","1"
"Owner","1986","Employed","in school","5","","","","1"
