"hgowner","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"5","1987","Full Time","indirect migration background","","","",""
"5","1987","Part Time","no migration background","","","",""
"5","1987","Part Time","direct migration background","","","",""
"5","1987","Part Time","indirect migration background","","","",""
"5","1987","Not Working","no migration background","","","",""
"5","1987","Not Working","direct migration background","","","",""
"5","1987","Not Working","indirect migration background","","","",""
"1","1988","Full Time","no migration background","1624","0.508525991001395","0.490984049869719","0.52606793213307"
"1","1988","Full Time","direct migration background","165","0.205034391101085","0.18393895202076","0.22612983018141"
"1","1988","Full Time","indirect migration background","15","","",""
"1","1988","Part Time","no migration background","674","0.493580751784314","0.466660794802806","0.520500708765823"
"1","1988","Part Time","direct migration background","60","0.247903831014431","0.208908200675611","0.28689946135325"
"1","1988","Part Time","indirect migration background","7","","",""
"1","1988","Not Working","no migration background","1408","0.47399850664788","0.455026746342086","0.492970266953673"
"1","1988","Not Working","direct migration background","126","0.311789955383137","0.27992879125371","0.343651119512564"
"1","1988","Not Working","indirect migration background","23","","",""
"2","1988","Full Time","no migration background","1418","0.463488812470941","0.44599115892954","0.480986466012342"
"2","1988","Full Time","direct migration background","1216","0.772716040949332","0.750818497379336","0.794613584519328"
"2","1988","Full Time","indirect migration background","59","0.664256790782717","0.556658876893736","0.771854704671697"
"2","1988","Part Time","no migration background","627","0.488038684755475","0.461124213710707","0.514953155800243"
"2","1988","Part Time","direct migration background","403","0.705693791166217","0.664536621816005","0.74685096051643"
"2","1988","Part Time","indirect migration background","43","0.885927323682629","0.798679848774118","0.973174798591141"
"2","1988","Not Working","no migration background","1204","0.50404514535588","0.485048301865128","0.523041988846633"
"2","1988","Not Working","direct migration background","674","0.662645509292302","0.630125253435804","0.695165765148801"
"2","1988","Not Working","indirect migration background","76","0.712379269035685","0.623213897643484","0.801544640427886"
"3","1988","Full Time","no migration background","76","0.0276356309269263","0.0218836160024852","0.0333876458513673"
"3","1988","Full Time","direct migration background","26","","",""
"3","1988","Full Time","indirect migration background","","","",""
"3","1988","Part Time","no migration background","24","","",""
"3","1988","Part Time","direct migration background","8","","",""
"3","1988","Part Time","indirect migration background","1","","",""
"3","1988","Not Working","no migration background","48","0.0211671373537344","0.015698098754579","0.0266361759528899"
"3","1988","Not Working","direct migration background","12","","",""
"3","1988","Not Working","indirect migration background","","","",""
"4","1988","Full Time","no migration background","2","","",""
"4","1988","Full Time","direct migration background","","","",""
"4","1988","Full Time","indirect migration background","","","",""
"4","1988","Part Time","no migration background","","","",""
"4","1988","Part Time","direct migration background","","","",""
"4","1988","Part Time","indirect migration background","","","",""
"4","1988","Not Working","no migration background","1","","",""
"4","1988","Not Working","direct migration background","","","",""
"4","1988","Not Working","indirect migration background","","","",""
"5","1988","Full Time","no migration background","","","",""
"5","1988","Full Time","direct migration background","","","",""
"5","1988","Full Time","indirect migration background","","","",""
"5","1988","Part Time","no migration background","","","",""
"5","1988","Part Time","direct migration background","","","",""
"5","1988","Part Time","indirect migration background","","","",""
"5","1988","Not Working","no migration background","","","",""
"5","1988","Not Working","direct migration background","","","",""
"5","1988","Not Working","indirect migration background","","","",""
"1","1989","Full Time","no migration background","1583","0.502935409166033","0.485280529501547","0.520590288830519"
"1","1989","Full Time","direct migration background","159","0.199380512274873","0.178285590731833","0.220475433817912"
"1","1989","Full Time","indirect migration background","18","","",""
"1","1989","Part Time","no migration background","649","0.509441916385585","0.481606033934104","0.537277798837067"
"1","1989","Part Time","direct migration background","72","0.308410802288991","0.264242334176278","0.352579270401704"
"1","1989","Part Time","indirect migration background","9","","",""
"1","1989","Not Working","no migration background","1369","0.493266354189365","0.4737386653915","0.51279404298723"
"1","1989","Not Working","direct migration background","127","0.296373120199379","0.264885993782221","0.327860246616537"
"1","1989","Not Working","indirect migration background","23","","",""
"2","1989","Full Time","no migration background","1434","0.472220380017963","0.454592466423715","0.489848293612211"
"2","1989","Full Time","direct migration background","1191","0.777983375115858","0.756040103008517","0.799926647223199"
"2","1989","Full Time","indirect migration background","79","0.759011091613976","0.67390026425225","0.844121918975703"
"2","1989","Part Time","no migration background","557","0.463291046266313","0.43552533446136","0.491056758071266"
"2","1989","Part Time","direct migration background","340","0.648722765337507","0.603068851189993","0.694376679485021"
"2","1989","Part Time","indirect migration background","45","0.756942212708058","0.642539230984285","0.871345194431831"
"2","1989","Not Working","no migration background","1102","0.48406243631767","0.464542900149312","0.503581972486028"
"2","1989","Not Working","direct migration background","668","0.679722406731812","0.647550894017835","0.71189391944579"
"2","1989","Not Working","indirect migration background","85","0.789051440292188","0.712460785443063","0.865642095141314"
"3","1989","Full Time","no migration background","58","0.0228275038998474","0.0175537838496942","0.0281012239500006"
"3","1989","Full Time","direct migration background","28","","",""
"3","1989","Full Time","indirect migration background","","","",""
"3","1989","Part Time","no migration background","31","0.0263268013147922","0.0174118681080034","0.035241734521581"
"3","1989","Part Time","direct migration background","8","","",""
"3","1989","Part Time","indirect migration background","","","",""
"3","1989","Not Working","no migration background","42","0.02042715447535","0.0149020240604687","0.0259522848902313"
"3","1989","Not Working","direct migration background","12","","",""
"3","1989","Not Working","indirect migration background","1","","",""
"4","1989","Full Time","no migration background","6","","",""
"4","1989","Full Time","direct migration background","","","",""
"4","1989","Full Time","indirect migration background","","","",""
"4","1989","Part Time","no migration background","2","","",""
"4","1989","Part Time","direct migration background","","","",""
"4","1989","Part Time","indirect migration background","","","",""
"4","1989","Not Working","no migration background","5","","",""
"4","1989","Not Working","direct migration background","1","","",""
"4","1989","Not Working","indirect migration background","","","",""
"5","1989","Full Time","no migration background","","","",""
"5","1989","Full Time","direct migration background","","","",""
"5","1989","Full Time","indirect migration background","","","",""
"5","1989","Part Time","no migration background","","","",""
"5","1989","Part Time","direct migration background","","","",""
"5","1989","Part Time","indirect migration background","","","",""
"5","1989","Not Working","no migration background","","","",""
"5","1989","Not Working","direct migration background","","","",""
"5","1989","Not Working","indirect migration background","","","",""
"1","1990","Full Time","no migration background","1547","0.499475140108264","0.48158618977207","0.517364090444457"
"1","1990","Full Time","direct migration background","190","0.215669062936049","0.193647948676164","0.237690177195933"
"1","1990","Full Time","indirect migration background","16","","",""
"1","1990","Part Time","no migration background","641","0.489971483250463","0.462192232202504","0.517750734298422"
"1","1990","Part Time","direct migration background","73","0.291630891374573","0.247582200419753","0.335679582329394"
"1","1990","Part Time","indirect migration background","14","","",""
"1","1990","Not Working","no migration background","1335","0.493640919669625","0.473738005925407","0.513543833413843"
"1","1990","Not Working","direct migration background","133","0.283773680572369","0.252572422799252","0.314974938345486"
"1","1990","Not Working","indirect migration background","22","","",""
"2","1990","Full Time","no migration background","1376","0.473658547108415","0.455794429467922","0.491522664748908"
"2","1990","Full Time","direct migration background","1120","0.749945730642704","0.726759628360462","0.773131832924946"
"2","1990","Full Time","indirect migration background","79","0.685097752657307","0.592664895967904","0.777530609346709"
"2","1990","Part Time","no migration background","574","0.480137190180216","0.452374282493578","0.507900097866855"
"2","1990","Part Time","direct migration background","325","0.669719635619457","0.624139634586951","0.715299636651964"
"2","1990","Part Time","indirect migration background","66","0.868987633455049","0.795049915643491","0.942925351266607"
"2","1990","Not Working","no migration background","1048","0.483147669619399","0.46325445503917","0.503040884199629"
"2","1990","Not Working","direct migration background","649","0.686234123098707","0.654119715357378","0.718348530840036"
"2","1990","Not Working","indirect migration background","96","0.79564034321909","0.723191644278163","0.868089042160017"
"3","1990","Full Time","no migration background","78","0.0268663127833218","0.0210812859190237","0.0326513396476199"
"3","1990","Full Time","direct migration background","29","","",""
"3","1990","Full Time","indirect migration background","2","","",""
"3","1990","Part Time","no migration background","29","","",""
"3","1990","Part Time","direct migration background","10","","",""
"3","1990","Part Time","indirect migration background","","","",""
"3","1990","Not Working","no migration background","38","0.0211144510844609","0.0153912679947707","0.0268376341741511"
"3","1990","Not Working","direct migration background","20","","",""
"3","1990","Not Working","indirect migration background","1","","",""
"4","1990","Full Time","no migration background","","","",""
"4","1990","Full Time","direct migration background","1","","",""
"4","1990","Full Time","indirect migration background","","","",""
"4","1990","Part Time","no migration background","","","",""
"4","1990","Part Time","direct migration background","1","","",""
"4","1990","Part Time","indirect migration background","","","",""
"4","1990","Not Working","no migration background","3","","",""
"4","1990","Not Working","direct migration background","","","",""
"4","1990","Not Working","indirect migration background","","","",""
"5","1990","Full Time","no migration background","","","",""
"5","1990","Full Time","direct migration background","","","",""
"5","1990","Full Time","indirect migration background","","","",""
"5","1990","Part Time","no migration background","","","",""
"5","1990","Part Time","direct migration background","","","",""
"5","1990","Part Time","indirect migration background","","","",""
"5","1990","Not Working","no migration background","","","",""
"5","1990","Not Working","direct migration background","","","",""
"5","1990","Not Working","indirect migration background","","","",""
"1","1991","Full Time","no migration background","1461","0.475417901879689","0.457478697733294","0.493357106026083"
"1","1991","Full Time","direct migration background","205","0.227977576705193","0.20538835979709","0.250566793613297"
"1","1991","Full Time","indirect migration background","21","","",""
"1","1991","Part Time","no migration background","674","0.520752265672034","0.493200969587264","0.548303561756804"
"1","1991","Part Time","direct migration background","71","0.269862373523994","0.22715552000569","0.312569227042298"
"1","1991","Part Time","indirect migration background","14","","",""
"1","1991","Not Working","no migration background","1324","0.503358305975125","0.483254185374251","0.523462426576"
"1","1991","Not Working","direct migration background","140","0.313258710316769","0.280261641633919","0.346255778999619"
"1","1991","Not Working","indirect migration background","26","","",""
"2","1991","Full Time","no migration background","1445","0.495502527361945","0.477542329859727","0.513462724864163"
"2","1991","Full Time","direct migration background","1085","0.737396552243625","0.713702414160342","0.761090690326908"
"2","1991","Full Time","indirect migration background","110","0.759192807839761","0.686251777299533","0.832133838379988"
"2","1991","Part Time","no migration background","556","0.454066519788314","0.426608069634722","0.481524969941906"
"2","1991","Part Time","direct migration background","335","0.698571522856515","0.654422446589578","0.742720599123452"
"2","1991","Part Time","indirect migration background","68","0.785363075023759","0.697035460221038","0.873690689826479"
"2","1991","Not Working","no migration background","1007","0.470484360564898","0.450414846164138","0.490553874965657"
"2","1991","Not Working","direct migration background","598","0.65836943645559","0.624629800490647","0.692109072420533"
"2","1991","Not Working","indirect migration background","106","0.744194332951379","0.670319935461597","0.818068730441162"
"3","1991","Full Time","no migration background","65","0.0275645620408532","0.0216833801593681","0.0334457439223383"
"3","1991","Full Time","direct migration background","33","0.0341380909555197","0.0243608281922218","0.0439153537188176"
"3","1991","Full Time","indirect migration background","1","","",""
"3","1991","Part Time","no migration background","32","0.0242511314752169","0.0157675067929072","0.0327347561575267"
"3","1991","Part Time","direct migration background","7","","",""
"3","1991","Part Time","indirect migration background","1","","",""
"3","1991","Not Working","no migration background","40","0.0223201586145149","0.0163803583489633","0.0282599588800664"
"3","1991","Not Working","direct migration background","20","","",""
"3","1991","Not Working","indirect migration background","2","","",""
"4","1991","Full Time","no migration background","6","","",""
"4","1991","Full Time","direct migration background","2","","",""
"4","1991","Full Time","indirect migration background","","","",""
"4","1991","Part Time","no migration background","1","","",""
"4","1991","Part Time","direct migration background","2","","",""
"4","1991","Part Time","indirect migration background","","","",""
"4","1991","Not Working","no migration background","5","","",""
"4","1991","Not Working","direct migration background","1","","",""
"4","1991","Not Working","indirect migration background","","","",""
"5","1991","Full Time","no migration background","","","",""
"5","1991","Full Time","direct migration background","","","",""
"5","1991","Full Time","indirect migration background","","","",""
"5","1991","Part Time","no migration background","","","",""
"5","1991","Part Time","direct migration background","","","",""
"5","1991","Part Time","indirect migration background","","","",""
"5","1991","Not Working","no migration background","","","",""
"5","1991","Not Working","direct migration background","","","",""
"5","1991","Not Working","indirect migration background","","","",""
"1","1992","Full Time","no migration background","2091","0.432262252799064","0.418654259591283","0.445870246006845"
"1","1992","Full Time","direct migration background","249","0.259217842030521","0.235816433660649","0.282619250400394"
"1","1992","Full Time","indirect migration background","28","","",""
"1","1992","Part Time","no migration background","903","0.473533771829011","0.451689622222253","0.49537792143577"
"1","1992","Part Time","direct migration background","80","0.258094513575358","0.216095050224696","0.300093976926021"
"1","1992","Part Time","indirect migration background","11","","",""
"1","1992","Not Working","no migration background","1628","0.467502731783463","0.450507806124581","0.484497657442345"
"1","1992","Not Working","direct migration background","165","0.294533591140325","0.263083861983112","0.325983320297538"
"1","1992","Not Working","indirect migration background","39","0.297452034013983","0.226172310010748","0.368731758017219"
"2","1992","Full Time","no migration background","2864","0.539130311905236","0.525437820086762","0.552822803723709"
"2","1992","Full Time","direct migration background","1055","0.696965072631823","0.672422722692677","0.721507422570968"
"2","1992","Full Time","indirect migration background","137","0.739142329061505","0.672545170692557","0.805739487430453"
"2","1992","Part Time","no migration background","1037","0.487485904312505","0.465617940667806","0.509353867957203"
"2","1992","Part Time","direct migration background","329","0.713525724731521","0.670131923442777","0.756919526020264"
"2","1992","Part Time","indirect migration background","73","0.831183172527406","0.752014182656696","0.910352162398117"
"2","1992","Not Working","no migration background","1619","0.507444870669188","0.490415823158987","0.524473918179388"
"2","1992","Not Working","direct migration background","623","0.686087909413489","0.65406909637217","0.718106722454808"
"2","1992","Not Working","indirect migration background","119","0.702547965986017","0.631268241982781","0.773827689989252"
"3","1992","Full Time","no migration background","134","0.0280941376413526","0.023555071655425","0.0326332036272802"
"3","1992","Full Time","direct migration background","43","0.0438170853376558","0.0328861701277435","0.054748000547568"
"3","1992","Full Time","indirect migration background","2","","",""
"3","1992","Part Time","no migration background","66","0.0382320333700118","0.0298427810422891","0.0466212856977344"
"3","1992","Part Time","direct migration background","7","","",""
"3","1992","Part Time","indirect migration background","2","","",""
"3","1992","Not Working","no migration background","60","0.0227489013020397","0.017670210214554","0.0278275923895253"
"3","1992","Not Working","direct migration background","19","","",""
"3","1992","Not Working","indirect migration background","","","",""
"4","1992","Full Time","no migration background","2","","",""
"4","1992","Full Time","direct migration background","","","",""
"4","1992","Full Time","indirect migration background","","","",""
"4","1992","Part Time","no migration background","1","","",""
"4","1992","Part Time","direct migration background","1","","",""
"4","1992","Part Time","indirect migration background","","","",""
"4","1992","Not Working","no migration background","4","","",""
"4","1992","Not Working","direct migration background","","","",""
"4","1992","Not Working","indirect migration background","","","",""
"5","1992","Full Time","no migration background","","","",""
"5","1992","Full Time","direct migration background","","","",""
"5","1992","Full Time","indirect migration background","","","",""
"5","1992","Part Time","no migration background","","","",""
"5","1992","Part Time","direct migration background","","","",""
"5","1992","Part Time","indirect migration background","","","",""
"5","1992","Not Working","no migration background","","","",""
"5","1992","Not Working","direct migration background","","","",""
"5","1992","Not Working","indirect migration background","","","",""
"1","1993","Full Time","no migration background","2035","0.445502439637302","0.431495769192299","0.459509110082306"
"1","1993","Full Time","direct migration background","236","0.257187407518146","0.232976536965891","0.281398278070402"
"1","1993","Full Time","indirect migration background","30","0.18523290810542","0.128480061351068","0.241985754859772"
"1","1993","Part Time","no migration background","887","0.487230043315314","0.464813960462425","0.509646126168203"
"1","1993","Part Time","direct migration background","85","0.265797994968616","0.2238484818288","0.307747508108432"
"1","1993","Part Time","indirect migration background","23","","",""
"1","1993","Not Working","no migration background","1621","0.462547408303052","0.445922001840538","0.479172814765567"
"1","1993","Not Working","direct migration background","170","0.314088667645241","0.28231983275394","0.345857502536541"
"1","1993","Not Working","indirect migration background","42","0.378087930516304","0.304762545893222","0.451413315139386"
"2","1993","Full Time","no migration background","2667","0.526281490602149","0.512210350979621","0.540352630224677"
"2","1993","Full Time","direct migration background","982","0.705972216918112","0.680735438399923","0.731208995436301"
"2","1993","Full Time","indirect migration background","141","0.721837196993968","0.656376444337611","0.787297949650325"
"2","1993","Part Time","no migration background","963","0.479142051019407","0.456738173000917","0.501545929037897"
"2","1993","Part Time","direct migration background","325","0.678604144835024","0.634256385580324","0.722951904089725"
"2","1993","Part Time","indirect migration background","104","0.778013472461929","0.706018864058923","0.850008080864934"
"2","1993","Not Working","no migration background","1763","0.509853498454123","0.493184491776204","0.526522505132042"
"2","1993","Not Working","direct migration background","624","0.641145033530094","0.608314436038052","0.673975631022136"
"2","1993","Not Working","indirect migration background","124","0.615633254164098","0.542075681585647","0.689190826742549"
"3","1993","Full Time","no migration background","135","0.0282160697605489","0.0235495494101991","0.0328825901108986"
"3","1993","Full Time","direct migration background","34","0.0368403755637416","0.0264062253332377","0.0472745257942455"
"3","1993","Full Time","indirect migration background","9","","",""
"3","1993","Part Time","no migration background","60","0.033627905665279","0.0255433992900992","0.0417124120404588"
"3","1993","Part Time","direct migration background","16","","",""
"3","1993","Part Time","indirect migration background","1","","",""
"3","1993","Not Working","no migration background","71","0.0275990932428252","0.0221365592871892","0.0330616271984611"
"3","1993","Not Working","direct migration background","26","","",""
"3","1993","Not Working","indirect migration background","2","","",""
"4","1993","Full Time","no migration background","","","",""
"4","1993","Full Time","direct migration background","","","",""
"4","1993","Full Time","indirect migration background","","","",""
"4","1993","Part Time","no migration background","","","",""
"4","1993","Part Time","direct migration background","","","",""
"4","1993","Part Time","indirect migration background","","","",""
"4","1993","Not Working","no migration background","","","",""
"4","1993","Not Working","direct migration background","","","",""
"4","1993","Not Working","indirect migration background","","","",""
