"hgowner","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1989","Part Time","Rural Area","153","0.357791757349183","0.309340252323843","0.406243262374523","2"
"Main tenant","1989","Not Working","Urban Area","1604","0.542055544869002","0.523478101475437","0.560632988262566","2"
"Main tenant","1989","Not Working","Rural Area","251","0.384895544892333","0.348107277632617","0.42168381215205","2"
"Owner","1989","Full Time","Urban Area","1275","0.421944899941126","0.405990602963246","0.437899196919007","1"
"Owner","1989","Full Time","Rural Area","485","0.631341805957213","0.599375806756821","0.663307805157604","1"
"Owner","1989","Part Time","Urban Area","517","0.445744643581252","0.41910181053337","0.472387476629133","1"
"Owner","1989","Part Time","Rural Area","213","0.602771078761187","0.553311455698292","0.652230701824081","1"
"Owner","1989","Not Working","Urban Area","1113","0.436907276397458","0.418412791284124","0.455401761510792","1"
"Owner","1989","Not Working","Rural Area","406","0.587094599261293","0.549868907337869","0.624320291184717","1"
"Resident or shared accommodation","1989","Full Time","Urban Area","","","","","5"
"Resident or shared accommodation","1989","Full Time","Rural Area","","","","","5"
"Resident or shared accommodation","1989","Part Time","Urban Area","","","","","5"
"Resident or shared accommodation","1989","Part Time","Rural Area","","","","","5"
"Resident or shared accommodation","1989","Not Working","Urban Area","","","","","5"
"Resident or shared accommodation","1989","Not Working","Rural Area","","","","","5"
"Subtenant","1989","Full Time","Rural Area","11","","","","3"
"Subtenant","1989","Full Time","Urban Area","75","0.0232595222624153","0.0183903496515506","0.0281286948732799","3"
"Subtenant","1989","Part Time","Urban Area","30","0.0243998934401778","0.0161297646704986","0.032670022209857","3"
"Subtenant","1989","Part Time","Rural Area","9","","","","3"
"Subtenant","1989","Not Working","Urban Area","41","0.0178010723051056","0.0128706915616509","0.0227314530485602","3"
"Subtenant","1989","Not Working","Rural Area","14","","","","3"
"Tenant","1989","Full Time","Urban Area","5","","","","4"
"Tenant","1989","Full Time","Rural Area","1","","","","4"
"Tenant","1989","Part Time","Urban Area","1","","","","4"
"Tenant","1989","Part Time","Rural Area","1","","","","4"
"Tenant","1989","Not Working","Urban Area","5","","","","4"
"Tenant","1989","Not Working","Rural Area","1","","","","4"
"Main tenant","1990","Full Time","Urban Area","2212","0.555952228311172","0.539612486207476","0.572291970414869","2"
"Main tenant","1990","Full Time","Rural Area","363","0.339582614410082","0.308399951303434","0.370765277516729","2"
"Main tenant","1990","Part Time","Urban Area","821","0.554751401668101","0.528415055201268","0.581087748134935","2"
"Main tenant","1990","Part Time","Rural Area","144","0.342455939878594","0.293774160933049","0.391137718824138","2"
"Main tenant","1990","Not Working","Urban Area","1551","0.54635718538695","0.527501681084459","0.56521268968944","2"
"Main tenant","1990","Not Working","Rural Area","242","0.381640994211931","0.344774399173209","0.418507589250654","2"
"Owner","1990","Full Time","Urban Area","1270","0.421656498412976","0.405416576320787","0.437896420505165","1"
"Owner","1990","Full Time","Rural Area","483","0.612214802334045","0.58013152268779","0.6442980819803","1"
"Owner","1990","Part Time","Urban Area","518","0.418760832867312","0.392617225913051","0.444904439821574","1"
"Owner","1990","Part Time","Rural Area","210","0.614213364675068","0.564274935311855","0.66415179403828","1"
"Owner","1990","Not Working","Urban Area","1084","0.432124417788326","0.413362647862854","0.450886187713797","1"
"Owner","1990","Not Working","Rural Area","406","0.587286997305992","0.549924625090899","0.624649369521086","1"
"Resident or shared accommodation","1990","Full Time","Urban Area","","","","","5"
"Resident or shared accommodation","1990","Full Time","Rural Area","","","","","5"
"Resident or shared accommodation","1990","Part Time","Urban Area","","","","","5"
"Resident or shared accommodation","1990","Part Time","Rural Area","","","","","5"
"Resident or shared accommodation","1990","Not Working","Urban Area","","","","","5"
"Resident or shared accommodation","1990","Not Working","Rural Area","","","","","5"
"Subtenant","1990","Full Time","Urban Area","69","0.022335081939014","0.0174754832832731","0.0271946805947548","3"
"Subtenant","1990","Full Time","Rural Area","40","0.0482025832558731","0.0340987018444064","0.0623064646673398","3"
"Subtenant","1990","Part Time","Urban Area","28","","","","3"
"Subtenant","1990","Part Time","Rural Area","11","","","","3"
"Subtenant","1990","Not Working","Urban Area","42","0.020311543765474","0.0149688747924916","0.0256542127384565","3"
"Subtenant","1990","Not Working","Rural Area","17","","","","3"
"Tenant","1990","Full Time","Urban Area","1","","","","4"
"Tenant","1990","Part Time","Urban Area","1","","","","4"
"Tenant","1990","Full Time","Rural Area","","","","","4"
"Tenant","1990","Part Time","Rural Area","","","","","4"
"Tenant","1990","Not Working","Urban Area","1","","","","4"
"Tenant","1990","Not Working","Rural Area","2","","","","4"
"Main tenant","1991","Full Time","Urban Area","2264","0.57769207348862","0.561428149509086","0.593955997468153","2"
"Main tenant","1991","Full Time","Rural Area","376","0.363332502361455","0.331752096751818","0.394912907971092","2"
"Main tenant","1991","Part Time","Urban Area","806","0.530413591221892","0.50400555441863","0.556821628025154","2"
"Main tenant","1991","Part Time","Rural Area","153","0.364730237792078","0.316896065075821","0.412564410508335","2"
"Main tenant","1991","Not Working","Urban Area","1469","0.529428728020269","0.510231939830715","0.548625516209822","2"
"Main tenant","1991","Not Working","Rural Area","242","0.378113094373012","0.341449923785232","0.414776264960792","2"
