"hgowner","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Tenant","1985","Couple + C. LE 16 ","Rural Area","","","","","4"
"Tenant","1985","Couple + C. GT 16 ","Urban Area","","","","","4"
"Tenant","1985","Couple + C. GT 16 ","Rural Area","","","","","4"
"Tenant","1985","Couple + C. LE and GT 16","Urban Area","","","","","4"
"Main tenant","1986","(Married) couple without C. ","Urban Area","1232","0.593454766681856","0.571625631209157","0.615283902154555","2"
"Main tenant","1986","1-pers.-HH","Rural Area","104","0.618297261631743","0.544836614554922","0.691757908708564","2"
"Main tenant","1986","1-pers.-HH","Urban Area","724","0.76527002531948","0.738361291163824","0.792178759475137","2"
"Main tenant","1986","Single parent ","Urban Area","260","0.601665072118879","0.553325636571008","0.650004507666751","2"
"Main tenant","1986","Single parent ","Rural Area","44","0.433145985538939","0.341784820423293","0.524507150654584","2"
"Main tenant","1986","(Married) couple without C. ","Rural Area","210","0.440128579784454","0.393903234651156","0.486353924917751","2"
"Main tenant","1986","Couple + C. LE 16 ","Urban Area","1297","0.591052630140438","0.569038723239761","0.613066537041114","2"
"Main tenant","1986","Couple + C. LE 16 ","Rural Area","252","0.456808108076436","0.412836922787694","0.500779293365179","2"
"Main tenant","1986","Couple + C. GT 16 ","Urban Area","810","0.380920672375228","0.357706422407946","0.40413492234251","2"
"Main tenant","1986","Couple + C. GT 16 ","Rural Area","85","0.170492612717681","0.134781268030394","0.206203957404968","2"
"Main tenant","1986","Couple + C. LE and GT 16","Urban Area","642","0.366286039368789","0.337592066509628","0.39498001222795","2"
"Main tenant","1986","Couple + C. LE and GT 16","Rural Area","74","0.139152421636887","0.101171870293271","0.177132972980504","2"
"Owner","1986","1-pers.-HH","Urban Area","169","0.19458179842834","0.169447690988562","0.219715905868118","1"
"Owner","1986","1-pers.-HH","Rural Area","53","0.312178257714209","0.242108159481523","0.382248355946896","1"
"Owner","1986","(Married) couple without C. ","Urban Area","678","0.390414372849931","0.368733910165284","0.412094835534578","1"
"Owner","1986","(Married) couple without C. ","Rural Area","223","0.542060047178176","0.495664725018991","0.588455369337362","1"
"Owner","1986","Single parent ","Urban Area","124","0.378492656639831","0.33060188427401","0.426383429005652","1"
"Owner","1986","Single parent ","Rural Area","67","0.552633873198441","0.460957131700859","0.644310614696023","1"
"Owner","1986","Couple + C. LE 16 ","Urban Area","587","0.39287772221358","0.371009316383368","0.414746128043791","1"
"Owner","1986","Couple + C. LE 16 ","Rural Area","228","0.536310310320318","0.492290676644189","0.580329943996447","1"
"Owner","1986","Couple + C. GT 16 ","Urban Area","868","0.618833305125571","0.595616174384219","0.642050435866922","1"
"Owner","1986","Couple + C. GT 16 ","Rural Area","334","0.821155461082281","0.784764474822349","0.857546447342212","1"
"Owner","1986","Couple + C. LE and GT 16","Urban Area","438","0.629037343426062","0.60026752152028","0.657807165331844","1"
"Owner","1986","Couple + C. LE and GT 16","Rural Area","242","0.858743196839151","0.820523336925813","0.896963056752489","1"
"Resident or shared accommodation","1986","Couple + C. LE 16 ","Urban Area","","","","","5"
"Resident or shared accommodation","1986","Single parent ","Rural Area","","","","","5"
"Resident or shared accommodation","1986","Single parent ","Urban Area","","","","","5"
"Resident or shared accommodation","1986","1-pers.-HH","Urban Area","","","","","5"
"Resident or shared accommodation","1986","(Married) couple without C. ","Urban Area","","","","","5"
"Resident or shared accommodation","1986","1-pers.-HH","Rural Area","","","","","5"
"Resident or shared accommodation","1986","Couple + C. LE 16 ","Rural Area","","","","","5"
"Resident or shared accommodation","1986","(Married) couple without C. ","Rural Area","","","","","5"
"Resident or shared accommodation","1986","Couple + C. GT 16 ","Urban Area","","","","","5"
"Resident or shared accommodation","1986","Couple + C. GT 16 ","Rural Area","","","","","5"
"Resident or shared accommodation","1986","Couple + C. LE and GT 16","Urban Area","","","","","5"
"Resident or shared accommodation","1986","Couple + C. LE and GT 16","Rural Area","","","","","5"
"Subtenant","1986","(Married) couple without C. ","Urban Area","35","0.0161308604682131","0.0105321794471396","0.0217295414892866","3"
"Subtenant","1986","1-pers.-HH","Urban Area","60","0.0401481762521797","0.0276847729390835","0.0526115795652759","3"
"Subtenant","1986","1-pers.-HH","Rural Area","10","","","","3"
"Subtenant","1986","(Married) couple without C. ","Rural Area","10","","","","3"
"Subtenant","1986","Single parent ","Urban Area","10","","","","3"
"Subtenant","1986","Single parent ","Rural Area","2","","","","3"
"Subtenant","1986","Couple + C. LE 16 ","Urban Area","32","0.0160696476459829","0.010439293731446","0.0217000015605197","3"
"Subtenant","1986","Couple + C. LE 16 ","Rural Area","13","","","","3"
"Subtenant","1986","Couple + C. GT 16 ","Urban Area","3","","","","3"
"Subtenant","1986","Couple + C. GT 16 ","Rural Area","7","","","","3"
"Subtenant","1986","Couple + C. LE and GT 16","Urban Area","3","","","","3"
"Subtenant","1986","Couple + C. LE and GT 16","Rural Area","3","","","","3"
"Tenant","1986","1-pers.-HH","Rural Area","1","","","","4"
"Tenant","1986","1-pers.-HH","Urban Area","","","","","4"
"Tenant","1986","(Married) couple without C. ","Urban Area","","","","","4"
"Tenant","1986","(Married) couple without C. ","Rural Area","","","","","4"
"Tenant","1986","Couple + C. LE and GT 16","Rural Area","","","","","4"
"Tenant","1986","Single parent ","Urban Area","","","","","4"
"Tenant","1986","Couple + C. LE 16 ","Urban Area","","","","","4"
"Tenant","1986","Single parent ","Rural Area","","","","","4"
"Tenant","1986","Couple + C. LE 16 ","Rural Area","","","","","4"
"Tenant","1986","Couple + C. GT 16 ","Urban Area","","","","","4"
"Tenant","1986","Couple + C. LE and GT 16","Urban Area","","","","","4"
"Tenant","1986","Couple + C. GT 16 ","Rural Area","","","","","4"
"Main tenant","1987","1-pers.-HH","Urban Area","709","0.756043973630167","0.728748719886665","0.783339227373668","2"
"Main tenant","1987","1-pers.-HH","Rural Area","98","0.615239460774431","0.541667758629475","0.688811162919387","2"
"Main tenant","1987","(Married) couple without C. ","Urban Area","1163","0.574676833441409","0.5524349607143","0.596918706168519","2"
"Main tenant","1987","Single parent ","Urban Area","263","0.582444405801559","0.534176295428629","0.630712516174488","2"
"Main tenant","1987","(Married) couple without C. ","Rural Area","216","0.412121286372596","0.367091681178193","0.457150891566998","2"
"Main tenant","1987","Single parent ","Rural Area","53","0.399249213104373","0.312345689801426","0.486152736407321","2"
"Main tenant","1987","Couple + C. LE 16 ","Urban Area","1271","0.592990474140648","0.570789100874175","0.61519184740712","2"
"Main tenant","1987","Couple + C. LE 16 ","Rural Area","262","0.464791491377116","0.4204945031301","0.509088479624132","2"
"Main tenant","1987","Couple + C. GT 16 ","Urban Area","800","0.37187765598086","0.348963744900315","0.394791567061405","2"
"Main tenant","1987","Couple + C. GT 16 ","Rural Area","98","0.188084945645485","0.151979380340486","0.224190510950484","2"
"Main tenant","1987","Couple + C. LE and GT 16","Urban Area","582","0.37135888934198","0.341154529641059","0.401563249042901","2"
"Main tenant","1987","Couple + C. LE and GT 16","Rural Area","81","0.162692019177684","0.119069827263701","0.206314211091668","2"
"Owner","1987","1-pers.-HH","Urban Area","169","0.189137814021172","0.164248063752122","0.214027564290222","1"
"Owner","1987","1-pers.-HH","Rural Area","57","0.323090615501184","0.252374094054775","0.393807136947593","1"
"Owner","1987","(Married) couple without C. ","Urban Area","702","0.407476921831017","0.38537122902479","0.429582614637245","1"
"Owner","1987","(Married) couple without C. ","Rural Area","234","0.567555291267194","0.522233075867837","0.612877506666551","1"
"Owner","1987","Single parent ","Urban Area","135","0.409225894282079","0.361101177833686","0.457350610730472","1"
"Owner","1987","Single parent ","Rural Area","66","0.567546141903647","0.479636066706014","0.655456217101279","1"
"Owner","1987","Couple + C. LE 16 ","Urban Area","575","0.387250054928213","0.365236454576876","0.40926365527955","1"
"Owner","1987","Couple + C. LE 16 ","Rural Area","215","0.513453789071602","0.469062644865569","0.557844933277635","1"
"Owner","1987","Couple + C. GT 16 ","Urban Area","902","0.62714919661117","0.604223104318445","0.650075288903895","1"
"Owner","1987","Couple + C. GT 16 ","Rural Area","352","0.811915054354515","0.775809489049516","0.848020619659513","1"
"Owner","1987","Couple + C. LE and GT 16","Urban Area","387","0.612168538158138","0.58170864655135","0.642628429764925","1"
"Owner","1987","Couple + C. LE and GT 16","Rural Area","194","0.837307980822316","0.793685788908332","0.880930172736299","1"
"Resident or shared accommodation","1987","Single parent ","Rural Area","","","","","5"
"Resident or shared accommodation","1987","Single parent ","Urban Area","","","","","5"
"Resident or shared accommodation","1987","Couple + C. LE 16 ","Urban Area","","","","","5"
"Resident or shared accommodation","1987","Couple + C. LE 16 ","Rural Area","","","","","5"
"Resident or shared accommodation","1987","1-pers.-HH","Urban Area","","","","","5"
"Resident or shared accommodation","1987","(Married) couple without C. ","Urban Area","","","","","5"
"Resident or shared accommodation","1987","(Married) couple without C. ","Rural Area","","","","","5"
"Resident or shared accommodation","1987","1-pers.-HH","Rural Area","","","","","5"
"Resident or shared accommodation","1987","Couple + C. GT 16 ","Urban Area","","","","","5"
"Resident or shared accommodation","1987","Couple + C. GT 16 ","Rural Area","","","","","5"
"Resident or shared accommodation","1987","Couple + C. LE and GT 16","Urban Area","","","","","5"
"Resident or shared accommodation","1987","Couple + C. LE and GT 16","Rural Area","","","","","5"
"Subtenant","1987","(Married) couple without C. ","Urban Area","31","0.0168392461909381","0.0110506456998343","0.0226278466820419","3"
"Subtenant","1987","1-pers.-HH","Urban Area","72","0.0531918568763936","0.0389288398554107","0.0674548738973764","3"
"Subtenant","1987","1-pers.-HH","Rural Area","13","","","","3"
"Subtenant","1987","(Married) couple without C. ","Rural Area","9","","","","3"
"Subtenant","1987","Single parent ","Urban Area","3","","","","3"
"Subtenant","1987","Single parent ","Rural Area","3","","","","3"
"Subtenant","1987","Couple + C. LE 16 ","Urban Area","33","0.0181742636420822","0.012137567569637","0.0242109597145275","3"
"Subtenant","1987","Couple + C. LE 16 ","Rural Area","10","","","","3"
"Subtenant","1987","Couple + C. GT 16 ","Urban Area","7","","","","3"
"Subtenant","1987","Couple + C. GT 16 ","Rural Area","","","","","3"
"Subtenant","1987","Couple + C. LE and GT 16","Urban Area","14","","","","3"
"Subtenant","1987","Couple + C. LE and GT 16","Rural Area","","","","","3"
"Tenant","1987","(Married) couple without C. ","Rural Area","","","","","4"
"Tenant","1987","1-pers.-HH","Rural Area","","","","","4"
"Tenant","1987","(Married) couple without C. ","Urban Area","2","","","","4"
"Tenant","1987","1-pers.-HH","Urban Area","1","","","","4"
"Tenant","1987","Single parent ","Urban Area","","","","","4"
"Tenant","1987","Couple + C. LE 16 ","Urban Area","2","","","","4"
"Tenant","1987","Single parent ","Rural Area","","","","","4"
"Tenant","1987","Couple + C. LE 16 ","Rural Area","","","","","4"
"Tenant","1987","Couple + C. GT 16 ","Urban Area","","","","","4"
"Tenant","1987","Couple + C. LE and GT 16","Urban Area","","","","","4"
"Tenant","1987","Couple + C. LE and GT 16","Rural Area","","","","","4"
"Tenant","1987","Couple + C. GT 16 ","Rural Area","","","","","4"
"Main tenant","1988","(Married) couple without C. ","Urban Area","1161","0.571410796127805","0.548926994818269","0.59389459743734","2"
"Main tenant","1988","1-pers.-HH","Urban Area","673","0.748848567718467","0.720562729882602","0.777134405554333","2"
"Main tenant","1988","1-pers.-HH","Rural Area","101","0.616921564098524","0.543844269890812","0.689998858306237","2"
"Main tenant","1988","(Married) couple without C. ","Rural Area","202","0.409229780510022","0.362701997701133","0.45575756331891","2"
"Main tenant","1988","Single parent ","Urban Area","252","0.583323236505326","0.534267871932181","0.63237860107847","2"
"Main tenant","1988","Single parent ","Rural Area","46","0.371348167906981","0.285258478406929","0.457437857407033","2"
"Main tenant","1988","Couple + C. LE 16 ","Urban Area","1163","0.56868717594395","0.545588576680286","0.591785775207615","2"
"Main tenant","1988","Couple + C. LE 16 ","Rural Area","251","0.464702390608553","0.419370198574861","0.510034582642244","2"
"Main tenant","1988","Couple + C. GT 16 ","Urban Area","820","0.3501521637459","0.328010682815616","0.372293644676184","2"
"Main tenant","1988","Couple + C. GT 16 ","Rural Area","95","0.174717603239418","0.138658666714903","0.210776539763933","2"
"Main tenant","1988","Couple + C. LE and GT 16","Urban Area","542","0.418486144534806","0.38538110195916","0.451591187110453","2"
"Main tenant","1988","Couple + C. LE and GT 16","Rural Area","71","0.168644534672409","0.121073880217104","0.216215189127714","2"
"Owner","1988","1-pers.-HH","Urban Area","170","0.194617129769325","0.168794769166286","0.220439490372363","1"
"Owner","1988","1-pers.-HH","Rural Area","56","0.315243325602845","0.245401639165609","0.385085012040081","1"
"Owner","1988","(Married) couple without C. ","Urban Area","664","0.405434315251096","0.383127628091341","0.427741002410851","1"
"Owner","1988","(Married) couple without C. ","Rural Area","219","0.570832555933406","0.523995757942774","0.617669353924038","1"
"Owner","1988","Single parent ","Urban Area","129","0.399693484577335","0.350953847487383","0.448433121667287","1"
"Owner","1988","Single parent ","Rural Area","71","0.571646876403453","0.483476987752273","0.659816765054633","1"
"Owner","1988","Couple + C. LE 16 ","Urban Area","573","0.411109024664224","0.38816082097231","0.434057228356138","1"
"Owner","1988","Couple + C. LE 16 ","Rural Area","204","0.519142139493224","0.473729879482796","0.564554399503652","1"
"Owner","1988","Couple + C. GT 16 ","Urban Area","959","0.649562368025392","0.627416729025278","0.671708007025505","1"
"Owner","1988","Couple + C. GT 16 ","Rural Area","326","0.817203284434705","0.780501047265789","0.853905521603621","1"
"Owner","1988","Couple + C. LE and GT 16","Urban Area","302","0.566623645117643","0.53336890727944","0.599878382955846","1"
"Owner","1988","Couple + C. LE and GT 16","Rural Area","164","0.817103925051139","0.76799047379848","0.866217376303798","1"
"Resident or shared accommodation","1988","Single parent ","Rural Area","","","","","5"
"Resident or shared accommodation","1988","Couple + C. LE 16 ","Urban Area","","","","","5"
"Resident or shared accommodation","1988","Couple + C. LE 16 ","Rural Area","","","","","5"
"Resident or shared accommodation","1988","1-pers.-HH","Urban Area","","","","","5"
"Resident or shared accommodation","1988","Single parent ","Urban Area","","","","","5"
"Resident or shared accommodation","1988","1-pers.-HH","Rural Area","","","","","5"
"Resident or shared accommodation","1988","(Married) couple without C. ","Urban Area","","","","","5"
"Resident or shared accommodation","1988","(Married) couple without C. ","Rural Area","","","","","5"
"Resident or shared accommodation","1988","Couple + C. GT 16 ","Urban Area","","","","","5"
"Resident or shared accommodation","1988","Couple + C. GT 16 ","Rural Area","","","","","5"
"Resident or shared accommodation","1988","Couple + C. LE and GT 16","Urban Area","","","","","5"
"Resident or shared accommodation","1988","Couple + C. LE and GT 16","Rural Area","","","","","5"
"Subtenant","1988","1-pers.-HH","Rural Area","13","","","","3"
"Subtenant","1988","(Married) couple without C. ","Urban Area","36","0.0231548886210995","0.0163219250348616","0.0299878522073374","3"
"Subtenant","1988","1-pers.-HH","Urban Area","59","0.0546879632364671","0.0398580816144178","0.0695178448585163","3"
"Subtenant","1988","(Married) couple without C. ","Rural Area","6","","","","3"
"Subtenant","1988","Single parent ","Urban Area","7","","","","3"
"Subtenant","1988","Single parent ","Rural Area","4","","","","3"
"Subtenant","1988","Couple + C. LE 16 ","Urban Area","30","0.0202037993918254","0.0136417855711358","0.0267658132125151","3"
"Subtenant","1988","Couple + C. LE 16 ","Rural Area","10","","","","3"
"Subtenant","1988","Couple + C. GT 16 ","Urban Area","4","","","","3"
"Subtenant","1988","Couple + C. GT 16 ","Rural Area","5","","","","3"
"Subtenant","1988","Couple + C. LE and GT 16","Urban Area","9","","","","3"
"Subtenant","1988","Couple + C. LE and GT 16","Rural Area","3","","","","3"
"Tenant","1988","1-pers.-HH","Urban Area","1","","","","4"
"Tenant","1988","(Married) couple without C. ","Rural Area","2","","","","4"
"Tenant","1988","1-pers.-HH","Rural Area","","","","","4"
"Tenant","1988","(Married) couple without C. ","Urban Area","","","","","4"
"Tenant","1988","Single parent ","Urban Area","","","","","4"
"Tenant","1988","Single parent ","Rural Area","","","","","4"
"Tenant","1988","Couple + C. LE 16 ","Urban Area","","","","","4"
"Tenant","1988","Couple + C. LE 16 ","Rural Area","","","","","4"
"Tenant","1988","Couple + C. GT 16 ","Urban Area","","","","","4"
"Tenant","1988","Couple + C. LE and GT 16","Urban Area","","","","","4"
"Tenant","1988","Couple + C. LE and GT 16","Rural Area","","","","","4"
"Tenant","1988","Couple + C. GT 16 ","Rural Area","","","","","4"
"Main tenant","1989","1-pers.-HH","Urban Area","671","0.744545354541318","0.71611604204578","0.772974667036856","2"
"Main tenant","1989","1-pers.-HH","Rural Area","97","0.603988209498787","0.529364916891685","0.678611502105889","2"
"Main tenant","1989","(Married) couple without C. ","Urban Area","1155","0.571524302401477","0.54889485435444","0.594153750448514","2"
"Main tenant","1989","(Married) couple without C. ","Rural Area","200","0.41112538363997","0.364510482281987","0.457740284997953","2"
"Main tenant","1989","Single parent ","Urban Area","231","0.539302032679193","0.488512828764698","0.590091236593689","2"
"Main tenant","1989","Single parent ","Rural Area","36","0.339222383860686","0.247790137272578","0.430654630448793","2"
"Main tenant","1989","Couple + C. LE 16 ","Urban Area","1128","0.569237327839378","0.545712089612843","0.592762566065913","2"
"Main tenant","1989","Couple + C. LE 16 ","Rural Area","245","0.474491186415271","0.42783321745817","0.521149155372372","2"
"Main tenant","1989","Couple + C. GT 16 ","Urban Area","730","0.306530409149048","0.284709817492854","0.328351000805243","2"
"Main tenant","1989","Couple + C. GT 16 ","Rural Area","100","0.168037923464247","0.132779601782232","0.203296245146262","2"
"Main tenant","1989","Couple + C. LE and GT 16","Urban Area","512","0.482829762771812","0.448028157357239","0.517631368186385","2"
"Main tenant","1989","Couple + C. LE and GT 16","Rural Area","58","0.187837233004986","0.133156738402738","0.242517727607234","2"
"Owner","1989","1-pers.-HH","Urban Area","170","0.195653414092475","0.169793373487152","0.221513454697797","1"
"Owner","1989","1-pers.-HH","Rural Area","53","0.303421489209804","0.233273645944813","0.373569332474796","1"
"Owner","1989","(Married) couple without C. ","Urban Area","646","0.41131139920774","0.388809369228569","0.433813429186911","1"
"Owner","1989","(Married) couple without C. ","Rural Area","224","0.582334082973118","0.535611501546509","0.629056664399727","1"
"Owner","1989","Single parent ","Urban Area","136","0.455758288789171","0.405011282316954","0.506505295261388","1"
"Owner","1989","Single parent ","Rural Area","62","0.571149028453306","0.475571147190185","0.666726909716427","1"
"Owner","1989","Couple + C. LE 16 ","Urban Area","552","0.41679745001188","0.393374556342429","0.440220343681331","1"
"Owner","1989","Couple + C. LE 16 ","Rural Area","187","0.510940598671157","0.464232975796311","0.557648221546002","1"
"Owner","1989","Couple + C. GT 16 ","Urban Area","970","0.68211440950059","0.660076009470596","0.704152809530585","1"
"Owner","1989","Couple + C. GT 16 ","Rural Area","332","0.831962076535753","0.796703754853738","0.867220398217768","1"
"Owner","1989","Couple + C. LE and GT 16","Urban Area","270","0.511056744418337","0.476243115790251","0.545870373046423","1"
"Owner","1989","Couple + C. LE and GT 16","Rural Area","135","0.7942887372549","0.737698919852577","0.850878554657222","1"
"Resident or shared accommodation","1989","(Married) couple without C. ","Urban Area","","","","","5"
"Resident or shared accommodation","1989","1-pers.-HH","Urban Area","","","","","5"
"Resident or shared accommodation","1989","1-pers.-HH","Rural Area","","","","","5"
"Resident or shared accommodation","1989","(Married) couple without C. ","Rural Area","","","","","5"
"Resident or shared accommodation","1989","Single parent ","Urban Area","","","","","5"
"Resident or shared accommodation","1989","Single parent ","Rural Area","","","","","5"
"Resident or shared accommodation","1989","Couple + C. LE 16 ","Urban Area","","","","","5"
"Resident or shared accommodation","1989","Couple + C. LE 16 ","Rural Area","","","","","5"
"Resident or shared accommodation","1989","Couple + C. GT 16 ","Urban Area","","","","","5"
"Resident or shared accommodation","1989","Couple + C. GT 16 ","Rural Area","","","","","5"
"Resident or shared accommodation","1989","Couple + C. LE and GT 16","Urban Area","","","","","5"
"Resident or shared accommodation","1989","Couple + C. LE and GT 16","Rural Area","","","","","5"
"Subtenant","1989","1-pers.-HH","Rural Area","14","","","","3"
"Subtenant","1989","(Married) couple without C. ","Urban Area","36","0.0171642983907832","0.0112248378317688","0.0231037589497975","3"
"Subtenant","1989","1-pers.-HH","Urban Area","55","0.0508507471823272","0.0365295343094311","0.0651719600552233","3"
"Subtenant","1989","(Married) couple without C. ","Rural Area","4","","","","3"
"Subtenant","1989","Single parent ","Urban Area","3","","","","3"
"Subtenant","1989","Single parent ","Rural Area","5","","","","3"
"Subtenant","1989","Couple + C. LE 16 ","Urban Area","22","","","","3"
"Subtenant","1989","Couple + C. LE 16 ","Rural Area","6","","","","3"
"Subtenant","1989","Couple + C. GT 16 ","Urban Area","12","","","","3"
"Subtenant","1989","Couple + C. GT 16 ","Rural Area","","","","","3"
"Subtenant","1989","Couple + C. LE and GT 16","Urban Area","10","","","","3"
"Subtenant","1989","Couple + C. LE and GT 16","Rural Area","3","","","","3"
"Tenant","1989","1-pers.-HH","Urban Area","8","","","","4"
"Tenant","1989","(Married) couple without C. ","Rural Area","","","","","4"
"Tenant","1989","1-pers.-HH","Rural Area","1","","","","4"
"Tenant","1989","(Married) couple without C. ","Urban Area","","","","","4"
"Tenant","1989","Single parent ","Urban Area","","","","","4"
"Tenant","1989","Single parent ","Rural Area","","","","","4"
"Tenant","1989","Couple + C. LE 16 ","Urban Area","","","","","4"
"Tenant","1989","Couple + C. LE 16 ","Rural Area","2","","","","4"
"Tenant","1989","Couple + C. GT 16 ","Urban Area","3","","","","4"
"Tenant","1989","Couple + C. LE and GT 16","Urban Area","","","","","4"
"Tenant","1989","Couple + C. GT 16 ","Rural Area","","","","","4"
"Tenant","1989","Couple + C. LE and GT 16","Rural Area","","","","","4"
"Main tenant","1990","1-pers.-HH","Rural Area","231","0.628445501479133","0.578249610792633","0.678641392165633","2"
"Main tenant","1990","1-pers.-HH","Urban Area","787","0.767740493545981","0.741736662147486","0.793744324944476","2"
"Main tenant","1990","Single parent ","Urban Area","312","0.591360156230514","0.546727625012973","0.635992687448055","2"
"Main tenant","1990","(Married) couple without C. ","Urban Area","1409","0.598814178790638","0.578234513775042","0.619393843806234","2"
"Main tenant","1990","(Married) couple without C. ","Rural Area","546","0.456681254751773","0.426876732319497","0.486485777184048","2"
"Main tenant","1990","Single parent ","Rural Area","97","0.44134232218498","0.369790137153452","0.512894507216509","2"
"Main tenant","1990","Couple + C. LE 16 ","Urban Area","1518","0.592457456347369","0.571915144981101","0.612999767713638","2"
"Main tenant","1990","Couple + C. LE 16 ","Rural Area","719","0.508609296356398","0.481792118448527","0.53542647426427","2"
"Main tenant","1990","Couple + C. GT 16 ","Urban Area","912","0.369742575714749","0.347786695363203","0.391698456066294","2"
"Main tenant","1990","Couple + C. GT 16 ","Rural Area","368","0.280180174044188","0.25266065264699","0.307699695441386","2"
