"hgowner","year","migback","n","percent","lower_confidence","upper_confidence"
"1","1991","indirect migration background","61","0.221368159924599","0.177997061994347","0.264739257854852"
"2","1991","no migration background","5523","0.515558507647561","0.506076837815998","0.525040177479123"
"2","1991","direct migration background","2120","0.703342077074306","0.68592429068754","0.720759863461072"
"2","1991","indirect migration background","287","0.762954758092543","0.718528291514702","0.807381224670384"
"3","1991","no migration background","339","0.0316240679711277","0.0283039306722968","0.0349442052699585"
"3","1991","direct migration background","64","0.0288994787944155","0.022511568876183","0.0352873887126481"
"3","1991","indirect migration background","4","","",""
"4","1991","no migration background","17","","",""
"4","1991","direct migration background","6","","",""
"4","1991","indirect migration background","","","",""
"5","1991","no migration background","","","",""
"5","1991","direct migration background","","","",""
"5","1991","indirect migration background","","","",""
"1","1992","no migration background","4622","0.45313114183695","0.443568076159931","0.46269420751397"
"1","1992","direct migration background","494","0.271817807755634","0.254620675451715","0.289014940059553"
"1","1992","indirect migration background","78","0.236360090659911","0.195286888502372","0.27743329281745"
"2","1992","no migration background","5520","0.51778071052818","0.508181427212986","0.527379993843374"
"2","1992","direct migration background","2007","0.695692472487664","0.677907137378059","0.713477807597268"
"2","1992","indirect migration background","329","0.745536210541483","0.703427247555351","0.787645173527614"
"3","1992","no migration background","260","0.0278458881364091","0.0246851269580948","0.0310066493147235"
"3","1992","direct migration background","69","0.0312225991200154","0.0244999014805804","0.0379452967594505"
"3","1992","indirect migration background","4","","",""
"4","1992","no migration background","7","","",""
"4","1992","direct migration background","1","","",""
"4","1992","indirect migration background","","","",""
"5","1992","no migration background","","","",""
"5","1992","direct migration background","","","",""
"5","1992","indirect migration background","","","",""
"1","1993","no migration background","4543","0.459553694512161","0.449883174265243","0.469224214759079"
"1","1993","direct migration background","491","0.279672399287598","0.262071222458929","0.297273576116266"
"1","1993","indirect migration background","95","0.272255237351183","0.232267918978509","0.312242555723856"
"2","1993","no migration background","5393","0.511528778087347","0.501829041095656","0.521228515079038"
"2","1993","direct migration background","1931","0.67716861764236","0.65883331180598","0.695503923478739"
"2","1993","indirect migration background","369","0.693380822951111","0.651958906863813","0.73480273903841"
"3","1993","no migration background","266","0.0289175274004913","0.0256658004757721","0.0321692543252105"
"3","1993","direct migration background","76","0.0431589830700425","0.0351899181002975","0.0511280480397876"
"3","1993","indirect migration background","12","","",""
"4","1993","no migration background","","","",""
"4","1993","direct migration background","","","",""
"4","1993","indirect migration background","","","",""
"5","1993","no migration background","","","",""
"5","1993","direct migration background","","","",""
"5","1993","indirect migration background","","","",""
"1","1994","no migration background","4549","0.463044186382757","0.453305681520832","0.472782691244681"
"1","1994","direct migration background","472","0.282022194418414","0.263913468227878","0.300130920608951"
"1","1994","indirect migration background","93","0.25645226715999","0.21802274795131","0.29488178636867"
"2","1994","no migration background","5263","0.508373584925027","0.498609739708703","0.518137430141352"
"2","1994","direct migration background","1832","0.686144531846693","0.667469411819134","0.704819651874251"
"2","1994","indirect migration background","394","0.71845927550911","0.678878988170099","0.758039562848121"
"3","1994","no migration background","259","0.0285822286922162","0.0253278891732855","0.0318365682111469"
"3","1994","direct migration background","68","0.0318332737348931","0.0247683662849946","0.0388981811847916"
"3","1994","indirect migration background","9","","",""
"4","1994","no migration background","","","",""
"4","1994","direct migration background","","","",""
"4","1994","indirect migration background","","","",""
"5","1994","no migration background","","","",""
"5","1994","direct migration background","","","",""
"5","1994","indirect migration background","","","",""
"1","1995","no migration background","4562","0.475616109608873","0.465848926978346","0.4853832922394"
"1","1995","direct migration background","523","0.263999345682902","0.247712890447586","0.280285800918218"
"1","1995","indirect migration background","103","0.312932191866449","0.272807257983966","0.353057125748931"
"2","1995","no migration background","5209","0.493774230715312","0.483996170785849","0.503552290644775"
"2","1995","direct migration background","2196","0.689684754228857","0.672591965925003","0.706777542532711"
"2","1995","indirect migration background","395","0.622356443473186","0.58040469722362","0.664308189722751"
"3","1995","no migration background","272","0.030609659675815","0.0272407066611979","0.0339786126904321"
"3","1995","direct migration background","95","0.0463159000882404","0.0385506871464324","0.0540811130300484"
"3","1995","indirect migration background","15","","",""
"4","1995","no migration background","","","",""
"4","1995","direct migration background","","","",""
"4","1995","indirect migration background","","","",""
"5","1995","no migration background","","","",""
"5","1995","direct migration background","","","",""
"5","1995","indirect migration background","","","",""
"1","1996","no migration background","4610","0.479541507001623","0.469727788178966","0.48935522582428"
"1","1996","direct migration background","502","0.257165938584806","0.240433192981757","0.273898684187854"
"1","1996","indirect migration background","109","0.277926421090947","0.240453498721146","0.315399343460748"
"2","1996","no migration background","5087","0.491811229057651","0.481990602170898","0.501631855944403"
"2","1996","direct migration background","2014","0.699743452372772","0.682195346514345","0.7172915582312"
"2","1996","indirect migration background","415","0.665242688136424","0.625768154340872","0.704717221931976"
"3","1996","no migration background","258","0.028647263940726","0.0253704067293906","0.0319241211520614"
"3","1996","direct migration background","105","0.0430906090424221","0.0353166668811879","0.0508645512036563"
"3","1996","indirect migration background","25","","",""
"4","1996","no migration background","","","",""
"4","1996","direct migration background","","","",""
"4","1996","indirect migration background","","","",""
"5","1996","no migration background","","","",""
"5","1996","direct migration background","","","",""
"5","1996","indirect migration background","","","",""
"1","1997","no migration background","4675","0.487554011019278","0.477681912359364","0.497426109679192"
"1","1997","direct migration background","522","0.259336655576919","0.24212920816838","0.276544102985459"
"1","1997","indirect migration background","132","0.30745652280631","0.269740182479767","0.345172863132852"
"2","1997","no migration background","4927","0.484012498248002","0.474142389213955","0.493882607282049"
"2","1997","direct migration background","1887","0.703561752220278","0.685631256287619","0.721492248152938"
"2","1997","indirect migration background","427","0.657289293865081","0.618496033273348","0.696082554456814"
"3","1997","no migration background","246","0.0284334907327194","0.0251508343148556","0.0317161471505832"
"3","1997","direct migration background","83","0.0371015922028023","0.029680623839571","0.0445225605660336"
"3","1997","indirect migration background","16","","",""
"4","1997","no migration background","","","",""
"4","1997","direct migration background","","","",""
"4","1997","indirect migration background","","","",""
"5","1997","no migration background","","","",""
"5","1997","direct migration background","","","",""
"5","1997","indirect migration background","","","",""
"1","1998","no migration background","5514","0.49588565405719","0.486667886762325","0.505103421352054"
"1","1998","direct migration background","558","0.269431176100187","0.251758383232323","0.287103968968051"
"1","1998","indirect migration background","150","0.326384409849702","0.288990541935398","0.363778277764005"
"2","1998","no migration background","5481","0.471712522078438","0.462509206788787","0.480915837368089"
"2","1998","direct migration background","1760","0.681908791130471","0.663356836467911","0.700460745793032"
"2","1998","indirect migration background","427","0.620454732238481","0.581754242325672","0.65915522215129"
"3","1998","no migration background","293","0.0301089229730812","0.0269584226261043","0.0332594233200582"
"3","1998","direct migration background","99","0.0433069186568631","0.0351988829049953","0.051414954408731"
"3","1998","indirect migration background","26","","",""
"4","1998","no migration background","14","","",""
"4","1998","direct migration background","4","","",""
"4","1998","indirect migration background","1","","",""
"5","1998","no migration background","","","",""
"5","1998","direct migration background","","","",""
"5","1998","indirect migration background","","","",""
"1","1999","no migration background","5386","0.496086382876167","0.486714321647173","0.50545844410516"
"1","1999","direct migration background","560","0.293609035339912","0.274677508759569","0.312540561920254"
"1","1999","indirect migration background","154","0.337787473881469","0.300316684181184","0.375258263581754"
"2","1999","no migration background","5299","0.476754878398522","0.46739266397094","0.486117092826104"
"2","1999","direct migration background","1580","0.664524951943997","0.644897491177667","0.684152412710326"
"2","1999","indirect migration background","434","0.609594662884079","0.570944544273656","0.648244781494503"
"3","1999","no migration background","227","0.0237801526655884","0.0209241437906833","0.0266361615404935"
"3","1999","direct migration background","79","0.0363217250428167","0.0285444469719819","0.0440990031136515"
"3","1999","indirect migration background","23","","",""
"4","1999","no migration background","","","",""
"4","1999","direct migration background","","","",""
"4","1999","indirect migration background","","","",""
"5","1999","no migration background","21","","",""
"5","1999","direct migration background","4","","",""
"5","1999","indirect migration background","1","","",""
"1","2000","no migration background","10881","0.506598173667062","0.499684967631462","0.513511379702661"
"1","2000","direct migration background","914","0.268040361513746","0.25302766790937","0.283053055118122"
"1","2000","indirect migration background","253","0.330156677138166","0.298182878329197","0.362130475947135"
"2","2000","no migration background","8918","0.475348481828604","0.468443081887487","0.482253881769721"
"2","2000","direct migration background","2362","0.706720676484824","0.691290191425432","0.722151161544216"
"2","2000","indirect migration background","555","0.628905904915843","0.596059908795169","0.661751901036517"
"3","2000","no migration background","263","0.0155133700178543","0.0138045146732701","0.0172222253624385"
"3","2000","direct migration background","65","0.0228859601153337","0.0178175452990904","0.027954374931577"
"3","2000","indirect migration background","22","","",""
"4","2000","no migration background","","","",""
"4","2000","direct migration background","","","",""
"4","2000","indirect migration background","","","",""
"5","2000","no migration background","29","","",""
"5","2000","direct migration background","3","","",""
"5","2000","indirect migration background","1","","",""
"1","2001","no migration background","9959","0.508435631958876","0.501200528055062","0.515670735862689"
"1","2001","direct migration background","827","0.265279538137673","0.249334763499116","0.281224312776231"
"1","2001","indirect migration background","234","0.333886918871224","0.300727167540704","0.367046670201744"
"2","2001","no migration background","8085","0.471852861263535","0.464628202359153","0.479077520167917"
"2","2001","direct migration background","2066","0.705997114293997","0.689542689653571","0.722451538934422"
"2","2001","indirect migration background","525","0.63181479722712","0.597901841471326","0.665727752982914"
"3","2001","no migration background","264","0.0164935615687484","0.0146503193371019","0.0183368038003949"
"3","2001","direct migration background","48","0.0259245798592637","0.0201852974264514","0.031663862292076"
"3","2001","indirect migration background","17","","",""
"4","2001","no migration background","1","","",""
"4","2001","direct migration background","","","",""
"4","2001","indirect migration background","","","",""
"5","2001","no migration background","32","0.00298799118528262","0.00219808332359938","0.00377789904696585"
"5","2001","direct migration background","4","","",""
"5","2001","indirect migration background","1","","",""
"1","2002","no migration background","11150","0.511995610531158","0.504989348529014","0.519001872533303"
"1","2002","direct migration background","868","0.2726153771239","0.256179958545578","0.289050795702222"
"1","2002","indirect migration background","270","0.348224784224047","0.314876858947453","0.381572709500642"
"2","2002","no migration background","8090","0.468397455851056","0.461403189287622","0.475391722414491"
"2","2002","direct migration background","1902","0.70344673143188","0.686589334911105","0.720304127952655"
"2","2002","indirect migration background","493","0.610643506633543","0.576511828439711","0.644775184827375"
"3","2002","no migration background","282","0.016620312142608","0.0148283798516999","0.0184122444335161"
"3","2002","direct migration background","48","0.022116988151303","0.0166891113688914","0.0275448649337147"
"3","2002","indirect migration background","20","","",""
"4","2002","no migration background","1","","",""
"4","2002","direct migration background","","","",""
"4","2002","indirect migration background","","","",""
"5","2002","no migration background","30","0.00276665762051752","0.00203042086520029","0.00350289437583474"
"5","2002","direct migration background","2","","",""
"5","2002","indirect migration background","1","","",""
"1","2003","no migration background","10769","0.509012397656275","0.501878059933605","0.516146735378946"
"1","2003","direct migration background","854","0.286576927918573","0.26934517576979","0.303808680067357"
"1","2003","indirect migration background","285","0.343863790064312","0.310741163287211","0.376986416841414"
"2","2003","no migration background","7750","0.468051720060548","0.460930804302219","0.475172635818876"
"2","2003","direct migration background","1725","0.674008683828821","0.656145000370217","0.691872367287425"
"2","2003","indirect migration background","480","0.615042274807333","0.581111517800958","0.648973031813709"
"3","2003","no migration background","311","0.0198610268936131","0.0178699001771443","0.021852153610082"
"3","2003","direct migration background","65","0.0387170238642221","0.0313649161440373","0.0460691315844069"
"3","2003","indirect migration background","24","","",""
"4","2003","no migration background","1","","",""
"4","2003","direct migration background","","","",""
"4","2003","indirect migration background","","","",""
"5","2003","no migration background","31","0.00285385510898907","0.0020925660503727","0.00361514416760544"
"5","2003","direct migration background","1","","",""
"5","2003","indirect migration background","1","","",""
"1","2004","no migration background","10492","0.503147779047944","0.495917502469363","0.510378055626526"
"1","2004","direct migration background","857","0.28948711884598","0.271891345631865","0.307082892060094"
"1","2004","indirect migration background","298","0.351697257147301","0.318833963753688","0.384560550540914"
"2","2004","no migration background","7540","0.47276918056567","0.465549491629449","0.479988869501891"
"2","2004","direct migration background","1653","0.684464049751065","0.666433560932417","0.702494538569713"
"2","2004","indirect migration background","490","0.605692131136304","0.572057911822851","0.639326350449758"
"3","2004","no migration background","300","0.0201190494863866","0.0180886387570966","0.0221494602156767"
"3","2004","direct migration background","41","0.0259689189314926","0.019798408384585","0.0321394294784001"
"3","2004","indirect migration background","22","","",""
"4","2004","no migration background","3","","",""
"4","2004","direct migration background","","","",""
"4","2004","indirect migration background","","","",""
"5","2004","no migration background","35","0.00367016305373031","0.00279570745938058","0.00454461864808003"
"5","2004","direct migration background","1","","",""
"5","2004","indirect migration background","1","","",""
"1","2005","no migration background","10013","0.494793447423657","0.48740527640065","0.502181618446664"
"1","2005","direct migration background","818","0.278393894272078","0.260402081702837","0.296385706841318"
"1","2005","indirect migration background","298","0.299412594213144","0.268347616362268","0.33047757206402"
"2","2005","no migration background","7223","0.478646434098668","0.471264603562949","0.486028264634386"
"2","2005","direct migration background","1522","0.690524771490342","0.671968208377432","0.709081334603251"
"2","2005","indirect migration background","507","0.638270922601986","0.60567981699083","0.670862028213141"
"3","2005","no migration background","319","0.0226594629288513","0.0204603970244369","0.0248585288332657"
"3","2005","direct migration background","42","0.0294927128779747","0.0227014314592764","0.036283994296673"
"3","2005","indirect migration background","30","0.0623164831848699","0.0459206133365779","0.0787123530331619"
"4","2005","no migration background","2","","",""
"4","2005","direct migration background","","","",""
"4","2005","indirect migration background","","","",""
"5","2005","no migration background","35","0.00387318758881488","0.00295531571168788","0.00479105946594188"
"5","2005","direct migration background","2","","",""
"5","2005","indirect migration background","","","",""
"1","2006","no migration background","10987","0.493462847992605","0.486375706498175","0.500549989487036"
"1","2006","direct migration background","844","0.282954269982824","0.264929716284025","0.300978823681622"
"1","2006","indirect migration background","325","0.313489918328072","0.282538686212566","0.344441150443577"
"2","2006","no migration background","7777","0.482012283463328","0.474929124241279","0.489095442685376"
"2","2006","direct migration background","1507","0.69017141434117","0.671667134268442","0.708675694413898"
"2","2006","indirect migration background","522","0.653572884873468","0.621826400017602","0.685319369729334"
"3","2006","no migration background","308","0.0208477507901367","0.0188224341200274","0.022873067460246"
"3","2006","direct migration background","45","0.0254333103693613","0.0191333155225117","0.031733305216211"
"3","2006","indirect migration background","16","","",""
"4","2006","no migration background","2","","",""
"4","2006","direct migration background","","","",""
"4","2006","indirect migration background","","","",""
"5","2006","no migration background","43","0.00365218724281177","0.00279708070993611","0.00450729377568742"
"5","2006","direct migration background","3","","",""
"5","2006","indirect migration background","","","",""
"1","2007","no migration background","10329","0.501980654101915","0.494670465770566","0.509290842433264"
"1","2007","direct migration background","764","0.277307657257748","0.25838040628718","0.296234908228316"
"1","2007","indirect migration background","314","0.31130581398846","0.280086269602952","0.342525358373967"
"2","2007","no migration background","7310","0.471282280315357","0.463984102215961","0.478580458414753"
"2","2007","direct migration background","1343","0.696621244251896","0.67718462069292","0.716057867810873"
"2","2007","indirect migration background","504","0.64702638139809","0.614804428794798","0.679248334001381"
"3","2007","no migration background","286","0.0225965831570384","0.0204237805060394","0.0247693858080375"
"3","2007","direct migration background","36","0.0219323964223717","0.0157400197798409","0.0281247730649025"
"3","2007","indirect migration background","27","","",""
"4","2007","no migration background","2","","",""
"4","2007","direct migration background","","","",""
"4","2007","indirect migration background","","","",""
"5","2007","no migration background","44","0.00411590990239404","0.00317985936746976","0.00505196043731833"
"5","2007","direct migration background","6","","",""
"5","2007","indirect migration background","","","",""
"1","2008","no migration background","9812","0.510366904766405","0.502838216706424","0.517895592826386"
"1","2008","direct migration background","706","0.291832116716491","0.271497680649288","0.312166552783694"
"1","2008","indirect migration background","325","0.33308220855445","0.301017971229884","0.365146445879017"
"2","2008","no migration background","6796","0.460909927114013","0.453402668674441","0.468417185553585"
"2","2008","direct migration background","1179","0.688054986450417","0.667332203708113","0.708777769192721"
"2","2008","indirect migration background","485","0.637219476576624","0.60450985293616","0.669929100217087"
"3","2008","no migration background","283","0.0241865189573583","0.0218727885249161","0.0265002493898004"
"3","2008","direct migration background","31","0.0173858519086882","0.0115394728350109","0.0232322309823656"
"3","2008","indirect migration background","20","","",""
"4","2008","no migration background","2","","",""
"4","2008","direct migration background","","","",""
"4","2008","indirect migration background","","","",""
"5","2008","no migration background","43","0.00451268587776489","0.0035032515132799","0.00552212024224987"
"5","2008","direct migration background","4","","",""
"5","2008","indirect migration background","","","",""
"1","2009","no migration background","9200","0.512028905310675","0.504266711343959","0.519791099277391"
"1","2009","direct migration background","640","0.311518666973541","0.289346956102212","0.33369037784487"
"1","2009","indirect migration background","301","0.343625564823914","0.309794262710935","0.377456866936892"
"2","2009","no migration background","6398","0.460818734535117","0.45307816950763","0.468559299562604"
"2","2009","direct migration background","994","0.657815967244491","0.63510199140455","0.680529943084431"
"2","2009","indirect migration background","441","0.625175581117483","0.590691783096134","0.659659379138833"
"3","2009","no migration background","293","0.023122122421173","0.0207882657106865","0.0254559791316594"
"3","2009","direct migration background","39","0.0287914836522473","0.020785782992806","0.0367971843116886"
"3","2009","indirect migration background","15","","",""
"4","2009","no migration background","2","","",""
"4","2009","direct migration background","","","",""
"4","2009","indirect migration background","","","",""
"5","2009","no migration background","37","0.00400483184809284","0.00302407587480577","0.00498558782137991"
"5","2009","direct migration background","3","","",""
"5","2009","indirect migration background","","","",""
"1","2010","no migration background","10970","0.518697774990071","0.511821580960874","0.525573969019268"
"1","2010","direct migration background","973","0.327831834747989","0.310808413553559","0.344855255942418"
"1","2010","indirect migration background","458","0.364505287362943","0.33758641925585","0.391424155470036"
"2","2010","no migration background","8944","0.455241359248651","0.448387977633963","0.46209474086334"
"2","2010","direct migration background","1911","0.649293080005899","0.631987949959632","0.666598210052167"
"2","2010","indirect migration background","753","0.604212117360794","0.576861012794478","0.63156322192711"
"3","2010","no migration background","324","0.0215596982267965","0.0195608928869764","0.0235585035666165"
"3","2010","direct migration background","35","0.0215732496823627","0.0163045401483376","0.0268419592163879"
"3","2010","indirect migration background","16","","",""
"4","2010","no migration background","7","","",""
"4","2010","direct migration background","","","",""
"4","2010","indirect migration background","","","",""
"5","2010","no migration background","38","0.00436677489101018","0.00345934707390177","0.00527420270811858"
"5","2010","direct migration background","2","","",""
"5","2010","indirect migration background","1","","",""
"1","2011","no migration background","13277","0.524292272336194","0.518016336453137","0.530568208219251"
"1","2011","direct migration background","1178","0.351799073423289","0.335456767408094","0.368141379438483"
"1","2011","indirect migration background","533","0.360515042394078","0.335453061393907","0.385577023394249"
"2","2011","no migration background","10676","0.452212008436999","0.445957416714897","0.4584666001591"
"2","2011","direct migration background","2064","0.632743420564001","0.616246237995386","0.649240603132616"
"2","2011","indirect migration background","860","0.614564065433075","0.589160292804312","0.639967838061837"
"3","2011","no migration background","315","0.0193782794341843","0.0176459518217026","0.0211106070466659"
"3","2011","direct migration background","37","0.0150243792639229","0.0108612281146454","0.0191875304132003"
"3","2011","indirect migration background","16","","",""
"4","2011","no migration background","7","","",""
"4","2011","direct migration background","","","",""
"4","2011","indirect migration background","","","",""
"5","2011","no migration background","50","0.00400664428064555","0.00321279093322359","0.00480049762806752"
"5","2011","direct migration background","1","","",""
"5","2011","indirect migration background","1","","",""
"1","2012","no migration background","12965","0.523514745243638","0.517173622647445","0.529855867839832"
"1","2012","direct migration background","1136","0.35420349906775","0.337288092130403","0.371118906005098"
"1","2012","indirect migration background","533","0.371761240647466","0.346207814215617","0.397314667079314"
"2","2012","no migration background","10504","0.45389577812241","0.447574676152026","0.460216880092794"
"2","2012","direct migration background","1915","0.636805113383662","0.61979601408474","0.653814212682584"
"2","2012","indirect migration background","823","0.594978914283753","0.569022522016001","0.620935306551504"
"3","2012","no migration background","321","0.0197247756074702","0.0179593191672424","0.021490232047698"
"3","2012","direct migration background","19","","",""
"3","2012","indirect migration background","17","","",""
"4","2012","no migration background","6","","",""
"4","2012","direct migration background","","","",""
"4","2012","indirect migration background","","","",""
"5","2012","no migration background","35","0.00280851275338502","0.00213661306595325","0.0034804124408168"
"5","2012","direct migration background","1","","",""
"5","2012","indirect migration background","1","","",""
"1","2013","no migration background","12299","0.541475080337268","0.534985976902405","0.547964183772132"
"1","2013","direct migration background","1840","0.316121260527002","0.304755649680561","0.327486871373443"
"1","2013","indirect migration background","734","0.309085855350399","0.289935946711543","0.328235763989256"
"2","2013","no migration background","10017","0.437908561125234","0.431447420535815","0.444369701714652"
"2","2013","direct migration background","4523","0.672889554851794","0.661421349058981","0.684357760644607"
"2","2013","indirect migration background","1466","0.667239275006175","0.647712886284048","0.686765663728301"
"3","2013","no migration background","287","0.0173392994707672","0.0156393674466136","0.0190392314949207"
"3","2013","direct migration background","66","0.0109891846212038","0.00844083134681087","0.0135375378955967"
"3","2013","indirect migration background","36","0.0232391976165452","0.0169958175285094","0.029482577704581"
"4","2013","no migration background","3","","",""
"4","2013","direct migration background","","","",""
"4","2013","indirect migration background","","","",""
"5","2013","no migration background","44","0.00322925376161111","0.00249039280699058","0.00396811471623164"
"5","2013","direct migration background","","","",""
"5","2013","indirect migration background","1","","",""
"1","2014","no migration background","11264","0.533854762292668","0.527054282820608","0.540655241764729"
"1","2014","direct migration background","1613","0.321533199577474","0.308816435967231","0.334249963187717"
"1","2014","indirect migration background","657","0.331073399193742","0.310094459176453","0.352052339211032"
"2","2014","no migration background","9085","0.445202558962021","0.438427495023841","0.451977622900202"
"2","2014","direct migration background","3522","0.66309589709392","0.650227018401857","0.675964775785982"
"2","2014","indirect migration background","1248","0.647623758472439","0.626327816248498","0.66891970069638"
"3","2014","no migration background","281","0.0178346038232147","0.0160303759196315","0.019638831726798"
"3","2014","direct migration background","44","0.0150397984595775","0.0117259721906232","0.0183536247285319"
