"hgowner","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"2","1987","35-65 y.","Not Employed","816","0.446903736186973","0.422678602214785","0.471128870159162"
"2","1987","35-65 y.","Employed","2045","0.458397030533178","0.442479169830661","0.474314891235694"
"2","1987","66 and older","Not Employed","528","0.569792860012148","0.539716862885538","0.599868857138759"
"2","1987","66 and older","Employed","12","","",""
"3","1987","16-34 y.","Not Employed","26","","",""
"3","1987","16-34 y.","Employed","85","0.0363172694597349","0.0295142979055962","0.0431202410138736"
"3","1987","35-65 y.","Not Employed","18","","",""
"3","1987","35-65 y.","Employed","61","0.0122016454005987","0.00869439613770233","0.0157088946634951"
"3","1987","66 and older","Not Employed","17","","",""
"3","1987","66 and older","Employed","","","",""
"4","1987","16-34 y.","Not Employed","1","","",""
"4","1987","16-34 y.","Employed","1","","",""
"4","1987","35-65 y.","Not Employed","1","","",""
"4","1987","35-65 y.","Employed","1","","",""
"4","1987","66 and older","Not Employed","1","","",""
"4","1987","66 and older","Employed","","","",""
"5","1987","16-34 y.","Not Employed","","","",""
"5","1987","16-34 y.","Employed","","","",""
"5","1987","35-65 y.","Not Employed","","","",""
"5","1987","35-65 y.","Employed","","","",""
"5","1987","66 and older","Not Employed","","","",""
"5","1987","66 and older","Employed","","","",""
"1","1988","16-34 y.","Not Employed","389","0.460732943148263","0.430683448293251","0.490782438003276"
"1","1988","16-34 y.","Employed","906","0.380174090237708","0.362181005369009","0.398167175106408"
"1","1988","35-65 y.","Not Employed","702","0.523250762886854","0.498042242313594","0.548459283460115"
"1","1988","35-65 y.","Employed","1607","0.534341885056445","0.51805646755478","0.55062730255811"
"1","1988","66 and older","Not Employed","466","0.401351250465856","0.371076420979412","0.431626079952301"
"1","1988","66 and older","Employed","32","0.63432848118472","0.498080478056001","0.770576484313439"
"2","1988","16-34 y.","Not Employed","646","0.51480429453518","0.48467491750683","0.54493367156353"
"2","1988","16-34 y.","Employed","1809","0.579192712306494","0.560893488107434","0.597491936505555"
"2","1988","35-65 y.","Not Employed","782","0.452775021334307","0.42765201507176","0.477898027596854"
"2","1988","35-65 y.","Employed","1943","0.451548107271411","0.435300965026528","0.467795249516294"
"2","1988","66 and older","Not Employed","526","0.57922547630624","0.548733757789023","0.609717194823456"
"2","1988","66 and older","Employed","14","","",""
"3","1988","16-34 y.","Not Employed","22","","",""
"3","1988","16-34 y.","Employed","79","0.0401161699427661","0.0328425839689614","0.0473897559165709"
"3","1988","35-65 y.","Not Employed","24","","",""
"3","1988","35-65 y.","Employed","54","0.0141100076721444","0.0102593620332974","0.0179606533109913"
"3","1988","66 and older","Not Employed","14","","",""
"3","1988","66 and older","Employed","2","","",""
"4","1988","16-34 y.","Not Employed","","","",""
"4","1988","16-34 y.","Employed","2","","",""
"4","1988","35-65 y.","Not Employed","","","",""
"4","1988","35-65 y.","Employed","","","",""
"4","1988","66 and older","Not Employed","1","","",""
"4","1988","66 and older","Employed","","","",""
"5","1988","16-34 y.","Not Employed","","","",""
"5","1988","16-34 y.","Employed","","","",""
"5","1988","35-65 y.","Not Employed","","","",""
"5","1988","35-65 y.","Employed","","","",""
"5","1988","66 and older","Not Employed","","","",""
"5","1988","66 and older","Employed","","","",""
"1","1989","16-34 y.","Not Employed","371","0.454896263090616","0.424155574659407","0.485636951521825"
"1","1989","16-34 y.","Employed","906","0.389938708742511","0.371745898188761","0.408131519296261"
"1","1989","35-65 y.","Not Employed","674","0.536233808466241","0.510521515597234","0.561946101335247"
"1","1989","35-65 y.","Employed","1548","0.52622098100231","0.509586115895552","0.542855846109068"
"1","1989","66 and older","Not Employed","474","0.421769802221731","0.390882464798166","0.452657139645296"
"1","1989","66 and older","Employed","36","0.692594109924785","0.560678967329625","0.824509252519944"
"2","1989","16-34 y.","Not Employed","612","0.512723090236807","0.481866553580662","0.543579626892952"
"2","1989","16-34 y.","Employed","1772","0.570455026306776","0.551990851037252","0.588919201576299"
"2","1989","35-65 y.","Not Employed","749","0.439055934843431","0.41346808036089","0.464643789325972"
"2","1989","35-65 y.","Employed","1863","0.457944273977754","0.441345516630604","0.474543031324903"
"2","1989","66 and older","Not Employed","494","0.562036476051268","0.531005633413213","0.593067318689324"
"2","1989","66 and older","Employed","11","","",""
"3","1989","16-34 y.","Not Employed","23","","",""
"3","1989","16-34 y.","Employed","76","0.0365139205831138","0.0295176460442965","0.0435101951219312"
"3","1989","35-65 y.","Not Employed","21","","",""
"3","1989","35-65 y.","Employed","49","0.0154653188144051","0.0113543683886071","0.0195762692402031"
"3","1989","66 and older","Not Employed","11","","",""
"3","1989","66 and older","Employed","","","",""
"4","1989","16-34 y.","Not Employed","2","","",""
"4","1989","16-34 y.","Employed","7","","",""
"4","1989","35-65 y.","Not Employed","1","","",""
"4","1989","35-65 y.","Employed","1","","",""
"4","1989","66 and older","Not Employed","3","","",""
"4","1989","66 and older","Employed","","","",""
"5","1989","16-34 y.","Not Employed","","","",""
"5","1989","16-34 y.","Employed","","","",""
"5","1989","35-65 y.","Not Employed","","","",""
"5","1989","35-65 y.","Employed","","","",""
"5","1989","66 and older","Not Employed","","","",""
"5","1989","66 and older","Employed","","","",""
"1","1990","16-34 y.","Not Employed","337","0.456562628743441","0.424340689022822","0.488784568464061"
"1","1990","16-34 y.","Employed","892","0.366216165513531","0.348173885892934","0.384258445134127"
"1","1990","35-65 y.","Not Employed","658","0.530039705515512","0.503988770212166","0.556090640818859"
"1","1990","35-65 y.","Employed","1554","0.527661753519927","0.510851248724977","0.544472258314876"
"1","1990","66 and older","Not Employed","495","0.418409189127801","0.38809143758337","0.448726940672231"
"1","1990","66 and older","Employed","35","0.735716418728441","0.605426123406874","0.866006714050008"
"2","1990","16-34 y.","Not Employed","554","0.499944001839752","0.467599776649016","0.532288227030487"
"2","1990","16-34 y.","Employed","1748","0.586612961840304","0.56817103350984","0.605054890170767"
"2","1990","35-65 y.","Not Employed","729","0.447383137658944","0.421429967953507","0.473336307364381"
"2","1990","35-65 y.","Employed","1783","0.456664269133717","0.439891335082431","0.473437203185003"
"2","1990","66 and older","Not Employed","510","0.56558532987423","0.535121189763357","0.596049469985103"
"2","1990","66 and older","Employed","9","","",""
"3","1990","16-34 y.","Not Employed","27","","",""
"3","1990","16-34 y.","Employed","98","0.04710492981222","0.0391706448275043","0.0550392147969358"
"3","1990","35-65 y.","Not Employed","21","","",""
"3","1990","35-65 y.","Employed","50","0.0156192427139757","0.0114439403174082","0.0197945451105431"
"3","1990","66 and older","Not Employed","11","","",""
"3","1990","66 and older","Employed","","","",""
"4","1990","16-34 y.","Not Employed","","","",""
"4","1990","16-34 y.","Employed","1","","",""
"4","1990","35-65 y.","Not Employed","2","","",""
"4","1990","35-65 y.","Employed","1","","",""
"4","1990","66 and older","Not Employed","1","","",""
"4","1990","66 and older","Employed","","","",""
"5","1990","16-34 y.","Not Employed","","","",""
"5","1990","16-34 y.","Employed","","","",""
"5","1990","35-65 y.","Not Employed","","","",""
"5","1990","35-65 y.","Employed","","","",""
"5","1990","66 and older","Not Employed","","","",""
"5","1990","66 and older","Employed","","","",""
"1","1991","16-34 y.","Not Employed","325","0.449701796024739","0.417219474995376","0.482184117054103"
"1","1991","16-34 y.","Employed","829","0.343977923351901","0.326132430650017","0.361823416053785"
"1","1991","35-65 y.","Not Employed","639","0.536843396999109","0.510075099262227","0.563611694735992"
"1","1991","35-65 y.","Employed","1593","0.528329276423679","0.511628131284297","0.545030421563061"
"1","1991","66 and older","Not Employed","526","0.446276886736248","0.415991966127729","0.476561807344768"
"1","1991","66 and older","Employed","24","","",""
"2","1991","16-34 y.","Not Employed","550","0.503064048743155","0.470416728068767","0.535711369417542"
"2","1991","16-34 y.","Employed","1790","0.606670357445941","0.588319398780549","0.625021316111334"
"2","1991","35-65 y.","Not Employed","667","0.44114900424646","0.414494311389471","0.46780369710345"
"2","1991","35-65 y.","Employed","1792","0.457457629710199","0.440790273415908","0.474124986004491"
"2","1991","66 and older","Not Employed","494","0.532216007022497","0.501818038522343","0.562613975522652"
"2","1991","66 and older","Employed","17","","",""
"3","1991","16-34 y.","Not Employed","25","","",""
"3","1991","16-34 y.","Employed","98","0.0473168870779962","0.0393408650136906","0.0552929091423019"
"3","1991","35-65 y.","Not Employed","26","","",""
"3","1991","35-65 y.","Employed","41","0.0132300627789556","0.00940742314045013","0.0170527024174611"
"3","1991","66 and older","Not Employed","11","","",""
"3","1991","66 and older","Employed","","","",""
"4","1991","16-34 y.","Not Employed","1","","",""
"4","1991","16-34 y.","Employed","5","","",""
"4","1991","35-65 y.","Not Employed","1","","",""
"4","1991","35-65 y.","Employed","6","","",""
"4","1991","66 and older","Not Employed","4","","",""
"4","1991","66 and older","Employed","","","",""
"5","1991","16-34 y.","Not Employed","","","",""
"5","1991","16-34 y.","Employed","","","",""
"5","1991","35-65 y.","Not Employed","","","",""
"5","1991","35-65 y.","Employed","","","",""
"5","1991","66 and older","Not Employed","","","",""
"5","1991","66 and older","Employed","","","",""
"1","1992","16-34 y.","Not Employed","406","0.407981906050451","0.379552676613855","0.436411135487047"
"1","1992","16-34 y.","Employed","1131","0.322166535638709","0.307409243719842","0.336923827557576"
"1","1992","35-65 y.","Not Employed","753","0.496513354907716","0.472647403569161","0.520379306246271"
"1","1992","35-65 y.","Employed","2209","0.483596930665965","0.470046873764392","0.497146987567537"
"1","1992","66 and older","Not Employed","673","0.424750081202317","0.399237142880469","0.450263019524165"
"1","1992","66 and older","Employed","22","","",""
"2","1992","16-34 y.","Not Employed","708","0.55307306716939","0.524313213922567","0.581832920416212"
"2","1992","16-34 y.","Employed","2573","0.6271979848896","0.611927725842555","0.642468243936646"
"2","1992","35-65 y.","Not Employed","909","0.486223032837603","0.462365562901706","0.5100805027735"
"2","1992","35-65 y.","Employed","2906","0.495560199310956","0.482003379434396","0.509117019187516"
"2","1992","66 and older","Not Employed","744","0.551619691714129","0.52595071198217","0.577288671446087"
"2","1992","66 and older","Employed","16","","",""
"3","1992","16-34 y.","Not Employed","34","0.0389450267801597","0.0277538111014592","0.0501362424588603"
"3","1992","16-34 y.","Employed","147","0.0502627503835508","0.0433630566668185","0.0571624441002831"
"3","1992","35-65 y.","Not Employed","21","","",""
"3","1992","35-65 y.","Employed","107","0.0198629481615512","0.0160796532026844","0.023646243120418"
"3","1992","66 and older","Not Employed","24","","",""
"3","1992","66 and older","Employed","","","",""
"4","1992","16-34 y.","Not Employed","","","",""
"4","1992","16-34 y.","Employed","1","","",""
"4","1992","35-65 y.","Not Employed","3","","",""
"4","1992","35-65 y.","Employed","3","","",""
"4","1992","66 and older","Not Employed","1","","",""
"4","1992","66 and older","Employed","","","",""
"5","1992","16-34 y.","Not Employed","","","",""
"5","1992","16-34 y.","Employed","","","",""
"5","1992","35-65 y.","Not Employed","","","",""
"5","1992","35-65 y.","Employed","","","",""
"5","1992","66 and older","Not Employed","","","",""
"5","1992","66 and older","Employed","","","",""
"1","1993","16-34 y.","Not Employed","387","0.385353344699821","0.357526018083776","0.413180671315867"
"1","1993","16-34 y.","Employed","1097","0.31844410933544","0.303521405539707","0.333366813131174"
"1","1993","35-65 y.","Not Employed","770","0.487722951289831","0.464669908095491","0.510775994484171"
"1","1993","35-65 y.","Employed","2176","0.501475437714007","0.487549453886168","0.515401421541846"
"1","1993","66 and older","Not Employed","676","0.434418274923836","0.409009944291268","0.459826605556404"
"1","1993","66 and older","Employed","23","","",""
"2","1993","16-34 y.","Not Employed","750","0.574429413465047","0.546158926164474","0.602699900765619"
"2","1993","16-34 y.","Employed","2478","0.62889159201607","0.61341702656513","0.644366157467009"
"2","1993","35-65 y.","Not Employed","1003","0.482094642249093","0.459049437425748","0.505139847072438"
"2","1993","35-65 y.","Employed","2690","0.48055150329678","0.466635997711104","0.494467008882457"
"2","1993","66 and older","Not Employed","758","0.541776847905924","0.516236715759192","0.567316980052655"
"2","1993","66 and older","Employed","14","","",""
"3","1993","16-34 y.","Not Employed","38","0.040217241835132","0.0289835690138828","0.0514509146563813"
"3","1993","16-34 y.","Employed","169","0.05266429864849","0.0455096176374153","0.0598189796595646"
"3","1993","35-65 y.","Not Employed","33","0.0301824064610762","0.0222917855527818","0.0380730273693706"
"3","1993","35-65 y.","Employed","86","0.0179730589892127","0.014272814043519","0.0216733039349064"
"3","1993","66 and older","Not Employed","28","","",""
"3","1993","66 and older","Employed","","","",""
"4","1993","16-34 y.","Not Employed","","","",""
"4","1993","16-34 y.","Employed","","","",""
"4","1993","35-65 y.","Not Employed","","","",""
"4","1993","35-65 y.","Employed","","","",""
"4","1993","66 and older","Not Employed","","","",""
"4","1993","66 and older","Employed","","","",""
"5","1993","16-34 y.","Not Employed","","","",""
"5","1993","16-34 y.","Employed","","","",""
"5","1993","35-65 y.","Not Employed","","","",""
"5","1993","35-65 y.","Employed","","","",""
"5","1993","66 and older","Not Employed","","","",""
"5","1993","66 and older","Employed","","","",""
"1","1994","16-34 y.","Not Employed","420","0.408908672961666","0.38136652312237","0.436450822800963"
"1","1994","16-34 y.","Employed","1046","0.307154601152334","0.292066413743645","0.322242788561023"
"1","1994","35-65 y.","Not Employed","804","0.486099304553972","0.463524446222163","0.508674162885782"
"1","1994","35-65 y.","Employed","2130","0.506097840487133","0.491836222624693","0.520359458349573"
"1","1994","66 and older","Not Employed","689","0.434586859303656","0.409332376589591","0.459841342017721"
"1","1994","66 and older","Employed","25","","",""
"2","1994","16-34 y.","Not Employed","758","0.546168088098886","0.518276832982457","0.574059343215315"
"2","1994","16-34 y.","Employed","2404","0.651741959770667","0.636159758653145","0.667324160888188"
"2","1994","35-65 y.","Not Employed","1048","0.492162142019174","0.469581329258276","0.514742954780071"
"2","1994","35-65 y.","Employed","2497","0.472893339481833","0.458651635932465","0.4871350430312"
"2","1994","66 and older","Not Employed","767","0.536561978457824","0.511156755456551","0.561967201459098"
"2","1994","66 and older","Employed","15","","",""
"3","1994","16-34 y.","Not Employed","46","0.0449232389394471","0.0333191232046312","0.056527354674263"
"3","1994","16-34 y.","Employed","141","0.0411034390769993","0.0346101408599332","0.0475967372940653"
"3","1994","35-65 y.","Not Employed","31","0.021738553426854","0.0151518862280272","0.0283252206256807"
"3","1994","35-65 y.","Employed","94","0.0210088200310344","0.0169178969788961","0.0250997430831726"
"3","1994","66 and older","Not Employed","24","","",""
"3","1994","66 and older","Employed","","","",""
"4","1994","16-34 y.","Not Employed","","","",""
"4","1994","16-34 y.","Employed","","","",""
"4","1994","35-65 y.","Not Employed","","","",""
"4","1994","35-65 y.","Employed","","","",""
"4","1994","66 and older","Not Employed","","","",""
"4","1994","66 and older","Employed","","","",""
"5","1994","16-34 y.","Not Employed","","","",""
"5","1994","16-34 y.","Employed","","","",""
"5","1994","35-65 y.","Not Employed","","","",""
"5","1994","35-65 y.","Employed","","","",""
"5","1994","66 and older","Not Employed","","","",""
"5","1994","66 and older","Employed","","","",""
"1","1995","16-34 y.","Not Employed","421","0.363301216507569","0.337824303565602","0.388778129449536"
"1","1995","16-34 y.","Employed","1060","0.323125944076544","0.307834118657751","0.338417769495337"
"1","1995","35-65 y.","Not Employed","791","0.484568389848256","0.462432101058544","0.506704678637968"
"1","1995","35-65 y.","Employed","2194","0.506215720399705","0.492211342220204","0.520220098579206"
"1","1995","66 and older","Not Employed","697","0.456211752023851","0.431097861200346","0.481325642847356"
"1","1995","66 and older","Employed","25","","",""
"2","1995","16-34 y.","Not Employed","893","0.573962767373214","0.547768153266416","0.600157381480011"
"2","1995","16-34 y.","Employed","2374","0.621155224311325","0.605293507025667","0.637016941596984"
"2","1995","35-65 y.","Not Employed","1121","0.490610658949542","0.468467725052647","0.512753592846437"
"2","1995","35-65 y.","Employed","2616","0.47627832688229","0.462288637576768","0.490268016187812"
"2","1995","66 and older","Not Employed","779","0.513297133419886","0.488095294559662","0.53849897228011"
"2","1995","66 and older","Employed","17","","",""
"3","1995","16-34 y.","Not Employed","55","0.0627360161192174","0.0498909661046985","0.0755810661337362"
"3","1995","16-34 y.","Employed","159","0.0557188316121312","0.0482186609217237","0.0632190023025387"
"3","1995","35-65 y.","Not Employed","46","0.0248209512022015","0.0179297784260199","0.0317121239783832"
"3","1995","35-65 y.","Employed","86","0.0175059527180056","0.0138324088879066","0.0211794965481046"
"3","1995","66 and older","Not Employed","35","0.0304911145562629","0.021821926868674","0.0391603022438517"
"3","1995","66 and older","Employed","1","","",""
"4","1995","16-34 y.","Not Employed","","","",""
"4","1995","16-34 y.","Employed","","","",""
"4","1995","35-65 y.","Not Employed","","","",""
"4","1995","35-65 y.","Employed","","","",""
"4","1995","66 and older","Not Employed","","","",""
"4","1995","66 and older","Employed","","","",""
"5","1995","16-34 y.","Not Employed","","","",""
"5","1995","16-34 y.","Employed","","","",""
"5","1995","35-65 y.","Not Employed","","","",""
"5","1995","35-65 y.","Employed","","","",""
"5","1995","66 and older","Not Employed","","","",""
"5","1995","66 and older","Employed","","","",""
"1","1996","16-34 y.","Not Employed","416","0.38181255747455","0.355197445385469","0.408427669563632"
"1","1996","16-34 y.","Employed","1046","0.32540379872313","0.309884028374925","0.340923569071334"
"1","1996","35-65 y.","Not Employed","776","0.495378229435163","0.47267471377009","0.518081745100236"
"1","1996","35-65 y.","Employed","2257","0.501369567249323","0.487372733227066","0.51536640127158"
"1","1996","66 and older","Not Employed","696","0.45476655401268","0.429799234638457","0.479733873386904"
"1","1996","66 and older","Employed","30","0.503913199451982","0.366692475554428","0.641133923349536"
"2","1996","16-34 y.","Not Employed","820","0.583048706234946","0.556037860219708","0.610059552250183"
"2","1996","16-34 y.","Employed","2295","0.627083684117945","0.611065234531155","0.643102133704736"
"2","1996","35-65 y.","Not Employed","1047","0.48480446307262","0.462110464967391","0.507498461177849"
"2","1996","35-65 y.","Employed","2538","0.474375272957948","0.460396779969932","0.488353765945963"
"2","1996","66 and older","Not Employed","796","0.513646238164365","0.488585456693227","0.538707019635502"
"2","1996","66 and older","Employed","20","","",""
"3","1996","16-34 y.","Not Employed","44","0.035138736290504","0.0250515832220392","0.0452258893589687"
"3","1996","16-34 y.","Employed","160","0.0475125171589248","0.0404658185983514","0.0545592157194982"
"3","1996","35-65 y.","Not Employed","40","0.0198173074922166","0.0134885638736777","0.0261460511107556"
"3","1996","35-65 y.","Employed","107","0.0242551597927292","0.0199485885177922","0.0285617310676661"
"3","1996","66 and older","Not Employed","36","0.031587207822955","0.0228177591287648","0.0403566565171451"
"3","1996","66 and older","Employed","1","","",""
"4","1996","16-34 y.","Not Employed","","","",""
"4","1996","16-34 y.","Employed","","","",""
"4","1996","35-65 y.","Not Employed","","","",""
"4","1996","35-65 y.","Employed","","","",""
"4","1996","66 and older","Not Employed","","","",""
"4","1996","66 and older","Employed","","","",""
"5","1996","16-34 y.","Not Employed","","","",""
"5","1996","16-34 y.","Employed","","","",""
"5","1996","35-65 y.","Not Employed","","","",""
"5","1996","35-65 y.","Employed","","","",""
"5","1996","66 and older","Not Employed","","","",""
"5","1996","66 and older","Employed","","","",""
"1","1997","16-34 y.","Not Employed","478","0.399027376391614","0.372589956019312","0.425464796763917"
"1","1997","16-34 y.","Employed","1008","0.323204762394728","0.307290833145673","0.339118691643782"
"1","1997","35-65 y.","Not Employed","794","0.497865421770021","0.475233913328823","0.520496930211218"
"1","1997","35-65 y.","Employed","2317","0.516970504986604","0.502820561223902","0.531120448749307"
"1","1997","66 and older","Not Employed","699","0.449687462948215","0.424993822131744","0.474381103764686"
"1","1997","66 and older","Employed","33","0.5662254305603","0.434041719617884","0.698409141502716"
"2","1997","16-34 y.","Not Employed","802","0.565982263175627","0.539224763082598","0.592739763268656"
"2","1997","16-34 y.","Employed","2167","0.632863388204597","0.616462070774842","0.649264705634351"
"2","1997","35-65 y.","Not Employed","1045","0.481319876709627","0.458703962081574","0.50393579133768"
"2","1997","35-65 y.","Employed","2378","0.459979900084347","0.445867223297121","0.474092576871574"
"2","1997","66 and older","Not Employed","828","0.51714977372646","0.492344762806901","0.541954784646019"
"2","1997","66 and older","Employed","21","","",""
"3","1997","16-34 y.","Not Employed","38","0.0349903604327588","0.0250699321977082","0.0449107886678094"
"3","1997","16-34 y.","Employed","143","0.0439318494006756","0.0369584575694454","0.0509052412319057"
"3","1997","35-65 y.","Not Employed","36","0.0208147015203525","0.0143527307246212","0.0272766723160838"
"3","1997","35-65 y.","Employed","96","0.0230495949290482","0.0188004366072346","0.0272987532508619"
"3","1997","66 and older","Not Employed","32","0.0331627633253252","0.0242742920474937","0.0420512346031567"
"3","1997","66 and older","Employed","","","",""
"4","1997","16-34 y.","Not Employed","","","",""
"4","1997","16-34 y.","Employed","","","",""
"4","1997","35-65 y.","Not Employed","","","",""
"4","1997","35-65 y.","Employed","","","",""
"4","1997","66 and older","Not Employed","","","",""
"4","1997","66 and older","Employed","","","",""
"5","1997","16-34 y.","Not Employed","","","",""
"5","1997","16-34 y.","Employed","","","",""
"5","1997","35-65 y.","Not Employed","","","",""
"5","1997","35-65 y.","Employed","","","",""
"5","1997","66 and older","Not Employed","","","",""
"5","1997","66 and older","Employed","","","",""
"1","1998","16-34 y.","Not Employed","532","0.401302171811748","0.375626390406614","0.426977953216882"
"1","1998","16-34 y.","Employed","1122","0.325994575319917","0.31043192417225","0.341557226467583"
