"hgowner","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"3","1993","Couple + C. GT 16 ","East Germany","4","","",""
"3","1993","Couple + C. LE and GT 16","West Germany","4","","",""
"3","1993","Couple + C. LE and GT 16","East Germany","","","",""
"4","1993","1-pers.-HH","West Germany","","","",""
"4","1993","1-pers.-HH","East Germany","","","",""
"4","1993","(Married) couple without C. ","West Germany","","","",""
"4","1993","(Married) couple without C. ","East Germany","","","",""
"4","1993","Single parent ","West Germany","","","",""
"4","1993","Single parent ","East Germany","","","",""
"4","1993","Couple + C. LE 16 ","West Germany","","","",""
"4","1993","Couple + C. LE 16 ","East Germany","","","",""
"4","1993","Couple + C. GT 16 ","West Germany","","","",""
"4","1993","Couple + C. GT 16 ","East Germany","","","",""
"4","1993","Couple + C. LE and GT 16","West Germany","","","",""
"4","1993","Couple + C. LE and GT 16","East Germany","","","",""
"5","1993","1-pers.-HH","West Germany","","","",""
"5","1993","1-pers.-HH","East Germany","","","",""
"5","1993","(Married) couple without C. ","West Germany","","","",""
"5","1993","(Married) couple without C. ","East Germany","","","",""
"5","1993","Single parent ","West Germany","","","",""
"5","1993","Single parent ","East Germany","","","",""
"5","1993","Couple + C. LE 16 ","West Germany","","","",""
"5","1993","Couple + C. LE 16 ","East Germany","","","",""
"5","1993","Couple + C. GT 16 ","West Germany","","","",""
"5","1993","Couple + C. GT 16 ","East Germany","","","",""
"5","1993","Couple + C. LE and GT 16","West Germany","","","",""
"5","1993","Couple + C. LE and GT 16","East Germany","","","",""
"1","1994","1-pers.-HH","West Germany","246","0.235765610368094","0.210554749932769","0.26097647080342"
"1","1994","1-pers.-HH","East Germany","42","0.122808544743668","0.087014702581855","0.158602386905481"
"1","1994","(Married) couple without C. ","West Germany","998","0.488895085502141","0.46903639221204","0.508753778792242"
"1","1994","(Married) couple without C. ","East Germany","281","0.310150137437594","0.281056249876064","0.339244024999123"
"1","1994","Single parent ","West Germany","139","0.372856969067934","0.326555420935393","0.419158517200475"
"1","1994","Single parent ","East Germany","39","0.249988870807673","0.183103776411344","0.316873965204002"
"1","1994","Couple + C. LE 16 ","West Germany","803","0.495523721292085","0.47377940638637","0.517268036197801"
"1","1994","Couple + C. LE 16 ","East Germany","324","0.306853212841195","0.278182872823729","0.335523552858661"
"1","1994","Couple + C. GT 16 ","West Germany","971","0.682883472192771","0.660986650036745","0.704780294348796"
"1","1994","Couple + C. GT 16 ","East Germany","310","0.430913211135556","0.395014937888574","0.466811484382537"
"1","1994","Couple + C. LE and GT 16","West Germany","342","0.547370119790811","0.513343066949416","0.581397172632206"
"1","1994","Couple + C. LE and GT 16","East Germany","166","0.43065529775513","0.3795048570793","0.481805738430959"
"2","1994","1-pers.-HH","West Germany","769","0.696103369755407","0.668786309449139","0.723420430061675"
"2","1994","1-pers.-HH","East Germany","258","0.814231217428092","0.771817428391634","0.856645006464551"
"2","1994","(Married) couple without C. ","West Germany","1368","0.486510515692421","0.466654152996627","0.506366878388215"
"2","1994","(Married) couple without C. ","East Germany","659","0.668571655687872","0.638963777863272","0.698179533512473"
"2","1994","Single parent ","West Germany","271","0.594312697046452","0.547296847096087","0.641328546996817"
"2","1994","Single parent ","East Germany","118","0.728205710547453","0.659485836152237","0.796925584942669"
"2","1994","Couple + C. LE 16 ","West Germany","1188","0.489108333290915","0.46736830675371","0.51084835982812"
"2","1994","Couple + C. LE 16 ","East Germany","641","0.667258952792048","0.637966530050975","0.696551375533122"
"2","1994","Couple + C. GT 16 ","West Germany","749","0.307040881660167","0.285336357920298","0.328745405400037"
"2","1994","Couple + C. GT 16 ","East Germany","414","0.558397707398147","0.522399831491668","0.594395583304626"
"2","1994","Couple + C. LE and GT 16","West Germany","472","0.448242996075819","0.41424581833631","0.482240173815328"
"2","1994","Couple + C. LE and GT 16","East Germany","191","0.562784719872065","0.511543948947282","0.614025490796848"
"3","1994","1-pers.-HH","West Germany","74","0.0681310198764987","0.053165768238571","0.0830962715144264"
"3","1994","1-pers.-HH","East Germany","23","","",""
"3","1994","(Married) couple without C. ","West Germany","68","0.0245943988054377","0.0184412342150729","0.0307475633958025"
"3","1994","(Married) couple without C. ","East Germany","31","0.0212782068745342","0.0122013472519255","0.0303550664971428"
"3","1994","Single parent ","West Germany","9","","",""
"3","1994","Single parent ","East Germany","4","","",""
"3","1994","Couple + C. LE 16 ","West Germany","40","0.0153679454169993","0.0100181395950707","0.0207177512389279"
"3","1994","Couple + C. LE 16 ","East Germany","29","","",""
"3","1994","Couple + C. GT 16 ","West Germany","15","","",""
"3","1994","Couple + C. GT 16 ","East Germany","7","","",""
"3","1994","Couple + C. LE and GT 16","West Germany","8","","",""
"3","1994","Couple + C. LE and GT 16","East Germany","3","","",""
"4","1994","1-pers.-HH","West Germany","","","",""
"4","1994","1-pers.-HH","East Germany","","","",""
"4","1994","(Married) couple without C. ","West Germany","","","",""
"4","1994","(Married) couple without C. ","East Germany","","","",""
"4","1994","Single parent ","West Germany","","","",""
"4","1994","Single parent ","East Germany","","","",""
"4","1994","Couple + C. LE 16 ","West Germany","","","",""
"4","1994","Couple + C. LE 16 ","East Germany","","","",""
"4","1994","Couple + C. GT 16 ","West Germany","","","",""
"4","1994","Couple + C. GT 16 ","East Germany","","","",""
"4","1994","Couple + C. LE and GT 16","West Germany","","","",""
"4","1994","Couple + C. LE and GT 16","East Germany","","","",""
"5","1994","1-pers.-HH","West Germany","","","",""
"5","1994","1-pers.-HH","East Germany","","","",""
"5","1994","(Married) couple without C. ","West Germany","","","",""
"5","1994","(Married) couple without C. ","East Germany","","","",""
"5","1994","Single parent ","West Germany","","","",""
"5","1994","Single parent ","East Germany","","","",""
"5","1994","Couple + C. LE 16 ","West Germany","","","",""
"5","1994","Couple + C. LE 16 ","East Germany","","","",""
"5","1994","Couple + C. GT 16 ","West Germany","","","",""
"5","1994","Couple + C. GT 16 ","East Germany","","","",""
"5","1994","Couple + C. LE and GT 16","West Germany","","","",""
"5","1994","Couple + C. LE and GT 16","East Germany","","","",""
"1","1995","1-pers.-HH","West Germany","249","0.247450347988451","0.22225631190232","0.272644384074582"
"1","1995","1-pers.-HH","East Germany","43","0.125800781392273","0.0901825090236978","0.161419053760848"
"1","1995","(Married) couple without C. ","West Germany","1012","0.482575359587761","0.463169193530943","0.501981525644579"
"1","1995","(Married) couple without C. ","East Germany","296","0.334519219624468","0.304979025207247","0.364059414041689"
"1","1995","Single parent ","West Germany","152","0.405812202431511","0.360442466722735","0.451181938140288"
"1","1995","Single parent ","East Germany","36","0.260887475629726","0.194087555528413","0.327687395731038"
"1","1995","Couple + C. LE 16 ","West Germany","870","0.512707421848552","0.492086313127179","0.533328530569925"
"1","1995","Couple + C. LE 16 ","East Germany","298","0.316217286039739","0.285854783940816","0.346579788138662"
"1","1995","Couple + C. GT 16 ","West Germany","954","0.677070508443787","0.655396704681508","0.698744312206066"
"1","1995","Couple + C. GT 16 ","East Germany","318","0.458828759144328","0.422405708634944","0.495251809653712"
"1","1995","Couple + C. LE and GT 16","West Germany","334","0.516000990292521","0.482697669449613","0.549304311135428"
"1","1995","Couple + C. LE and GT 16","East Germany","192","0.511018216965072","0.461085838072316","0.560950595857828"
"2","1995","1-pers.-HH","West Germany","798","0.68430559472049","0.65716967029489","0.71144151914609"
"2","1995","1-pers.-HH","East Germany","265","0.811917826796888","0.769946197356386","0.853889456237391"
"2","1995","(Married) couple without C. ","West Germany","1458","0.483061533456199","0.463654718205721","0.502468348706677"
"2","1995","(Married) couple without C. ","East Germany","654","0.64234631174735","0.612337346223388","0.672355277271312"
"2","1995","Single parent ","West Germany","288","0.559296806716709","0.513426029079808","0.60516758435361"
"2","1995","Single parent ","East Germany","126","0.720071162904413","0.651773541878408","0.788368783930418"
"2","1995","Couple + C. LE 16 ","West Germany","1342","0.467848080230489","0.447263000475852","0.488433159985126"
"2","1995","Couple + C. LE 16 ","East Germany","570","0.648999754713493","0.617835146476987","0.680164362949999"
"2","1995","Couple + C. GT 16 ","West Germany","814","0.311905065678716","0.290431719368421","0.33337841198901"
"2","1995","Couple + C. GT 16 ","East Germany","386","0.517011544646666","0.480485542415766","0.553537546877567"
"2","1995","Couple + C. LE and GT 16","West Germany","522","0.479731299146893","0.446438300418214","0.513024297875572"
"2","1995","Couple + C. LE and GT 16","East Germany","187","0.478925840442396","0.429025715889297","0.528825964995496"
"3","1995","1-pers.-HH","West Germany","80","0.0682440572910587","0.0535219615364477","0.0829661530456697"
"3","1995","1-pers.-HH","East Germany","25","","",""
"3","1995","(Married) couple without C. ","West Germany","77","0.03436310695604","0.0272887534869317","0.0414374604251484"
"3","1995","(Married) couple without C. ","East Germany","30","0.0231344686281822","0.0137224623013166","0.0325464749550478"
"3","1995","Single parent ","West Germany","10","","",""
"3","1995","Single parent ","East Germany","4","","",""
"3","1995","Couple + C. LE 16 ","West Germany","45","0.0194444979209592","0.0137478842368227","0.0251411116050958"
"3","1995","Couple + C. LE 16 ","East Germany","33","0.0347829592467679","0.0228188202523106","0.0467470982412252"
"3","1995","Couple + C. GT 16 ","West Germany","20","","",""
"3","1995","Couple + C. GT 16 ","East Germany","15","","",""
"3","1995","Couple + C. LE and GT 16","West Germany","9","","",""
"3","1995","Couple + C. LE and GT 16","East Germany","6","","",""
"4","1995","1-pers.-HH","West Germany","","","",""
"4","1995","1-pers.-HH","East Germany","","","",""
"4","1995","(Married) couple without C. ","West Germany","","","",""
"4","1995","(Married) couple without C. ","East Germany","","","",""
"4","1995","Single parent ","West Germany","","","",""
"4","1995","Single parent ","East Germany","","","",""
"4","1995","Couple + C. LE 16 ","West Germany","","","",""
"4","1995","Couple + C. LE 16 ","East Germany","","","",""
"4","1995","Couple + C. GT 16 ","West Germany","","","",""
"4","1995","Couple + C. GT 16 ","East Germany","","","",""
"4","1995","Couple + C. LE and GT 16","West Germany","","","",""
"4","1995","Couple + C. LE and GT 16","East Germany","","","",""
"5","1995","1-pers.-HH","West Germany","","","",""
"5","1995","1-pers.-HH","East Germany","","","",""
"5","1995","(Married) couple without C. ","West Germany","","","",""
"5","1995","(Married) couple without C. ","East Germany","","","",""
"5","1995","Single parent ","West Germany","","","",""
"5","1995","Single parent ","East Germany","","","",""
"5","1995","Couple + C. LE 16 ","West Germany","","","",""
"5","1995","Couple + C. LE 16 ","East Germany","","","",""
"5","1995","Couple + C. GT 16 ","West Germany","","","",""
"5","1995","Couple + C. GT 16 ","East Germany","","","",""
"5","1995","Couple + C. LE and GT 16","West Germany","","","",""
"5","1995","Couple + C. LE and GT 16","East Germany","","","",""
"1","1996","1-pers.-HH","West Germany","252","0.24422601161927","0.219264614544073","0.269187408694467"
"1","1996","1-pers.-HH","East Germany","41","0.106442353931797","0.0742245983759115","0.138660109487683"
"1","1996","(Married) couple without C. ","West Germany","1023","0.502315339721378","0.482820897301178","0.521809782141579"
"1","1996","(Married) couple without C. ","East Germany","327","0.337488200550492","0.308805241879029","0.366171159221956"
"1","1996","Single parent ","West Germany","158","0.375411113535619","0.332226880139477","0.41859534693176"
"1","1996","Single parent ","East Germany","38","0.23566348355043","0.172051566099237","0.299275401001624"
"1","1996","Couple + C. LE 16 ","West Germany","889","0.509988029432836","0.489027333093177","0.530948725772495"
"1","1996","Couple + C. LE 16 ","East Germany","298","0.332428095366135","0.300263183096298","0.364593007635972"
"1","1996","Couple + C. GT 16 ","West Germany","909","0.660931538445141","0.638428271798875","0.683434805091406"
"1","1996","Couple + C. GT 16 ","East Germany","321","0.468116951374108","0.430529834413243","0.505704068334972"
"1","1996","Couple + C. LE and GT 16","West Germany","354","0.558056378634868","0.524591798321932","0.591520958947805"
"1","1996","Couple + C. LE and GT 16","East Germany","208","0.515924401352232","0.467432675687225","0.564416127017238"
"2","1996","1-pers.-HH","West Germany","809","0.687553166188477","0.660624293866259","0.714482038510695"
"2","1996","1-pers.-HH","East Germany","287","0.833364438933904","0.794435005287712","0.872293872580096"
"2","1996","(Married) couple without C. ","West Germany","1429","0.477188585713028","0.457714233344151","0.496662938081906"
"2","1996","(Married) couple without C. ","East Germany","692","0.635391820267732","0.606195248819714","0.66458839171575"
"2","1996","Single parent ","West Germany","310","0.591089669221642","0.547245156120152","0.634934182323133"
"2","1996","Single parent ","East Germany","127","0.734596845992876","0.66841671760802","0.800776974377732"
"2","1996","Couple + C. LE 16 ","West Germany","1248","0.471561790113892","0.450630847810872","0.492492732416913"
"2","1996","Couple + C. LE 16 ","East Germany","497","0.630037981189785","0.59707348663308","0.66300247574649"
"2","1996","Couple + C. GT 16 ","West Germany","758","0.326937554251398","0.304638640142908","0.349236468359888"
"2","1996","Couple + C. GT 16 ","East Germany","349","0.523538137349183","0.485916127693921","0.561160147004445"
"2","1996","Couple + C. LE and GT 16","West Germany","479","0.431406049907101","0.398032135919698","0.464779963894504"
"2","1996","Couple + C. LE and GT 16","East Germany","197","0.475341196259799","0.426883895448635","0.523798497070963"
"3","1996","1-pers.-HH","West Germany","77","0.0682208221922528","0.0535723633499039","0.0828692810346018"
"3","1996","1-pers.-HH","East Germany","24","","",""
"3","1996","(Married) couple without C. ","West Germany","75","0.0204960745655934","0.0149716899565045","0.0260204591746823"
"3","1996","(Married) couple without C. ","East Germany","25","","",""
"3","1996","Single parent ","West Germany","15","","",""
"3","1996","Single parent ","East Germany","6","","",""
"3","1996","Couple + C. LE 16 ","West Germany","48","0.0184501804532714","0.0128075857971653","0.0240927751093775"
"3","1996","Couple + C. LE 16 ","East Germany","29","","",""
"3","1996","Couple + C. GT 16 ","West Germany","33","0.0121309073034612","0.00692711479712294","0.0173346998097995"
"3","1996","Couple + C. GT 16 ","East Germany","7","","",""
"3","1996","Couple + C. LE and GT 16","West Germany","13","","",""
"3","1996","Couple + C. LE and GT 16","East Germany","3","","",""
"4","1996","1-pers.-HH","West Germany","","","",""
"4","1996","1-pers.-HH","East Germany","","","",""
"4","1996","(Married) couple without C. ","West Germany","","","",""
"4","1996","(Married) couple without C. ","East Germany","","","",""
"4","1996","Single parent ","West Germany","","","",""
"4","1996","Single parent ","East Germany","","","",""
"4","1996","Couple + C. LE 16 ","West Germany","","","",""
"4","1996","Couple + C. LE 16 ","East Germany","","","",""
"4","1996","Couple + C. GT 16 ","West Germany","","","",""
"4","1996","Couple + C. GT 16 ","East Germany","","","",""
"4","1996","Couple + C. LE and GT 16","West Germany","","","",""
"4","1996","Couple + C. LE and GT 16","East Germany","","","",""
"5","1996","1-pers.-HH","West Germany","","","",""
"5","1996","1-pers.-HH","East Germany","","","",""
"5","1996","(Married) couple without C. ","West Germany","","","",""
"5","1996","(Married) couple without C. ","East Germany","","","",""
"5","1996","Single parent ","West Germany","","","",""
"5","1996","Single parent ","East Germany","","","",""
"5","1996","Couple + C. LE 16 ","West Germany","","","",""
"5","1996","Couple + C. LE 16 ","East Germany","","","",""
"5","1996","Couple + C. GT 16 ","West Germany","","","",""
"5","1996","Couple + C. GT 16 ","East Germany","","","",""
"5","1996","Couple + C. LE and GT 16","West Germany","","","",""
"5","1996","Couple + C. LE and GT 16","East Germany","","","",""
"1","1997","1-pers.-HH","West Germany","246","0.246547712551259","0.22112382722753","0.271971597874989"
"1","1997","1-pers.-HH","East Germany","44","0.113904702398953","0.0810413465464771","0.14676805825143"
"1","1997","(Married) couple without C. ","West Germany","1076","0.507851195941703","0.488454658334755","0.527247733548651"
"1","1997","(Married) couple without C. ","East Germany","338","0.351145757046567","0.322478207343747","0.379813306749388"
"1","1997","Single parent ","West Germany","137","0.339307586892521","0.295945338073512","0.382669835711531"
"1","1997","Single parent ","East Germany","40","0.234614098557387","0.172708614935839","0.296519582178935"
"1","1997","Couple + C. LE 16 ","West Germany","887","0.51512720967963","0.493932932058921","0.53632148730034"
"1","1997","Couple + C. LE 16 ","East Germany","263","0.341849238548212","0.307008440301728","0.376690036794696"
"1","1997","Couple + C. GT 16 ","West Germany","900","0.66757816995978","0.644737023620115","0.690419316299445"
"1","1997","Couple + C. GT 16 ","East Germany","361","0.480393268432489","0.444541175106567","0.516245361758411"
"1","1997","Couple + C. LE and GT 16","West Germany","410","0.644093299206443","0.611441994470887","0.676744603941998"
"1","1997","Couple + C. LE and GT 16","East Germany","223","0.589087255933361","0.540069070815135","0.638105441051587"
"2","1997","1-pers.-HH","West Germany","787","0.690366009045976","0.663093344560944","0.717638673531008"
"2","1997","1-pers.-HH","East Germany","294","0.832653144213899","0.794039418404339","0.871266870023459"
"2","1997","(Married) couple without C. ","West Germany","1417","0.46922474475529","0.449862596405892","0.488586893104687"
"2","1997","(Married) couple without C. ","East Germany","690","0.6205564636109","0.591413244701458","0.649699682520343"
"2","1997","Single parent ","West Germany","312","0.640836519560139","0.596899047697002","0.684773991423276"
"2","1997","Single parent ","East Germany","133","0.701593015134248","0.634749549440517","0.768436480827979"
"2","1997","Couple + C. LE 16 ","West Germany","1217","0.47381789958486","0.452643006140972","0.494992793028748"
"2","1997","Couple + C. LE 16 ","East Germany","424","0.610186572806","0.574363089297263","0.646010056314737"
"2","1997","Couple + C. GT 16 ","West Germany","709","0.315835143834172","0.293296246124432","0.338374041543913"
"2","1997","Couple + C. GT 16 ","East Germany","369","0.485877389049046","0.450012014218465","0.521742763879626"
"2","1997","Couple + C. LE and GT 16","West Germany","403","0.338857413706632","0.30657885537497","0.371135972038294"
"2","1997","Couple + C. LE and GT 16","East Germany","149","0.366372172354201","0.31836888612897","0.414375458579433"
"3","1997","1-pers.-HH","West Germany","71","0.0630862784027645","0.0487452330859889","0.0774273237195402"
"3","1997","1-pers.-HH","East Germany","21","","",""
"3","1997","(Married) couple without C. ","West Germany","59","0.0229240593030078","0.0171175158908234","0.0287306027151922"
"3","1997","(Married) couple without C. ","East Germany","37","0.0282977793425322","0.0183387717691126","0.0382567869159518"
"3","1997","Single parent ","West Germany","9","","",""
"3","1997","Single parent ","East Germany","7","","",""
"3","1997","Couple + C. LE 16 ","West Germany","32","0.0110548907355096","0.00662073657908581","0.0154890448919334"
"3","1997","Couple + C. LE 16 ","East Germany","25","","",""
"3","1997","Couple + C. GT 16 ","West Germany","25","","",""
"3","1997","Couple + C. GT 16 ","East Germany","16","","",""
"3","1997","Couple + C. LE and GT 16","West Germany","13","","",""
"3","1997","Couple + C. LE and GT 16","East Germany","15","","",""
"4","1997","1-pers.-HH","West Germany","","","",""
"4","1997","1-pers.-HH","East Germany","","","",""
"4","1997","(Married) couple without C. ","West Germany","","","",""
"4","1997","(Married) couple without C. ","East Germany","","","",""
"4","1997","Single parent ","West Germany","","","",""
"4","1997","Single parent ","East Germany","","","",""
"4","1997","Couple + C. LE 16 ","West Germany","","","",""
"4","1997","Couple + C. LE 16 ","East Germany","","","",""
"4","1997","Couple + C. GT 16 ","West Germany","","","",""
"4","1997","Couple + C. GT 16 ","East Germany","","","",""
"4","1997","Couple + C. LE and GT 16","West Germany","","","",""
"4","1997","Couple + C. LE and GT 16","East Germany","","","",""
"5","1997","1-pers.-HH","West Germany","","","",""
"5","1997","1-pers.-HH","East Germany","","","",""
"5","1997","(Married) couple without C. ","West Germany","","","",""
"5","1997","(Married) couple without C. ","East Germany","","","",""
"5","1997","Single parent ","West Germany","","","",""
"5","1997","Single parent ","East Germany","","","",""
"5","1997","Couple + C. LE 16 ","West Germany","","","",""
"5","1997","Couple + C. LE 16 ","East Germany","","","",""
"5","1997","Couple + C. GT 16 ","West Germany","","","",""
"5","1997","Couple + C. GT 16 ","East Germany","","","",""
"5","1997","Couple + C. LE and GT 16","West Germany","","","",""
"5","1997","Couple + C. LE and GT 16","East Germany","","","",""
"1","1998","1-pers.-HH","West Germany","308","0.255678273755974","0.232416240235764","0.278940307276184"
"1","1998","1-pers.-HH","East Germany","63","0.154338932962938","0.119538565036225","0.189139300889651"
"1","1998","(Married) couple without C. ","West Germany","1366","0.528789421959349","0.510992300841225","0.546586543077474"
"1","1998","(Married) couple without C. ","East Germany","413","0.377961300455457","0.350130148310744","0.405792452600169"
"1","1998","Single parent ","West Germany","173","0.345605100100467","0.305117672858482","0.386092527342452"
"1","1998","Single parent ","East Germany","30","0.15684323648464","0.104298860189214","0.209387612780066"
"1","1998","Couple + C. LE 16 ","West Germany","1057","0.519226545925254","0.499073124727931","0.539379967122578"
"1","1998","Couple + C. LE 16 ","East Germany","296","0.391730171066341","0.356841789818445","0.426618552314237"
"1","1998","Couple + C. GT 16 ","West Germany","1028","0.650050609857779","0.627918293389177","0.672182926326381"
"1","1998","Couple + C. GT 16 ","East Germany","414","0.537787861361111","0.502933029740471","0.572642692981751"
"1","1998","Couple + C. LE and GT 16","West Germany","459","0.624505569999522","0.592327620007761","0.656683519991283"
"1","1998","Couple + C. LE and GT 16","East Germany","236","0.627467354410467","0.579298053368507","0.675636655452427"
"2","1998","1-pers.-HH","West Germany","946","0.664492679116874","0.639314952284361","0.689670405949387"
"2","1998","1-pers.-HH","East Germany","311","0.754908871315967","0.713474669135681","0.796343073496253"
"2","1998","(Married) couple without C. ","West Germany","1592","0.451125723118063","0.433384396325855","0.468867049910272"
"2","1998","(Married) couple without C. ","East Germany","717","0.596289485311458","0.568127554845474","0.624451415777441"
"2","1998","Single parent ","West Germany","339","0.615207330245747","0.573785021437723","0.65662963905377"
"2","1998","Single parent ","East Germany","150","0.821212332057583","0.76584728280927","0.876577381305897"
"2","1998","Couple + C. LE 16 ","West Germany","1254","0.461159286995487","0.441051893451313","0.481266680539662"
"2","1998","Couple + C. LE 16 ","East Germany","429","0.572205652463944","0.536843982744282","0.607567322183606"
"2","1998","Couple + C. GT 16 ","West Germany","715","0.32948850085403","0.307677584494705","0.351299417213354"
"2","1998","Couple + C. GT 16 ","East Germany","364","0.443249229815242","0.408520313954331","0.477978145676154"
"2","1998","Couple + C. LE and GT 16","West Germany","388","0.350162293076354","0.318464749511887","0.38185983664082"
"2","1998","Couple + C. LE and GT 16","East Germany","139","0.331292400374066","0.284398487229624","0.378186313518509"
"3","1998","1-pers.-HH","West Germany","85","0.067355000603834","0.0539901680567978","0.0807198331508701"
"3","1998","1-pers.-HH","East Germany","35","0.0744293872780592","0.0491466017314556","0.0997121728246628"
"3","1998","(Married) couple without C. ","West Germany","64","0.0200848549225873","0.0150830189509654","0.0250866908942091"
"3","1998","(Married) couple without C. ","East Germany","34","0.0232824950689149","0.0146268774695727","0.0319381126682571"
"3","1998","Single parent ","West Germany","18","","",""
"3","1998","Single parent ","East Germany","4","","",""
"3","1998","Couple + C. LE 16 ","West Germany","50","0.0196141670792582","0.0140206683195377","0.0252076658389786"
"3","1998","Couple + C. LE 16 ","East Germany","27","","",""
"3","1998","Couple + C. GT 16 ","West Germany","41","0.0204608892881913","0.0138915179818346","0.0270302605945479"
"3","1998","Couple + C. GT 16 ","East Germany","8","","",""
"3","1998","Couple + C. LE and GT 16","West Germany","23","","",""
"3","1998","Couple + C. LE and GT 16","East Germany","12","","",""
"4","1998","1-pers.-HH","West Germany","12","","",""
"4","1998","1-pers.-HH","East Germany","5","","",""
"4","1998","(Married) couple without C. ","West Germany","","","",""
"4","1998","(Married) couple without C. ","East Germany","2","","",""
"4","1998","Single parent ","West Germany","","","",""
"4","1998","Single parent ","East Germany","","","",""
"4","1998","Couple + C. LE 16 ","West Germany","","","",""
"4","1998","Couple + C. LE 16 ","East Germany","","","",""
"4","1998","Couple + C. GT 16 ","West Germany","","","",""
"4","1998","Couple + C. GT 16 ","East Germany","","","",""
"4","1998","Couple + C. LE and GT 16","West Germany","","","",""
"4","1998","Couple + C. LE and GT 16","East Germany","","","",""
"5","1998","1-pers.-HH","West Germany","","","",""
"5","1998","1-pers.-HH","East Germany","","","",""
"5","1998","(Married) couple without C. ","West Germany","","","",""
"5","1998","(Married) couple without C. ","East Germany","","","",""
"5","1998","Single parent ","West Germany","","","",""
"5","1998","Single parent ","East Germany","","","",""
"5","1998","Couple + C. LE 16 ","West Germany","","","",""
"5","1998","Couple + C. LE 16 ","East Germany","","","",""
"5","1998","Couple + C. GT 16 ","West Germany","","","",""
"5","1998","Couple + C. GT 16 ","East Germany","","","",""
"5","1998","Couple + C. LE and GT 16","West Germany","","","",""
"5","1998","Couple + C. LE and GT 16","East Germany","","","",""
"1","1999","1-pers.-HH","West Germany","296","0.257167701743494","0.233157959909541","0.281177443577446"
"1","1999","1-pers.-HH","East Germany","74","0.182940394720833","0.146226964180915","0.219653825260751"
"1","1999","(Married) couple without C. ","West Germany","1348","0.524995553114697","0.507029908982337","0.542961197247058"
"1","1999","(Married) couple without C. ","East Germany","405","0.369656315124798","0.342102676603303","0.397209953646292"
"1","1999","Single parent ","West Germany","158","0.323237856273469","0.282485570768431","0.363990141778507"
"1","1999","Single parent ","East Germany","38","0.139864344834909","0.0932847965697016","0.186443893100116"
"1","1999","Couple + C. LE 16 ","West Germany","1086","0.543757631149926","0.523463666342103","0.564051595957749"
"1","1999","Couple + C. LE 16 ","East Germany","292","0.380643750155399","0.345177811649965","0.416109688660833"
"1","1999","Couple + C. GT 16 ","West Germany","1005","0.637713299900093","0.615167538629667","0.660259061170519"
"1","1999","Couple + C. GT 16 ","East Germany","428","0.573127503641378","0.538031268263427","0.608223739019328"
"1","1999","Couple + C. LE and GT 16","West Germany","460","0.659738648964645","0.626741396876495","0.692735901052795"
"1","1999","Couple + C. LE and GT 16","East Germany","244","0.68536857998413","0.638179689998024","0.732557469970235"
"2","1999","1-pers.-HH","West Germany","888","0.670387921671482","0.644565406662059","0.696210436680905"
"2","1999","1-pers.-HH","East Germany","332","0.779880983632822","0.740536283598931","0.819225683666712"
"2","1999","(Married) couple without C. ","West Germany","1549","0.455745799218166","0.437828259545158","0.473663338891174"
"2","1999","(Married) couple without C. ","East Germany","745","0.604969897782283","0.577065467068272","0.632874328496294"
"2","1999","Single parent ","West Germany","327","0.627717854633432","0.585597581623582","0.669838127643282"
"2","1999","Single parent ","East Germany","166","0.830149198088976","0.779721381281328","0.880577014896623"
"2","1999","Couple + C. LE 16 ","West Germany","1192","0.440449159320848","0.420222037843827","0.460676280797868"
"2","1999","Couple + C. LE 16 ","East Germany","409","0.594337321971511","0.558471493179831","0.630203150763192"
"2","1999","Couple + C. GT 16 ","West Germany","707","0.344116703483074","0.321832755621124","0.366400651345024"
"2","1999","Couple + C. GT 16 ","East Germany","326","0.418899004659072","0.383891085622011","0.453906923696133"
"2","1999","Couple + C. LE and GT 16","West Germany","323","0.325725983077239","0.293087503895","0.358364462259478"
"2","1999","Couple + C. LE and GT 16","East Germany","126","0.309027218215573","0.262069665199553","0.355984771231592"
"3","1999","1-pers.-HH","West Germany","71","0.0551224261584217","0.0425856514328933","0.0676592008839501"
"3","1999","1-pers.-HH","East Germany","14","","",""
"3","1999","(Married) couple without C. ","West Germany","70","0.0184532332394261","0.0136114217501751","0.023295044728677"
"3","1999","(Married) couple without C. ","East Germany","28","","",""
"3","1999","Single parent ","West Germany","21","","",""
"3","1999","Single parent ","East Germany","9","","",""
"3","1999","Couple + C. LE 16 ","West Germany","36","0.0157932095292261","0.0107134308507202","0.020872988207732"
"3","1999","Couple + C. LE 16 ","East Germany","19","","",""
"3","1999","Couple + C. GT 16 ","West Germany","34","0.018169996616833","0.0119049898521348","0.0244350033815313"
"3","1999","Couple + C. GT 16 ","East Germany","9","","",""
"3","1999","Couple + C. LE and GT 16","West Germany","9","","",""
"3","1999","Couple + C. LE and GT 16","East Germany","2","","",""
"4","1999","1-pers.-HH","West Germany","","","",""
"4","1999","1-pers.-HH","East Germany","","","",""
"4","1999","(Married) couple without C. ","West Germany","","","",""
"4","1999","(Married) couple without C. ","East Germany","","","",""
"4","1999","Single parent ","West Germany","","","",""
"4","1999","Single parent ","East Germany","","","",""
"4","1999","Couple + C. LE 16 ","West Germany","","","",""
"4","1999","Couple + C. LE 16 ","East Germany","","","",""
"4","1999","Couple + C. GT 16 ","West Germany","","","",""
