"plh0040","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1997","16-34 y.","East Germany","720","0.619794708207375","0.591895540712537","0.647693875702213"
"Big worries","1997","35-65 y.","West Germany","2603","0.586805902815101","0.572557680669001","0.601054124961202"
"Big worries","1997","35-65 y.","East Germany","1544","0.787861984036651","0.770090907971763","0.80563306010154"
"Big worries","1997","66 and older","West Germany","816","0.726878083402696","0.701204264444052","0.75255190236134"
"Big worries","1997","66 and older","East Germany","385","0.878003426383519","0.847283033301518","0.90872381946552"
"Some worries","1997","16-34 y.","West Germany","1544","0.437669355144593","0.421091138333825","0.454247571955361"
"Some worries","1997","16-34 y.","East Germany","408","0.353786766618127","0.326306752632697","0.381266780603558"
"Some worries","1997","35-65 y.","West Germany","1816","0.376966672378584","0.362943589403986","0.390989755353181"
"Some worries","1997","35-65 y.","East Germany","471","0.204204969848292","0.186681779976376","0.221728159720209"
"Some worries","1997","66 and older","West Germany","316","0.257796802213145","0.232592099166037","0.283001505260252"
"Some worries","1997","66 and older","East Germany","51","0.121996573616481","0.0912761805344805","0.152716966698482"
"No worries","1997","16-34 y.","West Germany","213","0.0663466847739447","0.0580295966140213","0.0746637729338682"
"No worries","1997","16-34 y.","East Germany","35","0.0264185251744974","0.0172013324341765","0.0356357179148183"
"No worries","1997","35-65 y.","West Germany","169","0.036227424806315","0.0308205987226563","0.0416342508899737"
"No worries","1997","35-65 y.","East Germany","18","","",""
"No worries","1997","66 and older","West Germany","25","","",""
"No worries","1997","66 and older","East Germany","","","",""
"Big worries","1998","16-34 y.","West Germany","1651","0.454744596736633","0.438554874703843","0.470934318769423"
"Big worries","1998","16-34 y.","East Germany","606","0.511071569566883","0.482788862534647","0.539354276599118"
"Big worries","1998","35-65 y.","West Germany","2926","0.563981841772467","0.550627639400441","0.577336044144493"
"Big worries","1998","35-65 y.","East Germany","1505","0.724741261812725","0.70593594360441","0.743546580021041"
"Big worries","1998","66 and older","West Germany","949","0.705279627877156","0.681225240762101","0.72933401499221"
"Big worries","1998","66 and older","East Germany","396","0.8280836160592","0.79422379712549","0.86194343499291"
"Some worries","1998","16-34 y.","West Germany","1736","0.469134659476373","0.452909216022602","0.485360102930143"
"Some worries","1998","16-34 y.","East Germany","548","0.448471750617395","0.420332735361138","0.476610765873652"
"Some worries","1998","35-65 y.","West Germany","2142","0.393261632227283","0.380107123824189","0.406416140630377"
"Some worries","1998","35-65 y.","East Germany","642","0.266770756608429","0.248149557904205","0.285391955312653"
"Some worries","1998","66 and older","West Germany","399","0.274729308970911","0.251178213745761","0.298280404196061"
"Some worries","1998","66 and older","East Germany","74","0.153697480265663","0.121331773707627","0.1860631868237"
"No worries","1998","16-34 y.","West Germany","247","0.0761207437869946","0.067498610163481","0.0847428774105081"
"No worries","1998","16-34 y.","East Germany","46","0.040456679815722","0.0293089898859856","0.0516043697454584"
"No worries","1998","35-65 y.","West Germany","229","0.0427565260002502","0.0373084203950971","0.0482046316054032"
"No worries","1998","35-65 y.","East Germany","20","","",""
"No worries","1998","66 and older","West Germany","32","0.0199910631519337","0.0126062159914104","0.0273759103124569"
"No worries","1998","66 and older","East Germany","7","","",""
"Big worries","1999","16-34 y.","West Germany","1497","0.434469880746548","0.417886153027204","0.451053608465892"
"Big worries","1999","16-34 y.","East Germany","572","0.482425809335265","0.453817917302418","0.511033701368113"
"Big worries","1999","35-65 y.","West Germany","2611","0.51933502943773","0.505704076869739","0.532965982005722"
"Big worries","1999","35-65 y.","East Germany","1437","0.682482929079519","0.66273232788929","0.702233530269747"
"Big worries","1999","66 and older","West Germany","787","0.60328725912027","0.577024934370607","0.629549583869933"
"Big worries","1999","66 and older","East Germany","405","0.834467821274902","0.801627185795185","0.86730845675462"
"Some worries","1999","16-34 y.","West Germany","1599","0.462110605470329","0.445430687518485","0.478790523422173"
"Some worries","1999","16-34 y.","East Germany","519","0.446304068392486","0.417844037032537","0.474764099752435"
"Some worries","1999","35-65 y.","West Germany","2210","0.418519020119278","0.405060214580621","0.431977825657935"
"Some worries","1999","35-65 y.","East Germany","652","0.297995106772763","0.278589576283943","0.317400637261583"
"Some worries","1999","66 and older","West Germany","471","0.350885758443944","0.325265915919417","0.37650560096847"
"Some worries","1999","66 and older","East Germany","84","0.159279666472365","0.126944769306466","0.191614563638264"
"No worries","1999","16-34 y.","West Germany","336","0.103419513783122","0.0932319500560637","0.113607077510181"
"No worries","1999","16-34 y.","East Germany","81","0.0712701222722484","0.056540800635371","0.0859994439091257"
"No worries","1999","35-65 y.","West Germany","340","0.0621459504429917","0.0555594426853936","0.0687324582005898"
"No worries","1999","35-65 y.","East Germany","45","0.0195219641477187","0.0136520523766788","0.0253918759187586"
"No worries","1999","66 and older","West Germany","75","0.0458269824357865","0.0346014431896764","0.0570525216818966"
"No worries","1999","66 and older","East Germany","3","","",""
"Big worries","2000","16-34 y.","West Germany","2345","0.434522730848867","0.421332206926162","0.447713254771573"
"Big worries","2000","16-34 y.","East Germany","871","0.52179169055286","0.497826711088824","0.545756670016895"
"Big worries","2000","35-65 y.","West Germany","5106","0.521840088705153","0.512095315374461","0.531584862035845"
"Big worries","2000","35-65 y.","East Germany","2185","0.679458958249871","0.663502454156927","0.695415462342815"
"Big worries","2000","66 and older","West Germany","1548","0.576561846044848","0.558037357811971","0.595086334277724"
"Big worries","2000","66 and older","East Germany","675","0.774711245786749","0.747124541234756","0.802297950338741"
"Some worries","2000","16-34 y.","West Germany","2455","0.446997057233606","0.433766922318645","0.460227192148566"
"Some worries","2000","16-34 y.","East Germany","686","0.408322391633675","0.384741290117365","0.431903493149986"
"Some worries","2000","35-65 y.","West Germany","4236","0.405186252240101","0.395609146323962","0.41476335815624"
"Some worries","2000","35-65 y.","East Germany","1006","0.293912363218535","0.278336485016452","0.309488241420618"
"Some worries","2000","66 and older","West Germany","990","0.358452632359506","0.340473922415339","0.376431342303673"
"Some worries","2000","66 and older","East Germany","182","0.201114813606883","0.174646617038802","0.227583010174965"
"No worries","2000","16-34 y.","West Germany","625","0.118480211917527","0.109880435432393","0.127079988402661"
"No worries","2000","16-34 y.","East Germany","112","0.0698859178134651","0.0576543291109023","0.0821175065160279"
"No worries","2000","35-65 y.","West Germany","752","0.0729736590547458","0.0678997165732581","0.0780476015362335"
"No worries","2000","35-65 y.","East Germany","95","0.0266286785315944","0.021124045243853","0.0321333118193358"
"No worries","2000","66 and older","West Germany","195","0.0649855215956463","0.0557439518037419","0.0742270913875507"
"No worries","2000","66 and older","East Germany","24","","",""
"Big worries","2001","16-34 y.","West Germany","1936","0.404920329859356","0.390929747842154","0.418910911876558"
"Big worries","2001","16-34 y.","East Germany","662","0.437259894632762","0.412387925470241","0.462131863795283"
"Big worries","2001","35-65 y.","West Germany","4320","0.485948219969875","0.475720774924284","0.496175665015466"
"Big worries","2001","35-65 y.","East Germany","1900","0.635754365797026","0.618698600793416","0.652810130800636"
"Big worries","2001","66 and older","West Germany","1378","0.556730778334636","0.537506023477132","0.575955533192139"
"Big worries","2001","66 and older","East Germany","624","0.73120018482572","0.701290661142243","0.761109708509197"
"Some worries","2001","16-34 y.","West Germany","2235","0.473055492405033","0.458825590059126","0.48728539475094"
"Some worries","2001","16-34 y.","East Germany","745","0.483665394363343","0.458608656003913","0.508722132722772"
"Some worries","2001","35-65 y.","West Germany","4100","0.432145028137116","0.422008197282716","0.442281858991515"
"Some worries","2001","35-65 y.","East Germany","1056","0.328468711001537","0.311822726728726","0.345114695274349"
"Some worries","2001","66 and older","West Germany","988","0.369787570750144","0.351105541693444","0.388469599806844"
"Some worries","2001","66 and older","East Germany","189","0.232552852030906","0.204051731092477","0.261053972969335"
"No worries","2001","16-34 y.","West Germany","558","0.122024177735611","0.112695337463948","0.131353018007274"
"No worries","2001","16-34 y.","East Germany","121","0.0790747110038954","0.065544099639824","0.0926053223679668"
"No worries","2001","35-65 y.","West Germany","754","0.0819067518930092","0.0762953422804998","0.0875181615055187"
"No worries","2001","35-65 y.","East Germany","102","0.0357769232014367","0.0291939876165219","0.0423598587863514"
"No worries","2001","66 and older","West Germany","199","0.0734816509152201","0.0633839879449817","0.0835793138854585"
"No worries","2001","66 and older","East Germany","31","0.0362469631433739","0.0236375300792532","0.0488563962074946"
"Big worries","2002","16-34 y.","West Germany","1731","0.378379084763161","0.364464970643829","0.392293198882493"
"Big worries","2002","16-34 y.","East Germany","594","0.411787436922936","0.386738966563302","0.43683590728257"
"Big worries","2002","35-65 y.","West Germany","4556","0.482754314001671","0.473066787196849","0.492441840806493"
"Big worries","2002","35-65 y.","East Germany","1693","0.574229069715759","0.556666622460055","0.591791516971462"
"Big worries","2002","66 and older","West Germany","1575","0.610368406938632","0.592041602561053","0.62869521131621"
"Big worries","2002","66 and older","East Germany","661","0.729075915273697","0.699942626415902","0.758209204131491"
"Some worries","2002","16-34 y.","West Germany","2308","0.477665913895002","0.463335276739449","0.491996551050554"
"Some worries","2002","16-34 y.","East Germany","739","0.491943639659378","0.466499302787793","0.517387976530962"
"Some worries","2002","35-65 y.","West Germany","4750","0.438111290293137","0.428492537299209","0.447730043287065"
"Some worries","2002","35-65 y.","East Germany","1224","0.381731486999501","0.364476207462627","0.398986766536375"
"Some worries","2002","66 and older","West Germany","970","0.331624558782554","0.313931732088927","0.34931738547618"
"Some worries","2002","66 and older","East Germany","211","0.24554457563405","0.217330794270187","0.273758356997914"
"No worries","2002","16-34 y.","West Germany","628","0.143955001341837","0.133883577647259","0.154026425036415"
"No worries","2002","16-34 y.","East Germany","150","0.0962689234176861","0.0812568672257609","0.111280979609611"
"No worries","2002","35-65 y.","West Germany","915","0.0791343957051918","0.0739010169400156","0.084367774470368"
"No worries","2002","35-65 y.","East Germany","128","0.0440394432847402","0.0367516618493126","0.0513272247201678"
"No worries","2002","66 and older","West Germany","175","0.0580070342788146","0.0492223167817196","0.0667917517759096"
"No worries","2002","66 and older","East Germany","22","","",""
"Big worries","2003","16-34 y.","West Germany","1432","0.336748394585694","0.322784271291902","0.350712517879486"
"Big worries","2003","16-34 y.","East Germany","495","0.360101399407716","0.335453137509837","0.384749661305595"
"Big worries","2003","35-65 y.","West Germany","3948","0.444279087110029","0.434380136628749","0.454178037591309"
"Big worries","2003","35-65 y.","East Germany","1446","0.522151731849454","0.504214467483306","0.540088996215602"
"Big worries","2003","66 and older","West Germany","1414","0.538088557333453","0.519482378155646","0.55669473651126"
"Big worries","2003","66 and older","East Germany","629","0.675001250558195","0.64470283735753","0.70529966375886"
"Some worries","2003","16-34 y.","West Germany","2301","0.505342034559647","0.490569093384962","0.520114975734332"
"Some worries","2003","16-34 y.","East Germany","803","0.529723264342335","0.504094976921904","0.555351551762767"
"Some worries","2003","35-65 y.","West Germany","4838","0.47233915885307","0.462393415350221","0.482284902355919"
"Some worries","2003","35-65 y.","East Germany","1378","0.423467773044131","0.405724455860616","0.441211090227647"
"Some worries","2003","66 and older","West Germany","1157","0.403440452840089","0.385131328180748","0.421749577499431"
"Some worries","2003","66 and older","East Germany","264","0.295439440029553","0.265925978427638","0.324952901631468"
"No worries","2003","16-34 y.","West Germany","667","0.157909570854659","0.147134866930785","0.168684274778533"
"No worries","2003","16-34 y.","East Germany","159","0.110175336249948","0.0940980506386859","0.126252621861211"
"No worries","2003","35-65 y.","West Germany","893","0.0833817540369004","0.0778741512823895","0.0888893567914114"
"No worries","2003","35-65 y.","East Germany","155","0.0543804951064145","0.0462373414662318","0.0625236487465972"
"No worries","2003","66 and older","West Germany","187","0.0584709898264575","0.0497143389285978","0.0672276407243173"
"No worries","2003","66 and older","East Germany","25","","",""
"Big worries","2004","16-34 y.","West Germany","1402","0.349389917797654","0.334943245155324","0.363836590439984"
"Big worries","2004","16-34 y.","East Germany","454","0.312280857123521","0.288219567714985","0.336342146532057"
"Big worries","2004","35-65 y.","West Germany","3872","0.443578599060378","0.433519888135178","0.453637309985577"
"Big worries","2004","35-65 y.","East Germany","1351","0.495952885007288","0.477590297617326","0.514315472397251"
"Big worries","2004","66 and older","West Germany","1486","0.546794081709378","0.528430713567916","0.565157449850841"
"Big worries","2004","66 and older","East Germany","635","0.648304858076716","0.618099408985318","0.678510307168113"
"Some worries","2004","16-34 y.","West Germany","2084","0.481831877276812","0.466691546497267","0.496972208056357"
"Some worries","2004","16-34 y.","East Germany","778","0.548726854140419","0.522890066750656","0.574563641530182"
"Some worries","2004","35-65 y.","West Germany","4479","0.4585981223616","0.448509516929002","0.468686727794198"
"Some worries","2004","35-65 y.","East Germany","1314","0.435424346794442","0.417214951412706","0.453633742176178"
"Some worries","2004","66 and older","West Germany","1113","0.37787644102401","0.359990743410707","0.395762138637312"
"Some worries","2004","66 and older","East Germany","294","0.320177491667245","0.290665015914405","0.349689967420085"
"No worries","2004","16-34 y.","West Germany","698","0.168778204925534","0.157428909631847","0.18012750021922"
"No worries","2004","16-34 y.","East Germany","193","0.13899228873606","0.121030915707499","0.156953661764621"
"No worries","2004","35-65 y.","West Germany","1020","0.0978232785780224","0.0918084668526503","0.103838090303395"
"No worries","2004","35-65 y.","East Germany","183","0.0686227681982697","0.0593379153817555","0.077907621014784"
"No worries","2004","66 and older","West Germany","224","0.0753294772666122","0.0655937447057809","0.0850652098274435"
"No worries","2004","66 and older","East Germany","31","0.0315176502560393","0.0204657935445733","0.0425695069675053"
"Big worries","2005","16-34 y.","West Germany","1404","0.373543651227146","0.358490304047744","0.388596998406549"
"Big worries","2005","16-34 y.","East Germany","490","0.390816866838901","0.364788807315912","0.416844926361891"
"Big worries","2005","35-65 y.","West Germany","4037","0.484341811172871","0.473945675913949","0.494737946431792"
"Big worries","2005","35-65 y.","East Germany","1475","0.539907800319479","0.521191208222725","0.558624392416232"
"Big worries","2005","66 and older","West Germany","1625","0.598890103471075","0.580800510550312","0.616979696391838"
"Big worries","2005","66 and older","East Germany","718","0.739841903040431","0.712218680729439","0.767465125351423"
"Some worries","2005","16-34 y.","West Germany","1903","0.465607126186343","0.450084788430259","0.481129463942426"
"Some worries","2005","16-34 y.","East Germany","661","0.474516977466366","0.447879908870026","0.501154046062706"
"Some worries","2005","35-65 y.","West Germany","3932","0.430289058518399","0.419989409803767","0.440588707233031"
"Some worries","2005","35-65 y.","East Germany","1095","0.396203442692337","0.377835987964161","0.414570897420512"
"Some worries","2005","66 and older","West Germany","997","0.33267721948126","0.315287080867499","0.350067358095022"
"Some worries","2005","66 and older","East Germany","226","0.237424892661448","0.210633786830921","0.264215998491974"
"No worries","2005","16-34 y.","West Germany","660","0.160849222586511","0.149416584002266","0.172281861170756"
"No worries","2005","16-34 y.","East Germany","199","0.134666155694733","0.116456476995026","0.152875834394439"
"No worries","2005","35-65 y.","West Germany","908","0.0853691303087306","0.0795562907348501","0.0911819698826111"
"No worries","2005","35-65 y.","East Germany","154","0.0638887569881848","0.0547049977575142","0.0730725162188554"
"No worries","2005","66 and older","West Germany","198","0.0684326770476647","0.059113824825172","0.0777515292701575"
"No worries","2005","66 and older","East Germany","25","","",""
