"plh0032","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No worries","1993","East Germany","186","0.0552235362553118","0.0479839159624786","0.0624631565481449","3"
"Some worries","1993","West Germany","4988","0.536555740352626","0.526405157582986","0.546706323122267","2"
"Some worries","1993","East Germany","2065","0.52802681261488","0.51220428723841","0.54384933799135","2"
"Big worries","1994","West Germany","3283","0.367792583720883","0.357887383847328","0.377697783594438","1"
"Big worries","1994","East Germany","1507","0.400809752341698","0.385180935314201","0.416438569369195","1"
"No worries","1994","West Germany","747","0.0766484545809076","0.0711837434702627","0.0821131656915525","3"
"No worries","1994","East Germany","192","0.0579078472886344","0.0504589840280132","0.0653567105492556","3"
"Some worries","1994","West Germany","5074","0.555558961698209","0.545351820511444","0.565766102884974","2"
"Some worries","1994","East Germany","2078","0.541282400369667","0.525391106705167","0.557173694034168","2"
"Big worries","1995","West Germany","2374","0.252775794093172","0.244075273481658","0.261476314704686","1"
"Big worries","1995","East Germany","995","0.273202907367254","0.258807815814799","0.28759799891971","1"
"No worries","1995","West Germany","1243","0.124803531546087","0.11818718494308","0.131419878149094","3"
"No worries","1995","East Germany","331","0.095125243780447","0.0856474488000229","0.104603038760871","3"
"Some worries","1995","West Germany","5968","0.622420674360742","0.612715616241268","0.632125732480215","2"
"Some worries","1995","East Germany","2355","0.631671848852298","0.616089662278651","0.647254035425946","2"
"Big worries","1996","West Germany","3909","0.445013515886913","0.43496066236386","0.455066369409967","1"
"Big worries","1996","East Germany","1594","0.438619081242318","0.422606315606893","0.454631846877744","1"
"No worries","1996","West Germany","680","0.0661141998158314","0.06108781413437","0.0711405854972928","3"
"No worries","1996","East Germany","204","0.0559355891805627","0.0485201191359685","0.0633510592251568","3"
"Some worries","1996","West Germany","4799","0.488872284297255","0.478760588998513","0.498983979595997","2"
"Some worries","1996","East Germany","1891","0.505445329577119","0.489311479716158","0.52157917943808","2"
"Big worries","1997","West Germany","4140","0.475682848737813","0.465491757676702","0.485873939798925","1"
"Big worries","1997","East Germany","1901","0.532457622440072","0.516253290346533","0.548661954533611","1"
"No worries","1997","West Germany","524","0.0503010774875513","0.0458409577271436","0.0547611972479591","3"
"No worries","1997","East Germany","105","0.0314610340618725","0.0257918159536167","0.0371302521701284","3"
"Some worries","1997","West Germany","4561","0.474016073774635","0.463826695762928","0.484205451786343","2"
"Some worries","1997","East Germany","1636","0.436081343498056","0.419975995799724","0.452186691196387","2"
"Big worries","1998","West Germany","4085","0.405061079021316","0.395626383920207","0.414495774122425","1"
"Big worries","1998","East Germany","1984","0.520146517067014","0.504414462072049","0.53587857206198","1"
"No worries","1998","West Germany","815","0.0745941024151175","0.0695445858753759","0.079643618954859","3"
"No worries","1998","East Germany","151","0.041638070832533","0.0353476694342608","0.0479284722308053","3"
"Some worries","1998","West Germany","5500","0.520344818563567","0.510743262796982","0.529946374330151","2"
"Some worries","1998","East Germany","1739","0.438215412100453","0.422591239896824","0.453839584304081","2"
"Big worries","1999","West Germany","2371","0.254817421662758","0.246248817899156","0.263386025426361","1"
"Big worries","1999","East Germany","1134","0.298535988272452","0.283980431047739","0.313091545497164","1"
"No worries","1999","West Germany","1145","0.111312717962656","0.10512812628888","0.117497309636432","3"
"No worries","1999","East Germany","254","0.0675476593895982","0.05956502448843","0.0755302942907663","3"
"Some worries","1999","West Germany","6419","0.633869860374586","0.624396982311813","0.643342738437359","2"
"Some worries","1999","East Germany","2409","0.63391635233795","0.618593700453977","0.649239004221923","2"
"Big worries","2000","West Germany","3460","0.193120124587673","0.187388467557084","0.198851781618263","1"
"Big worries","2000","East Germany","1832","0.316135213130668","0.304198833556864","0.328071592704472","1"
"No worries","2000","West Germany","3484","0.191596374119837","0.185881985709129","0.197310762530545","3"
"No worries","2000","East Germany","578","0.103977641364998","0.0961418932369519","0.111813389493044","3"
"Some worries","2000","West Germany","11277","0.61528350129249","0.608219186759588","0.622347815825391","2"
"Some worries","2000","East Germany","3419","0.579887145504334","0.567216294348088","0.592557996660581","2"
"Big worries","2001","West Germany","2742","0.172971919817865","0.167194398820811","0.178749440814919","1"
"Big worries","2001","East Germany","1783","0.334319262146448","0.321768159677284","0.346870364615612","1"
"No worries","2001","West Germany","3367","0.20390771340387","0.197753222456627","0.210062204351113","3"
"No worries","2001","East Germany","543","0.106946045962653","0.0987238202388592","0.115168271686447","3"
"Some worries","2001","West Germany","10354","0.623120366778265","0.61571782427867","0.63052290927786","2"
"Some worries","2001","East Germany","3101","0.558734691890899","0.545524142123648","0.571945241658149","2"
"Big worries","2002","West Germany","5212","0.311807263343314","0.30496416308882","0.318650363597808","1"
"Big worries","2002","East Germany","2472","0.455342469621215","0.442092984071721","0.46859195517071","1"
"No worries","2002","West Germany","1888","0.105462365974549","0.100925010448826","0.109999721500272","3"
"No worries","2002","East Germany","285","0.0549191807230166","0.0488578960744916","0.0609804653715417","3"
"Some worries","2002","West Germany","10503","0.582730370682137","0.575445917420252","0.590014823944022","2"
"Some worries","2002","East Germany","2670","0.489738349655768","0.476438500919797","0.503038198391739","2"
"Big worries","2003","West Germany","8837","0.531996870724463","0.524460161572938","0.539533579875989","1"
"Big worries","2003","East Germany","3346","0.628470342736541","0.615531784825193","0.641408900647889","1"
"No worries","2003","West Germany","856","0.0521167536141847","0.0487596175787504","0.0554738896496189","3"
"No worries","2003","East Germany","147","0.0308116988031521","0.0261846014196265","0.0354387961866777","3"
"Some worries","2003","West Germany","7145","0.415886375661352","0.408441818770251","0.423330932552454","2"
"Some worries","2003","East Germany","1865","0.340717958460307","0.328027425196596","0.353408491724018","2"
"Big worries","2004","West Germany","7731","0.488424216040511","0.480768990635615","0.496079441445407","1"
"Big worries","2004","East Germany","2903","0.565705477842727","0.552281099858017","0.579129855827436","1"
"No worries","2004","West Germany","1032","0.0611748267011902","0.0575046824297302","0.0648449709726501","3"
"No worries","2004","East Germany","217","0.0437134786628394","0.0381760453946262","0.0492509119310527","3"
"Some worries","2004","West Germany","7616","0.450400957258299","0.442781447390869","0.458020467125729","2"
"Some worries","2004","East Germany","2117","0.390581043494434","0.377367467573841","0.403794619415027","2"
"Big worries","2005","West Germany","8110","0.532489027206814","0.524678973926494","0.540299080487134","1"
"Big worries","2005","East Germany","3029","0.605260856846439","0.59177297052633","0.618748743166549","1"
"No worries","2005","West Germany","788","0.0507834365904269","0.0473466983260301","0.0542201748548237","3"
"No worries","2005","East Germany","182","0.0390326916462092","0.0336884502982751","0.0443769329941432","3"
"Some worries","2005","West Germany","6780","0.416727536202759","0.409010250171282","0.424444822234236","2"
"Some worries","2005","East Germany","1834","0.355706451507352","0.342496376969729","0.368916526044975","2"
"Big worries","2006","West Germany","7092","0.438338215071425","0.430807586426032","0.445868843716817","1"
"Big worries","2006","East Germany","2510","0.480365011265028","0.466885025912997","0.493844996617059","1"
"No worries","2006","West Germany","1157","0.0723992819593389","0.0684661656071358","0.076332398311542","3"
"No worries","2006","East Germany","288","0.0628746587981209","0.0563254142753344","0.0694239033209075","3"
"Some worries","2006","West Germany","8428","0.489262502969237","0.481675697215024","0.496849308723449","2"
"Some worries","2006","East Germany","2479","0.456760329936851","0.443320478400031","0.470200181473671","2"
"Big worries","2007","West Germany","3576","0.245128206118539","0.238350323071325","0.251906089165753","1"
"Big worries","2007","East Germany","1412","0.289692800748423","0.277124360060124","0.302261241436722","1"
"No worries","2007","West Germany","2668","0.16352010025643","0.157692709303662","0.169347491209199","3"
"No worries","2007","East Germany","576","0.118262889343059","0.109315769737523","0.127210008948595","3"
"Some worries","2007","West Germany","9229","0.591351693625031","0.583606030540786","0.599097356709276","2"
"Some worries","2007","East Germany","3016","0.592044309908518","0.578427573085157","0.605661046731879","2"
"Big worries","2008","West Germany","3500","0.250234925655528","0.243201453300337","0.257268398010719","1"
"Big worries","2008","East Germany","1290","0.287462816655795","0.274635438154577","0.300290195157013","1"
"No worries","2008","West Germany","2051","0.137102829836507","0.13151766556508","0.142687994107935","3"
"No worries","2008","East Germany","571","0.118686605300808","0.109519982841638","0.127853227759978","3"
"Some worries","2008","West Germany","9018","0.612662244507965","0.604752022109608","0.620572466906321","2"
"Some worries","2008","East Germany","2921","0.593850578043397","0.579931040181679","0.607770115905114","2"
"Big worries","2009","West Germany","5965","0.445096339507072","0.436714242502349","0.453478436511794","1"
"Big worries","2009","East Germany","2009","0.445014668682565","0.430579323231514","0.459450014133617","1"
"No worries","2009","West Germany","783","0.0603949561009568","0.0563771416074273","0.0644127705944862","3"
"No worries","2009","East Germany","284","0.0694522961621252","0.0620679526565838","0.0768366396676667","3"
"Some worries","2009","West Germany","6756","0.494508704391971","0.486076120171137","0.502941288612806","2"
"Some worries","2009","East Germany","2260","0.485533035155309","0.471015683249403","0.500050387061215","2"
"Big worries","2010","West Germany","6545","0.365473147526346","0.35853460873391","0.372411686318782","1"
"Big worries","2010","East Germany","1903","0.36296570274672","0.35023326260486","0.37569814288858","1"
"No worries","2010","West Germany","1541","0.0802918290601056","0.0763764304777207","0.0842072276424906","3"
"No worries","2010","East Germany","502","0.0741062869975969","0.0671703436785612","0.0810422303166326","3"
"Some worries","2010","West Germany","10418","0.554235023413548","0.547073338068418","0.561396708758678","2"
"Some worries","2010","East Germany","3074","0.562928010255683","0.549793909069357","0.576062111442009","2"
"Big worries","2011","West Germany","4692","0.209859542013183","0.204471064371215","0.21524801965515","1"
"Big worries","2011","East Germany","1471","0.252676105090922","0.241918388014902","0.263433822166941","1"
"No worries","2011","West Germany","3906","0.175870987211051","0.170833148289834","0.180908826132269","3"
"No worries","2011","East Germany","981","0.154340429645613","0.14539664705517","0.163284212236056","3"
"Some worries","2011","West Germany","13340","0.614269470775766","0.607828207549955","0.620710734001577","2"
"Some worries","2011","East Germany","3816","0.592983465263465","0.580821299587179","0.605145630939752","2"
"Big worries","2012","West Germany","4865","0.223432991831851","0.217855347797117","0.229010635866585","1"
"Big worries","2012","East Germany","1503","0.240054521745777","0.229413483288763","0.250695560202792","1"
"No worries","2012","West Germany","3337","0.159465079909836","0.154562797192775","0.164367362626897","3"
"No worries","2012","East Germany","922","0.155379406930394","0.146354028674074","0.164404785186714","3"
"Some worries","2012","West Germany","13223","0.617101928258313","0.610593026492695","0.62361083002393","2"
"Some worries","2012","East Germany","3764","0.604566071323829","0.592384685476883","0.616747457170776","2"
"Big worries","2013","West Germany","3680","0.181271153676489","0.175922960971941","0.186619346381036","1"
"Big worries","2013","East Germany","1131","0.207844660377028","0.197364952794117","0.218324367959938","1"
"No worries","2013","West Germany","3787","0.186154827396084","0.180751258425828","0.19155839636634","3"
"No worries","2013","East Germany","1026","0.172486130994012","0.162728614755229","0.182243647232795","3"
"Some worries","2013","West Germany","12465","0.632574018927427","0.625881135538263","0.639266902316591","2"
"Some worries","2013","East Germany","3602","0.61966920862896","0.60713100688266","0.63220741037526","2"
"Big worries","2014","West Germany","2818","0.1225280207553","0.118140612497832","0.126915429012768","1"
"Big worries","2014","East Germany","766","0.144599505382178","0.135378292580551","0.153820718183805","1"
"No worries","2014","West Germany","5859","0.274530139319966","0.268558708390056","0.280501570249877","3"
"No worries","2014","East Germany","1393","0.252359821894643","0.240971065210163","0.263748578579123","3"
"Some worries","2014","West Germany","12779","0.602941839924734","0.596394898058567","0.609488781790901","2"
"Some worries","2014","East Germany","3429","0.603040672723179","0.590212458609468","0.61586888683689","2"
