"plh0032","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Some worries","1985","(3b) higher tertiary education","Male","199","0.603204154908274","0.550499398036301","0.655908911780247"
"Big worries","1986","(0) in school","Female","","","",""
"Big worries","1986","(0) in school","Male","","","",""
"Big worries","1986","(1a) inadequately completed","Female","56","0.139518067245901","0.108160109300861","0.17087602519094"
"Big worries","1986","(1a) inadequately completed","Male","80","0.212183918845713","0.17052424333961","0.253843594351816"
"Big worries","1986","(1b) general elementary school","Female","290","0.190736952218867","0.171504103995472","0.209969800442263"
"Big worries","1986","(1b) general elementary school","Male","176","0.222732564512196","0.194628499564256","0.250836629460136"
"Big worries","1986","(1c) basic vocational qualification","Female","304","0.213720345521474","0.192721810082317","0.234718880960631"
"Big worries","1986","(1c) basic vocational qualification","Male","463","0.222998778479724","0.205229291866055","0.240768265093393"
"Big worries","1986","(2a) intermediate vocational","Female","113","0.152431670275311","0.12642857630005","0.178434764250571"
"Big worries","1986","(2a) intermediate vocational","Male","81","0.135611440450828","0.1072293188314","0.163993562070255"
"Big worries","1986","(2b) intermediate general qualification","Female","49","0.153111275040209","0.111083122593674","0.195139427486744"
"Big worries","1986","(2b) intermediate general qualification","Male","","","",""
"Big worries","1986","(2c_gen) general maturity certificate","Female","33","0.169055772755736","0.11271477023594","0.225396775275532"
"Big worries","1986","(2c_gen) general maturity certificate","Male","49","0.197448215617437","0.146224952933409","0.248671478301464"
"Big worries","1986","(2c_voc) vocational maturity certificate","Female","35","0.244853180510288","0.180023584940729","0.309682776079846"
"Big worries","1986","(2c_voc) vocational maturity certificate","Male","41","0.139309657221741","0.0956827441134866","0.182936570329995"
"Big worries","1986","(3a) lower tertiary education","Female","","","",""
"Big worries","1986","(3a) lower tertiary education","Male","","","",""
"Big worries","1986","(3b) higher tertiary education","Female","","","",""
"Big worries","1986","(3b) higher tertiary education","Male","53","0.156037399338084","0.11670502469093","0.195369773985238"
"No worries","1986","(0) in school","Female","","","",""
"No worries","1986","(0) in school","Male","49","0.392251415026075","0.30301473415053","0.481488095901619"
"No worries","1986","(1a) inadequately completed","Female","168","0.357895010922938","0.314509719998209","0.401280301847668"
"No worries","1986","(1a) inadequately completed","Male","98","0.318712559928426","0.271232417881042","0.366192701975811"
"No worries","1986","(1b) general elementary school","Female","400","0.250250338434517","0.22904589851449","0.271454778354544"
"No worries","1986","(1b) general elementary school","Male","186","0.179527724439143","0.153604455611658","0.205450993266628"
"No worries","1986","(1c) basic vocational qualification","Female","277","0.200056769378314","0.179564796985194","0.220548741771433"
"No worries","1986","(1c) basic vocational qualification","Male","457","0.213407650399218","0.195917536449168","0.230897764349268"
"No worries","1986","(2a) intermediate vocational","Female","172","0.257639641746852","0.226001294328592","0.289277989165111"
"No worries","1986","(2a) intermediate vocational","Male","146","0.263529242297825","0.227008941370686","0.300049543224964"
"No worries","1986","(2b) intermediate general qualification","Female","62","0.212958274435765","0.165175685685512","0.260740863186019"
"No worries","1986","(2b) intermediate general qualification","Male","50","0.256422721289375","0.191911826631717","0.320933615947034"
"No worries","1986","(2c_gen) general maturity certificate","Female","39","0.238556127485","0.17448861436273","0.30262364060727"
"No worries","1986","(2c_gen) general maturity certificate","Male","54","0.232705682970693","0.178332020856964","0.287079345084422"
"No worries","1986","(2c_voc) vocational maturity certificate","Female","32","0.19071728508114","0.131486171337608","0.249948398824671"
"No worries","1986","(2c_voc) vocational maturity certificate","Male","66","0.281748708252623","0.225071352188846","0.338426064316399"
"No worries","1986","(3a) lower tertiary education","Female","","","",""
"No worries","1986","(3a) lower tertiary education","Male","50","0.282521949388826","0.216194718733475","0.348849180044177"
"No worries","1986","(3b) higher tertiary education","Female","38","0.245236802486739","0.181127179963286","0.309346425010191"
"No worries","1986","(3b) higher tertiary education","Male","86","0.267659059965068","0.219672253834307","0.315645866095829"
"Some worries","1986","(0) in school","Female","40","0.488336458009067","0.373669452329252","0.603003463688883"
"Some worries","1986","(0) in school","Male","55","0.514869407958686","0.423526034702745","0.606212781214627"
"Some worries","1986","(1a) inadequately completed","Female","245","0.502586921831161","0.457336163553191","0.547837680109131"
"Some worries","1986","(1a) inadequately completed","Male","192","0.469103521225861","0.41825404335839","0.519952999093331"
"Some worries","1986","(1b) general elementary school","Female","913","0.559012709346616","0.534707173093614","0.583318245599618"
"Some worries","1986","(1b) general elementary school","Male","480","0.597739711048661","0.564618845283259","0.630860576814063"
"Some worries","1986","(1c) basic vocational qualification","Female","883","0.586222885100212","0.560994342063416","0.611451428137008"
"Some worries","1986","(1c) basic vocational qualification","Male","1188","0.563593571121058","0.542422571086535","0.584764571155581"
"Some worries","1986","(2a) intermediate vocational","Female","449","0.589928687977837","0.554346756986675","0.625510618969"
"Some worries","1986","(2a) intermediate vocational","Male","332","0.600859317251347","0.560262537547773","0.641456096954922"
"Some worries","1986","(2b) intermediate general qualification","Female","171","0.633930450524026","0.577705880103334","0.690155020944718"
"Some worries","1986","(2b) intermediate general qualification","Male","100","0.562906199872999","0.48962423652368","0.636188163222318"
"Some worries","1986","(2c_gen) general maturity certificate","Female","98","0.592388099759264","0.51852114068982","0.666255058828708"
"Some worries","1986","(2c_gen) general maturity certificate","Male","129","0.569846101411871","0.506137976785177","0.633554226038565"
"Some worries","1986","(2c_voc) vocational maturity certificate","Female","102","0.564429534408573","0.48967478050237","0.639184288314775"
"Some worries","1986","(2c_voc) vocational maturity certificate","Male","135","0.578941634525637","0.516736110982623","0.64114715806865"
"Some worries","1986","(3a) lower tertiary education","Female","46","0.641694217645424","0.528554649417486","0.754833785873363"
"Some worries","1986","(3a) lower tertiary education","Male","98","0.555255950716453","0.482047175427835","0.62846472600507"
"Some worries","1986","(3b) higher tertiary education","Female","110","0.601909061827174","0.528966396868696","0.674851726785651"
"Some worries","1986","(3b) higher tertiary education","Male","188","0.576303540696848","0.522745179972333","0.629861901421363"
"Big worries","1987","(0) in school","Female","","","",""
"Big worries","1987","(0) in school","Male","","","",""
"Big worries","1987","(1a) inadequately completed","Female","68","0.208424072355503","0.170978618266338","0.245869526444668"
"Big worries","1987","(1a) inadequately completed","Male","64","0.228056281864104","0.184409949754752","0.271702613973456"
"Big worries","1987","(1b) general elementary school","Female","325","0.215209911818067","0.194900767808341","0.235519055827794"
"Big worries","1987","(1b) general elementary school","Male","156","0.201729801003717","0.174543798639456","0.228915803367977"
