"plh0036","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No worries","1984","Saxony","middle vocational","","","","","3"
"No worries","1984","Saxony","vocational + Abi","","","","","3"
"No worries","1984","Schleswig-Holstein","in school","","","","","3"
"No worries","1984","Schleswig-Holstein","inadequately","1","","","","3"
"No worries","1984","Schleswig-Holstein","general elemantary","16","","","","3"
"No worries","1984","Schleswig-Holstein","middle vocational","10","","","","3"
"No worries","1984","Schleswig-Holstein","vocational + Abi","","","","","3"
"No worries","1984","Schleswig-Holstein","higher vocational","","","","","3"
"No worries","1984","Schleswig-Holstein","higher education","1","","","","3"
"No worries","1984","Hamburg","in school","1","","","","3"
"No worries","1984","Hamburg","inadequately","10","","","","3"
"No worries","1984","Hamburg","general elemantary","5","","","","3"
"No worries","1984","Hamburg","middle vocational","15","","","","3"
"No worries","1984","Hamburg","vocational + Abi","","","","","3"
"No worries","1984","Hamburg","higher vocational","2","","","","3"
"No worries","1984","Lower Saxony","higher vocational","2","","","","3"
"No worries","1984","Lower Saxony","higher education","2","","","","3"
"No worries","1984","Bremen","in school","","","","","3"
"No worries","1984","Bremen","inadequately","3","","","","3"
"No worries","1984","Bremen","general elemantary","11","","","","3"
"No worries","1984","Bremen","middle vocational","6","","","","3"
"No worries","1984","Bremen","vocational + Abi","","","","","3"
"No worries","1984","Bremen","higher vocational","","","","","3"
"No worries","1984","Bremen","higher education","","","","","3"
"No worries","1984","North Rhine-Westphalia","in school","2","","","","3"
"No worries","1984","North Rhine-Westphalia","inadequately","78","0.236503095492709","0.188175863464009","0.28483032752141","3"
"No worries","1984","Hamburg","higher education","","","","","3"
"No worries","1984","Lower Saxony","in school","2","","","","3"
"No worries","1984","Lower Saxony","inadequately","16","","","","3"
"No worries","1984","Lower Saxony","general elemantary","41","0.106749139776338","0.0749830548928363","0.138515224659839","3"
"No worries","1984","Lower Saxony","middle vocational","32","0.0449186442808118","0.0280911247870243","0.0617461637745993","3"
"No worries","1984","Lower Saxony","vocational + Abi","3","","","","3"
"No worries","1984","Hesse","general elemantary","53","0.108600864542442","0.0760511429445165","0.141150586140367","3"
"No worries","1984","Hesse","middle vocational","55","0.0749914873144983","0.053630539660708","0.0963524349682885","3"
"No worries","1984","Hesse","vocational + Abi","2","","","","3"
"No worries","1984","Hesse","higher vocational","3","","","","3"
"No worries","1984","Hesse","higher education","5","","","","3"
"No worries","1984","Rhineland-Palatinate,Saarland","in school","","","","","3"
"No worries","1984","Rhineland-Palatinate,Saarland","inadequately","8","","","","3"
"No worries","1984","Rhineland-Palatinate,Saarland","general elemantary","30","0.112868638323403","0.0769416702448563","0.14879560640195","3"
"No worries","1984","Rhineland-Palatinate,Saarland","middle vocational","23","","","","3"
"No worries","1984","Rhineland-Palatinate,Saarland","vocational + Abi","","","","","3"
"No worries","1984","Rhineland-Palatinate,Saarland","higher vocational","1","","","","3"
"No worries","1984","Rhineland-Palatinate,Saarland","higher education","3","","","","3"
"No worries","1984","Baden-Württemberg","in school","4","","","","3"
"No worries","1984","Baden-Württemberg","inadequately","110","0.416962676940406","0.360018592226723","0.473906761654088","3"
"No worries","1984","Baden-Württemberg","general elemantary","116","0.145707598056584","0.119325210616891","0.172089985496278","3"
"No worries","1984","Baden-Württemberg","middle vocational","100","0.0887130250844354","0.070478438191444","0.106947611977427","3"
"No worries","1984","Baden-Württemberg","vocational + Abi","5","","","","3"
"No worries","1984","Baden-Württemberg","higher vocational","3","","","","3"
"No worries","1984","North Rhine-Westphalia","general elemantary","97","0.0938850898341718","0.0743575455419817","0.113412634126362","3"
"No worries","1984","North Rhine-Westphalia","middle vocational","99","0.0585883027280244","0.0467349099977667","0.070441695458282","3"
"No worries","1984","North Rhine-Westphalia","vocational + Abi","5","","","","3"
"No worries","1984","North Rhine-Westphalia","higher vocational","7","","","","3"
"No worries","1984","North Rhine-Westphalia","higher education","9","","","","3"
"No worries","1984","Hesse","in school","","","","","3"
"No worries","1984","Hesse","inadequately","32","0.217967184506036","0.138234291079698","0.297700077932373","3"
"Some worries","1984","Bavaria","inadequately","39","0.357739733238525","0.263318512537524","0.452160953939527","2"
"Some worries","1984","Bavaria","general elemantary","277","0.495685446148276","0.454783310993261","0.536587581303292","2"
"Some worries","1984","Baden-Württemberg","higher education","38","0.306863541706014","0.225359798799881","0.388367284612147","2"
"Some worries","1984","Bavaria","in school","7","","","","2"
"Some worries","1984","Hesse","general elemantary","149","0.437088322974173","0.385196459859965","0.488980186088382","2"
"Some worries","1984","Brandenburg","vocational + Abi","","","","","2"
"Some worries","1984","Brandenburg","higher vocational","","","","","2"
"Some worries","1984","Brandenburg","higher education","","","","","2"
"Some worries","1984","Bavaria","middle vocational","440","0.43710823626179","0.406741850818076","0.467474621705505","2"
"Some worries","1984","Bavaria","vocational + Abi","15","","","","2"
"Some worries","1984","Bavaria","higher vocational","41","0.302876719807768","0.223273461268905","0.382479978346631","2"
"Some worries","1984","Bavaria","higher education","50","0.354326014387716","0.278782724444111","0.429869304331321","2"
"Some worries","1984","Mecklenburg-Western Pomerania","in school","","","","","2"
"Some worries","1984","Mecklenburg-Western Pomerania","inadequately","","","","","2"
"Some worries","1984","Mecklenburg-Western Pomerania","general elemantary","","","","","2"
"Some worries","1984","Hesse","middle vocational","240","0.407175267072961","0.367328277186892","0.44702225695903","2"
"Some worries","1984","Hesse","vocational + Abi","6","","","","2"
"Some worries","1984","Hesse","higher vocational","14","","","","2"
"Some worries","1984","Hesse","higher education","24","","","","2"
