"plh0036","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"No worries","2000","Not Employed","no migration background","1067","0.148169072684143","0.140060907980401","0.156277237387885","3"
"No worries","2000","Employed","direct migration background","423","0.216639837780759","0.198397488163369","0.234882187398149","3"
"No worries","2000","Not Employed","direct migration background","321","0.21569490527108","0.193778886972871","0.237610923569288","3"
"No worries","2000","Not Employed","indirect migration background","57","0.204425367517498","0.15361547630475","0.255235258730246","3"
"Some worries","2000","Not Employed","no migration background","4308","0.579546420688909","0.568280408425221","0.590812432952596","2"
"Some worries","2000","Employed","direct migration background","1095","0.550943243274193","0.528917279462347","0.57296920708604","2"
"Some worries","2000","Employed","indirect migration background","300","0.510874281778858","0.470227394397537","0.551521169160178","2"
"Some worries","2000","Employed","no migration background","7632","0.598253451041563","0.589675579864704","0.606831322218421","2"
"Some worries","2000","Not Employed","direct migration background","761","0.569476340655042","0.543092649952629","0.595860031357456","2"
"Some worries","2000","Not Employed","indirect migration background","123","0.566905381506471","0.504476278990017","0.629334484022925","2"
"Big worries","2001","Employed","indirect migration background","136","0.265893180157928","0.228629611882058","0.303156748433798","1"
"Big worries","2001","Employed","no migration background","2987","0.264842477251645","0.256783124898689","0.272901829604602","1"
"Big worries","2001","Not Employed","direct migration background","235","0.22853736375371","0.204195096232614","0.252879631274805","1"
"Big worries","2001","Not Employed","indirect migration background","60","0.251252795831871","0.195198715519622","0.30730687614412","1"
"Big worries","2001","Not Employed","no migration background","1672","0.248684076960949","0.238320787080112","0.259047366841786","1"
"Big worries","2001","Employed","direct migration background","364","0.210154469111086","0.191211642906923","0.22909729531525","1"
"No worries","2001","Employed","indirect migration background","109","0.167716386947239","0.136204483870277","0.199228290024201","3"
"No worries","2001","Employed","no migration background","1433","0.123542602579001","0.117532389097283","0.129552816060719","3"
"No worries","2001","Not Employed","no migration background","1016","0.155831542994858","0.147135841836422","0.164527244153293","3"
"No worries","2001","Employed","direct migration background","374","0.21212576522833","0.19311806660987","0.23113346384679","3"
"No worries","2001","Not Employed","direct migration background","285","0.236938051744299","0.212287747669985","0.261588355818613","3"
"No worries","2001","Not Employed","indirect migration background","52","0.194892674796677","0.143699882332394","0.24608546726096","3"
"Some worries","2001","Not Employed","no migration background","3995","0.595484380044194","0.583717395159551","0.607251364928836","2"
"Some worries","2001","Employed","direct migration background","1039","0.577719765660584","0.554754928658314","0.600684602662853","2"
"Some worries","2001","Employed","indirect migration background","295","0.566390432894833","0.524592135322783","0.608188730466884","2"
"Some worries","2001","Employed","no migration background","7095","0.611614920169354","0.602712944059901","0.620516896278806","2"
"Some worries","2001","Not Employed","direct migration background","623","0.534524584501992","0.505607321010664","0.56344184799332","2"
"Some worries","2001","Not Employed","indirect migration background","118","0.553854529371452","0.489612348914829","0.618096709828076","2"
"Big worries","2002","Employed","indirect migration background","119","0.253875989832374","0.217167414157353","0.290584565507395","1"
"Big worries","2002","Employed","no migration background","2734","0.228656393063219","0.221306512036139","0.236006274090298","1"
"Big worries","2002","Not Employed","direct migration background","237","0.241813951389706","0.216452762851493","0.267175139927919","1"
"Big worries","2002","Not Employed","indirect migration background","56","0.223841122341337","0.170662468245257","0.277019776437417","1"
"Big worries","2002","Not Employed","no migration background","1717","0.251702402270025","0.241474149445725","0.261930655094326","1"
"Big worries","2002","Employed","direct migration background","326","0.201340131671878","0.182261234157761","0.220419029185995","1"
"No worries","2002","Employed","indirect migration background","114","0.198791249420794","0.165130584958713","0.232451913882874","3"
"No worries","2002","Employed","no migration background","1870","0.14848686461227","0.142263798896731","0.154709930327809","3"
"No worries","2002","Not Employed","no migration background","1065","0.150599445193815","0.142170202564574","0.159028687823055","3"
"No worries","2002","Employed","direct migration background","339","0.211522608820069","0.19209227824765","0.230952939392487","3"
"No worries","2002","Not Employed","direct migration background","244","0.220463489686285","0.19590918726566","0.24501779210691","3"
"No worries","2002","Not Employed","indirect migration background","49","0.195544357710625","0.144942578751991","0.246146136669258","3"
"Some worries","2002","Not Employed","no migration background","4134","0.59769815253616","0.586141353297086","0.609254951775234","2"
"Some worries","2002","Employed","direct migration background","1032","0.587137259508054","0.563712246751453","0.610562272264654","2"
"Some worries","2002","Employed","indirect migration background","307","0.547332760746833","0.505350437784163","0.589315083709502","2"
"Some worries","2002","Employed","no migration background","7938","0.622856742324512","0.614374475070279","0.631339009578745","2"
"Some worries","2002","Not Employed","direct migration background","614","0.537722558924009","0.508192010665211","0.567253107182806","2"
"Some worries","2002","Not Employed","indirect migration background","131","0.580614519948038","0.517657707552936","0.643571332343141","2"
"Big worries","2003","Employed","indirect migration background","105","0.190515358003352","0.157207495374314","0.22382322063239","1"
"Big worries","2003","Employed","no migration background","2631","0.232397079772648","0.224812044213858","0.239982115331438","1"
"Big worries","2003","Not Employed","direct migration background","225","0.215842514223666","0.190970161099384","0.240714867347948","1"
"Big worries","2003","Not Employed","indirect migration background","65","0.310437996888017","0.2527382760564","0.368137717719635","1"
"Big worries","2003","Not Employed","no migration background","1811","0.282300285643702","0.271647176018774","0.292953395268629","1"
"Big worries","2003","Employed","direct migration background","333","0.235186245631409","0.214160451562731","0.256212039700087","1"
"No worries","2003","Employed","indirect migration background","93","0.161805584680695","0.130570218798518","0.193040950562871","3"
"No worries","2003","Employed","no migration background","1593","0.125358496949529","0.11941193554823","0.131305058350828","3"
"No worries","2003","Not Employed","no migration background","1003","0.144259983701457","0.135944390978016","0.152575576424898","3"
"No worries","2003","Employed","direct migration background","275","0.179566797086605","0.160538354942741","0.19859523923047","3"
"No worries","2003","Not Employed","direct migration background","202","0.191404610208505","0.167620409534529","0.215188810882481","3"
"No worries","2003","Not Employed","indirect migration background","53","0.198332821590128","0.148605626718804","0.248060016461452","3"
"Some worries","2003","Not Employed","no migration background","4044","0.573439730654841","0.561734406598362","0.585145054711319","2"
"Some worries","2003","Employed","direct migration background","955","0.585246957281985","0.560822047140609","0.609671867423361","2"
"Some worries","2003","Employed","indirect migration background","336","0.647679057315954","0.607163052008632","0.688195062623275","2"
"Some worries","2003","Employed","no migration background","7687","0.642244423277823","0.6336361240308","0.650852722524846","2"
"Some worries","2003","Not Employed","direct migration background","624","0.59275287556783","0.56304903665613","0.62245671447953","2"
"Some worries","2003","Not Employed","indirect migration background","129","0.491229181521855","0.428884014854184","0.553574348189525","2"
"Big worries","2004","Employed","indirect migration background","118","0.227992121374412","0.192639612132206","0.263344630616618","1"
"Big worries","2004","Employed","no migration background","2501","0.231617387155031","0.223886178607034","0.239348595703028","1"
"Big worries","2004","Not Employed","direct migration background","220","0.222908941662395","0.19779461365823","0.248023269666561","1"
"Big worries","2004","Not Employed","indirect migration background","58","0.211103223025844","0.161112935895515","0.261093510156173","1"
"Big worries","2004","Not Employed","no migration background","1663","0.250793514150909","0.240508911989415","0.261078116312402","1"
"Big worries","2004","Employed","direct migration background","316","0.219817168602136","0.198589445987553","0.241044891216719","1"
"No worries","2004","Employed","indirect migration background","112","0.222368815274732","0.187328078125123","0.257409552424342","3"
"No worries","2004","Employed","no migration background","1743","0.147326035657892","0.140830659640123","0.153821411675662","3"
"No worries","2004","Not Employed","no migration background","1088","0.154515485138545","0.14593982787154","0.16309114240555","3"
"No worries","2004","Employed","direct migration background","264","0.197849928587806","0.177429250136243","0.218270607039369","3"
"No worries","2004","Not Employed","direct migration background","227","0.206997679077602","0.182549763995025","0.231445594160179","3"
"No worries","2004","Not Employed","indirect migration background","48","0.162242796508983","0.117081135607632","0.207404457410334","3"
"Some worries","2004","Not Employed","no migration background","4073","0.594691000710547","0.583042570861609","0.606339430559484","2"
"Some worries","2004","Employed","direct migration background","882","0.582332902810058","0.557053011564654","0.607612794055462","2"
"Some worries","2004","Employed","indirect migration background","311","0.549639063350856","0.507714493950413","0.591563632751298","2"
"Some worries","2004","Employed","no migration background","7194","0.621056577187076","0.612166084799555","0.629947069574597","2"
"Some worries","2004","Not Employed","direct migration background","608","0.570093379260003","0.540220166867165","0.599966591652841","2"
"Some worries","2004","Not Employed","indirect migration background","150","0.626653980465173","0.567402695611413","0.685905265318932","2"
"Big worries","2005","Employed","indirect migration background","135","0.232465233363068","0.196772074347394","0.268158392378743","1"
"Big worries","2005","Employed","no migration background","2895","0.283408009826684","0.27495834164821","0.291857678005159","1"
"Big worries","2005","Employed","direct migration background","336","0.264573396311321","0.241147172319293","0.287999620303348","1"
"Big worries","2005","Not Employed","direct migration background","251","0.256916373328899","0.229862530185662","0.283970216472137","1"
"Big worries","2005","Not Employed","indirect migration background","65","0.18804652012281","0.142359466059539","0.23373357418608","1"
"Big worries","2005","Not Employed","no migration background","1952","0.302237513932734","0.291136536145745","0.313338491719723","1"
"No worries","2005","Employed","indirect migration background","107","0.198568304770752","0.164859358700058","0.232277250841445","3"
"No worries","2005","Employed","no migration background","1526","0.133497233738964","0.127120199782578","0.139874267695349","3"
"No worries","2005","Not Employed","no migration background","882","0.130778217926051","0.122628055778294","0.138928380073808","3"
"No worries","2005","Employed","direct migration background","233","0.178123904453234","0.157803899246601","0.198443909659866","3"
"No worries","2005","Not Employed","direct migration background","179","0.166242758754551","0.143190928745688","0.189294588763414","3"
"No worries","2005","Not Employed","indirect migration background","69","0.218485104083197","0.170170939140966","0.266799269025428","3"
"Some worries","2005","Not Employed","no migration background","3740","0.566984268141215","0.555006646694478","0.578961889587952","2"
"Some worries","2005","Employed","direct migration background","793","0.557302699235446","0.53092368589656","0.583681712574332","2"
"Some worries","2005","Employed","indirect migration background","296","0.56896646186618","0.527120281894424","0.610812641837936","2"
"Some worries","2005","Employed","no migration background","6506","0.583094756434352","0.573850204508435","0.592339308360269","2"
"Some worries","2005","Not Employed","direct migration background","572","0.57684086791655","0.546249837917305","0.607431897915794","2"
"Some worries","2005","Not Employed","indirect migration background","147","0.593468375793993","0.53603810164399","0.650898649943997","2"
"Big worries","2006","Employed","indirect migration background","135","0.267733448703084","0.230796206543584","0.304670690862584","1"
"Big worries","2006","Employed","no migration background","2885","0.255253954233785","0.247277583650933","0.263230324816637","1"
"Big worries","2006","Employed","direct migration background","354","0.27832664695379","0.25444595418078","0.302207339726801","1"
"Big worries","2006","Not Employed","direct migration background","273","0.249902815543319","0.223241123328806","0.276564507757833","1"
"Big worries","2006","Not Employed","indirect migration background","74","0.269837465655218","0.215033912360439","0.324641018949997","1"
"Big worries","2006","Not Employed","no migration background","2043","0.289353100950585","0.278918631166325","0.299787570734844","1"
"No worries","2006","Employed","indirect migration background","92","0.182269745642492","0.150063442312611","0.214476048972372","3"
"No worries","2006","Not Employed","no migration background","959","0.134015890832273","0.126176857830523","0.141854923834023","3"
"No worries","2006","Employed","no migration background","1524","0.134515527772026","0.12827342620308","0.140757629340973","3"
"No worries","2006","Employed","direct migration background","200","0.159195667645336","0.13970115935565","0.178690175935021","3"
"No worries","2006","Not Employed","direct migration background","170","0.168320277195377","0.145279896867331","0.191360657523422","3"
"No worries","2006","Not Employed","indirect migration background","55","0.233052390865946","0.180853959635029","0.285250822096862","3"
"Some worries","2006","Not Employed","no migration background","4253","0.576631008217143","0.565261598895584","0.588000417538701","2"
"Some worries","2006","Employed","direct migration background","799","0.562477685400874","0.536044351277846","0.588911019523902","2"
"Some worries","2006","Employed","indirect migration background","325","0.549996805654424","0.508495053352121","0.591498557956728","2"
"Some worries","2006","Employed","no migration background","7069","0.610230517994188","0.601308443226077","0.619152592762299","2"
"Some worries","2006","Not Employed","direct migration background","570","0.581776907261304","0.551401255006888","0.61215255951572","2"
"Some worries","2006","Not Employed","indirect migration background","123","0.497110143478836","0.435378111708675","0.558842175248997","2"
"Big worries","2007","Employed","indirect migration background","200","0.402110981483738","0.361207355617265","0.443014607350211","1"
"Big worries","2007","Employed","no migration background","3855","0.373116747354366","0.363978610441851","0.38225488426688","1"
"Big worries","2007","Not Employed","direct migration background","291","0.321798831691547","0.290844918320847","0.352752745062247","1"
"Big worries","2007","Not Employed","no migration background","2591","0.385313652981599","0.373775279664276","0.396852026298923","1"
"Big worries","2007","Employed","direct migration background","397","0.320646219766202","0.294658181467722","0.346634258064682","1"
"Big worries","2007","Not Employed","indirect migration background","89","0.29517413696837","0.236354523255487","0.353993750681253","1"
"No worries","2007","Employed","indirect migration background","87","0.161977843121924","0.131242780053177","0.192712906190671","3"
"No worries","2007","Not Employed","no migration background","731","0.106481928066888","0.0991688497001406","0.113795006433636","3"
"No worries","2007","Employed","direct migration background","159","0.132846050696337","0.113947223020581","0.151744878372092","3"
"No worries","2007","Employed","no migration background","1126","0.108368746470176","0.102495386462373","0.114242106477978","3"
"No worries","2007","Not Employed","indirect migration background","39","0.164368816180739","0.116576383845158","0.212161248516319","3"
"No worries","2007","Not Employed","direct migration background","106","0.112855610338575","0.0918902275303517","0.133820993146798","3"
"Some worries","2007","Not Employed","no migration background","3512","0.508204418951513","0.496351586827701","0.520057251075324","2"
"Some worries","2007","Employed","direct migration background","683","0.546507729537462","0.518787582040922","0.574227877034002","2"
"Some worries","2007","Employed","indirect migration background","265","0.435911175394338","0.39454443492361","0.477277915865067","2"
"Some worries","2007","Employed","no migration background","5779","0.518514506175458","0.509073592764766","0.527955419586151","2"
"Some worries","2007","Not Employed","direct migration background","478","0.565345557969878","0.532500266680931","0.598190849258825","2"
"Some worries","2007","Not Employed","indirect migration background","103","0.540457046850891","0.476190384097442","0.60472370960434","2"
"Big worries","2008","Employed","indirect migration background","160","0.319190680996804","0.280650142289261","0.357731219704347","1"
"Big worries","2008","Employed","no migration background","2653","0.272218621159889","0.263588770583148","0.28084847173663","1"
"Big worries","2008","Not Employed","direct migration background","214","0.260190925213232","0.229807429954042","0.290574420472423","1"
"Big worries","2008","Not Employed","no migration background","1921","0.311923544739408","0.30062800360043","0.323219085878386","1"
