"plh0036","year","sex","n","percent","lower_confidence","upper_confidence","value"
"No worries","1997","Male","643","0.0944044174829909","0.0871386533318285","0.101670181634153","3"
"Some worries","1997","Female","3673","0.547341800903379","0.535371276966687","0.559312324840071","2"
"Some worries","1997","Male","3682","0.583949512843287","0.571701132664445","0.59619789302213","2"
"Big worries","1998","Female","2563","0.359410359204845","0.348460138114416","0.370360580295275","1"
"Big worries","1998","Male","2014","0.311260357864139","0.300322087524591","0.322198628203686","1"
"No worries","1998","Female","482","0.0682370358935321","0.06248263074615","0.0739914410409143","3"
"No worries","1998","Male","671","0.0921196373473258","0.0852876095094759","0.0989516651851758","3"
"Some worries","1998","Female","4331","0.572352604901622","0.561062125458659","0.583643084344586","2"
"Some worries","1998","Male","4198","0.596620004788535","0.5850304890361","0.60820952054097","2"
"Big worries","1999","Female","1710","0.252597057450411","0.242481066786746","0.262713048114075","1"
"Big worries","1999","Male","1350","0.214123189829726","0.204246044034966","0.224000335624485","1"
"No worries","1999","Female","752","0.0994203901459713","0.0924538737900355","0.106386906501907","3"
"No worries","1999","Male","1067","0.150229585113919","0.141626565508502","0.158832604719336","3"
"Some worries","1999","Female","4625","0.647982552403618","0.636863171040301","0.659101933766935","2"
"Some worries","1999","Male","4209","0.635647225056356","0.624059678456349","0.647234771656362","2"
"Big worries","2000","Female","3576","0.292704337921745","0.284728234252311","0.300680441591179","1"
"Big worries","2000","Male","2744","0.244428361661559","0.23659403670764","0.252262686615477","1"
"No worries","2000","Female","1510","0.120690774463819","0.114980150474993","0.126401398452645","3"
"No worries","2000","Male","2010","0.172498910048621","0.165611349590809","0.179386470506433","3"
"Some worries","2000","Female","7415","0.586604887614436","0.577972494277591","0.595237280951281","2"
"Some worries","2000","Male","6805","0.583072728289821","0.574084388631918","0.592061067947723","2"
"Big worries","2001","Female","3042","0.26868057189313","0.260534219991596","0.276826923794664","1"
"Big worries","2001","Male","2412","0.237125011598066","0.228995218829097","0.245254804367036","1"
"No worries","2001","Female","1492","0.129200983648722","0.123036689503752","0.135365277793693","3"
"No worries","2001","Male","1777","0.168368339611801","0.161215807331047","0.175520871892555","3"
"Some worries","2001","Female","6840","0.602118444458148","0.593123275024908","0.611113613891387","2"
"Some worries","2001","Male","6325","0.594506648790133","0.585121647612207","0.603891649968059","2"
"Big worries","2002","Female","2939","0.257887275238163","0.25002723976098","0.265747310715346","1"
"Big worries","2002","Male","2250","0.211759271706999","0.204167743394448","0.219350800019549","1"
"No worries","2002","Female","1569","0.129280617507039","0.123252517825028","0.135308717189051","3"
"No worries","2002","Male","2112","0.190862202019924","0.183560068448118","0.19816433559173","3"
"Some worries","2002","Female","7392","0.612832107254797","0.604080354639913","0.621583859869681","2"
"Some worries","2002","Male","6764","0.597378526273077","0.588265726377557","0.606491326168597","2"
"Big worries","2003","Female","2963","0.272815166649944","0.264669617914172","0.280960715385716","1"
"Big worries","2003","Male","2207","0.223637038486765","0.215733757859459","0.231540319114071","1"
"No worries","2003","Female","1379","0.117181298032418","0.111299249551935","0.123063346512901","3"
"No worries","2003","Male","1840","0.166236875680099","0.159175518846588","0.17329823251361","3"
"Some worries","2003","Female","7144","0.610003535317638","0.601083630993096","0.618923439642181","2"
"Some worries","2003","Male","6631","0.610126085833135","0.600875376852165","0.619376794814106","2"
"Big worries","2004","Female","2809","0.265331306045439","0.25715677596499","0.273505836125889","1"
"Big worries","2004","Male","2067","0.206268848673534","0.198481094258221","0.214056603088847","1"
"No worries","2004","Female","1469","0.12947209892957","0.123256224623474","0.135687973235665","3"
"No worries","2004","Male","2013","0.18968674526773","0.182140973300864","0.197232517234595","3"
"Some worries","2004","Female","6928","0.605196595024991","0.596146326507923","0.614246863542059","2"
"Some worries","2004","Male","6290","0.604044406058737","0.594631659015706","0.613457153101767","2"
"Big worries","2005","Female","3248","0.316549092739822","0.307774823302782","0.325323362176863","1"
"Big worries","2005","Male","2386","0.250327780440475","0.241789662773201","0.25886589810775","1"
"No worries","2005","Female","1227","0.109109425874895","0.103228034437114","0.114990817312675","3"
"No worries","2005","Male","1769","0.173714888156573","0.166247729363685","0.181182046949461","3"
"Some worries","2005","Female","6320","0.574341481385283","0.565014254860979","0.583668707909586","2"
"Some worries","2005","Male","5734","0.575957331402952","0.566217042523524","0.585697620282379","2"
"Big worries","2006","Female","3299","0.294034438590915","0.28569398245636","0.302374894725469","1"
"Big worries","2006","Male","2465","0.242139763048163","0.23392253274822","0.250356993348105","1"
"No worries","2006","Female","1246","0.111924355528091","0.106152888408121","0.11769582264806","3"
"No worries","2006","Male","1754","0.170919326168708","0.163698417973293","0.178140234364123","3"
"Some worries","2006","Female","6918","0.594041205880994","0.585051443610059","0.603030968151929","2"
"Some worries","2006","Male","6221","0.586940910783129","0.577495929012312","0.596385892553946","2"
"Big worries","2007","Female","4181","0.396140958105188","0.386886715285535","0.405395200924842","1"
"Big worries","2007","Male","3242","0.343280515354049","0.333861284039084","0.352699746669013","1"
"No worries","2007","Female","944","0.087927042615578","0.0825687768220593","0.0932853084090967","3"
"No worries","2007","Male","1304","0.137785315616837","0.130947614555966","0.144623016677707","3"
"Some worries","2007","Female","5605","0.515931999279234","0.506476212956959","0.525387785601508","2"
"Some worries","2007","Male","5215","0.518934169029115","0.509022213977512","0.528846124080718","2"
"Big worries","2008","Female","2998","0.31474175968843","0.305701596604024","0.323781922772836","1"
"Big worries","2008","Male","2306","0.257729772301613","0.248802425714264","0.266657118888963","1"
"No worries","2008","Female","1102","0.105962454401094","0.0999710886703797","0.111953820131809","3"
"No worries","2008","Male","1524","0.173964312041662","0.166227027518617","0.181701596564707","3"
"Some worries","2008","Female","6038","0.579295785910476","0.569686069681397","0.588905502139554","2"
"Some worries","2008","Male","5391","0.568305915656725","0.558196216849281","0.578415614464168","2"
"Big worries","2009","Female","2658","0.284694597362694","0.275586984033304","0.293802210692084","1"
"Big worries","2009","Male","2070","0.245659767401895","0.236570143798082","0.254749391005708","1"
"No worries","2009","Female","1027","0.108025549250599","0.101760728238365","0.114290370262832","3"
"No worries","2009","Male","1455","0.174099821299522","0.166093035899471","0.182106606699574","3"
"Some worries","2009","Female","5746","0.607279853386707","0.59742375010065","0.617135956672764","2"
"Some worries","2009","Male","5091","0.580240411298583","0.569819647674122","0.590661174923043","2"
"Big worries","2010","Female","4039","0.32023736583854","0.312234889377479","0.328239842299601","1"
"Big worries","2010","Male","2928","0.284574199165877","0.276112895032528","0.293035503299226","1"
"No worries","2010","Female","1246","0.0892375169957623","0.0843477736545467","0.0941272603369778","3"
"No worries","2010","Male","1703","0.15589058027913","0.149088111526934","0.162693049031327","3"
"Some worries","2010","Female","7773","0.590525117165698","0.582090942712222","0.598959291619173","2"
"Some worries","2010","Male","6293","0.559535220554993","0.550225716333491","0.568844724776495","2"
"Big worries","2011","Female","3627","0.332082069058475","0.32323258588483","0.340931552232121","1"
"Big worries","2011","Male","2633","0.279892709896833","0.270968145724002","0.288817274069664","1"
"No worries","2011","Female","993","0.0921959190976935","0.0867598426228334","0.0976319955725536","3"
"No worries","2011","Male","1447","0.147394150489623","0.140347107877585","0.154441193101661","3"
"Some worries","2011","Female","6260","0.575722011843831","0.566435228560903","0.585008795126759","2"
"Some worries","2011","Male","5641","0.572713139613543","0.562879348883057","0.58254693034403","2"
"Big worries","2012","Female","3297","0.30145942555197","0.292818427096331","0.310100424007609","1"
"Big worries","2012","Male","2396","0.252017644267002","0.243354648776359","0.260680639757645","1"
"No worries","2012","Female","1068","0.0940857902056718","0.0885883662609701","0.0995832141503735","3"
"No worries","2012","Male","1575","0.166356718458466","0.158926232163094","0.173787204753838","3"
"Some worries","2012","Female","6469","0.604454784242358","0.595247455428143","0.613662113056573","2"
"Some worries","2012","Male","5678","0.581625637274532","0.571783005442485","0.59146826910658","2"
"Big worries","2013","Female","2899","0.286739340499347","0.277891094691145","0.295587586307548","1"
"Big worries","2013","Male","2045","0.236061857464564","0.227206893027689","0.244916821901439","1"
"No worries","2013","Female","1190","0.11644324751863","0.110167524287505","0.122718970749755","3"
"No worries","2013","Male","1584","0.180736249036118","0.17271246342349","0.188760034648745","3"
"Some worries","2013","Female","5946","0.596817411982024","0.587219847707138","0.606414976256909","2"
"Some worries","2013","Male","5206","0.583201893499318","0.572921324661449","0.593482462337187","2"
"Big worries","2014","Female","4304","0.29681731269299","0.289417400116014","0.304217225269967","1"
"Big worries","2014","Male","2971","0.234645284555865","0.227198689414514","0.242091879697217","1"
"No worries","2014","Female","1723","0.111539797973102","0.106440835615542","0.116638760330663","3"
"No worries","2014","Male","2389","0.195842691030644","0.188869290077045","0.202816091984242","3"
"Some worries","2014","Female","8615","0.591642889333908","0.583681336608487","0.599604442059328","2"
"Some worries","2014","Male","7081","0.569512024413491","0.560811360211461","0.578212688615521","2"
"Big worries","2015","Female","3826","0.292335116740852","0.284677940080685","0.299992293401018","1"
"Big worries","2015","Male","2592","0.231804064142694","0.224073720947399","0.23953440733799","1"
"No worries","2015","Female","1615","0.114527853023322","0.109166710382088","0.119888995664555","3"
"No worries","2015","Male","2220","0.186335140004","0.179202136919581","0.193468143088418","3"
"Some worries","2015","Female","8113","0.593137030235827","0.584866831385442","0.601407229086212","2"
"Some worries","2015","Male","6635","0.581860795853306","0.572824878664944","0.590896713041668","2"
"Big worries","2016","Female","4012","0.306945116382704","0.299052966008447","0.314837266756961","1"
"Big worries","2016","Male","2824","0.253724300206453","0.245617598414084","0.261831001998822","1"
"No worries","2016","Female","1500","0.113388569337846","0.107963160451115","0.118813978224576","3"
"No worries","2016","Male","1999","0.185763453390741","0.178517943566807","0.193008963214675","3"
"Some worries","2016","Female","7608","0.57966631427945","0.571219998715889","0.58811262984301","2"
"Some worries","2016","Male","6245","0.560512246402806","0.551265702040921","0.569758790764691","2"
"Big worries","2017","Female","5218","0.368252159568429","0.360345639903035","0.376158679233824","1"
"Big worries","2017","Male","3592","0.295159977310102","0.287088502034589","0.303231452585615","1"
"No worries","2017","Female","1357","0.0997973374775168","0.0948840695756212","0.104710605379412","3"
"No worries","2017","Male","1854","0.148329842839552","0.142040157899612","0.154619527779491","3"
"Some worries","2017","Female","7721","0.531950502954054","0.523771086427751","0.540129919480357","2"
"Some worries","2017","Male","6821","0.556510179850346","0.547718794988929","0.565301564711763","2"
"Big worries","2018","Female","4590","0.335073589545742","0.327216234639785","0.3429309444517","1"
"Big worries","2018","Male","3301","0.283201201514764","0.275086328227311","0.291316074802217","1"
"No worries","2018","Female","1531","0.105276599259952","0.100167671036576","0.110385527483329","3"
"No worries","2018","Male","1946","0.156805278260678","0.150256205115106","0.16335435140625","3"
"Some worries","2018","Female","7742","0.559649811194305","0.55138606912009","0.56791355326852","2"
"Some worries","2018","Male","6595","0.559993520224558","0.551053127435168","0.568933913013947","2"
"Big worries","2019","Female","6701","0.489933452517024","0.481487044254544","0.498379860779504","1"
"Big worries","2019","Male","5205","0.41570940988444","0.40699825897414","0.42442056079474","1"
"No worries","2019","Female","746","0.060627730792273","0.0565955070148242","0.0646599545697217","3"
"No worries","2019","Male","1208","0.104541480245372","0.0991335233322699","0.109949437158474","3"
"Some worries","2019","Female","6009","0.449438816690703","0.441034001171815","0.457843632209592","2"
"Some worries","2019","Male","5883","0.479749109870188","0.470918724269143","0.488579495471234","2"
