"hlf0094","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Too Expensive","1984","Bavaria","20","","",""
"Too Expensive","1984","Berlin","3","","",""
"Too Expensive","1984","Brandenburg","","","",""
"Too Expensive","1984","Mecklenburg-Western Pomerania","","","",""
"Too Expensive","1984","Saxony","","","",""
"Too Expensive","1984","Saxony-Anhalt","","","",""
"Too Expensive","1984","Thuringia","","","",""
"Very Inexpensive","1985","Schleswig-Holstein","36","0.2220864629668","0.160679380305086","0.283493545628515"
"Very Inexpensive","1985","Hamburg","7","","",""
"Very Inexpensive","1985","Lower Saxony","142","0.251170922585563","0.215505288174842","0.286836556996283"
"Very Inexpensive","1985","Bremen","10","","",""
"Very Inexpensive","1985","North Rhine-Westphalia","221","0.247933112756881","0.220445348179905","0.275420877333858"
"Very Inexpensive","1985","Hesse","89","0.27279493103464","0.226785862870295","0.318803999198984"
"Very Inexpensive","1985","Rhineland-Palatinate,Saarland","135","0.318851224800697","0.274751642117487","0.362950807483908"
"Very Inexpensive","1985","Baden-Württemberg","132","0.181298391596209","0.154364654573479","0.208232128618938"
"Very Inexpensive","1985","Bavaria","178","0.215043133995648","0.187259174661592","0.242827093329704"
"Very Inexpensive","1985","Berlin","5","","",""
"Very Inexpensive","1985","Brandenburg","","","",""
"Very Inexpensive","1985","Mecklenburg-Western Pomerania","","","",""
"Very Inexpensive","1985","Saxony","","","",""
"Very Inexpensive","1985","Saxony-Anhalt","","","",""
"Very Inexpensive","1985","Thuringia","","","",""
"Inexpensive","1985","Schleswig-Holstein","54","0.307396595518744","0.239228117965772","0.375565073071715"
"Inexpensive","1985","Hamburg","25","","",""
"Inexpensive","1985","Lower Saxony","168","0.302167407005619","0.264403809780682","0.339931004230556"
"Inexpensive","1985","Bremen","11","","",""
"Inexpensive","1985","North Rhine-Westphalia","298","0.32737055236031","0.297499421369789","0.357241683350832"
"Inexpensive","1985","Hesse","125","0.354227657934848","0.304821873997644","0.403633441872052"
"Inexpensive","1985","Rhineland-Palatinate,Saarland","138","0.31997816721952","0.275837281192718","0.364119053246322"
"Inexpensive","1985","Baden-Württemberg","221","0.28245293527236","0.250980158584515","0.313925711960206"
"Inexpensive","1985","Bavaria","247","0.305216655897771","0.274075318335584","0.336357993459958"
"Inexpensive","1985","Berlin","6","","",""
"Inexpensive","1985","Brandenburg","","","",""
"Inexpensive","1985","Mecklenburg-Western Pomerania","","","",""
"Inexpensive","1985","Saxony","","","",""
"Inexpensive","1985","Saxony-Anhalt","","","",""
"Inexpensive","1985","Thuringia","","","",""
"Reasonable","1985","Schleswig-Holstein","58","0.318240605734753","0.249425288099988","0.387055923369517"
"Reasonable","1985","Hamburg","8","","",""
"Reasonable","1985","Lower Saxony","182","0.319718502746389","0.281365255703866","0.358071749788911"
"Reasonable","1985","Bremen","6","","",""
"Reasonable","1985","North Rhine-Westphalia","335","0.332208649351777","0.302226015239578","0.362191283463975"
"Reasonable","1985","Hesse","112","0.307288255687537","0.259629127122802","0.354947384252272"
"Reasonable","1985","Rhineland-Palatinate,Saarland","140","0.321631693709352","0.277430740168319","0.365832647250385"
"Reasonable","1985","Baden-Württemberg","317","0.396497168761187","0.362299498599993","0.43069483892238"
"Reasonable","1985","Bavaria","340","0.397351736718111","0.364259359938053","0.430444113498169"
"Reasonable","1985","Berlin","13","","",""
"Reasonable","1985","Brandenburg","","","",""
"Reasonable","1985","Mecklenburg-Western Pomerania","","","",""
"Reasonable","1985","Saxony","","","",""
"Reasonable","1985","Saxony-Anhalt","","","",""
"Reasonable","1985","Thuringia","","","",""
"Slightly Expensive","1985","Schleswig-Holstein","18","","",""
"Slightly Expensive","1985","Hamburg","1","","",""
"Slightly Expensive","1985","Lower Saxony","55","0.090759220087755","0.0671349307118921","0.114383509463618"
"Slightly Expensive","1985","Bremen","3","","",""
"Slightly Expensive","1985","North Rhine-Westphalia","77","0.0757301010883844","0.0588887241840111","0.0925714779927577"
"Slightly Expensive","1985","Hesse","28","","",""
"Slightly Expensive","1985","Rhineland-Palatinate,Saarland","12","","",""
"Slightly Expensive","1985","Baden-Württemberg","97","0.117616210738182","0.095094614400232","0.140137807076132"
"Slightly Expensive","1985","Bavaria","55","0.059576151370489","0.0435692788149286","0.0755830239260494"
"Slightly Expensive","1985","Berlin","4","","",""
"Slightly Expensive","1985","Brandenburg","","","",""
"Slightly Expensive","1985","Mecklenburg-Western Pomerania","","","",""
"Slightly Expensive","1985","Saxony","","","",""
"Slightly Expensive","1985","Saxony-Anhalt","","","",""
"Slightly Expensive","1985","Thuringia","","","",""
"Too Expensive","1985","Schleswig-Holstein","10","","",""
"Too Expensive","1985","Hamburg","","","",""
"Too Expensive","1985","Lower Saxony","21","","",""
"Too Expensive","1985","Bremen","2","","",""
"Too Expensive","1985","North Rhine-Westphalia","17","","",""
"Too Expensive","1985","Hesse","6","","",""
"Too Expensive","1985","Rhineland-Palatinate,Saarland","4","","",""
"Too Expensive","1985","Baden-Württemberg","19","","",""
"Too Expensive","1985","Bavaria","20","","",""
"Too Expensive","1985","Berlin","1","","",""
"Too Expensive","1985","Brandenburg","","","",""
"Too Expensive","1985","Mecklenburg-Western Pomerania","","","",""
"Too Expensive","1985","Saxony","","","",""
"Too Expensive","1985","Saxony-Anhalt","","","",""
"Too Expensive","1985","Thuringia","","","",""
"Very Inexpensive","1986","Schleswig-Holstein","19","","",""
"Very Inexpensive","1986","Hamburg","11","","",""
"Very Inexpensive","1986","Lower Saxony","122","0.234988918356207","0.200601527760208","0.269376308952206"
"Very Inexpensive","1986","Bremen","14","","",""
"Very Inexpensive","1986","North Rhine-Westphalia","200","0.202770369341971","0.177494335943305","0.228046402740637"
"Very Inexpensive","1986","Hesse","83","0.253626753286944","0.208807009568454","0.298446497005434"
"Very Inexpensive","1986","Rhineland-Palatinate,Saarland","94","0.213202697354013","0.174625389084385","0.251780005623642"
"Very Inexpensive","1986","Baden-Württemberg","110","0.141707296068431","0.117924008700544","0.165490583436318"
"Very Inexpensive","1986","Bavaria","119","0.141641846359606","0.118269888651551","0.165013804067661"
"Very Inexpensive","1986","Berlin","2","","",""
"Very Inexpensive","1986","Brandenburg","","","",""
"Very Inexpensive","1986","Mecklenburg-Western Pomerania","","","",""
"Very Inexpensive","1986","Saxony","","","",""
"Very Inexpensive","1986","Saxony-Anhalt","","","",""
"Very Inexpensive","1986","Thuringia","","","",""
"Inexpensive","1986","Schleswig-Holstein","48","0.241295118860211","0.178614643284657","0.303975594435764"
"Inexpensive","1986","Hamburg","19","","",""
"Inexpensive","1986","Lower Saxony","193","0.31352198052803","0.275895899845378","0.351148061210682"
"Inexpensive","1986","Bremen","3","","",""
"Inexpensive","1986","North Rhine-Westphalia","287","0.312091141570216","0.28296243970826","0.341219843432171"
"Inexpensive","1986","Hesse","109","0.315937102176555","0.268047399705422","0.363826804647688"
"Inexpensive","1986","Rhineland-Palatinate,Saarland","138","0.338810106967053","0.294229556717382","0.383390657216724"
"Inexpensive","1986","Baden-Württemberg","236","0.307642437547763","0.276168838394142","0.339116036701384"
"Inexpensive","1986","Bavaria","269","0.331908746103648","0.300344728628848","0.363472763578448"
"Inexpensive","1986","Berlin","9","","",""
"Inexpensive","1986","Brandenburg","","","",""
"Inexpensive","1986","Mecklenburg-Western Pomerania","","","",""
"Inexpensive","1986","Saxony","","","",""
"Inexpensive","1986","Saxony-Anhalt","","","",""
"Inexpensive","1986","Thuringia","","","",""
"Reasonable","1986","Schleswig-Holstein","74","0.461956319453395","0.388921358867493","0.534991280039297"
"Reasonable","1986","Hamburg","11","","",""
"Reasonable","1986","Lower Saxony","180","0.296483720660522","0.259443022042789","0.333524419278255"
"Reasonable","1986","Bremen","11","","",""
"Reasonable","1986","North Rhine-Westphalia","368","0.373961320221235","0.34354344428855","0.404379196153919"
"Reasonable","1986","Hesse","142","0.370990632461594","0.321227944125213","0.420753320797976"
"Reasonable","1986","Rhineland-Palatinate,Saarland","146","0.33611735749116","0.291623990673946","0.380610724308375"
"Reasonable","1986","Baden-Württemberg","372","0.43828989758684","0.404452658893327","0.472127136280352"
"Reasonable","1986","Bavaria","375","0.425881984487848","0.392737577303267","0.459026391672429"
"Reasonable","1986","Berlin","12","","",""
"Reasonable","1986","Brandenburg","","","",""
"Reasonable","1986","Mecklenburg-Western Pomerania","","","",""
"Reasonable","1986","Saxony","","","",""
"Reasonable","1986","Saxony-Anhalt","","","",""
"Reasonable","1986","Thuringia","","","",""
"Slightly Expensive","1986","Schleswig-Holstein","20","","",""
"Slightly Expensive","1986","Hamburg","4","","",""
"Slightly Expensive","1986","Lower Saxony","68","0.118179811463138","0.0919977804732601","0.144361842453016"
"Slightly Expensive","1986","Bremen","4","","",""
"Slightly Expensive","1986","North Rhine-Westphalia","91","0.0887936595982952","0.0709117332046811","0.106675585991909"
"Slightly Expensive","1986","Hesse","27","","",""
"Slightly Expensive","1986","Rhineland-Palatinate,Saarland","37","0.0730937631943307","0.0485770522904338","0.0976104740982276"
"Slightly Expensive","1986","Baden-Württemberg","90","0.0974923042136962","0.07726357076522","0.117721037662172"
"Slightly Expensive","1986","Bavaria","79","0.0834875656803127","0.0649460550945959","0.10202907626603"
"Slightly Expensive","1986","Berlin","2","","",""
"Slightly Expensive","1986","Brandenburg","","","",""
"Slightly Expensive","1986","Mecklenburg-Western Pomerania","","","",""
"Slightly Expensive","1986","Saxony","","","",""
"Slightly Expensive","1986","Saxony-Anhalt","","","",""
"Slightly Expensive","1986","Thuringia","","","",""
"Too Expensive","1986","Schleswig-Holstein","18","","",""
"Too Expensive","1986","Hamburg","2","","",""
"Too Expensive","1986","Lower Saxony","21","","",""
"Too Expensive","1986","Bremen","","","",""
"Too Expensive","1986","North Rhine-Westphalia","26","","",""
"Too Expensive","1986","Hesse","1","","",""
"Too Expensive","1986","Rhineland-Palatinate,Saarland","18","","",""
"Too Expensive","1986","Baden-Württemberg","18","","",""
"Too Expensive","1986","Bavaria","13","","",""
"Too Expensive","1986","Berlin","1","","",""
"Too Expensive","1986","Brandenburg","","","",""
"Too Expensive","1986","Mecklenburg-Western Pomerania","","","",""
"Too Expensive","1986","Saxony","","","",""
"Too Expensive","1986","Saxony-Anhalt","","","",""
"Too Expensive","1986","Thuringia","","","",""
"Very Inexpensive","1987","Schleswig-Holstein","40","0.243557838336611","0.180501752484687","0.306613924188535"
"Very Inexpensive","1987","Hamburg","10","","",""
"Very Inexpensive","1987","Lower Saxony","128","0.230056448007974","0.195596277004012","0.264516619011936"
"Very Inexpensive","1987","Bremen","7","","",""
"Very Inexpensive","1987","North Rhine-Westphalia","155","0.154873669044151","0.132164805890929","0.177582532197373"
"Very Inexpensive","1987","Hesse","57","0.171481039936899","0.133074382749566","0.209887697124231"
"Very Inexpensive","1987","Rhineland-Palatinate,Saarland","90","0.201823057542667","0.164192352774778","0.239453762310556"
"Very Inexpensive","1987","Baden-Württemberg","112","0.148723751556823","0.124340205570934","0.173107297542712"
"Very Inexpensive","1987","Bavaria","146","0.169411781115552","0.143830472626381","0.194993089604722"
"Very Inexpensive","1987","Berlin","5","","",""
"Very Inexpensive","1987","Brandenburg","","","",""
"Very Inexpensive","1987","Mecklenburg-Western Pomerania","","","",""
"Very Inexpensive","1987","Saxony","","","",""
"Very Inexpensive","1987","Saxony-Anhalt","","","",""
"Very Inexpensive","1987","Thuringia","","","",""
"Inexpensive","1987","Schleswig-Holstein","39","0.235696802545221","0.173345177965205","0.298048427125236"
"Inexpensive","1987","Hamburg","13","","",""
"Inexpensive","1987","Lower Saxony","182","0.316893532338948","0.278798208792107","0.354988855885788"
"Inexpensive","1987","Bremen","10","","",""
"Inexpensive","1987","North Rhine-Westphalia","321","0.330002216973871","0.300487345610312","0.359517088337431"
"Inexpensive","1987","Hesse","125","0.369230609269504","0.320057079651738","0.41840413888727"
"Inexpensive","1987","Rhineland-Palatinate,Saarland","167","0.402765541419741","0.356781625234885","0.448749457604597"
"Inexpensive","1987","Baden-Württemberg","309","0.384921449270268","0.35157705852916","0.418265840011376"
"Inexpensive","1987","Bavaria","278","0.350164732393884","0.317633845203418","0.38269561958435"
"Inexpensive","1987","Berlin","9","","",""
"Inexpensive","1987","Brandenburg","","","",""
"Inexpensive","1987","Mecklenburg-Western Pomerania","","","",""
"Inexpensive","1987","Saxony","","","",""
"Inexpensive","1987","Saxony-Anhalt","","","",""
"Inexpensive","1987","Thuringia","","","",""
"Reasonable","1987","Schleswig-Holstein","66","0.382326936201509","0.310937349214451","0.453716523188566"
"Reasonable","1987","Hamburg","20","","",""
"Reasonable","1987","Lower Saxony","164","0.294588662999805","0.257263646164042","0.331913679835568"
"Reasonable","1987","Bremen","4","","",""
"Reasonable","1987","North Rhine-Westphalia","403","0.422245721738436","0.391242987519315","0.453248455957556"
"Reasonable","1987","Hesse","146","0.366101344855003","0.317015326402733","0.415187363307273"
"Reasonable","1987","Rhineland-Palatinate,Saarland","136","0.290855593844552","0.248274832375719","0.333436355313385"
"Reasonable","1987","Baden-Württemberg","303","0.367496791553784","0.334457587095377","0.400535996012192"
"Reasonable","1987","Bavaria","342","0.408097719088193","0.374580717662368","0.441614720514017"
"Reasonable","1987","Berlin","5","","",""
"Reasonable","1987","Brandenburg","","","",""
"Reasonable","1987","Mecklenburg-Western Pomerania","","","",""
"Reasonable","1987","Saxony","","","",""
"Reasonable","1987","Saxony-Anhalt","","","",""
"Reasonable","1987","Thuringia","","","",""
"Slightly Expensive","1987","Schleswig-Holstein","27","","",""
"Slightly Expensive","1987","Hamburg","3","","",""
"Slightly Expensive","1987","Lower Saxony","63","0.100724097114466","0.0760816433909783","0.125366550837953"
"Slightly Expensive","1987","Bremen","11","","",""
"Slightly Expensive","1987","North Rhine-Westphalia","76","0.0720944865889411","0.055859621370149","0.0883293518077332"
"Slightly Expensive","1987","Hesse","35","0.0777598494254735","0.0504734050673089","0.105046293783638"
"Slightly Expensive","1987","Rhineland-Palatinate,Saarland","25","","",""
"Slightly Expensive","1987","Baden-Württemberg","80","0.0840982406695626","0.0650791678588564","0.103117313480269"
"Slightly Expensive","1987","Bavaria","49","0.0595110448610974","0.0433773549742786","0.0756447347479163"
"Slightly Expensive","1987","Berlin","8","","",""
"Slightly Expensive","1987","Brandenburg","","","",""
"Slightly Expensive","1987","Mecklenburg-Western Pomerania","","","",""
"Slightly Expensive","1987","Saxony","","","",""
"Slightly Expensive","1987","Saxony-Anhalt","","","",""
"Slightly Expensive","1987","Thuringia","","","",""
"Too Expensive","1987","Schleswig-Holstein","6","","",""
"Too Expensive","1987","Hamburg","2","","",""
"Too Expensive","1987","Lower Saxony","36","0.0577372595388078","0.0386393921902226","0.0768351268873929"
"Too Expensive","1987","Bremen","","","",""
"Too Expensive","1987","North Rhine-Westphalia","20","","",""
"Too Expensive","1987","Hesse","7","","",""
"Too Expensive","1987","Rhineland-Palatinate,Saarland","19","","",""
"Too Expensive","1987","Baden-Württemberg","14","","",""
"Too Expensive","1987","Bavaria","11","","",""
"Too Expensive","1987","Berlin","","","",""
"Too Expensive","1987","Brandenburg","","","",""
"Too Expensive","1987","Mecklenburg-Western Pomerania","","","",""
"Too Expensive","1987","Saxony","","","",""
"Too Expensive","1987","Saxony-Anhalt","","","",""
"Too Expensive","1987","Thuringia","","","",""
"Very Inexpensive","1988","Schleswig-Holstein","30","0.177772239043823","0.121607191742821","0.233937286344824"
"Very Inexpensive","1988","Hamburg","12","","",""
"Very Inexpensive","1988","Lower Saxony","120","0.227268572192658","0.191145323658707","0.263391820726608"
"Very Inexpensive","1988","Bremen","9","","",""
"Very Inexpensive","1988","North Rhine-Westphalia","161","0.170709308768065","0.146707493380136","0.194711124155994"
"Very Inexpensive","1988","Hesse","46","0.13892573804129","0.102794036044079","0.1750574400385"
"Very Inexpensive","1988","Rhineland-Palatinate,Saarland","75","0.202503606212876","0.162721680483412","0.24228553194234"
"Very Inexpensive","1988","Baden-Württemberg","138","0.185926111709866","0.1588653544441","0.212986868975633"
"Very Inexpensive","1988","Bavaria","131","0.178435629218826","0.151142786030751","0.205728472406901"
"Very Inexpensive","1988","Berlin","2","","",""
"Very Inexpensive","1988","Brandenburg","","","",""
"Very Inexpensive","1988","Mecklenburg-Western Pomerania","","","",""
"Very Inexpensive","1988","Saxony","","","",""
"Very Inexpensive","1988","Saxony-Anhalt","","","",""
"Very Inexpensive","1988","Thuringia","","","",""
"Inexpensive","1988","Schleswig-Holstein","55","0.319217466889133","0.250734019274666","0.3877009145036"
"Inexpensive","1988","Hamburg","13","","",""
"Inexpensive","1988","Lower Saxony","162","0.328657101206745","0.288167217499557","0.369146984913933"
"Inexpensive","1988","Bremen","7","","",""
"Inexpensive","1988","North Rhine-Westphalia","343","0.362079876403742","0.331421620899505","0.392738131907979"
"Inexpensive","1988","Hesse","142","0.460050594490886","0.407984369458828","0.512116819522945"
"Inexpensive","1988","Rhineland-Palatinate,Saarland","164","0.403430712377526","0.35486609384554","0.451995330909512"
"Inexpensive","1988","Baden-Württemberg","238","0.302778562045459","0.270820107682352","0.334737016408567"
"Inexpensive","1988","Bavaria","258","0.335815930466907","0.302150663105545","0.369481197828269"
"Inexpensive","1988","Berlin","5","","",""
"Inexpensive","1988","Brandenburg","","","",""
"Inexpensive","1988","Mecklenburg-Western Pomerania","","","",""
"Inexpensive","1988","Saxony","","","",""
"Inexpensive","1988","Saxony-Anhalt","","","",""
"Inexpensive","1988","Thuringia","","","",""
"Reasonable","1988","Schleswig-Holstein","67","0.367288185911283","0.296470041791739","0.438106330030828"
"Reasonable","1988","Hamburg","18","","",""
"Reasonable","1988","Lower Saxony","202","0.386955218590486","0.344971657472924","0.428938779708048"
"Reasonable","1988","Bremen","8","","",""
"Reasonable","1988","North Rhine-Westphalia","345","0.365179689678351","0.334465376516313","0.395894002840389"
"Reasonable","1988","Hesse","119","0.316093785898499","0.267522118411491","0.364665453385507"
"Reasonable","1988","Rhineland-Palatinate,Saarland","118","0.302170608246679","0.256713082264062","0.347628134229297"
"Reasonable","1988","Baden-Württemberg","352","0.431994973245722","0.397539892180161","0.466450054311283"
"Reasonable","1988","Bavaria","303","0.400678991065161","0.365747652344038","0.435610329786284"
"Reasonable","1988","Berlin","9","","",""
"Reasonable","1988","Brandenburg","","","",""
"Reasonable","1988","Mecklenburg-Western Pomerania","","","",""
"Reasonable","1988","Saxony","","","",""
"Reasonable","1988","Saxony-Anhalt","","","",""
"Reasonable","1988","Thuringia","","","",""
"Slightly Expensive","1988","Schleswig-Holstein","20","","",""
"Slightly Expensive","1988","Hamburg","1","","",""
"Slightly Expensive","1988","Lower Saxony","20","","",""
"Slightly Expensive","1988","Bremen","7","","",""
"Slightly Expensive","1988","North Rhine-Westphalia","79","0.0857386624636364","0.0678784910278859","0.103598833899387"
"Slightly Expensive","1988","Hesse","40","0.0757106929816065","0.0480757015462861","0.103345684416927"
"Slightly Expensive","1988","Rhineland-Palatinate,Saarland","32","0.0791064609353973","0.0523877348157946","0.105825187055"
"Slightly Expensive","1988","Baden-Württemberg","61","0.073422812702827","0.055280437250006","0.091565188155648"
"Slightly Expensive","1988","Bavaria","55","0.0734858078593447","0.0548857211932961","0.0920858945253934"
"Slightly Expensive","1988","Berlin","6","","",""
"Slightly Expensive","1988","Brandenburg","","","",""
"Slightly Expensive","1988","Mecklenburg-Western Pomerania","","","",""
"Slightly Expensive","1988","Saxony","","","",""
"Slightly Expensive","1988","Saxony-Anhalt","","","",""
"Slightly Expensive","1988","Thuringia","","","",""
"Too Expensive","1988","Schleswig-Holstein","6","","",""
"Too Expensive","1988","Hamburg","","","",""
"Too Expensive","1988","Lower Saxony","13","","",""
"Too Expensive","1988","Bremen","","","",""
"Too Expensive","1988","North Rhine-Westphalia","16","","",""
"Too Expensive","1988","Hesse","5","","",""
"Too Expensive","1988","Rhineland-Palatinate,Saarland","3","","",""
"Too Expensive","1988","Baden-Württemberg","5","","",""
"Too Expensive","1988","Bavaria","9","","",""
"Too Expensive","1988","Berlin","","","",""
"Too Expensive","1988","Brandenburg","","","",""
"Too Expensive","1988","Mecklenburg-Western Pomerania","","","",""
"Too Expensive","1988","Saxony","","","",""
"Too Expensive","1988","Saxony-Anhalt","","","",""
"Too Expensive","1988","Thuringia","","","",""
"Very Inexpensive","1989","Schleswig-Holstein","33","0.226576912750635","0.162312479436009","0.29084134606526"
"Very Inexpensive","1989","Hamburg","16","","",""
"Very Inexpensive","1989","Lower Saxony","137","0.284245404546815","0.244827557763774","0.323663251329857"
"Very Inexpensive","1989","Bremen","11","","",""
"Very Inexpensive","1989","North Rhine-Westphalia","190","0.20750032005102","0.181576852222911","0.233423787879128"
"Very Inexpensive","1989","Hesse","64","0.204060812266864","0.162078514048031","0.246043110485697"
"Very Inexpensive","1989","Rhineland-Palatinate,Saarland","73","0.18904515991272","0.150383446560075","0.227706873265364"
"Very Inexpensive","1989","Baden-Württemberg","149","0.199998366329922","0.171891207129416","0.228105525530429"
"Very Inexpensive","1989","Bavaria","134","0.181097411532041","0.153700636316371","0.208494186747711"
"Very Inexpensive","1989","Berlin","2","","",""
"Very Inexpensive","1989","Brandenburg","","","",""
"Very Inexpensive","1989","Mecklenburg-Western Pomerania","","","",""
"Very Inexpensive","1989","Saxony","","","",""
"Very Inexpensive","1989","Saxony-Anhalt","","","",""
"Very Inexpensive","1989","Thuringia","","","",""
"Inexpensive","1989","Schleswig-Holstein","55","0.344037334458171","0.271108942626958","0.416965726289383"
"Inexpensive","1989","Hamburg","19","","",""
"Inexpensive","1989","Lower Saxony","169","0.325396150803846","0.284451731927345","0.366340569680347"
"Inexpensive","1989","Bremen","8","","",""
"Inexpensive","1989","North Rhine-Westphalia","304","0.326632885917026","0.29665230321776","0.356613468616291"
"Inexpensive","1989","Hesse","159","0.446671433780116","0.394883081299604","0.498459786260629"
"Inexpensive","1989","Rhineland-Palatinate,Saarland","178","0.459925815223203","0.410713864224879","0.509137766221527"
"Inexpensive","1989","Baden-Württemberg","280","0.373651393338676","0.339657598156948","0.407645188520404"
"Inexpensive","1989","Bavaria","279","0.37591425943331","0.341455968542632","0.410372550323989"
"Inexpensive","1989","Berlin","5","","",""
"Inexpensive","1989","Brandenburg","","","",""
"Inexpensive","1989","Mecklenburg-Western Pomerania","","","",""
"Inexpensive","1989","Saxony","","","",""
"Inexpensive","1989","Saxony-Anhalt","","","",""
"Inexpensive","1989","Thuringia","","","",""
"Reasonable","1989","Schleswig-Holstein","54","0.331736815560979","0.259455692379661","0.404017938742296"
"Reasonable","1989","Hamburg","3","","",""
"Reasonable","1989","Lower Saxony","148","0.300487442699767","0.260421531892433","0.340553353507102"
"Reasonable","1989","Bremen","5","","",""
"Reasonable","1989","North Rhine-Westphalia","364","0.379344549897402","0.348325651136665","0.410363448658138"
"Reasonable","1989","Hesse","112","0.313923615947795","0.265579381286166","0.362267850609425"
"Reasonable","1989","Rhineland-Palatinate,Saarland","113","0.280463457993799","0.23610621451721","0.324820701470389"
"Reasonable","1989","Baden-Württemberg","281","0.340537475167471","0.307238121127476","0.373836829207467"
