"hlf0094","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Reasonable","1991","Part Time","Female","213","0.410445545304287","0.368526634383919","0.452364456224654","3"
"Reasonable","1991","Not Working","Female","365","0.37366154519035","0.343326506713654","0.403996583667045","3"
"Slightly Expensive","1991","Full Time","Male","93","0.0733139395826719","0.0588179827563281","0.0878098964090158","4"
"Slightly Expensive","1991","Full Time","Female","39","0.0905051277343484","0.0633242844377057","0.117685971030991","4"
"Slightly Expensive","1991","Part Time","Male","11","","","","4"
"Slightly Expensive","1991","Not Working","Male","12","","","","4"
"Slightly Expensive","1991","Part Time","Female","40","0.079206659432589","0.0561931851215313","0.102220133743647","4"
"Slightly Expensive","1991","Not Working","Female","38","0.0374328611206999","0.0255302337864514","0.0493354884549483","4"
"Too Expensive","1991","Full Time","Male","22","","","","5"
"Too Expensive","1991","Full Time","Female","13","","","","5"
"Too Expensive","1991","Part Time","Male","3","","","","5"
"Too Expensive","1991","Part Time","Female","12","","","","5"
"Too Expensive","1991","Not Working","Male","8","","","","5"
"Too Expensive","1991","Not Working","Female","11","","","","5"
"Very Inexpensive","1991","Full Time","Male","199","0.155098933923856","0.134966576668533","0.175231291179179","1"
"Very Inexpensive","1991","Full Time","Female","57","0.142993866701863","0.109829105346995","0.176158628056731","1"
"Very Inexpensive","1991","Part Time","Male","50","0.225309842684365","0.169722959247397","0.280896726121334","1"
"Very Inexpensive","1991","Part Time","Female","90","0.171057639986916","0.13896882645409","0.203146453519742","1"
"Very Inexpensive","1991","Not Working","Male","102","0.221568196163478","0.18487128282447","0.258265109502486","1"
"Very Inexpensive","1991","Not Working","Female","194","0.193540920755501","0.168767933547437","0.218313907963566","1"
"Inexpensive","1992","Full Time","Male","491","0.314297177846876","0.291801729646073","0.336792626047679","2"
"Inexpensive","1992","Full Time","Female","189","0.282886723341186","0.249108414408842","0.316665032273531","2"
"Inexpensive","1992","Part Time","Male","94","0.318111575535923","0.263656128650171","0.372567022421674","2"
"Inexpensive","1992","Part Time","Female","201","0.294677014144182","0.260660430478018","0.328693597810346","2"
"Inexpensive","1992","Not Working","Female","419","0.368015380419445","0.340556984982744","0.395473775856145","2"
"Inexpensive","1992","Not Working","Male","227","0.408357505857227","0.368928949471151","0.447786062243303","2"
"Reasonable","1992","Full Time","Male","688","0.418723426880316","0.394817175536274","0.442629678224359","3"
"Reasonable","1992","Full Time","Female","288","0.419697762925586","0.382686561012217","0.456708964838956","3"
"Reasonable","1992","Part Time","Male","117","0.402849558036823","0.345502881242283","0.460196234831363","3"
"Reasonable","1992","Part Time","Female","302","0.448703192977482","0.411592773431419","0.485813612523544","3"
"Reasonable","1992","Not Working","Male","200","0.319679215571595","0.282270310621626","0.357088120521564","3"
"Reasonable","1992","Not Working","Female","457","0.382762655666917","0.355088155075538","0.410437156258296","3"
"Slightly Expensive","1992","Full Time","Male","184","0.0844908476621937","0.0710138665373606","0.0979678287870269","4"
"Slightly Expensive","1992","Full Time","Female","97","0.108223356387048","0.0849249462914194","0.131521766482677","4"
"Slightly Expensive","1992","Part Time","Male","26","","","","4"
"Slightly Expensive","1992","Part Time","Female","76","0.080352962662831","0.0600698276854273","0.100636097640235","4"
"Slightly Expensive","1992","Not Working","Male","47","0.0556965441004857","0.0373002290196216","0.0740928591813498","4"
"Slightly Expensive","1992","Not Working","Female","86","0.0512707363408295","0.0387134776401442","0.0638279950415147","4"
"Too Expensive","1992","Full Time","Male","63","0.0304875603096381","0.0221566114123227","0.0388185092069535","5"
"Too Expensive","1992","Full Time","Female","23","","","","5"
"Too Expensive","1992","Part Time","Male","8","","","","5"
"Too Expensive","1992","Part Time","Female","28","","","","5"
"Too Expensive","1992","Not Working","Male","9","","","","5"
"Too Expensive","1992","Not Working","Female","28","","","","5"
"Very Inexpensive","1992","Full Time","Male","210","0.152000987300976","0.13460386890409","0.169398105697862","1"
"Very Inexpensive","1992","Full Time","Female","86","0.159816723645204","0.132335512615734","0.187297934674674","1"
"Very Inexpensive","1992","Part Time","Male","36","0.178092849263134","0.13335969201461","0.222826006511658","1"
"Very Inexpensive","1992","Part Time","Female","83","0.148494656694347","0.121962494241727","0.175026819146967","1"
"Very Inexpensive","1992","Not Working","Female","195","0.177053786340171","0.155320407473678","0.198787165206665","1"
"Very Inexpensive","1992","Not Working","Male","114","0.198758584241238","0.166747117946548","0.230770050535927","1"
"Inexpensive","1993","Full Time","Male","511","0.332749634399907","0.309617956505068","0.355881312294746","2"
"Inexpensive","1993","Full Time","Female","205","0.287550928493358","0.253354963923111","0.321746893063605","2"
"Inexpensive","1993","Part Time","Male","91","0.341002085533877","0.284458057052444","0.397546114015311","2"
"Inexpensive","1993","Part Time","Female","234","0.326771233189245","0.292099650282134","0.361442816096357","2"
"Inexpensive","1993","Not Working","Female","422","0.371919196513706","0.344260536086598","0.399577856940815","2"
"Inexpensive","1993","Not Working","Male","236","0.403828603199679","0.364923050257441","0.442734156141917","2"
"Reasonable","1993","Full Time","Male","674","0.400881771405086","0.376823282085946","0.424940260724227","3"
"Reasonable","1993","Full Time","Female","286","0.429692787721353","0.392292579254518","0.467092996188189","3"
"Reasonable","1993","Part Time","Male","114","0.438306742321097","0.379122663821078","0.497490820821116","3"
"Reasonable","1993","Part Time","Female","295","0.441383419088762","0.404677563897435","0.478089274280089","3"
"Reasonable","1993","Not Working","Male","233","0.344995567559067","0.307302944357987","0.382688190760146","3"
"Reasonable","1993","Not Working","Female","481","0.397053987458128","0.369053661984875","0.425054312931382","3"
"Slightly Expensive","1993","Full Time","Male","131","0.0755880325375192","0.0626113633675435","0.0885647017074949","4"
"Slightly Expensive","1993","Full Time","Female","77","0.106679446931376","0.0833564368659274","0.130002456996824","4"
"Slightly Expensive","1993","Part Time","Female","59","0.0682019420303615","0.0495669290494306","0.0868369550112924","4"
"Slightly Expensive","1993","Part Time","Male","19","","","","4"
"Slightly Expensive","1993","Not Working","Male","27","","","","4"
"Slightly Expensive","1993","Not Working","Female","57","0.0368026035423945","0.0260281313014179","0.0475770757833711","4"
"Too Expensive","1993","Full Time","Male","43","0.0271559030346646","0.0191767337122863","0.035135072357043","5"
"Too Expensive","1993","Full Time","Female","16","","","","5"
"Too Expensive","1993","Part Time","Male","4","","","","5"
"Too Expensive","1993","Part Time","Female","18","","","","5"
"Too Expensive","1993","Not Working","Male","7","","","","5"
"Too Expensive","1993","Not Working","Female","21","","","","5"
"Very Inexpensive","1993","Full Time","Male","235","0.163624658622823","0.145464111879315","0.18178520536633","1"
"Very Inexpensive","1993","Full Time","Female","89","0.149261238154592","0.122338936301597","0.176183540007587","1"
"Very Inexpensive","1993","Part Time","Male","42","0.161670697316346","0.117758093655717","0.205583300976975","1"
"Very Inexpensive","1993","Part Time","Female","97","0.143260361296522","0.117362859016595","0.16915786357645","1"
"Very Inexpensive","1993","Not Working","Female","192","0.176418794809834","0.154605326464749","0.19823226315492","1"
"Very Inexpensive","1993","Not Working","Male","108","0.202921605165108","0.171032513477916","0.2348106968523","1"
"Inexpensive","1994","Full Time","Male","498","0.315535630754067","0.292635156424229","0.338436105083905","2"
"Inexpensive","1994","Full Time","Female","173","0.266210317663851","0.231752497968024","0.300668137359679","2"
"Inexpensive","1994","Part Time","Male","68","0.273616242043443","0.217678210805543","0.329554273281343","2"
"Inexpensive","1994","Part Time","Female","197","0.297262765159603","0.263355940605836","0.331169589713369","2"
"Inexpensive","1994","Not Working","Male","237","0.351657376586479","0.315256695124806","0.388058058048152","2"
"Inexpensive","1994","Not Working","Female","432","0.357665855071552","0.330591751075246","0.384739959067858","2"
"Reasonable","1994","Full Time","Male","686","0.429588850296204","0.405195842480571","0.453981858111838","3"
"Reasonable","1994","Full Time","Female","293","0.471081874158622","0.432165535490401","0.509998212826844","3"
"Reasonable","1994","Part Time","Male","98","0.395004998320521","0.333666891608079","0.456343105032962","3"
"Reasonable","1994","Part Time","Female","328","0.448070895880516","0.411178624441847","0.484963167319185","3"
"Reasonable","1994","Not Working","Male","262","0.390947407670731","0.353748179572837","0.428146635768625","3"
"Reasonable","1994","Not Working","Female","480","0.38961039565882","0.362064704116332","0.417156087201309","3"
"Slightly Expensive","1994","Full Time","Male","150","0.0821467247545023","0.0686158271137781","0.0956776223952265","4"
