"hlf0094","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Reasonable","1984","(Married) couple without C. ","general elemantary","94","0.340740069659342","0.284722832102464","0.39675730721622"
"Reasonable","1984","(Married) couple without C. ","middle vocational","165","0.316242030745798","0.275963454934339","0.356520606557256"
"Reasonable","1984","(Married) couple without C. ","vocational + Abi","8","","",""
"Reasonable","1984","(Married) couple without C. ","higher vocational","21","","",""
"Reasonable","1984","(Married) couple without C. ","higher education","27","","",""
"Reasonable","1984","Single parent ","in school","2","","",""
"Reasonable","1984","Single parent ","inadequately","2","","",""
"Reasonable","1984","Single parent ","general elemantary","18","","",""
"Reasonable","1984","Single parent ","middle vocational","29","","",""
"Reasonable","1984","Single parent ","vocational + Abi","1","","",""
"Reasonable","1984","Single parent ","higher vocational","5","","",""
"Reasonable","1984","Single parent ","higher education","3","","",""
"Reasonable","1984","Couple + C. LE 16 ","in school","","","",""
"Reasonable","1984","Couple + C. LE 16 ","inadequately","5","","",""
"Reasonable","1984","Couple + C. LE 16 ","general elemantary","53","0.346371474007516","0.268385476773503","0.424357471241528"
"Reasonable","1984","Couple + C. LE 16 ","middle vocational","204","0.37193801221844","0.331021158287702","0.412854866149179"
"Reasonable","1984","Couple + C. LE 16 ","vocational + Abi","8","","",""
"Reasonable","1984","Couple + C. LE 16 ","higher vocational","38","0.375377882844046","0.281864773441509","0.468890992246584"
"Reasonable","1984","Couple + C. LE 16 ","higher education","51","0.432303231673039","0.341760910737919","0.522845552608159"
"Reasonable","1984","Couple + C. GT 16 ","in school","20","","",""
"Reasonable","1984","Couple + C. GT 16 ","inadequately","5","","",""
"Reasonable","1984","Couple + C. GT 16 ","general elemantary","93","0.31290914846694","0.259726142727161","0.366092154206718"
"Reasonable","1984","Couple + C. GT 16 ","middle vocational","170","0.328538159903985","0.287492458936793","0.369583860871177"
"Reasonable","1984","Couple + C. GT 16 ","vocational + Abi","6","","",""
"Reasonable","1984","Couple + C. GT 16 ","higher vocational","16","","",""
"Reasonable","1984","Couple + C. GT 16 ","higher education","19","","",""
"Reasonable","1984","Couple + C. LE and GT 16","in school","15","","",""
"Reasonable","1984","Couple + C. LE and GT 16","inadequately","4","","",""
"Reasonable","1984","Couple + C. LE and GT 16","general elemantary","66","0.255333158134276","0.201281041743688","0.309385274524865"
"Reasonable","1984","Couple + C. LE and GT 16","middle vocational","92","0.241203703722156","0.197314647086918","0.285092760357394"
"Reasonable","1984","Couple + C. LE and GT 16","vocational + Abi","3","","",""
"Reasonable","1984","Couple + C. LE and GT 16","higher vocational","11","","",""
"Reasonable","1984","Couple + C. LE and GT 16","higher education","14","","",""
"Slightly Expensive","1984","1-pers.-HH","in school","","","",""
"Slightly Expensive","1984","1-pers.-HH","inadequately","","","",""
"Slightly Expensive","1984","1-pers.-HH","general elemantary","6","","",""
"Slightly Expensive","1984","1-pers.-HH","middle vocational","8","","",""
"Slightly Expensive","1984","1-pers.-HH","vocational + Abi","","","",""
"Slightly Expensive","1984","1-pers.-HH","higher vocational","1","","",""
"Slightly Expensive","1984","1-pers.-HH","higher education","1","","",""
"Slightly Expensive","1984","(Married) couple without C. ","in school","","","",""
"Slightly Expensive","1984","(Married) couple without C. ","inadequately","","","",""
"Slightly Expensive","1984","(Married) couple without C. ","general elemantary","12","","",""
"Slightly Expensive","1984","(Married) couple without C. ","middle vocational","27","","",""
"Slightly Expensive","1984","(Married) couple without C. ","vocational + Abi","","","",""
"Slightly Expensive","1984","(Married) couple without C. ","higher vocational","6","","",""
"Slightly Expensive","1984","(Married) couple without C. ","higher education","5","","",""
"Slightly Expensive","1984","Single parent ","in school","","","",""
"Slightly Expensive","1984","Single parent ","inadequately","","","",""
"Slightly Expensive","1984","Single parent ","general elemantary","3","","",""
"Slightly Expensive","1984","Single parent ","middle vocational","4","","",""
"Slightly Expensive","1984","Single parent ","vocational + Abi","","","",""
"Slightly Expensive","1984","Single parent ","higher vocational","2","","",""
"Slightly Expensive","1984","Single parent ","higher education","","","",""
"Slightly Expensive","1984","Couple + C. LE 16 ","in school","","","",""
"Slightly Expensive","1984","Couple + C. LE 16 ","inadequately","2","","",""
"Slightly Expensive","1984","Couple + C. LE 16 ","general elemantary","16","","",""
"Slightly Expensive","1984","Couple + C. LE 16 ","middle vocational","52","0.0897845681686687","0.0655832711117083","0.113985865225629"
"Slightly Expensive","1984","Couple + C. LE 16 ","vocational + Abi","","","",""
"Slightly Expensive","1984","Couple + C. LE 16 ","higher vocational","16","","",""
"Slightly Expensive","1984","Couple + C. LE 16 ","higher education","14","","",""
"Slightly Expensive","1984","Couple + C. GT 16 ","in school","5","","",""
"Slightly Expensive","1984","Couple + C. GT 16 ","inadequately","3","","",""
"Slightly Expensive","1984","Couple + C. GT 16 ","general elemantary","16","","",""
"Slightly Expensive","1984","Couple + C. GT 16 ","middle vocational","24","","",""
"Slightly Expensive","1984","Couple + C. GT 16 ","vocational + Abi","2","","",""
"Slightly Expensive","1984","Couple + C. GT 16 ","higher vocational","4","","",""
"Slightly Expensive","1984","Couple + C. GT 16 ","higher education","2","","",""
"Slightly Expensive","1984","Couple + C. LE and GT 16","in school","5","","",""
"Slightly Expensive","1984","Couple + C. LE and GT 16","inadequately","1","","",""
"Slightly Expensive","1984","Couple + C. LE and GT 16","general elemantary","29","","",""
"Slightly Expensive","1984","Couple + C. LE and GT 16","middle vocational","48","0.134641274989284","0.0996234752303844","0.169659074748183"
"Slightly Expensive","1984","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Slightly Expensive","1984","Couple + C. LE and GT 16","higher vocational","4","","",""
"Slightly Expensive","1984","Couple + C. LE and GT 16","higher education","3","","",""
"Too Expensive","1984","1-pers.-HH","in school","","","",""
"Too Expensive","1984","1-pers.-HH","inadequately","","","",""
"Too Expensive","1984","1-pers.-HH","general elemantary","","","",""
"Too Expensive","1984","1-pers.-HH","middle vocational","1","","",""
"Too Expensive","1984","1-pers.-HH","vocational + Abi","","","",""
"Too Expensive","1984","1-pers.-HH","higher vocational","1","","",""
"Too Expensive","1984","1-pers.-HH","higher education","","","",""
"Too Expensive","1984","(Married) couple without C. ","in school","","","",""
"Too Expensive","1984","(Married) couple without C. ","inadequately","","","",""
"Too Expensive","1984","(Married) couple without C. ","general elemantary","3","","",""
"Too Expensive","1984","(Married) couple without C. ","middle vocational","13","","",""
"Too Expensive","1984","(Married) couple without C. ","vocational + Abi","","","",""
"Too Expensive","1984","(Married) couple without C. ","higher vocational","1","","",""
"Too Expensive","1984","(Married) couple without C. ","higher education","1","","",""
"Too Expensive","1984","Single parent ","in school","","","",""
"Too Expensive","1984","Single parent ","inadequately","","","",""
"Too Expensive","1984","Single parent ","general elemantary","2","","",""
"Too Expensive","1984","Single parent ","middle vocational","","","",""
"Too Expensive","1984","Single parent ","vocational + Abi","","","",""
"Too Expensive","1984","Single parent ","higher vocational","1","","",""
"Too Expensive","1984","Single parent ","higher education","","","",""
"Too Expensive","1984","Couple + C. LE 16 ","in school","","","",""
"Too Expensive","1984","Couple + C. LE 16 ","inadequately","1","","",""
"Too Expensive","1984","Couple + C. LE 16 ","general elemantary","7","","",""
"Too Expensive","1984","Couple + C. LE 16 ","middle vocational","17","","",""
"Too Expensive","1984","Couple + C. LE 16 ","vocational + Abi","2","","",""
"Too Expensive","1984","Couple + C. LE 16 ","higher vocational","2","","",""
"Too Expensive","1984","Couple + C. LE 16 ","higher education","3","","",""
"Too Expensive","1984","Couple + C. GT 16 ","in school","2","","",""
"Too Expensive","1984","Couple + C. GT 16 ","inadequately","","","",""
"Too Expensive","1984","Couple + C. GT 16 ","general elemantary","4","","",""
"Too Expensive","1984","Couple + C. GT 16 ","middle vocational","9","","",""
"Too Expensive","1984","Couple + C. GT 16 ","vocational + Abi","1","","",""
"Too Expensive","1984","Couple + C. GT 16 ","higher vocational","","","",""
"Too Expensive","1984","Couple + C. GT 16 ","higher education","2","","",""
"Too Expensive","1984","Couple + C. LE and GT 16","in school","2","","",""
"Too Expensive","1984","Couple + C. LE and GT 16","inadequately","","","",""
"Too Expensive","1984","Couple + C. LE and GT 16","general elemantary","9","","",""
"Too Expensive","1984","Couple + C. LE and GT 16","middle vocational","15","","",""
"Too Expensive","1984","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Too Expensive","1984","Couple + C. LE and GT 16","higher vocational","3","","",""
"Too Expensive","1984","Couple + C. LE and GT 16","higher education","2","","",""
"Very Inexpensive","1985","1-pers.-HH","in school","","","",""
"Very Inexpensive","1985","1-pers.-HH","inadequately","","","",""
"Very Inexpensive","1985","1-pers.-HH","general elemantary","23","","",""
"Very Inexpensive","1985","1-pers.-HH","middle vocational","26","","",""
"Very Inexpensive","1985","1-pers.-HH","vocational + Abi","1","","",""
"Very Inexpensive","1985","1-pers.-HH","higher vocational","2","","",""
"Very Inexpensive","1985","1-pers.-HH","higher education","7","","",""
"Very Inexpensive","1985","(Married) couple without C. ","in school","","","",""
"Very Inexpensive","1985","(Married) couple without C. ","inadequately","","","",""
"Very Inexpensive","1985","(Married) couple without C. ","general elemantary","67","0.289611265913642","0.232226286673705","0.346996245153578"
"Very Inexpensive","1985","(Married) couple without C. ","middle vocational","136","0.324288601628746","0.280349486068433","0.36822771718906"
"Very Inexpensive","1985","(Married) couple without C. ","vocational + Abi","9","","",""
"Very Inexpensive","1985","(Married) couple without C. ","higher vocational","18","","",""
"Very Inexpensive","1985","(Married) couple without C. ","higher education","18","","",""
"Very Inexpensive","1985","Single parent ","in school","1","","",""
"Very Inexpensive","1985","Single parent ","inadequately","1","","",""
"Very Inexpensive","1985","Single parent ","general elemantary","19","","",""
"Very Inexpensive","1985","Single parent ","middle vocational","16","","",""
"Very Inexpensive","1985","Single parent ","vocational + Abi","","","",""
"Very Inexpensive","1985","Single parent ","higher vocational","3","","",""
"Very Inexpensive","1985","Single parent ","higher education","1","","",""
"Very Inexpensive","1985","Couple + C. LE 16 ","in school","","","",""
"Very Inexpensive","1985","Couple + C. LE 16 ","inadequately","","","",""
"Very Inexpensive","1985","Couple + C. LE 16 ","general elemantary","23","","",""
"Very Inexpensive","1985","Couple + C. LE 16 ","middle vocational","88","0.185818913256478","0.152061553997442","0.219576272515514"
"Very Inexpensive","1985","Couple + C. LE 16 ","vocational + Abi","2","","",""
"Very Inexpensive","1985","Couple + C. LE 16 ","higher vocational","16","","",""
"Very Inexpensive","1985","Couple + C. LE 16 ","higher education","12","","",""
"Very Inexpensive","1985","Couple + C. GT 16 ","in school","10","","",""
"Very Inexpensive","1985","Couple + C. GT 16 ","inadequately","2","","",""
"Very Inexpensive","1985","Couple + C. GT 16 ","general elemantary","66","0.214376877013136","0.16762507725176","0.261128676774512"
"Very Inexpensive","1985","Couple + C. GT 16 ","middle vocational","118","0.223262945318332","0.187708973795473","0.25881691684119"
"Very Inexpensive","1985","Couple + C. GT 16 ","vocational + Abi","4","","",""
"Very Inexpensive","1985","Couple + C. GT 16 ","higher vocational","19","","",""
"Very Inexpensive","1985","Couple + C. GT 16 ","higher education","24","","",""
"Very Inexpensive","1985","Couple + C. LE and GT 16","in school","3","","",""
"Very Inexpensive","1985","Couple + C. LE and GT 16","inadequately","","","",""
"Very Inexpensive","1985","Couple + C. LE and GT 16","general elemantary","37","0.171898596723535","0.121814739339712","0.221982454107358"
"Very Inexpensive","1985","Couple + C. LE and GT 16","middle vocational","63","0.200162164932218","0.15686064548907","0.243463684375367"
"Very Inexpensive","1985","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Very Inexpensive","1985","Couple + C. LE and GT 16","higher vocational","5","","",""
"Very Inexpensive","1985","Couple + C. LE and GT 16","higher education","7","","",""
"Inexpensive","1985","1-pers.-HH","in school","","","",""
"Inexpensive","1985","1-pers.-HH","inadequately","1","","",""
"Inexpensive","1985","1-pers.-HH","general elemantary","21","","",""
"Inexpensive","1985","1-pers.-HH","middle vocational","30","0.394306080045326","0.287216690848623","0.501395469242029"
"Inexpensive","1985","1-pers.-HH","vocational + Abi","1","","",""
"Inexpensive","1985","1-pers.-HH","higher vocational","3","","",""
"Inexpensive","1985","1-pers.-HH","higher education","8","","",""
"Inexpensive","1985","(Married) couple without C. ","in school","","","",""
"Inexpensive","1985","(Married) couple without C. ","inadequately","1","","",""
"Inexpensive","1985","(Married) couple without C. ","general elemantary","98","0.401653550276827","0.339631711965645","0.463675388588009"
"Inexpensive","1985","(Married) couple without C. ","middle vocational","137","0.319928958798054","0.276145631378486","0.363712286217623"
"Inexpensive","1985","(Married) couple without C. ","vocational + Abi","5","","",""
"Inexpensive","1985","(Married) couple without C. ","higher vocational","17","","",""
"Inexpensive","1985","(Married) couple without C. ","higher education","30","0.348675832564923","0.244248876896293","0.453102788233553"
"Inexpensive","1985","Single parent ","in school","3","","",""
"Inexpensive","1985","Single parent ","inadequately","2","","",""
"Inexpensive","1985","Single parent ","general elemantary","20","","",""
"Inexpensive","1985","Single parent ","middle vocational","42","0.436783901601147","0.335979972948768","0.537587830253526"
"Inexpensive","1985","Single parent ","vocational + Abi","2","","",""
"Inexpensive","1985","Single parent ","higher vocational","4","","",""
"Inexpensive","1985","Single parent ","higher education","","","",""
"Inexpensive","1985","Couple + C. LE 16 ","in school","","","",""
"Inexpensive","1985","Couple + C. LE 16 ","inadequately","2","","",""
"Inexpensive","1985","Couple + C. LE 16 ","general elemantary","30","0.277122625203085","0.194231623498211","0.360013626907958"
"Inexpensive","1985","Couple + C. LE 16 ","middle vocational","146","0.284374911041047","0.24522313920858","0.323526682873514"
"Inexpensive","1985","Couple + C. LE 16 ","vocational + Abi","","","",""
"Inexpensive","1985","Couple + C. LE 16 ","higher vocational","28","","",""
"Inexpensive","1985","Couple + C. LE 16 ","higher education","29","","",""
"Inexpensive","1985","Couple + C. GT 16 ","in school","18","","",""
"Inexpensive","1985","Couple + C. GT 16 ","inadequately","9","","",""
"Inexpensive","1985","Couple + C. GT 16 ","general elemantary","97","0.334568831293999","0.280816594066058","0.38832106852194"
"Inexpensive","1985","Couple + C. GT 16 ","middle vocational","163","0.315242267949865","0.275574891522498","0.354909644377231"
"Inexpensive","1985","Couple + C. GT 16 ","vocational + Abi","6","","",""
"Inexpensive","1985","Couple + C. GT 16 ","higher vocational","15","","",""
"Inexpensive","1985","Couple + C. GT 16 ","higher education","19","","",""
"Inexpensive","1985","Couple + C. LE and GT 16","in school","13","","",""
"Inexpensive","1985","Couple + C. LE and GT 16","inadequately","2","","",""
"Inexpensive","1985","Couple + C. LE and GT 16","general elemantary","69","0.314632488813184","0.25298954313438","0.376275434491987"
"Inexpensive","1985","Couple + C. LE and GT 16","middle vocational","100","0.299886811206147","0.250299109301699","0.349474513110595"
"Inexpensive","1985","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Inexpensive","1985","Couple + C. LE and GT 16","higher vocational","8","","",""
"Inexpensive","1985","Couple + C. LE and GT 16","higher education","8","","",""
"Reasonable","1985","1-pers.-HH","in school","","","",""
"Reasonable","1985","1-pers.-HH","inadequately","1","","",""
"Reasonable","1985","1-pers.-HH","general elemantary","31","0.393542913512433","0.286489829428838","0.500595997596029"
"Reasonable","1985","1-pers.-HH","middle vocational","16","","",""
"Reasonable","1985","1-pers.-HH","vocational + Abi","4","","",""
"Reasonable","1985","1-pers.-HH","higher vocational","6","","",""
"Reasonable","1985","1-pers.-HH","higher education","5","","",""
"Reasonable","1985","(Married) couple without C. ","in school","","","",""
"Reasonable","1985","(Married) couple without C. ","inadequately","","","",""
"Reasonable","1985","(Married) couple without C. ","general elemantary","59","0.244511218472397","0.190135391497512","0.298887045447281"
"Reasonable","1985","(Married) couple without C. ","middle vocational","108","0.240770639670548","0.200638426826049","0.280902852515046"
"Reasonable","1985","(Married) couple without C. ","vocational + Abi","6","","",""
"Reasonable","1985","(Married) couple without C. ","higher vocational","26","","",""
"Reasonable","1985","(Married) couple without C. ","higher education","26","","",""
"Reasonable","1985","Single parent ","in school","2","","",""
"Reasonable","1985","Single parent ","inadequately","1","","",""
"Reasonable","1985","Single parent ","general elemantary","20","","",""
"Reasonable","1985","Single parent ","middle vocational","29","","",""
"Reasonable","1985","Single parent ","vocational + Abi","","","",""
"Reasonable","1985","Single parent ","higher vocational","4","","",""
"Reasonable","1985","Single parent ","higher education","2","","",""
"Reasonable","1985","Couple + C. LE 16 ","in school","","","",""
"Reasonable","1985","Couple + C. LE 16 ","inadequately","10","","",""
"Reasonable","1985","Couple + C. LE 16 ","general elemantary","38","0.320668867775333","0.234230165564863","0.407107569985803"
"Reasonable","1985","Couple + C. LE 16 ","middle vocational","191","0.372926098207036","0.330956602126534","0.414895594287538"
"Reasonable","1985","Couple + C. LE 16 ","vocational + Abi","10","","",""
"Reasonable","1985","Couple + C. LE 16 ","higher vocational","37","0.393745937352899","0.296011447960471","0.491480426745328"
"Reasonable","1985","Couple + C. LE 16 ","higher education","50","0.441617680621724","0.35163804801842","0.531597313225027"
"Reasonable","1985","Couple + C. GT 16 ","in school","17","","",""
"Reasonable","1985","Couple + C. GT 16 ","inadequately","7","","",""
"Reasonable","1985","Couple + C. GT 16 ","general elemantary","106","0.358615481235644","0.303979846995983","0.413251115475304"
"Reasonable","1985","Couple + C. GT 16 ","middle vocational","207","0.383523054838492","0.342008829227141","0.425037280449844"
"Reasonable","1985","Couple + C. GT 16 ","vocational + Abi","10","","",""
"Reasonable","1985","Couple + C. GT 16 ","higher vocational","26","","",""
"Reasonable","1985","Couple + C. GT 16 ","higher education","33","0.454171503872416","0.342233041147781","0.56610996659705"
"Reasonable","1985","Couple + C. LE and GT 16","in school","16","","",""
"Reasonable","1985","Couple + C. LE and GT 16","inadequately","9","","",""
"Reasonable","1985","Couple + C. LE and GT 16","general elemantary","87","0.411331642372865","0.346010879216362","0.476652405529369"
"Reasonable","1985","Couple + C. LE and GT 16","middle vocational","132","0.408883843423781","0.35567944228715","0.462088244560412"
"Reasonable","1985","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Reasonable","1985","Couple + C. LE and GT 16","higher vocational","16","","",""
"Reasonable","1985","Couple + C. LE and GT 16","higher education","15","","",""
"Slightly Expensive","1985","1-pers.-HH","in school","","","",""
"Slightly Expensive","1985","1-pers.-HH","inadequately","","","",""
"Slightly Expensive","1985","1-pers.-HH","general elemantary","4","","",""
"Slightly Expensive","1985","1-pers.-HH","middle vocational","5","","",""
"Slightly Expensive","1985","1-pers.-HH","vocational + Abi","","","",""
"Slightly Expensive","1985","1-pers.-HH","higher vocational","2","","",""
"Slightly Expensive","1985","1-pers.-HH","higher education","1","","",""
"Slightly Expensive","1985","(Married) couple without C. ","in school","","","",""
"Slightly Expensive","1985","(Married) couple without C. ","inadequately","2","","",""
"Slightly Expensive","1985","(Married) couple without C. ","general elemantary","12","","",""
"Slightly Expensive","1985","(Married) couple without C. ","middle vocational","42","0.0881318710781751","0.0615223315035232","0.114741410652827"
"Slightly Expensive","1985","(Married) couple without C. ","vocational + Abi","2","","",""
"Slightly Expensive","1985","(Married) couple without C. ","higher vocational","6","","",""
"Slightly Expensive","1985","(Married) couple without C. ","higher education","5","","",""
"Slightly Expensive","1985","Single parent ","in school","","","",""
"Slightly Expensive","1985","Single parent ","inadequately","","","",""
"Slightly Expensive","1985","Single parent ","general elemantary","3","","",""
"Slightly Expensive","1985","Single parent ","middle vocational","4","","",""
"Slightly Expensive","1985","Single parent ","vocational + Abi","","","",""
"Slightly Expensive","1985","Single parent ","higher vocational","1","","",""
"Slightly Expensive","1985","Single parent ","higher education","1","","",""
"Slightly Expensive","1985","Couple + C. LE 16 ","in school","","","",""
"Slightly Expensive","1985","Couple + C. LE 16 ","inadequately","3","","",""
"Slightly Expensive","1985","Couple + C. LE 16 ","general elemantary","12","","",""
"Slightly Expensive","1985","Couple + C. LE 16 ","middle vocational","64","0.118240900060991","0.0902174345173963","0.146264365604585"
"Slightly Expensive","1985","Couple + C. LE 16 ","vocational + Abi","","","",""
"Slightly Expensive","1985","Couple + C. LE 16 ","higher vocational","12","","",""
"Slightly Expensive","1985","Couple + C. LE 16 ","higher education","18","","",""
"Slightly Expensive","1985","Couple + C. GT 16 ","in school","5","","",""
"Slightly Expensive","1985","Couple + C. GT 16 ","inadequately","1","","",""
"Slightly Expensive","1985","Couple + C. GT 16 ","general elemantary","18","","",""
"Slightly Expensive","1985","Couple + C. GT 16 ","middle vocational","31","0.0603260458396473","0.0399985534129619","0.0806535382663328"
"Slightly Expensive","1985","Couple + C. GT 16 ","vocational + Abi","3","","",""
"Slightly Expensive","1985","Couple + C. GT 16 ","higher vocational","7","","",""
"Slightly Expensive","1985","Couple + C. GT 16 ","higher education","","","",""
