"hlf0094","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Reasonable","1985","16-34 y.","Employed","328","0.381869655888623","0.349360772409033","0.414378539368212"
"Reasonable","1985","35-65 y.","Not Employed","278","0.331098480152966","0.298985485889645","0.363211474416287"
"Reasonable","1985","35-65 y.","Employed","604","0.367615033596266","0.344077932510327","0.391152134682204"
"Reasonable","1985","66 and older","Not Employed","124","0.271257588634249","0.230040975634717","0.312474201633781"
"Reasonable","1985","66 and older","Employed","6","","",""
"Slightly Expensive","1985","16-34 y.","Not Employed","45","0.100759979183394","0.07269796728749","0.128821991079299"
"Slightly Expensive","1985","16-34 y.","Employed","81","0.0821017922994615","0.0637331089747615","0.100470475624161"
"Slightly Expensive","1985","35-65 y.","Not Employed","59","0.0658924526934008","0.0489632153392311","0.0828216900475705"
"Slightly Expensive","1985","35-65 y.","Employed","140","0.0794848534613605","0.066280314853516","0.092689392069205"
"Slightly Expensive","1985","66 and older","Not Employed","21","","",""
"Slightly Expensive","1985","66 and older","Employed","4","","",""
"Too Expensive","1985","16-34 y.","Not Employed","9","","",""
"Too Expensive","1985","16-34 y.","Employed","27","","",""
"Too Expensive","1985","35-65 y.","Not Employed","13","","",""
"Too Expensive","1985","35-65 y.","Employed","46","0.0297061111809507","0.0214182947843883","0.0379939275775132"
"Too Expensive","1985","66 and older","Not Employed","4","","",""
"Too Expensive","1985","66 and older","Employed","1","","",""
"Very Inexpensive","1986","16-34 y.","Not Employed","94","0.207616097225486","0.171025000606098","0.244207193844875"
"Very Inexpensive","1986","16-34 y.","Employed","131","0.145187938643525","0.121990938755064","0.168384938531987"
"Very Inexpensive","1986","35-65 y.","Not Employed","177","0.219028017367318","0.190754506191765","0.247301528542871"
"Very Inexpensive","1986","35-65 y.","Employed","258","0.161982646943219","0.144129400787156","0.179835893099283"
"Very Inexpensive","1986","66 and older","Not Employed","113","0.245673824680604","0.207041758705381","0.284305890655827"
"Very Inexpensive","1986","66 and older","Employed","1","","",""
"Inexpensive","1986","16-34 y.","Not Employed","124","0.268376525777778","0.22840109332138","0.308351958234176"
"Inexpensive","1986","16-34 y.","Employed","242","0.281597228336271","0.251981022649813","0.311213434022729"
"Inexpensive","1986","35-65 y.","Not Employed","262","0.32809381545001","0.295996735534379","0.360190895365642"
"Inexpensive","1986","35-65 y.","Employed","499","0.307378340724732","0.285019920907363","0.329736760542101"
"Inexpensive","1986","66 and older","Not Employed","173","0.371612338812593","0.32824649625792","0.414978181367266"
"Inexpensive","1986","66 and older","Employed","11","","",""
"Reasonable","1986","16-34 y.","Not Employed","195","0.404408735831254","0.360133435533994","0.448684036128514"
"Reasonable","1986","16-34 y.","Employed","361","0.416217306363985","0.383759668887485","0.448674943840485"
"Reasonable","1986","35-65 y.","Not Employed","311","0.374278967476812","0.341196319004999","0.407361615948626"
"Reasonable","1986","35-65 y.","Employed","657","0.401719977293926","0.377964136459135","0.425475818128716"
"Reasonable","1986","66 and older","Not Employed","157","0.311631606017522","0.270067340421933","0.353195871613111"
"Reasonable","1986","66 and older","Employed","10","","",""
"Slightly Expensive","1986","16-34 y.","Not Employed","46","0.0955570307319982","0.0690354742305633","0.122078587233433"
"Slightly Expensive","1986","16-34 y.","Employed","117","0.121061944494869","0.0995829381150356","0.142540950874703"
"Slightly Expensive","1986","35-65 y.","Not Employed","52","0.0559655113944625","0.0402522494308141","0.0716787733581109"
"Slightly Expensive","1986","35-65 y.","Employed","177","0.103884451232514","0.0890997101682629","0.118669192296765"
"Slightly Expensive","1986","66 and older","Not Employed","29","","",""
"Slightly Expensive","1986","66 and older","Employed","1","","",""
"Too Expensive","1986","16-34 y.","Not Employed","13","","",""
"Too Expensive","1986","16-34 y.","Employed","35","0.035935582161349","0.0236796429134132","0.0481915214092848"
"Too Expensive","1986","35-65 y.","Not Employed","20","","",""
"Too Expensive","1986","35-65 y.","Employed","45","0.0250345838056087","0.0174641418388563","0.032605025772361"
"Too Expensive","1986","66 and older","Not Employed","5","","",""
"Too Expensive","1986","66 and older","Employed","","","",""
"Very Inexpensive","1987","16-34 y.","Not Employed","70","0.172016684013068","0.135306957177551","0.208726410848585"
"Very Inexpensive","1987","16-34 y.","Employed","153","0.164432607452581","0.140861987689774","0.188003227215388"
"Very Inexpensive","1987","35-65 y.","Not Employed","157","0.202562806435951","0.174248514386192","0.230877098485711"
"Very Inexpensive","1987","35-65 y.","Employed","266","0.168662701407797","0.150534414198321","0.186790988617273"
"Very Inexpensive","1987","66 and older","Not Employed","101","0.198384811656303","0.162820721377654","0.233948901934953"
"Very Inexpensive","1987","66 and older","Employed","3","","",""
"Inexpensive","1987","16-34 y.","Not Employed","124","0.320030931160843","0.274654991615445","0.365406870706241"
"Inexpensive","1987","16-34 y.","Employed","321","0.330882348830417","0.300961470944243","0.360803226716591"
"Inexpensive","1987","35-65 y.","Not Employed","294","0.388585761590922","0.354246668076961","0.422924855104883"
"Inexpensive","1987","35-65 y.","Employed","508","0.31465904429674","0.292177193212679","0.337140895380802"
"Inexpensive","1987","66 and older","Not Employed","192","0.410479694405843","0.366609480787838","0.454349908023849"
"Inexpensive","1987","66 and older","Employed","14","","",""
"Reasonable","1987","16-34 y.","Not Employed","141","0.346080974272983","0.299807093502615","0.39235485504335"
"Reasonable","1987","16-34 y.","Employed","364","0.389398190562492","0.358391008704999","0.420405372419985"
"Reasonable","1987","35-65 y.","Not Employed","258","0.327534337913319","0.294471427091041","0.360597248735597"
"Reasonable","1987","35-65 y.","Employed","651","0.396811746097651","0.373126532164926","0.420496960030377"
"Reasonable","1987","66 and older","Not Employed","162","0.339253459792876","0.297029970767013","0.381476948818739"
"Reasonable","1987","66 and older","Employed","13","","",""
"Slightly Expensive","1987","16-34 y.","Not Employed","51","0.114503583267692","0.0835302448913143","0.145476921644069"
"Slightly Expensive","1987","16-34 y.","Employed","93","0.0951051241186401","0.0764504652696135","0.113759782967667"
"Slightly Expensive","1987","35-65 y.","Not Employed","45","0.0531300911216228","0.0373287827526096","0.0689313994906361"
"Slightly Expensive","1987","35-65 y.","Employed","168","0.0924485358805984","0.0784254283617861","0.106471643399411"
"Slightly Expensive","1987","66 and older","Not Employed","18","","",""
"Slightly Expensive","1987","66 and older","Employed","2","","",""
"Too Expensive","1987","16-34 y.","Not Employed","20","","",""
"Too Expensive","1987","16-34 y.","Employed","19","","",""
"Too Expensive","1987","35-65 y.","Not Employed","20","","",""
"Too Expensive","1987","35-65 y.","Employed","46","0.0274179723172129","0.0195122892279781","0.0353236554064477"
"Too Expensive","1987","66 and older","Not Employed","10","","",""
"Too Expensive","1987","66 and older","Employed","","","",""
"Very Inexpensive","1988","16-34 y.","Not Employed","71","0.187937552960847","0.148658791028097","0.227216314893597"
"Very Inexpensive","1988","16-34 y.","Employed","133","0.155077106838197","0.131309162442399","0.178845051233994"
"Very Inexpensive","1988","35-65 y.","Not Employed","150","0.218866350470839","0.187992510301973","0.249740190639706"
"Very Inexpensive","1988","35-65 y.","Employed","261","0.16846308114951","0.150031455545333","0.186894706753688"
"Very Inexpensive","1988","66 and older","Not Employed","103","0.222045912217151","0.183898591163238","0.260193233271064"
"Very Inexpensive","1988","66 and older","Employed","6","","",""
"Inexpensive","1988","16-34 y.","Not Employed","113","0.305412108255338","0.259103362096727","0.35172085441395"
"Inexpensive","1988","16-34 y.","Employed","303","0.320030207259831","0.289400028222581","0.350660386297081"
"Inexpensive","1988","35-65 y.","Not Employed","256","0.386429938189933","0.35007143940916","0.422788436970705"
"Inexpensive","1988","35-65 y.","Employed","520","0.333709530822167","0.310488226604885","0.356930835039449"
"Inexpensive","1988","66 and older","Not Employed","183","0.404653699799486","0.359603963103653","0.449703436495319"
"Inexpensive","1988","66 and older","Employed","12","","",""
"Reasonable","1988","16-34 y.","Not Employed","160","0.419357270813524","0.369743426741242","0.468971114885806"
"Reasonable","1988","16-34 y.","Employed","347","0.405906052713575","0.373662004150788","0.438150101276362"
"Reasonable","1988","35-65 y.","Not Employed","228","0.319413814501049","0.284599576619854","0.354228052382244"
"Reasonable","1988","35-65 y.","Employed","654","0.406153557625683","0.381968188910196","0.430338926341171"
"Reasonable","1988","66 and older","Not Employed","142","0.317147505793506","0.274434535875443","0.35986047571157"
"Reasonable","1988","66 and older","Employed","10","","",""
"Slightly Expensive","1988","16-34 y.","Not Employed","33","0.0812931545365636","0.053815999947151","0.108770309125976"
"Slightly Expensive","1988","16-34 y.","Employed","97","0.10914218597968","0.0886678531064259","0.129616518852935"
"Slightly Expensive","1988","35-65 y.","Not Employed","46","0.0617018491471033","0.0437355759177934","0.0796681223764133"
"Slightly Expensive","1988","35-65 y.","Employed","119","0.0727840180776122","0.0599908245278438","0.0855772116273806"
"Slightly Expensive","1988","66 and older","Not Employed","24","","",""
"Slightly Expensive","1988","66 and older","Employed","2","","",""
"Too Expensive","1988","16-34 y.","Not Employed","3","","",""
"Too Expensive","1988","16-34 y.","Employed","11","","",""
"Too Expensive","1988","35-65 y.","Not Employed","9","","",""
"Too Expensive","1988","35-65 y.","Employed","30","0.0188898123250277","0.0121856701373605","0.0255939545126949"
"Too Expensive","1988","66 and older","Not Employed","4","","",""
"Too Expensive","1988","66 and older","Employed","","","",""
"Very Inexpensive","1989","16-34 y.","Not Employed","78","0.230735107114755","0.187864865408345","0.273605348821165"
"Very Inexpensive","1989","16-34 y.","Employed","144","0.163343720608024","0.139110893103328","0.187576548112719"
"Very Inexpensive","1989","35-65 y.","Not Employed","151","0.239832531129771","0.207428886576622","0.27223617568292"
"Very Inexpensive","1989","35-65 y.","Employed","298","0.197281615440738","0.177399907321414","0.217163323560061"
"Very Inexpensive","1989","66 and older","Not Employed","129","0.267892702073469","0.22785520024906","0.307930203897879"
"Very Inexpensive","1989","66 and older","Employed","9","","",""
"Inexpensive","1989","16-34 y.","Not Employed","119","0.291399003363821","0.245160257448471","0.337637749279171"
"Inexpensive","1989","16-34 y.","Employed","324","0.369702813602449","0.33805975950341","0.401345867701489"
"Inexpensive","1989","35-65 y.","Not Employed","282","0.423142827287824","0.385648737560801","0.460636917014848"
"Inexpensive","1989","35-65 y.","Employed","528","0.342871223412774","0.319156419248485","0.366586027577062"
"Inexpensive","1989","66 and older","Not Employed","191","0.418393599765486","0.373796535925079","0.462990663605893"
"Inexpensive","1989","66 and older","Employed","12","","",""
"Reasonable","1989","16-34 y.","Not Employed","140","0.376173973251764","0.326880745906958","0.42546720059657"
"Reasonable","1989","16-34 y.","Employed","346","0.380045516285795","0.348227211261629","0.41186382130996"
"Reasonable","1989","35-65 y.","Not Employed","190","0.274999067775689","0.241113086434584","0.308885049116794"
"Reasonable","1989","35-65 y.","Employed","554","0.361685037239341","0.337679492539699","0.385690581938982"
"Reasonable","1989","66 and older","Not Employed","137","0.287648372372509","0.246724442385147","0.32857230235987"
"Reasonable","1989","66 and older","Employed","12","","",""
"Slightly Expensive","1989","16-34 y.","Not Employed","30","0.0911381333317756","0.0618521276814607","0.12042413898209"
"Slightly Expensive","1989","16-34 y.","Employed","66","0.0720588075943011","0.0551082849231664","0.0890093302654358"
"Slightly Expensive","1989","35-65 y.","Not Employed","37","0.0519090994703984","0.035073371083186","0.0687448278576108"
"Slightly Expensive","1989","35-65 y.","Employed","137","0.0845971149574848","0.0706939813682952","0.0985002485466745"
"Slightly Expensive","1989","66 and older","Not Employed","10","","",""
"Slightly Expensive","1989","66 and older","Employed","1","","",""
"Too Expensive","1989","16-34 y.","Not Employed","4","","",""
"Too Expensive","1989","16-34 y.","Employed","14","","",""
"Too Expensive","1989","35-65 y.","Not Employed","7","","",""
"Too Expensive","1989","35-65 y.","Employed","22","","",""
"Too Expensive","1989","66 and older","Not Employed","3","","",""
"Too Expensive","1989","66 and older","Employed","","","",""
"Very Inexpensive","1990","16-34 y.","Not Employed","61","0.202952086477002","0.159818672609198","0.246085500344806"
"Very Inexpensive","1990","16-34 y.","Employed","143","0.169158424948078","0.144304310075888","0.194012539820269"
"Very Inexpensive","1990","35-65 y.","Not Employed","162","0.263038335412095","0.229217092073728","0.296859578750462"
"Very Inexpensive","1990","35-65 y.","Employed","303","0.200136087236651","0.180114146789523","0.220158027683779"
"Very Inexpensive","1990","66 and older","Not Employed","109","0.219389964842193","0.182559884517962","0.256220045166423"
"Very Inexpensive","1990","66 and older","Employed","7","","",""
"Inexpensive","1990","16-34 y.","Not Employed","121","0.352422685094076","0.301189353405775","0.403656016782376"
"Inexpensive","1990","16-34 y.","Employed","318","0.376977421191897","0.34484807135383","0.409106771029963"
"Inexpensive","1990","35-65 y.","Not Employed","257","0.389410259941978","0.351952996721714","0.426867523162241"
"Inexpensive","1990","35-65 y.","Employed","529","0.346086350618107","0.322280272836683","0.369892428399531"
"Inexpensive","1990","66 and older","Not Employed","204","0.422037389871009","0.378082969456562","0.465991810285456"
"Inexpensive","1990","66 and older","Employed","13","","",""
"Reasonable","1990","16-34 y.","Not Employed","122","0.369238637948044","0.317482606402035","0.420994669494053"
"Reasonable","1990","16-34 y.","Employed","337","0.371674426708873","0.339636376113668","0.403712477304078"
"Reasonable","1990","35-65 y.","Not Employed","200","0.299187643737194","0.26401295211214","0.334362335362248"
"Reasonable","1990","35-65 y.","Employed","559","0.362209942317113","0.338157761105463","0.386262123528763"
"Reasonable","1990","66 and older","Not Employed","155","0.325080344831712","0.283393539372185","0.366767150291238"
"Reasonable","1990","66 and older","Employed","13","","",""
"Slightly Expensive","1990","16-34 y.","Not Employed","24","","",""
"Slightly Expensive","1990","16-34 y.","Employed","63","0.0707500297750725","0.0537510848777796","0.0877489746723654"
"Slightly Expensive","1990","35-65 y.","Not Employed","30","0.0447178310298478","0.0288410009163518","0.0605946611433439"
"Slightly Expensive","1990","35-65 y.","Employed","123","0.0793857345020696","0.0658573638055648","0.0929141051985743"
"Slightly Expensive","1990","66 and older","Not Employed","16","","",""
"Slightly Expensive","1990","66 and older","Employed","1","","",""
"Too Expensive","1990","16-34 y.","Not Employed","6","","",""
"Too Expensive","1990","16-34 y.","Employed","13","","",""
"Too Expensive","1990","35-65 y.","Not Employed","2","","",""
"Too Expensive","1990","35-65 y.","Employed","20","","",""
"Too Expensive","1990","66 and older","Not Employed","1","","",""
"Too Expensive","1990","66 and older","Employed","","","",""
"Very Inexpensive","1991","16-34 y.","Not Employed","50","0.155974147241766","0.116344122833789","0.195604171649743"
"Very Inexpensive","1991","16-34 y.","Employed","129","0.154004898106421","0.129299471589648","0.178710324623193"
"Very Inexpensive","1991","35-65 y.","Not Employed","122","0.196223426835046","0.165261166929444","0.227185686740648"
"Very Inexpensive","1991","35-65 y.","Employed","260","0.165271423297133","0.146916386725164","0.183626459869101"
"Very Inexpensive","1991","66 and older","Not Employed","124","0.229054372760394","0.192761140769535","0.265347604751254"
"Very Inexpensive","1991","66 and older","Employed","7","","",""
"Inexpensive","1991","16-34 y.","Not Employed","114","0.351618231254744","0.299466197987331","0.403770264522158"
"Inexpensive","1991","16-34 y.","Employed","268","0.329652247438329","0.297477194943985","0.361827299932673"
"Inexpensive","1991","35-65 y.","Not Employed","245","0.39188249158285","0.353823153060072","0.429941830105628"
"Inexpensive","1991","35-65 y.","Employed","527","0.338422838063405","0.31503964509569","0.361806031031119"
"Inexpensive","1991","66 and older","Not Employed","204","0.385423650144984","0.343389567054174","0.427457733235793"
"Inexpensive","1991","66 and older","Employed","9","","",""
"Reasonable","1991","16-34 y.","Not Employed","132","0.424018788505129","0.370040779171272","0.477996797838985"
"Reasonable","1991","16-34 y.","Employed","335","0.40445886438199","0.370866990874774","0.438050737889205"
"Reasonable","1991","35-65 y.","Not Employed","236","0.362377341032169","0.324901452381249","0.39985322968309"
"Reasonable","1991","35-65 y.","Employed","642","0.408013098135149","0.383725932695772","0.432300263574526"
"Reasonable","1991","66 and older","Not Employed","173","0.338969456026432","0.298087136964041","0.379851775088822"
"Reasonable","1991","66 and older","Employed","6","","",""
"Slightly Expensive","1991","16-34 y.","Not Employed","19","","",""
"Slightly Expensive","1991","16-34 y.","Employed","68","0.0904842775564884","0.0708491904649302","0.110119364648047"
"Slightly Expensive","1991","35-65 y.","Not Employed","21","","",""
"Slightly Expensive","1991","35-65 y.","Employed","114","0.0715898108961882","0.0588495216980923","0.084330100094284"
"Slightly Expensive","1991","66 and older","Not Employed","10","","",""
"Slightly Expensive","1991","66 and older","Employed","1","","",""
"Too Expensive","1991","16-34 y.","Not Employed","7","","",""
"Too Expensive","1991","16-34 y.","Employed","20","","",""
"Too Expensive","1991","35-65 y.","Not Employed","8","","",""
"Too Expensive","1991","35-65 y.","Employed","30","0.0167028296081255","0.0103696595510183","0.0230359996652327"
"Too Expensive","1991","66 and older","Not Employed","4","","",""
"Too Expensive","1991","66 and older","Employed","","","",""
"Very Inexpensive","1992","16-34 y.","Not Employed","54","0.138845739409748","0.104615352059645","0.173076126759851"
"Very Inexpensive","1992","16-34 y.","Employed","128","0.156031188404491","0.13460592347457","0.177456453334411"
"Very Inexpensive","1992","35-65 y.","Not Employed","130","0.190173182197903","0.161802150068457","0.218544214327349"
"Very Inexpensive","1992","35-65 y.","Employed","281","0.151688796676663","0.136595900711585","0.16678169264174"
"Very Inexpensive","1992","66 and older","Not Employed","125","0.196607915588871","0.166171625502185","0.227044205675557"
"Very Inexpensive","1992","66 and older","Employed","6","","",""
"Inexpensive","1992","16-34 y.","Not Employed","136","0.388669478204413","0.340415478657732","0.436923477751093"
"Inexpensive","1992","16-34 y.","Employed","339","0.303447702624191","0.276303562713237","0.330591842535145"
"Inexpensive","1992","35-65 y.","Not Employed","263","0.384458354436338","0.349289534716385","0.419627174156291"
"Inexpensive","1992","35-65 y.","Employed","630","0.305185114202971","0.285810437940124","0.324559790465818"
"Inexpensive","1992","66 and older","Not Employed","247","0.37791069989236","0.340778694828579","0.415042704956142"
"Inexpensive","1992","66 and older","Employed","6","","",""
"Reasonable","1992","16-34 y.","Not Employed","158","0.391255709452918","0.342943950242956","0.439567468662879"
"Reasonable","1992","16-34 y.","Employed","469","0.423091144342664","0.393921719615104","0.452260569070223"
"Reasonable","1992","35-65 y.","Not Employed","270","0.350801075684465","0.316300703876657","0.385301447492272"
"Reasonable","1992","35-65 y.","Employed","921","0.426629298252382","0.405819814261113","0.447438782243651"
"Reasonable","1992","66 and older","Not Employed","229","0.35795968465488","0.321246196477601","0.394673172832159"
"Reasonable","1992","66 and older","Employed","5","","",""
"Slightly Expensive","1992","16-34 y.","Not Employed","34","0.0514829029649289","0.0296073443004723","0.0733584616293854"
"Slightly Expensive","1992","16-34 y.","Employed","125","0.0903381455780839","0.0734129821397583","0.107263309016409"
"Slightly Expensive","1992","35-65 y.","Not Employed","56","0.0569704973231861","0.0402136594902267","0.0737273351561456"
"Slightly Expensive","1992","35-65 y.","Employed","257","0.0867082994452846","0.0748682555082062","0.0985483433823629"
"Slightly Expensive","1992","66 and older","Not Employed","43","0.0496091034845724","0.0329803664975938","0.066237840471551"
"Slightly Expensive","1992","66 and older","Employed","1","","",""
"Too Expensive","1992","16-34 y.","Not Employed","10","","",""
"Too Expensive","1992","16-34 y.","Employed","41","0.0270918190505705","0.0175063735006486","0.0366772646004925"
"Too Expensive","1992","35-65 y.","Not Employed","16","","",""
"Too Expensive","1992","35-65 y.","Employed","81","0.0297884914226997","0.022635697877658","0.0369412849677414"
"Too Expensive","1992","66 and older","Not Employed","11","","",""
"Too Expensive","1992","66 and older","Employed","","","",""
"Very Inexpensive","1993","16-34 y.","Not Employed","61","0.200287576663337","0.159888508930866","0.240686644395809"
"Very Inexpensive","1993","16-34 y.","Employed","148","0.13966374377082","0.118980753816455","0.160346733725184"
"Very Inexpensive","1993","35-65 y.","Not Employed","113","0.159434617435786","0.133321923566463","0.185547311305109"
"Very Inexpensive","1993","35-65 y.","Employed","308","0.160982535192584","0.14541155019953","0.176553520185637"
"Very Inexpensive","1993","66 and older","Not Employed","126","0.204809209180744","0.173832540947901","0.235785877413588"
"Very Inexpensive","1993","66 and older","Employed","7","","",""
"Inexpensive","1993","16-34 y.","Not Employed","125","0.345521182146266","0.297518826311308","0.393523537981224"
"Inexpensive","1993","16-34 y.","Employed","340","0.325072152475228","0.297123818397536","0.353020486552921"
"Inexpensive","1993","35-65 y.","Not Employed","282","0.405727038573656","0.370701519822873","0.440752557324438"
"Inexpensive","1993","35-65 y.","Employed","694","0.32357691510303","0.303755293560045","0.343398536646015"
"Inexpensive","1993","66 and older","Not Employed","251","0.376134048707007","0.338951319870304","0.41331677754371"
"Inexpensive","1993","66 and older","Employed","7","","",""
"Reasonable","1993","16-34 y.","Not Employed","167","0.407598760982227","0.357996460078175","0.457201061886278"
"Reasonable","1993","16-34 y.","Employed","465","0.425831042457934","0.396327383323858","0.455334701592011"
"Reasonable","1993","35-65 y.","Not Employed","303","0.369474259071302","0.335045757668856","0.403902760473748"
"Reasonable","1993","35-65 y.","Employed","897","0.415671596308047","0.394790904771425","0.436552287844668"
"Reasonable","1993","66 and older","Not Employed","244","0.376526918794639","0.339336492027202","0.413717345562076"
"Reasonable","1993","66 and older","Employed","7","","",""
"Slightly Expensive","1993","16-34 y.","Not Employed","14","","",""
"Slightly Expensive","1993","16-34 y.","Employed","106","0.0901804268008725","0.0730892821550433","0.107271571446702"
"Slightly Expensive","1993","35-65 y.","Not Employed","45","0.0488327206643065","0.0334597242186437","0.0642057171099693"
"Slightly Expensive","1993","35-65 y.","Employed","180","0.073408935232334","0.0623590002986209","0.084458870166047"
"Slightly Expensive","1993","66 and older","Not Employed","25","","",""
"Slightly Expensive","1993","66 and older","Employed","","","",""
"Too Expensive","1993","16-34 y.","Not Employed","10","","",""
"Too Expensive","1993","16-34 y.","Employed","20","","",""
"Too Expensive","1993","35-65 y.","Not Employed","12","","",""
"Too Expensive","1993","35-65 y.","Employed","61","0.0263600181640056","0.0195724648050238","0.0331475715229874"
"Too Expensive","1993","66 and older","Not Employed","6","","",""
"Too Expensive","1993","66 and older","Employed","","","",""
"Very Inexpensive","1994","16-34 y.","Not Employed","64","0.173089605728026","0.136334675195052","0.209844536261001"
"Very Inexpensive","1994","16-34 y.","Employed","109","0.11551869496739","0.0960261566705697","0.13501123326421"
"Very Inexpensive","1994","35-65 y.","Not Employed","141","0.202824964245055","0.174767582676191","0.23088234581392"
"Very Inexpensive","1994","35-65 y.","Employed","321","0.176277172454141","0.159975563899096","0.192578781009186"
"Very Inexpensive","1994","66 and older","Not Employed","133","0.212260318908121","0.181274655437344","0.243245982378898"
"Very Inexpensive","1994","66 and older","Employed","6","","",""
"Inexpensive","1994","16-34 y.","Not Employed","134","0.339061858041596","0.293071079357067","0.385052636726125"
"Inexpensive","1994","16-34 y.","Employed","317","0.3124015665802","0.284138324974627","0.340664808185773"
"Inexpensive","1994","35-65 y.","Not Employed","286","0.363072064381338","0.32951753473668","0.396626594025997"
"Inexpensive","1994","35-65 y.","Employed","608","0.292727382207574","0.273261819241898","0.312192945173251"
"Inexpensive","1994","66 and older","Not Employed","249","0.354812230987783","0.318556439861886","0.391068022113679"
"Inexpensive","1994","66 and older","Employed","11","","",""
"Reasonable","1994","16-34 y.","Not Employed","174","0.424495983682872","0.376477122222729","0.472514845143015"
"Reasonable","1994","16-34 y.","Employed","461","0.448286649992114","0.417959431540693","0.478613868443534"
"Reasonable","1994","35-65 y.","Not Employed","305","0.361001989457655","0.327488925136436","0.394515053778874"
"Reasonable","1994","35-65 y.","Employed","937","0.435955467711224","0.414741610906449","0.457169324515999"
"Reasonable","1994","66 and older","Not Employed","263","0.40353762762513","0.36636112114861","0.440714134101649"
"Reasonable","1994","66 and older","Employed","7","","",""
"Slightly Expensive","1994","16-34 y.","Not Employed","27","","",""
"Slightly Expensive","1994","16-34 y.","Employed","119","0.105058429811652","0.0863597595208611","0.123757100102444"
"Slightly Expensive","1994","35-65 y.","Not Employed","46","0.0574173902634095","0.0411846804342488","0.0736501000925703"
