"hlf0094","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Very Inexpensive","1985","Couple + C. LE and GT 16","West Germany","117","0.181700219362287","0.152459112833678","0.210941325890896","1"
"Very Inexpensive","1985","Couple + C. LE and GT 16","East Germany","","","","","1"
"Inexpensive","1986","1-pers.-HH","East Germany","","","","","2"
"Inexpensive","1986","(Married) couple without C. ","East Germany","","","","","2"
"Inexpensive","1986","Single parent ","West Germany","51","0.258676716670232","0.196573528263526","0.320779905076937","2"
"Inexpensive","1986","1-pers.-HH","West Germany","80","0.360457100712638","0.297011957226047","0.423902244199229","2"
"Inexpensive","1986","(Married) couple without C. ","West Germany","310","0.363446477940685","0.331739149336508","0.395153806544863","2"
"Inexpensive","1986","Single parent ","East Germany","","","","","2"
"Inexpensive","1986","Couple + C. LE 16 ","East Germany","","","","","2"
"Inexpensive","1986","Couple + C. LE 16 ","West Germany","214","0.260116180090034","0.229716532687773","0.290515827492295","2"
"Inexpensive","1986","Couple + C. GT 16 ","East Germany","","","","","2"
"Inexpensive","1986","Couple + C. GT 16 ","West Germany","363","0.314375555485453","0.287964226010952","0.340786884959954","2"
"Inexpensive","1986","Couple + C. LE and GT 16","West Germany","212","0.325499018665839","0.290098738949879","0.360899298381798","2"
"Inexpensive","1986","Couple + C. LE and GT 16","East Germany","","","","","2"
"Reasonable","1986","1-pers.-HH","East Germany","","","","","3"
"Reasonable","1986","1-pers.-HH","West Germany","69","0.305385040154873","0.244524935324267","0.36624514498548","3"
"Reasonable","1986","(Married) couple without C. ","East Germany","","","","","3"
"Reasonable","1986","Single parent ","East Germany","","","","","3"
"Reasonable","1986","Single parent ","West Germany","84","0.453449812684367","0.38284878146147","0.524050843907264","3"
"Reasonable","1986","(Married) couple without C. ","West Germany","305","0.344028646132671","0.312712976787141","0.375344315478202","3"
"Reasonable","1986","Couple + C. LE 16 ","East Germany","","","","","3"
"Reasonable","1986","Couple + C. GT 16 ","East Germany","","","","","3"
"Reasonable","1986","Couple + C. GT 16 ","West Germany","448","0.379710694671562","0.35210197335994","0.407319415983184","3"
"Reasonable","1986","Couple + C. LE 16 ","West Germany","351","0.443323776821847","0.40889949046129","0.477748063182403","3"
"Reasonable","1986","Couple + C. LE and GT 16","East Germany","","","","","3"
"Reasonable","1986","Couple + C. LE and GT 16","West Germany","276","0.412229297220536","0.375040344068407","0.449418250372666","3"
"Slightly Expensive","1986","1-pers.-HH","East Germany","","","","","4"
"Slightly Expensive","1986","1-pers.-HH","West Germany","20","","","","4"
"Slightly Expensive","1986","(Married) couple without C. ","East Germany","","","","","4"
"Slightly Expensive","1986","Single parent ","East Germany","","","","","4"
"Slightly Expensive","1986","Single parent ","West Germany","17","","","","4"
"Slightly Expensive","1986","(Married) couple without C. ","West Germany","73","0.0729642643757533","0.0558197455607389","0.0901087831907677","4"
"Slightly Expensive","1986","Couple + C. LE 16 ","East Germany","","","","","4"
"Slightly Expensive","1986","Couple + C. LE 16 ","West Germany","102","0.115780247606216","0.0936084737310708","0.13795202148136","4"
"Slightly Expensive","1986","Couple + C. GT 16 ","West Germany","106","0.0896182657229098","0.0733690364339849","0.105867495011835","4"
"Slightly Expensive","1986","Couple + C. GT 16 ","East Germany","","","","","4"
"Slightly Expensive","1986","Couple + C. LE and GT 16","West Germany","75","0.105161876699657","0.0819856910008317","0.128338062398482","4"
"Slightly Expensive","1986","Couple + C. LE and GT 16","East Germany","","","","","4"
"Too Expensive","1986","1-pers.-HH","East Germany","","","","","5"
"Too Expensive","1986","1-pers.-HH","West Germany","5","","","","5"
"Too Expensive","1986","(Married) couple without C. ","West Germany","18","","","","5"
