"hlf0094","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Reasonable","1984","North Rhine-Westphalia","Not Employed","126","0.278676599692622","0.235747049151725","0.32160615023352"
"Reasonable","1984","North Rhine-Westphalia","Employed","199","0.345607853034947","0.305644724330334","0.385570981739559"
"Reasonable","1984","Hesse","Not Employed","37","0.212637633704278","0.149629302762562","0.275645964645994"
"Reasonable","1984","Hesse","Employed","62","0.312640065910854","0.247741592819449","0.377538539002258"
"Reasonable","1984","Rhineland-Palatinate,Saarland","Not Employed","84","0.390284915290664","0.325230681168333","0.455339149412996"
"Reasonable","1984","Rhineland-Palatinate,Saarland","Employed","87","0.345663192861394","0.285867183933562","0.405459201789226"
"Reasonable","1984","Baden-Württemberg","Not Employed","109","0.335499151981265","0.284478779467701","0.386519524494829"
"Reasonable","1984","Baden-Württemberg","Employed","167","0.323610411318896","0.283666325769107","0.363554496868684"
"Reasonable","1984","Bavaria","Not Employed","112","0.349490504928168","0.297166947917521","0.401814061938815"
"Reasonable","1984","Bavaria","Employed","194","0.315741773027938","0.277449079935442","0.354034466120433"
"Reasonable","1984","Berlin","Not Employed","2","","",""
"Reasonable","1984","Berlin","Employed","1","","",""
"Reasonable","1984","Brandenburg","Not Employed","","","",""
"Reasonable","1984","Brandenburg","Employed","","","",""
"Reasonable","1984","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Reasonable","1984","Mecklenburg-Western Pomerania","Employed","","","",""
"Reasonable","1984","Saxony","Not Employed","","","",""
"Reasonable","1984","Saxony","Employed","","","",""
"Reasonable","1984","Saxony-Anhalt","Not Employed","","","",""
"Reasonable","1984","Saxony-Anhalt","Employed","","","",""
"Reasonable","1984","Thuringia","Not Employed","","","",""
"Reasonable","1984","Thuringia","Employed","","","",""
"Slightly Expensive","1984","Schleswig-Holstein","Not Employed","2","","",""
"Slightly Expensive","1984","Schleswig-Holstein","Employed","21","","",""
"Slightly Expensive","1984","Hamburg","Not Employed","","","",""
"Slightly Expensive","1984","Hamburg","Employed","","","",""
"Slightly Expensive","1984","Lower Saxony","Not Employed","23","","",""
"Slightly Expensive","1984","Lower Saxony","Employed","24","","",""
"Slightly Expensive","1984","Bremen","Not Employed","","","",""
"Slightly Expensive","1984","Bremen","Employed","2","","",""
"Slightly Expensive","1984","North Rhine-Westphalia","Not Employed","21","","",""
"Slightly Expensive","1984","North Rhine-Westphalia","Employed","26","","",""
"Slightly Expensive","1984","Hesse","Not Employed","10","","",""
"Slightly Expensive","1984","Hesse","Employed","21","","",""
"Slightly Expensive","1984","Rhineland-Palatinate,Saarland","Not Employed","18","","",""
"Slightly Expensive","1984","Rhineland-Palatinate,Saarland","Employed","22","","",""
"Slightly Expensive","1984","Baden-Württemberg","Not Employed","27","","",""
"Slightly Expensive","1984","Baden-Württemberg","Employed","61","0.116070935855136","0.0887237127669984","0.143418158943273"
"Slightly Expensive","1984","Bavaria","Not Employed","12","","",""
"Slightly Expensive","1984","Bavaria","Employed","46","0.0810531117236736","0.0585693006445216","0.103536922802826"
"Slightly Expensive","1984","Berlin","Not Employed","3","","",""
"Slightly Expensive","1984","Berlin","Employed","3","","",""
"Slightly Expensive","1984","Brandenburg","Not Employed","","","",""
"Slightly Expensive","1984","Brandenburg","Employed","","","",""
"Slightly Expensive","1984","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Slightly Expensive","1984","Mecklenburg-Western Pomerania","Employed","","","",""
"Slightly Expensive","1984","Saxony","Not Employed","","","",""
"Slightly Expensive","1984","Saxony","Employed","","","",""
"Slightly Expensive","1984","Saxony-Anhalt","Not Employed","","","",""
"Slightly Expensive","1984","Saxony-Anhalt","Employed","","","",""
"Slightly Expensive","1984","Thuringia","Not Employed","","","",""
"Slightly Expensive","1984","Thuringia","Employed","","","",""
"Too Expensive","1984","Schleswig-Holstein","Not Employed","3","","",""
"Too Expensive","1984","Schleswig-Holstein","Employed","6","","",""
"Too Expensive","1984","Hamburg","Not Employed","","","",""
"Too Expensive","1984","Hamburg","Employed","","","",""
"Too Expensive","1984","Lower Saxony","Not Employed","3","","",""
"Too Expensive","1984","Lower Saxony","Employed","14","","",""
"Too Expensive","1984","Bremen","Not Employed","2","","",""
"Too Expensive","1984","Bremen","Employed","3","","",""
"Too Expensive","1984","North Rhine-Westphalia","Not Employed","8","","",""
"Too Expensive","1984","North Rhine-Westphalia","Employed","22","","",""
"Too Expensive","1984","Hesse","Not Employed","3","","",""
"Too Expensive","1984","Hesse","Employed","3","","",""
"Too Expensive","1984","Rhineland-Palatinate,Saarland","Not Employed","2","","",""
"Too Expensive","1984","Rhineland-Palatinate,Saarland","Employed","6","","",""
"Too Expensive","1984","Baden-Württemberg","Not Employed","10","","",""
"Too Expensive","1984","Baden-Württemberg","Employed","19","","",""
"Too Expensive","1984","Bavaria","Not Employed","4","","",""
"Too Expensive","1984","Bavaria","Employed","16","","",""
"Too Expensive","1984","Berlin","Not Employed","1","","",""
"Too Expensive","1984","Berlin","Employed","2","","",""
"Too Expensive","1984","Brandenburg","Not Employed","","","",""
"Too Expensive","1984","Brandenburg","Employed","","","",""
"Too Expensive","1984","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Too Expensive","1984","Mecklenburg-Western Pomerania","Employed","","","",""
"Too Expensive","1984","Saxony","Not Employed","","","",""
"Too Expensive","1984","Saxony","Employed","","","",""
"Too Expensive","1984","Saxony-Anhalt","Not Employed","","","",""
"Too Expensive","1984","Saxony-Anhalt","Employed","","","",""
"Too Expensive","1984","Thuringia","Not Employed","","","",""
"Too Expensive","1984","Thuringia","Employed","","","",""
"Very Inexpensive","1985","Schleswig-Holstein","Not Employed","20","","",""
"Very Inexpensive","1985","Schleswig-Holstein","Employed","16","","",""
"Very Inexpensive","1985","Hamburg","Not Employed","3","","",""
"Very Inexpensive","1985","Hamburg","Employed","4","","",""
"Very Inexpensive","1985","Lower Saxony","Not Employed","71","0.282807930918808","0.227203250117777","0.338412611719839"
"Very Inexpensive","1985","Lower Saxony","Employed","71","0.222502229313908","0.176643574713289","0.268360883914527"
"Very Inexpensive","1985","Bremen","Not Employed","6","","",""
"Very Inexpensive","1985","Bremen","Employed","4","","",""
"Very Inexpensive","1985","North Rhine-Westphalia","Not Employed","93","0.253666965157723","0.210539095980281","0.296794834335166"
"Very Inexpensive","1985","North Rhine-Westphalia","Employed","128","0.243478039126483","0.207836113391965","0.279119964861001"
"Very Inexpensive","1985","Hesse","Not Employed","55","0.333345500991495","0.264092946758784","0.402598055224207"
"Very Inexpensive","1985","Hesse","Employed","34","0.20243868261808","0.144061761052715","0.260815604183445"
"Very Inexpensive","1985","Rhineland-Palatinate,Saarland","Not Employed","78","0.376953559479667","0.31061358587176","0.443293533087575"
"Very Inexpensive","1985","Rhineland-Palatinate,Saarland","Employed","57","0.260433358784841","0.202960732302091","0.317905985267591"
"Very Inexpensive","1985","Baden-Württemberg","Not Employed","58","0.216048948996569","0.168600751145475","0.263497146847664"
"Very Inexpensive","1985","Baden-Württemberg","Employed","74","0.156818115602744","0.124849145482616","0.188787085722871"
"Very Inexpensive","1985","Bavaria","Not Employed","68","0.229290554016861","0.180824507769772","0.277756600263949"
"Very Inexpensive","1985","Bavaria","Employed","110","0.206752789452358","0.172938344957824","0.240567233946892"
"Very Inexpensive","1985","Berlin","Not Employed","2","","",""
"Very Inexpensive","1985","Berlin","Employed","3","","",""
"Very Inexpensive","1985","Brandenburg","Not Employed","","","",""
"Very Inexpensive","1985","Brandenburg","Employed","","","",""
"Very Inexpensive","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Very Inexpensive","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"Very Inexpensive","1985","Saxony","Not Employed","","","",""
"Very Inexpensive","1985","Saxony","Employed","","","",""
"Very Inexpensive","1985","Saxony-Anhalt","Not Employed","","","",""
"Very Inexpensive","1985","Saxony-Anhalt","Employed","","","",""
"Very Inexpensive","1985","Thuringia","Not Employed","","","",""
"Very Inexpensive","1985","Thuringia","Employed","","","",""
"Inexpensive","1985","Schleswig-Holstein","Not Employed","24","","",""
"Inexpensive","1985","Schleswig-Holstein","Employed","30","0.284426360670186","0.198135355013676","0.370717366326696"
"Inexpensive","1985","Hamburg","Not Employed","2","","",""
"Inexpensive","1985","Hamburg","Employed","23","","",""
"Inexpensive","1985","Lower Saxony","Not Employed","75","0.306941397343379","0.24999575018028","0.363887044506478"
"Inexpensive","1985","Lower Saxony","Employed","93","0.297841332200017","0.247419959698745","0.348262704701289"
"Inexpensive","1985","Bremen","Not Employed","8","","",""
"Inexpensive","1985","Bremen","Employed","3","","",""
"Inexpensive","1985","North Rhine-Westphalia","Not Employed","126","0.33732464646369","0.290461207136538","0.384188085790842"
"Inexpensive","1985","North Rhine-Westphalia","Employed","172","0.319636446378098","0.280908973301366","0.35836391945483"
"Inexpensive","1985","Hesse","Not Employed","56","0.323090071051988","0.254388710479826","0.39179143162415"
"Inexpensive","1985","Hesse","Employed","69","0.390407726914936","0.319533011829821","0.46128244200005"
"Inexpensive","1985","Rhineland-Palatinate,Saarland","Not Employed","56","0.276221548721449","0.21501431344362","0.337428783999277"
"Inexpensive","1985","Rhineland-Palatinate,Saarland","Employed","82","0.363972411011111","0.300964324341634","0.426980497680589"
"Inexpensive","1985","Baden-Württemberg","Not Employed","86","0.293973125505452","0.241448423057592","0.346497827953313"
"Inexpensive","1985","Baden-Württemberg","Employed","135","0.274337455766401","0.235110933748159","0.313563977784642"
"Inexpensive","1985","Bavaria","Not Employed","99","0.352380262657138","0.297303932432607","0.40745659288167"
"Inexpensive","1985","Bavaria","Employed","148","0.277772911742183","0.24037441688546","0.315171406598905"
"Inexpensive","1985","Berlin","Not Employed","4","","",""
"Inexpensive","1985","Berlin","Employed","2","","",""
"Inexpensive","1985","Brandenburg","Not Employed","","","",""
"Inexpensive","1985","Brandenburg","Employed","","","",""
"Inexpensive","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Inexpensive","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"Inexpensive","1985","Saxony","Not Employed","","","",""
"Inexpensive","1985","Saxony","Employed","","","",""
"Inexpensive","1985","Saxony-Anhalt","Not Employed","","","",""
"Inexpensive","1985","Saxony-Anhalt","Employed","","","",""
"Inexpensive","1985","Thuringia","Not Employed","","","",""
"Inexpensive","1985","Thuringia","Employed","","","",""
"Reasonable","1985","Schleswig-Holstein","Not Employed","17","","",""
"Reasonable","1985","Schleswig-Holstein","Employed","41","0.398686143350377","0.305033590921678","0.492338695779077"
"Reasonable","1985","Hamburg","Not Employed","2","","",""
"Reasonable","1985","Hamburg","Employed","6","","",""
"Reasonable","1985","Lower Saxony","Not Employed","77","0.298591112941696","0.242088062927583","0.355094162955809"
"Reasonable","1985","Lower Saxony","Employed","105","0.33886363339722","0.286676606630981","0.391050660163459"
"Reasonable","1985","Bremen","Not Employed","3","","",""
"Reasonable","1985","Bremen","Employed","3","","",""
"Reasonable","1985","North Rhine-Westphalia","Not Employed","135","0.318092740976675","0.271929185721055","0.364256296232294"
"Reasonable","1985","North Rhine-Westphalia","Employed","200","0.343176390893538","0.303748497636096","0.38260428415098"
"Reasonable","1985","Hesse","Not Employed","54","0.289574622801658","0.222943432315843","0.356205813287473"
"Reasonable","1985","Hesse","Employed","58","0.327870469142615","0.25966958000188","0.396071358283349"
"Reasonable","1985","Rhineland-Palatinate,Saarland","Not Employed","66","0.320150555594997","0.256286769168429","0.384014342021566"
"Reasonable","1985","Rhineland-Palatinate,Saarland","Employed","74","0.323120875312697","0.261877072377622","0.384364678247772"
"Reasonable","1985","Baden-Württemberg","Not Employed","111","0.377442325168355","0.321554878964793","0.433329771371916"
"Reasonable","1985","Baden-Württemberg","Employed","206","0.409920488128144","0.366681554256875","0.453159421999413"
"Reasonable","1985","Bavaria","Not Employed","102","0.35634336622906","0.301127913988851","0.41155881846927"
"Reasonable","1985","Bavaria","Employed","238","0.421213847893812","0.379986758230412","0.462440937557213"
"Reasonable","1985","Berlin","Not Employed","6","","",""
"Reasonable","1985","Berlin","Employed","7","","",""
"Reasonable","1985","Brandenburg","Not Employed","","","",""
"Reasonable","1985","Brandenburg","Employed","","","",""
"Reasonable","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Reasonable","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"Reasonable","1985","Saxony","Not Employed","","","",""
"Reasonable","1985","Saxony","Employed","","","",""
"Reasonable","1985","Saxony-Anhalt","Not Employed","","","",""
"Reasonable","1985","Saxony-Anhalt","Employed","","","",""
"Reasonable","1985","Thuringia","Not Employed","","","",""
"Reasonable","1985","Thuringia","Employed","","","",""
"Slightly Expensive","1985","Schleswig-Holstein","Not Employed","8","","",""
"Slightly Expensive","1985","Schleswig-Holstein","Employed","10","","",""
"Slightly Expensive","1985","Hamburg","Not Employed","1","","",""
"Slightly Expensive","1985","Hamburg","Employed","","","",""
"Slightly Expensive","1985","Lower Saxony","Not Employed","22","","",""
"Slightly Expensive","1985","Lower Saxony","Employed","33","0.0957843499690739","0.0633363571213252","0.128232342816823"
"Slightly Expensive","1985","Bremen","Not Employed","","","",""
"Slightly Expensive","1985","Bremen","Employed","3","","",""
"Slightly Expensive","1985","North Rhine-Westphalia","Not Employed","31","0.0746686172392996","0.0486144370398733","0.100722797438726"
"Slightly Expensive","1985","North Rhine-Westphalia","Employed","46","0.0765548500310773","0.0544741722204394","0.0986355278417153"
"Slightly Expensive","1985","Hesse","Not Employed","10","","",""
"Slightly Expensive","1985","Hesse","Employed","18","","",""
"Slightly Expensive","1985","Rhineland-Palatinate,Saarland","Not Employed","5","","",""
"Slightly Expensive","1985","Rhineland-Palatinate,Saarland","Employed","7","","",""
"Slightly Expensive","1985","Baden-Württemberg","Not Employed","28","","",""
"Slightly Expensive","1985","Baden-Württemberg","Employed","69","0.136377380233422","0.106205451531295","0.166549308935549"
"Slightly Expensive","1985","Bavaria","Not Employed","18","","",""
"Slightly Expensive","1985","Bavaria","Employed","37","0.0602583769142341","0.0403889547209869","0.0801277991074812"
"Slightly Expensive","1985","Berlin","Not Employed","2","","",""
"Slightly Expensive","1985","Berlin","Employed","2","","",""
"Slightly Expensive","1985","Brandenburg","Not Employed","","","",""
"Slightly Expensive","1985","Brandenburg","Employed","","","",""
"Slightly Expensive","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Slightly Expensive","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"Slightly Expensive","1985","Saxony","Not Employed","","","",""
"Slightly Expensive","1985","Saxony","Employed","","","",""
"Slightly Expensive","1985","Saxony-Anhalt","Not Employed","","","",""
"Slightly Expensive","1985","Saxony-Anhalt","Employed","","","",""
"Slightly Expensive","1985","Thuringia","Not Employed","","","",""
"Slightly Expensive","1985","Thuringia","Employed","","","",""
"Too Expensive","1985","Schleswig-Holstein","Not Employed","2","","",""
"Too Expensive","1985","Schleswig-Holstein","Employed","8","","",""
"Too Expensive","1985","Hamburg","Not Employed","","","",""
"Too Expensive","1985","Hamburg","Employed","","","",""
"Too Expensive","1985","Lower Saxony","Not Employed","7","","",""
"Too Expensive","1985","Lower Saxony","Employed","14","","",""
"Too Expensive","1985","Bremen","Not Employed","","","",""
"Too Expensive","1985","Bremen","Employed","2","","",""
"Too Expensive","1985","North Rhine-Westphalia","Not Employed","6","","",""
"Too Expensive","1985","North Rhine-Westphalia","Employed","11","","",""
"Too Expensive","1985","Hesse","Not Employed","3","","",""
"Too Expensive","1985","Hesse","Employed","3","","",""
"Too Expensive","1985","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Too Expensive","1985","Rhineland-Palatinate,Saarland","Employed","4","","",""
"Too Expensive","1985","Baden-Württemberg","Not Employed","6","","",""
"Too Expensive","1985","Baden-Württemberg","Employed","13","","",""
"Too Expensive","1985","Bavaria","Not Employed","2","","",""
"Too Expensive","1985","Bavaria","Employed","18","","",""
"Too Expensive","1985","Berlin","Not Employed","","","",""
"Too Expensive","1985","Berlin","Employed","1","","",""
"Too Expensive","1985","Brandenburg","Not Employed","","","",""
"Too Expensive","1985","Brandenburg","Employed","","","",""
"Too Expensive","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Too Expensive","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"Too Expensive","1985","Saxony","Not Employed","","","",""
"Too Expensive","1985","Saxony","Employed","","","",""
"Too Expensive","1985","Saxony-Anhalt","Not Employed","","","",""
"Too Expensive","1985","Saxony-Anhalt","Employed","","","",""
"Too Expensive","1985","Thuringia","Not Employed","","","",""
"Too Expensive","1985","Thuringia","Employed","","","",""
"Very Inexpensive","1986","Schleswig-Holstein","Not Employed","12","","",""
"Very Inexpensive","1986","Schleswig-Holstein","Employed","7","","",""
"Very Inexpensive","1986","Hamburg","Not Employed","6","","",""
"Very Inexpensive","1986","Hamburg","Employed","5","","",""
"Very Inexpensive","1986","Lower Saxony","Not Employed","64","0.280132089614038","0.22479763063686","0.335466548591217"
"Very Inexpensive","1986","Lower Saxony","Employed","58","0.194371320179574","0.151741093146701","0.237001547212447"
"Very Inexpensive","1986","Bremen","Not Employed","9","","",""
"Very Inexpensive","1986","Bremen","Employed","5","","",""
"Very Inexpensive","1986","North Rhine-Westphalia","Not Employed","105","0.249922093169249","0.208951244825084","0.290892941513415"
"Very Inexpensive","1986","North Rhine-Westphalia","Employed","95","0.161418735838479","0.13047322012952","0.192364251547437"
"Very Inexpensive","1986","Hesse","Not Employed","50","0.310134487923198","0.240603103067269","0.379665872779127"
"Very Inexpensive","1986","Hesse","Employed","33","0.195915152859872","0.139773857453856","0.252056448265888"
"Very Inexpensive","1986","Rhineland-Palatinate,Saarland","Not Employed","42","0.196782996348656","0.142092696626543","0.251473296070769"
"Very Inexpensive","1986","Rhineland-Palatinate,Saarland","Employed","52","0.229532085992436","0.175184137709459","0.283880034275414"
"Very Inexpensive","1986","Baden-Württemberg","Not Employed","48","0.167376416472627","0.126019570649998","0.208733262295256"
"Very Inexpensive","1986","Baden-Württemberg","Employed","62","0.123312190381407","0.0948600529102916","0.151764327852522"
"Very Inexpensive","1986","Bavaria","Not Employed","47","0.158636469858626","0.116875768314313","0.20039717140294"
"Very Inexpensive","1986","Bavaria","Employed","72","0.131782843667883","0.103792367963529","0.159773319372238"
"Very Inexpensive","1986","Berlin","Not Employed","1","","",""
"Very Inexpensive","1986","Berlin","Employed","1","","",""
"Very Inexpensive","1986","Brandenburg","Not Employed","","","",""
"Very Inexpensive","1986","Brandenburg","Employed","","","",""
"Very Inexpensive","1986","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Very Inexpensive","1986","Mecklenburg-Western Pomerania","Employed","","","",""
"Very Inexpensive","1986","Saxony","Not Employed","","","",""
"Very Inexpensive","1986","Saxony","Employed","","","",""
"Very Inexpensive","1986","Saxony-Anhalt","Not Employed","","","",""
"Very Inexpensive","1986","Saxony-Anhalt","Employed","","","",""
"Very Inexpensive","1986","Thuringia","Not Employed","","","",""
"Very Inexpensive","1986","Thuringia","Employed","","","",""
"Inexpensive","1986","Schleswig-Holstein","Not Employed","19","","",""
"Inexpensive","1986","Schleswig-Holstein","Employed","29","","",""
"Inexpensive","1986","Hamburg","Not Employed","5","","",""
"Inexpensive","1986","Hamburg","Employed","14","","",""
"Inexpensive","1986","Lower Saxony","Not Employed","81","0.305721798207339","0.248951941490761","0.362491654923916"
"Inexpensive","1986","Lower Saxony","Employed","112","0.320540199726605","0.27026460354356","0.37081579590965"
"Inexpensive","1986","Bremen","Not Employed","","","",""
"Inexpensive","1986","Bremen","Employed","3","","",""
"Inexpensive","1986","North Rhine-Westphalia","Not Employed","125","0.314670860527834","0.270727091047623","0.358614630008045"
"Inexpensive","1986","North Rhine-Westphalia","Employed","162","0.309828751476734","0.270934316544224","0.348723186409243"
"Inexpensive","1986","Hesse","Not Employed","53","0.314682337565026","0.244874244188565","0.384490430941487"
"Inexpensive","1986","Hesse","Employed","56","0.317218598848767","0.251389541045479","0.383047656652055"
"Inexpensive","1986","Rhineland-Palatinate,Saarland","Not Employed","74","0.387089681913131","0.320085125575342","0.45409423825092"
"Inexpensive","1986","Rhineland-Palatinate,Saarland","Employed","64","0.290796081478087","0.232106094751828","0.349486068204346"
"Inexpensive","1986","Baden-Württemberg","Not Employed","100","0.349926227683921","0.297088334574285","0.402764120793557"
"Inexpensive","1986","Baden-Württemberg","Employed","136","0.277340862107904","0.238600552396852","0.316081171818956"
"Inexpensive","1986","Bavaria","Not Employed","96","0.35944642319861","0.304597356854071","0.414295489543149"
"Inexpensive","1986","Bavaria","Employed","173","0.315933456470508","0.277464213052533","0.354402699888483"
"Inexpensive","1986","Berlin","Not Employed","6","","",""
"Inexpensive","1986","Berlin","Employed","3","","",""
"Inexpensive","1986","Brandenburg","Not Employed","","","",""
"Inexpensive","1986","Brandenburg","Employed","","","",""
"Inexpensive","1986","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Inexpensive","1986","Mecklenburg-Western Pomerania","Employed","","","",""
"Inexpensive","1986","Saxony","Not Employed","","","",""
"Inexpensive","1986","Saxony","Employed","","","",""
"Inexpensive","1986","Saxony-Anhalt","Not Employed","","","",""
"Inexpensive","1986","Saxony-Anhalt","Employed","","","",""
"Inexpensive","1986","Thuringia","Not Employed","","","",""
"Inexpensive","1986","Thuringia","Employed","","","",""
"Reasonable","1986","Schleswig-Holstein","Not Employed","27","","",""
"Reasonable","1986","Schleswig-Holstein","Employed","47","0.479137155523368","0.387433366624627","0.570840944422109"
"Reasonable","1986","Hamburg","Not Employed","2","","",""
"Reasonable","1986","Hamburg","Employed","9","","",""
"Reasonable","1986","Lower Saxony","Not Employed","77","0.285993694942127","0.230311405535807","0.341675984348447"
"Reasonable","1986","Lower Saxony","Employed","103","0.305922128234035","0.256280771860424","0.355563484607646"
"Reasonable","1986","Bremen","Not Employed","5","","",""
"Reasonable","1986","Bremen","Employed","6","","",""
"Reasonable","1986","North Rhine-Westphalia","Not Employed","162","0.359122466201057","0.313725351002411","0.404519581399704"
"Reasonable","1986","North Rhine-Westphalia","Employed","206","0.386974860411237","0.346008376117073","0.427941344705401"
"Reasonable","1986","Hesse","Not Employed","57","0.324650843732378","0.254263256416785","0.39503843104797"
"Reasonable","1986","Hesse","Employed","85","0.418317664561367","0.348543681346927","0.488091647775808"
