"hlf0094","year","migback","n","percent","lower_confidence","upper_confidence"
"Reasonable","1990","no migration background","1219","0.349004570103534","0.333142843209841","0.364866296997226"
"Reasonable","1990","direct migration background","144","0.332042627823025","0.285362610645214","0.378722645000837"
"Reasonable","1990","indirect migration background","23","","",""
"Slightly Expensive","1990","no migration background","221","0.0613780526923755","0.0533907922392618","0.0693653131454892"
"Slightly Expensive","1990","direct migration background","35","0.0797182698504251","0.052871066969262","0.106565472731588"
"Slightly Expensive","1990","indirect migration background","1","","",""
"Too Expensive","1990","no migration background","37","0.00943127996749499","0.00621485396410233","0.0126477059708877"
"Too Expensive","1990","direct migration background","5","","",""
"Too Expensive","1990","indirect migration background","","","",""
"Very Inexpensive","1991","no migration background","643","0.155761155534969","0.145439970553929","0.166082340516008"
"Very Inexpensive","1991","direct migration background","66","0.168811884822892","0.134125402730978","0.203498366914806"
"Very Inexpensive","1991","indirect migration background","7","","",""
"Inexpensive","1991","no migration background","1467","0.331824910090543","0.318422992309263","0.345226827871823"
"Inexpensive","1991","direct migration background","139","0.358579644892011","0.314170412208139","0.402988877575882"
"Inexpensive","1991","indirect migration background","19","","",""
"Reasonable","1991","no migration background","1703","0.378855505659815","0.365048470279475","0.392662541040156"
"Reasonable","1991","direct migration background","171","0.340173735186403","0.296303064604473","0.384044405768332"
"Reasonable","1991","indirect migration background","28","","",""
"Slightly Expensive","1991","no migration background","603","0.091256303594377","0.0830599731613421","0.0994526340274119"
"Slightly Expensive","1991","direct migration background","47","0.0961967340529955","0.0688927387200717","0.123500729385919"
"Slightly Expensive","1991","indirect migration background","4","","",""
"Too Expensive","1991","no migration background","326","0.0423021251202959","0.0365733381784678","0.0480309120621239"
"Too Expensive","1991","direct migration background","25","","",""
"Too Expensive","1991","indirect migration background","2","","",""
"Very Inexpensive","1992","no migration background","642","0.164790094405873","0.153971111982812","0.175609076828935"
"Very Inexpensive","1992","direct migration background","66","0.178391390110818","0.144106736181149","0.212676044040487"
"Very Inexpensive","1992","indirect migration background","16","","",""
"Inexpensive","1992","no migration background","1461","0.337153952590817","0.323367786420618","0.350940118761016"
"Inexpensive","1992","direct migration background","140","0.317055378033496","0.275383733372863","0.35872702269413"
"Inexpensive","1992","indirect migration background","20","","",""
"Reasonable","1992","no migration background","1821","0.400366826419769","0.386078054164314","0.414655598675224"
"Reasonable","1992","direct migration background","198","0.382758213438032","0.339230059025277","0.426286367850788"
"Reasonable","1992","indirect migration background","33","0.371834288459434","0.263178435357684","0.480490141561184"
"Slightly Expensive","1992","no migration background","443","0.0719046842727826","0.0643711645788148","0.0794382039667504"
"Slightly Expensive","1992","direct migration background","66","0.102348084079046","0.075204063617646","0.129492104540445"
"Slightly Expensive","1992","indirect migration background","7","","",""
"Too Expensive","1992","no migration background","150","0.0257844423107583","0.0211624475657294","0.0304064370557871"
"Too Expensive","1992","direct migration background","9","","",""
"Too Expensive","1992","indirect migration background","","","",""
"Very Inexpensive","1993","no migration background","690","0.170223267378512","0.15918596165523","0.181260573101794"
"Very Inexpensive","1993","direct migration background","58","0.139447488166278","0.108360192929778","0.170534783402777"
"Very Inexpensive","1993","indirect migration background","15","","",""
"Inexpensive","1993","no migration background","1526","0.351845158522706","0.33782063358345","0.365869683461962"
"Inexpensive","1993","direct migration background","151","0.311221086441448","0.269671822908097","0.352770349974799"
"Inexpensive","1993","indirect migration background","22","","",""
"Reasonable","1993","no migration background","1818","0.395333361342726","0.38097474071211","0.409691981973341"
"Reasonable","1993","direct migration background","218","0.471874566791203","0.42707531838822","0.516673815194185"
"Reasonable","1993","indirect migration background","47","0.536559469025184","0.435212082228192","0.637906855822177"
"Slightly Expensive","1993","no migration background","322","0.0614849597577387","0.0544302678883684","0.068539651627109"
"Slightly Expensive","1993","direct migration background","40","0.0619614110910753","0.0403262614339775","0.083596560748173"
"Slightly Expensive","1993","indirect migration background","8","","",""
"Too Expensive","1993","no migration background","98","0.0211132529983175","0.0168912670364173","0.0253352389602176"
"Too Expensive","1993","direct migration background","10","","",""
"Too Expensive","1993","indirect migration background","1","","",""
"Very Inexpensive","1994","no migration background","681","0.174648707767831","0.163516184413073","0.185781231122589"
"Very Inexpensive","1994","direct migration background","80","0.204154996016899","0.167359735545186","0.240950256488612"
"Very Inexpensive","1994","indirect migration background","13","","",""
"Inexpensive","1994","no migration background","1429","0.325821920530346","0.312079318430521","0.33956452263017"
"Inexpensive","1994","direct migration background","142","0.286821394255647","0.245535418528899","0.328107369982395"
"Inexpensive","1994","indirect migration background","34","0.309533299763584","0.215066493001688","0.40400010652548"
"Reasonable","1994","no migration background","1919","0.417177630292383","0.402719234093636","0.431636026491131"
"Reasonable","1994","direct migration background","192","0.434008620177065","0.388765586861407","0.479251653492724"
"Reasonable","1994","indirect migration background","36","0.393381871556525","0.293561532461014","0.493202210652036"
"Slightly Expensive","1994","no migration background","360","0.0670760681141293","0.0597410967223532","0.0744110395059053"
"Slightly Expensive","1994","direct migration background","36","0.051178500782393","0.0310628694983298","0.0712941320664562"
"Slightly Expensive","1994","indirect migration background","6","","",""
"Too Expensive","1994","no migration background","79","0.015275673295311","0.0116794303498959","0.0188719162407261"
"Too Expensive","1994","direct migration background","11","","",""
"Too Expensive","1994","indirect migration background","3","","",""
"Very Inexpensive","1995","no migration background","664","0.16257048221067","0.151806764658201","0.173334199763139"
"Very Inexpensive","1995","direct migration background","79","0.210615494954626","0.175296969079915","0.245934020829337"
"Very Inexpensive","1995","indirect migration background","19","","",""
"Inexpensive","1995","no migration background","1504","0.341831324938795","0.327994327927978","0.355668321949612"
"Inexpensive","1995","direct migration background","164","0.319343484877146","0.27895978147175","0.359727188282543"
"Inexpensive","1995","indirect migration background","28","","",""
"Reasonable","1995","no migration background","1904","0.404772613312325","0.390453559324003","0.419091667300647"
"Reasonable","1995","direct migration background","207","0.366131504346166","0.324403151300576","0.407859857391756"
"Reasonable","1995","indirect migration background","42","0.280502917289379","0.19288950120287","0.368116333375889"
"Slightly Expensive","1995","no migration background","381","0.0763925022728902","0.0686436673957771","0.0841413371500033"
"Slightly Expensive","1995","direct migration background","54","0.0913814715285857","0.0664221383449481","0.116340804712223"
"Slightly Expensive","1995","indirect migration background","10","","",""
"Too Expensive","1995","no migration background","61","0.0144330772653199","0.0109537935719364","0.0179123609587034"
"Too Expensive","1995","direct migration background","8","","",""
"Too Expensive","1995","indirect migration background","2","","",""
"Very Inexpensive","1996","no migration background","649","0.16536173304869","0.154583640038429","0.176139826058951"
"Very Inexpensive","1996","direct migration background","66","0.216289575777317","0.179909705531615","0.252669446023018"
"Very Inexpensive","1996","indirect migration background","12","","",""
"Inexpensive","1996","no migration background","1504","0.333642576880795","0.319963095690966","0.347322058070623"
"Inexpensive","1996","direct migration background","158","0.289724568418682","0.249640518133219","0.329808618704145"
"Inexpensive","1996","indirect migration background","40","0.336867876823049","0.248139063158765","0.425596690487333"
"Reasonable","1996","no migration background","1996","0.416762208265262","0.402458710024683","0.43106570650584"
"Reasonable","1996","direct migration background","207","0.389533565482948","0.346444321165605","0.432622809800292"
"Reasonable","1996","indirect migration background","41","0.334912771381222","0.246311490432221","0.423514052330222"
"Slightly Expensive","1996","no migration background","354","0.0674112228261781","0.0601370022140973","0.074685443438259"
"Slightly Expensive","1996","direct migration background","45","0.0856489334466306","0.0609212742142083","0.110376592679053"
"Slightly Expensive","1996","indirect migration background","11","","",""
"Too Expensive","1996","no migration background","61","0.0168222589790757","0.0130911885304592","0.0205533294276922"
"Too Expensive","1996","direct migration background","16","","",""
"Too Expensive","1996","indirect migration background","5","","",""
"Very Inexpensive","1997","no migration background","660","0.165604645453117","0.154868324889653","0.176340966016581"
"Very Inexpensive","1997","direct migration background","80","0.204242364185767","0.169184976069544","0.23929975230199"
"Very Inexpensive","1997","indirect migration background","13","","",""
"Inexpensive","1997","no migration background","1469","0.325859903815577","0.312322860592962","0.339396947038191"
"Inexpensive","1997","direct migration background","127","0.289639985338135","0.250195640487886","0.329084330188383"
"Inexpensive","1997","indirect migration background","39","0.358704618026391","0.276257789359386","0.441151446693397"
"Reasonable","1997","no migration background","2057","0.425554438673321","0.411274206279282","0.43983467106736"
"Reasonable","1997","direct migration background","243","0.405775033545532","0.363074397563613","0.448475669527452"
"Reasonable","1997","indirect migration background","64","0.451316417795554","0.365774700689056","0.536858134902051"
"Slightly Expensive","1997","no migration background","349","0.0654623197657403","0.0583185511791623","0.0726060883523184"
"Slightly Expensive","1997","direct migration background","41","0.082530951252996","0.0586021814750082","0.106459721030984"
"Slightly Expensive","1997","indirect migration background","10","","",""
"Too Expensive","1997","no migration background","70","0.0175186922922451","0.0137295033242055","0.0213078812602848"
"Too Expensive","1997","direct migration background","17","","",""
"Too Expensive","1997","indirect migration background","4","","",""
"Very Inexpensive","1998","no migration background","815","0.17171274509269","0.161592928674636","0.181832561510743"
"Very Inexpensive","1998","direct migration background","80","0.191855470868331","0.158797099626427","0.224913842110234"
"Very Inexpensive","1998","indirect migration background","24","","",""
"Inexpensive","1998","no migration background","1696","0.324956873505938","0.312389066507529","0.337524680504346"
"Inexpensive","1998","direct migration background","156","0.274498365803463","0.237032228615008","0.311964502991918"
"Inexpensive","1998","indirect migration background","34","0.18994744324911","0.126100896222588","0.253793990275632"
"Reasonable","1998","no migration background","2306","0.414891180840041","0.401670120026737","0.428112241653346"
"Reasonable","1998","direct migration background","252","0.440107619836828","0.398432048504823","0.481783191168833"
"Reasonable","1998","indirect migration background","68","0.43244215539187","0.351805377287984","0.513078933495755"
"Slightly Expensive","1998","no migration background","445","0.0712639066345102","0.0643605254546094","0.0781672878144111"
"Slightly Expensive","1998","direct migration background","52","0.0862651222234259","0.0626941464159953","0.109836098030857"
"Slightly Expensive","1998","indirect migration background","17","","",""
"Too Expensive","1998","no migration background","73","0.0171752939268211","0.0136889437960759","0.0206616440575664"
"Too Expensive","1998","direct migration background","5","","",""
"Too Expensive","1998","indirect migration background","2","","",""
"Very Inexpensive","1999","no migration background","827","0.166231105702789","0.156153968924337","0.176308242481241"
"Very Inexpensive","1999","direct migration background","88","0.219883191644151","0.185206820266207","0.254559563022095"
"Very Inexpensive","1999","indirect migration background","18","","",""
"Inexpensive","1999","no migration background","1754","0.352673865249163","0.339740653990778","0.365607076507548"
"Inexpensive","1999","direct migration background","145","0.277881486037242","0.240376253887171","0.315386718187313"
"Inexpensive","1999","indirect migration background","39","0.259930320441788","0.188786621739474","0.331074019144101"
"Reasonable","1999","no migration background","2141","0.395122537109956","0.381889553798831","0.408355520421081"
"Reasonable","1999","direct migration background","261","0.397981651609906","0.356999552360863","0.438963750858949"
"Reasonable","1999","indirect migration background","75","0.448843647175726","0.368165370434754","0.529521923916697"
"Slightly Expensive","1999","no migration background","423","0.0690592318003243","0.0621959780120077","0.0759224855886409"
"Slightly Expensive","1999","direct migration background","39","0.0653094809137282","0.044623322483879","0.0859956393435774"
"Slightly Expensive","1999","indirect migration background","10","","",""
"Too Expensive","1999","no migration background","98","0.0169132601377679","0.0134229200474291","0.0204036002281066"
"Too Expensive","1999","direct migration background","15","","",""
"Too Expensive","1999","indirect migration background","4","","",""
"Very Inexpensive","2000","no migration background","1440","0.146234023120241","0.139504353451594","0.152963692788888"
"Very Inexpensive","2000","direct migration background","112","0.14618982955451","0.123082531595247","0.169297127513774"
"Very Inexpensive","2000","indirect migration background","23","","",""
"Inexpensive","2000","no migration background","3541","0.338900163324237","0.329885084570658","0.347915242077816"
"Inexpensive","2000","direct migration background","253","0.304132531615152","0.274043748204921","0.334221315025384"
"Inexpensive","2000","indirect migration background","77","0.336661371985103","0.277487588623903","0.395835155346303"
"Reasonable","2000","no migration background","4485","0.413251631867979","0.403873132687978","0.42263013104798"
"Reasonable","2000","direct migration background","416","0.421043738048727","0.388751629264924","0.45333584683253"
"Reasonable","2000","indirect migration background","115","0.439486069174008","0.377337546295949","0.501634592052068"
"Slightly Expensive","2000","no migration background","956","0.0860036285463478","0.0806637579319547","0.0913434991607409"
"Slightly Expensive","2000","direct migration background","93","0.103552545031894","0.0836250490362452","0.123480041027543"
"Slightly Expensive","2000","indirect migration background","24","","",""
"Too Expensive","2000","no migration background","168","0.0156105531411957","0.013249570839292","0.0179715354430995"
"Too Expensive","2000","direct migration background","24","","",""
"Too Expensive","2000","indirect migration background","6","","",""
"Very Inexpensive","2001","no migration background","1160","0.129587124665981","0.122888038990386","0.136286210341576"
"Very Inexpensive","2001","direct migration background","90","0.134944064265473","0.111530343883245","0.158357784647701"
"Very Inexpensive","2001","indirect migration background","27","","",""
"Inexpensive","2001","no migration background","3164","0.326233263442835","0.316881557218112","0.335584969667558"
"Inexpensive","2001","direct migration background","210","0.249728189593412","0.220065226038165","0.279391153148659"
"Inexpensive","2001","indirect migration background","56","0.223701827539952","0.169962633470331","0.277441021609573"
"Reasonable","2001","no migration background","4405","0.454958464741202","0.445025643344407","0.464891286137998"
"Reasonable","2001","direct migration background","402","0.501750082356973","0.467486025409039","0.536014139304907"
"Reasonable","2001","indirect migration background","114","0.498142318647954","0.433664682390217","0.562619954905691"
"Slightly Expensive","2001","no migration background","771","0.0734339528670481","0.0682308957173037","0.0786370100167925"
"Slightly Expensive","2001","direct migration background","95","0.0935335677686996","0.07357951793398","0.113487617603419"
"Slightly Expensive","2001","indirect migration background","31","0.100627072882085","0.0618326383364784","0.139421507427691"
"Too Expensive","2001","no migration background","155","0.0157871942829337","0.0133008060919838","0.0182735824738837"
"Too Expensive","2001","direct migration background","21","","",""
"Too Expensive","2001","indirect migration background","3","","",""
"Very Inexpensive","2002","no migration background","1347","0.133330001068537","0.126949043965694","0.139710958171381"
"Very Inexpensive","2002","direct migration background","92","0.131158467983228","0.108411088989506","0.15390584697695"
"Very Inexpensive","2002","indirect migration background","25","","",""
"Inexpensive","2002","no migration background","3438","0.320730719446217","0.311969062020227","0.329492376872206"
"Inexpensive","2002","direct migration background","233","0.269130379481728","0.239244624847159","0.299016134116297"
"Inexpensive","2002","indirect migration background","63","0.208396487256703","0.159494759052858","0.257298215460548"
"Reasonable","2002","no migration background","5006","0.453613358232377","0.444268172088284","0.462958544376471"
"Reasonable","2002","direct migration background","412","0.4672910972246","0.43367079288744","0.50091140156176"
"Reasonable","2002","indirect migration background","141","0.554298953342441","0.494455174362209","0.614142732322673"
"Slightly Expensive","2002","no migration background","984","0.0808529418553267","0.0757357062129445","0.0859701774977089"
"Slightly Expensive","2002","direct migration background","97","0.1221377551388","0.10007290094763","0.14420260932997"
"Slightly Expensive","2002","indirect migration background","33","0.12054887526576","0.0813464812164421","0.159751269315079"
"Too Expensive","2002","no migration background","127","0.0114729793975422","0.0094739122527133","0.0134720465423711"
"Too Expensive","2002","direct migration background","12","","",""
"Too Expensive","2002","indirect migration background","3","","",""
"Very Inexpensive","2003","no migration background","","","",""
"Very Inexpensive","2003","direct migration background","","","",""
"Very Inexpensive","2003","indirect migration background","","","",""
"Inexpensive","2003","no migration background","","","",""
"Inexpensive","2003","direct migration background","","","",""
"Inexpensive","2003","indirect migration background","","","",""
"Reasonable","2003","no migration background","","","",""
"Reasonable","2003","direct migration background","","","",""
"Reasonable","2003","indirect migration background","","","",""
"Slightly Expensive","2003","no migration background","","","",""
"Slightly Expensive","2003","direct migration background","","","",""
"Slightly Expensive","2003","indirect migration background","","","",""
"Too Expensive","2003","no migration background","","","",""
"Too Expensive","2003","direct migration background","","","",""
"Too Expensive","2003","indirect migration background","","","",""
"Very Inexpensive","2004","no migration background","","","",""
"Very Inexpensive","2004","direct migration background","","","",""
"Very Inexpensive","2004","indirect migration background","","","",""
"Inexpensive","2004","no migration background","","","",""
"Inexpensive","2004","direct migration background","","","",""
"Inexpensive","2004","indirect migration background","","","",""
"Reasonable","2004","no migration background","","","",""
"Reasonable","2004","direct migration background","","","",""
"Reasonable","2004","indirect migration background","","","",""
"Slightly Expensive","2004","no migration background","","","",""
"Slightly Expensive","2004","direct migration background","","","",""
"Slightly Expensive","2004","indirect migration background","","","",""
"Too Expensive","2004","no migration background","","","",""
"Too Expensive","2004","direct migration background","","","",""
"Too Expensive","2004","indirect migration background","","","",""
"Very Inexpensive","2005","no migration background","1021","0.103922212437758","0.0978946013473536","0.109949823528163"
"Very Inexpensive","2005","direct migration background","81","0.106047873335753","0.0848178474640944","0.127277899207412"
"Very Inexpensive","2005","indirect migration background","24","","",""
"Inexpensive","2005","no migration background","2938","0.308086025433594","0.298966332279048","0.317205718588141"
"Inexpensive","2005","direct migration background","214","0.246133850424131","0.216432567761733","0.275835133086529"
"Inexpensive","2005","indirect migration background","85","0.281684068779293","0.230353512012081","0.333014625546504"
"Reasonable","2005","no migration background","4935","0.497044477492654","0.487168488612161","0.506920466373146"
"Reasonable","2005","direct migration background","420","0.549141692148205","0.514832960911416","0.583450423384994"
"Reasonable","2005","indirect migration background","151","0.491460952533208","0.434412516260884","0.548509388805532"
"Slightly Expensive","2005","no migration background","823","0.078229311817853","0.0729251791640398","0.0835334444716663"
"Slightly Expensive","2005","direct migration background","77","0.0892546143376052","0.0695958489698921","0.108913379705318"
"Slightly Expensive","2005","indirect migration background","31","0.0793778056870248","0.0485297818425781","0.110225829531472"
"Too Expensive","2005","no migration background","129","0.0127179728181405","0.0105046348348876","0.0149313108013935"
"Too Expensive","2005","direct migration background","16","","",""
"Too Expensive","2005","indirect migration background","4","","",""
"Very Inexpensive","2006","no migration background","1182","0.109010428975388","0.103133556895631","0.114887301055146"
"Very Inexpensive","2006","direct migration background","83","0.102571488535419","0.0818684363269872","0.123274540743851"
"Very Inexpensive","2006","indirect migration background","37","0.163763487894398","0.123090354245874","0.204436621542921"
"Inexpensive","2006","no migration background","3190","0.302792958580117","0.294128734595226","0.311457182565009"
"Inexpensive","2006","direct migration background","222","0.282107357701496","0.251398895088467","0.312815820314525"
"Inexpensive","2006","indirect migration background","71","0.194123783649108","0.150651938492832","0.237595628805383"
"Reasonable","2006","no migration background","5290","0.482370703394594","0.472947994183953","0.491793412605235"
"Reasonable","2006","direct migration background","418","0.484988891294716","0.450885677258751","0.51909210533068"
"Reasonable","2006","indirect migration background","164","0.512502996436179","0.457565519411301","0.567440473461056"
"Slightly Expensive","2006","no migration background","992","0.0926220286515292","0.0871553044613777","0.0980887528416808"
"Slightly Expensive","2006","direct migration background","101","0.130088134646702","0.107133119314681","0.153043149978722"
"Slightly Expensive","2006","indirect migration background","41","0.125727339247798","0.0892878029093451","0.162166875586252"
"Too Expensive","2006","no migration background","149","0.0132038803983714","0.0110513940268504","0.0153563667698924"
"Too Expensive","2006","direct migration background","1","","",""
"Too Expensive","2006","indirect migration background","5","","",""
"Very Inexpensive","2007","no migration background","1066","0.101524686219544","0.095642684499506","0.107406687939582"
"Very Inexpensive","2007","direct migration background","60","0.0653609439875401","0.0476247758264547","0.0830971121486254"
"Very Inexpensive","2007","indirect migration background","22","","",""
"Inexpensive","2007","no migration background","3015","0.301562956884846","0.292624987274213","0.310500926495479"
"Inexpensive","2007","direct migration background","219","0.298009186856119","0.265187626953253","0.330830746758985"
"Inexpensive","2007","indirect migration background","73","0.273769670679935","0.223728434543736","0.323810906816134"
"Reasonable","2007","no migration background","5037","0.498446539815309","0.48870888998936","0.508184189641258"
"Reasonable","2007","direct migration background","373","0.497790453220596","0.461911113597423","0.533669792843769"
"Reasonable","2007","indirect migration background","166","0.527027952073992","0.47099638952983","0.583059514618155"
"Slightly Expensive","2007","no migration background","880","0.0862434553570518","0.0807762602964226","0.0917106504176811"
"Slightly Expensive","2007","direct migration background","74","0.101502778428441","0.0798319251544575","0.123173631702424"
"Slightly Expensive","2007","indirect migration background","36","0.147816442373471","0.107984992110665","0.187647892636276"
"Too Expensive","2007","no migration background","130","0.01222236172325","0.0100824620812445","0.0143622613652555"
"Too Expensive","2007","direct migration background","20","","",""
"Too Expensive","2007","indirect migration background","8","","",""
"Very Inexpensive","2008","no migration background","1115","0.117970126579858","0.111531181519547","0.124409071640169"
"Very Inexpensive","2008","direct migration background","46","0.0675880998910587","0.0489379428241854","0.0862382569579321"
"Very Inexpensive","2008","indirect migration background","24","","",""
"Inexpensive","2008","no migration background","2722","0.276284001768657","0.267358163671551","0.285209839865762"
"Inexpensive","2008","direct migration background","190","0.260970201183421","0.228343744828852","0.293596657537989"
"Inexpensive","2008","indirect migration background","91","0.214605497508071","0.16983301454484","0.259377980471302"
"Reasonable","2008","no migration background","4861","0.501236423407975","0.491255844649891","0.511217002166059"
"Reasonable","2008","direct migration background","371","0.526590245755984","0.489496689068142","0.563683802443826"
"Reasonable","2008","indirect migration background","161","0.568103041314345","0.514083553772874","0.622122528855816"
"Slightly Expensive","2008","no migration background","814","0.0906659147045191","0.084934381556311","0.0963974478527272"
