"hlf0094","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1985","in school","35","0.348521947443581","0.254181047679304","0.442862847207859","2"
"Inexpensive","1985","general elemantary","374","0.325880530802502","0.298908307968238","0.352852753636766","2"
"Inexpensive","1985","higher vocational","80","0.254475053088458","0.206144196647029","0.302805909529888","2"
"Reasonable","1985","vocational + Abi","37","0.47028686168348","0.360915179210172","0.579658544156787","3"
"Reasonable","1985","higher education","139","0.401125992244488","0.349778149415736","0.452473835073239","3"
"Reasonable","1985","middle vocational","736","0.33429153251386","0.314177318295434","0.354405746732286","3"
"Reasonable","1985","in school","36","0.36274145080716","0.267551416959176","0.457931484655144","3"
"Reasonable","1985","inadequately","31","0.448817400565967","0.329722468221446","0.567912332910489","3"
"Reasonable","1985","general elemantary","396","0.336541801221579","0.309349536065647","0.363734066377511","3"
"Reasonable","1985","higher vocational","125","0.408116531242245","0.353580818609282","0.462652243875208","3"
"Slightly Expensive","1985","higher education","30","0.0764277761007708","0.0485938088596778","0.104261743341864","4"
"Slightly Expensive","1985","in school","8","","","","4"
"Slightly Expensive","1985","middle vocational","182","0.0807060544747518","0.0690921406155851","0.0923199683339184","4"
"Slightly Expensive","1985","general elemantary","82","0.0653438392931739","0.0511222753977714","0.0795654031885764","4"
"Slightly Expensive","1985","higher vocational","29","","","","4"
"Slightly Expensive","1985","inadequately","11","","","","4"
"Slightly Expensive","1985","vocational + Abi","6","","","","4"
"Too Expensive","1985","higher education","11","","","","5"
"Too Expensive","1985","middle vocational","52","0.0245642394779445","0.0179641573385162","0.0311643216173727","5"
"Too Expensive","1985","vocational + Abi","2","","","","5"
"Too Expensive","1985","higher vocational","5","","","","5"
"Too Expensive","1985","in school","2","","","","5"
"Too Expensive","1985","inadequately","2","","","","5"
"Too Expensive","1985","general elemantary","26","","","","5"
"Very Inexpensive","1985","in school","17","","","","1"
"Very Inexpensive","1985","inadequately","5","","","","1"
"Very Inexpensive","1985","general elemantary","282","0.250468300515079","0.225534385013473","0.275402216016684","1"
"Very Inexpensive","1985","middle vocational","479","0.239512887924531","0.221315514158811","0.257710261690252","1"
"Very Inexpensive","1985","vocational + Abi","19","","","","1"
"Very Inexpensive","1985","higher vocational","73","0.240304294219331","0.192894136987618","0.287714451451044","1"
"Very Inexpensive","1985","higher education","72","0.211274291261835","0.168508117705794","0.254040464817877","1"
"Inexpensive","1986","in school","27","","","","2"
"Inexpensive","1986","inadequately","17","","","","2"
"Inexpensive","1986","middle vocational","669","0.31655988102017","0.297056920489082","0.336062841551257","2"
"Inexpensive","1986","vocational + Abi","26","","","","2"
"Inexpensive","1986","higher education","99","0.272513466196578","0.227206226976087","0.317820705417069","2"
"Inexpensive","1986","higher vocational","87","0.275772246375676","0.225943299155221","0.325601193596132","2"
"Inexpensive","1986","general elemantary","372","0.336273997561301","0.309063601028161","0.363484394094442","2"
"Reasonable","1986","middle vocational","838","0.380524007938439","0.360166451781285","0.400881564095593","3"
"Reasonable","1986","higher education","159","0.4260912075464","0.375771992044435","0.476410423048364","3"
"Reasonable","1986","vocational + Abi","36","0.442758928773226","0.338979332184978","0.546538525361473","3"
"Reasonable","1986","in school","44","0.406166859070161","0.31311165624251","0.499222061897812","3"
"Reasonable","1986","inadequately","35","0.436904971250428","0.318138178298204","0.555671764202652","3"
"Reasonable","1986","general elemantary","445","0.368396677005524","0.340614014293247","0.396179339717802","3"
"Reasonable","1986","higher vocational","122","0.4086815059615","0.353869957048164","0.463493054874836","3"
"Slightly Expensive","1986","in school","12","","","","4"
"Slightly Expensive","1986","middle vocational","220","0.0928344963447772","0.0806664648053717","0.105002527884183","4"
"Slightly Expensive","1986","higher education","43","0.109833506673768","0.0780161436927924","0.141650869654744","4"
"Slightly Expensive","1986","general elemantary","84","0.0651646280148322","0.0509489577973912","0.0793802982322733","4"
"Slightly Expensive","1986","higher vocational","40","0.120890583370678","0.0845420783041051","0.157239088437251","4"
"Slightly Expensive","1986","inadequately","6","","","","4"
"Slightly Expensive","1986","vocational + Abi","13","","","","4"
"Too Expensive","1986","higher education","5","","","","5"
"Too Expensive","1986","middle vocational","64","0.0256651606423599","0.0190346270481548","0.032295694236565","5"
"Too Expensive","1986","vocational + Abi","4","","","","5"
"Too Expensive","1986","higher vocational","6","","","","5"
"Too Expensive","1986","in school","3","","","","5"
"Too Expensive","1986","inadequately","2","","","","5"
"Too Expensive","1986","general elemantary","34","0.0264920843712795","0.0172425127483803","0.0357416559941787","5"
"Very Inexpensive","1986","in school","21","","","","1"
"Very Inexpensive","1986","inadequately","7","","","","1"
"Very Inexpensive","1986","general elemantary","223","0.203672613047062","0.180476994668529","0.226868231425595","1"
"Very Inexpensive","1986","middle vocational","394","0.184416454054254","0.16815511025928","0.200677797849229","1"
"Very Inexpensive","1986","vocational + Abi","9","","","","1"
"Very Inexpensive","1986","higher vocational","54","0.17696360879485","0.134411571928803","0.219515645660897","1"
"Very Inexpensive","1986","higher education","65","0.179107854770047","0.140090169396982","0.218125540143112","1"
"Inexpensive","1987","higher education","107","0.308999144573531","0.261723986467253","0.356274302679808","2"
"Inexpensive","1987","in school","26","","","","2"
"Inexpensive","1987","inadequately","21","","","","2"
"Inexpensive","1987","middle vocational","759","0.349335853710915","0.329413677852071","0.369258029569759","2"
"Inexpensive","1987","vocational + Abi","24","","","","2"
"Inexpensive","1987","higher vocational","97","0.32797653003618","0.274673295605041","0.381279764467319","2"
"Inexpensive","1987","general elemantary","408","0.370276659244288","0.342122216683109","0.398431101805468","2"
"Reasonable","1987","vocational + Abi","45","0.487618022501769","0.384919500829258","0.590316544174279","3"
"Reasonable","1987","middle vocational","795","0.367364736950945","0.347219973053106","0.387509500848784","3"
"Reasonable","1987","in school","36","0.36904456413401","0.273507079512792","0.464582048755229","3"
"Reasonable","1987","inadequately","34","0.348199782985453","0.234968837664611","0.461430728306294","3"
"Reasonable","1987","general elemantary","404","0.352715141632464","0.324855941376991","0.380574341887938","3"
"Reasonable","1987","higher education","149","0.390994663810791","0.341070474305234","0.440918853316348","3"
"Reasonable","1987","higher vocational","112","0.395423695406803","0.339910418385519","0.450936972428088","3"
"Slightly Expensive","1987","higher education","28","","","","4"
"Slightly Expensive","1987","in school","18","","","","4"
"Slightly Expensive","1987","middle vocational","215","0.0855266051023482","0.0738404161306664","0.0972127940740299","4"
"Slightly Expensive","1987","inadequately","6","","","","4"
"Slightly Expensive","1987","general elemantary","74","0.0572029278767683","0.043662664532846","0.0707431912206907","4"
"Slightly Expensive","1987","vocational + Abi","6","","","","4"
"Slightly Expensive","1987","higher vocational","29","","","","4"
"Too Expensive","1987","higher education","11","","","","5"
"Too Expensive","1987","middle vocational","49","0.0213204088129787","0.0152843316845995","0.027356485941358","5"
"Too Expensive","1987","vocational + Abi","2","","","","5"
"Too Expensive","1987","higher vocational","12","","","","5"
"Too Expensive","1987","in school","4","","","","5"
"Too Expensive","1987","inadequately","1","","","","5"
"Too Expensive","1987","general elemantary","34","0.0280700221966285","0.0184395465781872","0.0377004978150698","5"
"Very Inexpensive","1987","in school","14","","","","1"
"Very Inexpensive","1987","inadequately","6","","","","1"
"Very Inexpensive","1987","general elemantary","210","0.19173524904985","0.168782396335214","0.214688101764487","1"
"Very Inexpensive","1987","middle vocational","382","0.176452395422813","0.160523161719161","0.192381629126464","1"
"Very Inexpensive","1987","vocational + Abi","14","","","","1"
"Very Inexpensive","1987","higher vocational","48","0.149643378509179","0.109142050817546","0.190144706200812","1"
"Very Inexpensive","1987","higher education","72","0.196240330753974","0.15560794735519","0.236872714152757","1"
"Inexpensive","1988","higher education","102","0.299179144261003","0.250578719147091","0.347779569374914","2"
"Inexpensive","1988","in school","20","","","","2"
"Inexpensive","1988","inadequately","21","","","","2"
"Inexpensive","1988","middle vocational","743","0.350816665576363","0.330459009940718","0.371174321212007","2"
"Inexpensive","1988","vocational + Abi","32","0.325536182514121","0.22978742684794","0.421284938180302","2"
"Inexpensive","1988","higher vocational","95","0.323501080222021","0.269283953788168","0.377718206655875","2"
"Inexpensive","1988","general elemantary","363","0.378664881441759","0.348897648207939","0.408432114675579","2"
"Reasonable","1988","inadequately","27","","","","3"
"Reasonable","1988","in school","42","0.494488968685207","0.38820145437022","0.600776483000194","3"
"Reasonable","1988","vocational + Abi","37","0.45271403177783","0.351001769991454","0.554426293564205","3"
"Reasonable","1988","higher education","152","0.43663950603735","0.38399832682866","0.48928068524604","3"
"Reasonable","1988","middle vocational","795","0.378572836816944","0.357882202006876","0.399263471627012","3"
"Reasonable","1988","general elemantary","361","0.336029100779855","0.307041586692604","0.365016614867106","3"
"Reasonable","1988","higher vocational","114","0.387946376268159","0.331472751872895","0.444420000663423","3"
"Slightly Expensive","1988","higher education","17","","","","4"
"Slightly Expensive","1988","in school","11","","","","4"
"Slightly Expensive","1988","middle vocational","173","0.0795763917943949","0.0680314972381367","0.0911212863506531","4"
"Slightly Expensive","1988","general elemantary","77","0.0656866690420141","0.0504835429456916","0.0808897951383365","4"
"Slightly Expensive","1988","higher vocational","25","","","","4"
"Slightly Expensive","1988","inadequately","7","","","","4"
"Slightly Expensive","1988","vocational + Abi","8","","","","4"
"Too Expensive","1988","higher education","4","","","","5"
"Too Expensive","1988","middle vocational","31","0.0136028701078088","0.00866152541635871","0.0185442147992588","5"
"Too Expensive","1988","vocational + Abi","","","","","5"
"Too Expensive","1988","higher vocational","6","","","","5"
"Too Expensive","1988","in school","1","","","","5"
"Too Expensive","1988","inadequately","1","","","","5"
"Too Expensive","1988","general elemantary","14","","","","5"
"Very Inexpensive","1988","in school","11","","","","1"
"Very Inexpensive","1988","inadequately","5","","","","1"
"Very Inexpensive","1988","general elemantary","205","0.203642993443167","0.178929357543929","0.228356629342406","1"
"Very Inexpensive","1988","middle vocational","369","0.17743123570449","0.161134331230976","0.193728140178003","1"
"Very Inexpensive","1988","vocational + Abi","15","","","","1"
"Very Inexpensive","1988","higher vocational","46","0.180373194748326","0.135811761598732","0.224934627897919","1"
"Very Inexpensive","1988","higher education","66","0.201397265213562","0.158831241510156","0.243963288916967","1"
"Inexpensive","1989","higher education","98","0.275435144978184","0.228019767627533","0.322850522328834","2"
"Inexpensive","1989","in school","30","0.282125996399583","0.191149369546983","0.373102623252184","2"
"Inexpensive","1989","inadequately","27","","","","2"
"Inexpensive","1989","middle vocational","758","0.371730300734437","0.351065933859817","0.392394667609057","2"
"Inexpensive","1989","vocational + Abi","34","0.383823477345604","0.286541852488972","0.481105102202235","2"
"Inexpensive","1989","higher vocational","102","0.368925667376908","0.312906666961477","0.424944667792339","2"
"Inexpensive","1989","general elemantary","395","0.414851795391113","0.383603536028582","0.446100054753644","2"
"Reasonable","1989","inadequately","24","","","","3"
"Reasonable","1989","vocational + Abi","33","0.319545633463717","0.226267806326852","0.412823460600583","3"
"Reasonable","1989","in school","36","0.39575060070703","0.296894592605495","0.494606608808565","3"
"Reasonable","1989","middle vocational","756","0.354205392361033","0.333754613328585","0.374656171393481","3"
"Reasonable","1989","higher education","137","0.418380897372452","0.366023728341383","0.47073806640352","3"
"Reasonable","1989","higher vocational","92","0.312309083997949","0.258505077918494","0.366113090077405","3"
"Reasonable","1989","general elemantary","287","0.276913241137723","0.248533170565695","0.305293311709752","3"
"Slightly Expensive","1989","middle vocational","135","0.0597252651942387","0.0495921847227564","0.069858345665721","4"
"Slightly Expensive","1989","higher education","27","","","","4"
"Slightly Expensive","1989","in school","9","","","","4"
"Slightly Expensive","1989","general elemantary","61","0.0601893212920347","0.0451049811805141","0.0752736614035552","4"
"Slightly Expensive","1989","higher vocational","31","0.10654430336487","0.0707241625180176","0.142364444211722","4"
"Slightly Expensive","1989","inadequately","6","","","","4"
"Slightly Expensive","1989","vocational + Abi","8","","","","4"
"Too Expensive","1989","higher education","1","","","","5"
"Too Expensive","1989","middle vocational","32","0.013291053032455","0.0083942876829571","0.018187818381953","5"
"Too Expensive","1989","vocational + Abi","","","","","5"
"Too Expensive","1989","higher vocational","2","","","","5"
"Too Expensive","1989","in school","1","","","","5"
"Too Expensive","1989","inadequately","","","","","5"
"Too Expensive","1989","general elemantary","13","","","","5"
"Very Inexpensive","1989","in school","18","","","","1"
"Very Inexpensive","1989","inadequately","6","","","","1"
"Very Inexpensive","1989","general elemantary","199","0.233911158267781","0.207063188917968","0.260759127617594","1"
"Very Inexpensive","1989","middle vocational","420","0.201047988677836","0.183910575073763","0.21818540228191","1"
"Very Inexpensive","1989","vocational + Abi","21","","","","1"
"Very Inexpensive","1989","higher vocational","58","0.202288153384224","0.15565079891856","0.248925507849888","1"
"Very Inexpensive","1989","higher education","78","0.231284059074709","0.186530591024824","0.276037527124593","1"
"Inexpensive","1990","higher education","125","0.35394779821981","0.304619298946677","0.403276297492944","2"
"Inexpensive","1990","in school","22","","","","2"
"Inexpensive","1990","inadequately","37","0.588078629156128","0.472780056286818","0.703377202025439","2"
"Inexpensive","1990","middle vocational","732","0.357083276813341","0.336402546199785","0.377764007426897","2"
"Inexpensive","1990","vocational + Abi","34","0.331809444793667","0.241746119105187","0.421872770482147","2"
"Inexpensive","1990","higher vocational","89","0.314076661849276","0.259515788157796","0.368637535540757","2"
"Inexpensive","1990","general elemantary","386","0.437494345885882","0.405403850691241","0.469584841080522","2"
"Reasonable","1990","inadequately","23","","","","3"
"Reasonable","1990","middle vocational","755","0.360573846872509","0.339848773828197","0.381298919916821","3"
"Reasonable","1990","vocational + Abi","42","0.38416385633261","0.291129302386776","0.477198410278443","3"
"Reasonable","1990","higher education","131","0.371249616797307","0.321410925648585","0.421088307946029","3"
"Reasonable","1990","in school","28","","","","3"
"Reasonable","1990","higher vocational","108","0.396535673068992","0.339032391973537","0.454038954164446","3"
"Reasonable","1990","general elemantary","285","0.294425614900317","0.264941645706001","0.323909584094633","3"
"Slightly Expensive","1990","in school","6","","","","4"
"Slightly Expensive","1990","middle vocational","132","0.0656742623853978","0.0549824699596053","0.0763660548111903","4"
"Slightly Expensive","1990","higher education","27","","","","4"
"Slightly Expensive","1990","general elemantary","57","0.0473816027600397","0.0336383002410733","0.0611249052790062","4"
"Slightly Expensive","1990","vocational + Abi","5","","","","4"
"Slightly Expensive","1990","higher vocational","20","","","","4"
"Slightly Expensive","1990","inadequately","5","","","","4"
"Too Expensive","1990","higher education","4","","","","5"
"Too Expensive","1990","vocational + Abi","1","","","","5"
"Too Expensive","1990","higher vocational","7","","","","5"
"Too Expensive","1990","middle vocational","18","","","","5"
"Too Expensive","1990","in school","1","","","","5"
"Too Expensive","1990","inadequately","","","","","5"
"Too Expensive","1990","general elemantary","10","","","","5"
"Very Inexpensive","1990","in school","18","","","","1"
"Very Inexpensive","1990","inadequately","5","","","","1"
"Very Inexpensive","1990","general elemantary","180","0.214307827798429","0.187763484787174","0.240852170809685","1"
"Very Inexpensive","1990","middle vocational","425","0.208868777569991","0.191323316501943","0.226414238638039","1"
"Very Inexpensive","1990","vocational + Abi","23","","","","1"
"Very Inexpensive","1990","higher vocational","54","0.195238450668553","0.148643165028556","0.241833736308551","1"
"Very Inexpensive","1990","higher education","74","0.190135993205904","0.149656719856734","0.230615266555074","1"
"Inexpensive","1991","higher education","165","0.275764518740276","0.241461417471221","0.310067620009331","2"
"Inexpensive","1991","vocational + Abi","45","0.333722978543184","0.252033978565119","0.415411978521249","2"
"Inexpensive","1991","higher vocational","127","0.369657642975682","0.321688563878043","0.417626722073321","2"
"Inexpensive","1991","in school","27","","","","2"
"Inexpensive","1991","inadequately","20","","","","2"
"Inexpensive","1991","middle vocational","879","0.333832109298616","0.31646993670015","0.351194281897083","2"
"Inexpensive","1991","general elemantary","348","0.350325756819571","0.321455928187796","0.379195585451347","2"
"Reasonable","1991","vocational + Abi","50","0.432475516366924","0.346650050349867","0.518300982383982","3"
"Reasonable","1991","higher education","218","0.366388599079024","0.329405205410818","0.403371992747229","3"
"Reasonable","1991","in school","29","","","","3"
"Reasonable","1991","inadequately","38","0.457657198907929","0.346379069269036","0.568935328546822","3"
"Reasonable","1991","middle vocational","1006","0.374226883107351","0.356410312624095","0.392043453590607","3"
"Reasonable","1991","higher vocational","159","0.420802039590001","0.37174224558224","0.469861833597763","3"
"Reasonable","1991","general elemantary","385","0.360260551160786","0.331208937012973","0.3893121653086","3"
"Slightly Expensive","1991","higher education","111","0.119199898547314","0.0943284594997617","0.144071337594867","4"
"Slightly Expensive","1991","in school","5","","","","4"
"Slightly Expensive","1991","middle vocational","359","0.0916249872458445","0.0810034415634376","0.102246532928251","4"
"Slightly Expensive","1991","vocational + Abi","13","","","","4"
"Slightly Expensive","1991","higher vocational","42","0.0725669682758883","0.0467869001935465","0.0983470363582301","4"
"Slightly Expensive","1991","general elemantary","108","0.0827264213231008","0.0660565630386971","0.0993962796075045","4"
"Slightly Expensive","1991","inadequately","8","","","","4"
"Too Expensive","1991","higher education","76","0.0678277008808236","0.0485268730002083","0.0871285287614389","5"
"Too Expensive","1991","middle vocational","203","0.048272908404825","0.0403814709856814","0.0561643458239685","5"
"Too Expensive","1991","vocational + Abi","3","","","","5"
"Too Expensive","1991","higher vocational","19","","","","5"
"Too Expensive","1991","in school","2","","","","5"
"Too Expensive","1991","inadequately","2","","","","5"
"Too Expensive","1991","general elemantary","46","0.0271124877178382","0.0172842343121383","0.0369407411235381","5"
"Very Inexpensive","1991","vocational + Abi","17","","","","1"
"Very Inexpensive","1991","higher vocational","42","0.11309524300975","0.0816225466691113","0.144567939350388","1"
"Very Inexpensive","1991","higher education","82","0.170819282752562","0.141931291951859","0.199707273553265","1"
"Very Inexpensive","1991","in school","8","","","","1"
"Very Inexpensive","1991","inadequately","9","","","","1"
"Very Inexpensive","1991","general elemantary","162","0.179574782978703","0.156347280111911","0.202802285845496","1"
"Very Inexpensive","1991","middle vocational","387","0.152043111943363","0.138823508449103","0.165262715437624","1"
"Inexpensive","1992","higher education","179","0.292912804058265","0.256944811654991","0.328880796461538","2"
"Inexpensive","1992","vocational + Abi","40","0.325281004769625","0.243803625688652","0.406758383850597","2"
"Inexpensive","1992","higher vocational","121","0.331983999157374","0.285306054901437","0.378661943413312","2"
"Inexpensive","1992","in school","29","","","","2"
"Inexpensive","1992","middle vocational","892","0.34597578148608","0.328115652029855","0.363835910942305","2"
"Inexpensive","1992","inadequately","20","","","","2"
"Inexpensive","1992","general elemantary","319","0.330424323581059","0.301198121030814","0.359650526131304","2"
"Reasonable","1992","vocational + Abi","51","0.388084952715948","0.303331929464099","0.472837975967797","3"
"Reasonable","1992","higher education","243","0.404935370174773","0.366139503505389","0.443731236844157","3"
"Reasonable","1992","in school","36","0.438139508176312","0.33008919318476","0.546189823167864","3"
"Reasonable","1992","inadequately","45","0.445723346614218","0.337479911552051","0.553966781676385","3"
"Reasonable","1992","middle vocational","1104","0.395755025014154","0.377394521780282","0.414115528248027","3"
"Reasonable","1992","higher vocational","159","0.410806640761094","0.362041738097901","0.459571543424288","3"
"Reasonable","1992","general elemantary","395","0.402902135143526","0.372426055896534","0.433378214390518","3"
"Slightly Expensive","1992","higher education","81","0.0952557881993936","0.0720541245136743","0.118457451885113","4"
"Slightly Expensive","1992","in school","5","","","","4"
"Slightly Expensive","1992","middle vocational","255","0.0675873803119953","0.0581619385167463","0.0770128221072444","4"
"Slightly Expensive","1992","vocational + Abi","14","","","","4"
"Slightly Expensive","1992","higher vocational","52","0.113138812145399","0.0817414368466523","0.144536187444146","4"
"Slightly Expensive","1992","inadequately","8","","","","4"
"Slightly Expensive","1992","general elemantary","96","0.0630058718903959","0.0479087035312415","0.0781030402495503","4"
"Too Expensive","1992","higher education","32","0.0321823911262054","0.0182342463262696","0.0461305359261411","5"
"Too Expensive","1992","middle vocational","86","0.024861741737631","0.0190156757798426","0.0307078076954195","5"
"Too Expensive","1992","vocational + Abi","1","","","","5"
"Too Expensive","1992","higher vocational","8","","","","5"
"Too Expensive","1992","in school","2","","","","5"
"Too Expensive","1992","inadequately","1","","","","5"
"Too Expensive","1992","general elemantary","27","","","","5"
"Very Inexpensive","1992","vocational + Abi","21","","","","1"
"Very Inexpensive","1992","higher vocational","51","0.127966845520013","0.0948556438047523","0.161078047235273","1"
"Very Inexpensive","1992","higher education","80","0.174713646441364","0.144702935826705","0.204724357056022","1"
"Very Inexpensive","1992","general elemantary","158","0.176409485443328","0.152725587264204","0.200093383622453","1"
"Very Inexpensive","1992","middle vocational","388","0.165820071450139","0.151855961661744","0.179784181238535","1"
"Very Inexpensive","1992","in school","9","","","","1"
"Very Inexpensive","1992","inadequately","7","","","","1"
"Inexpensive","1993","higher education","192","0.295399131174032","0.259942642268239","0.330855620079825","2"
"Inexpensive","1993","vocational + Abi","36","0.300334407211564","0.22242855660191","0.378240257821219","2"
"Inexpensive","1993","higher vocational","103","0.29248502792051","0.246195710855157","0.338774344985863","2"
"Inexpensive","1993","in school","22","","","","2"
"Inexpensive","1993","inadequately","31","0.362705677852341","0.259273362508503","0.466137993196178","2"
"Inexpensive","1993","middle vocational","958","0.361911059962047","0.343854901548232","0.379967218375862","2"
"Inexpensive","1993","general elemantary","337","0.37376261357443","0.342916559791747","0.404608667357113","2"
"Reasonable","1993","vocational + Abi","64","0.431902827765973","0.347719399467667","0.516086256064279","3"
"Reasonable","1993","higher education","263","0.411110697544707","0.372870885000916","0.449350510088498","3"
"Reasonable","1993","in school","33","0.360344532592525","0.255139836970668","0.465549228214382","3"
"Reasonable","1993","inadequately","39","0.429807201000184","0.323305448876979","0.536308953123388","3"
"Reasonable","1993","middle vocational","1111","0.395373799618098","0.37700286529176","0.413744733944435","3"
"Reasonable","1993","higher vocational","170","0.48064774570821","0.429807738715032","0.531487752701389","3"
"Reasonable","1993","general elemantary","377","0.381006209079622","0.350043328359982","0.411969089799261","3"
"Slightly Expensive","1993","higher education","65","0.0821879975093559","0.0608427792881631","0.103533215730549","4"
"Slightly Expensive","1993","vocational + Abi","8","","","","4"
"Slightly Expensive","1993","in school","5","","","","4"
"Slightly Expensive","1993","inadequately","7","","","","4"
"Slightly Expensive","1993","middle vocational","185","0.0591368971637911","0.0502739878452481","0.0679998064823342","4"
"Slightly Expensive","1993","higher vocational","31","0.0693409841636156","0.0434915267624145","0.0951904415648166","4"
"Slightly Expensive","1993","general elemantary","66","0.0560838499776331","0.0414142657647038","0.0707534341905625","4"
"Too Expensive","1993","higher education","16","","","","5"
"Too Expensive","1993","middle vocational","67","0.0227305015007752","0.017130405125876","0.0283305978756745","5"
"Too Expensive","1993","vocational + Abi","3","","","","5"
"Too Expensive","1993","higher vocational","5","","","","5"
"Too Expensive","1993","in school","1","","","","5"
"Too Expensive","1993","inadequately","2","","","","5"
"Too Expensive","1993","general elemantary","15","","","","5"
"Very Inexpensive","1993","vocational + Abi","22","","","","1"
"Very Inexpensive","1993","higher vocational","62","0.143200923216787","0.107557981529614","0.178843864903959","1"
"Very Inexpensive","1993","higher education","100","0.191922001411745","0.161315861701002","0.222528141122487","1"
"Very Inexpensive","1993","in school","19","","","","1"
"Very Inexpensive","1993","inadequately","4","","","","1"
"Very Inexpensive","1993","general elemantary","150","0.168024955021313","0.144186712676012","0.191863197366614","1"
"Very Inexpensive","1993","middle vocational","400","0.160847741755289","0.147043527609243","0.174651955901335","1"
"Inexpensive","1994","vocational + Abi","48","0.292422323913287","0.21680296098005","0.368041686846524","2"
"Inexpensive","1994","higher education","178","0.280083342742871","0.246157916682491","0.314008768803251","2"
"Inexpensive","1994","higher vocational","109","0.291897397024594","0.246005012643665","0.337789781405523","2"
"Inexpensive","1994","middle vocational","891","0.332283109084015","0.314626831424114","0.349939386743916","2"
"Inexpensive","1994","general elemantary","301","0.351388236392227","0.31971977317085","0.383056699613604","2"
"Inexpensive","1994","inadequately","33","0.445710467242694","0.331690367561587","0.559730566923801","2"
"Inexpensive","1994","in school","27","","","","2"
"Reasonable","1994","higher education","294","0.424280108573115","0.38694026347497","0.461619953671259","3"
"Reasonable","1994","vocational + Abi","63","0.515357660713726","0.432275891710078","0.598439429717374","3"
"Reasonable","1994","in school","47","0.476589890917699","0.37820600775374","0.574973774081658","3"
"Reasonable","1994","middle vocational","1166","0.413401837727614","0.394942956032173","0.431860719423055","3"
"Reasonable","1994","higher vocational","166","0.432876952196045","0.382862179873401","0.482891724518689","3"
"Reasonable","1994","inadequately","27","","","","3"
"Reasonable","1994","general elemantary","359","0.398902694000869","0.366420388651633","0.431384999350104","3"
"Slightly Expensive","1994","higher education","72","0.0720444387833418","0.0525098452244597","0.091579032342224","4"
"Slightly Expensive","1994","in school","7","","","","4"
"Slightly Expensive","1994","middle vocational","218","0.0675279195725546","0.0581218445240637","0.0769339946210456","4"
"Slightly Expensive","1994","vocational + Abi","13","","","","4"
"Slightly Expensive","1994","higher vocational","24","","","","4"
"Slightly Expensive","1994","general elemantary","59","0.0556877643768277","0.0404760322428354","0.07089949651082","4"
"Slightly Expensive","1994","inadequately","6","","","","4"
