"hlf0094","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Too Expensive","1987","Female","57","0.024883176619324","0.0182742319005422","0.0314921213381058","5"
"Very Inexpensive","1987","Male","376","0.179968870281607","0.163730489322791","0.196207251240423","1"
"Very Inexpensive","1987","Female","374","0.177281207581471","0.161077740808465","0.193484674354477","1"
"Inexpensive","1988","Male","697","0.345780062430529","0.325125574215015","0.366434550646043","2"
"Inexpensive","1988","Female","690","0.352864488062906","0.331884944526082","0.37384403159973","2"
"Reasonable","1988","Female","749","0.371406497278199","0.350193397535829","0.392619597020569","3"
"Reasonable","1988","Male","792","0.384115078566815","0.362993175743762","0.405236981389868","3"
"Slightly Expensive","1988","Female","165","0.0760009477331634","0.0643666624591832","0.0876352330071435","4"
"Slightly Expensive","1988","Male","156","0.0725571036618001","0.0612919755468703","0.0838222317767299","4"
"Too Expensive","1988","Male","27","","","","5"
"Too Expensive","1988","Female","30","0.0155257921868514","0.010097996427679","0.0209535879460239","5"
"Very Inexpensive","1988","Female","359","0.18420227473888","0.167183308325852","0.201221241151909","1"
"Very Inexpensive","1988","Male","365","0.185147157078335","0.168279658081403","0.202014656075267","1"
"Inexpensive","1989","Male","740","0.373828955686363","0.352619737826776","0.395038173545951","2"
"Inexpensive","1989","Female","716","0.366679800329387","0.345432205118542","0.387927395540232","2"
"Reasonable","1989","Female","691","0.341109977780306","0.32020699330935","0.362012962251262","3"
"Reasonable","1989","Male","688","0.3379742718442","0.317238464542072","0.358710079146328","3"
"Slightly Expensive","1989","Female","138","0.0632843275700109","0.0525492150930116","0.0740194400470102","4"
"Slightly Expensive","1989","Male","143","0.0682641872442531","0.0572085304000624","0.0793198440884437","4"
"Too Expensive","1989","Male","23","","","","5"
"Too Expensive","1989","Female","27","","","","5"
"Very Inexpensive","1989","Female","404","0.215555209722436","0.197424488748793","0.23368593069608","1"
"Very Inexpensive","1989","Male","405","0.2095513671734","0.191710179172881","0.22739255517392","1"
"Inexpensive","1990","Female","711","0.36969606371993","0.348292640738044","0.391099486701816","2"
"Inexpensive","1990","Male","731","0.374113708437842","0.352680298119828","0.395547118755856","2"
"Reasonable","1990","Female","703","0.35466554834685","0.333453249417847","0.375877847275852","3"
"Reasonable","1990","Male","683","0.341762512836083","0.320754002174189","0.362771023497977","3"
"Slightly Expensive","1990","Female","127","0.0590518752412869","0.0486002098200197","0.0695035406625541","4"
"Slightly Expensive","1990","Male","130","0.0655476646704021","0.0545854340149682","0.0765098953258359","4"
"Too Expensive","1990","Male","18","","","","5"
"Too Expensive","1990","Female","24","","","","5"
"Very Inexpensive","1990","Female","389","0.205902000708069","0.187973121323586","0.223830880092553","1"
"Very Inexpensive","1990","Male","396","0.210912778099616","0.192842880198483","0.228982676000748","1"
"Inexpensive","1991","Female","816","0.332739391889201","0.31471062479036","0.350768158988041","2"
"Inexpensive","1991","Male","809","0.332677045045217","0.314655991383099","0.350698098707335","2"
"Reasonable","1991","Male","953","0.374925152621192","0.356409499738424","0.39344080550396","3"
"Reasonable","1991","Female","949","0.378680270423397","0.360121034725545","0.397239506121248","3"
"Slightly Expensive","1991","Female","332","0.0910269487923818","0.0800210206685251","0.102032876916239","4"
"Slightly Expensive","1991","Male","322","0.0914965560914454","0.0804693271074431","0.102523785075448","4"
"Too Expensive","1991","Male","179","0.0429943063262392","0.0352360617916763","0.0507525508608021","5"
"Too Expensive","1991","Female","174","0.0418747406581442","0.0342107778994724","0.049538703416816","5"
"Very Inexpensive","1991","Female","353","0.155678648236876","0.141806791730584","0.169550504743169","1"
"Very Inexpensive","1991","Male","363","0.157906939915906","0.14395992122347","0.171853958608342","1"
"Inexpensive","1992","Female","809","0.329625374519298","0.311408791274456","0.347841957764139","2"
"Inexpensive","1992","Male","812","0.340754367199194","0.322227166744922","0.359281567653466","2"
"Reasonable","1992","Male","1005","0.389608586723801","0.370545908282118","0.408671265165485","3"
"Reasonable","1992","Female","1047","0.408413869088191","0.389365532624573","0.427462205551809","3"
"Slightly Expensive","1992","Female","259","0.0716866681279119","0.0616897919592416","0.0816835442965822","4"
"Slightly Expensive","1992","Male","257","0.0761749040671704","0.0658052017277874","0.0865446064065534","4"
"Too Expensive","1992","Female","79","0.0246076082959539","0.018603863747192","0.0306113528447158","5"
"Too Expensive","1992","Male","80","0.0257467075410335","0.0195556869943158","0.0319377280877512","5"
"Very Inexpensive","1992","Female","364","0.165666479968645","0.151259100689356","0.180073859247934","1"
"Very Inexpensive","1992","Male","360","0.167715434468801","0.153110894198826","0.182319974738775","1"
"Inexpensive","1993","Female","861","0.340956232849115","0.322554038256123","0.359358427442107","2"
"Inexpensive","1993","Male","838","0.353868723739861","0.335030412792558","0.372707034687165","2"
"Reasonable","1993","Male","1021","0.388644281487942","0.369440638663878","0.407847924312006","3"
"Reasonable","1993","Female","1062","0.416211707214303","0.397075846113418","0.435347568315188","3"
"Slightly Expensive","1993","Female","193","0.0608453729757398","0.051565425815554","0.0701253201359255","4"
"Slightly Expensive","1993","Male","177","0.0623242456482953","0.0528003342171424","0.0718481570794481","4"
"Too Expensive","1993","Female","55","0.0205124195446431","0.0150097797396288","0.0260150593496575","5"
"Too Expensive","1993","Male","54","0.0205102280099768","0.0149262244528281","0.0260942315671256","5"
"Very Inexpensive","1993","Female","378","0.161474267416199","0.147189504654925","0.175759030177473","1"
"Very Inexpensive","1993","Male","385","0.174652521113924","0.159694768938187","0.189610273289662","1"
"Inexpensive","1994","Female","802","0.322997410338189","0.304790365116298","0.34120445556008","2"
"Inexpensive","1994","Male","803","0.32241033763731","0.304040806845769","0.340779868428852","2"
"Reasonable","1994","Male","1046","0.414655913120759","0.395293488162747","0.434018338078772","3"
"Reasonable","1994","Female","1101","0.421739045510896","0.402511288483298","0.440966802538495","3"
"Slightly Expensive","1994","Female","204","0.0656748029390005","0.0560300034012275","0.0753196024767734","4"
"Slightly Expensive","1994","Male","198","0.0652361298865443","0.0555309128535739","0.0749413469195147","4"
"Too Expensive","1994","Female","44","0.0153684306015762","0.0105788617148192","0.0201579994883331","5"
"Too Expensive","1994","Male","49","0.0167342823533924","0.0116929051489073","0.0217756595578775","5"
"Very Inexpensive","1994","Male","391","0.180963337001994","0.165832701548027","0.19609397245596","1"
"Very Inexpensive","1994","Female","383","0.174220310610338","0.159452154448211","0.188988466772466","1"
"Inexpensive","1995","Female","856","0.333583342344073","0.315446117082743","0.351720567605403","2"
"Inexpensive","1995","Male","840","0.346717469105428","0.328176159627351","0.365258778583504","2"
"Reasonable","1995","Female","1100","0.406312790908712","0.387419620566238","0.425205961251185","3"
"Reasonable","1995","Male","1053","0.393567987308447","0.374535175174206","0.412600799442689","3"
"Slightly Expensive","1995","Female","225","0.0791594741964259","0.0687736872454367","0.0895452611474152","4"
"Slightly Expensive","1995","Male","220","0.076121037850268","0.06578957287328","0.086452502827256","4"
"Too Expensive","1995","Female","37","0.0147367700306385","0.0101015213630577","0.0193720186982194","5"
"Too Expensive","1995","Male","34","0.0140772824212744","0.00948759755749316","0.0186669672850556","5"
"Very Inexpensive","1995","Male","384","0.169516223314583","0.154898719057409","0.184133727571756","1"
"Very Inexpensive","1995","Female","378","0.166207622520151","0.151887386501712","0.180527858538591","1"
"Inexpensive","1996","Female","870","0.334078700360774","0.315973079482604","0.352184321238945","2"
"Inexpensive","1996","Male","832","0.32621457607261","0.308046442758195","0.344382709387025","2"
"Reasonable","1996","Female","1136","0.416681322008116","0.39775646818976","0.435606175826472","3"
"Reasonable","1996","Male","1108","0.410415405824528","0.391352780509466","0.429478031139591","3"
"Slightly Expensive","1996","Male","211","0.074187513546845","0.0640314655264377","0.0843435615672522","4"
"Slightly Expensive","1996","Female","199","0.0649578536498866","0.0554974644839538","0.0744182428158194","4"
"Too Expensive","1996","Female","40","0.0182163477112838","0.0130828174395228","0.0233498779830447","5"
"Too Expensive","1996","Male","42","0.0157560493025768","0.0109302099162573","0.0205818886888964","5"
"Very Inexpensive","1996","Male","365","0.17342645525344","0.158754221235639","0.188098689271241","1"
"Very Inexpensive","1996","Female","362","0.166065776269939","0.151780667748801","0.180350884791078","1"
"Inexpensive","1997","Female","827","0.319296069846069","0.301522468907333","0.337069670784805","2"
"Inexpensive","1997","Male","808","0.327655737917637","0.309614507329561","0.345696968505712","2"
"Reasonable","1997","Female","1203","0.4322522140999","0.413365959180547","0.451138469019254","3"
"Reasonable","1997","Male","1161","0.416631384866625","0.397681396901382","0.435581372831868","3"
"Slightly Expensive","1997","Male","200","0.0669767088653924","0.0573678998548813","0.0765855178759035","4"
"Slightly Expensive","1997","Female","200","0.0659773514370248","0.0565133313840109","0.0754413714900387","4"
"Too Expensive","1997","Female","48","0.0193229276961371","0.0140748653616581","0.0245709900306161","5"
"Too Expensive","1997","Male","43","0.0161156357566305","0.0112755041792775","0.0209557673339834","5"
"Very Inexpensive","1997","Male","388","0.172620532593715","0.158094065231329","0.187146999956102","1"
"Very Inexpensive","1997","Female","365","0.163151436920869","0.149064440690709","0.177238433151029","1"
"Inexpensive","1998","Male","934","0.318884427512563","0.302213114426486","0.33555574059864","2"
"Inexpensive","1998","Female","952","0.317936651612062","0.301336514627708","0.334536788596416","2"
"Reasonable","1998","Male","1315","0.418999719497513","0.401350000952449","0.436649438042577","3"
"Reasonable","1998","Female","1311","0.415452531690662","0.397885450265535","0.433019613115788","3"
"Slightly Expensive","1998","Male","251","0.0684290333584616","0.0593973038576602","0.0774607628592631","4"
"Slightly Expensive","1998","Female","263","0.0775385371533573","0.0680048272016143","0.0870722471051003","4"
"Too Expensive","1998","Male","39","0.0161974998966433","0.01168184544887","0.0207131543444166","5"
"Too Expensive","1998","Female","41","0.0161939662071767","0.0116945064417079","0.0206934259726456","5"
"Very Inexpensive","1998","Male","463","0.177489319734819","0.163821487718595","0.191157151751044","1"
"Very Inexpensive","1998","Female","456","0.172878313336742","0.159398496850247","0.186358129823237","1"
"Inexpensive","1999","Male","972","0.353152703145061","0.335887911586119","0.370417494704003","2"
"Inexpensive","1999","Female","966","0.335857362393038","0.318937265316864","0.352777459469211","2"
"Reasonable","1999","Male","1215","0.387712252479797","0.370112290261581","0.405312214698013","3"
"Reasonable","1999","Female","1262","0.405225972873559","0.387637855020611","0.422814090726507","3"
"Slightly Expensive","1999","Male","233","0.0656220950077417","0.0566774004703086","0.0745667895451748","4"
"Slightly Expensive","1999","Female","239","0.0709455109588328","0.0617478417532776","0.0801431801643879","4"
"Too Expensive","1999","Male","57","0.0200781888766465","0.015011349137939","0.025145028615354","5"
"Too Expensive","1999","Female","60","0.0190035269368253","0.0141119874806031","0.0238950663930475","5"
"Very Inexpensive","1999","Male","467","0.173434760490754","0.159757918505016","0.187111602476492","1"
"Very Inexpensive","1999","Female","466","0.168967626837745","0.155542900051124","0.182392353624366","1"
"Inexpensive","2000","Male","1889","0.334151239799743","0.321968810830057","0.346333668769428","2"
"Inexpensive","2000","Female","1982","0.338297232908262","0.326299583139214","0.350294882677311","2"
"Reasonable","2000","Male","2479","0.416770537467459","0.404037184315128","0.42950389061979","3"
"Reasonable","2000","Female","2537","0.411947308457145","0.399466450580873","0.424428166333416","3"
"Slightly Expensive","2000","Male","525","0.0886969160786321","0.0813541408901951","0.0960396912670691","4"
"Slightly Expensive","2000","Female","548","0.0869873501983647","0.0798410389065832","0.0941336614901461","4"
"Too Expensive","2000","Male","102","0.0168896341863245","0.0135616150792769","0.0202176532933721","5"
"Too Expensive","2000","Female","96","0.0155121872642792","0.0123784890257705","0.0186458855027879","5"
"Very Inexpensive","2000","Male","764","0.143491672467842","0.13443739716529","0.152545947770394","1"
"Very Inexpensive","2000","Female","811","0.147255921171949","0.138270028613864","0.156241813730035","1"
"Inexpensive","2001","Male","1675","0.319974097919595","0.307348937974179","0.332599257865011","2"
"Inexpensive","2001","Female","1755","0.317379626840079","0.305033494861768","0.32972575881839","2"
"Reasonable","2001","Female","2515","0.460770738156588","0.447549231715776","0.4739922445974","3"
"Reasonable","2001","Male","2406","0.457600492679379","0.444116465029945","0.471084520328812","3"
"Slightly Expensive","2001","Female","441","0.073390577246882","0.0664735373986231","0.0803076170951408","4"
"Slightly Expensive","2001","Male","456","0.077509313410308","0.0702720448358124","0.0847465819848035","4"
"Too Expensive","2001","Male","85","0.0158875379721316","0.0125032491775693","0.0192718267666938","5"
"Too Expensive","2001","Female","94","0.0160573912212482","0.0127233255657712","0.0193914568767251","5"
"Very Inexpensive","2001","Female","655","0.132401666535203","0.123411704658953","0.141391628411452","1"
"Very Inexpensive","2001","Male","622","0.129028558018587","0.119955334098892","0.138101781938282","1"
"Inexpensive","2002","Male","1859","0.318458778404001","0.306622210538719","0.330295346269283","2"
"Inexpensive","2002","Female","1875","0.310933931206925","0.299281820122694","0.322586042291155","2"
"Reasonable","2002","Female","2827","0.461343105952025","0.448794130958884","0.473892080945166","3"
"Reasonable","2002","Male","2732","0.451885059774206","0.439240522897443","0.464529596650969","3"
"Slightly Expensive","2002","Female","556","0.0868511865368919","0.0797619611737635","0.0939404119000202","4"
"Slightly Expensive","2002","Male","558","0.0824999882218272","0.0755098928954631","0.0894900835481914","4"
"Too Expensive","2002","Male","72","0.0124360119691495","0.00962037730064041","0.0152516466376585","5"
"Too Expensive","2002","Female","70","0.0100203218723468","0.00751309230385459","0.0125275514408391","5"
"Very Inexpensive","2002","Female","734","0.130851454431812","0.122362065983714","0.139340842879909","1"
"Very Inexpensive","2002","Male","730","0.134720161630816","0.126045596628684","0.143394726632948","1"
"Inexpensive","2003","Female","","","","","2"
"Inexpensive","2003","Male","","","","","2"
"Reasonable","2003","Female","","","","","3"
"Reasonable","2003","Male","","","","","3"
"Slightly Expensive","2003","Female","","","","","4"
"Slightly Expensive","2003","Male","","","","","4"
"Too Expensive","2003","Male","","","","","5"
"Too Expensive","2003","Female","","","","","5"
"Very Inexpensive","2003","Female","","","","","1"
"Very Inexpensive","2003","Male","","","","","1"
"Inexpensive","2004","Female","","","","","2"
"Inexpensive","2004","Male","","","","","2"
"Reasonable","2004","Male","","","","","3"
"Reasonable","2004","Female","","","","","3"
"Slightly Expensive","2004","Female","","","","","4"
"Slightly Expensive","2004","Male","","","","","4"
"Too Expensive","2004","Male","","","","","5"
"Too Expensive","2004","Female","","","","","5"
"Very Inexpensive","2004","Female","","","","","1"
"Very Inexpensive","2004","Male","","","","","1"
"Inexpensive","2005","Female","1647","0.299607044767595","0.287574835609426","0.311639253925764","2"
"Inexpensive","2005","Male","1590","0.305312892048959","0.29300783061834","0.317617953479578","2"
"Reasonable","2005","Male","2714","0.50233839192143","0.488979148915863","0.515697634926997","3"
"Reasonable","2005","Female","2792","0.499886334312877","0.486753197429385","0.51301947119637","3"
"Slightly Expensive","2005","Female","484","0.0813152270839108","0.074136165541535","0.0884942886262867","4"
"Slightly Expensive","2005","Male","447","0.0769372633485315","0.0698169259737524","0.0840576007233105","4"
"Too Expensive","2005","Female","78","0.0127395078573624","0.0097937931562589","0.0156852225584659","5"
"Too Expensive","2005","Male","71","0.0118149331098827","0.00892790261020467","0.0147019636095608","5"
"Very Inexpensive","2005","Female","567","0.106451885978254","0.0983509699760099","0.114552801980499","1"
"Very Inexpensive","2005","Male","559","0.103596519571197","0.0954543349695753","0.111738704172819","1"
"Inexpensive","2006","Female","1744","0.291553084830133","0.280110496959452","0.302995672700814","2"
"Inexpensive","2006","Male","1739","0.304360764638839","0.292605718721126","0.316115810556552","2"
"Reasonable","2006","Male","2875","0.479473488023632","0.46671081366008","0.492236162387185","3"
"Reasonable","2006","Female","2997","0.487472813243371","0.474888038905799","0.500057587580943","3"
"Slightly Expensive","2006","Female","573","0.0983196384964389","0.0908231440962851","0.105816132896593","4"
"Slightly Expensive","2006","Male","561","0.0948992710897735","0.0874120982679076","0.102386443911639","4"
"Too Expensive","2006","Female","81","0.0123835931772206","0.00959920830792137","0.0151679780465199","5"
"Too Expensive","2006","Male","74","0.0114010468604868","0.00868885504788399","0.0141132386730897","5"
"Very Inexpensive","2006","Female","665","0.110270870252836","0.102384610368321","0.118157130137351","1"
"Very Inexpensive","2006","Male","637","0.109865429387269","0.101876357574723","0.117854501199815","1"
"Inexpensive","2007","Female","1666","0.295020582032485","0.283151076040079","0.306890088024892","2"
"Inexpensive","2007","Male","1641","0.305831170987458","0.293663021032955","0.317999320941961","2"
"Reasonable","2007","Male","2744","0.494777105691329","0.4815733513875","0.507980859995158","3"
"Reasonable","2007","Female","2832","0.503787753328908","0.490774801874003","0.516800704783814","3"
"Slightly Expensive","2007","Female","512","0.0917011760748562","0.0841897898028163","0.0992125623468961","4"
"Slightly Expensive","2007","Male","478","0.0868685248353108","0.0794306476157636","0.094306402054858","4"
"Too Expensive","2007","Female","84","0.0143245571043356","0.0112319422521024","0.0174171719565688","5"
"Too Expensive","2007","Male","74","0.0139037486394587","0.0108114834391507","0.0169960138397666","5"
"Very Inexpensive","2007","Male","571","0.0986194498464434","0.0907456113181042","0.106493288374783","1"
"Very Inexpensive","2007","Female","577","0.0951659314594145","0.0875285674408109","0.102803295478018","1"
"Inexpensive","2008","Female","1521","0.271668111208676","0.259810585782017","0.283525636635334","2"
"Inexpensive","2008","Male","1482","0.274141232299677","0.262079316272812","0.286203148326542","2"
"Reasonable","2008","Female","2748","0.512908916922089","0.499584896654748","0.526232937189429","3"
"Reasonable","2008","Male","2645","0.498289965669551","0.484770157759609","0.511809773579492","3"
"Slightly Expensive","2008","Female","473","0.0937542327575041","0.0859840987671431","0.101524366747865","4"
"Slightly Expensive","2008","Male","463","0.0972934912301115","0.0892800651051651","0.105306917355058","4"
"Too Expensive","2008","Female","77","0.0145480066836615","0.0113562516465421","0.0177397617207809","5"
"Too Expensive","2008","Male","66","0.0126208932946082","0.00960240100495673","0.0156393855842597","5"
"Very Inexpensive","2008","Male","598","0.117654417506053","0.108942243644791","0.126366591367315","1"
"Very Inexpensive","2008","Female","587","0.10712073242807","0.0988766332742176","0.115364831581922","1"
"Inexpensive","2009","Female","1455","0.290730504620587","0.278202486275927","0.303258522965248","2"
"Inexpensive","2009","Male","1464","0.300341364844487","0.28758923051508","0.313093499173895","2"
"Reasonable","2009","Female","2515","0.482282272102858","0.468496578998468","0.496067965207247","3"
"Reasonable","2009","Male","2453","0.482485445948496","0.468584780302689","0.496386111594304","3"
"Slightly Expensive","2009","Male","418","0.0878395073750978","0.0799651924592097","0.0957138222909859","4"
"Slightly Expensive","2009","Female","445","0.0912844596821675","0.0833385460374827","0.0992303733268522","4"
"Too Expensive","2009","Female","57","0.0144333876928158","0.0111429128966427","0.0177238624889888","5"
"Too Expensive","2009","Male","57","0.0136929417495964","0.0104600835532928","0.0169257999458999","5"
"Very Inexpensive","2009","Male","572","0.115640740082322","0.106744592078132","0.124536888086512","1"
"Very Inexpensive","2009","Female","575","0.121269375901572","0.112263314762461","0.130275437040682","1"
"Inexpensive","2010","Female","1727","0.274378892544828","0.263351125158589","0.285406659931066","2"
"Inexpensive","2010","Male","1665","0.283252914639672","0.271793522271595","0.294712307007749","2"
"Reasonable","2010","Female","3259","0.518113089422394","0.505763795118713","0.530462383726075","3"
"Reasonable","2010","Male","3036","0.508061179473545","0.495346512713355","0.520775846233735","3"
"Slightly Expensive","2010","Male","563","0.0937144692904244","0.0863026081110854","0.101126330469763","4"
"Slightly Expensive","2010","Female","594","0.091831546372455","0.0846942053400217","0.0989688874048883","4"
"Too Expensive","2010","Female","100","0.0158427853604272","0.0127567186976221","0.0189288520232324","5"
"Too Expensive","2010","Male","95","0.0142801498878106","0.011262738239762","0.0172975615358592","5"
"Very Inexpensive","2010","Male","580","0.100691286708548","0.093038109414771","0.108344464002325","1"
"Very Inexpensive","2010","Female","609","0.0998336862998966","0.0924247267160407","0.107242645883753","1"
"Inexpensive","2011","Male","2030","0.286717181594033","0.276209222349509","0.297225140838556","2"
"Inexpensive","2011","Female","2165","0.285604172773549","0.275452205464624","0.295756140082473","2"
"Reasonable","2011","Male","3666","0.515474084922951","0.503861669545668","0.527086500300233","3"
"Reasonable","2011","Female","3935","0.519388470159217","0.508159453484534","0.5306174868339","3"
"Slightly Expensive","2011","Male","631","0.0854388060061871","0.0789435748897887","0.0919340371225854","4"
"Slightly Expensive","2011","Female","687","0.0904623397872106","0.0840155615209391","0.0969091180534822","4"
"Too Expensive","2011","Male","112","0.0143997648121618","0.0116316204364282","0.0171679091878953","5"
"Too Expensive","2011","Female","109","0.0125621672871588","0.0100590243523562","0.0150653102219614","5"
"Very Inexpensive","2011","Male","676","0.0979701626646678","0.0910627086068802","0.104877616722455","1"
"Very Inexpensive","2011","Female","709","0.0919828499928648","0.0854875541278795","0.0984781458578502","1"
"Inexpensive","2012","Male","2074","0.292700549181376","0.282022561533771","0.30337853682898","2"
"Inexpensive","2012","Female","2161","0.279818627281719","0.269637963048184","0.289999291515254","2"
"Reasonable","2012","Male","3555","0.510591844716398","0.498860480373039","0.522323209059756","3"
"Reasonable","2012","Female","3844","0.516987162913328","0.505654392839529","0.528319932987127","3"
"Slightly Expensive","2012","Male","604","0.0923107265757512","0.0855175849139673","0.099103868237535","4"
"Slightly Expensive","2012","Female","656","0.0903442372300833","0.0838428560964186","0.0968456183637481","4"
"Too Expensive","2012","Male","107","0.0145043321709932","0.0116985612273267","0.0173101031146597","5"
"Too Expensive","2012","Female","109","0.0171075944416408","0.0141668023343696","0.020048386548912","5"
"Very Inexpensive","2012","Male","635","0.0898925473554826","0.083180049434823","0.0966050452761421","1"
"Very Inexpensive","2012","Female","699","0.0957423781332289","0.0890694713865421","0.102415284879916","1"
"Inexpensive","2013","Male","2086","0.299888045082062","0.289197462918734","0.310578627245389","2"
"Inexpensive","2013","Female","2190","0.298493554374937","0.288202318945024","0.30878478980485","2"
"Reasonable","2013","Male","3547","0.494003680844802","0.482338894097382","0.505668467592222","3"
"Reasonable","2013","Female","3891","0.494924135406222","0.483679850881705","0.506168419930738","3"
"Slightly Expensive","2013","Male","626","0.0928672015456429","0.0860953933838913","0.0996390097073944","4"
"Slightly Expensive","2013","Female","665","0.0920495538709502","0.0855478659584152","0.0985512417834853","4"
"Too Expensive","2013","Male","108","0.0135196842943222","0.0108252628933313","0.0162141056953131","5"
"Too Expensive","2013","Female","103","0.0146819044854963","0.01197692716302","0.0173868818079726","5"
"Very Inexpensive","2013","Male","690","0.0997213882331713","0.0927306883729573","0.106712088093385","1"
"Very Inexpensive","2013","Female","746","0.0998508518623948","0.0931084081971691","0.10659329552762","1"
"Inexpensive","2014","Male","1909","0.297995472646284","0.286816970211823","0.309173975080746","2"
"Inexpensive","2014","Female","2023","0.298315113851006","0.287519875510267","0.309110352191744","2"
"Reasonable","2014","Female","3512","0.484597744070413","0.472805746059815","0.49638974208101","3"
"Reasonable","2014","Male","3273","0.49004107513176","0.477823284555773","0.502258865707747","3"
"Slightly Expensive","2014","Female","542","0.0911718906133816","0.0843799340229556","0.0979638472038076","4"
"Slightly Expensive","2014","Male","480","0.0875305202806681","0.0806233881377979","0.0944376524235383","4"
"Too Expensive","2014","Male","91","0.0124244156897647","0.00971714304446279","0.0151316883350667","5"
"Too Expensive","2014","Female","94","0.0133746756661497","0.0106642262630643","0.0160851250692351","5"
"Very Inexpensive","2014","Female","729","0.112540575799051","0.105083778032199","0.119997373565903","1"
"Very Inexpensive","2014","Male","678","0.112008516251523","0.104300568560239","0.119716463942808","1"
